#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:22:15 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:22:15	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2bA/534/A109/mcxc&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35340109
#Name: J/A+A/534/A109
#Title: MCXC Meta-Catalogue X-ray galaxy Clusters (Piffaretti+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	creator=Piffaretti R.	    First author or institution
#INFO	cites=bibcode:2011A&A...534A.109P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/534/A109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35340109	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_534_A109_mcxc:
#Name: J/A+A/534/A109/mcxc
#Title: MCXC catalogue (table2 of the paper)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MCXC	(A12)	MCXC name (JHHMM.m+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	AName	(a54)	Alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	Cat	(a12)	Catalogue name	[ucd=meta.id;meta.table]
#Column	Sub-Cat	(a12)	Sub-catalogue name	[ucd=meta.id;meta.dataset]
#Column	Scale	(F6.3)	Scale	[ucd=instr.scale]
#Column	L500	(F9.6)	X-ray luminosity in 10^44^erg/s (1)	[ucd=phys.luminosity;em.X-ray]
#Column	M500	(F7.4)	Total mass (1)	[ucd=phys.mass]
#Column	R500	(F7.4)	Characteristic radius (1)	[ucd=phys.size.radius]
#Column	Notes	(a42)	Notes (losStr = line of sight structure)	[ucd=meta.note]
#Column	Cat1	(a12)	First overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat2	(a12)	Second overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat3	(a12)	Third overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat4	(a12)	Fourth overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	L500r1	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for first catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r2	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for second catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r3	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for third catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r4	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for fourth catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	MCXC	OName	AName	RAJ2000	DEJ2000	z	Cat	Sub-Cat	Scale	L500	M500	R500	Notes	Cat1	Cat2	Cat3	Cat4	L500r1	L500r2	L500r3	L500r4	Simbad
     792	J1144.6+1945	A1367             	A1367                                                 	11 44 36.5	+19 45 32	 0.0214	BCS         	BCS         	 0.433	 1.104603	 2.1398	 0.9032	                                          	NORAS       	            	            	            	 0.461	      	      	      	Simbad
     793	J1144.6+6724	RXC J1144.6+6724  	A1366                                                 	11 44 40.2	+67 24 36	 0.1159	NORAS/REFLEX	NORAS       	 2.099	 1.559224	 2.4747	 0.9197	                                          	BCS         	            	            	            	 1.338	      	      	      	Simbad
     794	J1145.3-3425	RXCJ1145.3-3425   	A3490                                                 	11 45 19.1	-34 25 43	 0.0697	NORAS/REFLEX	REFLEX      	 1.331	 0.753240	 1.6403	 0.8141	                                          	            	            	            	            	      	      	      	      	Simbad
     795	J1145.3+1529	RXC J1145.3+1529  	A1371                                                 	11 45 22.6	+15 29 41	 0.0670	NORAS/REFLEX	NORAS       	 1.284	 0.386073	 1.0933	 0.7118	                                          	            	            	            	            	      	      	      	      	Simbad
     796	J1145.6-5420	RXC J1145.6-5420  	                                                      	11 45 38.6	-54 20 29	 0.1550	CIZA        	CIZAI       	 2.687	 3.566290	 3.9840	 1.0637	                                          	            	            	            	            	      	      	      	      	Simbad
     797	J1146.4+2854	BVH2007 133       	VMF98 107                                             	11 46 26.9	+28 54 19	 0.1490	400SD       	400SD_SER   	 2.600	 0.335973	 0.9477	 0.6604	                                          	WARPSII     	160SD       	            	            	 0.971	 1.004	      	      	Simbad
     798	J1147.3+5544	RXC J1147.3+5544  	A1377                                                 	11 47 20.7	+55 44 36	 0.0510	NORAS/REFLEX	NORAS       	 0.996	 0.188477	 0.7138	 0.6206	                                          	            	            	            	            	      	      	      	      	Simbad
     799	J1149.0+5135	RXC J1149.0+5135  	A1387                                                 	11 49 05.2	+51 35 08	 0.1320	NORAS/REFLEX	NORAS       	 2.348	 0.765425	 1.5852	 0.7885	                                          	            	            	            	            	      	      	      	      	Simbad
     800	J1149.5+2224	MACSJ1149.5+2223  	MCS  J1149.5+2223                                     	11 49 35.3	+22 24 09	 0.5450	MACS        	MACS_MJFV   	 6.382	14.471760	 9.3427	 1.2200	                                          	NORAS       	            	            	            	 0.953	      	      	      	Simbad
     801	J1149.7-1219	RXCJ1149.7-1219   	A1391                                                 	11 49 47.8	-12 19 04	 0.1557	NORAS/REFLEX	REFLEX      	 2.697	 2.759880	 3.4057	 1.0093	X                                         	            	            	            	            	      	      	      	      	Simbad
     802	J1149.8+1046	MS1147.3+1103     	                                                      	11 49 52.6	+10 46 35	 0.3030	EMSS        	EMSS_2004   	 4.485	 1.382360	 1.9951	 0.8009	                                          	            	            	            	            	      	      	      	      	Simbad
     803	J1151.6-1619	RXCJ1151.6-1619   	                                                      	11 51 38.1	-16 19 14	 0.0722	NORAS/REFLEX	REFLEX      	 1.375	 0.684855	 1.5451	 0.7974	                                          	            	            	            	            	      	      	      	      	Simbad
     804	J1151.6+8104	RX J1151.6+8104   	VMF98 108                                             	11 51 40.3	+81 04 38	 0.2900	160SD       	160SD       	 4.350	 0.149127	 0.5185	 0.5136	                                          	            	            	            	            	      	      	      	      	Simbad
     805	J1152.5+3732	BVH2007 134       	                                                      	11 52 35.8	+37 32 46	 0.2300	400SD       	400SD_SER   	 3.674	 0.754425	 1.4603	 0.7414	                                          	            	            	            	            	      	      	      	      	Simbad
     806	J1155.3+2324	RXC J1155.3+2324  	A1413                                                 	11 55 18.5	+23 24 27	 0.1427	NORAS/REFLEX	NORAS       	 2.508	 6.044138	 5.5454	 1.1927	                                          	BCS         	            	            	            	 1.154	      	      	      	Simbad
     807	J1156.0+7325	RXC J1156.0+7325  	A1412                                                 	11 56 04.3	+73 25 05	 0.0830	NORAS/REFLEX	NORAS       	 1.561	 0.521997	 1.2996	 0.7501	                                          	eBCS        	            	            	            	 1.047	      	      	      	Simbad
     808	J1156.7+4238	MS1154.1+4255     	                                                      	11 56 46.6	+42 38 08	 0.1740	EMSS        	EMSS_1994   	 2.953	 0.682912	 1.4338	 0.7516	                                          	            	            	            	            	      	      	      	      	Simbad
     809	J1156.9+2415	RXC J1156.9+2415  	ZwCl4673                                              	11 56 57.8	+24 15 29	 0.1392	NORAS/REFLEX	NORAS       	 2.456	 1.497723	 2.3746	 0.9000	                                          	eBCS        	            	            	            	 1.105	      	      	      	Simbad
     810	J1157.3+3336	RXC J1157.3+3336  	A1423                                                 	11 57 18.2	+33 36 44	 0.2138	NORAS/REFLEX	NORAS       	 3.475	 4.167436	 4.1921	 1.0598	                                          	BCS         	            	            	            	 1.260	      	      	      	Simbad
     811	J1157.4+0503	RXC J1157.4+0503  	A1424                                                 	11 57 28.7	+05 03 46	 0.0770	NORAS/REFLEX	NORAS       	 1.458	 0.536064	 1.3263	 0.7567	                                          	            	            	            	            	      	      	      	      	Simbad
     812	J1158.1+5521	RX J1158.1+5521   	VMF98 109                                             	11 58 11.7	+55 21 45	 0.1350	160SD       	160SD       	 2.393	 0.035620	 0.2437	 0.4220	                                          	            	            	            	            	      	      	      	      	Simbad
     813	J1159.2+4947	RXC J1159.2+4947  	A1430                                                 	11 59 17.4	+49 47 37	 0.2110	NORAS/REFLEX	NORAS       	 3.440	 3.214715	 3.5861	 1.0071	                                          	            	            	            	            	      	      	      	      	Simbad
     814	J1159.8+5531	BVH2007 135       	VMF98 110, MS1157.3+5548                              	11 59 51.1	+55 31 56	 0.0808	400SD       	400SD_SER   	 1.524	 0.175650	 0.6700	 0.6019	                                          	160SD       	            	            	            	 0.999	      	      	      	Simbad
     815	J1200.0+1124	RXC J1200.0+1122  	                                                      	12 00 02.5	+11 24 15	 0.2070	NORAS/REFLEX	NORAS       	 3.389	 1.222022	 1.9944	 0.8293	b                                         	            	            	            	            	      	      	      	      	Simbad
     816	J1200.0-3124	RXCJ1200.0-3124   	A3497                                                 	12 00 05.0	-31 24 21	 0.0685	NORAS/REFLEX	REFLEX      	 1.310	 0.696381	 1.5649	 0.8018	                                          	            	            	            	            	      	      	      	      	Simbad
     817	J1200.1+6809	BVH2007 136       	                                                      	12 00 07.7	+68 09 07	 0.2650	400SD       	400SD_SER   	 4.080	 1.065325	 1.7540	 0.7781	foreground A1432                          	            	            	            	            	      	      	      	      	Simbad
     818	J1200.3+5613	RXC J1200.3+5613  	A1436                                                 	12 00 22.0	+56 13 49	 0.0650	NORAS/REFLEX	NORAS       	 1.248	 0.528068	 1.3251	 0.7594	                                          	            	            	            	            	      	      	      	      	Simbad
     819	J1200.4+0320	RXC J1200.4+0320  	A1437                                                 	12 00 25.4	+03 20 01	 0.1339	NORAS/REFLEX	NORAS       	 2.376	 3.673409	 4.1194	 1.0834	                                          	BCS         	            	            	            	 1.037	      	      	      	Simbad
     820	J1200.8-0327	BVH2007 137       	VMF98 111                                             	12 00 49.4	-03 27 30	 0.3960	400SD       	400SD_SER   	 5.340	 1.303910	 1.7854	 0.7450	                                          	SHARC_SOUTH 	160SD       	WARPSII     	            	 0.828	 1.024	 1.099	      	Simbad
     821	J1201.0-4623	RXC J1201.0-4623  	                                                      	12 01 03.4	-46 23 26	 0.1180	CIZA        	CIZAII      	 2.132	 1.226852	 2.1350	 0.8749	                                          	            	            	            	            	      	      	      	      	Simbad
     822	J1201.0+1209	BVH2007 138       	                                                      	12 01 04.8	+12 09 31	 0.3040	400SD       	400SD_SER   	 4.495	 1.829505	 2.3650	 0.8473	                                          	            	            	            	            	      	      	      	      	Simbad
     823	J1201.3+2306	RXC J1201.3+2306  	A1443                                                 	12 01 18.2	+23 06 33	 0.2690	NORAS/REFLEX	NORAS       	 4.124	 4.889634	 4.4278	 1.0579	                                          	eBCS        	            	            	            	 1.204	      	      	      	Simbad
     824	J1201.9+5802	RXC J1201.9+5802  	A1446                                                 	12 01 59.9	+58 02 51	 0.1031	NORAS/REFLEX	NORAS       	 1.895	 0.720191	 1.5593	 0.7918	                                          	eBCS        	            	            	            	 0.927	      	      	      	Simbad
     825	J1202.2+5751	BVH2007 139       	                                                      	12 02 13.7	+57 51 53	 0.6770	400SD       	400SD_SER   	 7.049	 3.301656	 2.4828	 0.7442	                                          	            	            	            	            	      	      	      	      	Simbad
     826	J1202.9-0650	RXCJ1202.9-0650   	A1448                                                 	12 02 54.3	-06 50 07	 0.1268	NORAS/REFLEX	REFLEX      	 2.268	 1.459417	 2.3584	 0.9018	                                          	            	            	            	            	      	      	      	      	Simbad
     827	J1203.0+2836	RXC J1203.0+2836  	A1449                                                 	12 03 02.8	+28 36 14	 0.1341	NORAS/REFLEX	NORAS       	 2.379	 1.112234	 1.9879	 0.8497	B                                         	            	            	            	            	      	      	      	      	Simbad
     828	J1203.2-2131	RXCJ1203.2-2131   	A1451                                                 	12 03 17.0	-21 31 22	 0.1992	NORAS/REFLEX	REFLEX      	 3.289	 6.614737	 5.6182	 1.1745	                                          	            	            	            	            	      	      	      	      	Simbad
     829	J1204.0+2807	RXC J1204.0+2807  	A1455                                                 	12 04 03.2	+28 07 24	 0.1631	NORAS/REFLEX	NORAS       	 2.802	 0.938697	 1.7549	 0.8071	                                          	EMSS_1994   	400SD_NONSER	160SD       	SHARC_BRIGHT	 1.080	 1.101	 1.117	 1.174	Simbad
     830	J1204.1+2020	RXC J1204.1+2020  	NGC 4066                                              	12 04 11.6	+20 20 53	 0.0252	NORAS/REFLEX	NORAS       	 0.507	 0.048796	 0.3186	 0.4781	                                          	            	            	            	            	      	      	      	      	Simbad
     831	J1204.3-0350	RX J1204.3-0350   	VMF98 113                                             	12 04 22.9	-03 50 55	 0.2610	160SD       	160SD       	 4.035	 0.261986	 0.7480	 0.5865	RDCS/SSHARC/WARPS2                        	WARPSII     	SHARC_SOUTH 	            	            	 1.012	 1.069	      	      	Simbad
     832	J1204.4+0154	RXCJ1204.4+0154   	MKW4                                                  	12 04 25.2	+01 54 02	 0.0199	NORAS/REFLEX	REFLEX      	 0.403	 0.167122	 0.6772	 0.6158	                                          	BCS         	            	            	            	 1.162	      	      	      	Simbad
     833	J1204.9+2237	RXC J1204.9+2237  	A1466                                                 	12 04 57.7	+22 37 00	 0.2519	NORAS/REFLEX	NORAS       	 3.932	 1.150595	 1.8572	 0.7969	                                          	            	            	            	            	      	      	      	      	Simbad
     834	J1205.0-0332	RX J1205.0-0333   	BSe RXJ1205.0-0332                                    	12 05 02.9	-03 32 31	 0.3680	SHARC       	SHARC_SOUTH 	 5.101	 0.240296	 0.6514	 0.5381	                                          	WARPSII     	            	            	            	 1.238	      	      	      	Simbad
     835	J1205.2+3920	RXC J1205.2+3920  	RXJ1205.1+3920                                        	12 05 12.5	+39 20 58	 0.0381	NORAS/REFLEX	NORAS       	 0.755	 0.340250	 1.0322	 0.7047	                                          	BCS         	            	            	            	 0.901	      	      	      	Simbad
     836	J1205.5+4419	WARP J1205.5+4419 	                                                      	12 05 33.0	+44 19 09	 0.3384	WARPS       	WARPSII     	 4.832	 0.349007	 0.8378	 0.5918	                                          	            	            	            	            	      	      	      	      	Simbad
     837	J1205.8+4429	WARP J1205.8+4429 	RX J1205.8+4429 (BSHARC2)                             	12 05 51.8	+44 29 14	 0.5921	WARPS       	WARPSII     	 6.644	 1.474370	 1.6324	 0.6694	                                          	            	            	            	            	      	      	      	      	Simbad
     838	J1206.1+4419	WARP J1206.1+4419 	                                                      	12 06 06.7	+44 19 28	 0.2946	WARPS       	WARPSII     	 4.398	 0.247587	 0.7038	 0.5676	                                          	            	            	            	            	      	      	      	      	Simbad
     839	J1206.2-0848	RXCJ1206.2-0848   	                                                      	12 06 12.5	-08 48 22	 0.4414	NORAS/REFLEX	REFLEX      	 5.696	17.584850	 8.4019	 1.2266	                                          	MACS_BRIGHT 	            	            	            	 1.216	      	      	      	Simbad
     840	J1206.4+2215	RXC J1206.4+2215  	PGC 038401                                            	12 06 28.0	+22 15 09	 0.0656	NORAS/REFLEX	NORAS       	 1.259	 0.153560	 0.6237	 0.5906	                                          	            	            	            	            	      	      	      	      	Simbad
     841	J1206.5-0744	BVH2007 140       	VMF98 114                                             	12 06 33.6	-07 44 24	 0.0680	400SD       	400SD_SER   	 1.302	 0.212334	 0.7588	 0.6300	                                          	160SD       	            	            	            	 1.014	      	      	      	Simbad
     842	J1206.6+2811	RXC J1206.6+2811  	NGC 4104                                              	12 06 37.4	+28 11 01	 0.0283	NORAS/REFLEX	NORAS       	 0.568	 0.076411	 0.4179	 0.5229	                                          	BCS         	            	            	            	 1.557	      	      	      	Simbad
     843	J1206.9+7139	RXC J1206.9+7139  	A1470                                                 	12 06 58.3	+71 39 27	 0.1912	NORAS/REFLEX	NORAS       	 3.185	 1.504147	 2.2909	 0.8734	                                          	            	            	            	            	      	      	      	      	Simbad
     844	J1208.3-2937	MS1205.7-2921     	                                                      	12 08 18.0	-29 38 00	 0.1710	EMSS        	EMSS_1994   	 2.912	 0.539869	 1.2452	 0.7179	                                          	            	            	            	            	      	      	      	      	Simbad
     845	J1210.3+0523	RXC J1210.3+0523  	ZwCl4905                                              	12 10 18.8	+05 23 06	 0.0748	NORAS/REFLEX	NORAS       	 1.420	 0.739334	 1.6160	 0.8088	                                          	BCS         	            	            	            	 0.821	      	      	      	Simbad
     846	J1210.7-4644	RXC J1210.7-4644  	S0689                                                 	12 10 44.2	-46 44 18	 0.0320	CIZA        	CIZAII      	 0.639	 0.202347	 0.7549	 0.6361	                                          	            	            	            	            	      	      	      	      	Simbad
     847	J1211.0+3519	RXC J1211.0+3519  	A1483                                                 	12 11 02.0	+35 19 57	 0.1380	NORAS/REFLEX	NORAS       	 2.438	 0.962224	 1.8147	 0.8232	                                          	            	            	            	            	      	      	      	      	Simbad
     848	J1211.2+3911	BVH2007 141       	VMF98 115, MS1208.7+3928                              	12 11 16.1	+39 11 41	 0.3400	400SD       	400SD_SER   	 4.847	 1.575258	 2.0973	 0.8030	                                          	EMSS_1994   	160SD       	SHARC_BRIGHT	WARPSII     	 0.771	 0.864	 0.871	 1.096	Simbad
     849	J1212.3-1816	RXCJ1212.3-1816   	                                                      	12 12 18.9	-18 16 43	 0.2690	NORAS/REFLEX	REFLEX      	 4.124	 5.644133	 4.8327	 1.0892	X                                         	            	            	            	            	      	      	      	      	Simbad
     850	J1212.3+2733	BVH2007 142       	A1489                                                 	12 12 19.2	+27 33 14	 0.3530	400SD       	400SD_SER   	 4.967	 6.412871	 4.8848	 1.0592	a part of A1489                           	            	            	            	            	      	      	      	      	Simbad
     851	J1212.9+2727	BVH2007 143       	A1489                                                 	12 12 59.0	+27 27 13	 0.1790	400SD       	400SD_SER   	 3.022	 0.976020	 1.7760	 0.8058	a part of A1489                           	            	            	            	            	      	      	      	      	Simbad
     852	J1213.5+0253	BVH2007 144       	VMF98 116                                             	12 13 34.3	+02 53 57	 0.4090	400SD       	400SD_SER   	 5.446	 1.100758	 1.5931	 0.7136	                                          	160SD       	            	            	            	 1.024	      	      	      	Simbad
     853	J1215.4-3900	RXCJ1215.4-3900   	                                                      	12 15 29.0	-39 00 55	 0.1190	NORAS/REFLEX	REFLEX      	 2.148	 1.834651	 2.7267	 0.9489	                                          	            	            	            	            	      	      	      	      	Simbad
     854	J1216.3+2633	BVH2007 145       	VMF98 117                                             	12 16 19.9	+26 33 21	 0.4280	400SD       	400SD_SER   	 5.595	 1.293605	 1.7304	 0.7282	                                          	160SD       	            	            	            	 1.027	      	      	      	Simbad
     855	J1217.2+6940	WARP J1217.2+6940 	                                                      	12 17 14.6	+69 40 11	 0.1070	WARPS       	WARPSII     	 1.958	 0.036944	 0.2542	 0.4320	                                          	            	            	            	            	      	      	      	      	Simbad
     856	J1217.6+0339	RXC J1217.6+0339  	Zw 1215.1+0400                                        	12 17 40.6	+03 39 45	 0.0766	NORAS/REFLEX	NORAS       	 1.451	 2.744796	 3.5915	 1.0548	                                          	BCS         	            	            	            	 1.099	      	      	      	Simbad
     857	J1217.7+4729	BVH2007 146       	                                                      	12 17 43.7	+47 29 14	 0.2700	400SD       	400SD_SER   	 4.135	 1.799222	 2.4049	 0.8628	                                          	            	            	            	            	      	      	      	      	Simbad
     858	J1217.8+2255	BVH2007 147       	                                                      	12 17 48.5	+22 55 16	 0.1400	400SD       	400SD_SER   	 2.468	 0.227663	 0.7524	 0.6134	                                          	            	            	            	            	      	      	      	      	Simbad
     859	J1218.4+4013	RXC J1218.4+4013  	                                                      	12 18 28.9	+40 13 06	 0.3038	NORAS/REFLEX	NORAS       	 4.493	 4.425047	 4.0532	 1.0140	                                          	            	            	            	            	      	      	      	      	Simbad
     860	J1218.4+3011	RX J1218.4+3011   	VMF98 118                                             	12 18 29.1	+30 11 46	 0.3680	160SD       	160SD       	 5.101	 0.342905	 0.8091	 0.5784	RDCS/RIXOS/WARPS2                         	WARPSII     	            	            	            	 1.655	      	      	      	Simbad
     861	J1219.3-1315	RXCJ1219.3-1315   	A1520                                                 	12 19 19.8	-13 15 36	 0.0688	NORAS/REFLEX	REFLEX      	 1.316	 0.935270	 1.8728	 0.8512	                                          	            	            	            	            	      	      	      	      	Simbad
     862	J1220.2+7522	BVH2007 148       	NGC4291                                               	12 20 17.3	+75 22 12	 0.0059	400SD       	400SD_SER   	 0.122	 0.001108	 0.0321	 0.2237	                                          	            	            	            	            	      	      	      	      	Simbad
     863	J1220.9+1810	WARP J1220.9+1810 	                                                      	12 20 55.7	+18 10 32	 0.4294	WARPS       	WARPSII     	 5.606	 1.045536	 1.5180	 0.6967	                                          	            	            	            	            	      	      	      	      	Simbad
     864	J1221.4+4918	BVH2007 149       	VMF98 119                                             	12 21 25.0	+49 18 07	 0.7000	400SD       	400SD_SER   	 7.146	 4.885149	 3.0916	 0.7933	                                          	160SD       	            	            	            	 1.045	      	      	      	Simbad
     865	J1222.0+2709	BVH2007 150       	                                                      	12 22 01.9	+27 09 19	 0.4720	400SD       	400SD_SER   	 5.916	 1.921205	 2.1231	 0.7662	                                          	            	            	            	            	      	      	      	      	Simbad
     866	J1222.1+7526	RX J1222.1+7526   	MS1219.9+7542                                         	12 22 07.0	+75 26 17	 0.2400	SHARC       	SHARC_BRIGHT	 3.794	 0.336721	 0.8861	 0.6254	                                          	EMSS_1994   	            	            	            	 2.173	      	      	      	Simbad
     867	J1222.2+2559	BVH2007 151       	                                                      	12 22 16.3	+25 59 40	 0.1600	400SD       	400SD_SER   	 2.758	 0.194059	 0.6727	 0.5869	                                          	            	            	            	            	      	      	      	      	Simbad
     868	J1223.1+1037	RXC J1223.1+1037  	NGC 4325                                              	12 23 06.5	+10 37 26	 0.0258	NORAS/REFLEX	NORAS       	 0.519	 0.122964	 0.5594	 0.5767	                                          	BCS         	            	            	            	 1.687	      	      	      	Simbad
     869	J1224.2+7531	BVH2007 152       	NGC4386                                               	12 24 17.5	+75 31 39	 0.0056	400SD       	400SD_SER   	 0.115	 0.000153	 0.0096	 0.1497	                                          	            	            	            	            	      	      	      	      	Simbad
     870	J1224.6+3159	RXC J1224.6+3159  	SHK 245                                               	12 24 40.2	+31 59 11	 0.0630	NORAS/REFLEX	NORAS       	 1.213	 0.155272	 0.6291	 0.5928	                                          	            	            	            	            	      	      	      	      	Simbad
     871	J1225.2+3213	RXC J1225.2+3213  	                                                      	12 25 12.0	+32 13 45	 0.0594	NORAS/REFLEX	NORAS       	 1.148	 0.342342	 1.0213	 0.6975	                                          	            	            	            	            	      	      	      	      	Simbad
     872	J1226.3+6224	BVH2007 153       	                                                      	12 26 22.1	+62 24 38	 0.3980	400SD       	400SD_SER   	 5.357	 1.032857	 1.5464	 0.7096	                                          	            	            	            	            	      	      	      	      	Simbad
     873	J1226.9+3332	BVH2007 154       	CL J1226.9+3332, 1WGA J1226.9+3332                    	12 26 57.6	+33 32 50	 0.8880	400SD       	400SD_SER   	 7.761	11.252921	 4.3857	 0.8273	                                          	WARPSII     	            	            	            	 1.266	      	      	      	Simbad
     874	J1227.1+1951	RXC J1227.1+1951  	MS 1224.7+2007                                        	12 27 06.0	+19 51 14	 0.3241	NORAS/REFLEX	NORAS       	 4.695	 5.297243	 4.4502	 1.0381	                                          	EMSS_2004   	            	            	            	 0.254	      	      	      	Simbad
     875	J1227.2+0858	BVH2007 155       	RX J1227.2+0858 (SSHARC)                              	12 27 14.2	+08 58 15	 0.0873	400SD       	400SD_SER   	 1.634	 0.116484	 0.5192	 0.5517	                                          	WARPSII     	SHARC_SOUTH 	            	            	 1.175	 1.831	      	      	Simbad
     876	J1227.4+0849	RXC J1227.4+0849  	A1541                                                 	12 27 28.0	+08 49 44	 0.0896	NORAS/REFLEX	NORAS       	 1.672	 0.494315	 1.2514	 0.7391	B                                         	SHARC_BRIGHT	            	            	            	 1.164	      	      	      	Simbad
     877	J1227.8+6322	RXC J1227.8+6322  	A1544                                                 	12 27 50.5	+63 22 59	 0.1454	NORAS/REFLEX	NORAS       	 2.547	 1.245988	 2.1130	 0.8638	                                          	            	            	            	            	      	      	      	      	Simbad
     878	J1228.8+1924	RXC J1228.8+1924  	A1548                                                 	12 28 52.8	+19 24 28	 0.1610	NORAS/REFLEX	NORAS       	 2.772	 1.044463	 1.8759	 0.8258	                                          	            	            	            	            	      	      	      	      	Simbad
     879	J1229.0+4737	RXC J1229.0+4737  	A1550                                                 	12 29 02.2	+47 37 30	 0.2540	NORAS/REFLEX	NORAS       	 3.956	 3.320813	 3.5386	 0.9871	                                          	            	            	            	            	      	      	      	      	Simbad
     880	J1229.9+1147	RXC J1229.9+1147  	A1552                                                 	12 29 59.2	+11 47 21	 0.0852	NORAS/REFLEX	NORAS       	 1.598	 0.622518	 1.4447	 0.7765	o                                         	            	            	            	            	      	      	      	      	Simbad
     881	J1230.2+2326	BVH2007 156       	                                                      	12 30 14.2	+23 26 04	 0.2210	400SD       	400SD_SER   	 3.565	 0.619900	 1.3045	 0.7163	                                          	            	            	            	            	      	      	      	      	Simbad
     882	J1230.7+3439	RXC J1230.7+3439  	                                                      	12 30 43.0	+34 39 18	 0.3331	NORAS/REFLEX	NORAS       	 4.782	 5.818125	 4.6781	 1.0520	                                          	            	            	            	            	      	      	      	      	Simbad
     883	J1230.7+1033	RXC J1230.7+1033  	A1553                                                 	12 30 47.0	+10 33 38	 0.1650	NORAS/REFLEX	NORAS       	 2.828	 4.160606	 4.3444	 1.0911	                                          	BCS         	            	            	            	 0.975	      	      	      	Simbad
     884	J1230.7+1220	Virgo             	Virgo                                                 	12 30 47.3	+12 20 13	 0.0036	BCS         	BCS         	 0.074	 0.425069	 1.2092	 0.7508	                                          	            	            	            	            	      	      	      	      	Simbad
     885	J1231.0+0037	RXC J1231.0+0037  	NGC 4493                                              	12 31 05.6	+00 37 44	 0.0232	NORAS/REFLEX	NORAS       	 0.468	 0.022346	 0.1981	 0.4084	                                          	            	            	            	            	      	      	      	      	Simbad
     886	J1231.3+8225	RXC J1231.3+8225  	                                                      	12 31 23.9	+82 25 41	 0.2053	NORAS/REFLEX	NORAS       	 3.368	 2.099382	 2.7776	 0.9267	                                          	            	            	            	            	      	      	      	      	Simbad
     887	J1231.7+4137	BVH2007 157       	                                                      	12 31 45.6	+41 37 11	 0.1760	400SD       	400SD_SER   	 2.981	 0.346667	 0.9469	 0.6541	                                          	            	            	            	            	      	      	      	      	Simbad
     888	J1232.8+2605	RX J1232.8+2605   	                                                      	12 32 48.4	+26 05 39	 0.2200	SHARC       	SHARC_BRIGHT	 3.552	 0.700255	 1.4062	 0.7347	                                          	            	            	            	            	      	      	      	      	Simbad
     889	J1233.9+1525	MS1231.3+1542     	                                                      	12 33 55.4	+15 25 56	 0.2380	EMSS        	EMSS_1994   	 3.770	 1.584168	 2.2815	 0.8578	                                          	            	            	            	            	      	      	      	      	Simbad
     890	J1234.2+0947	RXC J1234.2+0947  	Zw 1231.4+1007                                        	12 34 16.0	+09 47 01	 0.2290	NORAS/REFLEX	NORAS       	 3.662	 3.567656	 3.7690	 1.0173	                                          	BCS         	            	            	            	 1.449	      	      	      	Simbad
