#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:46:12 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:46:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJS%2F172%2F599%2Ftable2&-out=AGC,OName,RAJ2000,DEJ2000,TT,Imagc,gamma,i,cz,r,Gnum&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21720599
#Name: J/ApJS/172/599
#Title: SFI++ II. A new I-band Tully-Fisher catalog (Springob+, 2007)
#INFO	ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2007ApJS..172..599S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/172/599	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21720599	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_172_599_table2:
#Name: J/ApJS/172/599/table2
#Title: *Parameters of non-template galaxies (from erratum)
#Column	AGC	(I6)	Entry number in the UGC or AGC (G1)	[ucd=meta.id;meta.main]
#Column	OName	(A8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TT	(I2)	Morphological type code T	[ucd=meta.code;src.morph]
#Column	Imagc	(F7.2)	Corrected I-band apparent magnitude	[ucd=phot.mag;em.opt.I]
#Column	gamma	(F6.2)	Extinction coefficient gamma (G3)	[ucd=stat.fit.param]
#Column	i	(F5.1)	Inclination	[ucd=src.orbital.inclination]
#Column	cz	(I6)	Velocity in the CMB frame (1)	[ucd=phys.veloc;pos.cmb]
#Column	r	(A1)	[O/H] Code indicating whether the spectroscopy is radio (H, HI spectroscopy) or optical (O)	[ucd=meta.ref;pos.frame]
#Column	Gnum	(I5)	Group number (G2)	[ucd=meta.id]
AGC	OName	RAJ2000	DEJ2000	TT	Imagc	gamma	i	cz	r	Gnum
  7516	042-096 	12 25 46.6	+04 30 33	 5	  13.25	  1.00	 60.6	  5722	H	    0
  7518	I3322   	12 25 54.1	+07 33 15	 5	  11.96	  0.50	 77.6	  1542	H	30649
  7522	042-099 	12 25 58.1	+03 25 47	 5	  11.64	  0.99	 82.2	  1770	H	30640
 28531	268 G  6	12 25 58.7	-44 40 53	 5	  13.68	  1.00	 79.8	  8702	O	    0
  7539	N4414   	12 26 27.0	+31 13 21	 5	   8.85	  1.00	 50.9	   981	H	    0
  7547	I3356   	12 26 50.4	+11 33 30	 3	  14.02	  0.50	 53.0	  1431	H	30654
221928	f97     	12 26 51.8	+31 05 39	 3	  13.55	  1.30	 50.4	 18219	O	    0
 28539	380 G 29	12 26 54.1	-36 25 28	 5	  13.08	  0.93	 66.5	  4369	O	    0
  7549	N4420   	12 26 58.3	+02 29 35	 5	  11.16	  1.00	 58.9	  2037	H	30640
222003	f97     	12 27 06.6	+06 25 32	 3	  14.27	  0.98	 75.2	  7935	O	    0
  7558	I 792   	12 27 08.8	+16 19 30	 5	  12.86	  1.00	 70.3	  6542	H	    0
 28547	573 G 24	12 27 21.1	-17 54 35	 3	  13.33	  1.00	 49.3	  8469	O	    0
  7565	I3371   	12 27 22.2	+10 51 59	 5	  13.58	  0.50	 81.5	  1255	H	30654
  7566	N4430   	12 27 26.3	+06 15 47	 5	  10.92	  0.80	 37.6	  1789	H	30649
  7570	N4432   	12 27 32.9	+06 13 00	 5	  13.67	  1.00	 38.8	  6740	H	    0
520063	N4433   	12 27 38.7	-08 16 48	 3	  11.31	  1.00	 70.1	  3346	O	30648
 28556	506 G 10	12 27 51.4	-25 50 40	 5	  14.17	  1.00	 82.3	  7808	O	    0
 28555	N4456   	12 27 52.1	-30 05 52	 3	  12.21	  1.02	 59.4	  6480	O	    0
  7590	070-108 	12 28 18.8	+08 43 45	 4	  12.92	  0.50	 60.9	  1454	H	30649
 28563	574 G  1	12 28 32.9	-22 14 21	 3	  13.57	  1.00	 62.3	  7109	O	    0
 28564	574 G  2	12 28 35.9	-22 29 52	 3	  13.07	  1.07	 55.4	 10154	O	    0
  7600	N4451   	12 28 40.6	+09 15 31	 5	  11.41	  0.60	 51.0	  1193	H	30649
  7602	I3392   	12 28 43.2	+14 59 57	 5	  10.86	  0.83	 65.8	  2002	H	30654
  7603	N4455   	12 28 44.0	+22 49 17	 5	  11.72	  0.50	 72.8	   945	H	30654
  7607	042-122 	12 28 52.2	+04 17 35	 5	  13.04	  0.96	 88.7	  4581	H	41047
  7617	244-023 	12 29 06.3	+44 39 18	 5	  12.74	  1.00	 80.4	  7183	H	    0
 28570	268 G 11	12 29 28.3	-46 44 04	 5	  12.67	  1.10	 63.4	  8785	O	    0
  7626	N4466   	12 29 30.6	+07 41 46	 5	  12.40	  0.50	 73.4	  1093	H	30649
  7627	N4470   	12 29 37.7	+07 49 23	 5	  11.51	  1.00	 47.7	  2676	H	30640
  7632	N4475   	12 29 47.6	+27 14 35	 3	  12.43	  1.08	 56.1	  7679	H	    0
  7644	042-138 	12 30 20.8	+03 44 22	 5	  12.32	  1.00	 80.1	  4560	H	41047
  7647	N4480   	12 30 26.8	+04 14 46	 3	  11.29	  1.00	 59.0	  2765	O	30640
  7669	N4498   	12 31 39.5	+16 51 07	 5	  10.94	  0.80	 63.0	  1823	H	30654
 28590	268 G 14	12 31 54.9	-46 08 03	 5	  12.63	  1.13	 54.4	  9001	O	    0
  7675	N4501   	12 31 59.3	+14 25 12	 4	   8.03	  1.30	 62.0	  2606	H	30654
  7677	N4502   	12 32 03.2	+16 41 13	 6	  12.89	  0.50	 58.9	  1944	H	30654
520071	N4504   	12 32 17.1	-07 33 52	 6	  10.29	  1.00	 56.6	  1345	H	30656
 28597	506 G 16	12 32 17.5	-22 58 49	 3	  13.39	  1.00	 58.0	 10135	O	    0
  7689	M+726020	12 32 28.9	+39 35 23	 5	  12.70	  1.00	 83.7	  6449	H	    0
  7687	I3474   	12 32 36.5	+02 39 37	 6	  12.95	  0.50	 90.0	  2056	O	30640
  7695	I3476   	12 32 41.9	+14 03 01	 5	  11.92	  0.50	 50.7	   147	H	30654
220756	042-147 	12 32 49.9	+03 17 57	 4	  13.50	  0.94	 47.4	  5325	H	    0
221950	f97     	12 32 59.7	+03 23 37	 3	  14.89	  1.00	 70.5	 13600	O	    0
 28604	442 G  2	12 33 21.8	-28 43 38	 5	  14.72	  0.50	 85.8	  3876	H	    0
  7709	N4519   	12 33 30.3	+08 39 15	 5	  11.03	  0.76	 44.0	  1560	H	30649
  7711	N4522   	12 33 39.4	+09 10 24	 5	  10.81	  0.85	 78.1	  2659	H	30649
 28608	268 G 18	12 33 46.5	-46 25 13	 5	  13.95	  1.00	 79.2	 10853	O	    0
 28610	380 G 43	12 33 48.9	-37 45 14	 3	  13.12	  1.00	 47.4	  7978	O	    0
  7714	N4525   	12 33 51.2	+30 16 38	 5	  11.49	  0.59	 59.3	  1449	H	    0
520076	N4524   	12 33 54.3	-12 01 38	 4	  12.44	  1.00	 52.2	  5188	H	    0
 28612	268 G 19	12 33 55.4	-45 50 31	 3	  13.79	  1.00	 74.9	 10115	O	    0
  7723	N4534   	12 34 05.5	+35 31 05	 6	  11.68	  0.50	 43.4	  1054	H	    0
  7726	N4532   	12 34 19.5	+06 28 02	 6	  10.73	  0.88	 70.1	  2346	H	30649
  7727	N4535   	12 34 20.3	+08 11 51	 5	   9.01	  1.00	 45.0	  2295	H	30649
  7733	I3517   	12 34 30.8	+09 09 17	 7	  13.55	  0.50	 60.7	   758	H	30649
  7747	N4545   	12 34 34.2	+63 31 30	 5	  11.53	  1.00	 53.9	  2848	H	40146
  7750	159-018 	12 35 09.3	+29 44 36	 3	  12.83	  1.00	 70.7	  8339	H	41393
  7749	N4541   	12 35 10.6	-00 13 17	 3	  11.96	  1.20	 64.2	  7217	O	40680
  7754	159-019 	12 35 23.9	+29 29 30	 3	  13.29	  0.94	 68.0	  4848	H	    0
  7753	N4548   	12 35 26.5	+14 29 45	 3	   8.83	  1.05	 35.0	   810	H	30654
  7758	N4562   	12 35 34.5	+25 50 58	 5	  12.26	  0.50	 72.8	  1640	H	30659
  7756	N4544   	12 35 36.7	+03 02 04	 5	  11.66	  0.50	 68.2	  1491	H	30672
  7766	N4559   	12 35 57.7	+27 57 34	 5	   8.74	  1.00	 69.7	  1094	H	    0
 28645	574 G 13	12 36 38.3	-19 40 23	 3	  13.81	  1.00	 83.7	  8839	O	    0
  7788	N4571   	12 36 56.4	+14 13 01	 5	   9.90	  1.00	 35.0	   661	H	30654
  7792	N4576   	12 37 33.4	+04 22 04	 3	  12.38	  1.00	 57.4	  5677	O	    0
  7796	N4579   	12 37 43.5	+11 49 02	 2	   8.28	  1.24	 42.0	  1840	H	30654
  7794	N4580   	12 37 48.5	+05 22 05	 4	  10.53	  0.96	 43.7	  1376	H	30649
  7802	042-186 	12 38 20.9	+07 53 27	 5	  12.81	  0.50	 84.7	  2119	H	30649
  7806	014-086 	12 38 35.9	+01 24 06	 5	  13.13	  1.00	 80.9	  5538	H	    0
  7808	I3608   	12 38 37.3	+10 28 33	 4	  12.87	  1.00	 71.6	  7606	H	    0
  7810	N4588   	12 38 45.4	+06 46 04	 5	  13.29	  1.00	 70.4	  5940	H	    0
  7819	N4592   	12 39 18.7	-00 31 55	 6	  10.64	  0.70	 75.5	  1409	H	30672
  7822	I3617   	12 39 24.6	+07 57 52	 6	  13.27	  0.50	 61.0	  2409	H	30649
 28685	268 G 29	12 39 36.9	-42 53 33	 5	  13.03	  1.00	 74.6	  6642	O	    0
  7826	N4595   	12 39 52.0	+15 17 51	 5	  11.32	  0.65	 47.9	   946	H	30654
520104	M-132035	12 40 15.9	-09 17 54	 4	  12.40	  1.00	 50.9	  6693	O	    0
 28696	322 G 48	12 40 29.4	-41 04 20	 5	  12.77	  1.00	 76.2	  4555	O	11201
 28697	381 G  5	12 40 33.2	-36 58 09	 5	  13.27	  1.00	 46.3	  5993	H	    0
520107	N4602   	12 40 36.9	-05 07 54	 5	  10.33	  1.08	 70.3	  2882	H	30662
  7836	159-052 	12 40 56.2	+29 27 54	 5	  12.77	  1.13	 77.0	  9609	H	    0
  7848	315-052 	12 40 57.3	+63 31 09	 5	  12.37	  0.76	 65.9	  2608	H	    0
520117	M-232023	12 41 24.0	-12 36 51	 4	  12.22	  1.00	 62.8	  4690	H	    0
  7849	N4611   	12 41 25.5	+13 43 44	 4	  12.91	  1.00	 76.1	  6435	H	    0
 28716	268 G 32	12 41 34.5	-42 54 56	 5	  13.40	  1.00	 47.7	 10669	O	    0
 28722	507 G  2	12 42 11.3	-25 25 44	 5	  13.96	  1.00	 72.1	  7658	H	    0
 28726	268 G 33	12 42 29.6	-47 33 25	 3	  12.04	  1.00	 82.0	  5764	O	    0
  7870	N4632   	12 42 32.1	-00 04 00	 5	  10.48	  1.00	 66.8	  2059	H	40011
  7873	015-001 	12 42 40.7	+01 20 43	 5	  12.73	  1.00	 53.2	  5361	H	    0
  7883	015-002 	12 42 57.2	-01 13 46	 5	  11.75	  1.00	 76.9	  3549	H	    0
520620	015-003 	12 43 02.9	-01 16 58	 5	  13.65	  1.00	 43.4	  7460	O	    0
  7893	N4642   	12 43 17.6	-00 38 41	 3	  11.83	  1.00	 78.9	  2982	H	40752
  7897	159-062 	12 43 28.7	+29 27 59	 3	  13.41	  1.00	 71.5	  9631	H	    0
  7896	N4647   	12 43 32.5	+11 34 54	 5	  10.12	  1.00	 40.0	  1736	H	30654
  7901	N4651   	12 43 42.6	+16 23 35	 5	   9.55	  1.00	 48.1	  1110	H	30654
  7899	I3704   	12 43 45.6	+10 46 11	 5	  12.75	  1.09	 73.8	  9020	H	    0
 28750	574 G 25	12 43 47.2	-20 09 18	 3	  13.27	  1.00	 70.2	  8519	O	    0
  7902	N4654   	12 43 56.6	+13 07 35	 5	   9.29	  1.00	 58.0	  1354	H	30654
 28751	268 G 35	12 43 58.2	-45 35 41	 5	  12.64	  1.00	 47.9	  6275	O	    0
  7917	N4662   	12 44 26.2	+37 07 14	 4	  11.48	  1.30	 32.7	  7235	H	    0
  7922	270-017 	12 44 32.3	+56 08 59	 4	  12.67	  1.00	 76.0	  4912	H	40633
  7921	I3726   	12 44 42.6	+40 40 42	 5	  12.71	  1.00	 74.5	  5357	H	    0
 28771	574 G 28	12 44 48.4	-20 47 06	 5	  12.92	  0.89	 81.9	  3874	H	    0
520563	a96     	12 44 52.1	-00 25 48	 3	  14.19	  1.30	 72.0	 24998	O	    0
 28774	268 G 37	12 45 04.8	-44 00 23	 4	  12.32	  1.00	 52.6	  5149	H	11201
  7926	N4666   	12 45 08.3	-00 27 48	 4	   9.06	  1.30	 73.0	  1850	H	40011
  7931	N4668   	12 45 31.8	-00 32 09	 5	  12.06	  0.74	 57.9	  1955	H	40011
 28778	507 G  7	12 45 41.0	-26 14 35	 5	  11.04	  1.30	 81.6	  5622	H	    0
  7937	I3754   	12 46 15.5	+08 20 53	 1	  12.22	  1.06	 65.2	  6782	H	    0
  7962	N4693   	12 47 09.1	+71 10 34	 5	  11.83	  0.64	 79.5	  1738	H	40114
 28808	507 G  9	12 47 24.8	-24 38 14	 3	  14.33	  0.95	 59.1	  7869	O	    0
 28810	N4679   	12 47 30.7	-39 34 15	 5	  11.15	  1.16	 66.6	  4937	H	11201
 28813	507 G 11	12 47 40.2	-26 11 56	 4	  12.60	  1.03	 60.2	  7804	O	    0
  7965	N4689   	12 47 45.6	+13 45 45	 5	   9.81	  1.00	 39.0	  1915	H	30654
  7963	015-022 	12 47 52.8	-01 11 10	 5	  13.64	  1.00	 83.0	  7376	O	    0
 28830	574 G 34	12 48 20.7	-20 17 33	 3	  12.62	  1.00	 81.3	  6628	O	    0
  7970	N4698   	12 48 22.9	+08 29 15	 1	   9.20	  1.00	 45.3	  1330	H	30654
 28844	322 G 98	12 49 23.4	-42 38 50	 5	  13.83	  1.00	 61.4	  6877	O	    0
520163	N4705   	12 49 25.1	-05 11 46	 4	  11.17	  1.13	 73.8	  4629	H	30674
  7977	N4712   	12 49 34.3	+25 28 11	 5	  11.70	  1.00	 65.2	  4662	H	    0
520166	M-133017	12 49 34.6	-09 44 37	 3	  12.38	  1.00	 71.9	  5011	O	30679
  7978	159-082 	12 49 36.9	+30 50 42	 5	  13.00	  1.00	 53.0	  8340	H	    0
  7981	        	12 49 41.5	+30 45 08	 5	  14.66	  0.50	 77.7	  5129	H	    0
 28853	507 G 17	12 49 45.8	-23 51 36	 3	  12.74	  1.15	 41.2	  9673	O	    0
  7985	N4713   	12 49 57.9	+05 18 39	 5	  10.85	  0.83	 47.5	   979	H	30649
 28863	268 G 46	12 50 19.5	-44 25 37	10	  12.28	  0.69	 77.0	  2327	H	    0
  7989	N4725   	12 50 26.6	+25 30 01	 3	   7.98	  1.30	 62.7	  1489	H	30676
  7993	270-027 	12 50 31.6	+52 07 21	 5	  12.93	  1.00	 83.3	  4961	H	    0
520175	N4718   	12 50 32.5	-05 16 57	 3	  12.00	  1.00	 67.0	  5081	O	30674
  7991	015-027 	12 50 39.0	+01 27 50	 5	  12.33	  0.50	 84.4	  1603	H	30672
 28875	575 G  4	12 50 40.9	-20 20 12	 5	  12.92	  1.00	 60.4	  8010	O	    0
221060	159-090 	12 51 03.5	+27 22 10	 5	  13.65	  1.00	 51.5	  8589	H	    0
 28890	I3829   	12 51 32.3	-27 46 00	 3	  11.96	  1.00	 59.5	  3874	O	30678
 28922	442 G 28	12 52 35.1	-31 53 13	 3	  12.18	  1.00	 60.0	  3849	H	    0
 28923	323 G 25	12 52 37.6	-39 01 41	 5	  11.40	  1.07	 56.4	  4508	H	11201
520498	A1631-7 	12 52 41.3	-15 59 10	 2	  13.95	  1.07	 67.4	 15001	O	    0
520509	        	12 53 11.0	-29 11 06	 3	  16.34	  1.00	 74.9	 28349	O	    0
  8020	N4771   	12 53 21.1	+01 16 07	 5	  10.33	  0.82	 77.0	  1462	H	30672
 28948	507 G 41	12 53 34.8	-25 23 04	 6	  12.69	  0.84	 45.0	  3308	H	    0
520227	        	12 53 52.3	-29 01 33	 3	  15.12	  1.01	 74.5	 23368	O	    0
520232	A1631-5 	12 54 04.9	-16 04 57	 6	  12.34	  1.30	 88.0	 14319	O	    0
520483	        	12 54 14.2	-29 03 01	 3	  15.73	  1.00	 90.0	 18205	O	 3528
520535	        	12 54 23.0	-28 42 12	 3	  16.12	  1.00	 82.3	 20893	O	    0
520234	N4781   	12 54 23.3	-10 32 09	 6	  10.10	  1.00	 65.9	  1600	O	30681
 28963	323 G 39	12 54 26.6	-40 22 20	 3	  13.56	  0.82	 54.7	  5093	H	11201
  8033	N4793   	12 54 40.8	+28 56 18	 5	  10.63	  1.00	 58.4	  2750	H	41007
  8036	I3881   	12 54 48.5	+19 10 34	 5	  12.35	  0.50	 68.6	  1216	H	30654
520517	        	12 54 56.1	-28 58 00	 4	  15.85	  1.00	 79.2	 17744	O	 3528
520305	A1644-9 	12 54 59.6	-17 55 30	 3	  14.51	  1.00	 72.1	 13602	O	    0
 28979	323 G 42	12 55 01.1	-40 58 14	 3	  11.65	  1.00	 74.4	  4482	O	11201
 28981	381 G 28	12 55 06.4	-34 51 26	 5	  14.04	  1.00	 35.6	  9511	O	    0
  8041	015-037 	12 55 12.7	+00 06 58	 5	  11.02	  1.00	 60.9	  1653	H	40011
 28988	443 G 10	12 55 32.5	-28 27 31	 1	  12.79	  0.85	 76.5	  3494	O	    0
520530	        	12 55 40.2	-28 49 42	 3	  15.36	  1.00	 63.0	 22936	O	    0
520494	        	12 55 40.2	-28 34 33	 3	  14.82	  1.00	 74.6	 17321	O	 3528
 29007	269 G 11	12 56 33.1	-44 14 55	 5	  12.92	  1.12	 79.6	 10162	O	    0
  8062	N4826   	12 56 43.8	+21 40 00	 2	   7.07	  1.09	 58.7	   697	H	30685
  8064	071-076 	12 56 46.5	+11 05 29	 3	  13.90	  1.00	 78.1	  6781	H	    0
221140	071-077 	12 56 48.0	+11 09 56	 3	  13.49	  1.18	 60.5	 14161	H	    0
520284	M-233068	12 57 05.7	-12 16 20	 6	  11.91	  1.15	 77.3	  6674	O	    0
  8067	015-044 	12 57 12.0	-01 42 24	 3	  12.03	  1.00	 81.4	  3174	H	41322
520292	M-233071	12 57 12.7	-15 02 05	 4	  12.19	  1.00	 47.0	  4069	H	    0
 29038	443 G 16	12 57 29.3	-28 12 17	 3	  12.22	  1.00	 60.7	  5136	O	    0
 29040	507 G 53	12 57 30.5	-26 00 47	 3	  14.06	  1.00	 71.0	  8186	O	    0
 29045	507 G 56	12 57 41.9	-24 11 16	 5	  13.01	  1.08	 50.2	 10022	O	    0
520500	A1644-51	12 57 46.8	-17 30 11	 5	  14.25	  1.00	 68.8	 13293	O	    0
520501	A1644-40	12 58 00.1	-17 35 23	 6	  15.05	  1.00	 65.0	 12899	O	    0
 29049	N4835   	12 58 07.7	-46 15 46	 4	   9.86	  1.09	 75.5	  2422	O	    0
  8085	100-018 	12 58 17.3	+14 33 23	 5	  12.19	  0.73	 81.5	  2346	H	30690
  8088	071-085 	12 58 22.8	+13 52 20	 3	  13.34	  1.00	 72.5	  6741	H	    0
520503	A1644103	12 58 44.7	-17 09 04	 4	  14.51	  0.96	 52.7	  8676	O	    0
520502	A1644-27	12 59 05.9	-17 37 52	 2	  12.89	  1.30	 52.8	 13571	O	    0
520306	A1644-26	12 59 20.8	-17 38 46	 3	  15.12	  1.00	 65.6	 14291	O	    0
 29076	507 G 62	12 59 22.3	-27 25 10	 3	  11.46	  1.00	 73.0	  3673	O	30678
  8102	N4866   	12 59 27.0	+14 10 14	 1	   9.49	  1.19	 81.6	  2285	H	30690
520377	N4862   	12 59 33.2	-14 08 22	 5	  13.25	  1.00	 26.7	  6782	H	    0
  8120	335-031 	12 59 56.3	+73 41 33	 5	  12.50	  0.50	 62.3	  1710	H	40114
221374	A1656-3 	13 00 14.3	+27 16 50	 3	  14.70	  1.00	 67.4	 11372	H	    0
 29113	381 G 45	13 00 54.1	-36 07 13	 3	  13.07	  1.00	 75.8	  7419	O	    0
  8121	N4904   	13 00 58.6	-00 01 39	 4	  10.88	  0.59	 46.2	  1498	H	30672
 29116	381 G 46	13 01 01.1	-35 55 55	 5	  12.32	  1.00	 69.7	  5001	O	30695
 29140	507 G 67	13 01 48.5	-27 07 24	 5	  12.03	  1.00	 40.0	  3363	H	30678
520402	M-133071	13 01 49.5	-08 20 07	 5	  11.46	  1.00	 79.0	  4149	H	30703
520403	M-133072	13 01 55.2	-06 55 34	 6	  12.18	  1.00	 90.0	  3921	O	30703
  8146	294-010 	13 02 07.6	+58 41 55	 5	  12.64	  0.50	 81.4	   797	H	    0
 29155	507 G 68	13 02 12.9	-25 22 41	 5	  13.40	  1.00	 75.8	  6626	O	    0
 29157	443 G 38	13 02 17.7	-32 22 36	 3	  12.95	  1.11	 68.4	 10101	O	    0
520412	M-333028	13 02 25.3	-17 40 45	 5	  11.37	  1.12	 80.3	  4978	H	30702
 29163	575 G 50	13 02 44.8	-22 04 18	 3	  12.74	  1.00	 55.9	  7276	O	    0
  8149	043-110 	13 02 47.9	+06 47 07	 5	  14.24	  0.94	 83.8	  7455	H	    0
 29173	443 G 41	13 03 20.9	-32 14 05	 3	  11.41	  1.13	 70.7	  5151	O	30701
530005	M-133076	13 03 46.5	-05 08 01	 5	  11.93	  1.00	 73.5	  4333	H	    0
  8166	071-102 	13 03 52.4	+10 58 20	 5	  14.52	  0.50	 80.5	  3252	H	    0
530010	N4939   	13 04 14.2	-10 20 22	 5	   9.86	  1.30	 55.7	  3438	H	    0
 29190	443 G 49	13 04 22.1	-32 21 09	 3	  12.71	  1.18	 71.3	  9965	O	    0
  8185	N4961   	13 05 47.6	+27 43 00	 5	  12.12	  0.92	 50.3	  2796	H	41007
  8186	043-142 	13 05 58.5	+03 57 22	 4	  12.13	  1.15	 80.2	  7327	H	    0
  8191	I4189   	13 06 03.6	+35 58 47	 5	  12.64	  1.00	 46.0	  5051	H	40718
230082	160-139 	13 06 38.0	+28 50 54	 6	  13.66	  0.82	 58.8	  5008	H	    0
  8203	M+629038	13 07 24.4	+32 51 43	 5	  13.30	  1.00	 90.0	  5543	H	40822
 29274	575 G 61	13 08 15.0	-21 00 04	 5	  13.81	  0.50	 84.1	  1958	H	    0
530033	N4981   	13 08 48.9	-06 46 46	 5	  10.21	  1.00	 47.4	  2001	H	30689
 29286	269 G 54	13 09 11.8	-44 37 51	 5	  13.83	  1.00	 76.3	 11243	O	    0
 29302	575 G 66	13 09 35.4	-18 58 21	 3	  12.72	  1.25	 43.9	 10953	O	    0
530038	N4995   	13 09 40.5	-07 49 00	 4	   9.94	  1.00	 49.2	  2066	H	30689
  8238	016-013 	13 09 41.0	-01 02 53	 5	  13.10	  1.00	 58.6	  7651	O	    0
530628	f97     	13 09 42.1	-07 53 08	 3	  14.10	  0.95	 80.1	  7066	O	    0
  8246	189-031 	13 10 04.4	+34 10 49	 5	  12.71	  0.50	 80.7	  1045	H	40022
  8250	189-032 	13 10 20.2	+32 28 58	 5	  13.09	  1.00	 85.0	  5517	H	40822
 29318	443 G 79	13 10 22.7	-27 58 32	 7	  13.77	  0.50	 72.1	  2426	H	30708
 29321	576 G  1	13 10 23.5	-21 41 08	 3	  12.48	  1.03	 59.9	  7408	O	    0
530046	M-134010	13 10 28.3	-07 38 59	 3	  13.07	  1.00	 58.8	  7202	O	    0
 29320	323 G 88	13 10 32.9	-42 43 02	 3	  13.61	  1.00	 55.9	 11875	O	    0
  8255	072-012 	13 10 56.5	+11 28 36	 5	  12.64	  0.95	 43.7	  3668	H	41064
 29330	269 G 61	13 11 02.3	-44 35 26	 5	  11.14	  1.23	 78.6	  5176	O	    0
 29332	443 G 80	13 11 08.8	-28 00 28	 3	  13.08	  0.50	 43.8	  2415	H	30708
  8270	N5012   	13 11 37.0	+22 54 55	 5	  10.53	  1.00	 58.6	  2884	H	40294
  8282	294-026 	13 11 51.2	+60 14 50	 5	  13.74	  0.50	 69.9	  2181	H	40705
  8280	I4213   	13 12 11.1	+35 40 17	 5	  11.99	  0.50	 83.9	  1045	H	40022
  8286	N5023   	13 12 11.7	+44 02 12	 5	  10.71	  0.50	 85.2	   603	H	30739
 29351	UA334   	13 12 55.8	-32 41 17	 5	  10.99	  1.00	 82.0	  2667	H	30717
 29366	576 G 12	13 13 20.7	-18 55 58	 5	  14.04	  0.89	 52.5	  6465	H	    0
  8307	N5033   	13 13 27.5	+36 35 36	 3	   8.78	  1.00	 63.2	  1099	H	40022
  8306	101-009 	13 13 34.5	+15 59 29	 3	  12.22	  1.09	 83.3	  7083	O	    0
 29377	323 G 97	13 13 57.6	-39 15 39	 5	  12.62	  1.00	 73.6	  5274	O	    0
530066	M-134013	13 14 09.5	-05 36 04	 5	  12.98	  1.00	 84.2	  5670	H	    0
 29384	382 G 21	13 14 20.5	-37 11 45	 3	  13.23	  1.08	 74.2	 11036	O	    0
  8318	189-044 	13 14 30.6	+35 23 10	 5	  13.78	  0.50	 50.8	  2556	H	    0
  8324	044-040 	13 15 05.9	+03 02 42	 5	  13.50	  1.00	 80.2	  6829	H	    0
 29403	N5042   	13 15 30.9	-23 58 00	 5	   9.92	  1.00	 56.2	  1696	H	    0
  8337	N5056   	13 16 12.4	+30 56 58	 5	  12.00	  1.02	 57.5	  5837	H	40835
530631	f97     	13 16 34.0	-02 17 22	 3	  15.08	  0.50	 64.0	  4323	O	    0
  8340	016-037 	13 16 35.4	-02 05 28	 5	  12.50	  1.00	 36.3	  5981	H	30724
 29425	508 G 34	13 16 57.3	-25 20 14	 3	  13.13	  0.50	 66.3	  2213	H	30728
  8348	I4218   	13 17 03.4	-02 15 40	 3	  12.47	  1.00	 73.9	  6100	H	30724
  8351	N5060   	13 17 16.1	+06 02 14	 3	  12.24	  1.04	 48.5	  6539	O	41006
  8356	N5065   	13 17 30.5	+31 05 32	 5	  12.52	  1.00	 48.6	  5794	H	40835
 29432	382 G 32	13 17 41.5	-34 21 11	 5	  12.46	  1.17	 82.5	  8773	O	    0
 29453	576 G 26	13 18 34.2	-21 17 57	 5	  12.96	  0.50	 83.0	  2260	O	30729
  8365	217-027 	13 18 44.8	+41 56 59	 5	  13.12	  0.50	 70.1	  1466	H	40105
 29461	508 G 41	13 18 54.8	-24 41 51	 3	  13.09	  1.05	 54.6	  9964	O	    0
530603	f97     	13 18 56.2	-14 54 13	 3	  12.84	  1.22	 45.3	 11052	O	    0
530097	N5073   	13 19 20.6	-14 50 37	 3	  10.66	  1.01	 90.0	  3060	H	30725
 29472	324 G  5	13 19 25.7	-39 09 08	 3	  12.83	  1.02	 56.7	  8529	O	    0
 29474	382 G 41	13 19 28.7	-35 06 05	 7	  13.44	  0.50	 90.0	  2010	O	30726
530104	N5079   	13 19 38.1	-12 41 56	 3	  11.50	  1.00	 56.7	  2555	O	30727
 29493	382 G 45	13 20 14.0	-36 03 43	 7	  11.89	  0.70	 72.0	  1734	H	30726
