#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:46:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:46:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VIII%2F77%2Ftable3&-out=UGC%2FAGC,OName,RAJ2000,DEJ2000,Sabs,e_Sabs,SNR,HRV,Tel&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8077
#Name: VIII/77
#Title: HI spectral properties of galaxies (Springob+, 2005)
#INFO	ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2005ApJS..160..149S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/77	    Dataset landing page
#INFO	publication_date=2006-06-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VIII_77_table3:
#Name: VIII/77/table3
#Title: Properties of detected galaxies derived from spectra in digital archive
#Column	UGC/AGC	(I6)	Entry number in the UGC (Cat. <VII/26>) or AGC	[ucd=meta.id;meta.main]
#Column	OName	(a8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Sabs	(F6.2)	Self-absorption corrected line flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sabs	(F6.2)	Uncertainty in Sabs	[ucd=stat.error]
#Column	SNR	(F5.1)	Ratio of peak flux to rms noise	[ucd=instr.det.noise;stat.max]
#Column	HRV	(I6)	Heliocentric velocity of the profile midpoint	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Tel	(a5)	Code indicating the telescope used (G1)	[ucd=meta.id;instr.tel]
UGC/AGC	OName	RAJ2000	DEJ2000	Sabs	e_Sabs	SNR	HRV	Tel
220557	070-066 	12 25 50.8	+08 55 14	  1.58	  0.22	  5.9	  7559	AOlf
  7518	I3322   	12 25 54.1	+07 33 15	  6.11	  0.83	 28.8	  1204	AOlf
  7522	042-099 	12 25 58.1	+03 25 47	 10.30	  1.64	 15.9	  1426	AOlf
  7526	N4396   	12 25 59.0	+15 40 15	 21.39	  3.32	 34.4	  -125	AOlf
  7529	N4405   	12 26 07.2	+16 10 49	  1.23	  0.16	  7.6	  1739	AOlf
  7528	N4402   	12 26 07.7	+13 06 42	 12.76	  2.10	 14.5	   237	AOlf
  7539	N4414   	12 26 27.0	+31 13 21	 73.70	  2.87	 15.9	   708	GB140
  7538	N4413   	12 26 32.2	+12 36 37	 11.53	  1.47	 99.9	    69	AOlf
  7541	N4416   	12 26 46.7	+07 55 07	  5.41	  0.61	 17.9	  1393	AOlf
220593	I3357   	12 26 51.0	+09 46 54	  1.54	  0.17	 10.6	 14076	AOlf
  7549	N4420   	12 26 58.3	+02 29 35	 12.65	  1.53	 28.7	  1693	AOlf
  7558	I 792   	12 27 08.8	+16 19 30	  6.96	  0.82	 24.2	  6222	AOlf
  7565	I3371   	12 27 22.2	+10 51 59	 14.86	  2.12	 31.2	   924	AOlf
  7566	N4430   	12 27 26.3	+06 15 47	 10.62	  1.55	 30.3	  1450	AOlf
520062	N4428   	12 27 28.6	-08 10 05	 18.59	  1.85	 12.5	  2975	GB300
  7570	N4432   	12 27 32.9	+06 14 00	  6.41	  0.64	 24.4	  6401	AOlf
  7584	        	12 28 02.8	+22 35 15	  3.97	  0.40	 13.2	   604	AOlf
220635	N4447   	12 28 12.4	+13 53 56	  3.29	  0.37	  9.4	  7323	AOlf
  7591	N4448   	12 28 15.5	+28 37 13	  3.37	  0.57	  9.4	   658	AOlf
  7590	070-108 	12 28 18.8	+08 43 45	 16.12	  1.83	 43.0	  1119	AOlf
  7600	N4451   	12 28 40.6	+09 15 31	  3.16	  0.35	 11.4	   859	AOlf
  7602	I3392   	12 28 43.2	+14 59 57	  1.39	  0.18	  7.4	  1680	AOlf
  7603	N4455   	12 28 44.0	+22 49 17	 34.55	  4.62	 99.9	   644	AOlf
  7611	N4460   	12 28 45.6	+44 51 48	  5.35	  0.61	  9.0	   495	GB300
  7607	042-122 	12 28 52.2	+04 17 35	 18.30	  2.88	 28.5	  4240	AOlf
  7609	N4457   	12 28 59.0	+03 34 16	  4.06	  0.53	  7.6	   885	GB300
  7617	244-023 	12 29 06.3	+44 39 18	 13.46	  1.67	 10.2	  6970	GB300
  7621	I3414   	12 29 29.0	+06 46 12	  5.30	  0.58	 32.9	   526	AOlf
  7627	N4470   	12 29 37.7	+07 49 23	  7.82	  0.81	 27.8	  2340	AOlf
222431	        	12 29 40.9	+22 01 46	  1.30	  0.18	  5.2	 11072	AOlf
  7632	N4475   	12 29 47.6	+27 14 35	  5.11	  0.59	 21.1	  7393	AOlf
221586	3C273dw 	12 29 52.4	+02 05 25	  1.77	  0.25	  4.3	  1571	AOlf
  7633	I3425   	12 29 56.4	+10 36 53	  6.38	  0.75	 19.3	  7316	AOlf
520067	M-132019	12 30 19.9	-08 24 00	 10.17	  1.08	 13.9	  5461	GB300
  7644	042-138 	12 30 20.8	+03 44 22	  9.20	  1.20	 17.3	  4219	AOlf
220690	I3432   	12 30 27.7	+14 09 37	  1.47	  0.15	 14.3	  6053	AOlf
  7667	N4500   	12 31 22.0	+57 57 51	  9.70	  1.09	  8.9	  3112	GB300
  7669	N4498   	12 31 39.5	+16 51 07	 20.87	  3.27	 30.0	  1507	AOlf
  7673	DDO131  	12 31 58.5	+29 42 33	 10.66	  0.28	 22.5	   644	GB140
  7675	N4501   	12 31 59.3	+14 25 12	 33.49	  1.84	 13.2	  2284	GB140
  7678	216-009 	12 32 00.6	+39 49 57	  6.55	  0.72	 20.1	   678	GB300
520071	N4504   	12 32 17.1	-07 33 52	 98.38	  3.53	 38.3	   998	GB140
  7686	I3467   	12 32 24.6	+11 47 14	  7.45	  0.87	 25.6	  7504	AOlf
  7685	N4517A  	12 32 28.0	+00 23 23	 42.87	  1.63	 22.2	  1529	GB140
  7689	M+726020	12 32 28.9	+39 35 23	  7.28	  0.86	 11.5	  6214	GB300
  7695	I3476   	12 32 41.9	+14 03 01	  5.31	  0.76	 10.7	  -175	AOlf
  7694	N4517   	12 32 45.8	+00 06 50	175.27	 17.07	 33.7	  1126	GB140
220756	042-147 	12 32 49.9	+03 17 57	  5.73	  0.67	  8.1	  4985	AOlf
  7697	099-085 	12 32 51.6	+20 11 00	 10.57	  1.39	 20.1	  2532	AOlf
  7698	159-013 	12 32 54.5	+31 32 30	 42.67	  1.68	 48.7	   331	GB140
220772	I3489   	12 33 13.6	+12 14 48	  0.62	  0.09	  4.8	  7865	AOlf
 28604	442 G  2	12 33 21.8	-28 43 38	  4.59	  0.58	 10.9	  3553	Nanc
 28606	506 G 17	12 33 26.5	-27 39 08	  2.44	  0.36	  6.3	  2131	GB140
520073	UA286   	12 33 36.2	-04 53 05	 24.67	  2.65	 19.1	  1291	GB300
  7711	N4522   	12 33 39.4	+09 10 24	  8.47	  0.74	  7.3	  2328	GB140
220786	I3500   	12 33 49.4	+13 57 47	  3.09	  0.33	 17.4	  6120	AOlf
  7714	N4525   	12 33 51.2	+30 16 38	 10.72	  1.53	 36.8	  1176	AOlf
520076	N4524   	12 33 54.3	-12 01 38	  5.44	  0.61	  8.8	  4843	Nanc
  7716	I 800   	12 33 56.7	+15 21 16	  1.37	  0.15	 14.0	  2340	AOlf
  7723	N4534   	12 34 05.5	+35 31 05	 67.81	  1.97	 49.3	   802	GB140
  7724	I3516   	12 34 17.2	+27 27 07	  5.88	  0.74	 16.8	  6855	AOlf
  7726	N4532   	12 34 19.5	+06 28 02	 68.24	  3.36	 25.0	  2011	GB140
221477	MYSTERY 	12 34 29.0	+64 06 03	  6.88	  0.70	 23.6	  2369	GB300
  7747	N4545   	12 34 34.2	+63 31 30	 15.23	  0.81	 11.0	  2737	GB140
  7745	Mail76  	12 34 38.4	+73 40 00	  1.33	  0.25	  5.9	  1183	GB300
  7750	159-018 	12 35 09.3	+29 44 36	  4.37	  0.70	 15.5	  8065	AOlf
  7758	N4562   	12 35 34.5	+25 50 58	  8.29	  1.06	 44.4	  1352	AOlf
  7756	N4544   	12 35 36.7	+03 02 04	  4.44	  0.59	 11.8	  1152	AOlf
220825	099-097 	12 35 43.7	+14 24 43	  3.71	  0.40	 11.5	  9170	AOlf
  7766	N4559   	12 35 57.7	+27 57 34	380.30	 31.14	 86.1	   814	GB140
  7768	N4561   	12 36 08.1	+19 19 22	 26.93	  2.73	 99.9	  1409	AOlf
  7772	N4565   	12 36 21.0	+25 59 13	438.82	123.48	 99.9	  1282	AOlf
  7774	216-014 	12 36 23.0	+40 00 17	 30.35	  2.41	 12.8	   522	GB140
  7787	I3587   	12 36 48.4	+27 32 53	  9.44	  1.21	 21.8	  7340	AOlf
  7791	I3598   	12 37 21.1	+28 12 28	  1.04	  0.13	  9.7	  7674	AOlf
 28657	N4574   	12 37 43.2	-35 30 59	  9.38	  0.58	  9.6	  2952	GB140
  7794	N4580   	12 37 48.5	+05 22 05	  0.88	  0.13	  6.8	  1041	AOlf
220864	N4585   	12 38 11.9	+28 56 17	  2.56	  0.28	 13.4	  7291	AOlf
  7802	042-186 	12 38 20.9	+07 53 27	  4.55	  0.58	 21.7	  1788	AOlf
220869	I3609   	12 38 34.7	+14 21 08	  1.81	  0.19	 16.1	  9190	AOlf
  7806	014-086 	12 38 35.9	+01 24 06	  8.25	  1.16	 11.4	  5199	AOlf
  7808	I3608   	12 38 37.3	+10 28 33	 15.69	  2.63	 20.7	  7280	AOlf
220872	CVn I   	12 38 39.9	+32 46 00	 16.32	  0.41	 52.0	   309	GB140
  7810	N4588   	12 38 45.4	+06 46 04	  6.22	  0.69	 18.9	  5607	AOlf
  7819	N4592   	12 39 18.7	-00 31 55	188.38	 10.56	 60.2	  1069	GB140
  7827	M+823071	12 39 38.9	+44 49 13	  8.11	  0.86	 22.4	   555	GB300
 28689	506 G 31	12 39 45.2	-26 20 10	  1.88	  0.36	  4.2	  2961	GB140
  7826	N4595   	12 39 52.0	+15 17 51	  7.52	  0.82	 24.9	   631	AOlf
520103	N4597   	12 40 12.8	-05 47 59	 76.41	  7.69	 43.7	  1037	GB300
220907	I3638   	12 40 16.5	+10 31 06	  2.50	  0.25	 31.3	  6462	AOlf
 28697	381 G  5	12 40 33.2	-36 58 09	  9.69	  0.96	 15.8	  5694	Nanc
  7836	159-052 	12 40 56.2	+29 27 54	  6.79	  0.78	 15.0	  9337	AOlf
  7848	315-052 	12 40 57.3	+63 31 09	  8.43	  0.87	 16.6	  2498	GB300
  7839	N4606   	12 40 57.6	+11 54 39	  1.33	  0.19	 11.2	  1649	AOlf
  7845	159-055 	12 41 16.3	+27 51 10	  5.49	  0.69	 16.8	  7737	AOlf
520117	M-232023	12 41 24.0	-12 36 51	  6.19	  0.66	 11.0	  4349	Nanc
  7849	N4611   	12 41 25.5	+13 43 44	  7.85	  0.90	 20.1	  6117	AOlf
  7853	N4618   	12 41 32.4	+41 09 00	 87.38	  2.45	 51.1	   548	GB140
  7852	N4615   	12 41 37.4	+26 04 20	 18.92	  2.02	 18.8	  4728	AOlf
 28722	507 G  2	12 42 11.3	-25 25 44	  2.95	  0.33	  8.9	  7333	Nanc
  7871	N4630   	12 42 31.2	+03 57 35	  8.78	  0.97	 22.2	   741	AOlf
  7870	N4632   	12 42 32.1	-00 05 00	 55.87	  2.83	 13.1	  1721	GB140
  7876	N4635   	12 42 39.1	+19 56 43	 11.15	  1.23	 29.7	   956	AOlf
  7873	015-001 	12 42 40.7	+01 20 43	  6.49	  0.79	 10.5	  5024	AOlf
  7875	N4634   	12 42 40.7	+14 17 49	  8.23	  1.16	 27.1	   139	AOlf
  7877	        	12 42 47.2	+27 16 17	  4.45	  0.53	 20.9	  5907	AOlf
  7883	015-002 	12 42 57.2	-01 13 46	 29.85	  4.45	 32.5	  3210	AOlf
  7890	159-059 	12 43 05.3	+27 42 48	  2.34	  0.26	  8.7	  7525	AOlf
220961	I3698   	12 43 17.2	+11 12 41	  1.87	  0.20	 24.7	  8354	AOlf
  7893	N4642   	12 43 17.6	-00 38 41	  9.29	  1.20	  8.8	  2644	AOlf
220965	I3702   	12 43 28.3	+10 52 25	  1.91	  0.20	 10.3	  8638	AOlf
  7897	159-062 	12 43 28.7	+29 27 59	  2.13	  0.27	  9.0	  9360	AOlf
  7908	335-021 	12 43 37.9	+73 36 47	  2.33	  0.31	  8.8	  1668	GB300
  7901	N4651   	12 43 42.6	+16 23 35	 66.24	  2.38	 18.2	   800	GB140
  7902	N4654   	12 43 56.6	+13 07 35	 56.09	  2.40	 21.9	  1036	GB140
220980	I3714   	12 44 23.0	+10 11 19	  1.68	  0.23	  5.9	  9117	AOlf
  7917	N4662   	12 44 26.2	+37 07 14	  4.95	  0.74	  5.7	  6995	AOlf
220981	I3723   	12 44 30.5	+40 44 12	  6.33	  0.78	  8.4	  5353	GB300
  7922	270-017 	12 44 32.3	+56 08 59	 15.44	  1.74	 13.0	  4763	Effs
520135	N4658   	12 44 37.7	-10 05 00	 17.84	  1.82	 13.4	  2397	GB300
  7921	I3726   	12 44 42.6	+40 40 42	 16.91	  1.93	 11.6	  5132	GB300
220986	071-025 	12 44 45.6	+09 45 29	  2.35	  0.28	  6.7	 13917	AOlf
 28771	574 G 28	12 44 48.4	-20 47 06	  2.91	  0.35	  6.5	  3543	Nanc
220988	I3724   	12 44 53.7	+10 16 57	  2.33	  0.25	 15.2	 14069	AOlf
  7926	N4666   	12 45 08.3	-00 27 48	 93.30	 16.76	 51.3	  1513	AOlf
  7932	I3742a  	12 45 31.7	+13 19 52	 11.24	  1.21	 51.7	   965	AOlf
  7931	N4668   	12 45 31.8	-00 32 09	 12.93	  1.33	 31.3	  1619	AOlf
 28778	507 G  7	12 45 41.0	-26 14 35	 19.80	  1.74	  7.6	  5300	GB140
221001	VCC2034 	12 46 07.9	+10 09 49	  1.07	  0.18	  9.8	  1507	AOlf
  7937	I3754   	12 46 15.5	+08 20 53	  3.76	  0.42	 11.3	  6457	AOlf
  7943	043-023 	12 46 45.6	+05 57 19	 14.17	  1.86	 39.2	   836	AOlf
  7944	I 816   	12 46 46.4	+09 51 00	  0.26	  0.05	  4.6	  7156	AOlf
  7949	M+628030	12 46 59.6	+36 28 33	 19.06	  1.84	 70.2	   331	Nanc
  7962	N4693   	12 47 09.1	+71 10 34	 17.34	  1.79	 30.3	  1674	GB300
  7948	        	12 47 09.3	+09 00 57	  2.57	  0.34	  7.0	 14063	AOlf
  7955	M+530080	12 47 11.7	+26 42 48	  3.07	  0.40	 11.3	  6756	AOlf
221022	159-075 	12 47 28.3	+27 27 27	  4.22	  0.42	 21.6	  6609	AOlf
  7965	N4689   	12 47 45.6	+13 45 45	 10.32	  1.16	 10.0	  1601	GB300
 28824	507 G 13	12 48 05.7	-27 34 38	 10.17	  0.85	  6.3	  3207	GB140
  7969	N4694   	12 48 15.0	+10 59 00	  4.67	  0.68	  6.2	  1147	GB300
  7970	N4698   	12 48 22.9	+08 29 15	 34.78	  1.54	 16.6	  1006	GB140
221030	071-047a	12 48 34.0	+09 07 47	  1.09	  0.12	 10.2	  7555	AOlf
221032	071-048 	12 48 35.5	+10 52 30	  1.58	  0.24	  4.8	 12140	AOlf
221033	159-080 	12 48 42.0	+26 25 02	  2.42	  0.35	  9.3	  6859	AOlf
221035	071-049 	12 48 49.7	+10 21 32	  1.82	  0.22	  9.0	 13299	AOlf
221042	071-050 	12 49 22.2	+09 49 03	  2.75	  0.33	  6.4	 13553	AOlf
520163	N4705   	12 49 25.1	-05 11 46	 26.53	  1.48	 12.6	  4293	GB140
  7977	N4712   	12 49 34.3	+25 28 11	 21.05	  2.67	 19.4	  4381	AOlf
  7978	159-082 	12 49 36.9	+30 50 42	  4.09	  0.43	 18.7	  8078	AOlf
  7981	        	12 49 41.5	+30 45 08	  2.68	  0.34	 12.4	  4866	AOlf
  7985	N4713   	12 49 57.9	+05 18 39	 58.93	  1.79	 39.3	   652	GB140
221048	071-052 	12 49 58.2	+11 15 50	  1.81	  0.20	  9.4	  7435	AOlf
  7995	        	12 50 00.1	+78 23 05	  5.04	  0.61	  9.9	  1800	GB300
221049	129-026 	12 50 06.0	+25 01 18	  1.58	  0.21	  8.6	  6461	AOlf
  7994	N4750   	12 50 07.2	+72 52 28	 11.20	  1.15	 16.2	  1620	GB300
  7989	N4725   	12 50 26.6	+25 30 01	146.15	 10.33	 42.9	  1209	GB140
  7993	270-027 	12 50 31.6	+52 07 21	 20.83	  2.40	 14.5	  4793	GB300
  7991	015-027 	12 50 39.0	+01 27 50	  4.16	  0.60	  8.3	  1272	AOlf
  7996	N4736   	12 50 52.6	+41 07 09	100.74	  8.93	 36.2	   308	GB140
  8000	N4741   	12 50 59.6	+47 40 17	  6.66	  0.76	  8.4	  8858	GB300
520188	N4731   	12 51 00.8	-06 23 35	143.06	  7.03	 37.0	  1491	GB140
221059	N4735   	12 51 02.2	+28 55 44	  0.89	  0.12	  6.9	  6443	AOlf
221060	159-090 	12 51 03.5	+27 22 10	  5.33	  0.53	 58.6	  8315	AOlf
  7999	N4738   	12 51 08.9	+28 47 16	 11.26	  1.64	 18.8	  4754	AOlf
  8006	N4749   	12 51 12.3	+71 38 07	  6.54	  0.73	 10.4	  1742	GB300
  7998	N4734   	12 51 12.9	+04 51 30	  3.91	  0.43	 12.1	  7522	AOlf
221064	071-057 	12 51 23.2	+14 04 52	  3.46	  0.39	 16.1	  6572	AOlf
  8004	159-096 	12 51 37.9	+31 21 09	  6.67	  0.81	 20.2	  6186	AOlf
  8007	N4746   	12 51 55.1	+12 04 58	 21.65	  2.81	 30.0	  1781	AOlf
221075	071-061 	12 51 57.9	+09 31 11	  2.11	  0.23	 10.6	  7169	AOlf
 28906	507 G 29	12 51 59.8	-26 37 17	  6.57	  0.70	 20.0	  3409	Nanc
  8011	VIIIZ216	12 52 21.0	+21 37 45	 10.46	  0.37	 13.8	   764	GB140
 28922	442 G 28	12 52 35.1	-31 53 13	 10.76	  0.68	 13.8	  3543	GB140
  8013	159-099 	12 52 36.2	+26 44 59	  2.90	  0.35	 13.0	  7882	AOlf
  8014	N4758   	12 52 44.1	+15 50 54	 23.40	  3.38	 43.0	  1244	AOlf
  8017	159-102 	12 52 53.6	+28 22 14	  4.87	  0.52	 12.6	  7061	AOlf
  8019	I3852   	12 53 03.1	+35 46 20	  4.05	  0.49	  7.8	  4373	AOlf
  8020	N4771   	12 53 21.1	+01 16 07	 15.09	  1.36	  6.6	  1132	GB140
520228	N4775   	12 53 46.2	-06 37 26	 37.06	  3.59	 66.0	  1566	GB300
  8025	159-110 	12 54 02.5	+29 36 11	  9.44	  1.38	 16.8	  6319	AOlf
  8024	N4789A  	12 54 05.4	+27 08 55	 32.26	  0.71	 68.4	   364	GB140
 28968	443 G  6	12 54 36.2	-31 52 50	 12.03	  0.55	 25.7	  3567	GB140
  8033	N4793   	12 54 40.8	+28 56 18	 33.85	  3.34	 24.1	  2484	GB300
  8040	294-002 	12 54 43.2	+58 46 34	 12.61	  1.46	 11.9	  2553	GB300
  8036	I3881   	12 54 48.5	+19 10 34	 41.01	  2.73	 13.5	   920	GB140
  8052	335-027 	12 54 52.7	+73 10 43	  7.76	  0.86	 11.6	  1541	GB300
  8037	N4795   	12 55 02.8	+08 03 55	  2.25	  0.29	  6.8	  2812	AOlf
222508	I3895   	12 55 09.3	+39 12 11	  7.64	  0.80	 28.6	  7311	GB300
  8041	015-037 	12 55 12.7	+00 06 58	 25.23	  1.09	 15.1	  1324	GB140
  8051	N4814   	12 55 21.9	+58 20 38	 32.32	  3.18	 31.1	  2507	GB300
  8054	N4808   	12 55 48.7	+04 18 16	 87.15	  3.77	 24.3	   760	GB140
 28999	575 G 29	12 55 58.2	-19 16 07	 22.10	  1.32	 10.6	  3163	GB140
  8055	        	12 56 04.5	+03 48 46	 12.58	  1.23	 37.2	   617	AOlf
221126	UA309   	12 56 17.8	+34 39 17	  5.65	  0.17	 19.5	   730	GB140
  8056	071-075 	12 56 19.9	+10 11 18	 10.35	  1.07	 43.5	  2698	AOlf
221130	I3913   	12 56 28.4	+27 17 27	  0.90	  0.11	 10.0	  7525	AOlf
  8062	N4826   	12 56 43.8	+21 41 00	 51.25	  3.27	 16.8	   409	GB140
  8064	071-076 	12 56 46.5	+11 05 29	  5.38	  0.67	 13.8	  6468	AOlf
221140	071-077 	12 56 48.0	+11 09 56	  0.76	  0.11	  5.5	 13848	AOlf
  8068	N4837a  	12 56 48.3	+48 17 48	  5.25	  0.76	  5.2	  8908	GB300
  8067	015-044 	12 57 12.0	-01 42 24	 26.74	  2.82	 18.7	  2845	GB300
520292	M-233071	12 57 12.7	-15 02 05	  2.02	  0.28	  5.7	  3740	Nanc
  8076	160-050 	12 57 49.9	+29 39 14	  2.97	  0.35	 11.8	  2526	AOlf
520334	N4843   	12 57 58.7	-03 37 11	  7.57	  0.91	  6.8	  4934	GB300
  8078	N4845   	12 58 01.2	+01 34 33	  3.02	  0.58	 12.1	  1098	AOlf
  8082	N4848   	12 58 05.4	+28 14 36	  0.96	  0.12	  9.4	  7138	AOlf
221206	160-058 	12 58 09.3	+28 42 29	  1.61	  0.18	 12.0	  7616	AOlf
221209	160-060 	12 58 09.9	+32 01 00	  1.26	  0.15	  7.6	  7993	AOlf
  8085	100-018 	12 58 17.3	+14 33 23	 22.56	  3.04	 73.4	  2041	AOlf
  8088	071-085 	12 58 22.8	+13 52 20	  3.06	  0.32	 20.1	  6434	AOlf
221215	071-084 	12 58 24.8	+09 37 47	  3.67	  0.42	  7.7	  7172	AOlf
  8093	071-088 	12 58 50.8	+09 39 13	  4.48	  0.48	 10.9	  7152	AOlf
  8099	N4868   	12 59 09.0	+37 18 36	  2.38	  0.44	  4.6	  4654	AOlf
  8102	N4866   	12 59 27.0	+14 10 14	 35.28	  2.61	 12.1	  1980	GB140
520377	N4862   	12 59 33.2	-14 08 22	  4.06	  0.44	 11.2	  6454	Nanc
 29082	443 G 21	12 59 45.2	-29 35 56	 16.46	  1.82	 13.8	  2808	Nanc
221326	I 841   	12 59 47.3	+21 48 47	  1.10	  0.16	  4.7	  7163	AOlf
  8120	335-031 	12 59 56.3	+73 41 33	 10.66	  1.09	 17.5	  1663	GB300
221374	A1656-3 	13 00 14.3	+27 16 50	  1.38	  0.16	  9.5	 11104	AOlf
221401	160-086 	13 00 33.6	+27 38 02	  0.26	  0.04	  4.0	  7499	AOlf
  8116	N4900   	13 00 39.0	+02 30 05	 26.09	  3.57	 73.6	   963	AOlf
  8118	I 842   	13 00 39.5	+29 01 08	  1.51	  0.17	  8.1	  7289	AOlf
221409	A1656241	13 00 40.5	+28 31 11	  1.71	  0.19	 12.5	  8901	AOlf
  8128	N4911   	13 00 56.1	+27 47 24	  0.73	  0.09	  6.1	  7985	AOlf
  8121	N4904   	13 00 58.6	-00 01 39	 15.33	  1.93	 18.0	  1173	AOlf
 29131	N4903   	13 01 22.0	-30 56 01	  2.88	  0.33	  9.7	  4972	Nanc
  8134	N4921   	13 01 26.1	+27 53 08	  1.01	  0.14	 11.7	  5482	AOlf
221443	071-099 	13 01 41.5	+10 00 59	  2.42	  0.31	  6.4	  8184	AOlf
  8140	I4088   	13 01 43.3	+29 02 38	  5.18	  0.64	 18.3	  7095	AOlf
 29140	507 G 67	13 01 48.5	-27 07 24	  8.77	  0.66	  8.8	  3053	GB140
520402	M-133071	13 01 49.5	-08 20 07	 13.03	  1.64	  7.8	  3821	Nanc
  8146	294-010 	13 02 07.6	+58 41 55	 37.91	  3.00	 16.9	   668	GB140
221465	A1656202	13 02 11.6	+28 10 20	  0.59	  0.07	  8.9	  8950	AOlf
  8164	353-010 	13 02 17.9	+78 32 30	  4.19	  0.59	  6.9	  6634	GB300
  8145	189-015 	13 02 18.2	+32 53 23	  2.24	  0.28	  6.7	  7579	AOlf
520412	M-333028	13 02 25.3	-17 40 45	 16.44	  2.22	  7.7	  4655	Nanc
  8150	N4932   	13 02 37.7	+50 26 16	 14.62	  1.45	 26.4	  7088	GB300
  8149	043-110 	13 02 47.9	+06 47 07	  2.96	  0.39	 12.8	  7139	AOlf
  8161	160-121 	13 03 29.1	+26 33 00	  4.23	  0.45	 20.2	  6676	AOlf
530005	M-133076	13 03 46.5	-05 08 01	 11.29	  1.24	  9.4	  4007	Nanc
  8166	071-102 	13 03 52.4	+10 58 20	  5.37	  0.77	 12.9	  2943	AOlf
530009	N4941   	13 04 12.8	-05 33 06	  5.84	  0.68	 13.6	  1114	GB300
530010	N4939   	13 04 14.2	-10 20 22	 57.88	  3.08	 11.5	  3112	GB140
230051	160-127 	13 04 26.5	+27 18 19	  2.59	  0.27	 15.4	  5500	AOlf
530012	015-060 	13 04 31.0	-03 34 19	 44.60	  1.27	 31.6	  1360	GB140
230053	071-106 	13 04 53.2	+13 14 20	  2.24	  0.23	 15.0	 18192	AOlf
 29208	575 G 53	13 05 05.2	-22 23 03	  8.10	  0.96	  9.0	  2544	Nanc
530015	N4951   	13 05 07.2	-06 29 42	 41.39	  4.17	 34.1	  1177	GB300
  8185	N4961   	13 05 47.6	+27 44 00	 16.78	  1.77	 53.0	  2533	AOlf
  8186	043-142 	13 05 58.5	+03 57 22	  6.61	  0.88	 10.5	  7009	AOlf
  8191	I4189   	13 06 03.6	+35 58 47	  7.64	  0.83	 14.8	  4818	AOlf
  8193	M+531129	13 06 08.3	+30 12 31	  2.11	  0.28	  8.0	  4848	AOlf
  8194	N4966   	13 06 17.3	+29 03 46	  4.68	  0.51	  8.5	  7051	AOlf
  8192	072-001 	13 06 18.4	+10 22 36	  2.97	  0.38	  5.9	  9673	AOlf
  8195	M+531130	13 06 22.0	+29 39 25	  4.50	  0.93	 12.1	  7040	AOlf
230082	160-139 	13 06 38.0	+28 50 54	  4.54	  0.46	 34.6	  4749	AOlf
  8203	M+629038	13 07 24.4	+32 51 43	  8.78	  1.24	 16.6	  5299	AOlf
  8210	M+629041	13 07 37.8	+32 46 29	  3.41	  0.36	 13.6	  6753	AOlf
  8202	I 849   	13 07 38.6	-00 56 32	  8.12	  0.81	 27.4	  5424	AOlf
  8209	N4979   	13 07 42.9	+24 48 37	  5.68	  0.60	 16.4	  6328	AOlf
  8224	        	13 08 21.5	+39 27 38	  7.29	  0.86	 10.9	  3292	Effs
  8264	366-002 	13 08 28.7	+84 37 49	  3.94	  0.50	  9.7	  4650	GB300
  8220	I4202   	13 08 31.5	+24 42 01	  5.42	  0.74	 18.5	  7127	AOlf
  8219	I 851   	13 08 34.3	+21 02 57	  9.11	  0.99	 11.5	  2612	AOlf
 29277	323 G 85	13 08 38.7	-41 27 35	 19.36	  1.50	  7.2	  3124	GB140
530033	N4981   	13 08 48.9	-06 46 46	 36.96	  1.43	 12.7	  1678	GB140
  8229	160-148 	13 08 54.2	+28 11 00	  3.94	  0.43	 18.8	  5988	AOlf
230117	M+531141	13 08 57.0	+28 16 50	  2.24	  0.31	 17.0	  5849	AOlf
  8233	044-014 	13 09 23.2	+06 59 45	  8.06	  0.99	 19.7	  3635	AOlf
