#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T20:11:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T20:11:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJ%2F809%2F146%2Ftable1&-out=NSA,RAJ2000,DEJ2000,Dist,e_Dist,Inc,Reff,e_Reff,MHI,e_MHI,Mstar,e_Mstar,Ref,SimbadName&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18090146
#Name: J/ApJ/809/146
#Title: SDSS-DR8 isolated low-mass galaxies (Bradford+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/809/146	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/809/146	    IVOID of underlying data collection
#INFO	creator=Bradford J.D.	    First author or institution
#INFO	cites=bibcode:2015ApJ...809..146B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/809/146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18090146	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_809_146_table1:
#Name: J/ApJ/809/146/table1
#Title: Isolated galaxy data sample
#Column	NSA	(I6)	[162/171138] NASA Sloan Atlas v0.1.2 identifier	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F6.2)	[13/246] Heliocentric luminosity distance	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	[1/4] Uncertainty in Dist	[ucd=stat.error]
#Column	Inc	(I2)	[8/90] Inclination Angle	[ucd=src.orbital.inclination;pos.posAng]
#Column	Reff	(F5.2)	[0.2/29.1] Effective radius at assumed distance	[ucd=pos.distance;phys.size.radius]
#Column	e_Reff	(F5.2)	[0.01/0.6] Uncertainty in reff	[ucd=stat.error]
#Column	MHI	(F6.3)	[0.01/59.1] HI Mass	[ucd=phys.mass]
#Column	e_MHI	(F6.3)	[0.004/28] Uncertainty in MHI	[ucd=stat.error]
#Column	Mstar	(F7.3)	[0.007/262.3] Stellar mass	[ucd=phys.mass]
#Column	e_Mstar	(F7.3)	[0.003/121] Uncertainty in Mstar	[ucd=stat.error]
#Column	Ref	(I1)	Source of HI observations (1)	[ucd=meta.bib]
#Column	SimbadName	(A24)	Simbad column added by the CDS	[ucd=meta.id]
NSA	RAJ2000	DEJ2000	Dist	e_Dist	Inc	Reff	e_Reff	MHI	e_MHI	Mstar	e_Mstar	Ref	SimbadName
 80542	14 52 37.91	+06 15 38.71	121.73	 2.14	46	 5.08	 0.09	 8.511	 1.922	 29.966	 13.802	2	SDSS J145237.90+061538.6
 80558	14 56 12.11	+05 43 57.56	 92.94	 2.14	90	 3.70	 0.09	 4.302	 0.721	  0.482	  0.222	2	SDSS J145612.11+054357.1
 80608	15 00 02.55	+05 34 03.34	134.93	 2.14	65	 3.06	 0.05	10.316	 1.779	  8.039	  3.703	2	SDSS J150002.53+053403.3
 80623	14 58 37.86	+06 46 30.68	 25.13	 1.64	42	 0.87	 0.06	 0.835	 0.228	  0.306	  0.141	2	SDSS J145837.85+064630.5
 80624	14 57 44.89	+06 37 37.02	 92.86	 1.93	74	 8.36	 0.17	 9.238	 0.984	 77.061	 35.494	2	SDSS J145744.89+063736.9
 80652	15 05 01.05	+05 47 48.37	140.18	 2.14	72	13.12	 0.20	22.047	 2.617	 93.336	 42.990	2	SDSS J150501.04+054748.3
 80663	15 06 22.28	+06 22 47.59	163.89	 2.14	35	 7.04	 0.09	17.227	 1.802	 58.997	 27.174	2	SDSS J150622.27+062247.5
 80674	15 14 05.11	+05 03 53.86	113.95	 2.14	80	 7.87	 0.15	 3.807	 0.734	  4.958	  2.284	2	SDSS J151405.10+050353.9
 81049	15 21 25.01	+06 29 05.33	145.38	 2.14	63	 5.74	 0.08	 2.509	 1.891	 27.119	 12.491	2	SDSS J152125.00+062905.2
 81172	15 24 27.91	+04 21 40.49	235.28	 2.14	75	11.49	 0.10	21.787	13.498	 29.219	 13.458	2	SDSS J152427.91+042140.5
 81228	15 30 10.95	+05 50 18.60	 96.23	 2.14	49	 5.02	 0.11	 5.114	 0.637	  6.799	  3.132	2	SDSS J153010.93+055018.5
 81229	15 30 45.90	+05 49 20.78	216.71	 2.14	87	 6.29	 0.06	 8.631	 2.237	 10.297	  4.743	2	SDSS J153045.88+054921.1
 81235	15 32 18.19	+05 40 41.49	175.72	 2.14	45	 4.12	 0.05	 7.889	 4.744	 14.630	  6.739	2	SDSS J153218.18+054041.5
 81304	15 39 02.74	+05 50 27.16	183.00	 2.14	48	 8.94	 0.10	20.832	 3.259	 79.771	 36.743	2	SDSS J153902.73+055027.0
 81315	15 41 06.33	+04 45 10.37	 20.12	 1.75	55	 0.66	 0.06	 0.024	 0.026	  0.033	  0.015	2	SDSS J154106.34+044510.1
 81325	15 43 29.88	+04 47 39.97	 92.86	 1.86	76	 8.55	 0.17	 7.143	 0.727	 12.020	  5.536	2	SDSS J154329.87+044740.0
 81347	16 06 29.22	+04 16 23.65	132.56	 2.14	35	 7.19	 0.12	12.060	 1.495	 22.974	 10.582	2	SDSS J160629.21+041623.6
 81546	14 28 31.26	+32 52 35.09	 29.24	 1.86	90	 1.11	 0.07	 0.232	 0.061	  0.028	  0.013	1	SDSS J142831.26+325234.5
 81687	14 46 11.58	+32 08 41.74	 30.20	 1.89	72	 0.63	 0.04	 0.258	 0.067	  0.029	  0.013	1	SDSS J144611.53+320842.0
 81817	15 18 57.25	+28 07 56.70	203.89	 2.14	28	 7.87	 0.08	 7.071	 1.649	 16.556	  7.626	2	SDSS J151857.23+280756.8
 81818	15 20 46.76	+27 31 43.26	142.03	 2.14	59	 4.38	 0.07	 9.218	 0.884	  3.412	  1.571	2	SDSS J152046.75+273143.2
 81840	15 21 51.21	+27 28 44.55	201.55	 2.14	54	10.40	 0.11	17.488	 3.659	 38.721	 17.835	2	SDSS J152151.20+272844.5
 81879	15 30 53.48	+27 08 58.00	 28.92	 1.97	89	 1.81	 0.12	 0.327	 0.103	  0.124	  0.057	2	SDSS J153053.39+270856.8
 81937	15 39 40.41	+25 44 23.34	222.32	 2.14	69	14.98	 0.14	34.940	12.194	133.045	 61.280	2	SDSS J153940.40+254423.3
 81970	15 40 37.05	+26 20 55.56	 56.72	 1.82	52	 3.24	 0.10	 2.462	 0.351	  2.447	  1.127	2	SDSS J154037.03+262055.4
 81975	15 44 21.73	+26 04 38.65	163.85	 2.14	29	 8.63	 0.11	11.373	 1.353	 10.237	  4.715	2	SDSS J154421.72+260438.6
 82005	15 49 36.35	+24 37 32.83	205.12	 2.14	57	 7.24	 0.08	13.566	 3.429	  7.471	  3.441	2	SDSS J154936.34+243732.7
 82015	15 51 01.82	+23 57 36.31	107.13	 2.14	65	 5.80	 0.12	 4.044	 1.340	 14.436	  6.649	2	SDSS J155101.81+235736.4
 82038	15 50 06.39	+25 03 17.38	139.69	 2.14	53	 8.92	 0.14	12.990	 1.260	 64.636	 29.771	2	SDSS J155006.38+250317.3
 82046	15 51 25.22	+25 45 39.01	204.67	 2.14	75	11.95	 0.13	35.145	 9.268	113.098	 52.093	2	SDSS J155125.22+254539.0
 82049	15 51 13.28	+25 42 06.89	 94.33	 2.14	66	 4.46	 0.10	 4.232	 0.685	 65.554	 30.194	2	SDSS J155113.27+254206.8
 82103	15 55 45.33	+24 29 38.13	143.54	 2.14	90	10.02	 0.15	10.526	 8.245	 39.549	 18.216	2	SDSS J155545.33+242938.0
 82108	15 56 52.68	+24 39 42.59	108.69	 2.14	90	 5.57	 0.11	 5.456	 0.702	  7.315	  3.369	2	SDSS J155652.66+243942.5
 82250	16 18 13.60	+20 31 44.46	 40.38	 1.71	55	 1.14	 0.05	 0.067	 0.013	  0.044	  0.020	1	SDSS J161813.55+203144.4
 82349	16 26 34.06	+20 48 42.52	 72.65	 2.68	65	 3.96	 0.15	 1.748	 0.276	  0.699	  0.322	1	SDSS J162634.06+204841.9
 83825	07 55 23.56	+15 33 32.16	207.64	 2.14	61	 9.98	 0.10	19.597	 3.114	 13.305	  6.128	2	SDSS J075523.55+153332.1
 83827	07 55 30.91	+15 31 59.15	158.91	 2.14	62	 5.33	 0.07	 6.014	 2.173	  4.453	  2.051	2	SDSS J075530.91+153159.1
 83836	07 52 00.45	+15 45 29.47	222.91	 2.14	55	10.64	 0.10	15.325	 5.289	 77.589	 35.738	2	SDSS J075200.44+154529.4
 84348	08 32 03.50	+24 00 39.28	 81.63	 1.46	 8	 7.66	 0.14	 9.843	 0.772	 34.783	 16.021	2	SDSS J083203.49+240039.2
 84378	08 43 06.12	+25 32 20.61	194.45	 2.14	34	 7.78	 0.09	11.445	 4.939	 85.383	 39.328	2	SDSS J084306.12+253220.6
 84380	08 39 54.38	+24 16 52.93	102.85	 2.14	80	 2.61	 0.05	 2.794	 0.883	  0.805	  0.371	2	SDSS J083954.37+241653.1
 84424	08 34 03.23	+25 35 09.20	 53.64	 2.18	22	 1.27	 0.05	 0.497	 0.106	  0.449	  0.207	2	SDSS J083403.22+253508.9
 84454	08 45 10.27	+25 57 41.73	110.71	 2.14	31	 5.18	 0.10	 8.517	 0.850	  5.734	  2.641	2	SDSS J084510.24+255741.7
 84510	08 53 44.60	+26 59 47.80	 93.32	 2.14	38	 3.74	 0.09	 1.965	 0.322	  1.119	  0.515	2	SDSS J085344.58+265948.0
 84543	08 53 24.42	+27 40 39.47	 78.25	 1.54	69	 0.99	 0.02	 1.196	 0.487	  0.225	  0.104	2	SDSS J085324.41+274039.2
 84544	08 53 27.90	+27 44 50.95	 63.95	 2.29	67	 1.76	 0.06	 1.033	 0.202	  0.730	  0.336	2	SDSS J085327.88+274451.0
 84547	08 59 11.23	+24 32 10.75	118.25	 2.14	35	 6.55	 0.12	 3.309	 0.578	  2.103	  0.969	2	SDSS J085911.22+243210.6
 84550	08 57 45.12	+25 23 47.21	 62.77	 2.43	37	 2.15	 0.08	 0.632	 0.220	  1.689	  0.778	2	SDSS J085745.10+252347.1
 84560	08 49 56.67	+25 41 02.79	 37.13	 2.22	70	 0.63	 0.04	 0.636	 0.179	  0.115	  0.053	2	SDSS J084956.65+254102.6
 84563	08 53 08.08	+25 58 40.49	 95.44	 2.14	43	 2.62	 0.06	 2.382	 0.363	  0.952	  0.438	2	SDSS J085308.08+255840.5
 84573	08 59 35.04	+26 48 14.40	202.39	 2.14	74	 3.84	 0.04	14.414	 7.106	  1.592	  0.733	2	SDSS J085935.03+264814.3
 84579	09 01 09.53	+27 09 13.03	118.29	 2.14	28	 2.02	 0.04	 4.246	 0.598	  5.458	  2.514	2	SDSS J090109.52+270913.1
 84655	09 04 22.84	+27 57 10.75	 45.62	 2.36	61	 1.92	 0.10	 1.763	 0.384	  8.379	  3.860	2	SDSS J090422.83+275710.8
 84663	09 08 04.99	+27 14 59.66	 92.01	 1.95	44	 5.68	 0.12	 7.260	 0.745	 27.624	 12.724	2	SDSS J090804.98+271459.6
 84669	09 08 26.95	+28 07 04.77	141.86	 2.14	35	 3.38	 0.05	 5.585	 1.542	  0.871	  0.401	2	SDSS J090826.95+280704.6
 84777	09 22 17.11	+27 41 26.51	 30.83	 1.97	42	 0.30	 0.02	 0.261	 0.084	  0.028	  0.013	2	SDSS J092217.12+274126.4
 84784	09 20 04.34	+27 03 22.74	147.32	 2.14	30	 7.33	 0.11	 7.415	 1.781	 35.004	 16.123	2	SDSS J092004.33+270322.7
 84791	09 20 17.01	+28 01 43.64	232.94	 2.14	18	 6.93	 0.06	13.087	 4.163	 34.631	 15.951	2	SDSS J092017.00+280143.6
 84984	09 32 48.93	+26 37 10.68	110.23	 2.14	65	 4.62	 0.09	 1.847	 2.325	  0.552	  0.254	2	SDSS J093248.93+263710.4
 84995	09 30 17.37	+26 38 28.58	201.76	 2.14	29	14.69	 0.16	29.791	 3.945	172.300	 79.361	2	SDSS J093017.36+263828.5
 85014	09 24 55.11	+26 46 28.81	 64.12	 2.07	85	 9.58	 0.31	11.901	 1.606	 89.109	 41.044	2	SDSS J092455.11+264628.8
 85029	09 24 19.37	+27 07 39.28	 86.27	 1.75	47	 0.77	 0.02	 1.413	 0.350	  0.124	  0.057	2	SDSS J092419.37+270739.3
 85031	09 26 23.91	+27 43 54.80	187.65	 2.14	27	 3.87	 0.04	10.660	 1.383	 19.025	  8.763	2	SDSS J092623.90+274354.8
 85045	09 28 52.09	+27 32 18.89	208.18	 2.14	47	10.98	 0.11	12.044	 1.936	 85.408	 39.339	2	SDSS J092852.09+273218.9
 85181	09 39 07.62	+30 45 52.94	 63.60	 1.86	84	 1.49	 0.04	 0.272	 0.044	  0.215	  0.099	1	SDSS J093907.62+304552.8
 85275	09 43 53.52	+28 09 05.54	206.21	 2.14	38	 6.67	 0.07	 7.471	 2.596	  6.616	  3.047	2	SDSS J094353.50+280905.4
 85290	09 38 07.39	+28 03 27.50	147.13	 2.14	46	 6.95	 0.10	14.023	 3.730	107.232	 49.391	2	SDSS J093807.38+280327.5
 85291	09 38 02.64	+27 39 23.50	 79.56	 1.64	83	 4.03	 0.08	 1.610	 0.505	  6.782	  3.124	2	SDSS J093802.63+273923.6
 85302	09 36 31.00	+27 12 27.80	134.79	 2.14	47	 3.74	 0.06	 7.979	 2.472	 25.315	 11.660	2	SDSS J093630.99+271227.7
 85462	09 53 29.32	+30 40 35.07	 68.37	 1.61	65	 1.37	 0.03	 0.331	 0.041	  0.078	  0.036	1	SDSS J095329.32+304035.5
 85540	09 50 11.19	+28 00 44.72	 24.73	 1.86	37	 0.60	 0.05	 0.641	 0.199	  0.082	  0.038	2	SDSS J095011.18+280044.8
 86106	10 13 07.69	+36 05 47.60	 67.92	 1.71	90	 3.85	 0.10	 0.548	 0.104	  0.238	  0.110	1	SDSS J101307.70+360547.0
 86574	11 35 38.10	+31 10 27.87	 18.10	 1.97	59	 0.59	 0.06	 0.035	 0.016	  0.011	  0.005	1	SDSS J113538.17+311028.6
 86849	13 35 35.72	+29 13 03.03	 16.10	 2.00	69	 0.63	 0.08	 0.154	 0.079	  0.104	  0.048	1	SDSS J133535.68+291302.7
 87293	12 43 29.94	+33 56 37.82	 66.97	 2.07	90	 1.31	 0.04	 0.937	 0.133	  0.066	  0.031	1	SDSS J124329.94+335637.8
 89424	13 14 10.31	+35 25 15.90	 34.44	 1.71	68	 1.47	 0.07	 0.485	 0.100	  0.082	  0.038	1	SDSS J131410.27+352515.7
 89557	13 39 44.15	+27 46 35.31	123.24	 2.14	22	 5.18	 0.09	 6.361	 0.703	 24.631	 11.345	2	SDSS J133944.15+274635.2
 90130	13 49 13.06	+33 19 00.67	 31.93	 1.86	54	 2.62	 0.15	 0.586	 0.141	  0.074	  0.034	1	SDSS J134913.00+331900.0
 90338	13 43 09.17	+33 33 24.27	 43.63	 1.71	72	 2.90	 0.11	 0.565	 0.094	  0.142	  0.065	1	SDSS J134309.19+333324.5
 90384	13 42 25.80	+34 43 48.83	 35.75	 1.75	64	 0.83	 0.04	 0.036	 0.010	  0.106	  0.049	1	SDSS J134225.77+344348.8
 90442	13 09 36.91	+31 40 34.01	 32.17	 1.82	57	 0.59	 0.03	 0.051	 0.014	  0.043	  0.020	1	SDSS J130936.89+314034.0
 91088	07 59 03.99	+15 41 26.67	157.67	 2.14	57	 3.30	 0.04	 5.681	 1.038	  2.512	  1.157	2	SDSS J075903.98+154126.6
 91355	08 44 42.62	+22 11 26.51	 56.65	 2.43	57	 0.74	 0.03	 0.273	 0.057	  0.065	  0.030	1	SDSS J084442.62+221126.7
 91425	09 16 36.27	+25 18 09.57	188.39	 2.14	50	10.30	 0.12	14.077	 1.514	 66.001	 30.400	2	SDSS J091636.27+251809.5
 91435	09 16 30.63	+25 34 05.85	117.91	 2.14	90	 4.62	 0.08	 5.205	 0.795	  5.436	  2.504	2	SDSS J091630.63+253405.9
 91443	09 11 16.25	+25 00 33.61	223.29	 2.14	32	 8.82	 0.08	18.318	 2.169	 36.977	 17.031	2	SDSS J091116.24+250033.6
 91484	09 21 17.65	+26 42 35.45	146.30	 2.14	40	 9.03	 0.13	 9.061	 1.803	 33.199	 15.291	2	SDSS J092117.64+264235.5
 92125	13 39 48.64	+31 17 35.71	 14.63	 2.14	83	 2.09	 0.31	 0.257	 0.154	  0.026	  0.012	1	SDSS J133948.51+311736.2
 92473	11 33 27.29	+33 50 24.50	 38.23	 1.64	72	 1.58	 0.07	 0.198	 0.038	  0.098	  0.045	1	SDSS J113327.34+335022.8
 94066	13 47 37.47	+26 29 10.38	 77.15	 2.14	70	 1.44	 0.04	 0.767	 0.242	  0.408	  0.188	2	SDSS J134737.43+262910.4
 94080	13 49 27.38	+27 49 52.08	119.46	 2.14	43	 6.01	 0.11	 9.815	 0.881	 10.440	  4.809	2	SDSS J134927.37+274952.1
 94090	13 53 39.75	+24 49 12.23	231.93	 2.14	75	13.28	 0.12	39.599	 4.847	 64.755	 29.826	2	SDSS J135339.75+244912.2
 94150	13 47 58.90	+24 55 45.88	240.03	 2.14	83	15.17	 0.14	35.675	27.630	 64.051	 29.502	2	SDSS J134758.87+245545.5
 94427	13 57 21.11	+26 12 27.36	 34.60	 2.07	53	 0.57	 0.03	 0.033	 0.010	  0.051	  0.024	1	SDSS J135721.10+261227.2
 94454	13 58 40.36	+27 42 36.25	206.84	 2.14	13	 6.63	 0.07	 4.846	 1.285	  3.299	  1.519	2	SDSS J135840.40+274236.3
 94467	14 02 54.50	+24 51 03.26	 33.19	 2.14	83	 1.93	 0.12	 0.358	 0.108	  0.159	  0.073	2	SDSS J140254.51+245103.1
 94470	13 59 16.47	+24 24 07.35	162.57	 2.14	48	 9.00	 0.12	 9.799	 1.376	 11.592	  5.339	2	SDSS J135916.47+242407.3
 94475	13 58 25.69	+24 09 26.27	241.03	 2.14	49	13.04	 0.12	10.551	10.328	 87.769	 40.426	2	SDSS J135825.68+240926.2
 94515	13 57 39.69	+25 46 28.58	125.47	 2.14	90	13.57	 0.23	15.092	 1.397	 37.730	 17.379	2	SDSS J135739.68+254628.9
 94524	13 57 36.73	+25 32 22.54	139.98	 2.14	58	 6.97	 0.11	10.365	 1.135	 27.020	 12.445	2	SDSS J135736.73+253222.6
 94535	14 02 43.15	+24 58 18.16	229.77	 2.14	15	 8.76	 0.08	14.486	 2.554	 25.663	 11.820	2	SDSS J140243.14+245818.2
 94541	14 05 57.27	+26 48 53.06	149.22	 2.14	26	 3.89	 0.06	11.370	 1.865	 30.187	 13.904	2	SDSS J140557.26+264853.0
 94549	13 57 50.41	+26 42 40.70	 75.92	 2.11	23	 0.98	 0.03	 1.265	 0.274	  1.229	  0.566	2	SDSS J135750.40+264240.6
 94720	14 01 14.52	+26 51 42.22	212.13	 2.14	68	 9.31	 0.09	14.519	 8.839	 17.057	  7.856	2	SDSS J140114.51+265142.2
 94775	14 05 41.74	+25 23 02.64	152.02	 2.14	90	 4.51	 0.06	 7.061	 1.886	  1.516	  0.698	2	SDSS J140541.72+252302.5
 94782	14 05 43.16	+25 13 52.87	130.09	 2.14	20	 4.88	 0.08	 8.925	 0.967	 83.362	 38.396	2	SDSS J140543.16+251352.9
 94947	14 16 15.47	+26 16 04.37	215.64	 2.14	60	 5.15	 0.05	16.450	11.237	 18.901	  8.706	2	SDSS J141615.46+261604.3
 94976	14 13 16.10	+27 00 29.02	 78.96	 2.14	58	10.98	 0.30	20.021	 2.277	 54.608	 25.152	2	SDSS J141316.09+270029.0
 95002	14 17 52.51	+26 45 26.91	133.63	 2.14	51	 9.01	 0.14	19.168	 1.568	 27.600	 12.712	2	SDSS J141752.50+264526.9
 95016	14 21 31.33	+23 56 53.90	221.79	 2.14	60	19.05	 0.18	12.274	21.848	219.505	101.104	2	SDSS J142131.32+235653.9
 95048	14 10 05.96	+24 08 31.33	157.60	 2.14	66	 2.69	 0.04	 6.922	 1.695	 13.485	  6.211	2	SDSS J141005.96+240831.3
 95060	14 12 29.04	+24 38 07.81	167.40	 2.14	52	13.09	 0.17	44.640	 3.112	158.538	 73.023	2	SDSS J141229.03+243807.8
 95091	14 18 01.72	+24 49 23.72	227.90	 2.14	52	 8.95	 0.08	26.035	 2.524	 57.200	 26.346	2	SDSS J141801.72+244923.8
 95092	14 17 24.75	+24 53 53.41	225.65	 2.14	48	13.71	 0.13	 9.244	 2.578	 55.911	 25.753	2	SDSS J141724.75+245353.4
 95179	14 21 16.91	+27 41 03.71	159.66	 2.14	20	 6.51	 0.09	 6.414	 0.923	 13.891	  6.398	2	SDSS J142116.92+274103.4
 95186	14 19 21.67	+27 52 23.34	128.59	 2.14	48	 6.35	 0.11	 7.468	 1.217	  7.679	  3.537	2	SDSS J141921.67+275223.4
 95289	14 24 22.94	+24 36 50.93	 75.13	 2.39	78	 6.84	 0.22	 6.128	 0.857	 55.659	 25.637	2	SDSS J142422.93+243650.8
 95295	14 22 06.78	+26 59 48.69	130.31	 2.14	44	 6.08	 0.10	10.769	 1.020	  8.420	  3.878	2	SDSS J142206.77+265948.6
 95334	14 24 21.63	+26 20 10.81	 30.84	 2.00	54	 0.75	 0.05	 0.178	 0.058	  0.069	  0.032	2	SDSS J142421.58+262011.0
 95412	14 24 11.23	+23 54 48.81	158.14	 2.14	39	 7.75	 0.11	12.527	 1.354	 45.351	 20.889	2	SDSS J142411.23+235448.9
 95415	14 25 21.78	+24 23 57.95	175.89	 2.14	41	 6.41	 0.08	 7.989	 2.461	 11.984	  5.520	2	SDSS J142521.78+242357.9
 95539	14 28 31.75	+27 24 32.37	 64.27	 2.75	64	 8.93	 0.38	11.954	 2.155	131.239	 60.449	2	SDSS J142831.74+272432.4
 95546	14 26 44.18	+27 11 22.35	132.04	 2.14	43	 5.09	 0.08	 6.654	 0.982	 51.944	 23.926	2	SDSS J142644.17+271122.3
 95647	14 29 14.37	+24 27 23.57	217.34	 2.14	51	 4.60	 0.05	11.403	 2.453	  6.072	  2.797	2	SDSS J142914.35+242723.5
 95746	14 34 37.22	+24 08 33.28	 88.14	 1.86	82	 9.63	 0.20	 9.697	 0.920	  4.383	  2.019	2	SDSS J143437.21+240833.3
 95747	14 34 48.76	+24 00 07.42	114.05	 2.14	43	 2.72	 0.05	 2.390	 0.460	  1.603	  0.739	2	SDSS J143448.77+240007.4
 95781	14 33 45.15	+26 49 15.19	169.50	 2.14	26	 0.95	 0.01	 7.495	 2.157	  2.656	  1.223	2	SDSS J143345.14+264915.1
 95901	14 39 37.28	+24 32 18.54	 63.50	 2.43	84	 4.47	 0.17	 2.792	 0.472	  5.325	  2.453	2	SDSS J143937.26+243218.6
 95917	14 39 53.42	+25 58 08.99	 68.49	 2.82	37	 2.50	 0.10	 0.540	 0.129	  0.337	  0.155	2	SDSS J143953.40+255809.1
 95918	14 40 10.97	+25 54 27.54	141.21	 2.14	69	 7.93	 0.12	 9.561	 4.924	 24.503	 11.286	2	SDSS J144010.96+255427.5
 95919	14 39 33.45	+25 42 05.84	177.26	 2.14	84	 9.15	 0.11	20.303	 2.350	 44.427	 20.463	2	SDSS J143933.43+254205.8
 96132	14 46 01.81	+25 35 45.97	158.25	 2.14	41	 4.10	 0.06	 7.950	 2.790	 23.314	 10.738	2	SDSS J144601.80+253546.0
 96173	14 46 25.36	+27 49 50.51	 36.97	 2.04	40	 1.39	 0.08	 0.175	 0.171	  0.065	  0.030	2	SDSS J144625.55+274949.0
 96198	14 50 18.80	+27 55 06.71	222.70	 2.14	69	 7.97	 0.08	27.390	 5.196	 42.980	 19.797	2	SDSS J145018.79+275506.7
 96208	14 54 51.79	+24 13 21.93	164.89	 2.14	51	10.14	 0.13	 8.401	 1.754	 30.246	 13.931	2	SDSS J145451.78+241321.8
 96245	14 44 49.51	+24 32 38.76	222.62	 2.14	16	 3.47	 0.03	19.430	 7.121	 51.397	 23.673	2	SDSS J144449.51+243238.7
 96247	14 46 33.73	+25 42 09.51	 59.66	 2.18	25	 2.57	 0.09	 2.065	 0.335	  0.472	  0.217	2	SDSS J144633.72+254209.5
 96270	14 50 34.10	+24 49 17.41	 90.57	 1.82	61	 5.43	 0.11	 6.781	 0.770	  4.720	  2.174	2	SDSS J145034.10+244917.4
 96277	14 49 35.83	+25 22 52.77	150.30	 2.14	21	13.72	 0.20	15.057	 1.750	177.688	 81.843	2	SDSS J144935.82+252252.8
 96419	14 57 39.44	+26 39 53.06	 20.90	 1.61	61	 0.49	 0.04	 0.408	 0.134	  0.062	  0.029	2	SDSS J145739.42+263953.0
 96446	14 53 25.46	+27 37 11.59	211.89	 2.14	19	13.10	 0.13	12.272	 1.305	 17.225	  7.934	2	SDSS J145325.45+273711.5
 96492	10 42 03.02	+10 06 41.37	155.51	 2.14	68	 3.93	 0.05	 8.935	 4.056	 24.569	 11.317	2	SDSS J104203.01+100641.2
 96497	10 45 12.20	+10 01 12.98	211.59	 2.14	79	10.44	 0.11	25.278	 3.320	 15.440	  7.112	2	SDSS J104512.20+100113.0
 96584	14 56 31.13	+23 50 03.82	154.25	 2.14	90	 5.86	 0.08	 8.758	 3.258	 11.741	  5.408	2	SDSS J145631.12+235003.7
 96698	15 06 35.36	+26 30 28.85	196.26	 2.14	90	 7.57	 0.08	10.750	 2.902	  2.744	  1.264	2	SDSS J150635.35+263028.8
 96926	15 12 17.89	+26 08 26.26	147.18	 2.14	63	 4.35	 0.06	 5.375	 1.979	  2.922	  1.346	2	SDSS J151217.89+260826.2
 96986	15 10 50.79	+25 00 26.94	202.27	 2.14	44	 2.60	 0.03	24.718	11.082	 14.495	  6.676	2	SDSS J151050.79+250026.8
 97004	15 16 59.15	+24 29 17.57	 95.02	 2.14	42	 1.25	 0.03	 3.789	 0.612	 16.025	  7.381	2	SDSS J151659.15+242917.4
 97138	15 15 30.74	+25 27 20.52	 98.64	 2.14	29	 3.68	 0.08	 5.090	 0.636	 11.174	  5.147	2	SDSS J151530.74+252720.4
 97140	15 14 33.28	+25 46 21.54	 98.46	 2.14	71	 3.09	 0.07	 3.229	 0.755	  8.509	  3.919	2	SDSS J151433.28+254621.5
 97145	15 14 08.22	+25 41 58.78	 97.21	 2.14	90	 6.43	 0.14	10.543	 1.085	 23.051	 10.617	2	SDSS J151408.23+254158.5
 97150	15 12 40.77	+25 38 02.47	 22.08	 1.57	39	 0.62	 0.04	 0.260	 0.079	  0.092	  0.042	2	SDSS J151240.74+253801.7
 97161	15 18 00.36	+26 54 52.61	146.45	 2.14	74	 7.08	 0.10	 2.287	 2.171	 16.785	  7.731	2	SDSS J151800.35+265452.7
 97387	15 22 14.38	+26 23 04.41	201.27	 2.14	 9	 7.35	 0.08	21.655	 1.707	130.547	 60.130	2	SDSS J152214.38+262304.4
 97497	15 29 46.38	+20 45 07.30	 28.40	 1.97	80	 1.28	 0.09	 0.163	 0.048	  0.252	  0.116	1	SDSS J152946.37+204507.5
 97563	15 37 05.07	+24 46 44.32	 25.56	 1.68	54	 0.39	 0.03	 0.022	 0.008	  0.035	  0.016	1	SDSS J153705.05+244644.2
 97585	15 27 53.07	+25 38 37.47	 22.87	 1.57	71	 0.41	 0.03	 0.010	 0.004	  0.011	  0.005	1	SDSS J152753.06+253837.4
