#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T12:07:16 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:07:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/661/A11/tablec1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610011
#Name: J/A+A/661/A11
#Title: eFEDS. Masses of galaxy clusters and groups (Chui+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a11	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a11	    IVOID of underlying data collection
#INFO	creator=Chiu I.-N.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A..11C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A11	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610011	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A11_tablec1:
#Name: J/A+A/661/A11/tablec1
#Title: The estimates of the cluster true mass M500 of the eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A16)	eFEDS name (JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	n_Name	(A1)	[*] * for clusters with 20.1<=f_cont_<0.3	[ucd=meta.note]
#Column	logM500R0.2A	(F6.3)	Mass M500 with the core in the weak-lensing mass calibration for R>0.2h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	logM500R0.2B	(F6.3)	Mass M500 without the core in the weak-lensing mass calibration for R>0.2h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	e_logM500R0.2B	(F6.3)	Error on logM500R-0.2B	[ucd=stat.error]
#Column	logM500R0.5A	(F6.3)	Mass M500 with the core in the weak-lensing mass calibration for R>0.5h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	logM500R0.5B	(F6.3)	Mass M500 without the core in the weak-lensing mass calibration for R>0.5h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	e_logM500R0.5B	(F6.3)	Error on logM500R-0.5B	[ucd=stat.error]
#Column	logM500Rzsp	(F6.3)	? Mass M500 estimated with spectroscopic redshifts and without the core in the weak-lensing calibration	[ucd=phys.mass]
#Column	e_logM500Rzsp	(F6.3)	? Error on logM500R-zsp	[ucd=stat.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from eFEDS main catalog (Brunner et al., 2022, Cat. J/A+A/661/A1) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from eFEDS main catalog (Brunner et al., 2022, Cat. J/A+A/661/A1) (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	n_Name	logM500R0.2A	logM500R0.2B	e_logM500R0.2B	logM500R0.5A	logM500R0.5B	e_logM500R0.5B	logM500Rzsp	e_logM500Rzsp	Simbad	_RA	_DE
     356	J092246.2+034251	 	13.705	13.921	 0.101	13.703	13.919	 0.101	13.919	 0.101	Simbad	140.69267	+03.71440
     357	J092246.4+042424	 	13.861	13.895	 0.099	13.868	13.902	 0.100	13.877	 0.100	Simbad	140.69343	+04.40685
     358	J092258.2+032041	 	14.172	14.077	 0.091	14.191	14.094	 0.092	      	      	Simbad	140.74250	+03.34499
     359	J092302.6+034002	 	13.759	13.621	 0.122	13.768	13.631	 0.121	      	      	Simbad	140.76099	+03.66743
     360	J092312.0+000355	 	13.723	13.735	 0.105	13.731	13.743	 0.105	13.756	 0.105	Simbad	140.80043	+00.06553
     361	J092328.2+043107	 	14.020	14.121	 0.093	14.039	14.142	 0.095	      	      	Simbad	140.86761	+04.51884
     362	J092333.1-001917	 	14.290	14.197	 0.086	14.320	14.226	 0.088	      	      	Simbad	140.88806	-00.32159
     363	J092335.1+012907	 	14.092	14.073	 0.098	14.115	14.096	 0.100	      	      	Simbad	140.89649	+01.48534
     364	J092339.0+052654	 	14.415	14.488	 0.095	14.405	14.480	 0.096	      	      	Simbad	140.91268	+05.44872
     365	J092346.8-005330	 	14.065	14.113	 0.103	14.066	14.115	 0.103	14.099	 0.104	Simbad	140.94535	-00.89183
     366	J092402.2+054205	 	14.605	14.536	 0.096	14.608	14.538	 0.097	      	      	Simbad	141.00919	+05.70173
     367	J092405.0-013059	 	14.181	14.328	 0.090	14.170	14.320	 0.092	14.317	 0.092	Simbad	141.02127	-01.51653
     368	J092409.4+040057	 	13.722	13.678	 0.104	13.716	13.672	 0.103	13.633	 0.103	Simbad	141.03915	+04.01610
     369	J092421.9-005103	 	13.814	13.641	 0.110	13.824	13.651	 0.110	13.627	 0.111	Simbad	141.09153	-00.85102
     370	J092454.7+014901	 	13.478	13.361	 0.121	13.490	13.376	 0.119	13.393	 0.119	Simbad	141.22797	+01.81710
     371	J092502.6+022612	 	14.093	13.946	 0.103	14.102	13.953	 0.103	13.961	 0.103	Simbad	141.26081	+02.43679
     372	J092504.3-005602	 	13.788	13.744	 0.112	13.793	13.750	 0.111	13.751	 0.111	Simbad	141.26841	-00.93390
     373	J092511.8-011436	 	13.796	13.874	 0.103	13.807	13.884	 0.104	      	      	Simbad	141.29949	-01.24359
     374	J092522.1-013148	 	13.992	13.958	 0.097	14.002	13.968	 0.098	13.975	 0.098	Simbad	141.34251	-01.53015
     375	J092546.3-014347	 	14.129	14.179	 0.095	14.114	14.165	 0.095	      	      	Simbad	141.44339	-01.72986
     376	J092548.9-011725	 	13.962	13.966	 0.106	13.965	13.968	 0.106	      	      	Simbad	141.45406	-01.29030
     377	J092553.3+015519	 	14.037	13.925	 0.118	14.033	13.921	 0.117	      	      	Simbad	141.47240	+01.92203
     378	J092555.6+004311	 	14.104	14.085	 0.102	14.095	14.076	 0.102	14.086	 0.102	Simbad	141.48213	+00.71997
     379	J092621.3-003356	*	13.731	13.814	 0.101	13.737	13.822	 0.102	      	      	Simbad	141.58913	-00.56573
     380	J092629.3+032614	 	13.216	13.246	 0.110	13.232	13.262	 0.108	13.231	 0.108	Simbad	141.62239	+03.43746
     381	J092631.0+014511	 	14.450	14.373	 0.084	14.477	14.398	 0.087	      	      	Simbad	141.62952	+01.75335
     382	J092639.7+040733	 	13.367	13.570	 0.111	13.378	13.580	 0.110	13.578	 0.110	Simbad	141.66540	+04.12607
     383	J092644.0+040010	 	13.882	13.848	 0.109	13.889	13.855	 0.109	13.848	 0.109	Simbad	141.68327	+04.00304
     384	J092647.5+030946	 	13.767	13.754	 0.116	13.768	13.756	 0.115	13.773	 0.114	Simbad	141.69806	+03.16310
     385	J092647.5+050032	 	14.690	14.743	 0.085	14.682	14.737	 0.087	      	      	Simbad	141.69778	+05.00919
     386	J092648.0+050124	 	14.309	14.346	 0.089	14.310	14.348	 0.091	      	      	Simbad	141.70001	+05.02357
     387	J092650.5+035755	 	14.259	14.184	 0.093	14.260	14.183	 0.094	14.191	 0.094	Simbad	141.71051	+03.96550
     388	J092711.5+011735	 	14.150	13.973	 0.097	14.174	13.993	 0.099	      	      	Simbad	141.79817	+01.29333
     389	J092735.3+014423	 	13.675	13.820	 0.110	13.669	13.813	 0.109	13.799	 0.109	Simbad	141.89745	+01.73996
     390	J092737.7+020607	 	14.341	14.394	 0.091	14.338	14.392	 0.092	14.392	 0.092	Simbad	141.90744	+02.10215
     391	J092739.7-010427	 	13.992	14.132	 0.098	13.989	14.130	 0.099	14.128	 0.099	Simbad	141.91599	-01.07431
     392	J092740.1+042038	 	14.110	14.022	 0.108	14.106	14.018	 0.108	14.022	 0.108	Simbad	141.91718	+04.34414
     393	J092740.1-002922	 	13.249	13.357	 0.112	13.263	13.369	 0.110	13.411	 0.110	Simbad	141.91725	-00.48969
     394	J092740.7-015320	 	14.034	13.937	 0.102	14.038	13.940	 0.102	13.937	 0.102	Simbad	141.91985	-01.88897
     395	J092744.6+045630	 	13.895	13.904	 0.116	13.901	13.910	 0.115	      	      	Simbad	141.93586	+04.94196
     396	J092755.9+000439	 	14.076	14.210	 0.088	14.107	14.246	 0.091	      	      	Simbad	141.98304	+00.07779
     397	J092803.4+010953	 	14.173	14.200	 0.087	14.185	14.213	 0.089	14.213	 0.089	Simbad	142.01427	+01.16489
     398	J092807.7-012704	 	14.075	14.173	 0.080	14.118	14.221	 0.083	      	      	Simbad	142.03253	-01.45121
     399	J092813.0-004508	 	13.738	13.617	 0.130	13.748	13.630	 0.129	13.639	 0.128	Simbad	142.05460	-00.75244
     400	J092821.1+041941	 	13.549	13.624	 0.115	13.557	13.632	 0.114	      	      	Simbad	142.08788	+04.32842
     401	J092821.2+042149	 	14.143	14.229	 0.096	14.127	14.214	 0.096	      	      	Simbad	142.08826	+04.36381
     402	J092832.4+041517	 	14.036	14.030	 0.096	14.045	14.039	 0.098	      	      	Simbad	142.13526	+04.25488
     403	J092844.0+005318	 	13.596	13.661	 0.113	13.607	13.671	 0.113	13.691	 0.112	Simbad	142.18362	+00.88854
     404	J092846.5+000056	 	14.199	14.122	 0.101	14.198	14.121	 0.102	14.126	 0.102	Simbad	142.19417	+00.01568
     405	J092859.0+040532	 	14.040	14.132	 0.101	14.030	14.122	 0.101	      	      	Simbad	142.24604	+04.09239
     406	J092910.2+022034	 	14.161	14.109	 0.095	14.168	14.116	 0.097	      	      	Simbad	142.29249	+02.34296
     407	J092911.0+021118	 	13.947	13.926	 0.102	13.961	13.939	 0.104	13.940	 0.103	Simbad	142.29600	+02.18860
     408	J092915.2+002427	 	14.065	14.059	 0.100	14.075	14.069	 0.102	14.059	 0.102	Simbad	142.31365	+00.40768
     409	J092915.7-001357	 	14.006	14.038	 0.095	14.005	14.037	 0.096	14.037	 0.096	Simbad	142.31596	-00.23265
     410	J092918.3+044925	 	14.022	14.034	 0.100	14.023	14.036	 0.101	      	      	Simbad	142.32643	+04.82387
     411	J092921.7+040040	 	14.338	14.383	 0.088	14.343	14.389	 0.090	      	      	Simbad	142.34069	+04.01133
     412	J092928.3+042411	 	14.010	13.891	 0.100	14.011	13.892	 0.100	      	      	Simbad	142.36778	+04.40331
     413	J092941.7+023026	 	13.911	13.907	 0.102	13.928	13.924	 0.104	13.932	 0.103	Simbad	142.42380	+02.50731
     414	J092953.5+002801	 	13.273	13.220	 0.122	13.291	13.240	 0.120	13.281	 0.120	Simbad	142.47334	+00.46705
     415	J092955.8-003403	 	13.642	13.644	 0.105	13.642	13.644	 0.104	13.674	 0.104	Simbad	142.48303	-00.56759
     416	J093003.3+035630	 	14.366	14.312	 0.091	14.358	14.303	 0.092	14.298	 0.092	Simbad	142.51384	+03.94184
     417	J093009.0+040144	 	14.271	14.253	 0.092	14.265	14.247	 0.093	14.228	 0.093	Simbad	142.53744	+04.02905
     418	J093011.2+031648	 	14.070	14.238	 0.094	14.091	14.263	 0.096	14.249	 0.097	Simbad	142.54691	+03.28020
     419	J093022.1+021835	 	13.870	14.013	 0.098	13.883	14.028	 0.099	      	      	Simbad	142.59210	+02.31005
     420	J093025.3+021714	 	14.501	14.466	 0.085	14.510	14.473	 0.087	      	      	Simbad	142.60548	+02.28730
     421	J093025.7-020507	 	13.741	13.774	 0.105	13.742	13.775	 0.104	      	      	Simbad	142.60743	-02.08559
     422	J093049.2-003714	 	14.093	14.121	 0.098	14.090	14.119	 0.098	14.126	 0.098	Simbad	142.70537	-00.62074
     423	J093056.9+034825	 	12.918	13.118	 0.114	12.944	13.141	 0.112	      	      	Simbad	142.73714	+03.80733
     424	J093117.4-015643	 	13.230	13.394	 0.116	13.245	13.408	 0.115	      	      	Simbad	142.82299	-01.94551
     425	J093138.7-020933	 	13.724	13.754	 0.103	13.727	13.757	 0.103	      	      	Simbad	142.91174	-02.15931
     426	J093149.8-020143	 	13.117	13.270	 0.115	13.135	13.287	 0.113	      	      	Simbad	142.95786	-02.02890
     427	J093151.3-002212	 	14.276	14.212	 0.092	14.274	14.209	 0.093	14.183	 0.094	Simbad	142.96395	-00.37012
     428	J093207.5-021317	 	14.259	14.119	 0.085	14.285	14.140	 0.087	      	      	Simbad	143.03185	-02.22149
     429	J093231.0+010617	 	14.184	14.185	 0.088	14.203	14.205	 0.091	      	      	Simbad	143.12937	+01.10502
     430	J093232.8-015152	 	13.960	13.849	 0.098	13.980	13.868	 0.100	13.862	 0.100	Simbad	143.13696	-01.86474
     431	J093253.8+025917	*	13.517	13.247	 0.106	13.531	13.263	 0.105	13.281	 0.105	Simbad	143.22430	+02.98829
     432	J093302.7-010145	 	14.221	14.199	 0.095	14.221	14.199	 0.096	14.172	 0.097	Simbad	143.26177	-01.02924
     433	J093316.6+004619	 	14.168	14.034	 0.107	14.170	14.036	 0.107	      	      	Simbad	143.31959	+00.77212
     434	J093329.3+000334	 	13.907	13.957	 0.100	13.914	13.964	 0.101	      	      	Simbad	143.37258	+00.05959
     435	J093403.5-001422	 	13.885	14.132	 0.098	13.872	14.120	 0.099	      	      	Simbad	143.51493	-00.23970
     436	J093431.3-002309	 	14.089	14.192	 0.096	14.083	14.188	 0.097	14.198	 0.097	Simbad	143.63059	-00.38597
     437	J093436.1+051533	 	14.390	14.347	 0.102	14.383	14.339	 0.103	      	      	Simbad	143.65058	+05.25952
     438	J093456.1+031518	 	13.088	13.169	 0.115	13.109	13.190	 0.113	13.150	 0.113	Simbad	143.73389	+03.25525
     439	J093500.7+005417	 	14.368	14.352	 0.090	14.364	14.348	 0.092	14.324	 0.093	Simbad	143.75331	+00.90483
     440	J093513.0+004757	 	14.825	14.756	 0.087	14.808	14.739	 0.088	14.730	 0.089	Simbad	143.80465	+00.79942
     441	J093520.7+003448	 	14.040	13.974	 0.099	14.044	13.978	 0.099	13.976	 0.099	Simbad	143.83634	+00.58019
     442	J093520.9+023234	 	14.406	14.671	 0.083	14.398	14.671	 0.085	14.675	 0.085	Simbad	143.83738	+02.54295
     443	J093522.2+032329	 	14.245	14.309	 0.094	14.238	14.302	 0.095	14.277	 0.095	Simbad	143.84259	+03.39160
     444	J093525.6+023445	 	14.356	14.291	 0.096	14.365	14.299	 0.097	14.300	 0.097	Simbad	143.85698	+02.57937
     445	J093531.4+022710	 	13.716	13.823	 0.102	13.714	13.822	 0.102	13.826	 0.102	Simbad	143.88105	+02.45303
     446	J093544.2-000339	 	14.161	14.102	 0.100	14.162	14.102	 0.101	14.093	 0.101	Simbad	143.93434	-00.06086
     447	J093546.3-000115	 	14.024	14.107	 0.095	14.023	14.106	 0.096	14.092	 0.096	Simbad	143.94338	-00.02108
     448	J093612.7+001650	 	14.049	14.048	 0.098	14.052	14.051	 0.099	14.039	 0.099	Simbad	144.05303	+00.28073
     449	J093630.8+031838	 	13.961	14.049	 0.098	13.966	14.055	 0.099	14.050	 0.100	Simbad	144.12862	+03.31070
     450	J093707.4+034831	 	13.839	13.813	 0.107	13.842	13.816	 0.107	13.831	 0.107	Simbad	144.28092	+03.80897
     451	J093709.7+014143	 	14.260	14.103	 0.097	14.263	14.105	 0.098	      	      	Simbad	144.29084	+01.69549
     452	J093712.8+031651	 	13.508	13.680	 0.111	13.516	13.686	 0.111	      	      	Simbad	144.30350	+03.28114
     453	J093742.8+033841	 	14.159	14.142	 0.093	14.177	14.160	 0.095	14.166	 0.095	Simbad	144.42838	+03.64507
     454	J093830.5+041523	 	13.558	13.793	 0.106	13.560	13.796	 0.106	      	      	Simbad	144.62704	+04.25652
     455	J093938.3+042218	 	14.209	14.231	 0.094	14.206	14.228	 0.095	      	      	Simbad	144.90946	+04.37184
     456	J094005.9+031329	 	14.208	14.197	 0.094	14.216	14.205	 0.096	14.199	 0.096	Simbad	145.02453	+03.22482
     457	J094007.3+035754	 	14.082	14.110	 0.095	14.102	14.132	 0.097	      	      	Simbad	145.03062	+03.96532

