#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:27 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/773/86/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17730086
#Name: J/ApJ/773/86
#Title: Star-forming galaxies in ACO 2029 (Tyler+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/773/86	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/773/86	    IVOID of underlying data collection
#INFO	creator=Tyler K.D.	    First author or institution
#INFO	cites=bibcode:2013ApJ...773...86T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/773/86	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17730086	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_773_86_table1:
#Name: J/ApJ/773/86/table1
#Title: A2029 member list
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0.06/0.09] Redshift	[ucd=src.redshift]
#Column	logL24	(F5.2)	[7.8/11.6]? Log 24{mu}m luminosity	[ucd=phys.luminosity;em.IR.15-30um]
#Column	logLHa	(F5.2)	[5.7/8.5]? Log H{alpha} luminosity	[ucd=phys.luminosity;em.line.Halpha]
#Column	logLFUV	(F5.2)	[8/10.3]? Log FUV luminosity	[ucd=phys.luminosity;em.UV]
#Column	SFRmin	(F6.3)	[0.01/10]? Minimum star formation rate (1)	[ucd=meta.id;meta.main]
#Column	SFRmax	(F6.3)	[0.03/10]? Maximum star formation rate (1)	[ucd=meta.id]
#Column	logM*	(F5.2)	[8.3/11.9]? Log stellar mass	[ucd=phys.mass]
#Column	Notes	(A3)	[0-4,] Additional note(s) (2)	[ucd=meta.note]
#Column	DR9	(A3)	Display the SDSS-DR9 photometric data (Cat. V/139) within 1"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearsest object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	RAJ2000	DEJ2000	z	logL24	logLHa	logLFUV	SFRmin	SFRmax	logM*	Notes	DR9	Sloan	Simbad
     428	227.90198	+05.82805	 0.0749	 8.97	 6.75	 8.55	 0.507	 0.507	 9.79	   	DR9	Sloan	Simbad
     429	228.00830	+05.85726	 0.0790	     	 6.45	     	 0.058	 0.086	 9.39	   	DR9	Sloan	Simbad
     430	227.88304	+05.77640	 0.0771	     	     	     	      	      	10.13	   	DR9	Sloan	Simbad
     431	227.89040	+05.76315	 0.0848	 9.24	     	 9.52	      	      	10.78	3  	DR9	Sloan	Simbad
     432	227.74023	+05.76614	 0.0775	 8.13	     	 8.50	      	      	10.73	2  	DR9	Sloan	Simbad
     433	227.74943	+05.76934	 0.0783	     	     	     	      	      	 9.74	   	DR9	Sloan	Simbad
     434	227.81663	+05.69663	 0.0837	 8.50	 6.92	     	      	      	10.71	3  	DR9	Sloan	Simbad
     435	227.74967	+05.74906	 0.0797	     	     	     	      	      	 9.79	   	DR9	Sloan	Simbad
     436	227.84918	+05.63618	 0.0831	     	     	     	      	      	 9.75	   	DR9	Sloan	Simbad
     437	227.78000	+05.71232	 0.0811	     	     	     	      	      	 9.96	   	DR9	Sloan	Simbad
     438	227.74287	+05.71703	 0.0811	     	     	     	      	      	 9.39	   	DR9	Sloan	Simbad
     439	227.73674	+05.67691	 0.0815	 9.44	 7.58	 9.72	 2.580	 2.580	 9.52	   	DR9	Sloan	Simbad
     440	227.71310	+05.34450	 0.0797	 8.16	 7.36	 9.08	 0.532	 0.532	 9.03	   	DR9	Sloan	Simbad
     441	227.69091	+05.57586	 0.0752	 8.72	 7.51	 9.22	 0.884	 0.884	 9.71	   	DR9	Sloan	Simbad
     442	227.64916	+05.51294	 0.0801	 8.70	 7.29	 8.95	 0.615	 0.615	 9.87	   	DR9	Sloan	Simbad
     443	227.68242	+05.67154	 0.0812	 9.29	 8.22	10.08	 4.687	 4.687	 9.70	   	DR9	Sloan	Simbad
     444	227.50700	+05.52216	 0.0729	 8.02	 6.56	     	 0.120	 0.120	 9.93	   	DR9	Sloan	Simbad
     445	227.46930	+05.41472	 0.0749	 9.01	 7.42	 8.63	 0.971	 0.971	 9.94	   	DR9	Sloan	Simbad
     446	227.55416	+05.60392	 0.0792	 7.94	     	 8.25	      	      	11.04	2  	DR9	Sloan	Simbad
     447	227.73584	+05.77584	 0.0815	 8.17	     	 8.16	      	      	10.58	2  	DR9	Sloan	Simbad
     448	228.10718	+06.05137	 0.0750	 8.06	 5.83	     	 0.062	 0.062	 9.85	   	DR9	Sloan	Simbad
     449	227.74248	+05.73564	 0.0726	     	     	     	      	      	 9.76	   	DR9	Sloan	Simbad
     450	227.81196	+05.65391	 0.0800	 9.20	 7.26	 8.74	 1.411	 1.411	10.38	   	DR9	Sloan	Simbad
     451	227.62310	+05.56475	 0.0830	     	     	     	      	      	10.37	   	DR9	Sloan	Simbad
     452	227.71998	+05.72484	 0.0718	 8.31	 6.80	 8.53	 0.216	 0.216	10.66	   	DR9	Sloan	Simbad
     453	227.75125	+05.74750	 0.0721	     	     	     	      	      	     	1  	DR9	Sloan	Simbad
     454	227.73334	+05.72333	 0.0672	     	     	     	      	      	     	1  	DR9	Sloan	Simbad
     455	227.65625	+05.91833	 0.0795	     	     	 8.28	 0.033	 0.107	     	1  	DR9	Sloan	Simbad
     456	227.92708	+05.67083	 0.0806	     	     	     	      	      	     	1  	DR9	Sloan	Simbad
     457	227.75375	+05.97167	 0.0745	     	     	     	      	      	10.16	1  	DR9	Sloan	Simbad
     458	227.73959	+05.98139	 0.0787	 9.44	     	     	 1.772	 1.772	10.30	1  	DR9	Sloan	Simbad
     459	227.63167	+05.99917	 0.0802	     	     	     	      	      	10.46	1  	DR9	Sloan	Simbad
     460	227.73375	+05.74472	 0.0779	 8.80	     	 9.61	 1.389	 1.389	11.84	1  	DR9	Sloan	Simbad
     461	227.72959	+05.74139	 0.0727	     	     	     	      	      	     	1  	DR9	Sloan	Simbad
     462	227.73792	+05.73972	 0.0779	     	     	     	      	      	     	1  	DR9	Sloan	Simbad
     463	227.73667	+05.75694	 0.0758	     	     	     	      	      	     	1  	DR9	Sloan	Simbad
     464	227.73125	+05.73361	 0.0712	     	     	     	      	      	     	1  	DR9	Sloan	Simbad
     465	227.73917	+05.73056	 0.0821	     	     	     	      	      	     	1  	DR9	Sloan	Simbad
     466	227.73209	+05.76167	 0.0822	     	     	     	      	      	 9.95	1  	DR9	Sloan	Simbad
     467	227.72750	+05.73028	 0.0722	     	     	     	      	      	     	1  	DR9	Sloan	Simbad
     468	227.74542	+05.76083	 0.0845	     	     	     	      	      	     	1  	DR9	Sloan	Simbad
     469	227.67125	+05.72583	 0.0742	     	     	     	      	      	     	1  	DR9	Sloan	Simbad
     470	227.75333	+05.66139	 0.0810	 8.49	     	     	 0.130	 0.130	     	1  	DR9	Sloan	Simbad
     471	227.79208	+05.82333	 0.0769	 8.42	     	 8.47	 0.338	 0.338	10.84	1  	DR9	Sloan	Simbad
     472	227.82042	+05.83028	 0.0732	 7.87	     	     	 0.031	 0.031	     	1  	DR9	Sloan	Simbad
     473	227.94750	+05.93000	 0.0789	     	     	 9.70	 0.852	 0.926	     	1  	DR9	Sloan	Simbad
     474	227.99625	+06.09611	 0.0730	 9.84	     	 9.83	 8.797	 8.797	10.41	1  	DR9	Sloan	Simbad
     475	227.79083	+06.20111	 0.0801	     	     	     	      	      	10.75	1  	DR9	Sloan	Simbad
     476	227.45302	+05.38526	 0.0751	 9.24	 7.28	 9.25	      	      	10.66	4  	DR9	Sloan	Simbad
     477	227.32731	+05.61880	 0.0835	 8.24	     	     	      	      	11.26	4  	DR9	Sloan	Simbad
     478	227.34282	+05.59628	 0.0781	     	     	     	      	      	10.17	4  	DR9	Sloan	Simbad
     479	227.36755	+05.88042	 0.0790	     	 6.74	 8.90	      	      	     	4  	DR9	Sloan	Simbad
     480	227.45210	+05.37264	 0.0757	 8.26	     	 9.36	      	      	10.73	4  	DR9	Sloan	Simbad
     481	227.40755	+05.39173	 0.0781	 8.98	 6.65	     	      	      	10.86	4  	DR9	Sloan	Simbad
     482	227.36355	+05.38950	 0.0743	     	     	     	      	      	10.81	4  	DR9	Sloan	Simbad
     483	227.32130	+05.53938	 0.0728	 8.84	 7.28	 8.97	      	      	10.36	4  	DR9	Sloan	Simbad
     484	227.30498	+05.74008	 0.0772	     	     	     	      	      	10.65	4  	DR9	Sloan	Simbad
     485	227.27204	+05.73422	 0.0816	     	     	 8.21	      	      	10.93	4  	DR9	Sloan	Simbad
     486	227.34728	+05.72743	 0.0829	 8.49	     	 8.86	      	      	11.21	4  	DR9	Sloan	Simbad
     487	227.31855	+05.81450	 0.0724	     	 6.82	 9.12	      	      	 9.50	4  	DR9	Sloan	Simbad
     488	228.00688	+05.69236	 0.0710	 9.25	 7.63	 9.33	      	      	10.63	4  	DR9	Sloan	Simbad
     489	227.93813	+05.58623	 0.0845	     	     	     	      	      	10.31	4  	DR9	Sloan	Simbad
     490	227.98030	+05.55382	 0.0749	     	     	     	      	      	10.36	4  	DR9	Sloan	Simbad
     491	227.93826	+05.46497	 0.0825	 8.88	 6.53	     	      	      	10.72	4  	DR9	Sloan	Simbad
     492	227.97282	+05.50514	 0.0801	     	     	     	      	      	10.32	4  	DR9	Sloan	Simbad
     493	227.98546	+05.48215	 0.0750	     	     	     	      	      	10.67	4  	DR9	Sloan	Simbad
     494	227.93901	+05.39766	 0.0795	     	     	     	      	      	10.46	4  	DR9	Sloan	Simbad
     495	227.92872	+05.34030	 0.0817	 9.24	 7.66	 9.34	      	      	10.22	4  	DR9	Sloan	Simbad
     496	228.02200	+05.38153	 0.0777	     	     	     	      	      	10.78	4  	DR9	Sloan	Simbad
     497	227.87822	+05.27461	 0.0799	     	     	     	      	      	10.52	4  	DR9	Sloan	Simbad
     498	227.78276	+05.34685	 0.0798	     	     	     	      	      	10.63	4  	DR9	Sloan	Simbad
     499	227.84007	+05.32440	 0.0766	 8.90	 7.24	 8.58	      	      	 9.99	4  	DR9	Sloan	Simbad
     500	227.82855	+05.26224	 0.0808	 8.82	 7.75	 9.15	      	      	 9.77	4  	DR9	Sloan	Simbad
     501	227.75524	+05.25264	 0.0786	 8.95	 7.14	 8.95	      	      	10.65	4  	DR9	Sloan	Simbad
     502	227.76950	+05.24744	 0.0817	     	     	     	      	      	10.72	4  	DR9	Sloan	Simbad
     503	227.76215	+05.29311	 0.0772	 9.17	 7.61	 9.34	      	      	11.22	4  	DR9	Sloan	Simbad
     504	227.78142	+05.24488	 0.0755	     	     	     	      	      	10.44	4  	DR9	Sloan	Simbad
     505	227.79623	+05.25742	 0.0758	 8.93	 7.74	 9.09	      	      	10.01	4  	DR9	Sloan	Simbad
     506	227.76902	+05.27249	 0.0826	 9.25	 7.45	 8.69	      	      	10.39	4  	DR9	Sloan	Simbad
     507	227.74225	+05.24745	 0.0816	 8.19	     	     	      	      	10.85	4  	DR9	Sloan	Simbad
     508	227.62819	+05.26153	 0.0811	     	     	     	      	      	10.24	4  	DR9	Sloan	Simbad
     509	227.54504	+05.33887	 0.0840	 7.98	     	     	      	      	11.10	4  	DR9	Sloan	Simbad
     510	227.53820	+05.35361	 0.0839	     	 6.56	 8.81	      	      	10.13	4  	DR9	Sloan	Simbad
     511	227.94385	+05.60431	 0.0725	     	     	     	      	      	10.50	4  	DR9	Sloan	Simbad
     512	227.81014	+05.29847	 0.0788	 9.08	 6.41	     	      	      	10.79	4  	DR9	Sloan	Simbad
     513	227.89384	+05.41525	 0.0825	 8.90	 6.72	     	      	      	10.56	4  	DR9	Sloan	Simbad
     514	227.77832	+05.32897	 0.0822	 8.15	     	     	      	      	10.14	4  	DR9	Sloan	Simbad
     515	227.66044	+05.23877	 0.0757	 8.09	     	     	      	      	11.32	4  	DR9	Sloan	Simbad
     516	227.57968	+06.16479	 0.0810	     	     	     	      	      	10.76	4  	DR9	Sloan	Simbad
     517	227.48556	+06.19934	 0.0804	     	     	     	      	      	10.65	4  	DR9	Sloan	Simbad
     518	227.89315	+06.20110	 0.0773	 9.26	 7.80	 9.01	      	      	11.26	4  	DR9	Sloan	Simbad
     519	227.47950	+05.86816	 0.0785	     	     	     	      	      	10.07	4  	DR9	Sloan	Simbad
     520	227.47380	+05.96996	 0.0768	     	     	     	      	      	10.71	4  	DR9	Sloan	Simbad
     521	227.44518	+05.87189	 0.0831	     	     	     	      	      	10.94	4  	DR9	Sloan	Simbad
     522	227.47201	+06.09212	 0.0761	 8.67	 7.14	 8.59	      	      	10.42	4  	DR9	Sloan	Simbad
     523	227.44051	+06.08730	 0.0731	10.04	 8.15	 9.68	      	      	11.01	4  	DR9	Sloan	Simbad
     524	227.59598	+06.07973	 0.0742	     	     	     	      	      	10.80	4  	DR9	Sloan	Simbad
     525	227.51920	+06.04105	 0.0831	     	     	     	      	      	10.97	4  	DR9	Sloan	Simbad
     526	227.54929	+06.16119	 0.0787	     	     	     	      	      	10.97	4  	DR9	Sloan	Simbad
     527	227.62293	+06.11351	 0.0734	     	     	 8.35	      	      	11.28	4  	DR9	Sloan	Simbad
     528	227.55057	+06.11929	 0.0769	     	     	     	      	      	10.92	4  	DR9	Sloan	Simbad
     529	227.52251	+06.11919	 0.0776	     	 5.88	     	      	      	10.25	4  	DR9	Sloan	Simbad
     530	227.64050	+06.20490	 0.0829	     	     	     	      	      	10.60	4  	DR9	Sloan	Simbad
     531	227.51394	+06.20647	 0.0746	     	     	     	      	      	10.12	4  	DR9	Sloan	Simbad
     532	227.61130	+06.20649	 0.0785	     	     	     	      	      	10.14	4  	DR9	Sloan	Simbad
     533	227.55085	+06.21426	 0.0800	     	     	     	      	      	10.89	4  	DR9	Sloan	Simbad
     534	227.82914	+06.23529	 0.0849	 8.74	 7.24	 8.42	      	      	10.17	4  	DR9	Sloan	Simbad
     535	227.86915	+06.23692	 0.0799	 8.57	 6.78	     	      	      	10.39	4  	DR9	Sloan	Simbad
     536	227.92521	+06.19747	 0.0850	 8.10	     	     	      	      	10.40	4  	DR9	Sloan	Simbad
     537	227.97017	+06.17922	 0.0793	     	     	     	      	      	11.08	4  	DR9	Sloan	Simbad
     538	228.01333	+06.18340	 0.0783	     	     	     	      	      	10.48	4  	DR9	Sloan	Simbad
     539	228.02250	+05.76956	 0.0754	     	     	     	      	      	10.51	4  	DR9	Sloan	Simbad
     540	228.10311	+05.65867	 0.0752	     	     	     	      	      	10.09	4  	DR9	Sloan	Simbad
     541	228.07820	+05.81578	 0.0758	     	     	     	      	      	10.75	4  	DR9	Sloan	Simbad
     542	227.95468	+05.64050	 0.0778	     	     	     	      	      	10.51	4  	DR9	Sloan	Simbad
     543	227.42719	+06.13081	 0.0762	     	     	     	      	      	10.16	4  	DR9	Sloan	Simbad
     544	227.41542	+06.15326	 0.0765	     	     	     	      	      	10.05	4  	DR9	Sloan	Simbad
     545	227.52339	+06.13598	 0.0752	     	     	     	      	      	10.19	4  	DR9	Sloan	Simbad
     546	227.63275	+06.24528	 0.0806	     	     	     	      	      	10.73	4  	DR9	Sloan	Simbad
     547	227.88165	+06.24022	 0.0813	     	     	     	      	      	10.42	4  	DR9	Sloan	Simbad
     548	227.93355	+06.20362	 0.0771	     	     	     	      	      	10.33	4  	DR9	Sloan	Simbad
     549	227.94022	+06.18691	 0.0807	     	     	     	      	      	10.05	4  	DR9	Sloan	Simbad
     550	227.95132	+06.18505	 0.0803	     	     	     	      	      	10.54	4  	DR9	Sloan	Simbad
     551	228.17576	+06.01264	 0.0802	 8.59	 7.46	     	      	      	 9.20	4  	DR9	Sloan	Simbad
     552	227.40416	+05.77528	 0.0763	     	     	     	      	      	10.69	1,4	DR9	Sloan	Simbad
     553	228.08791	+05.81972	 0.0801	 8.30	     	 9.36	      	      	     	1,4	DR9	Sloan	Simbad
     554	227.48999	+05.38194	 0.0762	     	     	     	      	      	     	1,4	DR9	Sloan	Simbad
     555	227.65917	+06.23139	 0.0809	     	     	     	      	      	10.47	1,4	DR9	Sloan	Simbad
     556	227.31541	+06.03000	 0.0774	     	     	     	      	      	     	0  	DR9	Sloan	Simbad
     557	227.32208	+06.06083	 0.0731	     	     	     	      	      	     	0  	DR9	Sloan	Simbad
     558	227.59917	+06.26889	 0.0771	 8.86	     	     	      	      	10.51	1,4	DR9	Sloan	Simbad
     559	227.28999	+06.06389	 0.0732	     	     	     	      	      	     	0  	DR9	Sloan	Simbad
     560	227.83958	+06.28194	 0.0833	     	     	     	      	      	10.56	1,4	DR9	Sloan	Simbad
     561	227.76583	+06.31528	 0.0817	     	     	     	      	      	10.67	1,4	DR9	Sloan	Simbad
     562	227.96208	+06.29083	 0.0738	     	     	     	      	      	     	1,4	DR9	Sloan	Simbad
     563	227.13208	+05.66194	 0.0826	     	     	     	      	      	     	0  	DR9	Sloan	Simbad
     564	227.11250	+05.74083	 0.0817	     	     	     	      	      	     	0  	DR9	Sloan	Simbad
     565	227.92375	+06.34417	 0.0800	     	     	     	      	      	10.51	1,4	DR9	Sloan	Simbad
     566	227.97750	+06.37833	 0.0795	 8.47	     	     	      	      	10.77	1,4	DR9	Sloan	Simbad
     567	227.51209	+06.39778	 0.0818	 8.54	 7.12	     	      	      	10.50	4  	DR9	Sloan	Simbad
     568	227.89458	+06.43278	 0.0821	     	     	     	      	      	10.58	1,4	DR9	Sloan	Simbad
     569	227.42583	+06.39028	 0.0734	     	     	     	      	      	     	0  	DR9	Sloan	Simbad
     570	228.47583	+05.78833	 0.0817	     	     	     	      	      	     	0  	DR9	Sloan	Simbad
     571	228.00000	+06.44333	 0.0748	     	     	     	      	      	10.66	1,4	DR9	Sloan	Simbad
     572	228.04416	+05.65944	 0.0829	     	     	 8.74	      	      	     	1,4	DR9	Sloan	Simbad
     573	227.92167	+05.30250	 0.0840	11.55	     	 8.67	      	      	     	1,4	DR9	Sloan	Simbad
     574	227.26541	+05.97500	 0.0769	     	     	     	      	      	     	0  	DR9	Sloan	Simbad
     575	228.18541	+06.03444	 0.0781	 8.91	     	     	      	      	10.58	1,4	DR9	Sloan	Simbad
     576	227.43874	+06.22028	 0.0763	     	     	     	      	      	11.13	1,4	DR9	Sloan	Simbad
     577	227.18375	+05.60556	 0.0733	     	     	     	      	      	     	1,4	DR9	Sloan	Simbad
     578	227.74667	+06.33583	 0.0821	     	     	     	      	      	11.07	1,4	DR9	Sloan	Simbad
     579	227.69625	+06.34861	 0.0738	 9.96	     	     	      	      	10.58	1,4	DR9	Sloan	Simbad
     580	227.39541	+06.25250	 0.0764	     	     	     	      	      	11.16	0  	DR9	Sloan	Simbad
     581	227.86042	+06.34917	 0.0810	 8.13	     	     	      	      	11.85	1,4	DR9	Sloan	Simbad
     582	227.69125	+06.36611	 0.0742	 8.91	     	     	      	      	10.91	1,4	DR9	Sloan	Simbad
     583	227.82333	+06.37028	 0.0829	 8.35	     	     	      	      	10.87	1,4	DR9	Sloan	Simbad
     584	228.20583	+06.31167	 0.0783	     	     	     	      	      	11.12	1,4	DR9	Sloan	Simbad
     585	227.90583	+06.46194	 0.0808	     	     	     	      	      	10.94	1,4	DR9	Sloan	Simbad

