#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:12:05 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:12:05	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/229/20/table2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22290020
#Name: J/ApJS/229/20
#Title: MMT/Hectospec redshift survey for Abell 2029 (Sohn+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apjs/229/20	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/229/20	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2017ApJS..229...20S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/229/20	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22290020	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_229_20_table2:
#Name: J/ApJS/229/20/table2
#Title: A2029 spectroscopic members
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I5)	[20452/26670] Spectroscopic redshift	[ucd=phys.veloc;pos.heliocentric]
#Column	e_cz	(I5)	[1/299] Uncertainty in cz	[ucd=stat.error]
#Column	r_cz	(A4)	Reference for cz (2)	[ucd=meta.ref;pos.frame]
#Column	sigma	(I3)	[6/945]? Central velocity dispersion within a rest-frame 3kpc aperture	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	[0/962]? Uncertainty in sigma	[ucd=stat.error]
#Column	f_sigma	(A1)	[*] *: uncertainty is not available for sigma	[ucd=meta.code]
#Column	dn4000	(F6.2)	[0.1/4.3]? D_n_4000 index (1)	[ucd=phot.flux;arith.ratio]
#Column	T13	(I3)	Display data from Tyler+ 2013, J/ApJ/773/86, within 2"	[ucd=meta.ref.url]
#Column	DR9	(A3)	Display data from SDSS-DR9 photometric catalog (V/139) within 1"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
recno	RAJ2000	DEJ2000	cz	e_cz	r_cz	sigma	e_sigma	f_sigma	dn4000	T13	DR9	Sloan
     479	227.455025	+05.541995	24813	   23	 MMT	 21	  0	 	  1.44	  0	DR9	Sloan
     480	227.661205	+05.431473	24784	   31	 T13	132	  9	 	  1.95	  1	DR9	Sloan
     481	227.585665	+05.404833	25065	   29	 T13	 62	 33	 	  1.75	  1	DR9	Sloan
     482	227.703390	+05.406383	23300	   33	 T13	 70	 43	 	  1.52	  1	DR9	Sloan
     483	227.722950	+05.455221	25183	   25	 T13	176	 76	 	  1.33	  1	DR9	Sloan
     484	227.595467	+05.484378	23823	   20	 MMT	232	 83	 	  1.71	  0	DR9	Sloan
     485	227.600540	+05.453924	23021	   21	 MMT	 21	  0	 	  1.63	  0	DR9	Sloan
     486	227.621087	+05.400377	24392	   27	 T13	 31	 73	 	  1.75	  1	DR9	Sloan
     487	227.665842	+05.418782	21974	   66	 T13	 21	  0	 	  1.50	  0	DR9	Sloan
     488	227.709721	+05.465135	23785	   25	 T13	 78	 62	 	  1.22	  1	DR9	Sloan
     489	227.743191	+05.425318	24575	   41	 T13	 21	376	 	  1.38	  1	DR9	Sloan
     490	227.719336	+05.370946	24641	   17	 T13	133	 53	 	  1.32	  1	DR9	Sloan
     491	227.735949	+05.449879	24099	   22	 T13	129	  4	 	  1.99	  1	DR9	Sloan
     492	227.747201	+05.404880	23345	   31	 MMT	 93	 22	 	  1.78	  0	DR9	Sloan
     493	227.751148	+05.414094	24663	   19	 T13	 53	  8	 	  1.75	  1	DR9	Sloan
     494	227.754713	+05.449347	22769	   20	 T13	131	  6	 	  1.95	  1	DR9	Sloan
     495	227.771327	+05.360574	24681	   31	 T13	 95	 14	 	  1.33	  1	DR9	Sloan
     496	227.785297	+05.391298	23693	   39	 T13	 82	 16	 	  1.39	  1	DR9	Sloan
     497	227.793049	+05.421576	22830	   16	 T13	 23	 42	 	  1.71	  1	DR9	Sloan
     498	227.802210	+05.419858	23674	   20	 T13	 51	 33	 	  1.40	  1	DR9	Sloan
     499	227.737483	+05.428155	24569	   37	 MMT	 96	 22	 	  1.93	  0	DR9	Sloan
     500	227.789534	+05.364062	23671	    7	 MMT	 54	254	 	  1.12	  0	DR9	Sloan
     501	227.760794	+05.377694	24618	   21	 T13	366	 59	 	  1.14	  1	DR9	Sloan
     502	227.775268	+05.412030	22835	   43	 MMT	 30	 48	 	  1.54	  0	DR9	Sloan
     503	227.785690	+05.365735	23210	   58	 MMT	141	 23	 	  1.63	  0	DR9	Sloan
     504	227.839064	+05.386545	23804	   11	 MMT	147	962	 	  1.32	  0	DR9	Sloan
     505	227.851567	+05.448586	22250	   48	 MMT	 21	299	 	  1.47	  0	DR9	Sloan
     506	227.850951	+05.391077	23862	   80	 MMT	 21	627	 	  1.55	  0	DR9	Sloan
     507	227.900431	+05.412285	24246	   23	 MMT	 58	 31	 	  1.35	  0	DR9	Sloan
     508	227.938252	+05.464963	24724	   38	 T13	 96	 11	 	  1.66	  1	DR9	Sloan
     509	227.955320	+05.502367	24758	    1	 NED	   	   	 	      	  0	DR9	Sloan
     510	227.985445	+05.482143	22432	   25	 T13	115	  7	 	  1.81	  1	DR9	Sloan
     511	227.893829	+05.415242	24698	   54	 T13	 85	 15	 	  1.76	  1	DR9	Sloan
     512	227.941364	+05.422276	24255	   18	 MMT	165	 30	 	  1.22	  0	DR9	Sloan
     513	227.902548	+05.420917	24382	   18	 MMT	194	117	 	  1.04	  0	DR9	Sloan
     514	227.367551	+05.880416	23663	   56	 T13	123	 41	 	  1.47	  1	DR9	Sloan
     515	227.411677	+05.941243	23659	    7	SDSS	 66	 10	 	  1.61	  0	DR9	Sloan
     516	227.404093	+05.775235	22932	    5	SDSS	 84	  6	 	  1.92	  1	DR9	Sloan
     517	227.445164	+05.871903	24864	   21	 T13	164	  7	 	  1.82	  1	DR9	Sloan
     518	227.466693	+05.949048	23437	    5	SDSS	153	  6	 	  1.92	  0	DR9	Sloan
     519	227.351410	+05.778310	23831	   17	 MMT	 50	 81	 	  1.27	  0	DR9	Sloan
     520	227.381859	+05.936039	23072	    9	 MMT	945	430	 	  1.14	  0	DR9	Sloan
     521	227.390365	+05.806660	23350	   35	 MMT	 21	142	 	  1.96	  0	DR9	Sloan
     522	227.477726	+05.964168	23370	   15	 MMT	 71	 14	 	  1.85	  0	DR9	Sloan
     523	227.523326	+05.952456	22445	    2	SDSS	104	  9	 	  1.55	  0	DR9	Sloan
     524	227.470927	+05.900425	22772	    7	 MMT	 77	 19	 	  1.34	  0	DR9	Sloan
     525	227.480147	+05.939989	23531	   27	 MMT	 68	 64	 	  1.40	  0	DR9	Sloan
     526	227.489112	+05.922286	23786	   38	 MMT	 21	192	 	  1.61	  0	DR9	Sloan
     527	228.036279	+05.835007	23838	   13	 MMT	 21	   	*	  1.00	  0	DR9	Sloan
     528	228.042264	+05.881626	23184	   22	 T13	154	 32	 	  1.23	  1	DR9	Sloan
     529	228.055315	+05.895802	23652	   15	 T13	 29	 17	 	  1.19	  1	DR9	Sloan
     530	228.078206	+05.815776	22652	   30	 T13	119	  6	 	  1.74	  1	DR9	Sloan
     531	228.120206	+05.879329	24768	   42	 MMT	 65	 41	 	  1.57	  0	DR9	Sloan
     532	227.456548	+05.327891	23918	   24	 MMT	 24	  2	 	  0.14	  0	DR9	Sloan
     533	227.467671	+05.296138	23323	    7	 T13	117	 26	 	  1.23	  0	DR9	Sloan
     534	227.607053	+05.230715	24019	   38	 MMT	 36	 74	 	  1.74	  0	DR9	Sloan
     535	227.628190	+05.261530	24194	   45	 T13	 80	 35	 	  1.68	  1	DR9	Sloan
     536	227.633205	+05.255988	23578	    8	SDSS	132	 11	 	  1.65	  0	DR9	Sloan
     537	227.660431	+05.238773	22680	   21	 T13	178	  6	 	  1.95	  1	DR9	Sloan
     538	227.606099	+05.317871	21619	    6	 MMT	324	112	 	  1.13	  0	DR9	Sloan
     539	227.685825	+05.270199	23645	   20	 MMT	127	 16	 	  1.49	  0	DR9	Sloan
     540	227.566194	+05.306901	23007	   37	 MMT	 84	 37	 	  1.40	  0	DR9	Sloan
     541	227.634665	+05.311232	25140	   25	 MMT	223	 88	 	  1.40	  0	DR9	Sloan
     542	227.762153	+05.293112	23081	   35	 T13	191	  7	 	  1.72	  1	DR9	Sloan
     543	227.758169	+05.296566	23119	   26	 MMT	 56	 23	 	  1.47	  0	DR9	Sloan
     544	227.810148	+05.298467	23561	   34	 T13	121	 14	 	  1.77	  1	DR9	Sloan
     545	227.829187	+05.238314	23888	    4	SDSS	342	  6	 	  1.95	  0	DR9	Sloan
     546	227.822323	+05.222137	23726	    5	SDSS	299	  7	 	  2.03	  0	DR9	Sloan
     547	227.828569	+05.262229	24212	    8	 T13	112	 31	 	  1.09	  1	DR9	Sloan
     548	227.725608	+05.275132	24473	   14	 T13	 60	 25	 	  1.56	  1	DR9	Sloan
     549	227.742242	+05.247452	24433	   24	 T13	163	  8	 	  2.02	  1	DR9	Sloan
     550	227.755258	+05.252642	23568	   29	 T13	 33	 32	 	  1.39	  1	DR9	Sloan
     551	227.769033	+05.272489	24764	   30	 T13	 52	 12	 	  1.33	  1	DR9	Sloan
     552	227.769510	+05.247446	24404	   25	 T13	102	 11	 	  1.77	  1	DR9	Sloan
     553	227.767968	+05.250450	24358	   39	 MMT	 80	 19	 	  1.51	  0	DR9	Sloan
     554	227.777710	+05.237334	22598	   14	 MMT	117	  7	 	  1.89	  0	DR9	Sloan
     555	227.781421	+05.244875	22636	   21	 T13	 70	  9	 	  1.81	  1	DR9	Sloan
     556	227.790894	+05.272592	24951	    4	SDSS	158	  5	 	  1.89	  0	DR9	Sloan
     557	227.796254	+05.257419	22716	   22	 T13	 36	 19	 	  1.13	  1	DR9	Sloan
     558	227.808510	+05.274072	25315	   17	 MMT	 64	  9	 	  1.75	  0	DR9	Sloan
     559	227.823394	+05.296523	24465	    6	SDSS	148	  6	 	  1.90	  0	DR9	Sloan
     560	227.820570	+05.294304	24381	   20	 MMT	 46	 12	 	  1.94	  0	DR9	Sloan
     561	227.776385	+05.296656	24120	   55	 MMT	 22	182	 	  1.68	  0	DR9	Sloan
     562	227.784430	+05.284164	23247	   32	 MMT	 91	 25	 	  1.92	  0	DR9	Sloan
     563	227.749342	+05.274010	23062	   22	 MMT	 35	 46	 	  1.70	  0	DR9	Sloan
     564	227.731756	+05.302251	24565	   15	 MMT	 99	 36	 	  1.39	  0	DR9	Sloan
     565	227.734357	+05.247812	24438	   24	 MMT	 21	115	 	  1.19	  0	DR9	Sloan
     566	227.738056	+05.223920	24152	    6	 MMT	163	 27	 	  1.19	  0	DR9	Sloan
     567	227.761043	+05.246938	24098	   47	 MMT	243	109	 	  1.59	  0	DR9	Sloan
     568	227.805919	+05.298241	23110	    5	 MMT	304	140	 	  1.15	  0	DR9	Sloan
     569	227.851067	+05.227331	23008	   47	 MMT	120	 35	 	  1.58	  0	DR9	Sloan
     570	227.853793	+05.228763	24065	    2	SDSS	 80	 15	 	  1.38	  0	DR9	Sloan
     571	227.878223	+05.274611	23858	   31	 T13	108	  7	 	  1.79	  1	DR9	Sloan
     572	227.878455	+05.276049	24170	   15	 MMT	197	127	 	  1.30	  0	DR9	Sloan
     573	227.855109	+05.283319	23937	   28	 MMT	 21	 49	 	  1.47	  0	DR9	Sloan
     574	227.272042	+05.734224	24431	   28	 T13	234	  8	 	  1.93	  1	DR9	Sloan
     575	227.284381	+05.684725	24892	   41	 MMT	 36	 65	 	  1.33	  0	DR9	Sloan
     576	227.304983	+05.740076	23098	   21	 T13	146	  6	 	  1.83	  1	DR9	Sloan
     577	227.327311	+05.618796	24976	   29	 T13	184	  4	 	  1.92	  1	DR9	Sloan
     578	227.342820	+05.596279	23281	   33	 T13	 34	 11	 	  1.68	  1	DR9	Sloan
     579	227.383765	+05.558284	21888	   37	 T13	152	 45	 	  1.38	  1	DR9	Sloan
     580	227.373694	+05.591591	23869	   40	 T13	 39	 23	 	  1.35	  1	DR9	Sloan
     581	227.334902	+05.727310	25001	   28	 MMT	 75	 31	 	  2.03	  0	DR9	Sloan
     582	228.162011	+05.546702	23673	    6	SDSS	146	  7	 	  1.86	  0	DR9	Sloan
     583	228.159813	+05.545219	23979	   37	 MMT	 93	 16	 	  1.84	  0	DR9	Sloan
     584	228.108015	+05.574366	21828	    8	SDSS	109	  9	 	  1.81	  0	DR9	Sloan
     585	228.125954	+05.579305	21976	   18	 MMT	 53	 38	 	  1.58	  0	DR9	Sloan
     586	228.150288	+05.619961	22875	    7	SDSS	 73	  7	 	  1.84	  0	DR9	Sloan
     587	228.153700	+05.637361	23514	   24	 MMT	 21	 95	 	  1.68	  0	DR9	Sloan
     588	228.185362	+05.567938	24534	    6	SDSS	142	  7	 	  1.89	  0	DR9	Sloan
     589	228.209748	+05.603822	21965	    3	SDSS	 54	  9	 	  1.37	  0	DR9	Sloan
     590	228.210701	+05.601415	22752	   14	 MMT	 23	 49	 	  1.69	  0	DR9	Sloan
     591	228.195023	+05.630667	24344	   16	 MMT	255	320	 	  1.11	  0	DR9	Sloan
     592	228.235843	+05.610062	23393	   36	 MMT	 48	138	 	  1.73	  0	DR9	Sloan
     593	227.315359	+06.029926	23190	   13	SDSS	 60	 14	 	  1.76	  1	DR9	Sloan
     594	227.427168	+06.030583	25080	   38	 MMT	 50	102	 	  1.47	  0	DR9	Sloan
     595	227.410434	+06.039283	23495	   14	 MMT	 40	173	 	  1.54	  0	DR9	Sloan
     596	227.440502	+06.087295	21909	   26	 T13	120	 10	 	  1.31	  1	DR9	Sloan
     597	227.472009	+06.092120	22815	   28	 T13	 60	 10	 	  1.40	  1	DR9	Sloan
     598	227.332106	+06.018149	22892	   43	 MMT	 23	 87	 	  1.57	  0	DR9	Sloan
     599	227.505442	+06.118052	22709	   26	 MMT	 21	 28	 	  1.50	  0	DR9	Sloan
     600	227.512481	+06.126414	23434	   22	 MMT	120	 39	 	  1.39	  0	DR9	Sloan
     601	227.522509	+06.119185	23184	   37	 T13	 69	 25	 	  1.86	  1	DR9	Sloan
     602	227.550564	+06.119296	22985	   20	 T13	137	  6	 	  1.94	  1	DR9	Sloan
     603	228.060998	+06.059061	24951	   66	 MMT	 74	 39	 	  1.70	  0	DR9	Sloan
     604	228.107181	+06.051374	22430	   25	 T13	 41	 13	 	  1.61	  1	DR9	Sloan
     605	228.118549	+06.020920	23426	   22	 T13	 61	  8	 	  1.52	  1	DR9	Sloan
     606	228.185594	+06.034530	23347	    4	SDSS	107	 13	 	  1.55	  1	DR9	Sloan
     607	228.204640	+06.001424	23177	   19	 MMT	181	  8	 	  1.98	  0	DR9	Sloan
     608	228.154122	+06.004881	23119	   31	 MMT	240	 36	 	  1.29	  0	DR9	Sloan
     609	228.235944	+05.921156	23182	   40	 MMT	113	 47	 	  1.39	  0	DR9	Sloan
     610	227.579651	+06.164787	24207	   27	 T13	110	  6	 	  1.83	  1	DR9	Sloan
     611	227.549249	+06.161201	23551	   18	 T13	128	  5	 	  1.80	  1	DR9	Sloan
     612	227.523375	+06.136016	22517	   50	 MMT	 55	 46	 	  2.06	  1	DR9	Sloan
     613	227.948829	+06.125513	22981	   22	 T13	200	  6	 	  2.03	  1	DR9	Sloan
     614	227.947280	+06.114814	23272	   16	 T13	144	  7	 	  1.93	  1	DR9	Sloan
     615	227.996392	+06.096248	21871	    2	SDSS	 90	  8	 	  1.41	  1	DR9	Sloan
     616	228.086330	+06.072802	23937	   24	 T13	 97	 13	 	  1.82	  1	DR9	Sloan
     617	228.001079	+06.088093	21722	   64	 T13	 21	  0	 	  1.40	  0	DR9	Sloan
     618	228.135163	+06.111173	24047	   34	 MMT	 23	 43	 	  1.71	  0	DR9	Sloan
     619	227.321298	+05.539369	21829	   23	 T13	 35	 21	 	  1.24	  1	DR9	Sloan
     620	227.325466	+05.516321	23775	   31	 T13	123	 11	 	  1.54	  1	DR9	Sloan
     621	227.343892	+05.503989	22516	   35	 T13	100	 26	 	  1.62	  1	DR9	Sloan
     622	227.398563	+05.529403	25061	   21	 T13	149	  5	 	  1.92	  1	DR9	Sloan
     623	227.407525	+05.391741	23343	   44	 T13	103	  9	 	  1.71	  1	DR9	Sloan
     624	227.357864	+05.532408	22150	   52	 T13	 76	 38	 	  1.65	  1	DR9	Sloan
     625	227.301407	+05.537336	25019	    8	 MMT	 21	  0	 	  1.21	  0	DR9	Sloan
     626	227.545029	+05.338855	25118	   27	 T13	188	  5	 	  1.87	  1	DR9	Sloan
     627	227.453019	+05.385250	22487	   30	 T13	 58	 39	 	  1.52	  1	DR9	Sloan
     628	227.452086	+05.372625	22636	   23	 T13	126	  7	 	  1.77	  1	DR9	Sloan
     629	227.469293	+05.414709	22440	    8	 T13	 81	 12	 	  1.27	  1	DR9	Sloan
     630	227.532808	+05.333417	23961	   27	 MMT	 79	 34	 	  1.49	  0	DR9	Sloan
     631	227.538188	+05.353602	25202	   46	 T13	100	 46	 	  1.79	  1	DR9	Sloan
     632	227.546476	+05.363185	25235	   17	 T13	 76	 23	 	  1.47	  1	DR9	Sloan
     633	227.449585	+05.471376	23936	   25	 MMT	 84	 36	 	  1.70	  0	DR9	Sloan
     634	227.453466	+05.346364	23560	    7	 MMT	221	 90	 	  1.17	  0	DR9	Sloan
     635	227.516516	+05.351604	25364	   17	 MMT	 78	162	 	  1.19	  0	DR9	Sloan
     636	227.713075	+05.344483	23895	    5	 T13	238	 51	 	  1.07	  1	DR9	Sloan
     637	227.732222	+05.336825	21985	   22	 T13	134	 14	 	  1.91	  1	DR9	Sloan
     638	227.731556	+05.343693	22116	   44	 MMT	142	 68	 	  1.65	  0	DR9	Sloan
     639	227.744193	+05.318078	24143	   38	 T13	102	  6	 	  1.50	  1	DR9	Sloan
     640	227.719029	+05.323728	24100	    4	SDSS	 67	 10	 	  1.50	  0	DR9	Sloan
     641	227.746980	+05.334690	23931	   21	 T13	 92	  6	 	  1.65	  0	DR9	Sloan
     642	227.759186	+05.315438	24473	   35	 T13	203	  6	 	  2.01	  1	DR9	Sloan
     643	227.767628	+05.314729	23818	   24	 MMT	 74	 14	 	  1.83	  0	DR9	Sloan
     644	227.763354	+05.312927	24655	   22	 T13	 61	 41	 	  1.25	  1	DR9	Sloan
     645	227.780800	+05.317282	23467	    3	SDSS	343	  5	 	  2.02	  0	DR9	Sloan
     646	227.782312	+05.327125	24172	    5	SDSS	254	  7	 	  1.94	  0	DR9	Sloan
     647	227.773244	+05.313777	24411	    5	SDSS	179	  6	 	  2.00	  0	DR9	Sloan
     648	227.778320	+05.328963	24587	   45	 T13	 21	  0	 	  1.78	  1	DR9	Sloan
     649	227.785619	+05.322558	24176	   23	 MMT	 26	 38	 	  1.43	  0	DR9	Sloan
     650	227.782758	+05.346846	23849	   26	 T13	127	  6	 	  1.87	  1	DR9	Sloan
     651	227.805494	+05.335861	22538	    5	SDSS	159	  7	 	  1.75	  0	DR9	Sloan
     652	227.840062	+05.324399	22989	   24	 T13	103	 35	 	  1.24	  1	DR9	Sloan
     653	227.857807	+05.334658	22772	    4	SDSS	102	 11	 	  1.53	  0	DR9	Sloan
     654	227.862659	+05.303064	22928	   14	 MMT	 74	 14	 	  1.73	  0	DR9	Sloan
     655	227.757226	+05.351187	24000	   24	 MMT	 90	 36	 	  1.56	  0	DR9	Sloan
     656	227.806600	+05.324745	24554	   31	 MMT	 25	161	 	  1.29	  0	DR9	Sloan
     657	227.850381	+05.347773	25401	   17	 MMT	 21	811	 	      	  0	DR9	Sloan
     658	227.853103	+05.338222	22763	   21	 MMT	260	 45	 	  1.34	  0	DR9	Sloan
     659	227.754834	+05.334116	23522	   76	 MMT	 22	111	 	  1.63	  0	DR9	Sloan
     660	227.773652	+05.351430	24326	   31	 MMT	 21	276	 	  1.72	  0	DR9	Sloan
     661	227.790188	+05.316126	24322	   58	 MMT	 73	 33	 	  2.02	  0	DR9	Sloan
     662	227.917198	+05.337632	24266	    6	SDSS	188	  8	 	  1.85	  0	DR9	Sloan
     663	227.884370	+05.362096	25396	   16	 MMT	 41	 19	 	  1.65	  0	DR9	Sloan
     664	227.885669	+05.370178	25449	    2	SDSS	 53	 13	 	  1.12	  0	DR9	Sloan
     665	227.911877	+05.386830	24081	    6	 MMT	155	108	 	  1.28	  0	DR9	Sloan
     666	227.915456	+05.369273	23821	   27	 MMT	 56	 21	 	  1.79	  0	DR9	Sloan
     667	227.928118	+05.358060	23640	   21	 MMT	 23	 73	 	  2.04	  0	DR9	Sloan
     668	227.921940	+05.302564	25237	   19	SDSS	   	   	 	  1.26	  1	DR9	Sloan
     669	227.928697	+05.340295	24492	   20	 T13	221	 28	 	  1.23	  1	DR9	Sloan
     670	227.939000	+05.397657	23787	   40	 T13	 21	  0	 	  1.91	  1	DR9	Sloan
     671	228.004932	+05.386532	23197	   19	 MMT	146	 16	 	  1.91	  0	DR9	Sloan
     672	227.874921	+05.376786	23708	   24	 MMT	 21	378	 	  1.30	  0	DR9	Sloan
     673	228.008366	+05.422512	23588	   44	 MMT	 21	  0	 	  1.81	  0	DR9	Sloan
     674	227.926443	+05.312864	23954	   31	 MMT	 98	 35	 	  1.89	  0	DR9	Sloan
     675	228.005651	+05.338745	23111	   36	 MMT	 27	 31	 	  1.95	  0	DR9	Sloan
     676	228.020283	+05.418142	22992	   22	 MMT	 23	 36	 	  1.86	  0	DR9	Sloan
     677	228.054436	+05.467194	25209	   41	 MMT	256	113	 	  1.01	  0	DR9	Sloan
     678	228.021981	+05.381519	23187	   31	 T13	120	  6	 	  1.79	  1	DR9	Sloan
     679	228.021124	+05.301741	23056	   19	 MMT	 53	 22	 	  1.78	  0	DR9	Sloan
     680	228.060760	+05.449506	22647	    6	SDSS	 82	  6	 	  1.83	  0	DR9	Sloan
     681	228.076786	+05.377398	24209	   17	 MMT	 62	 18	 	  1.84	  0	DR9	Sloan
     682	228.122201	+05.400241	23788	    6	 MMT	 23	 79	 	  1.31	  0	DR9	Sloan
     683	228.125720	+05.474333	23672	   16	 MMT	 25	   	*	  1.03	  0	DR9	Sloan
     684	227.265460	+05.974913	23019	    4	SDSS	125	 10	 	  1.64	  1	DR9	Sloan
     685	227.262139	+05.938678	22712	   23	 MMT	 66	 32	 	  1.89	  0	DR9	Sloan
     686	227.307649	+05.912481	23508	    4	SDSS	 83	  4	 	  1.81	  0	DR9	Sloan
     687	227.265160	+05.949708	23682	   42	 MMT	 68	 38	 	  1.73	  0	DR9	Sloan
     688	227.296826	+05.906921	23387	   64	 MMT	 55	 57	 	  1.69	  0	DR9	Sloan
     689	227.299522	+05.804808	23219	   47	 MMT	 21	  0	 	  1.57	  0	DR9	Sloan
     690	227.318541	+05.814487	21722	   31	 T13	217	 46	 	  1.27	  1	DR9	Sloan
     691	227.324812	+05.839441	24660	   13	 MMT	 21	  0	 	  1.38	  0	DR9	Sloan
     692	227.333145	+05.903916	23398	    5	SDSS	211	  7	 	  1.91	  0	DR9	Sloan
     693	227.335685	+05.901472	23353	   25	 MMT	 67	 27	 	  1.94	  0	DR9	Sloan
     694	227.330458	+05.796832	23648	    8	 MMT	 66	 25	 	  1.19	  0	DR9	Sloan
     695	227.329067	+05.796698	23825	   23	 MMT	180	 30	 	  1.39	  0	DR9	Sloan
     696	227.352239	+05.945304	23153	   33	 MMT	 21	   	*	  1.33	  0	DR9	Sloan
     697	227.349181	+05.885078	22817	   24	 MMT	 98	 14	 	  1.58	  0	DR9	Sloan
     698	228.196098	+05.701861	24413	   22	 MMT	 55	103	 	  1.08	  0	DR9	Sloan
     699	228.276887	+05.803573	23623	    9	SDSS	 90	  9	 	  1.64	  0	DR9	Sloan
     700	227.485551	+06.199351	24084	   24	 T13	100	  7	 	  1.82	  1	DR9	Sloan
     701	227.513945	+06.206468	22337	   36	 T13	100	 27	 	  1.78	  1	DR9	Sloan
     702	227.550848	+06.214250	23915	   30	 T13	136	  5	 	  1.94	  1	DR9	Sloan
     703	227.599178	+06.268800	23096	    3	SDSS	 84	 26	 	  1.35	  1	DR9	Sloan
     704	227.632754	+06.245276	24145	    8	SDSS	 98	  8	 	  1.97	  1	DR9	Sloan
     705	227.640503	+06.204891	24759	   28	 T13	113	  8	 	  1.96	  1	DR9	Sloan
     706	227.611291	+06.206480	23522	   38	 T13	 56	 64	 	  1.73	  1	DR9	Sloan
     707	227.612701	+06.214837	24578	   54	 MMT	 21	 47	 	  1.53	  0	DR9	Sloan
     708	227.652450	+06.270420	24446	   17	 MMT	124	 10	 	  1.99	  0	DR9	Sloan
     709	227.659385	+06.231358	24208	   11	SDSS	 79	 11	 	  1.83	  1	DR9	Sloan
     710	227.677021	+06.265184	23943	   24	 MMT	 90	 11	 	  1.87	  0	DR9	Sloan
     711	227.679872	+06.198118	22018	   31	 T13	 76	 12	 	  1.51	  1	DR9	Sloan
     712	227.711962	+06.204290	23281	   21	 T13	117	  6	 	  1.92	  1	DR9	Sloan
     713	227.718379	+06.171009	24228	   32	 T13	195	  4	 	  1.93	  1	DR9	Sloan
     714	227.740604	+06.260975	23115	   22	 T13	126	 10	 	  2.07	  1	DR9	Sloan
     715	227.771142	+06.211624	24451	   29	 T13	 21	 25	 	  1.67	  1	DR9	Sloan
     716	227.790754	+06.201177	24007	    4	SDSS	171	  5	 	  2.03	  1	DR9	Sloan
     717	227.792797	+06.209377	22689	   21	 T13	 89	 28	 	  1.87	  1	DR9	Sloan
     718	227.722732	+06.234489	24133	   25	 T13	 70	 14	 	  1.35	  1	DR9	Sloan
     719	227.733671	+06.176048	23212	   36	 MMT	 41	 44	 	  1.60	  0	DR9	Sloan
     720	227.736235	+06.235893	24020	   44	 MMT	 32	 37	 	  1.80	  1	DR9	Sloan
     721	227.762091	+06.252022	23137	   32	 T13	 90	 28	 	  1.65	  1	DR9	Sloan
     722	227.867588	+06.267697	22987	   14	 MMT	153	  5	 	  2.09	  0	DR9	Sloan
     723	227.880190	+06.262978	23342	    6	SDSS	190	  7	 	  1.85	  0	DR9	Sloan
     724	227.796367	+06.237473	23630	   36	 T13	174	 20	 	  1.48	  1	DR9	Sloan
     725	227.803834	+06.304951	24314	   32	 T13	189	  7	 	  1.86	  0	DR9	Sloan
     726	227.814826	+06.258876	23241	    5	SDSS	187	  7	 	  1.95	  0	DR9	Sloan
     727	227.828212	+06.279460	24109	   24	 MMT	280	  6	 	  2.10	  0	DR9	Sloan
     728	227.844911	+06.279823	24283	   25	 MMT	 97	 15	 	  1.90	  0	DR9	Sloan
     729	227.844842	+06.214889	22642	   23	 T13	 57	 15	 	  1.24	  1	DR9	Sloan
     730	227.842388	+06.169985	23717	   28	 T13	170	  6	 	  1.90	  1	DR9	Sloan
     731	227.850713	+06.182482	22955	   42	 T13	 42	 43	 	  1.74	  1	DR9	Sloan
     732	227.869139	+06.236919	23889	   35	 T13	 99	 24	 	  1.51	  1	DR9	Sloan
