#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:25:46 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:25:46	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/224/33/table2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22240033
#Name: J/ApJS/224/33
#Title: CLASH-VLT: the FF cluster MACS J0416.1-2403 (Balestra+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apjs/224/33	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/224/33	    IVOID of underlying data collection
#INFO	creator=Balestra I.	    First author or institution
#INFO	cites=bibcode:2016ApJS..224...33B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/224/33	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22240033	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-09-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_224_33_table2:
#Name: J/ApJS/224/33/table2
#Title: CLASH-VLT spectroscopic redshift catalog of MACS J0416.1-2403
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A16)	CLASHVLT identifier (JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	[63.8/64.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[-24.3/-23.8] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0/4.2] Spectroscopic redshift	[ucd=src.redshift]
#Column	q_z	(I1)	[2/9] Quality flag on z (1)	[ucd=meta.code.qual;src.redshift]
#Column	r_z	(I1)	[1/5] Reference code for z (2)	[ucd=meta.ref;pos.frame]
#Column	Rmag	(F5.2)	[15.2/25.7]? Subaru/Suprime Cam Kron R-band AB magnitude	[ucd=phot.mag;em.opt.R]
#Column	f_ID	(A3)	Flag(s) on ID (3)	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	ID	RAJ2000	DEJ2000	z	q_z	r_z	Rmag	f_ID	Simbad
    2466	J041639.9-240342	064.166243	-24.061892	 0.4626	3	1	23.27	   	Simbad
    2467	J041559.8-240344	063.999149	-24.062492	 0.3420	3	1	22.64	   	Simbad
    2468	J041524.9-240344	063.853579	-24.062294	 0.2195	3	1	23.02	   	Simbad
    2469	J041623.0-240344	064.095913	-24.062407	 0.3084	2	1	23.14	   	Simbad
    2470	J041616.8-240330	064.070107	-24.058584	 0.5278	3	2	20.72	   	Simbad
    2471	J041611.0-240332	064.045826	-24.058995	 0.3976	3	1	21.98	   	Simbad
    2472	J041526.3-240342	063.859516	-24.061839	 0.2350	9	3	23.58	   	Simbad
    2473	J041606.9-240344	064.028606	-24.062353	 3.0832	3	3	23.89	   	Simbad
    2474	J041542.4-240340	063.926795	-24.061251	 0.3078	3	1	21.54	   	Simbad
    2475	J041609.8-240337	064.040929	-24.060383	 0.3993	3	1	21.16	   	Simbad
    2476	J041633.0-240342	064.137629	-24.061846	 0.4089	2	1	23.44	   	Simbad
    2477	J041537.6-240343	063.906652	-24.062207	 0.4532	9	1	23.91	   	Simbad
    2478	J041623.5-240344	064.097936	-24.062270	 0.4627	2	1	24.43	   	Simbad
    2479	J041615.9-240323	064.066043	-24.056550	 0.3121	5	4	19.68	   	Simbad
    2480	J041519.8-240340	063.832698	-24.061355	 0.4002	3	3	22.32	   	Simbad
    2481	J041655.4-240337	064.230788	-24.060301	 0.2471	3	3	22.02	   	Simbad
    2482	J041644.3-240337	064.184659	-24.060361	 0.4828	3	3	22.66	   	Simbad
    2483	J041703.9-240339	064.266205	-24.060894	 0.3922	3	1	23.93	   	Simbad
    2484	J041701.2-240340	064.254808	-24.061248	 0.5534	9	1	23.55	   	Simbad
    2485	J041546.9-240339	063.945542	-24.061034	 0.3965	2	1	23.09	   	Simbad
    2486	J041607.7-240324	064.032271	-24.056860	 0.3963	2	2	20.23	   	Simbad
    2487	J041617.4-240330	064.072596	-24.058537	 0.3988	3	1	20.40	   	Simbad
    2488	J041625.0-240340	064.104266	-24.061207	 1.9806	2	1	23.75	   	Simbad
    2489	J041559.1-240320	063.996110	-24.055575	 0.3903	3	1	20.18	1,R	Simbad
    2490	J041629.3-240334	064.122221	-24.059455	 0.3979	3	1	22.28	   	Simbad
    2491	J041647.0-240333	064.196039	-24.059347	 1.1945	3	1	22.20	   	Simbad
    2492	J041628.2-240340	064.117591	-24.061146	 0.4633	2	1	22.94	   	Simbad
    2493	J041650.9-240339	064.211924	-24.060929	 0.7772	3	1	24.25	   	Simbad
    2494	J041647.3-240339	064.197060	-24.060998	 0.6350	9	1	24.54	   	Simbad
    2495	J041515.3-240329	063.813930	-24.058252	 0.6387	3	3	21.30	R  	Simbad
    2496	J041545.3-240327	063.938881	-24.057606	 0.5888	3	1	22.01	   	Simbad
    2497	J041657.5-240329	064.239610	-24.058272	 0.7021	3	2	21.00	   	Simbad
    2498	J041636.6-240332	064.152637	-24.059071	 0.3564	3	1	21.94	   	Simbad
    2499	J041611.1-240337	064.046415	-24.060339	 3.2399	9	2	25.62	   	Simbad
    2500	J041627.1-240330	064.112929	-24.058366	 0.4849	9	1	22.29	   	Simbad
    2501	J041544.4-240332	063.935076	-24.059104	 0.6562	3	1	22.28	   	Simbad
    2502	J041612.1-240325	064.050228	-24.057202	 0.4053	3	2	21.10	   	Simbad
    2503	J041525.4-240336	063.856026	-24.060054	 0.5057	3	1	24.33	   	Simbad
    2504	J041653.5-240325	064.222938	-24.057164	 0.5378	3	1	21.12	   	Simbad
    2505	J041532.1-240314	063.883950	-24.054013	 0.8868	3	3	22.23	   	Simbad
    2506	J041616.5-240324	064.068902	-24.056696	 0.4031	3	1	20.91	   	Simbad
    2507	J041642.4-240327	064.176459	-24.057705	 0.5801	3	1	22.28	   	Simbad
    2508	J041542.3-240334	063.926158	-24.059580	 0.6557	3	1	23.37	   	Simbad
    2509	J041608.7-240325	064.036285	-24.057136	 0.3996	3	1	20.30	   	Simbad
    2510	J041606.5-240332	064.027260	-24.059128	 0.3894	3	3	22.79	   	Simbad
    2511	J041637.3-240322	064.155280	-24.056354	 0.2689	3	1	20.74	   	Simbad
    2512	J041653.6-240332	064.223135	-24.058994	 0.7106	3	1	23.53	   	Simbad
    2513	J041627.5-240333	064.114671	-24.059424	 0.5663	3	1	22.90	   	Simbad
    2514	J041609.1-240320	064.037813	-24.055585	 0.3932	3	1	20.58	   	Simbad
    2515	J041635.6-240317	064.148139	-24.054974	 0.6161	3	1	20.77	   	Simbad
    2516	J041700.8-240334	064.253395	-24.059493	 0.0000	2	1	23.48	   	Simbad
    2517	J041632.7-240327	064.136207	-24.057584	 0.0000	3	1	20.85	   	Simbad
    2518	J041616.1-240321	064.066927	-24.056055	 0.3994	3	1	20.61	   	Simbad
    2519	J041654.2-240331	064.225636	-24.058709	 0.2072	3	1	22.85	   	Simbad
    2520	J041529.2-240316	063.871767	-24.054602	 0.2275	3	1	19.82	   	Simbad
    2521	J041654.0-240331	064.225121	-24.058620	 0.2458	2	1	23.65	   	Simbad
    2522	J041538.6-240326	063.910674	-24.057410	 0.3943	3	3	20.30	R  	Simbad
    2523	J041657.4-240321	064.239297	-24.056103	 0.5393	3	3	21.61	   	Simbad
    2524	J041544.9-240332	063.937184	-24.058929	 0.4007	2	1	24.26	   	Simbad
    2525	J041620.2-240328	064.084257	-24.057971	 0.3997	3	1	21.73	   	Simbad
    2526	J041604.2-240331	064.017477	-24.058659	 0.2072	3	1	22.85	   	Simbad
    2527	J041638.1-240318	064.158800	-24.055072	 0.3996	2	1	20.96	   	Simbad
    2528	J041549.3-240331	063.955326	-24.058629	 0.5093	3	1	22.82	   	Simbad
    2529	J041704.4-240330	064.268352	-24.058484	 0.7033	9	1	24.22	   	Simbad
    2530	J041526.2-240330	063.859113	-24.058478	 0.3069	3	1	23.60	   	Simbad
    2531	J041617.2-240322	064.071757	-24.056163	 0.4037	3	1	20.37	   	Simbad
    2532	J041515.1-240329	063.812770	-24.058064	 0.6367	2	1	23.01	   	Simbad
    2533	J041609.5-240331	064.039434	-24.058860	 3.2971	9	3	24.79	   	Simbad
    2534	J041545.2-240325	063.938190	-24.057160	 0.5023	2	1	22.78	   	Simbad
    2535	J041627.9-240329	064.116243	-24.058234	 0.4004	3	1	23.23	   	Simbad
    2536	J041617.4-240329	064.072459	-24.058133	 0.6653	3	1	20.89	   	Simbad
    2537	J041545.2-240315	063.938147	-24.054275	 0.5003	3	1	20.40	R  	Simbad
    2538	J041648.2-240324	064.200955	-24.056813	 0.5654	3	3	22.91	   	Simbad
    2539	J041520.3-240320	063.834707	-24.055638	 0.4999	3	1	21.22	   	Simbad
    2540	J041524.5-240328	063.852039	-24.057822	 0.4671	9	1	24.33	   	Simbad
    2541	J041531.0-240312	063.878980	-24.053399	 0.3071	3	3	20.85	   	Simbad
    2542	J041610.8-240327	064.044857	-24.057736	 2.8109	3	1	23.53	   	Simbad
    2543	J041554.7-240323	063.977855	-24.056423	 0.6320	3	1	23.31	   	Simbad
    2544	J041613.2-240319	064.055086	-24.055470	 0.9063	3	2	21.81	R  	Simbad
    2545	J041543.8-240313	063.932495	-24.053876	 0.4986	3	1	20.76	R  	Simbad
    2546	J041601.0-240316	064.004124	-24.054634	 0.3093	3	1	21.94	   	Simbad
    2547	J041545.0-240320	063.937498	-24.055751	 0.5892	3	1	22.07	   	Simbad
    2548	J041521.4-240322	063.839150	-24.056292	 0.6343	9	1	24.52	   	Simbad
    2549	J041514.9-240325	063.811914	-24.056968	 0.4003	3	3	23.94	   	Simbad
    2550	J041605.8-240310	064.024326	-24.053036	 0.3971	3	1	20.38	   	Simbad
    2551	J041613.2-240313	064.055152	-24.053667	 0.6258	2	3	22.30	   	Simbad
    2552	J041621.7-240311	064.090284	-24.053214	 0.3082	3	1	20.37	   	Simbad
    2553	J041657.4-240315	064.239329	-24.054328	 0.0000	2	1	22.48	   	Simbad
    2554	J041606.0-240322	064.025162	-24.056381	 0.3991	3	1	22.87	   	Simbad
    2555	J041620.6-240323	064.085997	-24.056489	 0.4839	3	1	23.62	   	Simbad
    2556	J041632.4-240306	064.135108	-24.051925	 0.0000	3	1	18.19	   	Simbad
    2557	J041644.1-240313	064.183811	-24.053735	 0.2678	3	1	20.84	   	Simbad
    2558	J041526.2-240314	063.859179	-24.054119	 0.4645	3	1	21.59	   	Simbad
    2559	J041542.6-240300	063.927614	-24.050252	 0.5652	3	1	20.34	R  	Simbad
    2560	J041611.4-240317	064.047666	-24.054914	 0.3060	2	1	22.90	   	Simbad
    2561	J041542.9-240317	063.928658	-24.054998	 0.3580	3	1	22.14	   	Simbad
    2562	J041557.3-240253	063.988820	-24.048124	 0.3895	3	1	20.89	   	Simbad
    2563	J041609.8-240323	064.040906	-24.056518	 2.2266	3	1	24.49	   	Simbad
    2564	J041559.3-240315	063.997071	-24.054375	 0.3894	3	1	21.99	   	Simbad
    2565	J041653.2-240320	064.221652	-24.055604	 0.7324	3	1	23.69	   	Simbad
    2566	J041632.7-240312	064.136372	-24.053345	 0.6309	3	1	21.69	   	Simbad
    2567	J041524.7-240321	063.852975	-24.055897	 0.2421	3	1	23.99	   	Simbad
    2568	J041625.3-240322	064.105235	-24.056127	 0.3085	3	1	23.50	   	Simbad
    2569	J041546.2-240304	063.942628	-24.051192	 0.5006	3	1	19.81	R  	Simbad
    2570	J041612.3-240319	064.051354	-24.055466	 1.3040	2	1	23.30	   	Simbad
    2571	J041647.9-240316	064.199634	-24.054697	 0.0000	2	1	22.74	   	Simbad
    2572	J041622.5-240319	064.093917	-24.055317	 0.5398	9	1	23.40	   	Simbad
    2573	J041607.5-240303	064.031061	-24.051103	 0.4012	3	1	20.56	   	Simbad
    2574	J041601.6-240313	064.006529	-24.053817	 0.3910	3	1	22.61	   	Simbad
    2575	J041639.2-240319	064.163437	-24.055474	 0.6332	3	2	24.52	1  	Simbad
    2576	J041646.4-240317	064.193129	-24.054803	 0.5540	3	1	22.96	   	Simbad
    2577	J041624.0-240312	064.100032	-24.053460	 0.3948	3	2	22.83	   	Simbad
    2578	J041619.0-240258	064.078974	-24.049647	 2.5581	2	1	22.76	   	Simbad
    2579	J041616.4-240311	064.068505	-24.053290	 0.3940	3	1	21.81	   	Simbad
    2580	J041527.0-240313	063.862293	-24.053660	 0.5101	3	1	22.47	   	Simbad
    2581	J041640.5-240310	064.168939	-24.052880	 0.5781	3	1	22.77	   	Simbad
    2582	J041604.7-240308	064.019678	-24.052456	 0.0606	2	1	21.45	   	Simbad
    2583	J041559.5-240317	063.997988	-24.054989	 0.3092	3	1	23.84	   	Simbad
    2584	J041630.1-240302	064.125576	-24.050651	 0.3946	3	1	20.45	   	Simbad
    2585	J041643.0-240314	064.179060	-24.054000	 0.6512	3	1	23.34	   	Simbad
    2586	J041609.1-240258	064.037944	-24.049699	 0.3996	3	1	21.01	   	Simbad
    2587	J041618.6-240310	064.077570	-24.052977	 0.4002	3	1	20.90	   	Simbad
    2588	J041632.2-240316	064.134025	-24.054565	 0.0000	2	1	23.69	   	Simbad
    2589	J041614.3-240314	064.059506	-24.054095	 0.4075	3	2	23.37	   	Simbad
    2590	J041629.4-240307	064.122561	-24.051994	 0.3093	3	1	22.31	   	Simbad
    2591	J041555.5-240314	063.981062	-24.053891	 0.2955	2	1	22.84	   	Simbad
    2592	J041656.2-240312	064.233977	-24.053363	 0.5411	3	1	23.09	   	Simbad
    2593	J041611.9-240311	064.049580	-24.053134	 0.4014	2	1	21.98	   	Simbad
    2594	J041536.2-240255	063.900974	-24.048866	 0.5011	3	1	20.89	   	Simbad
    2595	J041611.8-240308	064.048986	-24.052273	 0.4054	3	1	20.74	   	Simbad
    2596	J041554.8-240311	063.978525	-24.053144	 0.5006	3	1	21.86	   	Simbad
    2597	J041613.7-240305	064.057120	-24.051499	 0.3921	3	1	20.99	   	Simbad
    2598	J041632.2-240315	064.134104	-24.054171	 0.5284	9	1	24.03	   	Simbad
    2599	J041659.0-240310	064.245817	-24.052781	 0.3984	3	1	22.15	   	Simbad
    2600	J041610.5-240313	064.043570	-24.053619	 0.6328	3	1	22.98	   	Simbad
    2601	J041652.8-240313	064.219865	-24.053850	 0.2772	9	2	24.41	   	Simbad
    2602	J041606.8-240314	064.028398	-24.054047	 0.9411	3	2	25.61	   	Simbad
    2603	J041630.6-240301	064.127560	-24.050325	 0.5709	3	1	20.74	   	Simbad
    2604	J041630.4-240304	064.126548	-24.051126	 0.5708	9	1	22.63	   	Simbad
    2605	J041550.3-240256	063.959395	-24.048942	 0.5109	3	1	20.71	   	Simbad
    2606	J041608.1-240309	064.033558	-24.052745	 2.1372	2	1	23.17	   	Simbad
    2607	J041639.7-240308	064.165513	-24.052371	 0.5686	3	1	22.23	   	Simbad
    2608	J041603.7-240310	064.015485	-24.052955	 0.3962	2	1	22.99	   	Simbad
    2609	J041623.9-240308	064.099430	-24.052290	 0.3081	3	1	22.73	   	Simbad
    2610	J041513.6-240254	063.806547	-24.048610	 0.3989	3	1	21.74	   	Simbad
    2611	J041529.2-240310	063.871492	-24.052971	 2.2155	2	1	23.93	   	Simbad
    2612	J041702.6-240303	064.261023	-24.050916	 0.2994	3	1	21.95	   	Simbad
    2613	J041523.7-240256	063.848899	-24.048895	 0.5116	3	1	19.98	   	Simbad
    2614	J041553.4-240255	063.972456	-24.048878	 0.4996	3	1	21.53	   	Simbad
    2615	J041704.0-240300	064.266586	-24.050005	 0.3024	3	1	21.05	   	Simbad
    2616	J041610.6-240304	064.044046	-24.051275	 0.3930	6	5	22.24	   	Simbad
    2617	J041544.0-240306	063.933533	-24.051749	 0.6141	3	1	22.36	   	Simbad
    2618	J041703.5-240304	064.264397	-24.051192	 0.4184	3	1	22.23	   	Simbad
    2619	J041651.5-240306	064.214725	-24.051816	 0.4661	3	3	23.14	   	Simbad
    2620	J041621.0-240308	064.087316	-24.052432	 0.2754	3	1	24.20	   	Simbad
    2621	J041627.8-240254	064.115679	-24.048497	 0.4750	3	1	22.24	   	Simbad
    2622	J041536.8-240305	063.903428	-24.051393	 0.3464	3	3	22.95	   	Simbad
    2623	J041532.1-240259	063.883668	-24.049812	 2.0723	3	1	21.13	1  	Simbad
    2624	J041615.1-240310	064.062882	-24.052836	 0.6263	9	1	24.36	   	Simbad
    2625	J041703.9-240304	064.266139	-24.051296	 0.2672	3	1	22.96	   	Simbad
    2626	J041658.2-240308	064.242516	-24.052235	 0.3966	3	1	23.60	   	Simbad
    2627	J041624.1-240306	064.100249	-24.051932	 0.3895	3	1	23.63	   	Simbad
    2628	J041605.5-240308	064.022916	-24.052337	 0.7514	2	2	23.63	   	Simbad
    2629	J041606.2-240254	064.026023	-24.048580	 0.4029	3	1	21.10	   	Simbad
    2630	J041554.3-240307	063.976235	-24.052035	 0.6317	3	1	23.69	   	Simbad
    2631	J041618.8-240305	064.078528	-24.051547	 0.5255	3	1	21.00	   	Simbad
    2632	J041641.0-240304	064.170810	-24.051292	 0.3392	3	1	22.34	   	Simbad
    2633	J041701.7-240306	064.257049	-24.051876	 0.3926	3	1	24.03	   	Simbad
    2634	J041517.0-240302	063.820798	-24.050729	 0.7137	3	1	22.91	   	Simbad
    2635	J041554.5-240304	063.977042	-24.051148	 0.7205	2	1	23.23	   	Simbad
    2636	J041528.0-240304	063.866759	-24.051141	 0.3486	3	3	22.69	   	Simbad
    2637	J041640.3-240301	064.167993	-24.050367	 0.6629	3	1	23.10	   	Simbad
    2638	J041559.2-240300	063.996796	-24.050175	 0.3916	3	1	21.92	   	Simbad
    2639	J041619.8-240301	064.082531	-24.050454	 0.4002	3	1	21.20	   	Simbad
    2640	J041620.5-240304	064.085502	-24.051315	 0.5027	3	1	22.67	   	Simbad
    2641	J041601.9-240304	064.007960	-24.051387	 0.3946	2	1	22.87	   	Simbad
    2642	J041649.4-240301	064.206026	-24.050525	 0.4876	3	1	22.37	   	Simbad
    2643	J041604.5-240302	064.018667	-24.050703	 0.6808	2	1	23.25	   	Simbad
    2644	J041549.6-240248	063.956711	-24.046929	 0.2808	3	3	19.70	   	Simbad
    2645	J041645.4-240257	064.189115	-24.049324	 0.4656	3	3	22.63	   	Simbad
    2646	J041617.3-240300	064.071999	-24.050123	 0.3967	3	3	21.65	   	Simbad
    2647	J041659.5-240256	064.248078	-24.049165	 0.0000	3	1	20.00	   	Simbad
    2648	J041614.5-240301	064.060378	-24.050415	 0.3534	3	1	22.91	   	Simbad
    2649	J041621.9-240300	064.091254	-24.050247	 0.3890	2	1	22.82	   	Simbad
    2650	J041519.8-240241	063.832425	-24.044874	 0.5631	3	1	21.44	   	Simbad
    2651	J041655.1-240248	064.229510	-24.046671	 0.2705	3	1	21.27	   	Simbad
    2652	J041537.9-240245	063.907773	-24.045997	 0.3796	3	1	21.58	   	Simbad
    2653	J041646.3-240236	064.192952	-24.043514	 0.0000	3	1	18.19	   	Simbad
    2654	J041639.1-240240	064.163089	-24.044668	 0.3565	3	1	21.67	   	Simbad
    2655	J041658.6-240244	064.244067	-24.045818	 0.5492	3	1	22.24	   	Simbad
    2656	J041536.8-240256	063.903420	-24.048989	 0.5506	3	3	23.12	   	Simbad
    2657	J041609.5-240254	064.039432	-24.048392	 0.4071	3	1	21.06	   	Simbad
    2658	J041544.6-240256	063.935762	-24.048986	 0.6668	3	1	22.38	   	Simbad
    2659	J041525.9-240258	063.858007	-24.049682	 0.5048	3	3	24.33	   	Simbad
    2660	J041600.8-240301	064.003182	-24.050527	 0.5531	9	1	23.59	   	Simbad
    2661	J041542.9-240255	063.928891	-24.048867	 0.5480	3	1	22.03	   	Simbad
    2662	J041614.6-240254	064.060976	-24.048604	 1.9409	2	1	23.14	   	Simbad
    2663	J041553.1-240255	063.971331	-24.048732	 0.5026	3	1	21.90	   	Simbad
    2664	J041520.5-240256	063.835284	-24.048890	 0.4088	2	1	21.65	   	Simbad
    2665	J041622.5-240258	064.093556	-24.049476	 0.1251	2	1	23.31	   	Simbad
    2666	J041522.3-240253	063.842863	-24.048153	 0.5113	3	1	21.35	   	Simbad
    2667	J041547.8-240301	063.949258	-24.050406	 0.4161	9	1	25.29	   	Simbad
    2668	J041540.6-240259	063.919163	-24.049784	 0.3554	2	1	23.70	   	Simbad
    2669	J041619.5-240247	064.081083	-24.046522	 0.3955	3	1	19.43	1  	Simbad
    2670	J041617.4-240258	064.072320	-24.049594	 0.4000	2	2	22.51	   	Simbad
    2671	J041608.7-240259	064.036348	-24.049989	 2.7568	3	3	24.28	   	Simbad
    2672	J041645.0-240245	064.187347	-24.046014	 0.2668	3	1	20.13	   	Simbad
    2673	J041606.1-240254	064.025289	-24.048404	 0.3982	2	1	22.03	   	Simbad
    2674	J041610.0-240256	064.041736	-24.048948	 0.0000	2	1	23.11	   	Simbad
    2675	J041529.4-240254	063.872385	-24.048589	 0.4022	3	1	22.99	   	Simbad
    2676	J041615.5-240248	064.064581	-24.046797	 0.7502	3	3	21.83	   	Simbad
    2677	J041605.8-240256	064.024163	-24.049050	 0.2517	2	1	23.53	   	Simbad
    2678	J041626.6-240259	064.110916	-24.049759	 0.3903	3	1	24.54	   	Simbad
    2679	J041625.2-240251	064.105155	-24.047562	 0.3987	3	1	20.79	   	Simbad
    2680	J041633.3-240256	064.138885	-24.048892	 0.3940	2	3	23.46	   	Simbad
    2681	J041610.8-240239	064.044976	-24.044188	 0.3964	3	1	20.11	   	Simbad
    2682	J041636.6-240248	064.152306	-24.046743	 0.3565	3	1	22.16	   	Simbad
    2683	J041529.3-240251	063.872062	-24.047758	 0.9386	2	2	23.22	   	Simbad
    2684	J041612.2-240244	064.050953	-24.045634	 0.3865	3	1	20.52	   	Simbad
    2685	J041620.8-240249	064.086470	-24.047221	 0.4275	2	1	23.18	   	Simbad
    2686	J041618.0-240251	064.075054	-24.047773	 0.4018	3	1	22.08	   	Simbad
    2687	J041639.6-240255	064.164815	-24.048744	 0.3565	3	1	23.08	   	Simbad
    2688	J041702.3-240240	064.259633	-24.044535	 0.5485	3	1	20.61	   	Simbad
    2689	J041636.4-240243	064.151738	-24.045442	 2.5868	9	1	23.55	   	Simbad
    2690	J041645.4-240254	064.189333	-24.048380	 0.5399	3	1	23.54	   	Simbad
    2691	J041623.7-240252	064.098953	-24.047995	 0.4021	2	1	22.73	   	Simbad
    2692	J041637.2-240253	064.155181	-24.048324	 0.6383	3	1	23.57	   	Simbad
    2693	J041530.2-240248	063.875893	-24.046794	 0.2693	3	1	22.64	   	Simbad
    2694	J041638.8-240253	064.161515	-24.048199	 0.3556	2	1	22.80	   	Simbad
    2695	J041621.9-240248	064.091079	-24.046857	 0.4024	3	1	21.77	   	Simbad
    2696	J041648.8-240243	064.203525	-24.045421	 1.1785	3	1	21.93	1,R	Simbad
    2697	J041537.5-240248	063.906297	-24.046671	 0.5637	3	1	22.41	   	Simbad
    2698	J041618.3-240252	064.076152	-24.047985	 0.4020	2	3	23.31	   	Simbad
    2699	J041701.2-240248	064.254952	-24.046730	 0.6143	3	1	22.55	   	Simbad
    2700	J041600.7-240253	064.002800	-24.048253	 0.7115	9	1	24.55	   	Simbad
    2701	J041604.4-240253	064.018231	-24.048241	 0.7326	3	3	24.01	   	Simbad
    2702	J041547.9-240252	063.949550	-24.047925	 0.6599	3	1	22.48	   	Simbad
    2703	J041600.9-240226	064.003816	-24.040616	 0.3919	3	1	19.85	   	Simbad
    2704	J041657.9-240254	064.241053	-24.048445	 0.3328	3	1	24.29	   	Simbad
    2705	J041602.4-240248	064.010015	-24.046774	 0.4672	3	1	22.80	   	Simbad
    2706	J041543.5-240250	063.931290	-24.047422	 0.4993	3	1	22.98	   	Simbad
    2707	J041522.9-240252	063.845585	-24.047936	 0.5049	3	1	23.98	   	Simbad
    2708	J041556.9-240246	063.987047	-24.046388	 0.5957	3	1	22.74	   	Simbad
    2709	J041617.8-240246	064.074274	-24.046294	 0.5735	2	1	22.37	   	Simbad
    2710	J041523.0-240247	063.845762	-24.046611	 0.5052	3	1	22.66	   	Simbad
    2711	J041513.9-240250	063.808006	-24.047359	 0.3977	3	1	23.00	   	Simbad
    2712	J041547.0-240245	063.945801	-24.046064	 0.6590	3	1	23.36	   	Simbad
    2713	J041617.5-240228	064.072927	-24.041124	 0.3949	3	1	19.42	   	Simbad
    2714	J041627.6-240250	064.115202	-24.047235	 0.6314	3	1	23.73	   	Simbad
    2715	J041614.5-240245	064.060318	-24.045981	 0.3075	3	1	21.98	   	Simbad
    2716	J041606.7-240228	064.028039	-24.041178	 0.3978	3	1	19.81	   	Simbad
    2717	J041520.0-240244	063.833199	-24.045804	 0.5649	2	1	22.56	   	Simbad
    2718	J041529.3-240248	063.871945	-24.046805	 0.6333	3	2	23.91	   	Simbad
    2719	J041539.0-240247	063.912524	-24.046628	 0.5122	3	1	23.34	   	Simbad
    2720	J041542.4-240251	063.926823	-24.047616	 0.4377	3	1	24.05	   	Simbad
    2721	J041545.1-240244	063.937891	-24.045791	 0.4836	3	1	21.33	   	Simbad
    2722	J041551.0-240249	063.962342	-24.047142	 0.5659	2	1	24.40	   	Simbad
    2723	J041614.6-240249	064.060885	-24.047159	 0.0000	2	1	24.00	   	Simbad
    2724	J041612.7-240245	064.052761	-24.046062	 0.5478	3	1	23.08	   	Simbad
    2725	J041629.8-240242	064.124291	-24.045092	 0.3992	2	1	22.31	   	Simbad
    2726	J041604.6-240244	064.018985	-24.045564	 0.7336	3	1	23.03	   	Simbad
    2727	J041705.4-240232	064.272346	-24.042351	 0.3028	3	3	20.90	   	Simbad
    2728	J041608.7-240249	064.036183	-24.047116	 0.4223	9	1	24.51	   	Simbad
    2729	J041527.2-240245	063.863528	-24.045873	 0.4076	3	1	23.64	   	Simbad
    2730	J041657.3-240245	064.238826	-24.046024	 0.5398	3	2	23.98	   	Simbad
    2731	J041629.4-240242	064.122422	-24.045265	 0.4011	3	3	21.64	   	Simbad
    2732	J041616.3-240246	064.067802	-24.046296	 0.7975	9	2	23.45	   	Simbad
    2733	J041609.0-240243	064.037695	-24.045344	 1.0357	3	2	23.56	   	Simbad
    2734	J041521.3-240246	063.838958	-24.046209	 0.3991	3	1	23.23	   	Simbad
    2735	J041516.8-240244	063.820123	-24.045640	 1.4224	2	1	22.92	   	Simbad
    2736	J041604.3-240244	064.017904	-24.045567	 0.0000	3	1	22.65	   	Simbad
    2737	J041653.8-240239	064.224289	-24.044424	 0.4666	3	3	21.61	   	Simbad
    2738	J041528.3-240235	063.867709	-24.043266	 0.0941	3	1	20.56	   	Simbad
    2739	J041630.4-240244	064.126588	-24.045766	 0.3907	3	1	22.76	   	Simbad
    2740	J041543.8-240240	063.932542	-24.044617	 0.5002	3	3	21.83	   	Simbad
    2741	J041616.9-240244	064.070244	-24.045779	 0.6009	9	1	24.52	   	Simbad
    2742	J041523.4-240218	063.847396	-24.038549	 0.2184	3	1	20.34	   	Simbad
    2743	J041652.6-240245	064.219061	-24.045915	 0.6300	9	1	24.49	   	Simbad
    2744	J041614.6-240210	064.060819	-24.036288	 0.4026	3	1	19.63	   	Simbad
