#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/872/192/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18720192
#Name: J/ApJ/872/192
#Title: A spectroscopic census of A2029 members (Sohn+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/872/192	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/872/192	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2019ApJ...872..192S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/872/192	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18720192	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_872_192_table1:
#Name: J/ApJ/872/192/table1
#Title: Physical properties of the spectroscopic members of A2029
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	SDSS	(A19)	SDSS name (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id;meta.main]
#Column	objID	(I19)	SDSS object identifier	[ucd=meta.id]
#Column	RAJ2000	(F10.6)	[226.15/229.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[4.1/7.4] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0.069/0.09] Spectroscopic redshift	[ucd=src.redshift]
#Column	e_z	(F7.4)	[0/0.001]? Uncertainty in z	[ucd=stat.error;src.redshift]
#Column	logM*	(F6.2)	[7/11.9]? log stellar mass	[ucd=phys.mass]
#Column	e_logM*	(F5.2)	[0/0.6] Uncertainty in logM*	[ucd=stat.error]
#Column	Dn4000	(F5.2)	[0.1/4.9]? The D_n_4000 spectroscopic index	[ucd=spect.index]
#Column	e_Dn4000	(F5.2)	[0/3.8]? Uncertainty in Dn4000	[ucd=stat.error]
#Column	sigma	(I3)	[7/983]? Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	[0/873]? Uncertainty in sigma	[ucd=stat.error]
#Column	Class	(A1)	Spectral type code (1)	[ucd=meta.code.class]
#Column	E+A?	(A1)	[NY] An E+A galaxy?	[ucd=meta.code]
#Column	T13	(I3)	Display data from Tyler+, 2013, J/ApJ/773/86 within 3"	[ucd=meta.ref.url]
#Column	S17	(I3)	Display data from Sohn+, 2017, J/ApJS/229/20 within 3"	[ucd=meta.ref.url]
#Column	PapI	(I3)	Display data from Sohn+, 2019, J/ApJ/871/129	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS DR14 or DR7 data for this object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	SDSS	objID	RAJ2000	DEJ2000	z	e_z	logM*	e_logM*	Dn4000	e_Dn4000	sigma	e_sigma	Class	E+A?	T13	S17	PapI	Sloan	Simbad
     609	J151044.59+051612.7	1237655743483150740	227.685825	+05.270199	 0.0789	 0.0001	  9.27	 0.07	 1.49	 0.05	 99	 23	N	N	  0	  1	  1	Sloan	Simbad
     610	J151015.88+051824.8	1237655743483150796	227.566194	+05.306901	 0.0767	 0.0001	  8.99	 0.05	 1.40	 0.08	 84	 42	N	N	  0	  1	  1	Sloan	Simbad
     611	J151016.35+051854.4	1237655743483150800	227.568127	+05.315136	 0.0834	 0.0001	  8.36	 0.18	 1.37	 0.13	116	 85	S	N	  0	  0	  1	Sloan	Simbad
     612	J151032.32+051840.4	1237655743483151009	227.634665	+05.311232	 0.0839	 0.0001	  8.47	 0.12	 1.40	 0.10	393	139	N	N	  0	  1	  1	Sloan	Simbad
     613	J151048.42+051815.3	1237655743483151180	227.701763	+05.304272	 0.0760	 0.0002	  9.24	 0.09	 1.49	 0.12	 74	 48	N	N	  0	  0	  1	Sloan	Simbad
     614	J151102.91+051735.2	1237655743483215904	227.762153	+05.293112	 0.0770	 0.0001	 11.02	 0.05	 1.91	 0.05	190	 10	A	N	  1	  1	  1	Sloan	Simbad
     615	J151101.96+051747.6	1237655743483215907	227.758169	+05.296566	 0.0771	 0.0001	      	 0.00	 1.47	 0.05	 56	 35	N	N	  0	  1	  1	Sloan	Simbad
     616	J151114.43+051754.4	1237655743483215930	227.810148	+05.298467	 0.0786	 0.0001	 10.59	 0.11	 1.77	 0.05	137	 13	N	N	  1	  1	  1	Sloan	Simbad
     617	J151119.00+051417.9	1237655743483215953	227.829187	+05.238314	 0.0797	 0.0000	 11.82	 0.05	 1.98	 0.01	354	  7	N	N	  0	  1	  1	Sloan	Simbad
     618	J151117.35+051319.6	1237655743483215955	227.822323	+05.222137	 0.0791	 0.0000	 11.23	 0.04	 2.05	 0.02	310	  7	N	N	  0	  1	  1	Sloan	Simbad
     619	J151118.85+051544.0	1237655743483215995	227.828569	+05.262229	 0.0808	 0.0000	  9.30	 0.09	 1.09	 0.03	980	  4	S	N	  1	  1	  1	Sloan	Simbad
     620	J151054.14+051630.4	1237655743483216043	227.725608	+05.275132	 0.0816	 0.0000	  9.72	 0.05	 1.56	 0.05	 59	 24	A	N	  1	  1	  1	Sloan	Simbad
     621	J151058.13+051450.8	1237655743483216074	227.742242	+05.247452	 0.0815	 0.0001	 10.51	 0.17	 1.81	 0.04	177	 10	N	N	  1	  1	  1	Sloan	Simbad
     622	J151101.26+051509.5	1237655743483216100	227.755258	+05.252642	 0.0786	 0.0001	 10.32	 0.08	 1.39	 0.04	 22	   	N	N	  1	  1	  1	Sloan	Simbad
     623	J151104.56+051620.9	1237655743483216109	227.769033	+05.272489	 0.0826	 0.0001	  9.98	 0.10	 1.33	 0.06	335	 77	S	N	  1	  1	  1	Sloan	Simbad
     624	J151104.68+051450.8	1237655743483216121	227.769510	+05.247446	 0.0814	 0.0001	 10.19	 0.06	 1.77	 0.04	119	 10	N	N	  1	  1	  1	Sloan	Simbad
     625	J151104.31+051501.6	1237655743483216122	227.767968	+05.250450	 0.0813	 0.0001	  9.67	 0.16	 1.51	 0.06	 79	 23	N	N	  0	  1	  1	Sloan	Simbad
     626	J151106.65+051414.4	1237655743483216140	227.777710	+05.237334	 0.0754	 0.0000	 10.01	 0.04	 1.89	 0.04	118	  7	N	N	  0	  1	  1	Sloan	Simbad
     627	J151107.80+051540.0	1237655743483216148	227.782518	+05.261131	 0.0846	 0.0001	  9.60	 0.09	 1.30	 0.07	971	434	N	N	  0	  0	  1	Sloan	Simbad
     628	J151108.56+051555.6	1237655743483216149	227.785700	+05.265462	 0.0827	 0.0001	  9.12	 0.10	 1.49	 0.10	 22	211	N	N	  0	  0	  1	Sloan	Simbad
     629	J151107.54+051441.5	1237655743483216158	227.781421	+05.244875	 0.0755	 0.0001	  9.71	 0.04	 1.71	 0.05	 67	 16	N	N	  1	  1	  1	Sloan	Simbad
     630	J151109.81+051621.3	1237655743483216173	227.790894	+05.272592	 0.0832	 0.0000	 11.02	 0.11	 1.91	 0.03	164	  5	N	N	  0	  1	  1	Sloan	Simbad
     631	J151111.10+051526.7	1237655743483216184	227.796254	+05.257419	 0.0758	 0.0001	  9.58	 0.07	 1.14	 0.03	427	 56	S	N	  1	  1	  1	Sloan	Simbad
     632	J151114.04+051626.6	1237655743483216195	227.808510	+05.274072	 0.0844	 0.0001	  9.96	 0.06	 1.75	 0.05	 41	 15	N	N	  0	  1	  1	Sloan	Simbad
     633	J151117.61+051747.4	1237655743483216215	227.823394	+05.296523	 0.0816	 0.0000	 10.66	 0.12	 1.92	 0.04	153	  6	N	N	  0	  1	  1	Sloan	Simbad
     634	J151116.93+051739.5	1237655743483216216	227.820570	+05.294304	 0.0813	 0.0001	  9.91	 0.16	 1.94	 0.05	 49	 13	N	N	  0	  1	  1	Sloan	Simbad
     635	J151106.33+051747.9	1237655743483216292	227.776385	+05.296656	 0.0805	 0.0002	  9.19	 0.05	 1.68	 0.09	 22	   	N	N	  0	  1	  1	Sloan	Simbad
     636	J151105.35+051430.8	1237655743483216294	227.772319	+05.241897	 0.0792	 0.0001	  9.96	 0.09	 1.82	 0.06	 94	 13	N	N	  0	  0	  1	Sloan	Simbad
     637	J151108.26+051702.9	1237655743483216295	227.784430	+05.284164	 0.0775	 0.0001	  9.74	 0.12	 1.92	 0.08	 99	 18	N	N	  0	  1	  1	Sloan	Simbad
     638	J151059.84+051626.4	1237655743483216319	227.749342	+05.274010	 0.0769	 0.0001	  9.78	 0.15	 1.70	 0.09	 22	   	N	N	  0	  1	  1	Sloan	Simbad
     639	J151051.06+051418.9	1237655743483216338	227.712783	+05.238590	 0.0840	 0.0001	  8.93	 0.05	 1.15	 0.04	976	186	S	N	  0	  0	  1	Sloan	Simbad
     640	J151055.62+051808.1	1237655743483216347	227.731756	+05.302251	 0.0819	 0.0001	  8.82	 0.05	 1.39	 0.05	113	 37	S	N	  0	  1	  1	Sloan	Simbad
     641	J151056.24+051452.1	1237655743483216352	227.734357	+05.247812	 0.0815	 0.0001	  8.63	 0.09	 1.19	 0.06	322	109	S	N	  0	  1	  1	Sloan	Simbad
     642	J151057.13+051326.1	1237655743483216360	227.738056	+05.223920	 0.0806	 0.0000	  9.37	 0.11	 1.19	 0.03	137	 36	S	N	  0	  1	  1	Sloan	Simbad
     643	J151102.65+051448.9	1237655743483216365	227.761043	+05.246938	 0.0804	 0.0002	  9.11	 0.12	 1.59	 0.19	 58	147	N	N	  0	  1	  1	Sloan	Simbad
     644	J151113.42+051753.6	1237655743483216377	227.805919	+05.298241	 0.0771	 0.0000	  8.95	 0.09	 1.15	 0.04	844	210	S	N	  0	  1	  1	Sloan	Simbad
     645	J151101.34+051619.0	1237655743483216555	227.755621	+05.271958	 0.0812	 0.0002	  9.34	 0.14	 2.19	 0.27	 59	 69	N	N	  0	  0	  1	Sloan	Simbad
     646	J151115.84+051459.4	1237655743483216713	227.816032	+05.249844	 0.0762	 0.0002	  8.97	 0.18	 1.17	 0.07	 76	 51	N	Y	  0	  0	  1	Sloan	Simbad
     647	J151118.02+051519.9	1237655743483216733	227.825098	+05.255551	 0.0831	 0.0001	  9.14	 0.08	 1.42	 0.05	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
     648	J151124.25+051338.3	1237655743483281540	227.851067	+05.227331	 0.0767	 0.0002	 10.02	 0.07	 1.58	 0.12	115	 51	N	N	  0	  1	  1	Sloan	Simbad
     649	J151124.91+051343.5	1237655743483281541	227.853793	+05.228763	 0.0803	 0.0000	  9.95	 0.07	 1.40	 0.04	 83	 15	S	N	  0	  1	  1	Sloan	Simbad
     650	J151130.77+051628.6	1237655743483281559	227.878223	+05.274611	 0.0796	 0.0001	 10.11	 0.12	 1.83	 0.05	106	 12	N	N	  1	  1	  1	Sloan	Simbad
     651	J151130.82+051633.7	1237655743483281560	227.878455	+05.276049	 0.0806	 0.0001	  9.37	 0.04	 1.30	 0.12	368	259	N	N	  0	  1	  1	Sloan	Simbad
     652	J151125.22+051659.9	1237655743483281819	227.855109	+05.283319	 0.0798	 0.0001	  9.96	 0.07	 1.47	 0.08	 22	   	N	N	  0	  1	  1	Sloan	Simbad
     653	J150905.29+054403.2	1237655744019824860	227.272042	+05.734224	 0.0815	 0.0001	 10.66	 0.10	 2.10	 0.05	221	 10	N	N	  1	  1	  1	Sloan	Simbad
     654	J150908.25+054105.0	1237655744019825014	227.284381	+05.684725	 0.0830	 0.0001	  9.33	 0.16	 1.33	 0.06	 82	 43	N	N	  0	  1	  1	Sloan	Simbad
     655	J150906.74+054613.1	1237655744019825400	227.278099	+05.770305	 0.0771	 0.0001	  8.95	 0.15	 1.27	 0.07	200	 63	N	N	  0	  0	  1	Sloan	Simbad
     656	J150913.19+054424.2	1237655744019890317	227.304983	+05.740076	 0.0770	 0.0001	 10.15	 0.11	 1.89	 0.04	143	  7	N	N	  1	  1	  1	Sloan	Simbad
     657	J150918.55+053707.6	1237655744019890369	227.327311	+05.618796	 0.0833	 0.0001	 10.83	 0.13	 2.00	 0.04	187	  6	N	N	  1	  1	  1	Sloan	Simbad
     658	J150922.27+053546.6	1237655744019890388	227.342820	+05.596279	 0.0777	 0.0001	  9.53	 0.13	 1.68	 0.06	 37	 28	N	N	  1	  1	  1	Sloan	Simbad
     659	J150932.10+053329.8	1237655744019890545	227.383765	+05.558284	 0.0730	 0.0001	  9.86	 0.14	 1.38	 0.11	 85	 54	N	N	  1	  1	  1	Sloan	Simbad
     660	J150929.68+053529.7	1237655744019890638	227.373694	+05.591591	 0.0796	 0.0001	  9.44	 0.12	 1.35	 0.05	 51	 70	N	N	  1	  1	  1	Sloan	Simbad
     661	J150911.02+054341.0	1237655744019890672	227.295926	+05.728075	 0.0825	 0.0001	  8.71	 0.16	 1.30	 0.07	161	 44	S	N	  0	  0	  1	Sloan	Simbad
     662	J150920.37+054338.3	1237655744019890775	227.334902	+05.727310	 0.0834	 0.0001	  9.60	 0.16	 2.03	 0.12	 67	 31	N	N	  0	  1	  1	Sloan	Simbad
     663	J151238.88+053248.1	1237655744020217923	228.162011	+05.546702	 0.0790	 0.0000	 10.70	 0.08	 1.87	 0.04	151	  7	N	N	  0	  1	  1	Sloan	Simbad
     664	J151238.35+053242.7	1237655744020217924	228.159813	+05.545219	 0.0800	 0.0001	  9.50	 0.08	 1.84	 0.09	102	 21	N	N	  0	  1	  1	Sloan	Simbad
     665	J151225.92+053427.7	1237655744020218056	228.108015	+05.574366	 0.0728	 0.0000	 10.10	 0.14	 1.82	 0.06	113	  9	N	N	  0	  1	  1	Sloan	Simbad
     666	J151230.22+053445.5	1237655744020218079	228.125954	+05.579305	 0.0733	 0.0001	  9.62	 0.16	 1.58	 0.05	 33	 23	N	N	  0	  1	  1	Sloan	Simbad
     667	J151236.06+053711.8	1237655744020218098	228.150288	+05.619961	 0.0763	 0.0000	 10.15	 0.14	 1.86	 0.06	 75	  7	N	N	  0	  1	  1	Sloan	Simbad
     668	J151236.88+053814.5	1237655744020218212	228.153700	+05.637361	 0.0784	 0.0001	 10.04	 0.10	 1.68	 0.07	 22	   	N	N	  0	  1	  1	Sloan	Simbad
     669	J151233.41+053557.4	1237655744020218250	228.139244	+05.599303	 0.0743	 0.0002	  8.48	 0.05	 1.52	 0.13	218	 70	N	N	  0	  0	  1	Sloan	Simbad
     670	J151244.48+053404.5	1237655744020283536	228.185362	+05.567938	 0.0818	 0.0000	 10.45	 0.08	 1.90	 0.04	147	  7	N	N	  0	  1	  1	Sloan	Simbad
     671	J151250.33+053613.7	1237655744020283550	228.209748	+05.603822	 0.0733	 0.0000	  9.87	 0.07	 1.38	 0.03	 56	  9	S	N	  0	  1	  1	Sloan	Simbad
     672	J151250.56+053605.0	1237655744020283551	228.210701	+05.601415	 0.0759	 0.0000	  9.72	 0.09	 1.69	 0.04	 22	   	N	N	  0	  1	  1	Sloan	Simbad
     673	J151251.05+053248.5	1237655744020283557	228.212740	+05.546806	 0.0741	 0.0000	 10.21	 0.09	 1.46	 0.03	 60	 10	N	N	  0	  0	  1	Sloan	Simbad
     674	J151246.80+053750.4	1237655744020283762	228.195023	+05.630667	 0.0812	 0.0001	  8.63	 0.14	 1.11	 0.05	487	146	S	N	  0	  1	  1	Sloan	Simbad
     675	J151256.60+053636.2	1237655744020283773	228.235843	+05.610062	 0.0780	 0.0001	  9.38	 0.05	 1.73	 0.07	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     676	J150909.63+060349.7	1237655744556695839	227.290133	+06.063829	 0.0732	 0.0000	  9.14	 0.07	 1.23	     	 11	   	S	N	  1	  0	  1	Sloan	Simbad
     677	J150915.68+060147.7	1237655744556695879	227.315359	+06.029926	 0.0774	 0.0000	 10.18	 0.08	 1.78	     	 62	 14	N	N	  1	  1	  1	Sloan	Simbad
     678	J150916.45+060007.8	1237655744556761106	227.318573	+06.002189	 0.0786	 0.0000	  8.76	 0.30	 1.11	 0.06	157	 66	S	N	  0	  0	  1	Sloan	Simbad
     679	J150942.52+060150.1	1237655744556761176	227.427168	+06.030583	 0.0837	 0.0001	  9.10	 0.09	 1.47	 0.11	146	 63	N	N	  0	  1	  1	Sloan	Simbad
     680	J150938.50+060221.4	1237655744556761354	227.410434	+06.039283	 0.0784	 0.0000	  9.98	 0.09	 1.54	 0.11	979	  4	N	N	  0	  1	  1	Sloan	Simbad
     681	J150942.52+060750.9	1237655744556761374	227.427179	+06.130808	 0.0760	 0.0001	  9.74	 0.21	 1.71	 0.05	 81	 13	N	N	  1	  0	  1	Sloan	Simbad
     682	J150945.72+060514.2	1237655744556761384	227.440502	+06.087295	 0.0731	 0.0001	 10.58	 0.11	 1.38	 0.03	176	 16	S	N	  1	  1	  1	Sloan	Simbad
     683	J150953.28+060531.6	1237655744556761432	227.472009	+06.092120	 0.0761	 0.0001	 10.01	 0.10	 1.41	 0.05	120	 26	N	N	  1	  1	  1	Sloan	Simbad
     684	J150917.34+060339.2	1237655744556761507	227.322266	+06.060908	 0.0731	       	  7.83	 0.13	     	     	   	   	N	N	  1	  0	  1	Sloan	Simbad
     685	J150919.70+060105.3	1237655744556761615	227.332106	+06.018149	 0.0764	 0.0001	  9.14	 0.12	 1.57	 0.09	 34	102	N	N	  0	  1	  1	Sloan	Simbad
     686	J150933.17+055836.8	1237655744556761748	227.388238	+05.976893	 0.0769	 0.0002	  8.94	 0.13	 1.48	 0.11	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
     687	J150937.14+060044.6	1237655744556761775	227.404783	+06.012402	 0.0793	 0.0000	  8.36	 0.14	 1.21	 0.09	979	  4	S	N	  0	  0	  1	Sloan	Simbad
     688	J150947.64+060446.9	1237655744556761842	227.448539	+06.079718	 0.0765	 0.0001	  9.16	 0.14	 1.41	 0.06	 33	 40	N	N	  0	  0	  1	Sloan	Simbad
     689	J151001.30+060704.9	1237655744556826667	227.505442	+06.118052	 0.0758	 0.0001	  9.40	 0.06	 1.50	 0.04	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     690	J151002.99+060735.0	1237655744556826844	227.512481	+06.126414	 0.0782	 0.0001	  9.72	 0.06	 1.39	 0.04	 91	 31	S	N	  0	  1	  1	Sloan	Simbad
     691	J151005.40+060709.0	1237655744556826850	227.522509	+06.119185	 0.0775	 0.0001	  9.85	 0.15	 1.77	 0.04	 94	 10	N	N	  1	  1	  1	Sloan	Simbad
     692	J151012.13+060709.4	1237655744556826885	227.550564	+06.119296	 0.0767	 0.0000	 10.43	 0.07	 1.99	 0.03	155	  4	N	N	  1	  1	  1	Sloan	Simbad
     693	J151214.64+060332.6	1237655744557024132	228.060998	+06.059061	 0.0832	 0.0002	  8.99	 0.13	 1.70	 0.13	 99	 36	N	N	  0	  1	  1	Sloan	Simbad
     694	J151225.72+060304.9	1237655744557088908	228.107181	+06.051374	 0.0748	 0.0001	  9.70	 0.13	 1.61	 0.04	 61	 15	C	N	  1	  1	  1	Sloan	Simbad
     695	J151228.45+060115.3	1237655744557088924	228.118549	+06.020920	 0.0781	 0.0001	 10.12	 0.17	 1.55	 0.03	 47	 19	S	N	  1	  1	  1	Sloan	Simbad
     696	J151242.18+060045.5	1237655744557088979	228.175760	+06.012643	 0.0801	 0.0000	  8.91	 0.09	 1.15	 0.02	121	 25	S	N	  1	  0	  1	Sloan	Simbad
     697	J151244.54+060204.3	1237655744557088985	228.185594	+06.034530	 0.0779	 0.0000	 10.26	 0.04	 1.55	 0.06	111	 13	S	N	  1	  1	  1	Sloan	Simbad
     698	J151249.11+060005.1	1237655744557089013	228.204640	+06.001424	 0.0773	 0.0001	 10.10	 0.17	 2.00	 0.04	177	  5	N	N	  0	  1	  1	Sloan	Simbad
     699	J151236.98+060017.5	1237655744557089158	228.154122	+06.004881	 0.0771	 0.0001	  8.82	 0.07	 1.29	 0.06	226	 63	N	N	  0	  1	  1	Sloan	Simbad
     700	J151256.62+055516.1	1237655744557154314	228.235944	+05.921156	 0.0773	 0.0001	  9.26	 0.12	 1.39	 0.07	153	 41	N	N	  0	  1	  1	Sloan	Simbad
     701	J150939.68+060911.7	1237662262174810833	227.415347	+06.153270	 0.0765	 0.0001	  9.67	 0.19	 1.88	 0.08	 22	  0	N	N	  1	  0	  1	Sloan	Simbad
     702	J151019.11+060953.2	1237662262174875704	227.579651	+06.164787	 0.0807	 0.0001	 10.52	 0.06	 2.08	 0.07	130	 11	N	N	  1	  1	  1	Sloan	Simbad
     703	J151011.82+060940.3	1237662262174875848	227.549249	+06.161201	 0.0786	 0.0001	 10.49	 0.07	 1.99	 0.06	130	  9	N	N	  1	  1	  1	Sloan	Simbad
     704	J151005.61+060809.6	1237662262174876417	227.523375	+06.136016	 0.0750	 0.0001	  9.42	 0.06	 1.64	 0.08	104	 28	N	N	  1	  1	  1	Sloan	Simbad
     705	J151147.71+060731.8	1237662262175007169	227.948829	+06.125513	 0.0767	 0.0001	 10.62	 0.12	 1.99	 0.05	208	 10	N	N	  1	  1	  1	Sloan	Simbad
     706	J151147.34+060653.3	1237662262175007172	227.947280	+06.114814	 0.0776	 0.0001	  9.97	 0.13	 1.93	 0.04	158	  7	N	N	  1	  1	  1	Sloan	Simbad
     707	J151159.13+060546.4	1237662262175072462	227.996392	+06.096248	 0.0730	 0.0000	 10.31	 0.09	 1.42	 0.03	 94	  9	C	N	  1	  1	  1	Sloan	Simbad
     708	J151220.71+060422.0	1237662262175072558	228.086330	+06.072802	 0.0798	 0.0001	  9.93	 0.11	 1.82	 0.05	110	 11	N	N	  1	  1	  1	Sloan	Simbad
     709	J151200.25+060517.1	1237662262175073073	228.001079	+06.088093	 0.0725	 0.0002	  8.63	 0.24	 1.40	 0.10	380	213	N	N	  0	  1	  1	Sloan	Simbad
     710	J151214.99+060420.0	1237662262175073219	228.062477	+06.072230	 0.0801	 0.0002	  8.91	 0.32	 2.52	 0.37	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
     711	J151232.43+060640.2	1237662262175138338	228.135163	+06.111173	 0.0801	 0.0001	  9.72	 0.14	 1.73	 0.06	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     712	J150917.11+053221.7	1237662267536965834	227.321298	+05.539369	 0.0728	 0.0001	  9.95	 0.12	 1.39	 0.04	192	 29	S	N	  1	  1	  1	Sloan	Simbad
     713	J150918.11+053058.7	1237662267536965849	227.325466	+05.516321	 0.0793	 0.0001	 10.72	 0.10	 1.77	 0.08	131	 24	C	N	  1	  1	  1	Sloan	Simbad
     714	J150922.53+053014.3	1237662267536965872	227.343892	+05.503989	 0.0751	 0.0001	  9.94	 0.10	 1.62	 0.09	104	 28	N	N	  1	  1	  1	Sloan	Simbad
     715	J150927.25+052322.2	1237662267536965911	227.363541	+05.389500	 0.0742	 0.0001	 10.57	 0.17	 2.14	 0.05	140	  7	N	N	  1	  0	  1	Sloan	Simbad
     716	J150935.65+053145.8	1237662267536965940	227.398563	+05.529403	 0.0836	 0.0001	 10.87	 0.15	 1.92	 0.04	135	  5	A	N	  1	  1	  1	Sloan	Simbad
     717	J150937.80+052330.2	1237662267536965975	227.407525	+05.391741	 0.0779	 0.0001	 10.62	 0.17	 1.96	 0.07	106	 16	N	N	  1	  1	  1	Sloan	Simbad
     718	J150925.88+053156.6	1237662267536966027	227.357864	+05.532408	 0.0739	 0.0002	  9.47	 0.09	 1.65	 0.11	161	 39	N	N	  1	  1	  1	Sloan	Simbad
     719	J150912.33+053214.4	1237662267536966318	227.301407	+05.537336	 0.0835	 0.0000	  8.62	 0.15	 1.21	 0.08	126	 79	S	N	  0	  1	  1	Sloan	Simbad
     720	J151010.80+052019.8	1237662267537031296	227.545029	+05.338855	 0.0838	 0.0001	 10.76	 0.05	 1.95	 0.04	207	  8	N	N	  1	  1	  1	Sloan	Simbad
     721	J150948.72+052306.9	1237662267537031368	227.453019	+05.385250	 0.0750	 0.0001	 10.14	 0.08	 1.52	 0.06	136	 23	N	N	  1	  1	  1	Sloan	Simbad
     722	J150948.50+052221.4	1237662267537031374	227.452086	+05.372625	 0.0755	 0.0001	 10.24	 0.13	 1.97	 0.05	133	  9	N	N	  1	  1	  1	Sloan	Simbad
     723	J150952.63+052452.9	1237662267537031382	227.469293	+05.414709	 0.0749	 0.0000	  9.84	 0.13	 1.27	 0.02	 99	 16	S	N	  1	  1	  1	Sloan	Simbad
     724	J151007.87+052000.3	1237662267537031475	227.532808	+05.333417	 0.0799	 0.0001	  9.64	 0.08	 1.49	 0.06	 72	 27	N	N	  0	  1	  1	Sloan	Simbad
     725	J151009.16+052112.9	1237662267537031695	227.538188	+05.353602	 0.0841	 0.0002	  9.67	 0.14	 1.79	 0.14	 75	 43	N	N	  1	  1	  1	Sloan	Simbad
     726	J151011.15+052147.4	1237662267537031697	227.546476	+05.363185	 0.0842	 0.0001	  9.67	 0.14	 1.47	 0.06	 22	253	S	N	  1	  1	  1	Sloan	Simbad
     727	J150947.90+052816.9	1237662267537031849	227.449585	+05.471376	 0.0798	 0.0001	  9.45	 0.19	 1.70	 0.10	122	 27	N	N	  0	  1	  1	Sloan	Simbad
     728	J150947.64+052647.2	1237662267537031853	227.448506	+05.446457	 0.0748	 0.0002	  7.92	 0.22	 1.37	 0.10	535	203	S	N	  0	  0	  1	Sloan	Simbad
     729	J150948.83+052046.9	1237662267537031895	227.453466	+05.346364	 0.0786	 0.0000	  8.09	 0.15	 1.17	 0.07	693	287	S	N	  0	  1	  1	Sloan	Simbad
     730	J150959.01+052054.8	1237662267537032027	227.495887	+05.348572	 0.0761	 0.0002	  8.11	 0.11	 1.26	 0.20	398	630	N	N	  0	  0	  1	Sloan	Simbad
     731	J151003.96+052105.7	1237662267537032126	227.516516	+05.351604	 0.0846	 0.0001	  8.10	 0.18	 1.19	 0.16	 51	232	N	N	  0	  1	  1	Sloan	Simbad
     732	J151051.13+052040.1	1237662267537097044	227.713075	+05.344483	 0.0797	 0.0000	  8.71	 0.09	 1.07	 0.03	351	 59	S	N	  1	  1	  1	Sloan	Simbad
     733	J151055.73+052012.5	1237662267537162268	227.732222	+05.336825	 0.0733	 0.0001	 10.05	 0.04	 1.91	 0.06	160	 15	N	N	  1	  1	  1	Sloan	Simbad
     734	J151055.57+052037.2	1237662267537162276	227.731556	+05.343693	 0.0738	 0.0001	  8.15	 0.03	 1.65	 0.12	121	 46	N	N	  0	  1	  1	Sloan	Simbad
     735	J151055.59+052039.8	1237662267537162277	227.731644	+05.344412	 0.0821	 0.0003	  8.67	 0.26	 1.49	 0.15	165	 61	N	N	  0	  1	  1	Sloan	Simbad
     736	J151058.60+051905.0	1237662267537162308	227.744193	+05.318078	 0.0805	 0.0001	 10.67	 0.08	 1.67	 0.04	125	 10	C	N	  1	  1	  1	Sloan	Simbad
     737	J151059.09+051907.7	1237662267537162309	227.746224	+05.318831	 0.0806	 0.0002	 10.11	 0.04	 2.06	 0.19	 58	 40	N	N	  0	  0	  1	Sloan	Simbad
     738	J151128.01+052159.7	1237662267537162418	227.866740	+05.366586	 0.0785	 0.0003	  7.69	 0.32	 1.86	 0.13	107	 47	N	N	  0	  0	  1	Sloan	Simbad
