#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:38:32 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:38:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/196/11/table3&-out=**&-out.max=unlimited&-c=227.7337%20%2B5.7444&-c.rm=110	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	-c=227.733700+05.744400,rm=110.	
#Constraint -c.rm=110

#RESOURCE=yCat_21960011
#Name: J/ApJS/196/11
#Title: Bulge+disk decompositions of SDSS galaxies (Simard+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/apjs/196/11	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/196/11	    IVOID of underlying data collection
#INFO	creator=Simard L.	    First author or institution
#INFO	cites=bibcode:2011ApJS..196...11S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/196/11	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21960011	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-04-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_196_11_table3:
#Name: J/ApJS/196/11/table3
#Title: SDSS structural parameters from pure Sersic decompositions
#Column	_r	(F8.4)	Distance from center (227.73370+05.74440)[FK5/J2000]	[ucd=pos.angDistance]
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	objID	(I18)	SDSS object identifier	[ucd=meta.id]
#Column	z	(F6.4)	? SDSS redshift (spectroscopic if available or photometric ("-1" in "Sp")	[ucd=src.redshift]
#Column	Sp	(I2)	[-2/6] SDSS SpecClass value (G1)	[ucd=meta.code.class]
#Column	Scale	(F7.3)	? Physical scale at redshift z	[ucd=instr.scale]
#Column	Vmax	(F10.3)	? Galaxy volume correction (Eq. 7)	[ucd=arith.factor]
#Column	gg2d	(F6.2)	? GIM2D pure Sersic model g-band magnitude	[ucd=phot.mag;meta.modelled]
#Column	e_gg2d	(F6.2)	? Uncertainty in gg2d	[ucd=phot.mag;meta.modelled]
#Column	rg2d	(F6.2)	? GIM2D pure Sersic model r-band magnitude	[ucd=phot.mag;meta.modelled]
#Column	e_rg2d	(F6.2)	? Uncertainty in rg2d	[ucd=phot.mag;meta.modelled]
#Column	gg2df	(F6.2)	? GIM2D pure Sersic model g-band fiber magnitude	[ucd=phot.mag;meta.modelled]
#Column	rg2df	(F6.2)	? GIM2D pure Sersic model r-band fiber magnitude	[ucd=phot.mag;meta.modelled]
#Column	dCol	(F6.2)	[-4.95,+5.73]? Delta fiber color (G2)	[ucd=phot.mag]
#Column	Rhlg	(F6.2)	? g-band galaxy semi-major axis, half-light radius	[ucd=phys.size.smajAxis;src.orbital]
#Column	Rhlr	(F6.2)	? r-band galaxy semi-major axis, half-light radius	[ucd=phys.size.smajAxis;src.orbital]
#Column	Rchl_g	(F7.2)	[-336,284] g-band galaxy circular half-light radius	[ucd=phys.size.radius]
#Column	Rchl_r	(F7.2)	[-336,284] r-band galaxy circular half-light radius	[ucd=phys.size.radius]
#Column	e	(F6.2)	? Galaxy ellipticiy (G3)	[ucd=src.ellipticity]
#Column	e_e	(F6.2)	? Uncertainty in e	[ucd=stat.error]
#Column	phi	(F7.2)	[-360,360] Galaxy position angle (G4)	[ucd=pos.posAng]
#Column	e_phi	(F6.2)	? Uncertainty in phi	[ucd=stat.error]
#Column	(dx)g	(F6.2)	[-42,32]? g-band pure Sersic model center X offset (G5)	[ucd=stat.fit.param]
#Column	e_(dx)g	(F6.2)	? Uncertainty in (dx)g	[ucd=stat.error]
#Column	(dy)g	(F6.2)	[-38,30]? g-band pure Sersic model center Y offset (G5)	[ucd=stat.fit.param]
#Column	e_(dy)g	(F6.2)	? Uncertainty in (dy)g	[ucd=stat.error]
#Column	(dx)r	(F6.2)	[-31,30]? r-band pure Sersic model center X offset (G5)	[ucd=stat.fit.param]
#Column	e_(dx)r	(F6.2)	? Uncertainty in (dx)r	[ucd=stat.error]
#Column	(dy)r	(F6.2)	[-38,30]? r-band pure Sersic model center Y offset (G5)	[ucd=stat.fit.param]
#Column	e_(dy)r	(F6.2)	? Uncertainty in (dy)r	[ucd=stat.error]
#Column	S2g	(F6.2)	[-89,98]? g-band image smoothness parameter (G6)	[ucd=stat.fit.param]
#Column	S2r	(F6.2)	[-75,99]? r-band image smoothness parameter (G6)	[ucd=stat.fit.param]
#Column	ggMag	(F6.2)	[-37,7]? Absolute, rest-frame g-band GIM2D galaxy magnitude (Eq. 3a)	[ucd=phys.magAbs]
#Column	e_ggMag	(F6.2)	? Uncertainty in ggMag	[ucd=stat.error;phot.mag]
#Column	rgMag	(F6.2)	[-36,6]? Absolute, rest-frame r-band GIM2D galaxy magnitude (Eq. 3b)	[ucd=phys.magAbs]
#Column	e_rgMag	(F6.2)	? Uncertainty in rgMag	[ucd=stat.error;phot.mag]
#Column	ng	(F6.2)	[0,8]? Galaxy Sersic index	[ucd=stat.fit.param]
#Column	e_ng	(F6.2)	? Uncertainty in ng	[ucd=stat.error]
#Column	All	(A3)	Display all results from the 3 models	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS data for this object	[ucd=meta.ref.url]
#Column	DR7	(A3)	Details from the SDSS-DR7 catalog (II/294)	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from SDSS-DR7 (Cat. II/294) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SDSS-DR7 (Cat. II/294) (declination part)	[ucd=pos.eq.dec;meta.main]
_r	recno	objID	z	Sp	Scale	Vmax	gg2d	e_gg2d	rg2d	e_rg2d	gg2df	rg2df	dCol	Rhlg	Rhlr	Rchl_g	Rchl_r	e	e_e	phi	e_phi	(dx)g	e_(dx)g	(dy)g	e_(dy)g	(dx)r	e_(dx)r	(dy)r	e_(dy)r	S2g	S2r	ggMag	e_ggMag	rgMag	e_rgMag	ng	e_ng	All	Sloan	DR7	_RA	_DE
 17.8449	  229871	587730023331987760	0.0778	 2	  1.472	    43.161	 18.33	  0.03	 17.43	  0.02	 19.43	 18.55	  0.00	  3.72	  3.72	   2.45	   2.45	  0.69	  0.01	  49.42	  0.72	  0.30	  0.02	  0.27	  0.03	  0.44	  0.02	  0.34	  0.02	  0.05	  0.03	-19.75	  0.03	-20.49	  0.02	  2.71	  0.13	All	Sloan	DR7	227.76278	+06.04040
 12.8580	  229872	587730023331987769	0.1164	-1	  2.106	    88.964	 18.64	  0.06	 17.71	  0.05	 19.46	 18.59	      	  2.68	  2.68	   2.24	   2.24	  0.38	  0.03	 170.44	  2.66	  0.38	  0.02	  0.26	  0.03	  0.27	  0.01	  0.30	  0.02	  0.04	  0.02	-20.47	  0.06	-21.19	  0.05	  4.33	  0.60	All	Sloan	DR7	227.75953	+05.95715
 22.5250	  229873	587730023331987779	0.2074	 2	  3.394	   652.842	 18.39	  0.11	 17.09	  0.09	 20.06	 18.82	 -0.04	 18.73	 18.73	  17.61	  17.61	  0.15	  0.04	  78.24	  8.62	  0.49	  0.05	  0.52	  0.04	  0.52	  0.03	  0.56	  0.03	  0.02	  0.03	-22.53	  0.11	-23.31	  0.09	  7.82	  0.50	All	Sloan	DR7	227.77598	+06.11745
 23.2069	  229874	587730023332053200	0.0773	 2	  1.463	    53.389	 18.11	  0.02	 17.18	  0.02	 19.11	 18.23	 -0.02	  2.15	  2.15	   2.13	   2.13	  0.06	  0.03	 158.18	  9.97	  0.54	  0.01	  0.34	  0.02	  0.55	  0.01	  0.39	  0.01	  0.04	  0.03	-19.96	  0.02	-20.74	  0.02	  4.42	  0.22	All	Sloan	DR7	227.81938	+06.12168
 23.1208	  229875	587730023332053215	0.0923	-1	  1.718	   114.485	 17.95	  0.03	 17.03	  0.03	 19.18	 18.31	      	  4.03	  4.03	   3.31	   3.31	  0.36	  0.01	  15.85	  1.65	  0.60	  0.02	  0.43	  0.02	  0.22	  0.02	  0.47	  0.02	  0.06	  0.05	-20.58	  0.03	-21.30	  0.03	  2.37	  0.13	All	Sloan	DR7	227.83187	+06.11717
 20.2021	  229876	587730023332053221	0.0777	 2	  1.471	   658.647	 15.97	  0.00	 15.03	  0.00	 17.70	 16.79	 -0.01	  7.22	  7.22	   6.59	   6.59	  0.18	  0.01	   0.84	  0.39	  0.31	  0.01	  0.33	  0.00	  0.40	  0.01	  0.39	  0.01	  0.04	  0.02	-22.13	  0.00	-22.90	  0.00	  4.91	  0.04	All	Sloan	DR7	227.83489	+06.06571
 14.2358	  229877	587730023332053236	0.0755	 2	  1.433	    62.318	 17.94	  0.02	 17.00	  0.02	 18.83	 17.97	 -0.04	  2.23	  2.23	   1.80	   1.80	  0.43	  0.02	 107.04	  1.80	  0.32	  0.02	  0.37	  0.02	  0.22	  0.01	  0.42	  0.01	  0.05	  0.03	-20.07	  0.02	-20.86	  0.02	  4.50	  0.18	All	Sloan	DR7	227.82795	+05.96235
 12.9525	  229878	587730023332053260	0.1097	-1	  2.000	    62.362	 18.73	  0.05	 17.80	  0.05	 20.03	 19.17	      	  4.94	  4.94	   4.63	   4.63	  0.14	  0.04	  88.48	 12.44	  0.36	  0.03	  0.21	  0.04	  0.30	  0.03	  0.27	  0.03	  0.03	  0.02	-20.26	  0.05	-20.95	  0.05	  3.55	  0.48	All	Sloan	DR7	227.83152	+05.93710
 18.5780	  229879	587730023332053262	0.0784	 2	  1.482	    47.456	 18.28	  0.03	 17.41	  0.02	 18.99	 18.15	 -0.01	  1.57	  1.57	   1.20	   1.20	  0.52	  0.02	 157.57	  1.49	  0.25	  0.02	  0.55	  0.02	  0.38	  0.02	  0.62	  0.02	  0.04	  0.02	-19.82	  0.03	-20.53	  0.02	  3.59	  0.28	All	Sloan	DR7	227.84075	+06.03515
 20.9523	  229880	587730023332053274	0.0767	 2	  1.452	    66.067	 17.73	  0.03	 16.75	  0.02	 19.17	 18.26	 -0.01	  4.72	  4.72	   3.69	   3.69	  0.44	  0.01	  14.78	  1.31	  0.50	  0.02	  0.54	  0.02	  0.61	  0.02	  0.19	  0.02	  0.13	  0.17	-20.32	  0.03	-21.15	  0.02	  2.73	  0.13	All	Sloan	DR7	227.84949	+06.07407
 16.3542	  229881	587730023332053278	0.0530	 2	  1.033	    73.954	 16.91	  0.01	 16.05	  0.01	 17.94	 17.15	 -0.03	  2.40	  2.40	   1.59	   1.59	  0.71	  0.01	  98.90	  0.29	  0.47	  0.01	  0.51	  0.00	  0.28	  0.01	  0.55	  0.01	  0.05	  0.04	-20.23	  0.01	-20.97	  0.01	  4.21	  0.06	All	Sloan	DR7	227.84413	+05.99385
 22.6166	  229882	587730023332053309	0.0763	 2	  1.447	    84.855	 17.74	  0.02	 16.84	  0.02	 18.84	 17.99	 -0.02	  2.79	  2.79	   2.49	   2.49	  0.24	  0.02	 133.95	  3.29	  0.34	  0.02	  0.36	  0.02	  0.37	  0.01	  0.38	  0.01	  0.03	  0.02	-20.30	  0.02	-21.03	  0.02	  3.03	  0.11	All	Sloan	DR7	227.88535	+06.08985
 23.0483	  229883	587730023332118638	0.0435	 2	  0.857	    25.831	 16.95	  0.01	 16.64	  0.01	 17.81	 17.57	 -0.05	  1.13	  1.13	   0.04	   0.84	  0.01	  0.01	 206.92	  4.26	  0.29	  0.01	  0.31	  0.01	  0.14	  0.01	  0.37	  0.01	  0.09	  0.09	-19.65	  0.01	-19.92	  0.01	  0.78	  0.02	All	Sloan	DR7	228.05755	+05.95362
 23.1844	  229884	587730023332118654	0.0682	-1	  1.304	   447.558	 15.94	  0.00	 15.01	  0.00	 17.56	 16.71	      	  6.22	  6.22	   5.65	   5.65	  0.20	  0.01	 145.11	  0.44	  0.49	  0.00	  0.33	  0.00	  0.46	  0.01	  0.34	  0.01	  0.04	  0.04	-21.85	  0.00	-22.60	  0.00	  5.88	  0.07	All	Sloan	DR7	227.92929	+06.07826
 22.6661	  229885	587730023332118655	0.0533	 2	  1.037	   131.246	 16.42	  0.00	 15.47	  0.01	 18.11	 17.23	 -0.08	  6.28	  6.28	   4.45	   4.45	  0.58	  0.00	  51.63	  0.35	  0.28	  0.00	  0.38	  0.00	  0.31	  0.01	  0.40	  0.01	  0.20	  0.16	-20.75	  0.00	-21.57	  0.01	  4.70	  0.06	All	Sloan	DR7	227.92897	+06.06841
 24.9975	  229886	587730023332118673	0.1410	 2	  2.482	   326.810	 18.05	  0.03	 17.04	  0.03	 19.37	 18.42	 -0.09	  7.35	  7.35	   5.82	   5.82	  0.42	  0.02	  78.92	  1.60	  0.51	  0.02	  0.55	  0.02	  0.42	  0.02	  0.49	  0.01	  0.10	  0.03	-21.58	  0.03	-22.33	  0.03	  3.34	  0.18	All	Sloan	DR7	227.93568	+06.10938
 16.1852	  229887	587730023332118679	0.0796	 2	  1.503	    55.197	 17.88	  0.04	 17.01	  0.04	 19.58	 18.75	 -0.04	  9.57	  9.57	   6.65	   6.65	  0.61	  0.02	 138.38	  1.13	  0.56	  0.02	  0.50	  0.03	  0.40	  0.02	  0.51	  0.02	  0.03	  0.02	-20.25	  0.04	-20.97	  0.04	  5.03	  0.26	All	Sloan	DR7	227.92300	+05.93754
 17.3033	  229888	587730023332118684	0.2319	-1	  3.697	   691.670	 18.90	  0.07	 17.45	  0.07	 20.23	 18.84	      	 10.06	 10.06	  10.14	  10.14	  0.02	  0.04	  11.23	 17.77	  0.24	  0.04	  0.54	  0.04	  0.46	  0.02	  0.59	  0.02	  0.00	  0.02	-22.48	  0.07	-23.26	  0.07	  6.53	  0.71	All	Sloan	DR7	227.93068	+05.95599
 24.2931	  229889	587730023332118685	0.0609	-1	  1.176	    16.864	 18.33	  0.04	 17.52	  0.05	 19.90	 19.16	      	  3.99	  3.99	   3.46	   3.46	  0.27	  0.03	  16.57	  4.49	  0.50	  0.05	  0.57	  0.04	  0.48	  0.05	  0.52	  0.04	  0.01	  0.02	-19.13	  0.04	-19.82	  0.05	  2.58	  0.20	All	Sloan	DR7	227.94414	+06.09098
 24.0956	  229890	587730023332118687	0.0516	 2	  1.006	    14.879	 18.25	  0.03	 17.37	  0.02	 19.82	 19.00	 -0.06	  3.80	  3.80	   2.66	   2.66	  0.59	  0.01	  29.20	  1.01	  0.49	  0.04	  0.72	  0.05	  0.46	  0.04	  0.45	  0.03	  0.04	  0.05	-18.80	  0.03	-19.61	  0.02	  1.51	  0.08	All	Sloan	DR7	227.94504	+06.08658
 26.2241	  229891	587730023332118688	0.0766	 2	  1.451	   105.903	 17.67	  0.02	 16.68	  0.02	 18.52	 17.63	 -0.06	  2.52	  2.52	   1.70	   1.70	  0.68	  0.01	 168.96	  0.44	  0.32	  0.01	  0.61	  0.01	  0.23	  0.01	  0.58	  0.01	  0.07	  0.05	-20.39	  0.02	-21.21	  0.02	  3.11	  0.12	All	Sloan	DR7	227.94882	+06.12551
 18.0004	  229892	587730023332118695	0.0782	 2	  1.480	   165.368	 17.23	  0.02	 16.25	  0.02	 18.76	 17.82	 -0.04	  6.95	  6.95	   4.58	   4.58	  0.69	  0.01	 167.96	  0.39	  0.24	  0.02	  0.27	  0.02	  0.44	  0.01	  0.25	  0.02	  0.07	  0.06	-20.89	  0.02	-21.70	  0.02	  3.47	  0.10	All	Sloan	DR7	227.94298	+05.96042
 16.9556	  229893	587730023332118710	0.0528	 2	  1.029	    85.700	 16.70	  0.01	 16.05	  0.01	 19.35	 18.71	 -0.08	  5.27	  5.27	   4.42	   4.42	  0.32	  0.01	 171.78	  0.66	 -0.19	  0.03	  1.27	  0.01	 -0.20	  0.03	  1.07	  0.04	  0.16	  0.13	-20.38	  0.01	-20.97	  0.01	  0.73	  0.01	All	Sloan	DR7	227.94688	+05.93117
 22.1026	  229894	587730023332118723	0.0817	 2	  1.539	   307.829	 16.80	  0.01	 15.86	  0.01	 18.24	 17.37	 -0.04	  5.56	  5.56	   4.38	   4.38	  0.43	  0.01	 125.15	  0.43	  0.59	  0.01	  0.34	  0.01	  0.32	  0.01	  0.33	  0.01	  0.07	  0.05	-21.43	  0.01	-22.17	  0.01	  3.79	  0.05	All	Sloan	DR7	227.96778	+06.02985
 24.9540	  229895	587730023332118738	0.1866	-1	  3.124	   325.651	 18.76	  0.05	 17.67	  0.05	 20.07	 19.08	      	  8.28	  8.28	   7.69	   7.69	  0.15	  0.04	 156.80	  9.08	  0.31	  0.04	  0.55	  0.04	  0.30	  0.03	  0.54	  0.03	  0.04	  0.04	-21.73	  0.05	-22.39	  0.05	  4.05	  0.49	All	Sloan	DR7	227.98995	+06.07304
 26.2950	  229896	587730023332118746	0.0730	 2	  1.388	   169.993	 16.84	  0.01	 16.18	  0.01	 19.23	 18.62	 -0.15	  6.92	  6.92	   6.31	   6.31	  0.18	  0.01	 202.55	  2.14	  0.08	  0.03	  0.59	  0.03	  0.20	  0.03	  0.60	  0.02	  0.20	  0.13	-21.00	  0.01	-21.58	  0.01	  1.30	  0.03	All	Sloan	DR7	227.99638	+06.09625
 24.8251	  229897	587730023332118758	0.0763	 2	  1.446	   214.655	 16.72	  0.01	 15.76	  0.01	 18.50	 17.63	 -0.03	  9.93	  9.93	   8.93	   8.93	  0.22	  0.01	 214.08	  1.66	  0.44	  0.01	  0.48	  0.01	  0.45	  0.01	  0.45	  0.01	  0.06	  0.04	-21.33	  0.01	-22.11	  0.01	  7.11	  0.10	All	Sloan	DR7	228.00191	+06.06065
 21.1657	  229898	587730023332118787	0.1746	 2	  2.962	   466.035	 18.50	  0.04	 17.26	  0.04	 19.84	 18.65	 -0.02	 11.59	 11.59	   7.40	   7.40	  0.73	  0.01	 174.92	  0.84	  0.60	  0.02	  0.49	  0.05	  0.34	  0.02	  0.56	  0.02	 -0.01	  0.03	-21.88	  0.04	-22.72	  0.04	  3.99	  0.37	All	Sloan	DR7	228.00621	+05.97012
 24.8786	  229899	587730023332118789	0.0785	 2	  1.484	   118.733	 17.52	  0.03	 16.59	  0.03	 18.83	 18.00	 -0.05	  3.77	  3.77	   3.56	   3.56	  0.12	  0.02	 144.79	  5.62	  0.56	  0.02	  0.41	  0.02	  0.20	  0.01	  0.36	  0.01	  0.05	  0.04	-20.59	  0.03	-21.35	  0.03	  3.44	  0.17	All	Sloan	DR7	228.01876	+06.04694
 22.3869	  229900	587730023332118801	0.1749	-1	  2.965	   248.915	 19.21	  0.05	 17.98	  0.04	 20.16	 19.00	      	  5.04	  5.04	   4.13	   4.13	  0.38	  0.03	  94.73	  3.22	  0.50	  0.04	  0.58	  0.04	  0.33	  0.04	  0.60	  0.02	  0.01	  0.03	-21.18	  0.05	-21.99	  0.04	  2.34	  0.30	All	Sloan	DR7	228.03451	+05.96727
 24.8942	  229901	587730023332118806	0.1758	-1	  2.978	   267.697	 18.87	  0.06	 17.75	  0.06	 20.18	 19.13	      	  7.19	  7.19	   6.87	   6.87	  0.10	  0.05	  80.56	 13.08	  0.24	  0.04	  0.41	  0.04	  0.28	  0.03	  0.40	  0.03	  0.03	  0.03	-21.47	  0.06	-22.17	  0.06	  2.96	  0.28	All	Sloan	DR7	228.04564	+06.01983
 24.9048	  229902	587730023332118812	0.1752	 2	  2.969	   388.080	 18.46	  0.06	 17.32	  0.04	 19.88	 18.80	 -0.06	  9.08	  9.08	   8.21	   8.21	  0.20	  0.03	 143.32	  5.79	  0.27	  0.03	  0.27	  0.04	  0.31	  0.02	  0.29	  0.02	  0.08	  0.04	-21.83	  0.06	-22.59	  0.04	  4.04	  0.36	All	Sloan	DR7	228.04875	+06.01657
 21.7129	  229903	587730023332118823	0.0831	 2	  1.563	    34.605	 18.46	  0.05	 17.66	  0.05	 19.71	 18.97	 -0.04	  3.61	  3.61	   3.29	   3.29	  0.19	  0.04	  83.19	  5.72	  0.21	  0.03	  0.60	  0.03	  0.46	  0.03	  0.63	  0.02	  0.06	  0.03	-19.73	  0.05	-20.40	  0.05	  3.36	  0.24	All	Sloan	DR7	228.04574	+05.93041
 26.1076	  229904	587730023332118830	0.1250	 2	  2.241	   356.315	 17.61	  0.03	 16.76	  0.02	 19.82	 19.03	 -0.14	 10.68	 10.68	   9.25	   9.25	  0.27	  0.02	  45.84	  2.38	  0.33	  0.04	  0.56	  0.04	  0.38	  0.03	  0.57	  0.03	  0.12	  0.09	-21.65	  0.03	-22.28	  0.02	  1.36	  0.04	All	Sloan	DR7	228.06430	+06.02934
 22.8874	  229905	587730023332118876	0.1749	-1	  2.965	   294.551	 18.64	  0.05	 17.76	  0.03	 20.44	 19.61	      	 13.73	 13.73	   8.63	   8.63	  0.73	  0.01	 117.54	  0.62	  0.50	  0.09	  0.68	  0.06	  0.77	  0.03	  0.52	  0.03	  0.08	  0.05	-21.47	  0.05	-22.11	  0.03	  0.81	  0.07	All	Sloan	DR7	228.02509	+05.99237
 30.7321	  229906	587730023332184128	0.0357	 2	  0.710	     0.000	 17.64	  0.04	 17.27	  0.06	 20.99	 20.64	 -0.14	  6.24	  6.24	   5.78	   5.78	  0.15	  0.06	  88.99	  8.11	  0.37	  0.16	  0.79	  0.17	  0.31	  0.11	  0.75	  0.12	  0.02	  0.05	-18.48	  0.04	-18.81	  0.06	  1.31	  0.14	All	Sloan	DR7	228.14692	+06.05001
 32.5969	  229907	587730023332184187	0.0190	-1	  0.385	    23.131	 15.21	  0.00	 14.82	  0.00	 15.54	 15.19	      	  0.20	  0.20	   0.13	   0.13	  0.85	  0.00	 159.18	  0.01	  0.22	  0.00	  0.41	  0.00	  0.34	  0.00	  0.45	  0.00	  0.19	  0.17	-19.52	  0.00	-19.87	  0.00	  1.20	  0.04	All	Sloan	DR7	228.21391	+06.00319
 24.7217	  229908	587730023332184232	0.1271	-1	  2.273	   112.027	 18.74	  0.03	 17.94	  0.03	 20.07	 19.32	      	  7.01	  7.01	   4.52	   4.52	  0.69	  0.01	 115.12	  0.77	  0.73	  0.05	  0.29	  0.03	  0.55	  0.05	  0.32	  0.03	  0.06	  0.04	-20.51	  0.03	-21.11	  0.03	  0.71	  0.08	All	Sloan	DR7	228.10068	+05.93541
 28.3345	  229909	587730023332184255	0.0783	 2	  1.480	    33.704	 18.47	  0.03	 17.68	  0.03	 19.53	 18.81	 -0.03	  2.56	  2.56	   2.36	   2.36	  0.17	  0.03	 141.23	  5.32	  0.46	  0.03	  0.25	  0.03	  0.57	  0.02	  0.29	  0.02	  0.04	  0.02	-19.60	  0.03	-20.25	  0.03	  1.68	  0.14	All	Sloan	DR7	228.11855	+06.02091
 31.5059	  229910	587730023332184269	0.1423	 2	  2.501	   232.756	 18.52	  0.04	 17.41	  0.03	 19.66	 18.61	 -0.02	  5.63	  5.63	   4.58	   4.58	  0.38	  0.02	 101.08	  3.10	  0.37	  0.02	  0.55	  0.03	  0.35	  0.02	  0.58	  0.02	  0.03	  0.03	-21.22	  0.04	-22.00	  0.03	  3.49	  0.24	All	Sloan	DR7	228.14254	+06.07659
 28.7362	  229911	587730023332184275	0.1428	 2	  2.508	   242.520	 18.14	  0.03	 17.49	  0.03	 19.53	 18.91	 -0.04	  6.23	  6.23	   5.66	   5.66	  0.19	  0.03	 -22.95	  5.32	  0.65	  0.03	  0.41	  0.03	  0.39	  0.03	  0.45	  0.03	  0.07	  0.05	-21.32	  0.03	-21.80	  0.03	  1.87	  0.11	All	Sloan	DR7	228.14875	+05.98713
 34.4626	  229912	587730023332184287	0.1582	-1	  2.732	   185.542	 19.02	  0.03	 17.94	  0.03	 19.77	 18.71	      	  3.71	  3.71	   2.49	   2.49	  0.70	  0.03	 108.48	  1.61	  0.57	  0.03	  0.31	  0.03	  0.38	  0.03	  0.36	  0.02	  0.01	  0.02	-21.02	  0.03	-21.73	  0.03	  3.36	  0.34	All	Sloan	DR7	228.17433	+06.11565
 32.1268	  229913	587730023332184298	0.1969	-1	  3.260	   328.836	 19.19	  0.08	 17.93	  0.08	 20.20	 18.97	      	  5.21	  5.21	   4.87	   4.87	  0.16	  0.05	 137.56	  9.17	  0.35	  0.04	  0.30	  0.05	  0.43	  0.02	  0.38	  0.03	  0.04	  0.01	-21.57	  0.08	-22.34	  0.08	  3.43	  0.68	All	Sloan	DR7	228.18299	+06.03931
 32.1005	  229914	587730023332184301	0.0780	 2	  1.476	    46.609	 18.20	  0.04	 17.27	  0.03	 19.79	 18.90	 -0.06	  7.57	  7.57	   4.46	   4.46	  0.83	  0.01	 143.34	  0.41	  0.27	  0.03	  0.48	  0.02	  0.33	  0.03	  0.57	  0.04	  0.07	  0.06	-19.88	  0.04	-20.69	  0.03	  2.19	  0.10	All	Sloan	DR7	228.18560	+06.03452
 32.0607	  229915	587730023332184333	0.0920	-1	  1.713	    53.265	 18.54	  0.03	 17.65	  0.03	 19.15	 18.33	      	  1.19	  1.19	   1.08	   1.08	  0.40	  0.03	  86.27	  3.00	  0.45	  0.02	  0.28	  0.02	  0.58	  0.01	  0.34	  0.01	  0.04	  0.02	-19.97	  0.03	-20.66	  0.03	  4.79	  0.37	All	Sloan	DR7	228.20464	+06.00142
 32.6299	  229916	587730023332184336	0.1764	 2	  2.987	   615.116	 18.46	  0.04	 17.16	  0.03	 19.63	 18.39	 -0.04	  7.40	  7.40	   5.43	   5.43	  0.53	  0.02	 134.74	  1.34	  0.46	  0.04	  0.68	  0.03	  0.16	  0.02	  0.76	  0.02	  0.13	  0.12	-22.00	  0.04	-22.83	  0.03	  3.04	  0.22	All	Sloan	DR7	228.20728	+06.01612
 30.7249	  229917	587730023332184347	0.0432	 2	  0.851	    18.127	 16.61	  0.03	 16.12	  0.03	 19.45	 18.99	  0.01	 14.13	 14.13	  12.92	  12.92	  0.17	  0.03	  54.26	  4.12	  0.19	  0.03	  0.25	  0.03	  0.44	  0.03	  0.26	  0.03	  0.11	  0.08	-20.00	  0.03	-20.42	  0.03	  5.03	  0.14	All	Sloan	DR7	228.21213	+05.93335
 36.8845	  229918	587730023332249831	0.1761	 2	  2.982	   342.208	 18.59	  0.09	 17.38	  0.08	 19.86	 18.69	  0.00	  7.23	  7.23	   6.77	   6.77	  0.15	  0.05	 234.97	  8.18	  0.33	  0.04	  0.22	  0.04	  0.33	  0.03	  0.64	  0.03	  0.03	  0.02	-21.85	  0.09	-22.62	  0.08	  4.84	  0.64	All	Sloan	DR7	228.27007	+06.04976
 36.8920	  229919	587730023332249881	0.0772	 2	  1.462	   138.833	 17.10	  0.02	 16.20	  0.02	 18.59	 17.73	 -0.02	  6.42	  6.42	   5.67	   5.67	  0.28	  0.02	 164.98	  1.94	  0.52	  0.01	  0.45	  0.01	  0.53	  0.01	  0.47	  0.01	  0.04	  0.04	-20.94	  0.02	-21.69	  0.02	  8.00	  0.06	All	Sloan	DR7	228.30820	+05.97121
 38.8128	  229920	587730023332249895	0.1698	-1	  2.895	   403.557	 18.39	  0.04	 17.18	  0.04	 19.69	 18.50	      	  8.77	  8.77	   7.77	   7.77	  0.28	  0.04	 141.74	  3.80	  0.47	  0.04	  0.49	  0.03	  0.34	  0.02	  0.51	  0.02	  0.07	  0.04	-21.91	  0.04	-22.71	  0.04	  7.75	  0.35	All	Sloan	DR7	228.31777	+06.02884
