#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/514/497/tablea1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75140497
#Name: J/MNRAS/514/497
#Title: HST/MUSE study of galaxies in Abell 370 (Lagattuta+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/mnras/514/497	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/514/497	    IVOID of underlying data collection
#INFO	creator=Lagattuta D.J.	    First author or institution
#INFO	cites=bibcode:2022MNRAS.514..497L	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/514/497	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bg-g2-fh	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_514_497_tablea1:
#Name: J/MNRAS/514/497/tablea1
#Title: The Abell 370 Pilot-WINGS master data catalogue containing spectroscopic/photometric and spatial informations
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I5)	Numerical identifier from SExtractor for each galaxy (iden) (1)	[ucd=meta.id;meta.main]
#Column	IDfrom	(A7)	An indication of how the object was detected (idfrom) (2)	[ucd=src.class]
#Column	Field	(A4)	The data set containing the galaxy (Field) (3)	[ucd=src.class.starGalaxy]
#Column	RAJ2000	(F11.8)	Right Ascension aligned to Gaia DR2 world coordinate system (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.8)	Declination aligned to Gaia DR2 world coordinate system (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.5)	The measured redshift of each galaxy (z)	[ucd=src.redshift]
#Column	q_z	(I1)	An assessment of the reliability of the redshift measurement from low q_z = 1 to high q_z = 3 (zconf) (4)	[ucd=meta.code.qual;src.redshift]
#Column	F435Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F435W-band (F435W) (5)	[ucd=phot.mag;em.opt.B]
#Column	e_F435Wmag	(D16.9)	[]? The measured uncertainty of F435Wmag (F435W_err)	[ucd=stat.error]
#Column	F606Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F606W-band (F606W) (5)	[ucd=phot.mag;em.opt.R]
#Column	e_F606Wmag	(D16.9)	[]? The measured uncertainty of F606Wmag (F606W_err)	[ucd=stat.error]
#Column	F814Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F814W-band (F814W) (5)	[ucd=phot.mag;em.opt.I]
#Column	e_F814Wmag	(D16.9)	[]? The measured uncertainty of F814Wmag (F814W_err)	[ucd=stat.error]
#Column	F105Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F105W-band (F105W) (5)	[ucd=phot.mag;em.IR.J]
#Column	e_F105Wmag	(D16.9)	[]? The measured uncertainty of F105Wmag (F105W_err)	[ucd=stat.error]
#Column	F125Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F125W-band (F125W) (5)	[ucd=phot.mag;em.IR.J]
#Column	e_F125Wmag	(D16.9)	[]? The measured uncertainty of F125Wmag (F125W_err)	[ucd=stat.error]
#Column	F140Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F140W-band (F140W) (5)	[ucd=phot.mag;em.IR.J]
#Column	e_F140Wmag	(D16.9)	[]? The measured uncertainty of F140Wmag (F140W_err)	[ucd=stat.error]
#Column	F160Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F60W-band (F160W) (5)	[ucd=phot.mag;em.IR.H]
#Column	e_F160Wmag	(D16.9)	[]? The measured uncertainty of F160Wmag (F160W_err)	[ucd=stat.error]
#Column	MULID	(a9)	If the object is part of a multiply-imaged system it gives a unique identifier for each image (MUL) (6)	[ucd=meta.id.assoc]
recno	ID	IDfrom	Field	RAJ2000	DEJ2000	z	q_z	F435Wmag	e_F435Wmag	F606Wmag	e_F606Wmag	F814Wmag	e_F814Wmag	F105Wmag	e_F105Wmag	F125Wmag	e_F125Wmag	F140Wmag	e_F140Wmag	F160Wmag	e_F160Wmag	MULID
     685	 1208	PRIOR  	P03 	39.98635390	-1.54685740	0.81700	1	 27.008484	 1.830882600e-01	 25.732294	 9.588914000e-02	 24.904905	 7.315756400e-02	 24.781347	 1.034108000e+00	 24.632040	 4.929768700e-01	 24.582476	 5.425808400e-01	 24.541832	 6.141169000e-01	
     686	 1215	PRIOR  	P08 	39.94893060	-1.56665870	0.78720	3	 25.869463	 7.804932400e-02	 25.628480	 7.820529000e-02	 24.993507	 6.396801000e-02	 24.883760	 1.024091600e+00	 24.823236	 5.711335500e-01	 41.593533	 1.689386730e+16	 24.687405	 5.817283000e-01	
     687	 1233	PRIOR  	P08 	39.95339630	-1.56690250	0.36673	3	 23.485790	 4.126468700e-02	 22.134540	 2.193072000e-02	 21.386660	 1.473509900e-02	 21.063314	 1.748097800e-01	 20.850801	 4.882476000e-02	 20.758427	 1.552732600e-01	 20.612617	 2.228896200e-01	
     688	 1235	PRIOR  	P08 	39.95590890	-1.56655970	0.54761	3	 22.815500	 1.000000000e-02	 20.810500	 1.600000000e-03	 19.641200	 4.000000000e-04	 19.238600	 1.500000000e-03	 18.994200	 1.400000000e-03	 18.856300	 7.000000000e-04	 18.712000	 1.300000000e-03	
     689	 1239	PRIOR  	P08 	39.94738830	-1.56592880	0.13367	3	 21.888874	 2.300676100e-02	 21.137812	 1.938138000e-02	 20.768995	 1.647357800e-02	 20.656126	 2.410384400e-01	 20.577944	 8.040760500e-02	          	 1.085700000e+00	 20.462812	 3.782860000e-01	
     690	 1256	PRIOR  	P08 	39.94462510	-1.56660690	0.38870	2	 26.486017	 1.753331000e-01	 24.631016	 5.791902000e-02	 23.754253	 3.862285600e-02	 23.441015	 6.013264700e-01	 23.206207	 2.274908100e-01	 43.529686	 1.427866690e+17	 23.076405	 4.709910000e-01	
     691	 1266	MUSELET	CORE	39.95615600	-1.57867860	5.44760	2	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	31.3
     692	 1267	MUSELET	CORE	39.96997700	-1.57003670	4.94410	2	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	39.2
     693	 1278	PRIOR  	P03 	39.97751772	-1.54266656	0.04410	3	          	                	 15.418867	 2.923994400e-05	 14.719225	 2.553637000e-05	 14.263231	 1.244712350e-05	 14.039777	 1.049850800e-05	          	                	 -1.000000	-1.000000000e+00	
     694	 1290	PRIOR  	P03 	39.97542909	-1.54218964	0.77482	3	          	                	 24.025179	 5.417191000e-03	 23.396930	 5.052597700e-03	 23.053305	 2.731313000e-03	 22.926153	 2.517393000e-03	          	                	 22.754438	 2.791650400e-03	
     695	 1291	PRIOR  	P03 	39.97511470	-1.54125650	3.49674	2	 31.363388	 1.055411880e+13	 25.290133	 8.355743000e-01	 23.623600	 2.996868800e-01	 22.061718	 4.635190000e-01	 21.511305	 1.183193300e-01	 21.854916	 3.486497400e-01	 21.601986	 4.449773400e-01	
     696	 1321	PRIOR  	P03 	39.97605858	-1.54605023	0.36877	3	          	                	 21.944254	 9.308906000e-04	 21.104187	 7.143505500e-04	 20.691038	 3.622090400e-04	 20.446198	 2.995459000e-04	          	                	 20.188414	 3.068635000e-04	
     697	 1322	MUSELET	CORE	39.98522300	-1.57938850	4.94626	2	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	39.3
     698	 1324	PRIOR  	P03 	39.97238556	-1.54579687	1.05071	1	          	                	 26.973959	 4.533190000e-02	 26.237085	 3.825557200e-02	 26.185541	 2.706349000e-02	 26.053288	 2.482691800e-02	          	                	 26.041578	 3.190323000e-02	
     699	 1335	MUSELET	CORE	39.97054600	-1.56938010	4.94983	2	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	39.1
     700	 1386	MUSELET	CORE	39.96272220	-1.58600360	4.88200	2	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	33.1
     701	 1483	PRIOR  	P03 	39.98148000	-1.54454480	0.38608	3	 22.327873	 2.232363800e-02	 21.287287	 1.672735300e-02	 20.605524	 1.187088600e-02	 20.216560	 1.459986900e-01	 19.976955	 3.796290200e-02	 19.957144	 1.240955440e-01	 19.753262	 2.189803900e-01	
     702	 1515	MUSELET	CORE	39.97321610	-1.57715090	0.96790	2	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	
     703	 1528	PRIOR  	P03 	39.97073430	-1.54538580	0.38336	3	 27.885708	 1.541997330e+12	 20.829264	 6.801416000e-02	 19.772032	 2.796522500e-02	 19.409012	 1.210565640e-01	 19.109398	 2.749336100e-02	 18.980705	 1.077262000e-01	 18.843600	 2.059398300e-01	
     704	 1542	PRIOR  	P03 	39.97822013	-1.54642456	0.93167	1	          	                	-27.232723	 9.900000000e+01	-26.557657	 9.900000000e+01	-26.148432	 9.900000000e+01	-25.957110	 9.900000000e+01	          	                	-25.771666	 9.900000000e+01	
     705	 1569	PRIOR  	P03 	39.98551900	-1.54565850	1.48094	3	 23.574001	 2.149602800e-02	 23.667600	 3.255553000e-02	 23.613806	 3.978987400e-02	 23.299995	 5.021088000e-01	 23.175415	 2.137631300e-01	 23.195724	 3.291548200e-01	 23.152588	 4.316454200e-01	
     706	 1572	PRIOR  	P03 	39.97029355	-1.54512689	1.19000	1	          	                	 25.569448	 1.590642100e-02	 24.806799	 1.310848500e-02	 24.456446	 7.042357000e-03	 24.322600	 6.450893400e-03	          	                	 24.089592	 6.761020500e-03	
     707	 1581	PRIOR  	P03 	39.97202080	-1.54588300	1.05095	3	          	 1.085700000e+00	 23.281054	 1.689082800e-01	 22.277588	 6.801504000e-02	 21.894491	 3.215659300e-01	 21.646418	 1.046099300e-01	 21.508290	 2.012749900e-01	 21.458670	 3.277731000e-01	
     708	 1592	MUSELET	CORE	39.97039100	-1.56963870	3.70860	2	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	15.6
     709	 1919	MUSELET	CORE	39.97139500	-1.58802000	4.94410	2	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	39.4
     710	 2093	MUSELET	CORE	39.98458640	-1.57618760	0.91600	2	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	          	 0.000000000e+00	
     711	 2159	PRIOR  	CORE	39.97472000	-1.59921770	3.27970	3	 26.722866	 1.507793000e-01	 25.808874	 9.868870000e-02	 25.855751	 1.294769300e-01	 25.920729	 1.980616500e-01	 26.015972	 2.146183100e-01	 26.087317	 2.921880000e-01	 25.872082	 1.061260800e-01	
     712	 2510	PRIOR  	CORE	39.97339980	-1.59884060	0.00000	3	 24.792790	 9.382241000e-02	 22.873728	 3.364829000e-02	 21.018210	 1.074280300e-02	 20.178387	 8.052943000e-03	 20.008541	 3.528647400e-03	 20.100212	 2.432715700e-02	 20.002680	 1.508006000e-02	
     713	 2526	PRIOR  	CORE	39.97311890	-1.59808490	0.36955	1	 25.466938	 1.979761300e-01	 24.302126	 1.170729800e-01	 23.413280	 7.477930000e-02	 22.752327	 6.577997000e-02	 22.552055	 3.781622000e-02	 22.854153	 1.501709500e-01	 22.362864	 6.109876600e-02	
     714	 2577	PRIOR  	CORE	39.97692790	-1.59864400	0.37020	3	 24.500101	 7.914945500e-02	 22.599852	 3.052283300e-02	 21.669971	 1.833595000e-02	 21.238394	 2.368964000e-02	 21.015644	 1.122118300e-02	 20.895775	 5.257801000e-02	 20.787056	 3.038528700e-02	
     715	 2615	PRIOR  	CORE	39.97556350	-1.59775710	0.36920	3	 23.861376	 5.967264200e-02	 22.118576	 2.568792700e-02	 21.313543	 1.676972200e-02	 20.948256	 2.263771700e-02	 20.749895	 1.056390700e-02	 20.662867	 5.384648600e-02	 20.554407	 3.117926000e-02	
     716	 2653	PRIOR  	CORE	39.97186820	-1.59743100	0.32390	3	 24.526840	 5.758979000e-02	 23.442163	 3.813702200e-02	 22.995615	 3.302047000e-02	 22.798698	 5.330095800e-02	 22.695242	 3.274498000e-02	 22.707336	 1.083924400e-01	 22.613882	 5.421318500e-02	
     717	 2714	PRIOR  	CORE	39.97319650	-1.59914420	0.37470	3	 22.563300	 7.300000000e-03	 20.752300	 1.500000000e-03	 19.794500	 4.000000000e-04	 19.339300	 3.000000000e-04	 19.073500	 4.000000000e-04	 18.931700	 3.000000000e-04	 18.812000	 2.000000000e-04	
     718	 2914	PRIOR  	CORE	39.97058370	-1.59731990	0.00000	3	 23.674896	 4.865757000e-02	 21.935978	 2.160611200e-02	 20.684256	 1.007818600e-02	 20.172440	 1.267095400e-02	 20.031183	 5.477625400e-03	 19.994741	 3.574243000e-02	 19.980330	 2.331604400e-02	
     719	 3246	PRIOR  	CORE	39.96538490	-1.59460810	0.42240	3	 26.646925	 1.408154200e-01	 25.601786	 8.655183000e-02	 25.025951	 7.317304000e-02	 24.880812	 1.301245100e-01	 24.751335	 1.031416600e-01	 24.688074	 1.834108200e-01	 24.719574	 8.295337000e-02	
     720	 3295	PRIOR  	CORE	39.97694700	-1.59623640	0.38030	3	 23.742770	 7.902283000e-02	 22.084528	 3.604645700e-02	 21.171606	 2.166011400e-02	 20.758383	 2.928226800e-02	 20.527750	 1.617922800e-02	 20.423403	 7.700270400e-02	 20.293682	 4.068883000e-02	
     721	 3313	PRIOR  	CORE	39.97646870	-1.59499300	0.56350	3	 23.955498	 4.104097200e-02	 23.115230	 3.268573000e-02	 22.437136	 2.334208400e-02	 22.144089	 3.376224000e-02	 22.029943	 2.097795200e-02	 21.920912	 7.629141000e-02	 21.791878	 3.672416500e-02	
     722	 3353	PRIOR  	CORE	39.96715980	-1.59463020	0.24230	3	 24.213930	 3.642304200e-02	 23.354982	 2.815047300e-02	 23.041302	 2.640904300e-02	 22.966438	 4.608236300e-02	 22.897923	 3.047332500e-02	 22.871980	 9.081492600e-02	 22.833685	 4.603442500e-02	
     723	 3388	PRIOR  	CORE	39.96989650	-1.59713580	0.00000	3	 22.714254	 3.865289000e-02	 20.555510	 1.345175100e-02	 18.674799	 3.860014000e-03	 17.857449	 3.634970400e-03	 17.653654	 1.158006800e-03	 17.609760	 1.379157200e-02	 17.607626	 1.092231500e-02	
     724	 3402	PRIOR  	CORE	39.97405870	-1.59453400	0.37460	3	 24.228502	 4.368974300e-02	 23.588854	 3.722289000e-02	 23.425010	 3.971269400e-02	 23.425465	 6.808263000e-02	 23.387346	 4.894246500e-02	 23.354694	 1.259143500e-01	 23.354174	 6.333756400e-02	
     725	 3421	PRIOR  	CORE	39.97012120	-1.59443660	1.33990	3	 22.249250	 3.047509500e-02	 22.192642	 4.349597000e-02	 21.837227	 3.819536400e-02	 21.430027	 5.048250000e-02	 21.384815	 2.889229500e-02	 21.347208	 1.227766900e-01	 21.235462	 6.816427400e-02	
     726	 3553	PRIOR  	CORE	39.98027950	-1.59330920	0.73720	3	 26.248140	 1.010991300e-01	 25.839580	 9.683617000e-02	 25.240430	 8.210485400e-02	 25.172897	 1.674498600e-01	 25.126831	 1.519115900e-01	 25.177887	 2.585786000e-01	 25.132984	 1.035939000e-01	
     727	 3723	PRIOR  	CORE	39.96244550	-1.59248500	4.16530	2	          	 1.085700000e+00	 27.389830	 1.847539000e-01	 26.890448	 1.754293300e-01	 27.077124	 4.143104600e-01	 27.260902	 5.798604500e-01	 27.245455	 5.010521400e-01	 27.333456	 1.856720700e-01	
     728	 3774	PRIOR  	CORE	39.97082130	-1.59741840	0.25670	2	 28.064098	 4.767368700e-02	 27.169521	 9.756924000e-03	 26.599790	 9.552148000e-03	 26.428390	 6.062654000e-03	 26.405376	 6.150317400e-03	 26.267859	 4.416224000e-03	 26.027355	 5.640072700e-03	
     729	 3811	PRIOR  	CORE	39.97209810	-1.59434080	0.37640	3	 23.665350	 7.520656000e-02	 21.772780	 2.898312500e-02	 20.818108	 1.618221400e-02	 20.387182	 1.640578200e-02	 20.128489	 6.806935600e-03	 19.994429	 3.945515700e-02	 19.886694	 2.445248000e-02	
     730	 3876	PRIOR  	CORE	39.97000650	-1.59258800	1.25630	3	 24.058970	 7.791241000e-02	 23.845387	 9.229762000e-02	 23.080780	 6.384402000e-02	 22.666560	 8.669902000e-02	 22.438417	 4.917213300e-02	 22.263422	 1.453264800e-01	 22.068743	 7.204175000e-02	
     731	 3895	PRIOR  	CORE	39.96727070	-1.59244490	0.38206	2	 25.941860	 1.410578300e-01	 24.225729	 5.711006000e-02	 23.359150	 3.697932000e-02	 23.041576	 5.455487000e-02	 22.805546	 3.180493000e-02	 22.718836	 9.182830000e-02	 22.611410	 4.572289000e-02	
     732	 3899	PRIOR  	CORE	39.97556550	-1.59221010	1.19290	3	 23.171362	 5.025894000e-02	 22.521788	 4.570353000e-02	 21.564606	 2.655445800e-02	 20.830898	 2.723020000e-02	 20.598438	 1.228418400e-02	 20.382467	 5.892467000e-02	 20.221191	 3.431105600e-02	
     733	 3918	PRIOR  	CORE	39.98004430	-1.59138960	4.16530	3	          	 1.085700000e+00	 28.075268	 2.644496600e-01	 27.519154	 2.446644600e-01	 27.384548	 4.586325000e-01	 27.297712	 5.349982000e-01	 27.559643	 5.467224000e-01	 27.343489	 1.762764000e-01	
     734	 3962	PRIOR  	CORE	39.96143490	-1.59183720	0.59450	3	 24.681135	 4.529632600e-02	 24.196330	 4.334882300e-02	 23.693779	 3.699446500e-02	 23.675732	 6.930829600e-02	 23.680748	 5.275967700e-02	 23.623238	 1.244907800e-01	 23.590470	 6.067031600e-02	
     735	 3982	PRIOR  	CORE	39.97317440	-1.59133130	1.05810	3	 26.724285	 1.386581500e-01	 26.640064	 1.504439700e-01	 26.070772	 1.318751400e-01	 25.819891	 2.088097500e-01	 25.794794	 2.049008800e-01	 25.791002	 2.733428000e-01	 25.976355	 1.235972500e-01	
     736	 3996	PRIOR  	CORE	39.97974390	-1.59141090	1.24670	3	 25.158890	 9.405397600e-02	 24.718134	 9.187887000e-02	 24.105104	 7.335345400e-02	 23.527012	 9.010587000e-02	 23.456469	 6.563400000e-02	 23.448420	 1.610879600e-01	 23.315107	 7.489503000e-02	
     737	 4115	PRIOR  	CORE	39.98107510	-1.59064690	0.82650	3	 27.419352	 1.837269200e-01	 26.895046	 1.577503100e-01	 26.246262	 1.301855100e-01	 26.080496	 2.763914500e-01	 26.111029	 2.780470800e-01	 26.057716	 3.455080700e-01	 26.077864	 1.383382500e-01	
     738	 4117	PRIOR  	CORE	39.97157020	-1.59137810	0.38470	2	 26.622640	 2.307429500e-01	 25.139084	 1.005817000e-01	 24.463839	 7.558703400e-02	 24.288157	 9.361280500e-02	 24.198778	 7.202709500e-02	 24.128185	 1.475560000e-01	 24.134449	 6.904393400e-02	
     739	 4126	PRIOR  	CORE	39.97675490	-1.59063530	0.73220	3	 27.563711	 2.212900700e-01	 26.625898	 1.374380700e-01	 25.971092	 1.124971800e-01	 25.930676	 2.152378000e-01	 25.912224	 2.166413200e-01	 25.876740	 2.811161300e-01	 25.950104	 1.209820600e-01	
     740	 4139	PRIOR  	CORE	39.97731960	-1.59164860	1.96550	3	 22.666615	 1.963804800e-02	 22.345531	 2.272831300e-02	 22.197638	 2.321860800e-02	 21.966670	 3.487351500e-02	 21.791380	 1.870869800e-02	 21.539713	 6.521769000e-02	 21.405750	 3.521148000e-02	
     741	 4190	PRIOR  	CORE	39.98145670	-1.59063420	1.19590	3	 26.819046	 1.343658100e-01	 26.758469	 1.613484500e-01	 26.103176	 1.318534300e-01	 25.618180	 1.855616000e-01	 25.605268	 1.806423000e-01	 25.401570	 2.258624000e-01	 25.380280	 9.482399400e-02	
     742	 4296	PRIOR  	CORE	39.97690420	-1.59101610	0.42242	3	 25.388266	 7.902696000e-02	 24.616175	 6.034432400e-02	 24.293987	 5.819777800e-02	 24.337984	 1.148016750e-01	 24.369604	 9.854979000e-02	 24.327322	 1.922237000e-01	 24.331373	 8.921277000e-02	
     743	 4311	PRIOR  	CORE	39.97861380	-1.59104900	0.37880	3	 24.688425	 9.362186500e-02	 23.436731	 5.381002000e-02	 22.629185	 3.576832000e-02	 22.239626	 4.868235400e-02	 22.047240	 2.663168000e-02	 21.965260	 9.551053500e-02	 21.870468	 5.106604500e-02	
     744	 4348	PRIOR  	CORE	39.96732510	-1.59050330	0.37470	3	 25.294422	 1.086785700e-01	 23.608849	 4.559543700e-02	 22.689213	 2.788783000e-02	 22.387934	 4.064928400e-02	 22.149693	 2.174916000e-02	 22.040668	 7.470991500e-02	 21.927961	 3.932893300e-02	
     745	 4379	PRIOR  	CORE	39.96954190	-1.59311950	0.30440	3	 21.622700	 4.900000000e-03	 20.025900	 1.200000000e-03	 19.186100	 4.000000000e-04	 18.774900	 3.000000000e-04	 18.541100	 4.000000000e-04	 18.424800	 3.000000000e-04	 18.306600	 2.000000000e-04	
     746	 4410	PRIOR  	CORE	39.96719580	-1.58995000	0.80380	3	 24.254036	 4.281902000e-02	 23.969822	 4.819801000e-02	 23.262947	 3.431520200e-02	 23.173918	 5.815055000e-02	 23.032938	 3.735162000e-02	 23.050434	 1.090463800e-01	 22.969936	 5.396293500e-02	
     747	 4453	PRIOR  	CORE	39.97743070	-1.59028370	0.36430	3	 24.115270	 5.740612400e-02	 22.589973	 2.780204600e-02	 21.885550	 1.925046200e-02	 21.599056	 2.786191600e-02	 21.443066	 1.457605800e-02	 21.362522	 6.108091000e-02	 21.288794	 3.469432000e-02	
     748	 4454	PRIOR  	CORE	39.96781410	-1.58975790	0.36740	2	 27.309895	 2.730400000e-01	 25.522583	 9.832520000e-02	 24.549877	 6.119495600e-02	 24.366930	 9.902421400e-02	 24.192934	 7.161045000e-02	 24.083946	 1.411613700e-01	 23.985672	 6.353731500e-02	
     749	 4476	PRIOR  	CORE	39.96426370	-1.59122500	0.36680	3	 22.671600	 9.300000000e-03	 20.872800	 1.900000000e-03	 19.895400	 5.000000000e-04	 19.434500	 4.000000000e-04	 19.157900	 5.000000000e-04	 19.008300	 4.000000000e-04	 18.885200	 3.000000000e-04	
     750	 4506	PRIOR  	CORE	39.97922140	-1.59030420	1.45000	3	 23.265827	 3.898286400e-02	 23.144272	 5.043097600e-02	 22.876528	 4.848976000e-02	 22.293283	 5.720794200e-02	 22.160300	 3.381376000e-02	 22.131851	 1.173287000e-01	 22.016808	 6.077939600e-02	
     751	 4517	PRIOR  	CORE	39.97098810	-1.58924160	1.27730	3	 24.502918	 8.884374000e-02	 24.310541	 1.008979500e-01	 23.815466	 8.311508000e-02	 23.256912	 8.819485000e-02	 23.155370	 5.982981200e-02	 23.067183	 1.531613500e-01	 22.997606	 7.564446000e-02	5.2
     752	 4542	PRIOR  	CORE	39.96437390	-1.59044150	0.59500	3	 23.586342	 3.870373200e-02	 22.271183	 2.222503200e-02	 21.309977	 1.271760650e-02	 20.885820	 1.672740700e-02	 20.678892	 7.705219600e-03	 20.505222	 3.700741400e-02	 20.353630	 2.134361500e-02	
     753	 4585	PRIOR  	CORE	39.97345370	-1.58907460	1.27750	3	 25.667450	 1.063519400e-01	 25.437780	 1.116950800e-01	 24.950330	 9.850335000e-02	 24.315006	 1.199363100e-01	 24.214663	 9.233632000e-02	 24.148033	 1.854320800e-01	 24.095455	 8.335554600e-02	5.1
     754	 4602	PRIOR  	CORE	39.97603320	-1.58934460	1.33970	3	 24.730110	 5.334581400e-02	 24.841125	 7.479665400e-02	 24.740494	 8.444373000e-02	 24.388811	 1.248588040e-01	 24.399214	 1.127945800e-01	 24.379663	 2.051485500e-01	 24.328758	 9.263591500e-02	
     755	 4651	PRIOR  	CORE	39.96908310	-1.58907320	1.27740	3	 24.860380	 8.369773000e-02	 24.708735	 9.902011000e-02	 24.293623	 8.874255400e-02	 23.726670	 1.096268900e-01	 23.658472	 8.090754600e-02	 23.547674	 1.797506400e-01	 23.375835	 8.102090000e-02	5.3,5.4
     756	 4652	PRIOR  	CORE	39.96973810	-1.58855980	4.25449	3	          	 1.085700000e+00	 28.032484	 2.057697000e-01	 27.375013	 1.754664600e-01	 27.571575	 4.126922000e-01	 27.700562	 5.852672000e-01	 27.572042	 4.216810000e-01	 27.746788	 1.632563300e-01	17.1
     757	 4662	PRIOR  	CORE	39.96930910	-1.58966510	0.60335	3	 23.118850	 3.787006000e-02	 22.135418	 2.781377400e-02	 21.273315	 1.672323400e-02	 20.898682	 2.228942700e-02	 20.738346	 1.062355500e-02	 20.584358	 5.141063800e-02	 20.423973	 2.962948600e-02	
     758	 4740	PRIOR  	CORE	39.96820120	-1.59160140	0.36360	3	 22.050000	 8.200000000e-03	 20.280000	 1.700000000e-03	 19.359400	 5.000000000e-04	 18.936900	 4.000000000e-04	 18.692500	 5.000000000e-04	 18.578500	 4.000000000e-04	 18.466900	 3.000000000e-04	
     759	 4770	PRIOR  	CORE	39.96621520	-1.58799610	4.87861	2	-29.291391	 9.900000000e+01	-29.251507	 9.900000000e+01	-29.498413	 9.900000000e+01	-29.507454	 9.900000000e+01	-29.269268	 9.900000000e+01	-29.210901	 9.900000000e+01	-29.191223	 9.900000000e+01	33.2
     760	 4799	PRIOR  	CORE	39.97910010	-1.58984040	0.42240	3	 25.104640	 7.986386000e-02	 24.522392	 7.018921500e-02	 24.163750	 6.618965400e-02	 24.086155	 1.178385240e-01	 24.043240	 9.069450000e-02	 24.022232	 1.944972900e-01	 23.979057	 9.138869500e-02	
     761	 4802	PRIOR  	CORE	39.97178950	-1.58807550	5.24625	2	 28.033200	 1.751000000e-01	 29.010000	 3.918000000e-01	 28.096300	 1.176000000e-01	 28.609200	 1.761000000e-01	 29.665800	 5.574000000e-01	 28.183300	 1.693000000e-01	 28.175700	 1.439000000e-01	34.2
     762	 4806	PRIOR  	CORE	39.96463490	-1.59037300	0.38170	3	 23.551610	 5.618188000e-02	 21.569855	 2.077147700e-02	 20.584040	 1.132492800e-02	 20.175938	 1.476497400e-02	 19.906782	 5.914312300e-03	 19.759937	 3.568595600e-02	 19.637867	 2.238346800e-02	
     763	 4840	PRIOR  	CORE	39.96378400	-1.58827610	0.80480	3	 24.906569	 5.715980800e-02	 24.805190	 6.967114000e-02	 24.391865	 6.310827000e-02	 24.527230	 1.330271400e-01	 24.546078	 1.175837000e-01	 24.668947	 2.325639100e-01	 24.633894	 1.010260360e-01	
