#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	[*] Additional galaxy (G2)	[ucd=meta.code]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	Figure	(a11)	Figure number (2)	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	Notes	(a99)	Additional notes (Arm classifications in table9)	[ucd=meta.note]
#Column	S10	(I3)	Galaxies in S4G catalog version 2 (2013-09) (Sheth et al. 2010, J/PASP/122/1397)	[ucd=meta.ref.url]
#Column	Opt	(I3)	Display the available optical data from Knapen et al. 2014, J/A+A/569/A91, within 30"	[ucd=meta.code]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	f_Name	P1T	P2T	Figure	Simbad	NED	LEDA	<T>	<F>	<Type>	Notes	S10	Opt	AC	_RA	_DE
    1039	UGC 6791  	 	S sp                                         	Sb: sp                                       	II.1.0918  	Simbad	NED	LEDA	 3.0	     	Sb: sp                                                   	highly inclined but not edge-on; subtle features                                                   	  1	  1	 	177.34854	+26.74153
    1040	IC 2963   	 	Sd: sp                                       	Sdm sp / E(d)7                               	II.1.0919  	Simbad	NED	LEDA	 7.5	     	S\underline{d}m: sp / E(d)7                              	highly inclined but not edge-on; pointy thick disk                                                 	  1	  1	 	177.35240	-05.11839
    1041	NGC 3906  	 	SB(l)dm                                      	SB(rs)dm                                     	I.1.085    	Simbad	NED	LEDA	 8.0	 1.00	SB(r'l)dm                                                	flocculent spiral; excellent face-on case; strong offset bar                                       	  1	  1	F	177.41873	+48.42596
    1042	UGC 6816  	 	SB(s)m                                       	SAB(s)m                                      	II.1.0920  	Simbad	NED	LEDA	 9.0	 0.75	SA\underline{B}(s)m                                      	flocculent spiral; excellent face-on with 30 Dor complex                                           	  1	  1	F	177.69817	+56.45558
    1043	NGC 3912  	 	SB(s)m: /Sph                                 	SBm: pec                                     	II.1.0921  	Simbad	NED	LEDA	 9.0	 1.00	SB(s:)m: pec                                             	flocculent spiral; odd inner structure                                                             	  1	  1	F	177.51854	+26.47900
    1044	NGC 3913  	 	SA(s)dm:                                     	SA(s)dm                                      	II.1.0922  	Simbad	NED	LEDA	 8.0	 0.00	SA(s)dm:                                                 	flocculent spiral; face-on                                                                         	  1	  1	F	177.66220	+55.35387
    1045	NGC 3917  	 	SA(s)c sp                                    	SA(s)c sp                                    	II.1.0923  	Simbad	NED	LEDA	 5.0	 0.00	SA(s)c sp                                                	highly inclined but not edge-on; subtle features                                                   	  1	  1	 	177.68953	+51.82421
    1046	UGC 6818  	 	IB(s)m sp                                    	SAB(s)dm sp                                  	II.1.0924  	Simbad	NED	LEDA	 9.0	 0.75	SA\underline{B}(s)m sp                                   	flocculent spiral; Is bar thicker than arms?                                                       	  1	  1	F	177.69637	+45.80731
    1047	UGC 6817  	 	Im                                           	dIm / Sph                                    	I.1.181    	Simbad	NED	LEDA	10.0	     	Im / Sph                                                 	resolved                                                                                           	  1	  1	 	177.72077	+38.88081
    1048	NGC 3922  	 	E^+^6                                        	SA(l)0^-^                                    	II.1.0925  	Simbad	NED	LEDA	-3.5	 0.00	E^+^6/SA(l)0^-^                                          	(l) very subtle                                                                                    	  1	  1	 	177.80611	+50.15675
    1049	NGC 3931  	 	E2                                           	E2-3                                         	II.1.0926  	Simbad	NED	LEDA	-5.0	     	E2                                                       	excellent case                                                                                     	  1	  1	 	177.80586	+52.00091
    1050	NGC 3930  	 	SAB(s)d                                      	SAB(s)d                                      	II.1.0927  	Simbad	NED	LEDA	 7.0	 0.50	SAB(s)d                                                  	flocculent spiral; excellent case                                                                  	  1	  1	F	177.94177	+38.01513
    1051	NGC 3928  	 	SA(l)0/a                                     	SA(l,nl)0^o^                                 	II.1.0928  	Simbad	NED	LEDA	-1.0	 0.00	SA(l,nl)0^+^                                             	bright (nl)                                                                                        	  1	  1	 	177.94868	+48.68314
    1052	UGC 6840  	 	SB(s)m                                       	SB(s)m                                       	II.1.0929  	Simbad	NED	LEDA	 9.0	 1.00	SB(s)m                                                   	strong bar; face-on                                                                                	  1	  1	 	178.02949	+52.10794
    1053	PGC 37238 	 	SB(s)m                                       	dIm                                          	II.1.0930  	Simbad	NED	LEDA	 9.5	 1.00	S/IB:(s:)m                                               	                                                                                                   	  1	  1	 	178.24917	-04.42667
    1054	NGC 3936  	 	SA(rs)c sp                                   	SA(rs)c sp                                   	II.1.0931  	Simbad	NED	LEDA	 5.0	 0.00	SA(rs)c sp                                               	highly inclined but not edge-on                                                                    	  1	  0	 	178.08580	-26.90589
    1055	IC 2969   	 	SA(r)d                                       	SA(s)d                                       	II.1.0932  	Simbad	NED	LEDA	 7.0	 0.00	SA(rs)d                                                  	flocculent spiral; circular (rs) in tilted disk                                                    	  1	  1	F	178.13030	-03.87222
    1056	UGC 6849  	 	S\underline{A}B(s)dm                         	SA(s)dm                                      	II.1.0933  	Simbad	NED	LEDA	 8.0	 0.12	SA(s)dm                                                  	flocculent spiral; almost face-on                                                                  	  1	  1	F	178.16342	+50.03772
    1057	NGC 3938  	 	SA(s)c                                       	SA(l)c                                       	I.1.086    	Simbad	NED	LEDA	 5.0	 0.00	SA(ls)c                                                  	multi-armed spiral; excellent face-on case                                                         	  1	  1	M	178.20605	+44.12073
    1058	NGC 3941  	 	(R)SB_a0^o^                                  	SB_a(s,bl)0^o^                               	II.1.0934  	Simbad	NED	LEDA	-2.0	 1.00	(R)SB_a_(bl)0^o^                                         	                                                                                                   	  1	  1	 	178.23067	+36.98638
    1059	UGC 6862  	 	Sd sp                                        	Sd sp                                        	II.1.0935  	Simbad	NED	LEDA	 7.0	     	Sd sp                                                    	suspect bar; almost exactly edge-on                                                                	  1	  1	 	178.31437	+11.63381
    1060	ESO 440-27	 	Sc sp                                        	Sc sp / E(d)8                                	II.1.0936  	Simbad	NED	LEDA	 5.0	     	Sc sp / E(d)8                                            	thin disk slightly overextends thick disk                                                          	  1	  0	 	178.35027	-28.55316
    1061	ESO 504-24	 	SA(s)m:                                      	IAm                                          	II.1.0937  	Simbad	NED	LEDA	 9.5	 0.00	S/IA(s:)m:                                               	flocculent spiral                                                                                  	  1	  0	F	178.40787	-26.99581
    1062	NGC 3952  	 	IB(s)m                                       	IAB(s)m                                      	II.1.0938  	Simbad	NED	LEDA	10.0	 0.75	IA\underline{B}(s)m                                      	                                                                                                   	  1	  1	 	178.41934	-03.99652
    1063	NGC 3949  	 	SAB(r\underline{s})c                         	SAB(s)cd                                     	II.1.0939  	Simbad	NED	LEDA	 5.5	 0.50	SAB(s)\underline{c}d                                     	flocculent spiral                                                                                  	  1	  1	F	178.42395	+47.85878
    1064	NGC 3953  	 	SB(r)\underline{b}c                          	SB(\underline{r}s,bl)b                       	I.1.087    	Simbad	NED	LEDA	 3.2	 1.00	SB(r,bl)b                                                	multi-armed spiral; excellent case                                                                 	  1	  1	M	178.45428	+52.32654
    1065	ESO 572-12	 	S pec sp                                     	Pec spw                                      	II.1.0940  	Simbad	NED	LEDA	    	     	Pec spw                                                  	very bright central object or foreground *                                                         	  1	  0	 	178.48792	-20.13788
    1066	NGC 3955  	 	SB(r\underline{s})bc / S0^-^ /Sph            	SAB(r\underline{s})b: / E6                   	II.1.0941  	Simbad	NED	LEDA	 3.5	 0.75	SA\underline{B}(r\underline{s})\underline{b}c: / E6      	grand-design spiral; embedded example                                                              	  1	  0	G	178.48808	-23.16427
    1067	NGC 3956  	 	SAB(rs)cd                                    	SAB(rs)cd                                    	II.1.0942  	Simbad	NED	LEDA	 6.0	 0.50	SAB(rs)cd                                                	flocculent spiral                                                                                  	  1	  0	F	178.50287	-20.56733
    1068	UGC 6879  	 	SB(s)d                                       	SAB(s)cd                                     	II.1.0943  	Simbad	NED	LEDA	 6.5	 0.75	SA\underline{B}(s)c\underline{d}                         	flocculent spiral; nucleus at one end of bar                                                       	  1	  1	F	178.60452	-02.31972
    1069	NGC 3962  	 	E3-4                                         	SA(l)0^-^                                    	II.1.0944  	Simbad	NED	LEDA	-4.0	     	E^+^3-4                                                  	                                                                                                   	  1	  0	 	178.66710	-13.97499
    1070	PGC 37373 	 	SAB(s)c                                      	SAB(s)dm                                     	II.1.0945  	Simbad	NED	LEDA	 6.5	 0.50	SAB(s)c\underline{d}                                     	possible image defect                                                                              	  1	  0	 	178.70668	-16.86455
    1071	ESO 504-28	 	SA(s)c                                       	SA(s)cd                                      	II.1.0946  	Simbad	NED	LEDA	 5.5	 0.00	SA(s)\underline{c}d                                      	flocculent spiral; face-on; low contrast features                                                  	  1	  0	F	178.72668	-27.25142
    1072	UGC 6900  	 	dSAB0 /Sph                                   	SAB(s)m / Sph                                	II.1.0947  	Simbad	NED	LEDA	11.0	 0.50	dSAB0[m] / Sph                                           	flocculent spiral; weak bar with very faint spiral structure                                       	  1	  1	F	178.91308	+31.51889
    1073	UGC 6894  	 	Sdm: sp                                      	dIm sp                                       	II.1.0948  	Simbad	NED	LEDA	 9.0	     	Sm: sp                                                   	                                                                                                   	  1	  1	 	178.85149	+54.65737
    1074	UGC 6903  	 	SB(s)cd                                      	(R')SB(s)cd                                  	II.1.0949  	Simbad	NED	LEDA	 6.0	 1.00	(R')SB(s)cd                                              	grand-design spiral; excellent face-on case                                                        	  1	  1	G	178.90361	+01.23734
    1075	NGC 3972  	 	SAB(s)c sp                                   	SAB(s)c                                      	II.1.0950  	Simbad	NED	LEDA	 5.0	 0.50	SAB(s)c sp                                               	grand-design spiral                                                                                	  1	  1	G	178.93799	+55.32067
    1076	ESO 572-18	 	SA\underline{B}(rs)b:                        	SAB(rs)b                                     	II.1.0951  	Simbad	NED	LEDA	 3.0	 0.62	SAB(rs)b:                                                	flocculent spiral; high surface brightness background                                              	  1	  0	F	178.96080	-18.19653
    1077	NGC 3976  	 	SAB(rs)\underline{b}c                        	SAB(rs)bc                                    	II.1.0952  	Simbad	NED	LEDA	 3.7	 0.50	SAB(rs)\underline{b}c                                    	multi-armed spiral                                                                                 	  1	  1	M	178.98874	+06.74944
    1078	UGC 6912  	 	Sm:                                          	Im                                           	II.1.0953  	Simbad	NED	LEDA	 9.5	     	S/Im:                                                    	                                                                                                   	  1	  1	 	179.06046	+58.19828
    1079	UGC 6922  	 	SA(s)a:                                      	SA(s)a                                       	II.1.0954  	Simbad	NED	LEDA	 1.0	 0.00	SA(s)a:                                                  	good case                                                                                          	  1	  1	 	179.21787	+50.81686
    1080	NGC 3981  	 	SAB(s)bc sp                                  	SAB_a(s)bc                                   	II.1.0955  	Simbad	NED	LEDA	 4.0	 0.50	SAB_a_(s)bc sp                                           	grand-design spiral; extreme case                                                                  	  1	  0	G	179.03102	-19.89618
    1081	ESO 572-22	 	SABd:                                        	Im: sp                                       	II.1.0956  	Simbad	NED	LEDA	 8.5	 0.50	SAB:d\underline{m}: sp                                   	highly inclined but not edge-on                                                                    	  1	  0	 	179.09373	-19.55207
    1082	NGC 3982  	 	SA(rs)b                                      	S\underline{A}B(rs)b                         	II.1.0957  	Simbad	NED	LEDA	 3.0	 0.12	SA(rs)b                                                  	grand-design spiral; excellent case                                                                	  1	  1	G	179.11737	+55.12536
    1083	UGC 6917  	 	SB(s)d                                       	SB(s)d                                       	II.1.0958  	Simbad	NED	LEDA	 7.0	 1.00	SB(s)d                                                   	multi-armed spiral; excellent case; bright * superposed                                            	  1	  1	M	179.11989	+50.42839
    1084	NGC 3985  	 	SB(r\underline{s})m                          	(R')SAB(rs)m                                 	II.1.0959  	Simbad	NED	LEDA	 9.0	 0.75	(R')SA\underline{B}(rs)m                                 	flocculent spiral; also like ring galaxy? (``ear galaxy)                                           	  1	  1	F	179.17545	+48.33396
    1085	ESO 572-24	 	Sph (B?) sp                                  	Sd sp                                        	II.1.0960  	Simbad	NED	LEDA	 7.0	     	Sd sp                                                    	poorly resolved                                                                                    	  1	  0	 	179.24822	-19.98677
    1086	UGC 6930  	 	SB(s)dm                                      	SB(s)d                                       	II.1.0961  	Simbad	NED	LEDA	 7.5	 1.00	SB(s)\underline{d}m                                      	flocculent spiral; excellent face-on case                                                          	  1	  1	F	179.32248	+49.28325
    1087	UGC 6931  	 	IB(s)m                                       	IAB(s)m                                      	II.1.0962  	Simbad	NED	LEDA	10.0	 0.75	IA\underline{B}(s)m                                      	                                                                                                   	  1	  1	 	179.35504	+57.92936
    1088	NGC 3992  	 	SB(rs,nb)ab                                  	SB(rs,bl,nb)ab                               	II.1.0963  	Simbad	NED	LEDA	 2.0	 1.00	SB(rs,bl,nb)ab                                           	multi-armed spiral; excellent case                                                                 	  1	  1	M	179.39993	+53.37452
    1089	NGC 3998  	 	SA(r)0^o^                                    	SA(r)0^-^                                    	II.1.0964  	Simbad	NED	LEDA	-2.5	 0.00	SA(r)0^{-/o}^                                            	excellent case                                                                                     	  1	  1	 	179.48389	+55.45359
    1090	UGC 6956  	 	SB(s)dm:                                     	SB(s)m                                       	I.1.182    	Simbad	NED	LEDA	 8.5	 1.00	SB(s)d\underline{m}:                                     	almost face-on                                                                                     	  1	  1	 	179.60817	+50.91761
    1091	UGC 6969  	 	SB(s)m: sp                                   	Im sp                                        	II.1.0965  	Simbad	NED	LEDA	 9.5	 1.00	S/IB:(s:)m: sp                                           	                                                                                                   	  1	  1	 	179.69854	+53.42450
    1092	ESO 572-30	 	SBm                                          	SA\underline{B}(s)m                          	II.1.0966  	Simbad	NED	LEDA	 9.0	 0.88	SB(s:)m                                                  	flocculent spiral; excellent face-on case                                                          	  1	  0	F	179.60583	-22.44000
    1093	UGC 6955  	 	IBm                                          	IAB(s)m                                      	II.1.0967  	Simbad	NED	LEDA	10.0	 0.75	IA\underline{B}(s:)m                                     	large example                                                                                      	  1	  1	 	179.62737	+38.07678
    1094	NGC 4013  	 	SB_xa sp                                     	SAB_xa spw / E(d)7                           	II.1.0968  	Simbad	NED	LEDA	 1.0	 0.75	SA\underline{B}_x_a spw / E(d)7                          	excellent case                                                                                     	  1	  1	 	179.63090	+43.94702
    1095	IC 749    	 	SB(rs)cd                                     	SB(rs)cd                                     	I.1.160    	Simbad	NED	LEDA	 6.0	 1.00	SB(rs)cd                                                 	flocculent spiral                                                                                  	  1	  1	F	179.64160	+42.73409
    1096	NGC 4010  	 	SBdm sp                                      	SB(s)dm sp / E(d)8-9                         	II.1.0969  	Simbad	NED	LEDA	 8.0	 1.00	SB(s:)dm sp / E(d)8-9                                    	excellent case; almost exactly edge-on                                                             	  1	  1	 	179.65830	+47.26131
    1097	IC 750    	 	SA(s)a                                       	(R':)SA(s)a                                  	I.1.161    	Simbad	NED	LEDA	 1.0	 0.00	(R':)SA(s)a                                              	grand-design spiral; highly inclined but not edge-on                                               	  1	  1	G	179.71760	+42.72240
    1098	NGC 4020  	 	SAB(s)d                                      	SAB(s)dm                                     	I.1.088    	Simbad	NED	LEDA	 7.5	 0.50	SAB(s)\underline{d}m                                     	flocculent spiral; highly inclined but not edge-on                                                 	  1	  1	F	179.73723	+30.41362
    1099	ESO 572-34	 	Im                                           	dIm                                          	II.1.0970  	Simbad	NED	LEDA	10.0	     	Im                                                       	well-resolved                                                                                      	  1	  0	 	179.74214	-19.02991
    1100	UGC 6978  	 	IB(s)m                                       	SAB(s)m                                      	II.1.0971  	Simbad	NED	LEDA	 9.5	 0.75	S/IA\underline{B}(s)m                                    	                                                                                                   	  1	  1	 	179.79358	-02.59150
    1101	UGC 6983  	 	SB(r\underline{s})dm pec                     	(R_d) SB(r\underline{s})cd pec               	II.1.0972  	Simbad	NED	LEDA	 7.0	 1.00	(R_d_)SB(r\underline{s})d pec                            	multi-armed spiral; R_d_ = diamond-shaped (R)                                                      	  1	  1	M	179.78639	+52.70779
    1102	ESO 440-37	 	(L)E0                                        	SA0^-^                                       	II.1.0973  	Simbad	NED	LEDA	-4.0	     	E^+^0                                                    	                                                                                                   	  1	  0	 	179.82127	-28.90494
    1103	NGC 4027  	 	SB(rs)dm                                     	(R')SB(s)dm                                  	II.1.0974  	Simbad	NED	LEDA	 8.0	 1.00	(R')SB(r\underline{s})dm                                 	flocculent spiral; excellent case                                                                  	  1	  0	F	179.87570	-19.26517
    1104	NGC 4030  	 	SA(rs)bc                                     	SA(s)bc                                      	II.1.0975  	Simbad	NED	LEDA	 4.0	 0.00	SA(r\underline{s})bc                                     	multi-armed spiral; excellent case                                                                 	  1	  1	M	180.09851	-01.09996
    1105	NGC 4035  	 	SAB(s)dm                                     	SAB(s)d                                      	II.1.0976  	Simbad	NED	LEDA	 7.5	 0.50	SAB(s)\underline{d}m                                     	flocculent spiral                                                                                  	  1	  0	F	180.12172	-15.94844
    1106	ESO 505-2 	 	IAB(s)m                                      	IA(s)m                                       	II.1.0977  	Simbad	NED	LEDA	10.0	 0.25	I\underline{A}B(s)m                                      	                                                                                                   	  1	  0	 	180.13208	-24.72167
    1107	NGC 4032  	 	SA(s)d                                       	SA(s)d                                       	II.1.0978  	Simbad	NED	LEDA	 7.0	 0.00	SA(s)d                                                   	flocculent spiral; similar to N7793                                                                	  1	  1	F	180.13673	+20.07390
    1108	ESO 505-3 	 	SB(s)m sp                                    	SB(s)dm sp                                   	II.1.0979  	Simbad	NED	LEDA	 8.5	 1.00	SB(s)d\underline{m} sp                                   	subtly boxy thick disk                                                                             	  1	  0	 	180.27913	-24.56802
    1109	IC 755    	 	SBm sp                                       	SB(s)dm sp                                   	II.1.0980  	Simbad	NED	LEDA	 8.5	 1.00	SB(s:)d\underline{m} sp                                  	slightly offset bar; highly inclined but not edge-on                                               	  1	  1	 	180.29326	+14.10451
    1110	NGC 4037  	 	SAB(rs)c                                     	SAB(rs)ab:                                   	II.1.0981  	Simbad	NED	LEDA	 3.5	 0.50	SAB(rs)\underline{b}c:                                   	flocculent spiral; unusual; face-on                                                                	  1	  1	F	180.34870	+13.40115
    1111	NGC 4034  	 	SB(s)a:                                      	SA\underline{B}(s)c                          	II.1.0982  	Simbad	NED	LEDA	 3.0	 0.88	SB(s)b:                                                  	                                                                                                   	  1	  1	 	180.37347	+69.32392
    1112	UGC 7009  	 	SB(s)dm                                      	SA\underline{B}(s)c sp                       	II.1.0983  	Simbad	NED	LEDA	 6.5	 0.88	SB(s)c\underline{d} sp                                   	flocculent spiral; highly inclined but not edge-on                                                 	  1	  1	F	180.43460	+62.32806
    1113	NGC 4038-9	 	Pec (merger)                                 	Pec (merger with tidal tails)                	II.1.0984  	Simbad	NED	LEDA	    	     	Pec (merger, tails)                                      	                                                                                                   	  1	  0	 	180.47084	-18.86759
    1114	UGC 7019  	 	IAB(s)m                                      	IAm                                          	II.1.0985  	Simbad	NED	LEDA	10.0	 0.25	I\underline{A}B(s:)m                                     	mostly face-on                                                                                     	  1	  1	 	180.62242	+62.41719
    1115	NGC 4041  	 	S\underline{A}B(rs)c                         	SA(rs)c                                      	II.1.0986  	Simbad	NED	LEDA	 5.0	 0.12	SA(rs)c                                                  	multi-armed spiral; excellent face-on case; small (rs) in large disk                               	  1	  1	M	180.55072	+62.13729
    1116	NGC 4045  	 	(R_1_'L)SAB(\underline{r}s,nl)ab             	(R_1_'L)SAB(\underline{r}s)ab                	II.1.0987  	Simbad	NED	LEDA	 2.0	 0.50	(R_1_'L)SAB(\underline{r}s,nl)ab                         	multi-armed spiral; strong OLR feature                                                             	  1	  1	M	180.67609	+01.97677
    1117	ESO 440-44	 	IBm                                          	IA\underline{B}(s)m                          	II.1.0988  	Simbad	NED	LEDA	10.0	 0.88	IB(s:)m                                                  	similar to N4449                                                                                   	  1	  0	 	180.69262	-29.09311
    1118	NGC 4050  	 	(RL)SA\underline{B}(\underline{r}s)a         	(RL)SAB(\underline{r}s)a                     	II.1.0989  	Simbad	NED	LEDA	 1.0	 0.62	(RL)SAB(\underline{r}s)a                                 	grand-design spiral; excellent case                                                                	  1	  0	G	180.72482	-16.37360
    1119	NGC 4049  	 	SB(s)m: pec                                  	SB(s)m sp / Sph                              	II.1.0990  	Simbad	NED	LEDA	 9.0	 1.00	SB(s)m: sp pec / Sph                                     	flocculent spiral                                                                                  	  1	  1	F	180.72607	+18.75136
    1120	NGC 4051  	 	SAB(rs)b                                     	SAB(rs)b                                     	II.1.0991  	Simbad	NED	LEDA	 3.0	 0.50	SAB(rs)b                                                 	multi-armed spiral                                                                                 	  1	  1	M	180.79036	+44.53126
    1122	ESO 505-8 	 	SAd                                          	SAd                                          	II.1.0993  	Simbad	NED	LEDA	 7.0	 0.00	SAd                                                      	highly inclined but not edge-on                                                                    	  1	  0	 	180.89572	-25.38017
    1123	UGC 7035  	 	Im                                           	Im (cc) pec / Sph                            	II.1.0994  	Simbad	NED	LEDA	10.0	     	Im (cc) pec / Sph                                        	                                                                                                   	  1	  1	 	180.91727	+02.64128
    1124	ESO 505-9 	 	Sph ,N?                                      	SAcd:                                        	II.1.0995  	Simbad	NED	LEDA	 6.0	 0.00	SAcd:                                                    	subtle features                                                                                    	  1	  0	 	180.96192	-27.60144
    1125	UGC 7053  	 	dE/dI                                        	dIAm                                         	II.1.0996  	Simbad	NED	LEDA	10.0	     	dIAm                                                     	face-on                                                                                            	  1	  1	 	181.08475	-01.53075
    1126	PGC 38250 	 	SAB(rs)m:                                    	SABd pec                                     	II.1.0997  	Simbad	NED	LEDA	 8.0	 0.50	SAB(rs:)dm: pec                                          	flocculent spiral; near a very bright *                                                            	  1	  1	F	181.24539	+58.10731
    1127	NGC 4068  	 	Im                                           	dIm                                          	I.1.089    	Simbad	NED	LEDA	10.0	     	Im                                                       	partly resolved                                                                                    	  1	  1	 	181.00937	+52.58861
    1128	NGC 4062  	 	SA(rs)b                                      	SA(rs)b                                      	II.1.0998  	Simbad	NED	LEDA	 3.0	 0.00	SA(rs)b                                                  	multi-armed spiral                                                                                 	  1	  1	M	181.01597	+31.89581
    1129	NGC 4064  	 	(RL)SB(ls)0^o^d                              	(L)SB0^o^[d]                                 	II.1.0999  	Simbad	NED	LEDA	-2.0	 1.00	(R\underline{L})SB(ls)0^o^[d]                            	bulgeless early-type galaxy?                                                                       	  1	  1	 	181.04663	+18.44345
    1130	NGC 4067  	 	SB(rs)ab                                     	SB(\underline{r}s)ab                         	II.1.1000  	Simbad	NED	LEDA	 2.0	 1.00	SB(rs)ab                                                 	multi-armed spiral                                                                                 	  1	  1	M	181.04816	+10.85435
    1131	IC 758    	 	SB(s)dm                                      	(R')SB(s)dm                                  	II.1.1001  	Simbad	NED	LEDA	 8.0	 1.00	(R')SB(s)dm                                              	flocculent spiral; face-on; offset bar                                                             	  1	  1	F	181.04957	+62.50545
    1132	NGC 4081  	 	SB(s)dm sp / E(b)6                           	SB(s)d sp / E6                               	II.1.1002  	Simbad	NED	LEDA	 7.5	 1.00	SB(s)\underline{d}m sp / E6                              	excellent case; limited extent tilted disk underfills large thick disk                             	  1	  1	 	181.14139	+64.43678
    1133	ESO 440-46	 	SB(s)dm                                      	SAB(s)dm                                     	II.1.1003  	Simbad	NED	LEDA	 8.0	 0.75	SA\underline{B}(s)dm                                     	flocculent spiral; face-on                                                                         	  1	  0	F	181.17157	-28.11629
    1134	NGC 4080  	 	SAB(s)d                                      	SAB(s)d                                      	II.1.1004  	Simbad	NED	LEDA	 7.0	 0.50	SAB(s)d                                                  	flocculent spiral                                                                                  	  1	  1	F	181.21585	+26.99262
    1135	UGC 7086  	 	Sb: sp                                       	Sc spw / E(d)4                               	II.1.1005  	Simbad	NED	LEDA	 4.0	     	Sbc: spw / E(d)4                                         	similar to N4594 but little cent. conc.                                                            	  1	  0	 	181.48382	+77.50507
    1136	NGC 4085  	 	SA(s)b sp                                    	S\underline{A}B(r\underline{s})b sp          	II.1.1006  	Simbad	NED	LEDA	 3.0	 0.12	SA(s)b sp                                                	multi-armed spiral                                                                                 	  1	  1	M	181.34460	+50.35275
    1137	ESO 440-49	 	SA(l)cd                                      	SA(l)bc:                                     	II.1.1007  	Simbad	NED	LEDA	 5.0	 0.00	SA(l)c:                                                  	face-on; arms broad                                                                                	  1	  0	 	181.39178	-31.42348
    1138	NGC 4088  	 	S\underline{A}B(s)c                          	SAB(s)bc                                     	II.1.1008  	Simbad	NED	LEDA	 4.5	 0.38	SAB(s)b\underline{c}                                     	multi-armed spiral; good case; pseudobulge                                                         	  1	  1	M	181.39245	+50.53903
    1139	IC 2995   	 	SB(s)d                                       	SB(s)d                                       	II.1.1009  	Simbad	NED	LEDA	 7.0	 1.00	SB(s)d                                                   	multi-armed spiral; embedded in bright background                                                  	  1	  0	M	181.44543	-27.94012
    1140	IC 2996   	 	SAd: sp                                      	SAc sp                                       	II.1.1010  	Simbad	NED	LEDA	 6.0	 0.00	SAcd: sp                                                 	subtle features; highly inclined but not edge-on                                                   	  1	  0	 	181.45264	-29.97191
    1141	NGC 4094  	 	(R')SB(s)cd                                  	(R')SB(s)cd                                  	II.1.1011  	Simbad	NED	LEDA	 6.0	 1.00	(R')SB(s)cd                                              	multi-armed spiral; large late-type with small bar                                                 	  1	  0	M	181.47487	-14.52646
    1142	UGC 7089  	 	SB(s)m sp                                    	SA\underline{B}(s)dm sp                      	II.1.1012  	Simbad	NED	LEDA	 8.5	 0.88	SB(s)d\underline{m} sp                                   	                                                                                                   	  1	  1	 	181.49158	+43.14364
