#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/587/A160/tablea2&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_587_A160_tablea2:
#Name: J/A+A/587/A160/tablea2
#Title: Bar maximum gravitational torques and radii
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;meta.main]
#Column	Qb	(F6.3)	Bar maximum gravitational torque	[ucd=src.morph.param]
#Column	e_Qb1	(F8.3)	[]? Uncertainty on the bar maximum gravitational torque associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_Qb2	(F6.3)	? Uncertainty on the bar maximum gravitational torque associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	RQb	(F7.3)	Bar maximum gravitational torque radius	[ucd=phys.angSize;stat.max]
#Column	e_RQb1	(F8.3)	[]? Uncertainty on the bar maximum gravitational torque radius associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_RQb2	(F6.3)	[]? Uncertainty on the bar maximum gravitational torque radius associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	Qbhcor	(F8.3)	? Bar maximum gravitational torque correcting for the dilution of the dark halo	[ucd=src.morph.param]
#Column	RQbhcor	(F8.3)	? Bar maximum gravitational torque radius correcting for the dilution of the dark halo	[ucd=phys.angSize;stat.max]
#Column	Qbbar	(F8.3)	? Bar-only maximum gravitational torque	[ucd=src.morph.param]
#Column	RQbbar	(F8.3)	? Bar-only maximum gravitational torque radius	[ucd=phys.angSize;stat.max]
#Column	Qbbarhcor	(F8.3)	? Bar-only maximum gravitational torque correcting also for the dilution of the dark halo	[ucd=src.morph.param]
#Column	RQbbarhcor	(F8.3)	? Bar-only maximum gravitational torque radius correcting also for the dilution of the dark halo	[ucd=phys.angSize;stat.max]
#Column	QbS08	(F8.3)	? Bar maximum gravitational torque using the relation from Speltincx et al. (2008MNRAS.383..317S) for the disk thickness estimation	[ucd=src.morph.param]
#Column	e_QbS081	(F8.3)	[]? Uncertainty on the bar maximum gravitational torque associated with a thicker disk in the relation from Speltincx et al. (2008MNRAS.383..317S)	[ucd=stat.error]
#Column	e_QbS082	(F8.3)	? Uncertainty on the bar maximum gravitational torque associated with a thinner disk in the relation from Speltincx et al. (2008MNRAS.383..317S)	[ucd=stat.error]
#Column	QTrbar	(F8.3)	? Radial force profile evaluated at the end of the bar	[ucd=src.morph.param]
#Column	e_QTrbar1	(F8.3)	[]? Uncertainty on the evaluation of the radial force profile at the end of the bar associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_QTrbar2	(F8.3)	? Uncertainty on the evaluation of the radial force profile at the end of the bar associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	QThcorrbar	(F8.3)	? Halo-corrected radial force profile evaluated at the end of the bar	[ucd=src.morph.param]
recno	Galaxy	Qb	e_Qb1	e_Qb2	RQb	e_RQb1	e_RQb2	Qbhcor	RQbhcor	Qbbar	RQbbar	Qbbarhcor	RQbbarhcor	QbS08	e_QbS081	e_QbS082	QTrbar	e_QTrbar1	e_QTrbar2	QThcorrbar
     199	NGC3380   	 0.324	  -0.072	 0.013	 17.250	  -1.500	 0.000	   0.249	  15.750	   0.223	  14.250	   0.182	  12.750	   0.333	  -0.041	   0.039	   0.319	  -0.073	   0.014	   0.232
     200	NGC3381   	 0.517	  -0.045	 0.023	  6.750	   0.000	 0.000	        	        	   0.498	   6.750	        	        	   0.469	  -0.049	   0.053	   0.382	  -0.049	   0.022	
     201	NGC3384   	 0.225	  -0.026	 0.006	 14.250	  -4.500	 1.500	        	        	   0.225	  14.250	        	        	   0.221	  -0.014	   0.019	   0.098	  -0.022	   0.004	
     202	NGC3433   	 0.134	        	 0.002	 15.750	        	 0.000	   0.083	   9.750	   0.086	   5.250	   0.074	   5.250	        	        	        	   0.131	  -0.004	   0.003	   0.078
     203	NGC3443   	 0.255	  -0.040	 0.016	 17.250	   3.000	 0.000	   0.119	  15.750	   0.176	  15.750	   0.089	  14.250	   0.286	  -0.037	   0.031	   0.258	  -0.041	   0.016	   0.106
     204	NGC3447   	 0.313	  -0.047	 0.025	 15.750	  -1.500	 0.000	   0.287	  15.750	   0.275	  14.250	   0.254	  14.250	   0.274	  -0.046	   0.057	   0.232	  -0.036	   0.017	   0.208
     205	NGC3471   	 0.467	  -0.070	 0.014	  2.250	   0.000	 0.000	        	        	   0.458	   2.250	        	        	   0.446	  -0.035	   0.042	   0.177	  -0.034	   0.006	
     206	NGC3485   	 0.433	  -0.059	 0.038	 17.250	   0.000	 0.000	   0.273	  14.250	   0.320	  15.750	   0.215	  14.250	   0.377	  -0.076	   0.079	   0.378	  -0.043	   0.027	   0.214
     207	NGC3486   	 0.078	  -0.010	 0.005	 15.750	  -1.500	 0.000	   0.077	  15.750	   0.047	  11.250	   0.047	  11.250	   0.081	  -0.012	   0.013	   0.078	  -0.010	   0.005	   0.077
     208	NGC3488   	 0.340	  -0.021	 0.010	  2.250	   0.000	 0.000	   0.333	   2.250	   0.307	   2.250	   0.300	   2.250	   0.319	  -0.025	   0.025	   0.300	  -0.028	   0.013	   0.279
     209	NGC3489   	 0.168	  -0.028	 0.005	 14.250	  -3.000	 0.000	        	        	        	        	        	        	   0.158	  -0.013	   0.017	   0.168	  -0.030	   0.005	
     210	NGC3504   	 0.257	  -0.112	 0.018	 30.750	   3.000	 0.000	   0.145	  27.750	   0.228	  29.250	   0.132	  26.250	   0.250	  -0.057	   0.055	   0.235	  -0.093	   0.013	   0.103
     211	NGC3507   	 0.237	  -0.041	 0.024	 18.750	   0.000	 0.000	   0.226	  17.250	   0.234	  18.750	   0.223	  18.750	   0.200	  -0.051	   0.053	   0.172	  -0.026	   0.017	   0.159
     212	NGC3513   	 0.612	  -0.083	 0.035	 15.750	  -1.500	 0.000	        	        	   0.591	  14.250	        	        	   0.500	  -0.067	   0.079	   0.248	  -0.010	   0.004	
     213	NGC3583   	 0.366	  -0.037	 0.023	 23.250	   0.000	 0.000	   0.305	  23.250	   0.220	  12.750	   0.204	  12.750	   0.326	  -0.047	   0.050	   0.332	  -0.025	   0.015	   0.294
     214	NGC3626   	 0.098	  -0.043	 0.005	 20.250	   3.000	 0.000	   0.090	  18.750	   0.098	  20.250	   0.090	  18.750	   0.094	  -0.021	   0.019	   0.051	  -0.017	   0.002	   0.037
     215	NGC3627   	 0.376	  -0.068	 0.055	 53.250	   0.000	 1.500	        	        	   0.374	  53.250	        	        	   0.302	  -0.076	   0.093	   0.205	  -0.029	   0.019	
     216	NGC3637   	 0.125	  -0.071	 0.014	 14.250	   1.500	 0.000	   0.120	  14.250	   0.110	  14.250	   0.106	  14.250	   0.135	  -0.041	   0.042	   0.110	  -0.060	   0.010	   0.104
     217	NGC3654   	 0.924	  -0.091	 0.041	  6.750	   0.000	 0.000	   0.879	   6.750	   0.853	   6.750	   0.812	   6.750	   0.760	  -0.080	   0.094	   0.591	  -0.040	   0.016	   0.540
     218	NGC3659   	 0.521	  -0.058	 0.019	  6.750	   0.000	 0.000	   0.474	   6.750	   0.504	   6.750	   0.458	   6.750	   0.446	  -0.052	   0.053	   0.263	  -0.014	   0.005	   0.219
     219	NGC3664   	 0.786	  -0.088	 0.043	 20.250	   0.000	 0.000	   0.652	  20.250	   0.596	  20.250	   0.495	  20.250	   0.861	  -0.103	   0.098	   0.803	  -0.064	   0.029	   0.626
     220	NGC3673   	 0.350	  -0.114	 0.019	 38.250	   0.000	 0.000	   0.247	  36.750	   0.268	  35.250	   0.195	  33.750	   0.321	  -0.057	   0.060	   0.331	  -0.102	   0.017	   0.223
     221	NGC3681   	 0.153	  -0.079	 0.008	  6.750	   0.000	 0.000	   0.149	   6.750	   0.150	   6.750	   0.146	   6.750	   0.144	  -0.034	   0.033	   0.084	  -0.022	   0.003	   0.078
     222	NGC3683A  	 0.107	  -0.011	 0.010	  5.250	   0.000	 0.000	   0.102	   5.250	   0.106	   5.250	   0.101	   5.250	   0.101	  -0.012	   0.016	   0.061	  -0.012	   0.009	   0.054
     223	NGC3684   	 0.141	  -0.017	 0.008	 11.250	   0.000	 0.000	   0.138	  11.250	   0.099	   8.250	   0.097	   8.250	   0.115	  -0.015	   0.018	   0.139	  -0.015	   0.007	   0.137
     224	NGC3686   	 0.229	  -0.041	 0.026	 11.250	   1.500	 0.000	   0.220	  11.250	   0.210	  11.250	   0.202	  11.250	   0.187	  -0.050	   0.055	   0.180	  -0.028	   0.019	   0.165
     225	NGC3687   	 0.152	  -0.028	 0.017	  8.250	   0.000	-1.500	   0.123	   6.750	   0.147	   6.750	   0.119	   6.750	   0.138	  -0.034	   0.034	   0.118	  -0.016	   0.010	   0.067
     226	NGC3691   	 0.445	  -0.045	 0.020	  9.750	   0.000	 0.000	        	        	   0.437	   9.750	        	        	   0.388	  -0.053	   0.053	   0.234	  -0.021	   0.009	
     227	NGC3705   	 0.175	  -0.030	 0.011	 18.750	   0.000	 0.000	   0.161	  18.750	   0.180	  18.750	   0.165	  18.750	   0.147	  -0.036	   0.036	   0.068	  -0.006	   0.003	   0.057
     228	NGC3715   	 0.125	  -0.010	 0.007	  5.250	   0.000	 0.000	   0.121	   5.250	   0.114	   5.250	   0.111	   5.250	   0.108	  -0.012	   0.014	   0.121	  -0.011	   0.008	   0.114
     229	NGC3726   	 0.189	  -0.025	 0.019	 26.250	   0.000	 1.500	   0.167	  26.250	   0.192	  26.250	   0.170	  26.250	   0.184	  -0.032	   0.039	   0.168	  -0.018	   0.012	   0.141
     230	NGC3729   	 0.200	  -0.089	 0.016	 18.750	   0.000	 0.000	   0.181	  18.750	   0.194	  18.750	   0.176	  17.250	   0.186	  -0.047	   0.049	   0.147	  -0.065	   0.012	   0.127
     231	NGC3752   	 0.376	  -0.022	 0.010	  6.750	   0.000	 0.000	   0.348	   6.750	   0.344	   3.750	   0.334	   2.250	   0.339	  -0.018	   0.026	   0.344	  -0.021	   0.009	   0.296
     232	NGC3757   	 0.059	  -0.016	 0.015	 11.250	   0.000	 0.000	        	        	   0.058	  11.250	        	        	   0.059	  -0.016	   0.015	   0.037	  -0.008	   0.006	
     233	NGC3782   	 0.638	  -0.041	 0.018	  6.750	   0.000	 0.000	   0.549	   6.750	   0.622	   6.750	   0.536	   6.750	   0.554	  -0.050	   0.052	   0.402	  -0.030	   0.012	   0.260
     234	NGC3795A  	 0.332	  -0.043	 0.021	  6.750	   0.000	 0.000	   0.271	   6.750	   0.307	   6.750	   0.250	   6.750	   0.400	  -0.046	   0.039	   0.213	  -0.021	   0.011	   0.165
     235	NGC3846A  	 0.450	  -0.040	 0.039	  5.250	   0.000	 1.500	   0.411	   5.250	   0.441	   5.250	   0.402	   5.250	   0.450	  -0.040	   0.039	   0.169	  -0.015	   0.014	   0.121
     236	NGC3850   	 0.288	  -0.024	 0.011	 11.250	  -1.500	 0.000	   0.211	   6.750	   0.255	   6.750	   0.192	   6.750	   0.277	  -0.027	   0.027	   0.221	  -0.019	   0.009	   0.120
     237	NGC3887   	 0.361	  -0.045	 0.031	 24.750	   0.000	 0.000	   0.292	  23.250	   0.274	  23.250	   0.225	  23.250	   0.322	  -0.057	   0.062	   0.311	  -0.030	   0.017	   0.241
     238	NGC3892   	 0.179	  -0.020	 0.021	 27.750	  -1.500	 0.000	   0.172	  26.250	   0.165	  23.250	   0.160	  23.250	   0.179	  -0.020	   0.021	   0.138	  -0.015	   0.013	   0.127
     239	NGC3906   	 0.815	  -0.092	 0.044	  9.750	   0.000	 0.000	   0.347	   3.750	   0.803	   9.750	   0.345	   2.250	   0.741	  -0.103	   0.108	   0.294	  -0.020	   0.008	   0.056
     240	NGC3912   	 0.382	  -0.031	 0.012	  8.250	   0.000	 0.000	        	        	   0.368	   5.250	        	        	   0.329	  -0.024	   0.034	   0.238	  -0.019	   0.008	
     241	NGC3930   	 0.202	  -0.030	 0.013	 27.750	   0.000	 0.000	   0.160	  20.250	   0.219	  27.750	   0.167	  21.750	   0.221	  -0.032	   0.024	   0.137	  -0.024	   0.011	   0.084
     242	NGC3941   	 0.087	  -0.038	 0.006	 20.250	   0.000	 0.000	        	        	   0.084	  20.250	        	        	   0.076	  -0.019	   0.019	   0.065	  -0.025	   0.004	
     243	NGC3949   	 0.088	  -0.010	 0.005	  3.750	   0.000	 0.000	   0.087	   3.750	   0.080	   3.750	   0.080	   3.750	   0.070	  -0.007	   0.011	   0.054	  -0.012	   0.006	   0.053
     244	NGC3953   	 0.240	  -0.044	 0.029	 30.750	   0.000	 0.000	   0.222	  30.750	   0.240	  30.750	   0.223	  30.750	   0.208	  -0.056	   0.059	   0.130	  -0.019	   0.012	   0.115
     245	NGC3985   	 0.344	  -0.023	 0.013	  3.750	  -1.500	 0.000	   0.320	   2.250	   0.332	   2.250	   0.311	   2.250	   0.310	  -0.026	   0.026	   0.228	  -0.025	   0.011	   0.186
     246	NGC3992   	 0.353	  -0.056	 0.037	 54.750	   0.000	 0.000	   0.293	  53.250	   0.328	  54.750	   0.275	  51.750	   0.336	  -0.074	   0.075	   0.242	  -0.031	   0.019	   0.182
     247	NGC4020   	 0.451	  -0.034	 0.015	  9.750	   0.000	 0.000	   0.244	   6.750	   0.429	   9.750	   0.234	   6.750	   0.391	  -0.040	   0.042	   0.270	  -0.023	   0.010	   0.105
     248	NGC4027   	 0.785	  -0.078	 0.042	  6.750	   0.000	 0.000	        	        	   0.770	   6.750	        	        	   0.667	  -0.058	   0.082	   0.559	  -0.065	   0.029	
     249	NGC4034   	 0.173	  -0.030	 0.005	  2.250	   0.000	 0.000	   0.143	   2.250	   0.180	   2.250	   0.148	   2.250	   0.190	  -0.017	   0.022	   0.096	  -0.023	   0.005	   0.049
     250	NGC4037   	 0.369	  -0.042	 0.019	 21.750	   0.000	 0.000	   0.323	  21.750	   0.338	  21.750	   0.297	  18.750	   0.362	  -0.049	   0.044	   0.264	  -0.028	   0.012	   0.213
     251	NGC4041   	 0.252	  -0.024	 0.014	  5.250	  -1.500	 0.000	   0.247	   3.750	   0.205	   3.750	   0.203	   3.750	   0.217	  -0.020	   0.025	   0.230	  -0.022	   0.011	   0.224
     252	NGC4045   	 0.226	  -0.040	 0.021	 21.750	   6.000	 0.000	   0.209	  21.750	   0.143	  18.750	   0.135	  18.750	   0.245	  -0.044	   0.041	   0.225	  -0.036	   0.022	   0.208
     253	NGC4050   	 0.332	  -0.097	 0.016	 41.250	   0.000	 0.000	   0.217	  38.250	   0.276	  41.250	   0.187	  30.750	   0.324	  -0.049	   0.047	   0.257	  -0.061	   0.008	   0.148
     254	NGC4051   	 0.355	  -0.048	 0.031	 63.750	   0.000	 0.000	   0.230	  62.250	   0.180	  50.250	   0.140	  41.250	   0.339	  -0.065	   0.064	   0.341	  -0.061	   0.041	   0.235
     255	NGC4064   	 0.472	  -0.060	 0.012	  3.750	   0.000	 0.000	   0.465	   3.750	   0.471	   3.750	   0.465	   3.750	   0.463	  -0.032	   0.038	   0.145	  -0.025	   0.003	   0.110
     256	NGC4067   	 0.198	  -0.028	 0.018	  8.250	   0.000	 0.000	   0.187	   6.750	   0.194	   8.250	   0.185	   6.750	   0.168	  -0.037	   0.038	   0.122	  -0.017	   0.010	   0.107
     257	NGC4080   	 0.275	  -0.018	 0.007	  2.250	   0.000	 0.000	   0.174	   2.250	   0.271	   2.250	   0.172	   2.250	   0.256	  -0.024	   0.021	   0.168	  -0.025	   0.011	   0.055
     258	NGC4102   	 0.094	  -0.015	 0.009	 14.250	   1.500	 0.000	        	        	   0.074	  12.750	        	        	   0.080	  -0.020	   0.020	   0.090	  -0.013	   0.008	
     259	NGC4123   	 0.383	  -0.054	 0.033	 42.750	   0.000	 0.000	   0.329	  41.250	   0.341	  39.750	   0.297	  38.250	   0.389	  -0.073	   0.065	   0.309	  -0.040	   0.027	   0.256
     260	NGC4133   	 0.220	  -0.027	 0.017	 12.750	   0.000	 0.000	   0.169	   9.750	   0.200	  12.750	   0.160	   9.750	   0.198	  -0.037	   0.036	   0.155	  -0.015	   0.009	   0.106
     261	NGC4136   	 0.110	  -0.019	 0.013	 11.250	   0.000	 0.000	   0.098	  11.250	   0.152	  12.750	   0.134	  12.750	   0.110	  -0.025	   0.032	   0.064	  -0.007	   0.006	   0.055
     262	NGC4141   	 0.205	  -0.023	 0.011	  3.750	   0.000	 0.000	   0.131	   3.750	   0.220	   3.750	   0.140	   3.750	   0.181	  -0.028	   0.027	   0.100	  -0.012	   0.006	   0.046
     263	NGC4142   	 0.420	  -0.045	 0.022	  6.750	  -1.500	 0.000	   0.290	   3.750	   0.399	   6.750	   0.271	   6.750	   0.502	  -0.041	   0.026	   0.262	  -0.035	   0.017	   0.147
     264	NGC4151   	 0.098	  -0.042	 0.007	 65.250	   0.000	 0.000	        	        	   0.077	  63.750	        	        	   0.090	  -0.021	   0.021	   0.090	  -0.037	   0.006	
     265	NGC4158   	 0.083	  -0.024	 0.005	  5.250	   0.000	 0.000	   0.080	   5.250	   0.080	   5.250	   0.077	   5.250	   0.074	  -0.012	   0.014	   0.073	  -0.022	   0.004	   0.069
     266	NGC4165   	 0.091	        	 0.006	  8.250	        	 0.000	   0.075	   6.750	   0.069	   5.250	   0.061	   5.250	   0.088	        	   0.014	   0.117	  -0.008	   0.005	   0.076
     267	NGC4189   	 0.242	  -0.023	 0.016	 18.750	   0.000	 1.500	   0.181	  18.750	   0.149	   9.750	   0.135	   8.250	   0.229	  -0.030	   0.033	   0.229	  -0.021	   0.014	   0.178
     268	NGC4203   	 0.029	  -0.005	 0.001	 11.250	   0.000	 0.000	   0.029	  11.250	   0.025	  11.250	   0.024	  11.250	   0.029	  -0.003	   0.004	   0.025	  -0.005	   0.001	   0.024
     269	NGC4204   	 0.991	  -0.099	 0.053	 17.250	  -1.500	 0.000	   0.679	  11.250	   0.976	  17.250	   0.672	  11.250	   1.079	  -0.129	   0.127	   0.550	  -0.060	   0.027	   0.129
     270	NGC4210   	 0.306	  -0.034	 0.028	  8.250	  -1.500	 0.000	   0.278	   6.750	   0.300	   8.250	   0.274	   6.750	   0.289	  -0.040	   0.056	   0.163	  -0.019	   0.013	   0.134
     271	NGC4242   	 0.242	  -0.017	 0.008	 48.750	   0.000	 0.000	   0.172	  38.250	   0.173	  39.750	   0.150	  24.750	   0.234	  -0.023	   0.020	   0.240	  -0.019	   0.009	   0.153
     272	NGC4245   	 0.198	  -0.048	 0.008	 33.750	  -4.500	 0.000	   0.112	  23.250	   0.175	  27.750	   0.104	  21.750	   0.192	  -0.025	   0.024	   0.174	  -0.041	   0.007	   0.073
     273	NGC4250   	 0.240	  -0.065	 0.011	 45.750	   0.000	 0.000	        	        	   0.141	  33.750	        	        	   0.258	  -0.033	   0.026	   0.237	  -0.062	   0.010	
     274	NGC4262   	 0.076	  -0.021	 0.004	 11.250	   0.000	 0.000	        	        	   0.068	  11.250	        	        	   0.070	  -0.010	   0.013	   0.062	  -0.017	   0.003	
     275	NGC4267   	 0.038	  -0.024	 0.003	 14.250	   1.500	 0.000	   0.036	  14.250	   0.031	  12.750	   0.030	  12.750	   0.038	  -0.013	   0.014	   0.035	  -0.020	   0.004	   0.032
     276	NGC4276   	 0.465	  -0.022	 0.011	  2.250	   0.000	 0.000	   0.462	   2.250	   0.453	   2.250	   0.450	   2.250	   0.445	  -0.025	   0.026	   0.378	  -0.033	   0.014	   0.360
     277	NGC4288   	 0.561	  -0.028	 0.013	  6.750	   0.000	 0.000	   0.369	   3.750	   0.513	   5.250	   0.346	   3.750	   0.535	  -0.036	   0.034	   0.559	  -0.043	   0.019	   0.189
     278	NGC4293   	 0.320	  -0.068	 0.013	 48.750	   1.500	 0.000	   0.304	  48.750	   0.303	  59.250	   0.290	  48.750	   0.324	  -0.038	   0.042	   0.214	  -0.047	   0.006	   0.190
     279	NGC4303   	 0.535	  -0.074	 0.037	 42.750	   0.000	 1.500	        	        	   0.242	  32.250	        	        	   0.416	  -0.074	   0.085	   0.462	  -0.050	   0.021	
     280	NGC4309   	 0.153	  -0.066	 0.001	 23.250	   1.500	 0.000	   0.078	  14.250	   0.127	  17.250	   0.072	  11.250	   0.161	  -0.028	   0.024	   0.139	  -0.044	   0.006	   0.048
     281	NGC4314   	 0.448	  -0.133	 0.026	 51.750	  -1.500	-1.500	   0.310	  45.750	   0.436	  50.250	   0.303	  45.750	   0.447	  -0.076	   0.083	   0.279	  -0.072	   0.012	   0.139
     282	NGC4319   	 0.139	  -0.027	 0.006	 12.750	  -1.500	 0.000	        	        	   0.133	  12.750	        	        	   0.147	  -0.017	   0.019	   0.100	  -0.021	   0.005	
     283	NGC4321   	 0.320	  -0.051	 0.033	 65.250	   0.000	-1.500	   0.295	  63.750	   0.216	  59.250	   0.200	  59.250	   0.296	  -0.065	   0.068	   0.320	  -0.050	   0.033	   0.295
     284	NGC4336   	 0.374	  -0.043	 0.007	  2.250	   0.000	 0.000	   0.330	   2.250	   0.369	   2.250	   0.326	   2.250	   0.378	  -0.023	   0.030	   0.170	  -0.044	   0.007	   0.083
     285	NGC4371   	 0.234	  -0.095	 0.011	 54.750	   0.000	 0.000	   0.189	  50.250	   0.217	  51.750	   0.178	  48.750	   0.256	  -0.047	   0.040	   0.173	  -0.056	   0.008	   0.123
     286	NGC4385   	 0.209	  -0.018	 0.012	 27.750	  -1.500	 1.500	        	        	   0.178	  18.750	        	        	   0.201	  -0.023	   0.024	   0.197	  -0.018	   0.011	
     287	NGC4389   	 0.667	  -0.085	 0.034	 14.250	   0.000	 0.000	   0.644	  14.250	   0.662	  14.250	   0.639	  14.250	   0.524	        	   0.069	   0.391	  -0.032	   0.013	   0.335
     288	NGC4390   	 0.256	  -0.030	 0.014	  9.750	   0.000	 0.000	   0.228	   9.750	   0.226	   8.250	   0.214	   5.250	   0.227	  -0.021	   0.034	   0.151	  -0.008	   0.017	   0.129
     289	NGC4394   	 0.239	  -0.058	 0.011	 30.750	  -3.000	 0.000	   0.225	  29.250	   0.221	  29.250	   0.209	  27.750	   0.234	  -0.032	   0.039	   0.176	  -0.038	   0.006	   0.157
     290	NGC4405   	 0.222	  -0.046	 0.009	  5.250	  -1.500	 0.000	        	        	   0.193	   5.250	        	        	   0.213	  -0.024	   0.027	   0.152	  -0.037	   0.007	
     291	NGC4411A  	 0.552	  -0.066	 0.033	  3.750	   0.000	 0.000	   0.503	   3.750	   0.545	   3.750	   0.497	   3.750	   0.517	  -0.075	   0.079	   0.234	  -0.039	   0.018	   0.193
     292	NGC4412   	 0.439	  -0.066	 0.047	 14.250	   0.000	 0.000	   0.360	  14.250	   0.307	  11.250	   0.265	  11.250	   0.370	  -0.073	   0.091	   0.414	  -0.064	   0.044	   0.336
     293	NGC4416   	 0.623	  -0.049	 0.031	  3.750	  -1.500	 0.000	   0.590	   2.250	   0.556	   2.250	   0.533	   2.250	   0.619	  -0.056	   0.074	   0.451	  -0.048	   0.024	   0.399
     294	NGC4430   	 0.354	  -0.022	 0.012	  6.750	  -1.500	 0.000	   0.336	   5.250	   0.332	   5.250	   0.315	   5.250	   0.331	  -0.025	   0.027	   0.280	  -0.020	   0.009	   0.230
     295	NGC4449   	 0.489	  -0.047	 0.019	 21.750	   0.000	 0.000	   0.484	  21.750	   0.465	  21.750	   0.461	  21.750	   0.418	  -0.044	   0.054	   0.266	  -0.012	   0.004	   0.256
     296	NGC4450   	 0.142	  -0.026	 0.006	 36.750	  -1.500	 0.000	   0.131	  35.250	   0.131	  35.250	   0.121	  35.250	   0.139	  -0.017	   0.018	   0.123	  -0.026	   0.004	   0.109
     297	NGC4454   	 0.161	  -0.035	 0.006	 20.250	   0.000	 0.000	   0.106	  17.250	   0.138	  18.750	   0.094	  17.250	   0.160	  -0.019	   0.018	   0.160	  -0.036	   0.006	   0.093
     298	NGC4457   	 0.092	  -0.019	 0.002	 30.750	  -1.500	 0.000	        	        	   0.065	  26.250	        	        	   0.102	  -0.012	   0.013	   0.091	  -0.019	   0.004	
     299	NGC4462   	 0.210	  -0.076	 0.012	 26.250	   1.500	 0.000	   0.166	  26.250	   0.202	  26.250	   0.159	  24.750	   0.190	  -0.038	   0.038	   0.143	  -0.036	   0.005	   0.101
     300	NGC4487   	 0.241	  -0.021	 0.011	  6.750	  -3.000	 0.000	   0.236	   6.750	   0.220	   3.750	   0.218	   3.750	   0.221	  -0.017	   0.025	   0.184	  -0.018	   0.009	   0.177
     301	NGC4491   	 0.201	  -0.062	 0.009	 12.750	   1.500	 0.000	        	        	   0.168	  12.750	        	        	   0.199	  -0.031	   0.027	   0.162	  -0.043	   0.006	
     302	NGC4498   	 0.563	  -0.059	 0.027	 24.750	   0.000	 0.000	   0.397	  23.250	   0.456	  23.250	        	        	   0.465	  -0.048	   0.071	   0.496	  -0.050	   0.022	   0.325
     303	NGC4502   	 0.321	  -0.021	 0.009	  5.250	   0.000	 0.000	   0.242	   3.750	   0.314	   5.250	   0.237	   3.750	   0.307	  -0.027	   0.023	   0.208	  -0.023	   0.010	   0.122
     304	NGC4503   	 0.088	  -0.032	 0.004	 47.250	   4.500	-1.500	        	        	   0.074	  41.250	        	        	   0.084	  -0.015	   0.012	   0.084	  -0.026	   0.003	
     305	NGC4504   	 0.098	  -0.009	 0.005	  9.750	   0.000	 0.000	   0.090	   9.750	   0.093	   9.750	   0.085	   9.750	   0.088	  -0.005	   0.011	   0.123	  -0.014	   0.007	   0.100
     306	NGC4519   	 0.406	  -0.029	 0.014	  8.250	   0.000	 0.000	   0.395	   8.250	   0.393	   3.750	   0.389	   3.750	   0.384	  -0.013	   0.034	   0.379	  -0.036	   0.017	   0.344
     307	NGC4525   	 0.371	  -0.024	 0.016	  6.750	   0.000	 0.000	   0.328	   6.750	   0.342	   6.750	   0.302	   6.750	   0.343	  -0.032	   0.029	   0.255	  -0.024	   0.010	   0.191
     308	NGC4528   	 0.281	  -0.036	 0.007	  2.250	   0.000	 0.000	        	        	   0.281	   2.250	        	        	   0.264	  -0.017	   0.020	   0.110	  -0.027	   0.005	
     309	NGC4534   	 0.203	  -0.023	 0.011	  6.750	   0.000	 0.000	   0.140	   6.750	   0.177	   6.750	   0.123	   6.750	   0.162	  -0.022	   0.026	   0.154	  -0.017	   0.008	   0.092
