#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:14 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:14	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/587/A160/tablea3&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_587_A160_tablea3:
#Name: J/A+A/587/A160/tablea3
#Title: Bar intrinsic ellipticity and parameters from the Fourier dissection of bars
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;meta.main]
#Column	Ell	(F8.3)	? Bar intrinsic ellipticity	[ucd=src.ellipticity]
#Column	A2	(F6.3)	? Bar maximum normalized m=2 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA2	(F7.3)	? Bar maximum normalized m=2 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A4	(F8.3)	? Bar maximum normalized m=4 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA4	(F8.3)	? Bar maximum normalized m=4 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A6	(F8.3)	? Bar maximum normalized m=6 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA6	(F8.3)	? Bar maximum normalized m=6 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A8	(F8.3)	? Bar maximum normalized m=8 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA8	(F8.3)	? Bar maximum normalized m=8 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A2rbar	(F8.3)	? Normalized m=2 Fourier amplitude evaluated at the end of the bar	[ucd=src.var.amplitude]
recno	Galaxy	Ell	A2	RA2	A4	RA4	A6	RA6	A8	RA8	A2rbar
     469	NGC7421   	   0.635	 0.338	 12.750	   0.170	  14.250	   0.105	  12.750	   0.055	  15.750	   0.266
     470	NGC7424   	   0.672	 0.568	 11.250	   0.221	  11.250	   0.104	  11.250	   0.063	  11.250	   0.284
     471	NGC7437   	   0.266	 0.089	  5.250	        	        	        	        	        	        	   0.076
     472	NGC7479   	   0.683	 0.870	 45.750	   0.602	  45.750	   0.404	  45.750	   0.273	  45.750	   0.813
     473	NGC7496   	   0.770	 0.708	 38.250	   0.397	  36.750	   0.230	  36.750	   0.156	  36.750	   0.704
     474	NGC7513   	   0.715	 0.702	 26.250	   0.379	  30.750	   0.237	  29.250	   0.213	  26.250	   0.494
     475	NGC7531   	   0.428	 0.550	 29.250	   0.188	  30.750	        	        	        	        	   0.483
     476	NGC7552   	   0.633	 1.060	 45.750	   0.654	  45.750	   0.521	  47.250	   0.338	  48.750	   0.983
     477	NGC7582   	   0.567	 0.934	 51.750	   0.555	  51.750	   0.338	  51.750	   0.220	  54.750	   0.460
     478	NGC7661   	   0.487	 0.330	 12.750	   0.091	  14.250	        	        	        	        	   0.263
     479	NGC7689   	   0.574	 0.192	  6.750	        	        	        	        	        	        	   0.187
     480	NGC7723   	   0.583	 0.382	 15.750	   0.184	  15.750	   0.111	  15.750	   0.067	  17.250	   0.214
     481	NGC7724   	   0.505	 0.355	 12.750	   0.112	  12.750	        	        	        	        	   0.334
     482	NGC7731   	   0.418	 0.592	  9.750	        	        	        	        	        	        	   0.592
     483	NGC7741   	   0.724	 0.626	 29.250	   0.287	  29.250	        	        	        	        	   0.495
     484	NGC7743   	   0.519	 0.349	 39.750	   0.165	  41.250	        	        	        	        	   0.348
     485	NGC7750   	   0.700	 0.315	  3.750	        	        	        	        	        	        	   0.155
     486	NGC7755   	   0.733	 0.841	 39.750	   0.437	  41.250	   0.286	  41.250	   0.178	  42.750	   0.840
     487	NGC7757   	        	 0.176	  5.250	        	        	        	        	        	        	   0.359
     488	NGC7798   	   0.423	 0.244	  8.250	        	        	        	        	        	        	   0.138
     489	NGC7800   	   0.395	 0.476	 12.750	   0.185	  12.750	        	        	        	        	
     490	PGC002492 	   0.224	 0.168	  9.750	        	        	        	        	        	        	   0.145
     491	PGC003853 	   0.577	 0.386	 14.250	   0.180	  15.750	   0.108	  15.750	        	        	   0.236
     492	PGC006244 	   0.525	 0.351	 20.250	        	        	        	        	        	        	
     493	PGC006626 	   0.530	 0.331	 14.250	        	        	        	        	        	        	   0.288
     494	PGC006667 	   0.582	 0.327	  6.750	   0.034	  15.750	        	        	        	        	   0.328
     495	PGC011248 	   0.720	 0.647	 14.250	   0.293	  12.750	   0.152	  14.250	   0.103	  14.250	   0.430
     496	PGC011677 	        	 0.467	 14.250	        	        	        	        	        	        	
     497	PGC012068 	   0.663	 0.513	  9.750	   0.211	   9.750	        	        	        	        	   0.496
     498	PGC012633 	   0.507	 0.240	 12.750	        	        	        	        	        	        	   0.237
     499	PGC012664 	   0.708	 0.412	  5.250	   0.141	   6.750	        	        	        	        	   0.382
     500	PGC013684 	        	 0.355	  8.250	   0.116	   9.750	        	        	        	        	   0.267
     501	PGC014037 	   0.316	 0.163	 11.250	        	        	        	        	        	        	   0.062
     502	PGC015214 	        	 0.254	  8.250	        	        	        	        	        	        	
     503	PGC015869 	   0.570	 0.254	  5.250	   0.066	   5.250	        	        	        	        	   0.253
     504	PGC016090 	        	 0.304	 11.250	        	        	        	        	        	        	   0.326
     505	PGC016784 	   0.716	 0.523	 21.750	        	        	        	        	        	        	   0.507
     506	PGC027616 	   0.499	 0.337	  8.250	        	        	        	        	        	        	   0.123
     507	PGC027833 	   0.416	 0.208	  5.250	   0.078	   5.250	        	        	        	        	   0.175
     508	PGC028380 	   0.584	 0.466	  8.250	   0.174	   9.750	   0.074	   8.250	        	        	   0.408
     509	PGC031979 	        	 0.217	  8.250	        	        	        	        	        	        	   0.117
     510	PGC036217 	   0.632	 0.345	  6.750	   0.138	   8.250	   0.094	   8.250	        	        	   0.298
     511	PGC043020 	        	 0.181	 18.750	        	        	        	        	        	        	   0.114
     512	PGC043345 	   0.636	 0.289	 17.250	   0.173	  15.750	        	        	        	        	   0.247
     513	PGC043458 	   0.368	 0.155	  5.250	        	        	        	        	        	        	   0.077
     514	PGC044906 	   0.617	 0.687	 21.750	        	        	        	        	        	        	   0.627
     515	PGC048087 	   0.383	 0.198	  6.750	   0.009	   6.750	        	        	        	        	   0.189
     516	PGC048179 	   0.674	 0.395	 24.750	   0.194	  27.750	        	        	        	        	   0.371
     517	PGC051523 	        	 0.538	  9.750	   0.179	   9.750	        	        	        	        	   0.422
     518	PGC053093 	   0.613	 0.423	  5.250	   0.143	   5.250	   0.076	   6.750	        	        	   0.273
     519	PGC053134 	        	 0.548	 11.250	   0.270	   8.250	        	        	        	        	   0.541
     520	PGC053779 	   0.551	 0.145	  5.250	        	        	        	        	        	        	   0.129
     521	PGC054944 	   0.644	 0.318	  5.250	   0.166	  11.250	        	        	        	        	   0.329
     522	PGC066242 	   0.379	 0.204	  8.250	   0.122	  14.250	        	        	        	        	   0.172
     523	PGC067871 	   0.631	 0.532	 11.250	   0.251	  12.750	        	        	        	        	   0.261
     524	PGC069448 	   0.621	 0.419	 14.250	   0.183	  14.250	        	        	        	        	   0.376
     525	PGC072252 	        	 0.191	  5.250	   0.011	   2.250	        	        	        	        	   0.344
     526	UGC00099  	        	 0.253	  9.750	        	        	        	        	        	        	   0.226
     527	UGC00313  	   0.814	 0.173	  6.750	        	        	        	        	        	        	   0.164
     528	UGC01020  	   0.285	 0.303	  8.250	        	        	        	        	        	        	   0.294
     529	UGC01551  	   0.663	 0.354	 14.250	   0.087	  14.250	        	        	        	        	   0.286
     530	UGC03070  	   0.418	 0.244	  6.750	   0.068	   8.250	        	        	        	        	   0.236
     531	UGC04499  	   0.462	 0.393	 17.250	        	        	        	        	        	        	   0.363
     532	UGC04621  	   0.461	 0.434	 14.250	   0.137	  11.250	        	        	        	        	   0.427
     533	UGC04834  	   0.412	 0.094	  5.250	   0.033	   5.250	        	        	        	        	   0.064
     534	UGC04841  	   0.643	 0.230	  8.250	   0.090	  12.750	        	        	        	        	   0.247
     535	UGC04867  	   0.690	 0.491	  5.250	   0.174	   6.750	        	        	        	        	   0.192
     536	UGC04922  	   0.383	 0.160	 15.750	        	        	        	        	        	        	   0.091
     537	UGC04988  	   0.540	 0.238	 11.250	        	        	        	        	        	        	   0.236
     538	UGC05004  	   0.411	 0.180	  6.750	        	        	        	        	        	        	   0.144
     539	UGC05015  	   0.270	 0.139	  8.250	        	        	        	        	        	        	   0.127
     540	UGC05358  	        	 0.596	 11.250	        	        	        	        	        	        	   0.523
     541	UGC05393  	        	 0.309	 12.750	        	        	        	        	        	        	   0.227
     542	UGC05633  	   0.720	 0.630	 12.750	   0.236	  11.250	        	        	        	        	   0.282
     543	UGC05676  	   0.646	 0.242	  8.250	   0.107	   8.250	        	        	        	        	   0.240
     544	UGC05814  	        	 0.237	  9.750	        	        	        	        	        	        	   0.235
     545	UGC05832  	   0.628	 0.490	  6.750	   0.176	   5.250	        	        	        	        	   0.409
     546	UGC05841  	   0.430	 0.463	 12.750	   0.187	  12.750	   0.105	  12.750	        	        	   0.294
     547	UGC05922  	   0.437	 0.279	 11.250	   0.045	  11.250	        	        	        	        	   0.235
     548	UGC06157  	   0.409	 0.438	 12.750	   0.161	  12.750	        	        	        	        	   0.177
     549	UGC06271  	        	 0.397	  9.750	   0.073	   9.750	        	        	        	        	   0.396
     550	UGC06309  	   0.761	 0.566	  8.250	   0.232	   9.750	   0.131	   9.750	        	        	   0.465
     551	UGC06816  	   0.725	 0.648	 17.250	        	        	        	        	        	        	   0.456
     552	UGC06903  	        	 0.406	 14.250	        	        	        	        	        	        	   0.333
     553	UGC06917  	        	 0.338	  8.250	        	        	        	        	        	        	   0.152
     554	UGC06930  	        	 0.265	  8.250	   0.086	   8.250	        	        	        	        	   0.147
     555	UGC06931  	   0.615	 0.303	  9.750	        	        	        	        	        	        	   0.298
     556	UGC06983  	   0.559	 0.462	  9.750	   0.146	  11.250	        	        	        	        	   0.263
     557	UGC07129  	   0.478	 0.393	  9.750	   0.162	   9.750	   0.070	   9.750	   0.044	   9.750	   0.250
     558	UGC07133  	   0.637	 0.326	  6.750	   0.108	   8.250	        	        	        	        	   0.274
     559	UGC07189  	        	 0.536	  8.250	   0.231	   9.750	   0.154	  12.750	   0.058	   9.750	   0.340
     560	UGC07239  	   0.575	 0.315	 11.250	   0.098	  12.750	        	        	        	        	   0.270
     561	UGC07590  	        	 0.327	  6.750	        	        	        	        	        	        	   0.298
     562	UGC07612  	   0.563	 0.326	 21.750	        	        	        	        	        	        	   0.305
     563	UGC07700  	   0.481	 0.370	 26.250	   0.173	  26.250	        	        	        	        	   0.298
     564	UGC07848  	   0.451	 0.257	  9.750	        	        	        	        	        	        	   0.092
     565	UGC07911  	        	 0.446	 21.750	        	        	        	        	        	        	   0.363
     566	UGC07943  	   0.435	 0.275	  8.250	   0.106	   6.750	        	        	        	        	   0.236
     567	UGC08041  	   0.667	 0.364	 15.750	        	        	        	        	        	        	   0.157
     568	UGC08385  	   0.444	 0.323	 21.750	        	        	        	        	        	        	   0.247
     569	UGC08588  	        	 0.138	  9.750	        	        	        	        	        	        	   0.132
     570	UGC08597  	   0.737	 0.682	  9.750	   0.250	   6.750	   0.115	   6.750	   0.085	   8.250	   0.638
     571	UGC08658  	   0.171	 0.157	 11.250	   0.072	   8.250	        	        	        	        	   0.147
     572	UGC08909  	   0.435	 0.123	  5.250	        	        	        	        	        	        	   0.108
     573	UGC09215  	   0.767	 0.820	 11.250	   0.406	  11.250	   0.215	   9.750	   0.124	   9.750	   0.430
     574	UGC09291  	   0.417	 0.158	  6.750	   0.049	   6.750	        	        	        	        	   0.144
     575	UGC09569  	   0.618	 0.463	  5.250	   0.139	   5.250	   0.072	   6.750	   0.027	   6.750	   0.383
     576	UGC09601  	   0.668	 0.362	 11.250	   0.113	   9.750	        	        	        	        	   0.290
     577	UGC09661  	   0.699	 0.437	  5.250	   0.197	   8.250	        	        	        	        	   0.362
     578	UGC09837  	        	 0.146	  3.750	        	        	        	        	        	        	   0.076
     579	UGC09875  	        	 0.157	  5.250	        	        	        	        	        	        	   0.092
     580	UGC10041  	        	 0.338	 20.250	        	        	        	        	        	        	   0.301
     581	UGC10054  	   0.725	 0.574	 17.250	   0.229	  15.750	   0.127	  18.750	        	        	   0.408
     582	UGC10290  	   0.572	 0.274	  9.750	   0.143	   9.750	   0.084	   8.250	   0.058	  11.250	   0.274
     583	UGC10791  	   0.680	 0.360	 11.250	        	        	        	        	        	        	   0.357
     584	UGC11782  	        	 0.687	 36.750	        	        	        	        	        	        	   0.670
     585	UGC12151  	   0.517	 0.290	  8.250	        	        	        	        	        	        	   0.243
     586	UGC12707  	   0.631	 0.408	  6.750	        	        	        	        	        	        	   0.400
     587	UGC12709  	   0.380	 0.175	 11.250	        	        	        	        	        	        	   0.167

