#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:29:00 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:29:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/582/A86/table2&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35820086
#Name: J/A+A/582/A86
#Title: Catalogue of features in the S4G (Herrera-Endoqui+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	creator=Herrera-Endoqui M.	    First author or institution
#INFO	cites=bibcode:2015A&A...582A..86H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/582/A86	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35820086	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-04-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_582_A86_table2:
#Name: J/A+A/582/A86/table2
#Title: Properties of bars, ring- and lens-structures in the S4G
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Class	(a27)	Morphological classification	[ucd=src.morph]
#Column	Type	(a5)	Type of feature (1)	[ucd=src.morph.type]
#Column	sma	(F5.1)	Semi-major axis	[ucd=phys.angSize;src]
#Column	PA	(I3)	Position angle	[ucd=pos.posAng]
#Column	Ell	(F7.2)	? Ellipticity	[ucd=src.ellipticity]
#Column	smaEll	(F6.1)	? Semi-major axis from ellipticity	[ucd=phys.angSize;src]
#Column	dsma	(F6.1)	? Deprojected semi-major axis	[ucd=phys.angSize;src]
#Column	dPA	(I4)	? Deprojected position angle	[ucd=pos.posAng]
#Column	dEll	(F7.2)	? Deprojected ellipticity	[ucd=src.ellipticity]
#Column	dsmaEll	(F6.1)	? Deprojexted semi-major axis from Ell	[ucd=phys.angSize;src]
#Column	Qual	(I1)	[1/3] Quality flag (2)	[ucd=meta.code.qual]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Name	Class	Type	sma	PA	Ell	smaEll	dsma	dPA	dEll	dsmaEll	Qual	Simbad	_RA	_DE
    1145	NGC4250   	(R1)SAB(rl,nl!)0+          	nl   	  9.1	 11	   0.01	      	  10.4	   9	   0.13	      	1	Simbad	184.35923	+70.80250
    1146	NGC4250   	(R1)SAB(rl,nl!)0+          	rl   	 47.7	167	   0.32	      	  53.7	 172	   0.39	      	1	Simbad	184.35923	+70.80250
    1147	NGC4250   	(R1)SAB(rl,nl!)0+          	R1   	 94.9	 87	   0.14	      	  96.8	  57	   0.06	      	3	Simbad	184.35923	+70.80250
    1148	NGC4258   	(R'L)SAB(rs,nb)_ab         	bar  	 96.8	  2	       	      	      	    	       	      	3	Simbad	184.74008	+47.30372
    1149	NGC4258   	(R'L)SAB(rs,nb)_ab         	nb   	 26.6	139	       	      	      	    	       	      	3	Simbad	184.74008	+47.30372
    1150	NGC4258   	(R'L)SAB(rs,nb)_ab         	rs   	182.5	155	   0.64	      	 326.2	 210	   0.55	      	1	Simbad	184.74008	+47.30372
    1151	NGC4258   	(R'L)SAB(rs,nb)_ab         	R'L  	483.1	152	   0.67	      	 774.9	 207	   0.49	      	3	Simbad	184.74008	+47.30372
    1152	NGC4260   	SBx(rs_)a                  	bar  	 28.9	 34	       	      	      	    	       	      	1	Simbad	184.84270	+06.09880
    1153	NGC4260   	SBx(rs_)a                  	rs_  	 33.2	 51	   0.47	      	  46.3	 -20	   0.30	      	1	Simbad	184.84270	+06.09880
    1154	NGC4262   	(L)SBa(l,bl)0-o            	bar  	 13.4	 18	   0.31	  13.1	  14.0	  25	   0.30	  13.7	1	Simbad	184.87742	+14.87772
    1155	NGC4262   	(L)SBa(l,bl)0-o            	bl   	  9.6	132	   0.14	      	   9.9	 112	   0.11	      	1	Simbad	184.87742	+14.87772
    1156	NGC4262   	(L)SBa(l,bl)0-o            	l    	 28.9	137	   0.16	      	  29.5	 121	   0.11	      	1	Simbad	184.87742	+14.87772
    1157	NGC4262   	(L)SBa(l,bl)0-o            	L    	 50.3	146	   0.14	      	  50.7	 132	   0.07	      	1	Simbad	184.87742	+14.87772
    1158	NGC4267   	(L)SAB0-                   	bar  	 16.9	 34	   0.20	  18.0	  17.2	  33	   0.22	  18.5	1	Simbad	184.93864	+12.79825
    1159	NGC4267   	(L)SAB0-                   	L    	 84.4	139	   0.10	      	  84.7	 143	   0.09	      	1	Simbad	184.93864	+12.79825
    1160	NGC4268   	S_AB(_rs)0+:,sp            	_rs  	 23.1	 45	   0.72	      	  23.1	  46	   0.43	      	1	Simbad	184.94676	+05.28365
    1161	NGC4273   	SABa(s)c,pec               	bar  	 10.4	 31	   0.35	   8.5	  13.0	  69	   0.31	  10.5	1	Simbad	184.98360	+05.34337
    1162	NGC4274   	(R)SA_B(r,nr)0/a           	bar  	 28.1	 14	       	      	      	    	       	      	3	Simbad	184.96110	+29.61470
    1163	NGC4274   	(R)SA_B(r,nr)0/a           	nr   	  7.9	 98	   0.67	      	   8.3	  60	   0.10	      	1	Simbad	184.96110	+29.61470
    1164	NGC4274   	(R)SA_B(r,nr)0/a           	r    	 80.9	100	   0.65	      	  83.5	  37	   0.04	      	1	Simbad	184.96110	+29.61470
    1165	NGC4274   	(R)SA_B(r,nr)0/a           	R    	178.2	100	   0.73	      	 178.3	  98	   0.21	      	1	Simbad	184.96110	+29.61470
    1166	NGC4276   	SB(s)dm                    	bar  	 11.0	101	   0.50	  13.3	  13.5	 101	   0.59	  16.3	1	Simbad	185.03122	+07.69187
    1167	NGC4286   	d(RL_)SA(l)0o,N/Sph        	l    	 13.5	155	   0.11	      	  19.4	 241	   0.30	      	2	Simbad	185.17537	+29.34587
    1168	NGC4286   	d(RL_)SA(l)0o,N/Sph        	RL_  	 30.3	167	   0.30	      	  36.5	 220	   0.22	      	1	Simbad	185.17537	+29.34587
    1169	NGC4288   	SB(s)d_m                   	bar  	 15.4	 10	   0.67	  24.2	  17.3	  16	   0.69	  27.0	1	Simbad	185.15883	+46.29102
    1170	NGC4293   	(_RL)SBx(rs_)0/a           	bar  	 78.1	 75	   0.75	  70.6	  85.1	  93	   0.54	  76.8	1	Simbad	185.30371	+18.38240
    1171	NGC4293   	(_RL)SBx(rs_)0/a           	rs_  	 72.8	 75	   0.67	      	  80.5	  98	   0.42	      	1	Simbad	185.30371	+18.38240
    1172	NGC4293   	(_RL)SBx(rs_)0/a           	_RL  	153.8	 67	   0.49	      	 170.0	 130	   0.12	      	1	Simbad	185.30371	+18.38240
    1173	NGC4294   	SB(s)d                     	bar  	 14.3	146	   0.79	  19.5	  15.0	 133	   0.52	  19.5	2	Simbad	185.32411	+11.51111
    1174	NGC4298   	(R')SA(rs)bc               	R'   	 61.3	141	   0.55	      	  65.1	 162	   0.30	      	1	Simbad	185.38649	+14.60613
    1175	NGC4298   	(R')SA(rs)bc               	rs   	 13.6	148	   0.42	      	  16.3	 187	   0.29	      	1	Simbad	185.38649	+14.60613
    1176	NGC4303   	SAB(rs,nl)b_c              	bar  	 36.1	178	   0.69	  54.0	  37.7	   2	   0.68	  56.3	1	Simbad	185.47886	+04.47377
    1177	NGC4303   	SAB(rs,nl)b_c              	nl   	  4.4	  6	   0.03	      	   4.9	 227	   0.11	      	1	Simbad	185.47886	+04.47377
    1178	NGC4303   	SAB(rs,nl)b_c              	rs   	 46.2	 75	   0.18	      	  51.4	  67	   0.26	      	1	Simbad	185.47886	+04.47377
    1179	NGC4309   	SAB(_rl)0o+                	bar  	 18.7	 50	   0.48	  19.7	  28.5	  24	   0.59	  24.0	1	Simbad	185.55145	+07.14439
    1180	NGC4309   	SAB(_rl)0o+                	_rl  	 36.8	 88	   0.48	      	  38.0	  58	   0.11	      	1	Simbad	185.55145	+07.14439
    1181	NGC4310   	SA(rs)a                    	rs   	 13.5	156	   0.67	      	  13.5	 152	   0.28	      	1	Simbad	185.60956	+29.20867
    1182	NGC4313   	(R')SB(s)0/_a,sp           	bar  	 13.0	139	       	      	      	    	       	      	2	Simbad	185.66049	+11.80088
    1183	NGC4313   	(R')SB(s)0/_a,sp           	R'   	 38.2	142	   0.83	      	  38.5	 150	   0.30	      	1	Simbad	185.66049	+11.80088
    1184	NGC4314   	(R'1)SB(rl_,bl,nr)a        	bar  	 72.6	146	   0.64	  67.9	  77.4	 146	   0.66	  72.4	1	Simbad	185.63324	+29.89530
    1185	NGC4314   	(R'1)SB(rl_,bl,nr)a        	bl   	 37.4	146	   0.26	      	  39.9	 -34	   0.30	      	1	Simbad	185.63324	+29.89530
    1186	NGC4314   	(R'1)SB(rl_,bl,nr)a        	nr   	  7.0	137	   0.22	      	   7.4	 138	   0.27	      	1	Simbad	185.63324	+29.89530
    1187	NGC4314   	(R'1)SB(rl_,bl,nr)a        	R1'  	112.1	 60	   0.18	      	 112.3	  64	   0.13	      	1	Simbad	185.63324	+29.89530
    1188	NGC4314   	(R'1)SB(rl_,bl,nr)a        	rl_  	 76.3	160	   0.25	      	  80.9	 -22	   0.29	      	1	Simbad	185.63324	+29.89530
    1189	NGC4319   	(R')SAB(_rs)a,pec          	bar  	 19.1	160	   0.51	  18.0	  19.3	 166	   0.40	  18.4	1	Simbad	185.43269	+75.32262
    1190	NGC4319   	(R')SAB(_rs)a,pec          	R'   	 72.9	143	   0.25	      	  74.0	 121	   0.07	      	2	Simbad	185.43269	+75.32262
    1191	NGC4319   	(R')SAB(_rs)a,pec          	_rs  	 34.1	135	   0.44	      	  35.1	 125	   0.32	      	2	Simbad	185.43269	+75.32262
    1192	NGC4321   	SAB(rs,nr,nb)bc            	bar  	 59.2	108	   0.59	  54.6	  67.2	 100	   0.62	  62.0	1	Simbad	185.72888	+15.82230
    1193	NGC4321   	SAB(rs,nr,nb)bc            	nb   	  7.9	115	   0.60	  66.6	   8.8	 107	   0.62	  75.6	1	Simbad	185.72888	+15.82230
    1194	NGC4321   	SAB(rs,nr,nb)bc            	nr   	  8.4	109	   0.30	      	   9.6	  95	   0.35	      	1	Simbad	185.72888	+15.82230
    1195	NGC4321   	SAB(rs,nr,nb)bc            	rs   	 64.5	100	   0.31	      	  75.5	  89	   0.39	      	1	Simbad	185.72888	+15.82230
    1196	NGC4324   	(L)SA(r)0+                 	L    	 81.8	 52	   0.63	      	  82.7	  39	   0.18	      	1	Simbad	185.77573	+05.25034
    1197	NGC4324   	(L)SA(r)0+                 	r    	 21.5	 53	   0.55	      	  22.8	  -4	   0.08	      	1	Simbad	185.77573	+05.25034
    1198	NGC4330   	SA_B(s)d,sp                	bar  	 14.9	 66	       	      	      	    	       	      	3	Simbad	185.82187	+11.36798
    1199	NGC4331   	SB(s)m,sp                  	bar  	 12.1	 13	       	      	      	    	       	      	3	Simbad	185.64933	+76.17331
    1200	NGC4336   	SAB(r)_0/a                 	bar  	  9.8	101	   0.37	   8.5	  15.6	  84	   0.58	  13.6	1	Simbad	185.87430	+19.42703
    1201	NGC4336   	SAB(r)_0/a                 	r    	 14.4	171	   0.37	      	  16.2	 222	   0.16	      	1	Simbad	185.87430	+19.42703
    1202	NGC4343   	(R')SAB(r)0/_a,sp/E2       	bar  	  6.6	154	       	      	      	    	       	      	2	Simbad	185.91121	+06.95394
    1203	NGC4343   	(R')SAB(r)0/_a,sp/E2       	r    	 13.7	129	   0.79	      	  13.7	 129	   0.39	      	1	Simbad	185.91121	+06.95394
    1204	NGC4343   	(R')SAB(r)0/_a,sp/E2       	R'   	 26.8	128	   0.81	      	  26.9	 123	   0.45	      	1	Simbad	185.91121	+06.95394
    1205	NGC4344   	SA(r)0+[c]/Sph             	r    	  9.5	156	   0.12	      	  10.8	 -28	   0.22	      	1	Simbad	185.90604	+17.54089
    1206	NGC4348   	SB(rs_)bc,sp               	bar  	  9.1	 52	       	      	      	    	       	      	2	Simbad	185.97484	-03.44291
    1207	NGC4348   	SB(rs_)bc,sp               	rs_  	 21.0	 32	   0.80	      	  22.4	   1	   0.23	      	3	Simbad	185.97484	-03.44291
    1208	NGC4351   	(RL,R')SAB(s)dm            	bar  	 15.6	 89	       	      	      	    	       	      	2	Simbad	186.00650	+12.20502
    1209	NGC4351   	(RL,R')SAB(s)dm            	R'   	 36.5	 75	   0.45	      	  38.5	  94	   0.26	      	3	Simbad	186.00650	+12.20502
    1210	NGC4351   	(RL,R')SAB(s)dm            	RL   	 87.6	 67	   0.30	      	  93.5	 124	   0.08	      	1	Simbad	186.00650	+12.20502
    1211	NGC4355   	(RL)S_AB(l)_0/a            	l    	 16.6	 66	   0.49	      	  17.5	 112	   0.09	      	1	Simbad	186.72762	-00.87764
    1212	NGC4355   	(RL)S_AB(l)_0/a            	RL   	 37.1	 61	   0.51	      	  37.4	  35	   0.03	      	1	Simbad	186.72762	-00.87764
    1213	NGC4359   	SB(s)m:,sp_bar             	bar  	 28.5	109	       	      	      	    	       	      	3	Simbad	186.04608	+31.52161
    1214	NGC4369   	(R)SB(rs_)0/a[m]:,pec      	bar  	  8.7	157	   0.63	   8.0	   8.9	 158	   0.63	   8.1	2	Simbad	186.15085	+39.38298
    1215	NGC4369   	(R)SB(rs_)0/a[m]:,pec      	R    	 47.2	139	   0.19	      	  47.7	 142	   0.18	      	2	Simbad	186.15085	+39.38298
    1216	NGC4369   	(R)SB(rs_)0/a[m]:,pec      	rs_  	  8.0	 32	   0.05	      	   8.2	  25	   0.07	      	2	Simbad	186.15085	+39.38298
    1217	NGC4371   	(L)SBa(r,bl,nr)0o+         	bar  	 36.6	157	   0.25	  33.8	  69.3	 172	   0.60	  64.0	1	Simbad	186.23096	+11.70429
    1218	NGC4371   	(L)SBa(r,bl,nr)0o+         	L    	147.3	 90	   0.56	      	 148.6	 103	   0.16	      	1	Simbad	186.23096	+11.70429
    1219	NGC4371   	(L)SBa(r,bl,nr)0o+         	nr   	 10.0	 91	   0.51	      	  10.2	 117	   0.09	      	1	Simbad	186.23096	+11.70429
    1220	NGC4371   	(L)SBa(r,bl,nr)0o+         	r    	 64.2	 91	   0.53	      	  65.5	 113	   0.12	      	1	Simbad	186.23096	+11.70429
    1221	NGC4371   	(L)SBa(r,bl,nr)0o+         	bl   	 31.2	 91	   0.29	      	  43.3	 174	   0.28	      	1	Simbad	186.23096	+11.70429
    1222	NGC4378   	(R')SA(l)a                 	l    	 47.2	158	   0.18	      	  48.6	 128	   0.08	      	1	Simbad	186.32532	+04.92502
    1223	NGC4378   	(R')SA(l)a                 	R'   	 89.5	168	   0.23	      	  89.6	 165	   0.09	      	1	Simbad	186.32532	+04.92502
    1224	NGC4380   	(R)SA(r,l)ab               	l    	 20.7	158	   0.44	      	  21.4	 222	   0.04	      	1	Simbad	186.34241	+10.01671
    1225	NGC4380   	(R)SA(r,l)ab               	r    	 27.1	158	   0.41	      	  29.3	 236	   0.08	      	1	Simbad	186.34241	+10.01671
    1226	NGC4380   	(R)SA(r,l)ab               	R    	 61.1	156	   0.49	      	  61.1	 151	   0.07	      	1	Simbad	186.34241	+10.01671
    1227	NGC4384   	(L)SB(rs)dm                	bar  	  5.9	143	   0.40	   3.8	   7.3	 153	   0.49	   4.7	2	Simbad	186.30005	+54.50613
    1228	NGC4384   	(L)SB(rs)dm                	L    	 35.0	 80	   0.27	      	  35.1	  74	   0.08	      	1	Simbad	186.30005	+54.50613
    1229	NGC4384   	(L)SB(rs)dm                	rs   	  8.5	 73	   0.46	      	   8.6	  66	   0.33	      	1	Simbad	186.30005	+54.50613
    1230	NGC4385   	SA_B(rs)ab                 	bar  	 24.8	103	   0.62	  29.1	  29.9	 124	   0.51	  33.5	1	Simbad	186.42838	+00.57258
    1231	NGC4385   	SA_B(rs)ab                 	rs   	 29.4	 83	   0.34	      	  33.7	 149	   0.14	      	3	Simbad	186.42838	+00.57258
    1232	NGC4388   	SA(rs)_ab:,sp              	rs   	 36.4	 88	   0.83	      	  37.1	  76	   0.39	      	1	Simbad	186.44508	+12.66207
    1233	NGC4389   	SB(rs)a[d]                 	bar  	 42.5	104	   0.82	  41.4	  43.1	 108	   0.73	  42.1	1	Simbad	186.39624	+45.68467
    1234	NGC4389   	SB(rs)a[d]                 	rs   	 44.3	100	   0.51	      	  44.6	 108	   0.25	      	1	Simbad	186.39624	+45.68467
    1235	NGC4390   	SAB(s)c                    	bar  	 12.4	118	   0.53	  10.4	  13.6	 130	   0.49	  11.4	1	Simbad	186.46111	+10.45903
    1236	NGC4393   	SAB(s)m:                   	bar  	 31.3	 15	       	      	      	    	       	      	2	Simbad	186.46387	+27.56080
    1237	NGC4394   	(_RL)SB(rs,bl,nl)0/a       	bar  	 41.4	143	   0.57	  45.8	  43.6	 149	   0.55	  48.0	1	Simbad	186.48182	+18.21392
    1238	NGC4394   	(_RL)SB(rs,bl,nl)0/a       	bl   	 20.1	144	   0.19	      	  21.6	 164	   0.19	      	1	Simbad	186.48182	+18.21392
    1239	NGC4394   	(_RL)SB(rs,bl,nl)0/a       	nl   	  5.5	111	   0.08	      	   5.9	 197	   0.07	      	1	Simbad	186.48182	+18.21392
    1240	NGC4394   	(_RL)SB(rs,bl,nl)0/a       	rs   	 43.6	153	   0.07	      	  49.1	 187	   0.15	      	1	Simbad	186.48182	+18.21392
    1241	NGC4394   	(_RL)SB(rs,bl,nl)0/a       	_RL  	 95.3	 98	   0.12	      	  98.8	  50	   0.05	      	1	Simbad	186.48182	+18.21392
    1242	NGC4395   	SAB(rs_)dm                 	bar  	139.0	124	   0.78	 136.6	 140.6	 121	   0.73	 140.0	2	Simbad	186.45360	+33.54686
    1243	NGC4395   	SAB(rs_)dm                 	rs_  	155.6	115	   0.21	      	 169.6	  78	   0.15	      	3	Simbad	186.45360	+33.54686
    1244	NGC4402   	(R')SAB(s)c,sp/E7          	bar  	  9.3	 91	       	      	      	    	       	      	3	Simbad	186.53152	+13.11279
    1245	NGC4402   	(R')SAB(s)c,sp/E7          	R'   	 51.2	 90	   0.86	      	  56.5	  40	   0.24	      	2	Simbad	186.53152	+13.11279
    1246	NGC4405   	(R)SAB(_rs)0/a             	bar  	  8.6	179	   0.60	  10.1	   9.0	 170	   0.49	  10.3	1	Simbad	186.52975	+16.18100
    1247	NGC4405   	(R)SAB(_rs)0/a             	R    	 30.4	 24	   0.32	      	  30.6	  35	   0.12	      	1	Simbad	186.52975	+16.18100
    1248	NGC4405   	(R)SAB(_rs)0/a             	_rs  	 12.0	 12	   0.21	      	  12.7	 -45	   0.07	      	1	Simbad	186.52975	+16.18100
    1249	NGC4411A  	SB(rs)c_d                  	bar  	 10.0	114	   0.65	  12.2	  10.0	 114	   0.58	  12.2	1	Simbad	186.62441	+08.87224
    1250	NGC4411A  	SB(rs)c_d                  	rs   	 23.1	 25	   0.43	      	  27.4	  25	   0.52	      	3	Simbad	186.62441	+08.87224
    1251	NGC4412   	SA_B(rs)_bc                	bar  	 15.2	116	   0.71	  16.3	  15.7	 117	   0.72	  16.9	1	Simbad	186.65035	+03.96470
    1252	NGC4412   	SA_B(rs)_bc                	rs   	 16.1	 21	   0.13	      	  16.4	  11	   0.12	      	2	Simbad	186.65035	+03.96470
    1253	NGC4413   	(R'L)SB(_rs)bc             	bar  	 15.6	 16	       	      	      	    	       	      	1	Simbad	186.63430	+12.61067
    1254	NGC4413   	(R'L)SB(_rs)bc             	R'L  	 87.8	 59	   0.45	      	  89.8	  47	   0.26	      	1	Simbad	186.63430	+12.61067
    1255	NGC4413   	(R'L)SB(_rs)bc             	_rs  	 35.7	 49	   0.46	      	  38.4	  32	   0.35	      	1	Simbad	186.63430	+12.61067
    1256	NGC4414   	SA(rs_)b_c/E3              	rs_  	 19.4	137	   0.48	      	  24.4	 103	   0.39	      	2	Simbad	186.61287	+31.22354
    1257	NGC4416   	(RL)SB(rs)dm/Sph           	bar  	  5.5	  7	   0.68	   5.9	   6.4	   6	   0.72	   6.8	1	Simbad	186.69467	+07.91883
    1258	NGC4416   	(RL)SB(rs)dm/Sph           	RL   	 41.0	144	   0.04	      	  47.1	 171	   0.16	      	1	Simbad	186.69467	+07.91883
    1259	NGC4416   	(RL)SB(rs)dm/Sph           	rs   	 13.4	 86	   0.35	      	  13.4	  84	   0.24	      	1	Simbad	186.69467	+07.91883
    1260	NGC4419   	SA_Bx0/_a,sp/E6            	bar  	 20.9	134	       	      	      	    	       	      	2	Simbad	186.73514	+15.04742
    1261	NGC4423   	SB(s)d_m:,sp               	bar  	 19.1	 25	       	      	      	    	       	      	3	Simbad	186.78738	+05.88022
    1262	NGC4424   	(R'2L)SB(s)0/a[cd],pec     	bar  	 33.3	107	       	      	      	    	       	      	2	Simbad	186.79823	+09.42064
    1263	NGC4424   	(R'2L)SB(s)0/a[cd],pec     	R2'L 	113.0	 93	   0.47	      	 120.8	 126	   0.17	      	1	Simbad	186.79823	+09.42064
    1264	NGC4430   	SA_B(rs)dm                 	bar  	 13.7	119	   0.59	  15.1	  15.0	 125	   0.59	  16.4	1	Simbad	186.86001	+06.26277
    1265	NGC4430   	SA_B(rs)dm                 	rs   	 17.5	103	   0.12	      	  19.2	 139	   0.14	      	1	Simbad	186.86001	+06.26277
    1266	NGC4442   	SB0-                       	bar  	 29.9	 49	       	      	      	    	       	      	3	Simbad	187.01622	+09.80362
    1267	NGC4445   	SA(l)[0]c,sp               	l    	 44.9	104	   0.85	      	  45.3	 117	   0.15	      	1	Simbad	187.06656	+09.43640
    1268	NGC4448   	(R)SB(r,bl)0/_a            	bar  	 13.8	171	       	      	      	    	       	      	2	Simbad	187.06428	+28.62030
    1269	NGC4448   	(R)SB(r,bl)0/_a            	r    	 38.5	 93	   0.66	      	  41.7	 161	   0.09	      	1	Simbad	187.06428	+28.62030
    1270	NGC4448   	(R)SB(r,bl)0/_a            	R    	 75.1	 92	   0.70	      	  75.3	 101	   0.09	      	1	Simbad	187.06428	+28.62030
    1271	NGC4448   	(R)SB(r,bl)0/_a            	bl   	 14.7	 90	   0.44	      	  25.7	   3	   0.43	      	1	Simbad	187.06428	+28.62030
    1272	NGC4449   	IB(s)m                     	bar  	 42.2	 46	   0.76	  30.3	  45.9	  36	   0.71	  32.6	3	Simbad	187.04632	+44.09356
    1273	NGC4450   	(R')SAB(rs)0/_a            	bar  	 44.6	  8	   0.54	  43.9	  46.7	  21	   0.38	  45.6	1	Simbad	187.12347	+17.08495
    1274	NGC4450   	(R')SAB(rs)0/_a            	R'   	110.2	166	   0.42	      	 111.9	 153	   0.19	      	1	Simbad	187.12347	+17.08495
    1275	NGC4450   	(R')SAB(rs)0/_a            	rs   	 62.6	 10	   0.37	      	  68.2	 217	   0.23	      	1	Simbad	187.12347	+17.08495
    1276	NGC4451   	SA(r)0+[c]/Sph             	r    	 13.0	155	   0.47	      	  13.1	 149	   0.26	      	1	Simbad	187.16899	+09.25892
    1277	NGC4454   	(RL)SAB(r,bl)0/a           	bar  	 28.1	 22	   0.52	  30.7	  28.1	  21	   0.50	  30.7	1	Simbad	187.21143	-01.93918
    1278	NGC4454   	(RL)SAB(r,bl)0/a           	r    	 28.7	 25	   0.18	      	  28.7	  24	   0.14	      	1	Simbad	187.21143	-01.93918
    1279	NGC4454   	(RL)SAB(r,bl)0/a           	RL   	 69.3	171	   0.02	      	  72.0	 -53	   0.04	      	1	Simbad	187.21143	-01.93918
    1280	NGC4454   	(RL)SAB(r,bl)0/a           	bl   	 12.8	 30	   0.04	      	  12.9	  97	   0.01	      	1	Simbad	187.21143	-01.93918
    1281	NGC4457   	(RR)SAB(l)0+               	bar  	 32.6	 65	   0.37	  29.0	  32.6	  64	   0.32	  29.0	1	Simbad	187.24588	+03.57061
    1282	NGC4457   	(RR)SAB(l)0+               	l    	 50.3	 79	   0.20	      	  50.6	  85	   0.15	      	1	Simbad	187.24588	+03.57061
    1283	NGC4457   	(RR)SAB(l)0+               	R    	 70.5	158	   0.03	      	  75.9	 -23	   0.10	      	1	Simbad	187.24588	+03.57061
    1284	NGC4457   	(RR)SAB(l)0+               	R    	119.8	 34	   0.03	      	 126.7	 -12	   0.06	      	1	Simbad	187.24588	+03.57061
    1285	NGC4460   	SA(_rs)0o+[c]:,sp/E(d)7    	_rs  	 12.7	 42	   0.76	      	  13.6	  72	   0.23	      	3	Simbad	187.18982	+44.86424
    1286	NGC4461   	SA(r,l)0o+                 	l    	 27.2	 11	   0.46	      	  39.5	  94	   0.31	      	1	Simbad	187.26254	+13.18386
    1287	NGC4461   	SA(r,l)0o+                 	r    	 47.3	  5	   0.54	      	  59.9	 -68	   0.22	      	1	Simbad	187.26254	+13.18386
    1288	NGC4462   	SABx(rs)a                  	bar  	 25.6	143	   0.55	  24.2	  36.1	   0	   0.43	  32.3	1	Simbad	187.33790	-23.16662
    1289	NGC4462   	SABx(rs)a                  	rs   	 41.6	117	   0.71	      	  41.8	 112	   0.35	      	1	Simbad	187.33790	-23.16662
    1290	NGC4487   	SB(s)d                     	bar  	 11.4	 97	   0.55	   8.5	  13.1	 118	   0.44	   9.8	2	Simbad	187.76864	-08.05404
    1291	NGC4489   	SA(l)0-                    	l    	 12.4	145	   0.08	      	  12.6	  93	   0.03	      	1	Simbad	187.71767	+16.75870
    1292	NGC4491   	SB(rs_)_0/a                	bar  	 17.0	129	       	      	      	    	       	      	1	Simbad	187.73796	+11.48353
    1293	NGC4491   	SB(rs_)_0/a                	rs_  	 26.7	153	   0.49	      	  29.2	 195	   0.17	      	1	Simbad	187.73796	+11.48353
    1294	NGC4496A  	SB(s)d                     	bar  	 23.4	 49	   0.62	  27.6	  23.6	  46	   0.56	  27.6	2	Simbad	187.91343	+03.93934
    1295	NGC4498   	SB(rs_)d                   	bar  	 28.1	118	   0.81	  31.3	  30.7	 106	   0.73	  33.1	1	Simbad	187.91483	+16.85267
    1296	NGC4498   	SB(rs_)d                   	rs_  	 36.3	127	   0.50	      	  38.1	 107	   0.25	      	1	Simbad	187.91483	+16.85267
    1297	NGC4501   	SA(rs_)a_b                 	rs_  	 47.3	137	   0.60	      	  48.3	 123	   0.25	      	1	Simbad	187.99673	+14.42041
    1298	NGC4502   	S/IA_Bm:                   	bar  	 11.6	 63	   0.53	   9.5	  14.5	  93	   0.44	  11.9	2	Simbad	188.01397	+16.68771
    1299	NGC4503   	S_AB(s,l)0o                	l    	 54.1	  2	   0.54	      	  55.9	 -47	   0.05	      	3	Simbad	188.02580	+11.17643
    1300	NGC4504   	SAB(rs_)c                  	bar  	 20.1	145	   0.43	  19.2	  20.4	 168	   0.11	  19.7	2	Simbad	188.07260	-07.56359
    1301	NGC4504   	SAB(rs_)c                  	rs_  	 25.2	170	   0.36	      	  32.7	 204	   0.37	      	3	Simbad	188.07260	-07.56359
    1302	NGC4506   	dSA(rs_)0/a/Sph            	rs_  	 13.7	111	   0.41	      	  13.8	 118	   0.25	      	1	Simbad	188.04384	+13.41967
