#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:12 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/587/A160/tablea1&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_587_A160_tablea1:
#Name: J/A+A/587/A160/tablea1
#Title: Fundamental properties of S4G galaxies: distance, mass distribution, velocities and stellar disk
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	rfp	(A3)	Display the Radial force profiles of this galaxy	[ucd=meta.ref.url]
#Column	rcdm	(A4)	Display the Rotation curve decomposition model of this galaxy	[ucd=meta.ref.url]
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;src.class.starGalaxy;meta.main]
#Column	M*	(I12)	? Total stellar mass	[ucd=phys.mass]
#Column	Dist	(F7.3)	Distance to the galaxy	[ucd=pos.distance]
#Column	hz	(F6.3)	Disk scale-height	[ucd=phys.angSize;src]
#Column	e_hz1	(F7.3)	[] Uncertainty on the disk scale-height associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_hz2	(F7.3)	[] Uncertainty on the disk scale-height associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	Ropt	(F8.3)	? Estimated optical radius	[ucd=phys.angSize;em.opt]
#Column	VHI	(F8.3)	? Inclination-corrected HI maximum velocity	[ucd=spect.dopplerVeloc]
#Column	V36max	(F8.3)	? Maximum of the stellar contribution to the rotation curve	[ucd=phys.veloc.rotat]
#Column	e_V36max1	(F7.3)	[] Uncertainty on the maximum of the stellar contribution to the rotation curve associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_V36max2	(F6.3)	[] Uncertainty on the maximum of the stellar contribution to the rotation curve associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	V36maxRad	(F8.3)	? Radius of maximum velocity of the stellar component of the rotation curve	[ucd=phys.angSize]
#Column	e_V36maxRad1	(F8.3)	[]? Uncertainty on the radius of maximum velocity of the stellar component of the rotation curve associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_V36maxRad2	(F8.3)	[]? Uncertainty on the radius of maximum velocity of the stellar component of the rotation curve associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	V36Ropt	(F8.3)	? The stellar contribution to the rotation curve evaluated at the optical radius	[ucd=phys.veloc.rotat]
#Column	e_V36Ropt1	(F8.3)	[]? Uncertainty on the stellar contribution to the rotation curve evaluated at the optical radius associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_V36Ropt2	(F8.3)	[]? Uncertainty on the stellar contribution to the rotation curve evaluated at the optical radius associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	dRV36	(F8.3)	? Inner slope of the stellar component of the rotation curve	[ucd=arith.grad;phys.veloc]
#Column	e_dRV361	(F8.3)	[]? Uncertainty on the inner slope of the stellar component of the rotation curve associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_dRV362	(F8.3)	[]? Uncertainty on the inner slope of the stellar component of the rotation curve associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	ahalo	(F8.3)	? Halo core radius	[ucd=phys.size.radius]
#Column	Vinfhalo	(F8.3)	? Halo velocity amplitude, corrected to match the HI maximum velocity	[ucd=phys.veloc.dispersion]
#Column	Mh/M*	(F8.3)	? Stellar-to-halo mass ratio within the optical radius	[ucd=phys.mass;arith.ratio]
#Column	bar	(A1)	indicates bar informations in tables A2 and/or A3	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	rfp	rcdm	Galaxy	M*	Dist	hz	e_hz1	e_hz2	Ropt	VHI	V36max	e_V36max1	e_V36max2	V36maxRad	e_V36maxRad1	e_V36maxRad2	V36Ropt	e_V36Ropt1	e_V36Ropt2	dRV36	e_dRV361	e_dRV362	ahalo	Vinfhalo	Mh/M*	bar	Simbad	_RA	_DE
    1092	rfp	rcdm	PGC054944 	  9418900480	 29.367	 1.256	  1.005	 -0.314	  38.058	 120.914	 113.065	 -4.089	 1.434	  23.250	   0.000	   0.000	 101.836	  -1.563	   0.481	 132.888	 -21.230	  10.270	   6.292	  98.971	   0.550	*	Simbad	230.83389	-04.15160
    1093	rfp	rcdm	PGC065367 	     4886520	  2.054	 4.213	  3.370	 -1.053	  90.000	  22.117	   7.436	 -0.319	 0.117	  87.750	   0.000	   0.000	   7.436	  -0.319	   0.117	        	        	        	   0.340	  36.085	  10.529	 	Simbad	311.71583	-12.84806
    1094	rfp	rcdm	PGC066242 	  5767660032	 40.350	 1.842	  1.474	 -0.461	  54.639	 106.491	  54.335	 -1.128	 0.372	  53.250	   0.000	   0.000	  53.884	  -1.049	   0.340	  30.664	  -4.860	   2.380	  11.475	 134.494	   3.899	*	Simbad	317.52167	-03.70139
    1095	rfp	rcdm	PGC066559 	  3341949952	 37.861	 1.821	  1.457	 -0.455	  55.151	  97.037	  51.274	 -1.420	 0.483	  44.250	   0.000	   0.000	  47.213	  -0.848	   0.267	  37.661	  -6.420	   3.230	   9.230	 115.015	   4.326	 	Simbad	319.92929	-07.55346
    1096	rfp	rcdm	PGC067871 	  1874989952	 36.000	 2.642	  2.114	 -0.661	  45.000	  88.812	  44.730	 -1.927	 0.682	  42.750	   0.000	   0.000	  44.730	  -1.927	   0.682	  33.354	  -6.300	   3.240	   7.935	 160.819	   3.948	*	Simbad	330.49670	-12.19061
    1097	rfp	rcdm	PGC068771 	  6576580096	 39.347	 2.220	  1.776	 -0.555	  64.794	  68.814	  54.509	 -1.381	 0.474	  57.750	   0.000	   0.000	  51.479	  -0.769	   0.220	  42.894	  -7.640	   3.830	  11.283	  61.429	   1.056	 	Simbad	336.04810	-03.48341
    1098	rfp	rcdm	PGC069224 	   192752000	 12.431	 2.465	  1.972	 -0.616	  60.000	  53.101	  19.980	 -0.701	 0.244	  57.750	   0.000	   0.000	  19.980	  -0.701	   0.244	  34.540	  -6.930	   3.630	   2.091	  66.904	   8.136	 	Simbad	338.72792	-04.70167
    1099	rfp	rcdm	PGC069293 	  4466829824	 22.900	 2.717	  2.174	 -0.679	  79.441	 108.062	  53.310	 -1.477	 0.492	  60.750	   0.000	   0.000	  50.071	  -0.800	   0.235	  32.049	  -5.280	   2.620	   9.188	 138.814	   4.908	 	Simbad	339.14629	-02.90681
    1100	rfp	rcdm	PGC069339 	  1541699968	 39.056	 1.634	  1.308	 -0.409	  37.500	  69.261	  41.391	 -1.963	 1.084	  35.250	   0.000	   0.000	  41.391	  -1.963	   1.084	  11.995	  -1.020	   0.740	   6.154	  86.868	   2.415	 	Simbad	339.33917	-08.46194
    1101	rfp	rcdm	PGC069415 	   163682000	 12.000	 1.802	  1.442	 -0.450	  30.000	  37.944	  16.878	 -0.899	 0.330	  27.750	   0.000	   0.000	  16.878	  -0.899	   0.330	  28.912	  -1.670	   0.520	   1.270	  31.340	   5.440	 	Simbad	339.78667	-04.76000
    1102	rfp	rcdm	PGC069448 	 15958800384	 39.883	 3.718	  2.479	 -1.062	  61.541	 138.246	  91.844	 -3.387	 1.630	  45.750	   1.500	  -1.500	  86.032	  -2.115	   0.925	  88.590	 -16.420	  11.610	  15.520	 176.287	   2.123	*	Simbad	340.06299	-02.42404
    1103	rfp	rcdm	PGC071479 	   970510976	 24.431	 1.688	  1.350	 -0.422	  52.500	  47.398	  38.442	 -1.989	 0.732	  17.250	   1.500	   0.000	  29.185	  -0.431	   0.138	  64.316	  -5.600	   2.260	   4.569	  56.000	   2.197	 	Simbad	351.83847	-23.50074
    1104	rfp	rcdm	PGC072252 	  2722700032	 27.686	 1.560	  1.248	 -0.390	  46.834	  98.997	  59.424	 -1.606	 0.547	  38.250	   0.000	   0.000	  53.807	  -0.751	   0.222	  75.253	 -12.780	   6.350	   6.259	 116.619	   3.200	*	Simbad	356.04379	-06.16959
    1105	rfp	rcdm	PGC1059326	  1482520064	 38.056	 2.983	  8.948	 -0.597	  35.628	 115.303	  40.276	 -2.143	 1.371	  15.750	   1.500	   0.000	  33.808	  -0.615	   0.313	  53.409	  -5.570	   4.180	   6.395	 154.560	  14.265	 	Simbad	213.81993	-04.35886
    1106	rfp	rcdm	PGC1063216	  1640589952	 37.917	 3.103	  9.310	 -0.621	  41.097	  51.172	  36.640	 -1.528	 1.154	  33.750	   0.000	 -12.000	  35.266	  -1.139	   0.608	  39.604	  -4.890	   3.510	   6.916	  50.066	   1.483	 	Simbad	213.94600	-04.07550
    1107	rfp	rcdm	UGC00017  	   187499008	 13.000	 2.992	  2.394	 -0.748	  75.000	  63.108	  21.700	 -0.805	 0.291	  72.750	   0.000	   0.000	  21.700	  -0.805	   0.291	  50.202	 -10.320	   5.410	   3.067	  46.296	  10.007	 	Simbad	000.92996	+15.21831
    1108	rfp	rcdm	UGC00099  	  1006929984	 23.700	 2.291	  1.833	 -0.573	  71.995	  77.486	  32.133	 -0.873	 0.307	  72.750	   0.000	   0.000	  31.800	  -0.864	   0.304	  27.868	  -4.870	   2.510	   6.599	  90.710	   6.625	*	Simbad	002.67000	+13.70939
    1109	rfp	rcdm	UGC00156  	   674529024	 15.900	 2.565	  2.052	 -0.641	  78.443	  59.874	  28.289	 -0.839	 0.295	  45.750	   1.500	   0.000	  27.055	  -0.420	   0.128	  18.334	  -2.380	   1.150	   4.870	  68.428	   5.230	 	Simbad	004.20108	+12.35017
    1110	rfp	rcdm	UGC00191  	   657657984	 15.900	 2.096	  1.677	 -0.524	  63.654	  79.954	  33.402	 -0.992	 0.347	  44.250	   1.500	   0.000	  31.361	  -0.533	   0.175	  31.214	  -4.600	   2.240	   3.883	  93.687	   7.380	 	Simbad	005.02150	+10.87931
    1111	rfp	rcdm	UGC00313  	  2851020032	 28.958	 1.677	  1.118	 -0.479	  27.176	  75.974	  70.112	 -3.205	 1.685	  17.250	   0.000	  -1.500	  62.348	  -1.360	   0.580	  76.767	 -10.180	   6.930	   3.717	  59.677	   0.651	*	Simbad	007.85883	+06.20676
    1112	rfp	rcdm	UGC00634  	  1078950016	 28.700	 2.005	  1.604	 -0.501	  58.553	  77.303	  30.420	 -1.145	 0.433	  32.250	   9.000	   0.000	  29.424	  -0.556	   0.182	  43.979	  -8.810	   4.560	   6.570	  91.367	   7.920	 	Simbad	015.35496	+07.62603
    1113	rfp	rcdm	UGC00882  	  1185769984	 32.361	 1.716	  1.373	 -0.429	  51.012	  76.742	  31.796	 -0.779	 0.257	  50.250	   0.000	   0.000	  31.796	  -0.779	   0.257	  15.671	  -2.230	   1.120	   6.410	  89.969	   6.474	 	Simbad	020.23179	+06.57408
    1114	rfp	rcdm	UGC00941  	  1445440000	 37.861	 1.447	  1.158	 -0.362	  37.500	  43.379	  34.019	 -1.581	 0.874	  35.250	   0.000	   0.000	  34.019	  -1.581	   0.874	  18.557	  -1.260	   0.690	   5.775	  38.339	   0.840	 	Simbad	020.88508	+06.96056
    1115	rfp	rcdm	UGC01014  	  1698240000	 29.611	 1.178	  0.942	 -0.295	  36.754	  57.198	  42.857	 -1.129	 0.376	  30.750	   0.000	   0.000	  40.448	  -0.821	   0.268	  41.525	  -2.370	   0.880	   4.326	  52.164	   1.341	 	Simbad	021.59846	+06.27722
    1116	rfp	rcdm	UGC01020  	  5223969792	 35.958	 2.020	  2.020	 -1.010	  49.464	 141.670	  74.799	 -5.553	 4.371	  14.250	   3.000	  -3.000	  57.550	  -1.255	   0.641	 115.501	 -24.940	  26.380	   9.310	 187.678	   6.789	*	Simbad	021.68332	+17.26448
    1117	rfp	rcdm	UGC01104  	   142888992	  7.550	 1.157	  0.926	 -0.289	  33.306	  53.981	  25.561	 -0.634	 0.213	  27.750	   0.000	   0.000	  24.536	  -0.414	   0.130	 130.291	 -22.530	  11.310	   0.742	 147.896	   5.153	 	Simbad	023.17722	+18.31710
    1118	rfp	rcdm	UGC01133  	   303388992	 25.200	 1.408	  1.126	 -0.352	  37.500	 118.508	  22.190	 -0.654	 0.215	  35.250	   0.000	   0.000	  22.190	  -0.654	   0.215	  28.944	  -2.290	   0.890	   4.360	 175.866	  36.927	 	Simbad	023.76200	+04.38125
    1119	rfp	rcdm	UGC01176  	   158124992	  9.170	 3.948	  3.159	 -0.987	  90.000	  28.379	  19.489	 -0.760	 0.278	  87.750	   0.000	   0.000	  19.489	  -0.760	   0.278	  52.149	 -12.250	   6.730	   2.571	  35.730	   1.503	 	Simbad	025.04329	+15.90517
    1120	rfp	rcdm	UGC01200  	   483059008	 11.222	 1.518	  1.214	 -0.380	  44.711	  74.992	  34.801	 -1.955	 1.205	  30.750	   1.500	  -1.500	  32.889	  -1.164	   0.600	  47.966	  -9.370	  10.040	   1.777	 128.864	   5.634	 	Simbad	025.70162	+13.15556
    1121	rfp	rcdm	UGC01547  	  3184199936	 35.100	 1.814	  1.451	 -0.453	  53.514	  81.942	  42.537	 -0.988	 0.328	  45.750	   0.000	   0.000	  41.156	  -0.653	   0.181	  22.377	  -3.650	   1.840	   9.421	 102.123	   3.977	 	Simbad	030.83467	+22.04133
    1122	rfp	rcdm	UGC01551  	  8689609728	 35.600	 2.396	  1.917	 -0.599	  72.011	  90.445	  72.871	 -2.349	 0.923	  41.250	  16.500	  -1.500	  68.766	  -1.113	   0.342	  45.120	  -7.720	   3.760	  15.557	  93.205	   0.979	*	Simbad	030.90623	+24.07552
    1123	rfp	rcdm	UGC01670  	   475335008	 20.700	 2.255	  1.804	 -0.564	  45.000	  69.222	  24.987	 -1.049	 0.368	  42.750	   0.000	   0.000	  24.987	  -1.049	   0.368	  13.399	  -1.850	   0.910	   3.418	  44.504	   8.955	 	Simbad	032.68329	+06.75878
    1124	rfp	rcdm	UGC01862  	  2483140096	 20.410	 3.166	  2.110	 -0.904	  53.281	  96.684	  62.440	 -2.760	 1.345	  35.250	   1.500	   0.000	  55.697	  -1.244	   0.534	  47.498	  -7.510	   5.190	   5.043	 109.255	   2.701	 	Simbad	036.10332	-02.16237
    1125	rfp	rcdm	UGC01945  	  3054919936	 24.556	 2.649	  2.119	 -0.662	  84.037	  59.903	  52.340	 -1.696	 0.567	  42.750	   1.500	  -1.500	  44.480	  -0.528	   0.153	  26.410	  -4.080	   2.040	   9.710	  55.505	   1.092	 	Simbad	037.05157	-01.34898
    1126	rfp	rcdm	UGC01981  	   406444000	 21.000	 2.073	  1.659	 -0.518	  60.000	  30.695	  28.724	 -1.256	 0.731	  57.750	   0.000	   0.000	  28.724	  -1.256	   0.731	  30.698	  -7.100	   8.540	   4.281	  56.529	   0.190	 	Simbad	037.57179	+00.93653
    1127	rfp	rcdm	UGC02081  	  5584699904	 43.250	 1.420	  1.420	 -0.710	  63.471	 110.781	  49.906	 -1.210	 0.655	  41.250	   0.000	   0.000	  46.888	  -0.547	   0.262	  41.551	  -7.790	   7.380	  13.109	 140.498	   6.148	 	Simbad	039.00388	+00.41999
    1128	rfp	rcdm	UGC02275  	   317687008	 13.100	 3.593	  2.874	 -0.898	  82.500	  42.360	  20.106	 -0.756	 0.273	  80.250	   0.000	   0.000	  20.106	  -0.756	   0.273	  12.096	  -2.420	   1.370	   3.969	  53.959	   4.614	 	Simbad	041.99092	+03.88544
    1129	rfp	rcdm	UGC02302  	   251768000	 14.000	 3.877	  3.102	 -0.969	  72.584	 104.265	  29.072	 -1.257	 0.466	  72.750	   0.000	   0.000	  29.072	  -1.257	   0.466	  21.391	  -3.710	   1.920	   3.658	 125.388	  15.917	 	Simbad	042.28650	+02.12703
    1130	rfp	rcdm	UGC02345  	   647142016	 16.450	 3.149	  2.519	 -0.787	  90.000	  66.260	  24.829	 -0.747	 0.275	  84.750	   3.000	   0.000	  24.825	  -0.743	   0.260	   9.249	  -1.020	   0.490	   5.315	  80.789	   8.217	 	Simbad	042.97158	-01.17144
    1131	rfp	rcdm	UGC02443  	  7638360064	 38.500	 2.434	  1.623	 -0.695	  41.910	 123.088	  82.752	 -3.116	 1.512	  30.750	   1.500	   0.000	  77.174	  -1.882	   0.819	  62.115	 -10.680	   7.560	   9.240	 149.537	   2.071	 	Simbad	044.58992	-02.04214
    1132	rfp	rcdm	UGC03070  	  2951209984	 33.450	 1.031	  0.825	 -0.258	  31.206	  96.566	  53.547	 -1.594	 0.557	  18.750	   0.000	  -1.500	  49.979	  -0.631	   0.192	  65.273	  -9.370	   4.490	   5.075	 117.776	   3.667	*	Simbad	067.74854	-02.00334
    1133	rfp	rcdm	UGC04151  	 10280200192	 31.750	 1.214	  0.971	 -0.303	  33.151	 164.914	  99.652	 -6.185	 3.715	  26.250	   1.500	   0.000	  93.774	  -4.064	   2.107	 127.460	 -28.590	  31.050	   5.923	 205.470	   2.808	 	Simbad	121.07777	+77.81664
    1134	rfp	rcdm	UGC04169  	  5370310144	 32.633	 1.669	  1.336	 -0.417	  50.215	 120.503	  68.706	 -1.540	 0.499	  44.250	   0.000	   0.000	  66.300	  -1.179	   0.369	  64.780	 -11.660	   5.800	   8.876	 150.648	   3.091	 	Simbad	120.63717	+61.38822
    1135	rfp	rcdm	UGC04305  	   185352992	  3.340	 7.087	  5.669	 -1.772	 213.477	  44.175	  21.374	 -0.524	 0.197	 222.750	 -25.500	   0.000	  21.168	  -0.461	   0.146	  45.760	  -7.700	   3.710	   2.455	  47.496	   4.502	 	Simbad	124.77074	+70.72003
    1136	rfp	rcdm	UGC04306  	 12589299712	 33.583	 2.390	  7.169	 -0.478	  30.432	 137.951	 178.141	-48.903	 6.074	   9.750	   1.500	   0.000	 116.205	 -10.730	   0.633	 291.587	-121.070	  22.150	        	        	   0.549	 	Simbad	124.40319	+35.44597
    1137	rfp	rcdm	UGC04390  	  4295370240	 33.500	 2.455	  1.964	 -0.614	  60.000	 117.168	  56.743	 -1.820	 0.631	  57.750	   0.000	   0.000	  56.743	  -1.820	   0.631	  38.259	  -6.530	   3.240	   8.020	 146.711	   4.379	 	Simbad	126.96612	+73.51733
    1138	rfp	rcdm	UGC04393  	  2349629952	 19.350	 2.390	  2.390	 -1.195	  47.943	  74.663	  57.933	 -3.729	 2.255	  20.250	   1.500	   0.000	  50.667	  -1.277	   0.620	 135.647	 -29.230	  30.270	   3.567	  70.233	   1.572	 	Simbad	126.51815	+45.96746
    1139	rfp	rcdm	UGC04426  	    70469296	  8.150	 2.051	  1.641	 -0.513	  60.702	  54.999	  12.775	 -0.325	 0.112	  56.250	   0.000	   0.000	  12.397	  -0.224	   0.066	  21.226	  -3.290	   1.640	   1.323	  54.810	  25.068	 	Simbad	127.11850	+41.85669
    1140	rfp	rcdm	UGC04483  	    29241500	  3.440	 1.517	  1.213	 -0.379	  37.500	  23.586	   8.878	 -0.280	 0.092	  35.250	   0.000	   0.000	   8.878	  -0.280	   0.092	 100.644	 -19.040	   9.940	   0.245	  79.629	   8.130	 	Simbad	129.26371	+69.77478
    1141	rfp	rcdm	UGC04499  	   572796992	 12.800	 2.061	  1.649	 -0.515	  55.891	  84.072	  30.099	 -0.576	 0.190	  59.250	   0.000	   0.000	  30.046	  -0.572	   0.185	  55.408	  -8.800	   4.270	   2.178	 148.800	   9.164	*	Simbad	129.42287	+51.65238
    1142	rfp	rcdm	UGC04543  	  1896710016	 30.000	 2.455	  1.964	 -0.614	  52.500	  98.055	  43.751	 -1.570	 0.541	  50.250	   0.000	   0.000	  43.751	  -1.570	   0.541	  33.882	  -5.770	   2.860	   5.585	 129.550	   5.398	 	Simbad	130.84102	+45.73599
    1143	rfp	rcdm	UGC04549  	  3622429952	 17.889	 1.603	  1.283	 -0.401	  42.208	 116.738	  72.462	 -2.554	 0.882	  30.750	   1.500	   0.000	  64.872	  -1.122	   0.337	 141.325	 -24.700	  12.370	   3.013	 124.918	   3.003	 	Simbad	131.08943	+58.84187
    1144	rfp	rcdm	UGC04621  	 17100099584	 42.700	 1.678	  1.119	 -0.479	  28.276	 149.976	 136.115	 -4.990	 7.500	  20.250	   0.000	 -15.000	 123.598	  -2.657	   1.134	 225.462	 -20.250	  10.570	   6.801	 130.908	   0.634	*	Simbad	132.54916	+35.07643
    1145	rfp	rcdm	UGC04714  	  2089289984	 17.403	 1.584	  1.268	 -0.396	  39.515	  93.789	  54.176	 -1.361	 0.451	  32.250	   0.000	   0.000	  51.147	  -0.865	   0.265	 107.578	 -16.970	   8.350	   2.416	  96.785	   3.170	 	Simbad	135.81365	+78.56290
    1146	rfp	rcdm	UGC04797  	   826038016	 19.600	 2.544	  2.035	 -0.636	  52.500	  57.438	  35.130	 -1.376	 0.476	  50.250	   0.000	   0.000	  35.130	  -1.376	   0.476	  24.460	  -4.350	   2.240	   3.713	  68.727	   2.245	 	Simbad	137.04462	+05.92767
    1147	rfp	rcdm	UGC04834  	   855067008	 28.764	 1.459	  1.167	 -0.365	  37.500	  58.347	  25.880	 -0.784	 0.263	  35.250	   0.000	   0.000	  25.880	  -0.784	   0.263	  19.414	  -2.920	   1.450	   3.792	  92.209	   5.478	*	Simbad	137.96225	+34.96347
    1148	rfp	rcdm	UGC04837  	  1503139968	 28.900	 1.639	  1.312	 -0.410	  49.608	  63.663	  31.685	 -0.847	 0.281	  38.250	   0.000	   0.000	  30.732	  -0.672	   0.223	  21.862	  -3.120	   1.570	   6.057	  73.486	   4.416	 	Simbad	138.03999	+35.53157
    1149	rfp	rcdm	UGC04841  	  5874890240	 27.300	 3.995	  3.196	 -0.999	 120.182	 109.365	  53.343	 -1.375	 0.466	  96.750	   0.000	   0.000	  50.259	  -0.877	   0.286	  26.030	  -4.280	   2.080	  18.156	 146.903	   5.012	*	Simbad	138.69965	+74.23248
    1150	rfp	rcdm	UGC04867  	  2851020032	 34.681	 2.280	  1.824	 -0.570	  63.114	 121.197	  47.687	 -1.329	 0.454	  56.250	   0.000	   0.000	  45.880	  -0.916	   0.281	  48.940	  -9.170	   4.650	   9.321	 148.593	   8.021	*	Simbad	138.67975	+40.87953
    1151	rfp	rcdm	UGC04871  	  1169500032	 34.806	 2.186	  1.748	 -0.546	  52.500	  71.541	  29.850	 -1.003	 0.345	  50.250	   0.000	   0.000	  29.850	  -1.003	   0.345	  27.432	  -5.820	   3.130	   8.139	  98.226	   6.365	 	Simbad	138.73458	+39.26247
    1152	rfp	rcdm	UGC04922  	  4385310208	 32.600	 3.332	  2.666	 -0.833	 102.177	 127.686	  45.339	 -1.334	 0.475	  69.750	   1.500	   0.000	  44.458	  -0.890	   0.287	  21.747	  -3.480	   1.670	  13.363	 154.957	   9.726	*	Simbad	139.65295	+47.87206
    1153	rfp	rcdm	UGC04988  	   839459968	 21.847	 1.275	  1.020	 -0.319	  34.463	  97.296	  34.372	 -0.907	 0.310	  29.250	   0.000	   0.000	  33.136	  -0.617	   0.193	  66.716	 -10.890	   5.490	   2.645	 118.861	  10.227	*	Simbad	140.81381	+34.73444
    1154	rfp	rcdm	UGC05004  	  1303170048	 25.486	 1.633	  1.306	 -0.408	  45.326	  57.527	  31.349	 -0.910	 0.320	  32.250	   1.500	   0.000	  30.262	  -0.618	   0.194	  30.527	  -4.090	   2.010	   4.220	  84.594	   3.507	*	Simbad	141.14208	+34.65933
    1155	rfp	rcdm	UGC05015  	  1918669952	 22.903	 2.406	  1.925	 -0.602	  60.000	 143.615	  36.402	 -1.111	 0.386	  57.750	   0.000	   0.000	  36.402	  -1.111	   0.386	  48.166	  -8.800	   4.490	   4.576	  86.350	  19.543	*	Simbad	141.45008	+34.27711
    1156	rfp	rcdm	UGC05114  	   601174016	 22.333	 1.350	  1.080	 -0.337	  33.580	  54.631	  28.709	 -1.039	 0.357	  21.750	   0.000	   0.000	  26.564	  -0.448	   0.136	  29.742	  -4.830	   2.510	   2.618	  58.674	   4.333	 	Simbad	145.01833	+82.10444
    1157	rfp	rcdm	UGC05139  	            	  4.568	 6.669	  6.669	 -3.334	 150.000	  24.157	  14.175	 -0.852	 0.581	 147.750	   0.000	   0.000	  14.175	  -0.852	   0.581	        	        	        	   1.864	   0.000	   2.555	 	Simbad	145.13471	+71.18222
    1158	rfp	rcdm	UGC05179  	   912011008	 18.861	 4.595	 13.784	 -0.919	  52.500	  51.347	  36.473	 -2.043	 1.090	   9.750	   6.000	  -1.500	  32.140	  -0.579	   0.184	 136.284	 -24.690	  12.460	   3.403	  50.026	   2.083	 	Simbad	145.75659	+58.97356
    1159	rfp	rcdm	UGC05336  	     7798300	  4.230	 4.966	  4.966	 -2.483	  31.881	  28.907	   9.311	 -0.798	 0.551	  50.250	   0.000	   0.000	   6.994	  -0.547	   0.362	        	        	        	   0.301	  54.355	  21.579	 	Simbad	149.38375	+69.04611
    1160	rfp	rcdm	UGC05340  	    23173900	  5.895	 1.958	  1.567	 -0.490	  58.107	  45.838	  11.353	 -0.336	 0.115	  39.750	   0.000	  -1.500	  10.682	  -0.184	   0.059	  30.282	  -3.760	   1.790	   0.908	  46.698	  23.367	 	Simbad	149.19175	+28.82606
    1161	rfp	rcdm	UGC05354  	   579427968	 16.264	 1.977	  1.582	 -0.494	  50.094	  99.019	  37.183	 -1.027	 0.358	  35.250	   1.500	   0.000	  35.330	  -0.659	   0.214	  54.269	  -8.630	   4.260	   2.791	 113.101	   9.198	 	Simbad	149.72257	+47.73687
    1162	rfp	rcdm	UGC05358  	  2747899904	 40.472	 2.643	  2.643	 -1.321	  52.203	 110.957	  45.017	 -2.236	 1.286	  36.750	   1.500	   0.000	  40.488	  -1.143	   0.545	  28.215	  -5.860	   6.270	  10.043	 145.239	   8.735	*	Simbad	149.69637	+11.38839
    1163	rfp	rcdm	UGC05393  	  1315229952	 24.200	 2.073	  1.658	 -0.518	  60.000	  85.504	  35.806	 -0.918	 0.305	  57.750	   0.000	   0.000	  35.806	  -0.918	   0.305	  27.146	  -4.240	   2.080	   5.180	  99.615	   6.310	*	Simbad	150.42500	+33.13708
    1164	rfp	rcdm	UGC05401  	   966049984	 27.875	 2.254	  2.254	 -1.127	  37.500	  68.548	  24.209	 -1.195	 0.664	  35.250	   0.000	   0.000	  24.209	  -1.195	   0.664	  24.199	  -4.510	   4.710	   3.791	  86.319	   9.416	*	Simbad	150.63087	+19.03281
