#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/276/59/table7&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22760059
#Name: J/ApJS/276/59
#Title: The DiskMass Survey (DMS). XI. Full Ha sample (Swaters+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	creator=Swaters R.A.	    First author or institution
#INFO	cites=bibcode:2025ApJS..276...59S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/276/59	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8m-1v	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_276_59_table7:
#Name: J/ApJS/276/59/table7
#Title: H{alpha} data table for individual fiber measurements
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	UGC	(I5)	[16/12808] UGC galaxy identifier	[ucd=meta.id;meta.main]
#Column	R	(A3)	Run code (1)	[ucd=meta.id;obs]
#Column	N	(I1)	[1/5] Night during the observing run	[ucd=meta.note]
#Column	P	(I1)	[1/4] SparsePak pointing	[ucd=obs.field]
#Column	A	(I2)	[1/82] SparsePak fiber aperture	[ucd=instr.fov]
#Column	C	(I1)	[1/9] Fitting code (2)	[ucd=meta.code]
#Column	oRA	(F5.1)	[-70.5/38.7] East-West offset of fiber aperture (3)	[ucd=pos.eq.ra;arith.diff]
#Column	oDE	(F5.1)	[-47/62.5] North-South offset of fiber aperture (3)	[ucd=pos.eq.dec;arith.diff]
#Column	EWg	(F6.1)	[-0.2/1167]? H{alpha} emission equivalent width from sum of Gaussian line parameters	[ucd=spect.line.eqWidth]
#Column	EWsum	(F7.1)	[-0.2/29060]? H{alpha} emission equivalent width from zeroth moment of line emission	[ucd=spect.line.eqWidth]
#Column	logmuN	(F6.2)	[-16.6/-13] Log H{alpha} narrow component surface-brightness (flux within the 4.7" diameter fiber aperture); in erg/s/cm^2^/arcsec^2^	[ucd=phot.mag.sb]
#Column	e_logmuN	(F5.2)	[0/73] Uncertainty in logmuN	[ucd=stat.error;phot.mag.sb]
#Column	VelN	(F6.1)	[-382/348] Narrow component velocity relative to kinematic model galaxy barycenter	[ucd=phys.veloc;arith.diff]
#Column	e_VelN	(F6.1)	[0/5579] Uncertainty in VelN	[ucd=stat.error;phys.veloc;arith.diff]
#Column	sigmaN	(F5.1)	[2.9/142] Narrow component velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmaN	(F5.1)	[0/999] Uncertainty in sigmaN	[ucd=stat.error;phys.veloc.dispersion]
#Column	logmuB	(F6.2)	[-99/-13]? Log H{alpha} broad component surface-brightness; in erg/s/cm^2^/arcsec^2^	[ucd=phot.mag.sb]
#Column	e_logmuB	(F5.2)	[0/13.4]? Uncertainty in logmuB	[ucd=stat.error;phot.mag.sb]
#Column	VelB	(F6.1)	[-487/340]? Broad component velocity relative to the kinematic model galaxy barycenter	[ucd=phys.veloc;arith.diff]
#Column	e_VelB	(F6.1)	[0/1174]? Uncertainty in VelB	[ucd=stat.error;phys.veloc;arith.diff]
#Column	sigmaB	(F5.1)	[0/888]? Broad component velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmaB	(F5.1)	[0/999]? Uncertainty in sigmaB	[ucd=stat.error;phys.veloc.dispersion]
recno	UGC	R	N	P	A	C	oRA	oDE	EWg	EWsum	logmuN	e_logmuN	VelN	e_VelN	sigmaN	e_sigmaN	logmuB	e_logmuB	VelB	e_VelB	sigmaB	e_sigmaB
    7272	 5544	R10	1	1	31	3	 -0.5	 -6.8	  37.7	   37.6	-13.80	 0.00	 -56.6	   0.1	 29.2	  0.1	-14.31	 0.01	 -59.5	   1.2	 64.2	  0.9
    7273	 5544	R10	1	1	33	1	  9.4	-18.0	  21.3	   20.8	-14.91	 0.01	 -78.9	   0.6	 19.8	  0.5	      	     	      	      	     	
    7274	 5544	R10	1	1	38	1	 -0.5	 32.6	  14.1	   13.0	-15.66	 0.09	  63.0	   3.7	 18.8	  3.0	      	     	      	      	     	
    7275	 5544	R10	1	1	39	7	-10.3	 32.6	  -0.2	    0.0	-15.90	 0.12	  77.1	   5.0	 19.1	  4.1	      	     	      	      	     	
    7276	 5544	R10	1	1	40	1	 -5.4	 24.2	  50.4	   50.0	-14.78	 0.01	  75.6	   0.5	 18.3	  0.4	      	     	      	      	     	
    7277	 5544	R10	1	1	41	3	  4.5	  7.3	  39.6	   40.0	-14.11	 0.00	  21.8	   0.2	 21.9	  0.1	-14.39	 0.01	  14.3	   0.9	 47.2	  0.8
    7278	 5544	R10	1	1	42	1	 -0.5	 15.7	   8.9	    8.7	-15.20	 0.03	  63.4	   1.4	 21.8	  1.2	      	     	      	      	     	
    7279	 5544	R10	1	1	43	3	 -5.4	  1.7	  46.7	   46.5	-13.62	 0.00	  72.1	   0.1	 27.1	  0.1	-14.08	 0.01	  56.3	   0.9	 66.1	  0.7
    7280	 5544	R10	1	1	44	2	 -0.5	 10.1	  25.5	   25.5	-14.44	 0.01	  60.7	   0.2	 20.4	  0.2	-15.20	 0.04	  60.1	   4.2	 46.8	  3.4
    7281	 5544	R10	1	1	45	3	-10.3	 -1.1	   7.7	    7.8	-15.69	 0.12	 -44.7	   7.7	 29.5	  6.3	-14.90	 0.02	  41.5	   1.3	 30.8	  1.1
    7282	 5544	R10	1	1	46	3	  4.5	 -4.0	  62.7	   63.0	-13.66	 0.00	 -80.2	   0.1	 23.3	  0.1	-13.81	 0.00	 -77.3	   0.5	 57.3	  0.4
    7283	 5544	R10	1	1	47	3	 -0.5	  4.5	  52.6	   52.8	-13.64	 0.00	  62.9	   0.1	 28.2	  0.1	-13.95	 0.01	  48.5	   0.6	 52.8	  0.5
    7284	 5544	R10	1	1	48	1	 -0.5	-12.4	   7.0	    7.2	-14.91	 0.02	 -54.9	   0.9	 23.3	  0.7	      	     	      	      	     	
    7285	 5544	R10	1	1	49	1	 -5.4	-26.5	   8.4	    8.3	-15.68	 0.07	 -43.0	   2.4	 16.0	  1.9	      	     	      	      	     	
    7286	 5544	R10	1	1	51	1	 -5.4	 -9.6	  17.0	   17.6	-14.49	 0.01	 -32.8	   0.3	 22.6	  0.2	      	     	      	      	     	
    7287	 5544	R10	1	1	52	4	 -0.5	 -1.1	  -0.2	   17.8	-13.70	 0.01	 -76.7	   0.5	 39.2	  0.4	-13.63	 0.00	  25.3	   0.4	 51.4	  0.3
    7288	 5544	R10	1	1	53	7	 -0.5	-34.9	  -0.2	    5.8	-15.83	 0.11	 -64.1	   3.4	 14.2	  2.8	      	     	      	      	     	
    7289	 5544	R10	1	1	55	7	-25.1	 24.2	  -0.2	    6.0	-15.87	 0.13	  83.6	   4.3	 15.7	  3.5	      	     	      	      	     	
    7290	 5544	R10	1	1	56	1	-10.3	 15.7	   4.5	    4.0	-15.49	 0.05	  83.7	   2.2	 19.1	  1.8	      	     	      	      	     	
    7291	 5544	R10	1	1	60	1	-20.2	 15.7	  10.9	   14.2	-15.35	 0.05	  76.2	   2.8	 24.2	  2.3	      	     	      	      	     	
    7292	 5544	R10	1	1	62	3	 -5.4	  7.3	  36.0	   36.6	-14.21	 0.00	  84.3	   0.2	 19.9	  0.1	-14.83	 0.03	  64.5	   3.2	 59.4	  2.6
    7293	 5544	R10	1	1	63	1	-15.2	  7.3	  15.2	   14.3	-14.84	 0.01	  76.2	   0.5	 18.2	  0.4	      	     	      	      	     	
    7294	 5544	R10	1	1	64	7	-15.2	 -9.6	  -0.2	    1.2	-15.98	 0.16	   2.8	   5.1	 14.7	  4.2	      	     	      	      	     	
    7295	 5544	R10	1	1	65	7	-25.1	  7.3	  -0.2	    4.6	-15.77	 0.11	  58.5	   5.4	 22.7	  4.4	      	     	      	      	     	
    7296	 5544	R10	1	1	66	3	 -5.4	 -4.0	  55.1	   55.1	-13.70	 0.00	  17.8	   0.1	 24.5	  0.1	-14.02	 0.01	  -0.2	   0.7	 54.2	  0.5
    7297	 5544	R10	1	1	73	1	-30.0	 -1.1	  25.3	   24.5	-15.39	 0.04	  40.1	   1.2	 14.1	  1.0	      	     	      	      	     	
    7298	 5544	R10	1	1	79	1	 -0.5	-18.0	  12.5	   10.7	-15.10	 0.03	 -59.5	   1.5	 21.5	  1.2	      	     	      	      	     	
    7299	 5544	R10	1	1	82	1	-20.2	 -1.1	  25.6	   25.3	-14.96	 0.03	  55.2	   1.2	 21.4	  0.9	      	     	      	      	     	
    7300	 5544	R10	1	2	 4	7	 24.1	  1.7	  -0.2	    3.3	-15.56	 0.15	 -54.7	   3.7	 13.4	  3.0	      	     	      	      	     	
    7301	 5544	R10	1	2	13	1	 34.0	-15.2	  -0.2	   -0.2	-15.26	 0.08	 -68.0	   2.4	 14.2	  2.0	      	     	      	      	     	
    7302	 5544	R10	1	2	15	1	 24.1	-15.2	  12.2	   13.5	-15.52	 0.13	 -88.6	   4.6	 16.1	  3.7	      	     	      	      	     	
    7303	 5544	R10	1	2	20	1	 14.3	 18.6	  81.1	   78.2	-15.12	 0.09	  18.9	   8.8	 46.9	  7.1	      	     	      	      	     	
    7304	 5544	R10	1	2	21	1	  9.4	 10.1	  13.8	   15.4	-14.91	 0.04	   5.3	   2.1	 27.2	  1.7	      	     	      	      	     	
    7305	 5544	R10	1	2	23	1	 14.3	  1.7	  39.3	   41.4	-14.53	 0.02	 -42.7	   0.7	 20.3	  0.5	      	     	      	      	     	
    7306	 5544	R10	1	2	24	1	 14.3	-15.2	  44.1	   42.7	-14.54	 0.02	 -86.2	   0.9	 20.2	  0.8	      	     	      	      	     	
    7307	 5544	R10	1	2	26	3	  4.4	 -4.0	  69.3	   68.7	-13.64	 0.00	 -80.8	   0.1	 22.9	  0.1	-13.77	 0.01	 -78.4	   0.7	 56.8	  0.6
    7308	 5544	R10	1	2	28	1	 19.2	 -6.8	  45.2	   47.2	-14.82	 0.03	 -73.9	   1.3	 19.7	  1.0	      	     	      	      	     	
    7309	 5544	R10	1	2	30	1	 19.2	-23.7	  -0.2	   -0.2	-15.36	 0.09	 -82.0	   2.9	 16.0	  2.4	      	     	      	      	     	
    7310	 5544	R10	1	2	31	1	 -0.5	-12.4	   8.3	    8.2	-14.95	 0.06	 -58.0	   3.3	 25.5	  2.7	      	     	      	      	     	
    7311	 5544	R10	1	2	33	7	  9.4	-23.7	  -0.2	   19.8	-15.16	 0.07	 -74.9	   5.3	 35.8	  4.3	      	     	      	      	     	
    7312	 5544	R10	1	2	38	1	 -0.5	 27.0	  30.3	   37.0	-15.05	 0.04	  69.1	   1.2	 15.4	  1.0	      	     	      	      	     	
    7313	 5544	R10	1	2	39	7	-10.4	 27.0	  -0.2	   -0.2	-15.64	 0.11	  82.1	   2.9	 12.1	  2.4	      	     	      	      	     	
    7314	 5544	R10	1	2	41	3	  4.4	  1.7	  43.1	   43.5	-13.96	 0.00	 -28.9	   0.3	 28.5	  0.2	-14.11	 0.01	 -20.1	   1.1	 59.9	  0.9
    7315	 5544	R10	1	2	42	1	 -0.5	 10.1	  34.5	   35.9	-14.35	 0.01	  62.3	   0.5	 22.1	  0.4	      	     	      	      	     	
    7316	 5544	R10	1	2	43	3	 -5.4	 -4.0	  55.3	   56.1	-13.79	 0.00	  17.2	   0.2	 23.4	  0.1	-13.94	 0.01	   2.3	   0.7	 45.9	  0.5
    7317	 5544	R10	1	2	44	3	 -0.5	  4.5	  57.1	   57.0	-13.62	 0.00	  64.4	   0.2	 26.9	  0.2	-13.82	 0.01	  50.8	   0.7	 49.1	  0.6
    7318	 5544	R10	1	2	45	7	-10.4	 -6.8	  -0.2	    0.0	-15.48	 0.13	  16.0	   4.1	 15.1	  3.3	      	     	      	      	     	
    7319	 5544	R10	1	2	46	3	  4.4	 -9.6	  28.2	   28.2	-14.26	 0.01	 -84.9	   0.3	 18.8	  0.3	-14.84	 0.05	 -75.6	   4.1	 42.3	  3.3
    7320	 5544	R10	1	2	47	4	 -0.5	 -1.1	  -0.2	   18.1	-14.09	 0.03	 -83.7	   1.8	 26.3	  1.4	-13.39	 0.01	 -13.3	   1.6	 71.4	  1.3
    7321	 5544	R10	1	2	48	1	 -0.5	-18.0	   9.7	    9.3	-15.17	 0.06	 -59.8	   2.4	 18.5	  2.0	      	     	      	      	     	
    7322	 5544	R10	1	2	51	1	 -5.4	-15.2	   6.6	    6.4	-15.35	 0.08	 -41.6	   3.4	 19.8	  2.8	      	     	      	      	     	
    7323	 5544	R10	1	2	52	3	 -0.5	 -6.8	  38.8	   36.6	-13.81	 0.00	 -56.5	   0.3	 29.2	  0.3	-14.28	 0.02	 -49.8	   3.4	 71.2	  2.8
    7324	 5544	R10	1	2	56	1	-10.4	 10.1	   5.6	    5.8	-15.12	 0.06	  88.1	   2.1	 17.6	  1.7	      	     	      	      	     	
    7325	 5544	R10	1	2	58	1	-15.3	 18.6	   6.9	    0.0	-15.46	 0.10	  89.5	   3.3	 15.3	  2.7	      	     	      	      	     	
    7326	 5544	R10	1	2	62	3	 -5.4	  1.7	  45.8	   45.9	-13.59	 0.00	  68.5	   0.1	 26.1	  0.1	-14.02	 0.01	  53.4	   1.3	 62.5	  1.0
    7327	 5544	R10	1	2	63	1	-15.3	  1.7	  19.0	   21.4	-14.75	 0.03	  62.2	   1.3	 22.5	  1.0	      	     	      	      	     	
    7328	 5544	R10	1	2	66	1	 -5.4	 -9.6	  20.8	   20.4	-14.46	 0.01	 -31.7	   0.5	 22.1	  0.4	      	     	      	      	     	
    7329	 5544	R10	1	3	 1	3	  3.8	 -4.1	  68.1	   67.8	-13.50	 0.00	 -80.4	   0.2	 23.8	  0.1	-13.63	 0.01	 -75.2	   0.9	 63.5	  0.7
    7330	 5544	R10	1	3	 7	1	 18.5	 21.2	  52.7	   55.1	-15.21	 0.07	  20.1	   3.2	 19.8	  2.6	      	     	      	      	     	
    7331	 5544	R10	1	3	 8	1	 23.5	 -4.1	  27.3	   32.3	-15.51	 0.09	 -69.0	   2.1	 12.3	  1.7	      	     	      	      	     	
    7332	 5544	R10	1	3	14	7	 23.5	-21.0	  -0.2	    5.9	-15.47	 0.11	 -83.7	   3.5	 14.6	  2.9	      	     	      	      	     	
    7333	 5544	R10	1	3	15	1	 18.5	-12.6	  21.2	   23.6	-14.79	 0.02	 -82.8	   0.9	 18.6	  0.7	      	     	      	      	     	
    7334	 5544	R10	1	3	18	1	 -1.2	 21.2	   8.0	    8.6	-15.38	 0.08	  55.5	   2.8	 16.0	  2.3	      	     	      	      	     	
    7335	 5544	R10	1	3	20	1	  8.7	 21.2	  84.7	   70.4	-15.29	 0.08	  38.6	   3.0	 17.4	  2.4	      	     	      	      	     	
    7336	 5544	R10	1	3	21	1	  3.8	 12.8	  21.0	   20.6	-14.76	 0.03	  44.1	   1.8	 28.1	  1.4	      	     	      	      	     	
    7337	 5544	R10	1	3	23	3	  8.7	  4.3	  57.2	   56.9	-13.88	 0.00	 -22.8	   0.2	 22.8	  0.1	-14.36	 0.02	 -33.3	   1.7	 52.7	  1.3
    7338	 5544	R10	1	3	24	1	  8.7	-12.6	   6.6	    6.0	-15.17	 0.05	 -76.7	   2.1	 18.8	  1.7	      	     	      	      	     	
    7339	 5544	R10	1	3	25	1	 -1.2	-12.6	   8.0	    8.5	-14.94	 0.04	 -55.6	   1.9	 25.0	  1.6	      	     	      	      	     	
    7340	 5544	R10	1	3	26	4	 -1.2	 -1.3	  -0.2	   18.6	-13.67	 0.00	 -76.5	   0.4	 40.3	  0.4	-13.50	 0.00	  19.8	   0.4	 51.3	  0.3
    7341	 5544	R10	1	3	28	3	 13.6	 -4.1	  17.3	   17.3	-14.80	 0.02	 -69.3	   0.6	 16.3	  0.5	-15.12	 0.06	 -61.2	   4.8	 39.4	  3.9
    7342	 5544	R10	1	3	29	1	  3.8	-37.9	  -0.2	   -0.2	-15.19	 0.05	 -62.9	   1.9	 16.7	  1.6	      	     	      	      	     	
    7343	 5544	R10	1	3	30	1	 13.6	-21.0	 229.9	  243.0	-15.03	 0.03	 -81.1	   1.3	 18.1	  1.1	      	     	      	      	     	
    7344	 5544	R10	1	3	31	1	 -6.1	 -9.7	  18.9	   20.0	-14.44	 0.01	 -29.3	   0.6	 22.1	  0.4	      	     	      	      	     	
    7345	 5544	R10	1	3	32	1	 -1.2	-29.4	  33.2	   29.1	-15.56	 0.10	 -61.6	   2.3	 10.8	  1.9	      	     	      	      	     	
    7346	 5544	R10	1	3	33	1	  3.8	-21.0	   7.2	    0.0	-15.49	 0.10	 -69.3	   3.2	 14.2	  2.6	      	     	      	      	     	
    7347	 5544	R10	1	3	39	1	-15.9	 29.7	  -0.2	   -0.2	-15.22	 0.07	  77.4	   4.3	 28.6	  3.5	      	     	      	      	     	
    7348	 5544	R10	1	3	40	1	-11.0	 21.2	  17.1	   15.2	-15.25	 0.05	  78.9	   1.9	 16.0	  1.5	      	     	      	      	     	
    7349	 5544	R10	1	3	41	3	 -1.2	  4.3	  57.6	   58.0	-13.50	 0.00	  66.5	   0.1	 27.9	  0.1	-13.89	 0.01	  50.5	   0.8	 55.0	  0.7
    7350	 5544	R10	1	3	42	1	 -6.1	 12.8	  36.3	   34.4	-14.50	 0.01	  82.1	   0.6	 23.1	  0.5	      	     	      	      	     	
    7351	 5544	R10	1	3	43	1	-11.0	 -1.3	   6.2	    6.3	-14.97	 0.04	  38.0	   2.1	 25.9	  1.7	      	     	      	      	     	
    7352	 5544	R10	1	3	44	3	 -6.1	  7.1	  35.6	   34.2	-14.23	 0.01	  84.2	   0.3	 19.1	  0.2	-14.63	 0.03	  61.4	   3.3	 54.0	  2.7
    7353	 5544	R10	1	3	45	1	-15.9	 -4.1	  23.9	   22.6	-14.60	 0.01	  43.3	   0.6	 19.9	  0.5	      	     	      	      	     	
    7354	 5544	R10	1	3	46	3	 -1.2	 -6.9	  34.0	   32.6	-13.84	 0.00	 -50.9	   0.2	 28.2	  0.2	-14.30	 0.02	 -57.0	   2.4	 71.7	  1.9
    7355	 5544	R10	1	3	47	3	 -6.1	  1.5	  47.8	   47.4	-13.60	 0.00	  69.3	   0.1	 25.4	  0.1	-14.01	 0.01	  52.5	   1.4	 67.2	  1.1
    7356	 5544	R10	1	3	48	1	 -6.1	-15.4	  14.5	   13.7	-15.04	 0.04	 -43.9	   2.5	 26.1	  2.0	      	     	      	      	     	
    7357	 5544	R10	1	3	51	1	-11.0	-12.6	  19.0	   22.7	-15.09	 0.07	 -11.9	   5.7	 40.7	  4.6	      	     	      	      	     	
    7358	 5544	R10	1	3	52	3	 -6.1	 -4.1	  59.1	   58.7	-13.74	 0.00	  17.7	   0.1	 23.8	  0.1	-14.02	 0.01	  -2.2	   0.8	 51.5	  0.7
    7359	 5544	R10	1	3	56	1	-15.9	 12.8	   9.2	    9.2	-15.18	 0.05	  81.5	   2.2	 20.0	  1.8	      	     	      	      	     	
    7360	 5544	R10	1	3	58	1	-20.9	 21.2	  12.0	   13.7	-15.31	 0.07	  75.9	   2.8	 18.3	  2.3	      	     	      	      	     	
    7361	 5544	R10	1	3	60	1	-25.8	 12.8	  -0.2	   -0.2	-15.24	 0.06	  73.9	   3.5	 25.7	  2.9	      	     	      	      	     	
    7362	 5544	R10	1	3	62	1	-11.0	  4.3	   6.9	    7.0	-14.92	 0.04	  74.7	   2.1	 24.8	  1.7	      	     	      	      	     	
    7363	 5544	R10	1	3	63	1	-20.9	  4.3	  13.5	   12.6	-15.29	 0.09	  72.2	   3.9	 21.5	  3.2	      	     	      	      	     	
    7364	 5544	R10	1	3	82	1	-25.8	 -4.1	  14.3	   18.5	-15.10	 0.06	  36.5	   2.1	 16.6	  1.7	      	     	      	      	     	
    7365	 5577	P3 	3	1	 1	1	  5.2	 -7.0	  22.8	   24.0	-14.62	 0.02	 -16.1	   1.0	 20.4	  0.8	      	     	      	      	     	
    7366	 5577	P3 	3	1	15	7	 20.0	-15.4	  -0.2	   12.0	-15.37	 0.10	 -29.5	   4.0	 19.6	  3.3	      	     	      	      	     	
    7367	 5577	P3 	3	1	21	1	  5.2	  9.9	  -0.2	   -0.2	-14.77	 0.02	  -7.8	   1.3	 25.4	  1.1	      	     	      	      	     	
    7368	 5577	P3 	3	1	23	1	 10.1	  1.5	  -0.2	   -0.2	-15.00	 0.04	 -16.2	   1.9	 20.1	  1.5	      	     	      	      	     	
    7369	 5577	P3 	3	1	24	1	 10.1	-15.4	  47.7	   50.1	-15.21	 0.06	 -21.2	   2.0	 16.1	  1.6	      	     	      	      	     	
    7370	 5577	P3 	3	1	25	1	  0.3	-15.4	  -0.2	   -0.2	-15.24	 0.06	  -8.6	   2.7	 20.2	  2.2	      	     	      	      	     	
    7371	 5577	P3 	3	1	26	1	  0.3	 -4.1	  46.9	   48.8	-14.46	 0.01	 -10.1	   0.6	 21.6	  0.5	      	     	      	      	     	
    7372	 5577	P3 	3	1	31	1	 -4.6	-12.6	  13.5	   14.8	-14.98	 0.04	  10.4	   1.8	 20.5	  1.5	      	     	      	      	     	
    7373	 5577	P3 	3	1	41	3	  0.3	  1.5	  83.7	   62.7	-15.07	 0.44	  -7.0	  20.0	 16.0	 16.4	-15.15	 0.17	 -29.2	   1.5	 78.7	  1.3
    7374	 5577	P3 	3	1	42	1	 -4.6	  9.9	  -0.2	   -0.2	-14.98	 0.04	  18.4	   2.6	 30.5	  2.1	      	     	      	      	     	
    7375	 5577	P3 	3	1	43	1	 -9.6	 -4.1	  27.5	   24.8	-14.82	 0.03	  21.3	   1.4	 20.6	  1.2	      	     	      	      	     	
    7376	 5577	P3 	3	1	45	1	-14.5	 -7.0	  26.8	   32.1	-14.88	 0.03	  20.9	   1.3	 21.4	  1.1	      	     	      	      	     	
    7377	 5577	P3 	3	1	46	1	  0.3	 -9.8	  14.9	   16.6	-15.03	 0.04	  -7.5	   1.8	 19.6	  1.5	      	     	      	      	     	
    7378	 5577	P3 	3	1	47	7	 -4.6	 -1.3	  -0.2	    6.8	-15.40	 0.10	  12.6	   3.0	 14.0	  2.5	      	     	      	      	     	
    7379	 5577	P3 	3	1	51	7	 -9.6	-15.4	  -0.2	    9.5	-15.46	 0.10	   9.4	   2.9	 14.1	  2.4	      	     	      	      	     	
    7380	 5577	P3 	3	1	52	1	 -4.6	 -7.0	  18.1	   20.7	-14.70	 0.02	  10.6	   1.2	 23.4	  1.0	      	     	      	      	     	
    7381	 5577	P3 	3	1	62	7	 -9.6	  1.5	  -0.2	   14.3	-15.31	 0.10	  14.6	   4.1	 20.1	  3.3	      	     	      	      	     	
    7382	 5577	P3 	3	1	66	1	 -9.6	 -9.8	  40.2	   40.9	-14.45	 0.01	  17.4	   0.6	 22.7	  0.5	      	     	      	      	     	
    7383	 5577	P3 	3	2	 1	2	  6.5	 -8.3	  49.5	   44.5	-14.91	 0.02	 -18.6	   0.9	 18.4	  0.8	-15.04	 0.05	 -19.2	   4.8	 44.5	  3.9
    7384	 5577	P3 	3	2	 8	1	 26.2	 -8.3	 119.1	  130.3	-15.13	 0.04	 -36.6	   1.5	 17.2	  1.2	      	     	      	      	     	
    7385	 5577	P3 	3	2	18	1	  1.5	 17.0	  26.2	   26.7	-15.33	 0.06	   6.0	   3.3	 26.3	  2.7	      	     	      	      	     	
    7386	 5577	P3 	3	2	20	1	 11.4	 17.0	  54.6	   59.7	-15.27	 0.05	  -9.4	   2.2	 19.5	  1.8	      	     	      	      	     	
    7387	 5577	P3 	3	2	21	1	  6.5	  8.6	  46.1	   46.5	-14.90	 0.03	  -6.9	   1.6	 27.7	  1.3	      	     	      	      	     	
    7388	 5577	P3 	3	2	23	1	 11.4	  0.2	 224.2	  204.8	-15.14	 0.04	 -25.0	   1.7	 21.7	  1.4	      	     	      	      	     	
    7389	 5577	P3 	3	2	26	1	  1.5	 -5.5	  14.1	   14.3	-15.11	 0.03	  -6.2	   1.5	 21.3	  1.2	      	     	      	      	     	
    7390	 5577	P3 	3	2	27	7	 16.3	  8.6	  -0.2	   12.2	-15.50	 0.11	 -26.0	   5.7	 23.3	  4.6	      	     	      	      	     	
    7391	 5577	P3 	3	2	28	1	 16.3	 -8.3	  22.9	   22.4	-15.33	 0.07	 -37.0	   4.2	 29.5	  3.4	      	     	      	      	     	
    7392	 5577	P3 	3	2	40	1	 -8.3	 17.0	  23.8	   21.5	-15.42	 0.08	  25.7	   3.0	 18.3	  2.4	      	     	      	      	     	
    7393	 5577	P3 	3	2	41	1	  1.5	  0.2	  31.1	   30.4	-14.59	 0.01	  -8.5	   0.5	 21.3	  0.4	      	     	      	      	     	
    7394	 5577	P3 	3	2	42	1	 -3.4	  8.6	 145.8	  138.1	-15.35	 0.06	   5.3	   2.8	 23.7	  2.3	      	     	      	      	     	
    7395	 5577	P3 	3	2	43	1	 -8.3	 -5.5	  28.6	   28.8	-14.58	 0.01	  17.6	   0.4	 22.4	  0.3	      	     	      	      	     	
    7396	 5577	P3 	3	2	44	1	 -3.4	  3.0	   8.0	    7.2	-15.44	 0.06	   7.4	   2.6	 18.9	  2.1	      	     	      	      	     	
    7397	 5577	P3 	3	2	45	1	-13.2	 -8.3	  10.8	   11.5	-15.45	 0.08	  15.3	   4.2	 25.2	  3.4	      	     	      	      	     	
    7398	 5577	P3 	3	2	46	1	  1.5	-11.1	  14.5	   12.2	-15.25	 0.05	  -7.5	   2.9	 26.3	  2.3	      	     	      	      	     	
    7399	 5577	P3 	3	2	47	1	 -3.4	 -2.7	  12.2	   12.4	-14.81	 0.02	  12.0	   1.1	 23.9	  0.9	      	     	      	      	     	
    7400	 5577	P3 	3	2	52	2	 -3.4	 -8.3	  19.2	   15.3	-15.10	 0.03	   9.8	   1.5	 21.7	  1.3	-15.35	 0.12	   4.3	  24.8	 93.7	 20.3
    7401	 5577	P3 	3	2	62	1	 -8.3	  0.2	  17.2	   17.5	-14.94	 0.02	  21.4	   0.9	 21.5	  0.8	      	     	      	      	     	
    7402	 5577	P3 	3	2	66	1	 -8.3	-11.1	  10.6	    8.1	-15.44	 0.06	   9.5	   1.9	 15.2	  1.6	      	     	      	      	     	
    7403	 5868	R5 	5	1	 4	1	 23.0	  8.4	   5.3	    4.1	-15.76	 0.10	  59.5	   3.7	 16.8	  3.0	      	     	      	      	     	
    7404	 5868	R5 	5	1	 8	1	 27.9	  0.0	  34.4	   26.4	-15.32	 0.04	  29.3	   2.2	 27.9	  1.8	      	     	      	      	     	
    7405	 5868	R5 	5	1	14	1	 27.9	-16.9	  21.6	   16.7	-15.75	 0.08	 -46.4	   4.7	 26.9	  3.8	      	     	      	      	     	
    7406	 5868	R5 	5	1	15	1	 23.0	 -8.5	  27.9	   22.0	-15.45	 0.04	  -9.0	   1.6	 18.6	  1.3	      	     	      	      	     	
    7407	 5868	R5 	5	1	20	1	 13.1	 25.3	  20.7	   18.5	-15.86	 0.08	 142.9	   3.0	 18.6	  2.5	      	     	      	      	     	
