#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/703/894/table4&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17030894
#Name: J/ApJ/703/894
#Title: PNe in 5 nearby galaxies (Herrmann+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/apj/703/894	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/703/894	    IVOID of underlying data collection
#INFO	creator=Herrmann K.A.	    First author or institution
#INFO	cites=bibcode:2009ApJ...703..894H	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/703/894	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17030894	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_703_894_table4:
#Name: J/ApJ/703/894/table4
#Title: Planetary nebula identifications
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(a10)	Source identification (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	m5007	(F5.2)	The [O III] (5007) emission line magnitude	[ucd=phot.mag;em.line.OIII]
#Column	l_R	(A1)	Limit flag on R	[ucd=meta.code.error]
#Column	R	(F5.2)	? I({lambda}5007)_0_/I(H{alpha}+[N II])_0_ ratio	[ucd=phot.flux;arith.ratio]
#Column	e_R	(F5.2)	? The 1{sigma} error in R	[ucd=stat.error]
#Column	n_R	(A4)	? Type of R value given (L, Phot, Spect)	[ucd=meta.note]
#Column	Ntrg	(I1)	? Number of Hydra+MRS setups where PN was targeted	[ucd=meta.number]
#Column	Ndet	(I1)	? Number of Hydra+MRS setups where PN was detected	[ucd=meta.number]
#Column	RV	(F6.1)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F4.1)	? The 1{sigma} error in RV	[ucd=stat.error]
#Column	Rem	(A3)	Remarks (2)	[ucd=meta.note]
#Column	File	(a26)	Name of the FITS file of the spectrum	[ucd=meta.id;meta.fits]
#Column	File2	(a26)	Name of the second FITS file of the spectrum	[ucd=meta.id;meta.file]
#Column	Sp	(A3)	VizieR added column, not part of original data	[ucd=meta.ref.url]
recno	ID	RAJ2000	DEJ2000	m5007	l_R	R	e_R	n_R	Ntrg	Ndet	RV	e_RV	Rem	File	File2	Sp
     290	M74-125   	01 36 45.29	+15 46 15.7	26.90	>	 0.89	     	Phot	0	0	      	    	   	                          	                          	1 2
     291	M74-126   	01 36 23.13	+15 47 42.9	26.93	>	 0.88	     	Phot	0	0	      	    	   	                          	                          	1 2
     292	M74-127   	01 36 48.28	+15 50 58.0	26.93	>	 0.87	     	Phot	7	3	 795.3	 9.4	   	M74/PN_M74_127.fits       	                          	1 2
     293	M74-128   	01 36 41.87	+15 50 30.3	26.94	>	 0.48	     	Phot	4	1	 664.3	 9.0	   	M74/PN_M74_128.fits       	                          	1 2
     294	M74-129   	01 36 32.05	+15 46 26.1	26.96	 	 3.25	     	Spec	2	1	 665.5	 6.8	   	M74/PN_M74_129.fits       	                          	1 2
     295	M74-130   	01 36 33.81	+15 45 43.0	26.98	>	 0.84	     	Phot	0	0	      	    	   	                          	                          	1 2
     296	M74-131   	01 36 33.62	+15 45 11.1	26.98	>	 0.84	     	Phot	0	0	      	    	   	                          	                          	1 2
     297	M74-132   	01 36 31.89	+15 48 07.1	26.98	 	 1.42	     	Spec	2	0	      	    	   	                          	                          	1 2
     298	M74-133   	01 36 43.23	+15 44 58.5	27.00	>	 0.82	     	Phot	2	0	      	    	   	                          	                          	1 2
     299	M74-134   	01 36 40.16	+15 44 50.3	27.01	>	 0.82	     	Phot	5	1	 639.3	12.8	   	M74/PN_M74_134.fits       	                          	1 2
     300	M74-135   	01 36 27.62	+15 44 32.8	27.03	>	 0.80	     	Phot	3	0	      	    	   	                          	                          	1 2
     301	M74-136   	01 36 32.04	+15 51 00.9	27.03	>	 0.80	     	Phot	5	0	      	    	   	                          	                          	1 2
     302	M74-137   	01 36 52.76	+15 45 16.1	27.03	>	 0.80	     	Phot	3	2	 639.0	17.2	U  	M74/PN_M74_137_U.fits     	                          	1 2
     303	M74-138   	01 36 23.97	+15 46 44.3	27.04	 	 1.33	 0.66	Phot	4	0	      	    	   	                          	                          	1 2
     304	M74-139   	01 36 43.37	+15 46 42.3	27.04	>	 0.79	     	Phot	0	0	      	    	   	                          	                          	1 2
     305	M74-140   	01 36 33.05	+15 47 30.1	27.07	>	 0.78	     	Phot	2	2	 656.2	12.0	   	M74/PN_M74_140.fits       	                          	1 2
     306	M74-141   	01 36 38.91	+15 45 12.3	27.08	 	 0.81	 0.27	Phot	0	0	      	    	   	                          	                          	1 2
     307	M74-142   	01 37 01.54	+15 46 02.4	27.14	>	 0.74	     	Phot	0	0	      	    	   	                          	                          	1 2
     308	M74-143   	01 36 51.12	+15 48 12.2	27.15	 	 0.61	 0.16	Phot	4	3	 675.5	 6.4	H  	M74/PN_M74_143_H.fits     	                          	1 2
     309	M74-144   	01 36 52.59	+15 48 37.0	27.16	>	 0.34	     	Phot	2	1	 697.0	 7.0	   	M74/PN_M74_144.fits       	                          	1 2
     310	M74-145   	01 36 52.27	+15 47 37.1	27.16	>	 0.72	     	Phot	5	2	 670.2	10.9	   	M74/PN_M74_145.fits       	                          	1 2
     311	M74-146   	01 36 29.82	+15 46 58.5	27.27	 	 1.99	     	Spec	4	2	 608.6	 8.1	   	M74/PN_M74_146.fits       	                          	1 2
     312	M74-147   	01 36 26.34	+15 49 27.9	27.31	>	 0.63	     	Phot	2	1	 669.2	 9.8	   	M74/PN_M74_147.fits       	                          	1 2
     313	M74-148   	01 36 35.32	+15 44 47.5	27.39	 	 1.10	     	Spec	2	1	 643.4	 8.6	   	M74/PN_M74_148.fits       	                          	1 2
     314	M74-149   	01 36 57.61	+15 45 59.5	27.43	>	 0.57	     	Phot	0	0	      	    	   	                          	                          	1 2
     315	M74-150   	01 36 50.10	+15 47 44.4	27.45	 	 0.63	     	Spec	4	1	 720.0	15.4	U  	M74/PN_M74_150_U.fits     	                          	1 2
     316	M74-151   	01 36 41.11	+15 50 10.0	27.48	>	 0.55	     	Phot	0	0	      	    	   	                          	                          	1 2
     317	M74-152   	01 36 51.40	+15 45 03.1	27.51	 	 0.52	 0.17	Phot	2	0	      	    	   	                          	                          	1 2
     318	M74-153   	01 36 57.04	+15 46 48.2	27.55	>	 0.52	     	Phot	0	0	      	    	   	                          	                          	1 2
     319	M83-1     	13 37 00.99	-29 57 31.8	24.24	 	 2.39	 0.23	Phot	2	2	 586.9	 2.5	   	M83/PN_M83_001.fits       	                          	1 2
     320	M83-2     	13 37 28.39	-29 56 44.9	24.24	 	 2.91	 0.32	Phot	4	4	 503.7	 2.0	   	M83/PN_M83_002.fits       	                          	1 2
     321	M83-3     	13 37 15.21	-29 54 38.2	24.26	 	 2.05	 0.24	Phot	2	2	 488.2	 2.3	   	M83/PN_M83_003.fits       	                          	1 2
     322	M83-4     	13 37 00.42	-30 00 47.3	24.32	 	 1.89	 0.16	Phot	3	3	 545.0	 2.4	   	M83/PN_M83_004.fits       	                          	1 2
     323	M83-5     	13 36 46.65	-29 50 06.4	24.34	 	 1.96	 0.26	Phot	2	2	 525.8	 2.8	   	M83/PN_M83_005.fits       	                          	1 2
     324	M83-6     	13 37 29.17	-29 52 36.0	24.43	 	 3.18	 0.45	Phot	2	2	 526.6	 6.4	   	M83/PN_M83_006.fits       	                          	1 2
     325	M83-7     	13 37 04.19	-29 54 30.8	24.43	 	 2.77	 0.75	Phot	3	3	 629.8	 4.0	S  	M83/PN_M83_007_S0.fits    	M83/PN_M83_007_S1.fits    	1 2
     326	M83-8     	13 37 08.40	-29 48 19.6	24.44	 	 2.93	 0.46	Phot	2	2	 579.0	 4.3	S  	M83/PN_M83_008_S0.fits    	M83/PN_M83_008_S1.fits    	1 2
     327	M83-9     	13 37 25.45	-29 48 20.5	24.44	 	 2.54	 0.28	Phot	2	2	 442.7	 6.2	   	M83/PN_M83_009.fits       	                          	1 2
     328	M83-10    	13 36 52.72	-29 54 06.2	24.45	>	 7.12	     	Phot	2	2	 563.0	 6.1	H  	M83/PN_M83_010_H.fits     	                          	1 2
     329	M83-11    	13 37 04.69	-29 51 51.2	24.46	>	 7.07	     	Phot	3	3	 533.5	 8.5	H  	M83/PN_M83_011_H.fits     	                          	1 2
     330	M83-12    	13 37 05.06	-29 57 39.2	24.46	 	 2.35	 0.27	Phot	2	2	 583.0	 4.5	   	M83/PN_M83_012.fits       	                          	1 2
     331	M83-13    	13 36 44.10	-29 57 25.8	24.46	 	 2.59	 0.26	Phot	2	2	 574.4	 4.7	   	M83/PN_M83_013.fits       	                          	1 2
     332	M83-14    	13 37 10.58	-29 50 29.0	24.46	>	 2.27	     	Phot	2	2	 478.3	 4.6	C  	M83/PN_M83_014_C.fits     	                          	1 2
     333	M83-15    	13 37 27.93	-29 48 09.7	24.48	 	 2.09	 0.19	Phot	2	2	 438.5	 2.5	   	M83/PN_M83_015.fits       	                          	1 2
     334	M83-16    	13 37 04.99	-29 41 56.0	24.49	 	 2.33	 0.27	Phot	2	2	 436.1	 3.9	   	M83/PN_M83_016.fits       	                          	1 2
     335	M83-17    	13 37 13.92	-29 51 49.6	24.54	 	 1.91	 0.34	Phot	2	2	 476.5	 2.9	H  	M83/PN_M83_017_H.fits     	                          	1 2
     336	M83-18    	13 37 14.74	-29 56 58.9	24.57	 	 2.03	 0.27	Phot	3	3	 488.2	 3.7	   	M83/PN_M83_018.fits       	                          	1 2
     337	M83-19    	13 37 45.89	-29 43 31.1	24.58	 	 1.27	 0.09	Phot	4	4	 427.2	 2.8	   	M83/PN_M83_019.fits       	                          	1 2
     338	M83-20    	13 37 03.48	-29 46 48.6	24.58	 	 1.92	 0.19	Phot	3	3	 454.7	 3.6	   	M83/PN_M83_020.fits       	                          	1 2
     339	M83-21    	13 37 03.11	-29 58 42.0	24.59	 	 2.71	 0.45	Phot	2	2	 559.0	 2.5	   	M83/PN_M83_021.fits       	                          	1 2
     340	M83-22    	13 37 01.81	-29 56 54.3	24.59	 	 3.12	 0.50	Phot	2	2	 506.4	 4.2	   	M83/PN_M83_022.fits       	                          	1 2
     341	M83-23    	13 36 46.71	-29 56 26.2	24.61	 	 2.60	 0.30	Phot	1	1	 608.9	 4.2	   	M83/PN_M83_023.fits       	                          	1 2
     342	M83-24    	13 36 53.52	-29 59 20.0	24.61	 	 2.19	 0.26	Phot	3	3	 578.3	 2.8	   	M83/PN_M83_024.fits       	                          	1 2
     343	M83-25    	13 37 18.16	-29 51 11.7	24.63	 	 3.48	 0.66	Phot	2	2	 420.2	 3.4	   	M83/PN_M83_025.fits       	                          	1 2
     344	M83-26    	13 37 24.06	-29 55 27.4	24.64	 	 2.68	 0.35	Phot	3	3	 475.9	 3.4	   	M83/PN_M83_026.fits       	                          	1 2
     345	M83-27    	13 36 52.84	-29 55 06.7	24.65	 	 2.48	 0.47	Phot	3	3	 534.5	 5.7	H  	M83/PN_M83_027_H.fits     	                          	1 2
     346	M83-28    	13 37 16.32	-29 49 12.8	24.67	 	 2.08	 0.27	Phot	2	2	 454.4	 2.8	   	M83/PN_M83_028.fits       	                          	1 2
     347	M83-29    	13 37 11.65	-29 48 10.8	24.67	 	 1.72	 0.21	Phot	2	2	 500.2	 5.4	   	M83/PN_M83_029.fits       	                          	1 2
     348	M83-30    	13 36 50.59	-29 57 27.8	24.68	 	 2.83	 0.44	Phot	2	2	 553.0	 3.9	   	M83/PN_M83_030.fits       	                          	1 2
     349	M83-31    	13 37 12.72	-29 48 50.5	24.69	 	 2.98	 0.47	Phot	2	2	 405.9	 6.2	C  	M83/PN_M83_031_C.fits     	                          	1 2
     350	M83-32    	13 36 54.55	-29 55 05.5	24.73	 	 1.77	 0.23	Phot	2	2	 580.1	 5.4	H  	M83/PN_M83_032_H.fits     	                          	1 2
     351	M83-33    	13 37 02.14	-29 56 43.5	24.74	 	 4.04	 0.96	Phot	2	2	 536.5	 3.3	   	M83/PN_M83_033.fits       	                          	1 2
     352	M83-34    	13 36 43.46	-29 58 14.8	24.74	 	 2.00	 0.19	Phot	3	3	 623.6	 2.9	   	M83/PN_M83_034.fits       	                          	1 2
     353	M83-35    	13 36 50.00	-29 47 57.2	24.76	 	 1.08	 0.08	Phot	2	2	 544.0	 6.3	   	M83/PN_M83_035.fits       	                          	1 2
     354	M83-36    	13 36 48.56	-29 55 29.7	24.79	 	 2.41	 0.67	Phot	2	2	 571.5	 4.9	   	M83/PN_M83_036.fits       	                          	1 2
     355	M83-37    	13 37 01.53	-29 46 30.5	24.79	 	 2.08	 0.27	Phot	3	3	 547.0	 4.7	   	M83/PN_M83_037.fits       	                          	1 2
     356	M83-38    	13 37 00.05	-29 48 08.9	24.79	>	 5.21	     	Phot	2	2	 462.6	 6.7	H  	M83/PN_M83_038_H.fits     	                          	1 2
     357	M83-39    	13 36 40.15	-29 59 50.0	24.80	 	 2.49	 0.29	Phot	3	3	 528.7	 4.6	   	M83/PN_M83_039.fits       	                          	1 2
     358	M83-40    	13 36 57.62	-29 45 59.0	24.80	 	 2.63	 0.44	Phot	3	3	 484.1	 4.2	   	M83/PN_M83_040.fits       	                          	1 2
     359	M83-41    	13 36 54.81	-29 48 30.1	24.81	>	 1.96	     	Phot	3	3	 462.2	 4.9	C  	M83/PN_M83_041_C.fits     	                          	1 2
     360	M83-42    	13 37 02.06	-29 57 04.1	24.81	 	 2.35	 0.33	Phot	1	1	 611.7	10.2	H  	M83/PN_M83_042_H.fits     	                          	1 2
     361	M83-43    	13 36 32.69	-29 57 05.0	24.81	 	 2.27	 0.27	Phot	3	3	 543.6	 3.2	   	M83/PN_M83_043.fits       	                          	1 2
     362	M83-44    	13 37 13.67	-29 56 21.4	24.82	>	 1.61	     	Phot	3	3	 490.3	 6.5	   	M83/PN_M83_044.fits       	                          	1 2
     363	M83-45    	13 36 39.28	-29 53 10.6	24.83	 	 1.73	 0.16	Phot	4	4	 575.9	 4.0	   	M83/PN_M83_045.fits       	                          	1 2
     364	M83-46    	13 37 22.48	-29 52 52.2	24.83	 	 1.80	 0.19	Phot	2	2	 433.8	 5.6	   	M83/PN_M83_046.fits       	                          	1 2
     365	M83-47    	13 36 54.94	-29 48 56.6	24.84	>	 1.91	     	Phot	3	3	 523.1	 3.7	C  	M83/PN_M83_047_C.fits     	                          	1 2
     366	M83-48    	13 37 04.58	-29 56 54.2	24.84	 	 2.09	 0.36	Phot	3	3	 625.3	 4.1	   	M83/PN_M83_048.fits       	                          	1 2
     367	M83-49    	13 37 30.14	-29 54 35.8	24.85	 	 1.94	 0.27	Phot	3	3	 439.7	 5.2	   	M83/PN_M83_049.fits       	                          	1 2
     368	M83-50    	13 37 03.23	-29 57 36.6	24.86	 	 2.98	 0.72	Phot	2	2	 633.9	 3.7	   	M83/PN_M83_050.fits       	                          	1 2
     369	M83-51    	13 36 27.36	-29 50 42.7	24.87	 	 1.78	 0.19	Phot	5	5	 581.3	 3.7	   	M83/PN_M83_051.fits       	                          	1 2
     370	M83-52    	13 37 05.45	-29 48 31.0	24.87	 	 1.78	 0.50	Phot	2	1	 439.1	 3.7	H  	M83/PN_M83_052_H.fits     	                          	1 2
     371	M83-53    	13 36 37.73	-29 55 53.5	24.88	 	 2.46	 0.32	Phot	2	2	 549.1	 5.0	   	M83/PN_M83_053.fits       	                          	1 2
     372	M83-54    	13 36 53.57	-29 57 10.6	24.88	 	 1.43	 0.13	Phot	0	0	      	    	   	                          	                          	1 2
     373	M83-55    	13 36 52.87	-29 54 19.8	24.89	>	 1.53	     	Phot	1	1	 549.1	 8.6	H  	M83/PN_M83_055_H.fits     	                          	1 2
     374	M83-56    	13 36 39.18	-29 55 14.6	24.89	 	 2.25	 0.33	Phot	2	2	 591.6	 5.1	   	M83/PN_M83_056.fits       	                          	1 2
     375	M83-57    	13 36 35.07	-29 46 55.3	24.90	 	 2.46	 0.40	Phot	3	3	 535.3	 3.8	   	M83/PN_M83_057.fits       	                          	1 2
     376	M83-58    	13 36 39.76	-29 53 42.9	24.91	 	 2.42	 0.40	Phot	3	2	 553.0	 4.7	   	M83/PN_M83_058.fits       	                          	1 2
     377	M83-59    	13 37 17.21	-29 47 46.4	24.92	 	 2.69	 0.60	Phot	3	3	 428.6	 4.3	   	M83/PN_M83_059.fits       	                          	1 2
     378	M83-60    	13 36 51.60	-29 44 53.8	24.92	 	 1.65	 0.20	Phot	3	3	 498.6	 5.5	   	M83/PN_M83_060.fits       	                          	1 2
     379	M83-61    	13 36 41.32	-29 59 05.7	24.93	 	 1.38	 0.12	Phot	4	4	 554.9	 4.3	   	M83/PN_M83_061.fits       	                          	1 2
     380	M83-62    	13 36 35.70	-29 45 03.3	24.93	 	 1.63	 0.18	Phot	4	4	 489.9	 4.9	   	M83/PN_M83_062.fits       	                          	1 2
     381	M83-63    	13 36 38.26	-29 52 15.2	24.94	>	 1.59	     	Phot	4	3	 597.1	 8.2	C  	M83/PN_M83_063_C.fits     	                          	1 2
     382	M83-64    	13 37 16.33	-29 50 21.8	24.94	>	 1.93	     	Phot	3	2	 444.8	 5.5	   	M83/PN_M83_064.fits       	                          	1 2
     383	M83-65    	13 36 40.87	-29 49 03.6	24.94	 	 1.72	 0.19	Phot	4	4	 519.0	 4.8	   	M83/PN_M83_065.fits       	                          	1 2
     384	M83-66    	13 36 50.63	-29 57 23.9	24.95	 	 1.46	 0.14	Phot	2	2	 606.6	 5.5	   	M83/PN_M83_066.fits       	                          	1 2
     385	M83-67    	13 36 52.27	-29 55 34.2	24.95	>	 1.31	     	Phot	1	1	 580.5	15.3	U  	M83/PN_M83_067_U.fits     	                          	1 2
     386	M83-68    	13 37 16.01	-29 49 58.8	24.96	 	 3.42	 0.78	Phot	2	2	 517.6	 5.6	   	M83/PN_M83_068.fits       	                          	1 2
     387	M83-69    	13 37 13.43	-29 57 20.0	24.97	 	 2.78	 0.44	Phot	3	2	 545.8	 4.3	   	M83/PN_M83_069.fits       	                          	1 2
     388	M83-70    	13 36 45.86	-29 53 04.2	24.98	>	 1.53	     	Phot	2	2	 642.2	 8.8	S  	M83/PN_M83_070_S0.fits    	M83/PN_M83_070_S1.fits    	1 2
     389	M83-71    	13 36 34.59	-29 52 38.0	24.98	 	 2.22	 0.35	Phot	3	3	 606.0	 4.8	   	M83/PN_M83_071.fits       	                          	1 2
     390	M83-72    	13 36 49.02	-29 56 11.5	24.98	 	 2.67	 0.56	Phot	1	1	 613.3	 5.6	   	M83/PN_M83_072.fits       	                          	1 2
     391	M83-73    	13 37 23.51	-29 49 26.6	24.99	 	 0.87	 0.08	Phot	3	3	 449.6	 3.0	   	M83/PN_M83_073.fits       	                          	1 2
     392	M83-74    	13 37 15.30	-29 48 58.3	25.01	 	 3.53	 0.81	Phot	2	2	 469.7	 6.7	   	M83/PN_M83_074.fits       	                          	1 2
     393	M83-75    	13 36 46.30	-29 50 38.9	25.01	 	 3.56	 0.93	Phot	5	5	 488.4	 5.6	C  	M83/PN_M83_075_C.fits     	                          	1 2
     394	M83-76    	13 36 49.46	-29 54 05.6	25.01	 	 1.49	 0.17	Phot	2	2	 547.3	 6.5	C  	M83/PN_M83_076_C.fits     	                          	1 2
     395	M83-77    	13 36 49.67	-29 57 47.2	25.01	 	 1.51	 0.16	Phot	3	3	 564.0	 5.2	   	M83/PN_M83_077.fits       	                          	1 2
     396	M83-78    	13 37 16.13	-29 54 11.4	25.01	 	 2.31	 0.50	Phot	2	2	 483.1	 6.9	H  	M83/PN_M83_078_H.fits     	                          	1 2
     397	M83-79    	13 37 22.32	-29 48 37.4	25.02	 	 1.70	 0.23	Phot	3	3	 420.7	 3.2	   	M83/PN_M83_079.fits       	                          	1 2
     398	M83-80    	13 37 00.56	-29 52 55.8	25.04	>	 1.33	     	Phot	3	2	 520.3	12.2	H  	M83/PN_M83_080_H.fits     	                          	1 2
     399	M83-81    	13 36 40.60	-29 44 03.3	25.04	 	 2.10	 0.32	Phot	4	4	 497.4	 4.8	   	M83/PN_M83_081.fits       	                          	1 2
     400	M83-82    	13 36 10.83	-29 42 34.8	25.05	 	 1.02	 0.10	Phot	5	5	 507.1	 4.0	   	M83/PN_M83_082.fits       	                          	1 2
     401	M83-83    	13 36 46.71	-29 58 30.3	25.05	 	 1.95	 0.27	Phot	3	3	 569.1	 4.8	   	M83/PN_M83_083.fits       	                          	1 2
     402	M83-84    	13 37 27.65	-29 53 50.1	25.05	 	 2.44	 0.35	Phot	4	4	 440.7	 5.0	   	M83/PN_M83_084.fits       	                          	1 2
     403	M83-85    	13 37 19.12	-29 49 23.5	25.05	 	 1.18	 0.14	Phot	2	2	 446.7	11.2	   	M83/PN_M83_085.fits       	                          	1 2
     404	M83-86    	13 37 12.10	-29 55 23.3	25.06	 	 1.78	 0.36	Phot	2	2	 488.8	 6.5	C  	M83/PN_M83_086_C.fits     	                          	1 2
     405	M83-87    	13 37 10.54	-29 53 44.3	25.08	 	 1.39	 0.20	Phot	3	3	 515.7	 4.8	   	M83/PN_M83_087.fits       	                          	1 2
     406	M83-88    	13 37 32.10	-29 55 43.2	25.09	 	 2.85	 0.57	Phot	3	1	 510.0	 5.1	   	M83/PN_M83_088.fits       	                          	1 2
     407	M83-89    	13 37 05.22	-29 50 26.0	25.09	>	 1.38	     	Phot	2	1	 448.8	13.7	   	M83/PN_M83_089.fits       	                          	1 2
     408	M83-90    	13 36 41.63	-29 55 32.1	25.10	 	 1.98	 0.36	Phot	3	3	 553.4	 5.3	   	M83/PN_M83_090.fits       	                          	1 2
     409	M83-91    	13 37 27.15	-29 46 38.0	25.10	 	 1.65	 0.20	Phot	8	8	 484.9	 2.5	   	M83/PN_M83_091.fits       	                          	1 2
     410	M83-92    	13 37 25.66	-29 49 57.6	25.10	 	 2.08	 0.38	Phot	3	3	 501.5	 5.9	   	M83/PN_M83_092.fits       	                          	1 2
     411	M83-93    	13 36 52.06	-29 44 45.6	25.11	 	 1.24	 0.20	Phot	3	2	 481.9	 6.2	   	M83/PN_M83_093.fits       	                          	1 2
     412	M83-94    	13 37 13.39	-30 00 11.1	25.11	 	 3.22	 0.87	Phot	4	4	 528.4	 3.7	   	M83/PN_M83_094.fits       	                          	1 2
     413	M83-95    	13 37 22.12	-29 56 25.9	25.12	 	 1.70	 0.23	Phot	2	2	 477.3	 4.9	   	M83/PN_M83_095.fits       	                          	1 2
     414	M83-96    	13 37 23.83	-29 52 45.1	25.12	 	 1.84	 0.29	Phot	2	2	 473.6	 8.1	   	M83/PN_M83_096.fits       	                          	1 2
     415	M83-97    	13 36 38.23	-29 58 18.0	25.13	 	 2.19	 0.32	Phot	4	3	 612.4	 7.2	   	M83/PN_M83_097.fits       	                          	1 2
     416	M83-98    	13 36 51.00	-29 59 21.7	25.13	 	 2.45	 0.47	Phot	4	4	 558.2	 3.7	   	M83/PN_M83_098.fits       	                          	1 2
     417	M83-99    	13 36 52.89	-29 48 39.3	25.14	>	 1.74	     	Phot	2	1	 522.4	 9.0	C  	M83/PN_M83_099_C.fits     	                          	1 2
     418	M83-100   	13 37 10.34	-29 51 56.4	25.14	>	 3.76	     	Phot	3	3	 575.0	 7.5	S  	M83/PN_M83_100_S0.fits    	M83/PN_M83_100_S1.fits    	1 2
     419	M83-101   	13 36 44.84	-29 55 07.3	25.15	 	 1.25	 0.16	Phot	1	1	 601.3	 8.4	P  	M83/PN_M83_101_P.fits     	                          	1 2
     420	M83-102   	13 36 59.76	-29 56 03.1	25.16	 	 1.71	 0.43	Phot	4	4	 489.7	 5.0	   	M83/PN_M83_102.fits       	                          	1 2
     421	M83-103   	13 37 19.01	-29 46 09.9	25.17	 	 1.07	 0.11	Phot	4	4	 446.4	 4.9	   	M83/PN_M83_103.fits       	                          	1 2
     422	M83-104   	13 37 15.65	-29 55 02.5	25.17	 	 2.43	 0.54	Phot	1	1	 491.9	 7.0	   	M83/PN_M83_104.fits       	                          	1 2
     423	M83-105   	13 36 37.26	-29 55 12.9	25.18	 	 2.68	 0.53	Phot	2	1	 610.4	15.4	U  	M83/PN_M83_105_U.fits     	                          	1 2
     424	M83-106   	13 36 56.55	-29 58 51.2	25.18	 	 1.15	 0.15	Phot	4	4	 585.3	 6.3	   	M83/PN_M83_106.fits       	                          	1 2
     425	M83-107   	13 36 45.21	-29 51 09.9	25.18	 	 1.06	 0.16	Phot	3	3	 572.1	 9.9	H  	M83/PN_M83_107_H.fits     	                          	1 2
     426	M83-108   	13 37 17.22	-29 55 19.3	25.18	 	 1.25	 0.17	Phot	3	3	 498.4	 9.2	   	M83/PN_M83_108.fits       	                          	1 2
     427	M83-109   	13 36 53.28	-29 58 15.4	25.18	 	 1.75	 0.27	Phot	1	1	 560.4	11.2	   	M83/PN_M83_109.fits       	                          	1 2
     428	M83-110   	13 37 09.86	-29 47 24.4	25.19	 	 2.41	 0.53	Phot	4	4	 482.3	 5.3	   	M83/PN_M83_110.fits       	                          	1 2
     429	M83-111   	13 37 00.32	-29 52 58.7	25.19	>	 3.55	     	Phot	2	1	 592.0	10.1	C  	M83/PN_M83_111_C.fits     	                          	1 2
     430	M83-112   	13 37 04.60	-29 47 18.4	25.20	 	 1.65	 0.26	Phot	2	2	 452.1	 8.2	   	M83/PN_M83_112.fits       	                          	1 2
     431	M83-113   	13 37 17.93	-29 47 31.2	25.21	 	 2.35	 0.50	Phot	3	2	 471.2	 7.6	   	M83/PN_M83_113.fits       	                          	1 2
     432	M83-114   	13 37 01.33	-29 49 19.9	25.21	>	 1.36	     	Phot	3	2	 452.1	11.9	H  	M83/PN_M83_114_H.fits     	                          	1 2
     433	M83-115   	13 36 31.26	-29 54 30.4	25.22	 	 1.78	 0.27	Phot	4	4	 573.3	 6.6	   	M83/PN_M83_115.fits       	                          	1 2
     434	M83-116   	13 37 32.47	-29 55 14.8	25.23	 	 1.08	 0.12	Phot	3	3	 492.3	 6.2	   	M83/PN_M83_116.fits       	                          	1 2
     435	M83-117   	13 37 06.69	-29 47 10.2	25.24	 	 1.98	 0.44	Phot	4	4	 483.4	 5.2	   	M83/PN_M83_117.fits       	                          	1 2
     436	M83-118   	13 37 13.94	-29 50 04.3	25.24	 	 0.91	 0.19	Phot	2	2	 525.0	 7.7	S  	M83/PN_M83_118_S0.fits    	M83/PN_M83_118_S1.fits    	1 2
     437	M83-119   	13 37 25.15	-29 53 05.5	25.27	 	 3.38	 1.00	Phot	3	2	 471.4	 7.1	   	M83/PN_M83_119.fits       	                          	1 2
     438	M83-120   	13 37 36.94	-29 55 39.5	25.27	 	 1.84	 0.30	Phot	4	4	 453.5	 5.6	   	M83/PN_M83_120.fits       	                          	1 2
     439	M83-121   	13 36 46.81	-29 54 59.5	25.28	 	 2.02	 0.80	Phot	1	1	 547.3	 6.3	   	M83/PN_M83_121.fits       	                          	1 2
