#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:49 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/501/2279&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75012279
#Name: J/MNRAS/501/2279
#Title: Stars in the Sagittarius stream (Vasiliev+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/mnras/501/2279	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/501/2279	    IVOID of underlying data collection
#INFO	creator=Vasiliev E.	    First author or institution
#INFO	cites=bibcode:2021MNRAS.501.2279V	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/501/2279	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75012279	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-06-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_501_2279_catalog:
#Name: J/MNRAS/501/2279/catalog
#Title: Catalogue of stars in the Sagittarius stream
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F8.4)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	plx	(F6.3)	Gaia DR2 parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	Error on plx	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F6.3)	Proper motion in right ascension	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	Error on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.3)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	Error on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F5.2)	Gaia DR2 G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BPmag	(F5.2)	Gaia DR2 BP-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	Jmag	(F5.2)	2MASS J-band magnitude	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F5.2)	2MASS H-band magnitude	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F5.2)	2MASS K-band magnitude	[ucd=phot.mag;em.IR.K]
#Column	E(B-V)	(F5.2)	Reddening from Schlegel, Finkbeiner & Davis (1998ApJ...500..525S)	[ucd=phot.color.excess]
#Column	Dist	(F5.2)	Estimate of the distance from nearby RR Lyrae stars	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	Error on Dist	[ucd=stat.error]
#Column	vLOS	(F7.2)	? Heliocentric line-of-sight velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_vLOS	(F5.2)	? Error on vLOS	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Fe/H abundance ratio	[ucd=phys.abund.Fe;arith.ratio]
#Column	e_[Fe/H]	(F5.2)	? Error on [Fe/H]	[ucd=stat.error;phys.abund.Fe]
#Column	Ref	(I1)	? Reference for the spectroscopic data (1)	[ucd=meta.ref;pos.frame]
#Column	Lambda	(F8.3)	{Lambda} coordinate in the Sgr stream frame (2)	[ucd=pos.frame]
#Column	Beta	(F7.3)	{Beta} coordinate in the Sgr stream frame (2)	[ucd=pos.frame]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
recno	RAJ2000	DEJ2000	plx	e_plx	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	BPmag	Jmag	Hmag	Kmag	E(B-V)	Dist	e_Dist	vLOS	e_vLOS	[Fe/H]	e_[Fe/H]	Ref	Lambda	Beta	SimbadName
   31287	284.8574	-32.4883	 0.009	 0.077	-2.888	 0.150	-1.724	 0.138	16.79	 1.41	15.03	14.37	14.27	 0.13	25.69	 1.08	       	     	     	     	0	  -1.276	  3.318	Gaia DR2 6756925773665715584
   31288	284.8576	-30.9070	 0.040	 0.150	-3.043	 0.286	-1.177	 0.256	17.69	 1.20	16.07	15.41	15.27	 0.13	27.52	 1.25	       	     	     	     	0	  -1.017	  1.758	Gaia DR2 6760178124756596224
   31289	284.8579	-28.1430	 0.006	 0.084	-2.863	 0.205	-1.475	 0.145	15.26	 1.74	13.11	12.34	12.21	 0.21	29.23	 2.56	       	     	     	     	0	  -0.565	 -0.969	Gaia DR2 6761867219442545664
   31290	284.8579	-31.0502	 0.032	 0.050	-2.942	 0.098	-1.332	 0.089	15.87	 1.75	13.68	12.90	12.67	 0.14	25.65	 0.83	 138.41	     	     	     	4	  -1.041	  1.899	Gaia DR2 6760163045142272000
   31291	284.8580	-32.0058	-0.037	 0.166	-2.276	 0.312	-1.143	 0.292	18.20	 1.21	16.67	15.85	15.56	 0.12	29.10	 1.87	       	     	     	     	0	  -1.197	  2.842	Gaia DR2 6757043554537944576
   31292	284.8584	-32.1782	-0.200	 0.129	-2.735	 0.241	-0.926	 0.213	17.35	 1.28	15.63	14.80	14.74	 0.11	26.29	 0.80	       	     	     	     	0	  -1.226	  3.012	Gaia DR2 6757036961779631744
   31293	284.8585	-30.9463	-0.009	 0.045	-3.023	 0.094	-1.484	 0.083	14.63	 2.38	11.89	10.98	10.74	 0.13	28.37	 1.82	 177.59	 0.01	-0.88	 0.02	1	  -1.024	  1.797	Gaia DR2 6760177922909071360
   31294	284.8587	-30.7597	-0.083	 0.047	-2.489	 0.080	-1.290	 0.071	15.55	 1.96	13.19	12.28	12.09	 0.13	26.73	 1.01	       	     	     	     	0	  -0.994	  1.613	Gaia DR2 6760558388289156096
   31295	284.8594	-30.8060	-0.065	 0.057	-2.541	 0.101	-1.545	 0.087	15.72	 1.88	13.45	12.61	12.40	 0.13	27.52	 1.25	       	     	     	     	0	  -1.002	  1.658	Gaia DR2 6760180018853226880
   31296	284.8595	-30.4124	 0.068	 0.153	-2.483	 0.241	-1.049	 0.222	17.82	 1.41	16.13	15.32	15.07	 0.14	27.81	 0.65	       	     	     	     	0	  -0.938	  1.270	Gaia DR2 6760760694112689920
   31297	284.8596	-30.1865	 0.052	 0.157	-2.483	 0.249	-1.178	 0.245	17.70	 1.35	16.11	15.48	15.39	 0.15	27.25	 0.83	       	     	     	     	0	  -0.901	  1.047	Gaia DR2 6760776572627992960
   31298	284.8596	-30.7393	 0.032	 0.043	-2.787	 0.077	-1.521	 0.069	15.27	 1.77	13.05	12.28	12.08	 0.14	26.73	 1.01	       	     	     	     	0	  -0.991	  1.592	Gaia DR2 6760558560087989504
   31299	284.8599	-30.2240	-0.061	 0.071	-2.485	 0.112	-1.168	 0.094	15.98	 1.51	14.05	13.40	13.28	 0.14	27.81	 1.62	       	     	     	     	0	  -0.907	  1.084	Gaia DR2 6760776155995220480
   31300	284.8608	-31.0712	-0.104	 0.071	-3.060	 0.136	-1.659	 0.125	16.53	 1.61	14.58	13.81	13.70	 0.14	25.65	 0.83	 149.81	     	     	     	4	  -1.046	  1.920	Gaia DR2 6760162942063039104
   31301	284.8609	-29.9885	-0.230	 0.199	-2.254	 0.267	-1.453	 0.259	17.77	 1.45	16.01	15.28	15.07	 0.15	26.59	 1.06	       	     	     	     	0	  -0.870	  0.851	Gaia DR2 6760806293802882176
   31302	284.8609	-28.8891	-0.130	 0.088	-2.583	 0.141	-1.458	 0.122	16.54	 1.68	14.34	13.68	13.49	 0.19	27.75	 0.54	       	     	     	     	0	  -0.690	 -0.233	Gaia DR2 6761749464309506944
   31303	284.8615	-27.9549	-0.046	 0.048	-2.845	 0.083	-1.474	 0.075	14.93	 2.14	12.38	11.40	11.20	 0.22	27.51	 2.56	       	     	     	     	0	  -0.538	 -1.155	Gaia DR2 6763373997044787072
   31304	284.8616	-30.0868	 0.003	 0.083	-3.136	 0.125	-1.202	 0.112	16.10	 1.65	14.02	13.29	13.15	 0.16	27.09	 0.74	       	     	     	     	0	  -0.886	  0.948	Gaia DR2 6760801689597873408
   31305	284.8624	-31.3765	 0.020	 0.062	-2.669	 0.087	-1.334	 0.076	15.57	 1.65	13.42	12.64	12.51	 0.14	25.64	 1.05	       	     	     	     	0	  -1.098	  2.221	Gaia DR2 6760102602044497536
   31306	284.8626	-30.2661	 0.021	 0.057	-2.865	 0.089	-1.422	 0.077	15.38	 2.03	12.97	12.09	11.87	 0.13	27.81	 1.62	       	     	     	     	0	  -0.916	  1.125	Gaia DR2 6760764306201358464
   31307	284.8628	-33.4611	-0.007	 0.044	-2.558	 0.082	-1.325	 0.077	15.66	 1.40	13.92	13.30	13.17	 0.08	26.72	 1.58	       	     	     	     	0	  -1.440	  4.277	Gaia DR2 6756619559671284736
   31308	284.8629	-29.1844	-0.139	 0.174	-2.670	 0.321	-1.547	 0.301	18.02	 1.23	16.53	15.77	15.49	 0.14	26.02	 1.45	       	     	     	     	0	  -0.740	  0.058	Gaia DR2 6761735033218912000
   31309	284.8635	-31.6321	 0.000	 0.083	-2.786	 0.105	-1.383	 0.086	15.80	 1.48	13.92	13.28	13.21	 0.12	27.83	 0.98	       	     	     	     	0	  -1.140	  2.472	Gaia DR2 6760072404149647360
   31310	284.8637	-30.1135	 0.087	 0.244	-2.918	 0.330	-1.327	 0.309	18.09	 1.44	16.43	15.60	15.24	 0.15	27.25	 1.97	       	     	     	     	0	  -0.892	  0.974	Gaia DR2 6760778148862278784
   31311	284.8642	-30.9187	-0.113	 0.119	-2.836	 0.215	-1.204	 0.195	17.04	 1.37	15.30	14.69	14.56	 0.13	28.37	 1.82	       	     	     	     	0	  -1.024	  1.769	Gaia DR2 6760178129067519872
   31312	284.8643	-30.8341	-0.038	 0.080	-2.772	 0.162	-1.157	 0.144	16.66	 1.56	14.69	14.06	13.94	 0.13	27.52	 1.25	       	     	     	     	0	  -1.011	  1.685	Gaia DR2 6760179606536343424
   31313	284.8644	-30.5117	-0.158	 0.059	-2.681	 0.082	-1.376	 0.065	14.65	 2.35	11.92	10.94	10.67	 0.14	27.64	 2.11	       	     	     	     	0	  -0.958	  1.367	Gaia DR2 6760750562306221312
   31314	284.8644	-30.1347	-0.073	 0.065	-2.573	 0.111	-1.317	 0.099	16.01	 1.75	13.84	13.06	12.91	 0.15	27.25	 1.97	       	     	     	     	0	  -0.896	  0.995	Gaia DR2 6760777912657813120
   31315	284.8645	-29.6837	-0.049	 0.126	-2.880	 0.207	-1.602	 0.175	17.25	 1.52	15.32	14.54	14.45	 0.17	27.73	 1.53	       	     	     	     	0	  -0.823	  0.550	Gaia DR2 6760866663865022080
   31316	284.8647	-31.4385	-0.013	 0.065	-2.880	 0.082	-1.328	 0.071	14.84	 2.47	12.04	11.10	10.83	 0.14	26.35	 1.88	       	     	     	     	0	  -1.110	  2.281	Gaia DR2 6760101163251707264
   31317	284.8652	-31.0492	 0.084	 0.044	-2.809	 0.088	-1.379	 0.081	15.54	 1.81	13.30	12.51	12.32	 0.14	26.49	 2.09	 145.06	 0.02	-0.52	 0.02	1	  -1.047	  1.897	Gaia DR2 6760163423099388672
   31318	284.8655	-31.9237	 0.005	 0.068	-2.843	 0.119	-1.550	 0.111	16.67	 1.43	14.83	14.20	14.14	 0.12	27.90	 1.78	       	     	     	     	0	  -1.190	  2.760	Gaia DR2 6760046874863816832
   31319	284.8658	-32.7381	 0.021	 0.090	-2.913	 0.133	-1.067	 0.142	16.46	 1.42	14.68	13.97	13.78	 0.14	25.53	 2.23	       	     	     	     	0	  -1.324	  3.563	Gaia DR2 6756866090798318464
   31320	284.8659	-29.8570	-0.051	 0.046	-2.550	 0.076	-1.274	 0.068	15.09	 1.88	12.80	11.90	11.73	 0.17	28.58	 1.51	       	     	     	     	0	  -0.852	  0.721	Gaia DR2 6760855668748626048
   31321	284.8666	-30.3132	 0.028	 0.097	-2.823	 0.136	-1.633	 0.115	16.35	 1.71	14.21	13.46	13.29	 0.13	27.81	 1.07	       	     	     	     	0	  -0.927	  1.171	Gaia DR2 6760762450775460864
   31322	284.8670	-29.9269	 0.036	 0.070	-2.661	 0.107	-1.285	 0.097	16.32	 1.68	14.14	13.36	13.21	 0.16	27.25	 1.97	       	     	     	     	0	  -0.865	  0.790	Gaia DR2 6760808217948266112
   31323	284.8673	-30.2560	-0.036	 0.231	-2.283	 0.349	-0.882	 0.322	18.29	 1.37	16.63	15.80	15.54	 0.13	27.81	 1.62	       	     	     	     	0	  -0.919	  1.114	Gaia DR2 6760764301887338752
   31324	284.8676	-30.1609	-0.060	 0.051	-2.713	 0.104	-1.251	 0.094	15.12	 2.16	12.55	11.62	11.40	 0.15	27.25	 0.83	       	     	     	     	0	  -0.903	  1.020	Gaia DR2 6760776980629061248
   31325	284.8676	-31.2873	 0.010	 0.075	-2.903	 0.116	-1.345	 0.109	16.35	 1.38	14.29	13.66	13.53	 0.13	26.35	 2.48	       	     	     	     	0	  -1.088	  2.132	Gaia DR2 6760104633585401728
   31326	284.8677	-29.9965	 0.092	 0.062	-2.536	 0.090	-1.210	 0.083	15.59	 1.97	13.19	12.34	12.14	 0.15	27.09	 0.74	       	     	     	     	0	  -0.877	  0.858	Gaia DR2 6760805537888627072
   31327	284.8683	-30.6482	-0.071	 0.048	-2.598	 0.085	-1.237	 0.074	15.65	 2.01	13.21	12.33	12.13	 0.14	29.93	 1.74	       	     	     	     	0	  -0.984	  1.501	Gaia DR2 6760560209355452416
   31328	284.8686	-32.5664	-0.030	 0.043	-2.839	 0.078	-1.281	 0.067	15.52	 1.82	13.30	12.44	12.28	 0.14	26.42	 1.68	 140.97	 1.75	     	     	6	  -1.298	  3.394	Gaia DR2 6756916462176523392
   31329	284.8687	-31.8208	 0.036	 0.082	-2.510	 0.139	-1.268	 0.125	16.69	 1.32	15.11	14.43	14.34	 0.12	26.97	 1.39	       	     	     	     	0	  -1.176	  2.658	Gaia DR2 6760054021689422592
   31330	284.8694	-31.4123	 0.068	 0.198	-2.501	 0.250	-1.669	 0.222	17.68	 1.37	15.95	15.28	15.17	 0.14	25.64	 1.05	       	     	     	     	0	  -1.109	  2.255	Gaia DR2 6760101403770023552
   31331	284.8699	-30.7654	-0.017	 0.046	-2.794	 0.083	-1.529	 0.075	15.47	 1.56	13.50	12.80	12.70	 0.13	27.52	 1.25	       	     	     	     	0	  -1.004	  1.617	Gaia DR2 6760555429046300800
   31332	284.8703	-30.1582	-0.054	 0.048	-2.492	 0.091	-1.365	 0.086	15.46	 1.98	13.04	12.17	12.00	 0.15	27.25	 0.83	       	     	     	     	0	  -0.905	  1.017	Gaia DR2 6760776984944860288
   31333	284.8705	-31.7566	 0.018	 0.069	-2.614	 0.101	-1.415	 0.084	16.02	 1.68	13.86	13.10	12.95	 0.12	27.83	 0.28	 137.67	 0.03	-0.40	 0.01	1	  -1.167	  2.594	Gaia DR2 6760057423303866240
   31334	284.8706	-29.4246	 0.016	 0.042	-2.977	 0.090	-1.511	 0.079	15.16	 1.85	12.86	12.02	11.88	 0.14	25.67	 0.93	       	     	     	     	0	  -0.786	  0.294	Gaia DR2 6760883706295651072
   31335	284.8708	-29.9104	 0.010	 0.090	-2.375	 0.139	-1.199	 0.126	16.28	 1.53	14.30	13.60	13.48	 0.16	27.25	 1.97	       	     	     	     	0	  -0.865	  0.773	Gaia DR2 6760808286667751936
   31336	284.8709	-28.4064	-0.082	 0.060	-2.500	 0.099	-1.478	 0.090	15.97	 1.77	13.70	12.88	12.74	 0.22	28.35	 0.63	 134.70	     	     	     	4	  -0.620	 -0.711	Gaia DR2 6761842269957850880
   31337	284.8709	-28.4393	-0.096	 0.143	-2.805	 0.223	-1.353	 0.206	17.33	 1.53	15.33	14.71	14.57	 0.22	28.35	 0.63	       	     	     	     	0	  -0.625	 -0.678	Gaia DR2 6761842063799354112
   31338	284.8711	-29.9779	-0.021	 0.062	-2.567	 0.107	-1.387	 0.114	16.05	 1.77	13.89	13.03	12.87	 0.15	26.59	 1.06	       	     	     	     	0	  -0.877	  0.840	Gaia DR2 6760806328162620928
   31339	284.8716	-31.1548	-0.060	 0.181	-2.442	 0.310	-1.661	 0.277	18.10	 1.30	16.59	15.72	15.46	 0.13	26.35	 1.04	       	     	     	     	0	  -1.069	  2.000	Gaia DR2 6760153420100573568
   31340	284.8717	-30.2421	 0.010	 0.106	-2.568	 0.160	-1.109	 0.142	16.86	 1.53	14.99	14.31	14.22	 0.14	27.81	 1.62	       	     	     	     	0	  -0.920	  1.100	Gaia DR2 6760764340561103360
   31341	284.8719	-31.5924	 0.078	 0.150	-2.714	 0.195	-1.423	 0.162	17.02	 1.51	15.12	14.34	14.26	 0.12	26.96	 1.95	       	     	     	     	0	  -1.141	  2.432	Gaia DR2 6760072605992482048
   31342	284.8721	-31.6246	 0.072	 0.066	-2.648	 0.090	-1.349	 0.070	14.73	 2.35	12.00	11.13	10.86	 0.12	27.83	 0.98	 137.21	 0.01	-0.98	 0.02	1	  -1.146	  2.464	Gaia DR2 6760072507228862208
   31343	284.8727	-29.9625	 0.090	 0.044	-2.904	 0.069	-1.470	 0.068	15.06	 1.87	12.77	11.92	11.75	 0.16	27.25	 1.97	       	     	     	     	0	  -0.875	  0.824	Gaia DR2 6760806431241845120
   31344	284.8731	-30.0652	-0.219	 0.235	-2.922	 0.314	-1.427	 0.290	18.00	 1.27	16.57	15.69	15.50	 0.16	27.09	 0.74	       	     	     	     	0	  -0.893	  0.925	Gaia DR2 6760804674580463104
   31345	284.8733	-31.2937	 0.018	 0.071	-2.600	 0.104	-1.449	 0.093	16.09	 1.59	14.12	13.36	13.26	 0.13	26.35	 2.48	       	     	     	     	0	  -1.093	  2.137	Gaia DR2 6760104633585393024
   31346	284.8734	-32.3351	 0.087	 0.116	-2.800	 0.203	-1.096	 0.189	16.90	 1.42	15.12	14.48	14.41	 0.13	25.86	 0.82	       	     	     	     	0	  -1.264	  3.165	Gaia DR2 6756929243999430016
   31347	284.8735	-31.3062	-0.072	 0.197	-2.809	 0.280	-1.531	 0.260	17.93	 1.32	16.28	15.50	15.27	 0.13	27.01	 2.28	       	     	     	     	0	  -1.096	  2.150	Gaia DR2 6760104530506166400
   31348	284.8743	-31.4878	 0.037	 0.077	-2.813	 0.102	-1.468	 0.086	16.00	 1.77	13.76	13.00	12.82	 0.14	28.21	 0.71	       	     	     	     	0	  -1.126	  2.329	Gaia DR2 6760097933436251904
   31349	284.8746	-30.4787	-0.067	 0.049	-2.804	 0.072	-1.396	 0.063	15.31	 2.11	12.79	11.88	11.65	 0.14	27.64	 2.11	 141.87	 2.98	     	     	6	  -0.961	  1.333	Gaia DR2 6760751455659100544
   31350	284.8746	-31.5587	-0.038	 0.204	-3.050	 0.240	-1.317	 0.184	17.24	 1.39	15.36	14.74	14.58	 0.13	26.96	 1.95	       	     	     	     	0	  -1.138	  2.399	Gaia DR2 6760073293187304704
   31351	284.8751	-33.7863	 0.045	 0.061	-2.904	 0.107	-1.670	 0.101	16.09	 1.51	14.21	13.51	13.37	 0.08	27.08	 2.93	       	     	     	     	0	  -1.503	  4.596	Gaia DR2 6732581555428094080
   31352	284.8753	-31.7233	 0.058	 0.097	-2.917	 0.140	-1.520	 0.118	16.67	 1.52	14.71	14.04	13.93	 0.12	27.90	 0.87	       	     	     	     	0	  -1.165	  2.561	Gaia DR2 6760057900024258944
   31353	284.8757	-27.7612	-0.179	 0.107	-2.553	 0.140	-1.305	 0.120	16.64	 1.47	14.77	14.14	13.99	 0.21	26.85	 3.42	       	     	     	     	0	  -0.519	 -1.348	Gaia DR2 6763566205420473856
   31354	284.8757	-31.3961	-0.001	 0.076	-2.582	 0.102	-1.254	 0.093	15.95	 1.69	13.86	13.07	12.97	 0.14	25.64	 1.05	       	     	     	     	0	  -1.112	  2.238	Gaia DR2 6760101781727025536
   31355	284.8759	-30.3521	-0.024	 0.117	-2.637	 0.157	-1.305	 0.132	16.86	 1.59	14.91	14.01	13.89	 0.13	27.81	 1.07	       	     	     	     	0	  -0.942	  1.208	Gaia DR2 6760761488702766592
   31356	284.8770	-31.1159	 0.011	 0.051	-2.910	 0.100	-1.315	 0.091	16.01	 1.72	13.91	13.11	12.92	 0.14	26.35	 1.04	 160.60	     	     	     	4	  -1.067	  1.961	Gaia DR2 6760159609168367232
   31357	284.8775	-29.3896	 0.088	 0.061	-3.079	 0.129	-1.366	 0.115	16.33	 1.57	14.36	13.59	13.45	 0.15	25.67	 0.93	       	     	     	     	0	  -0.786	  0.258	Gaia DR2 6760977641502449792
   31358	284.8777	-29.9554	-0.097	 0.131	-2.542	 0.190	-1.475	 0.188	17.21	 1.40	15.51	14.88	14.74	 0.16	26.59	 1.06	       	     	     	     	0	  -0.878	  0.816	Gaia DR2 6760806461285110912
   31359	284.8780	-30.8643	-0.037	 0.188	-2.896	 0.376	-1.334	 0.349	17.97	 1.22	16.64	15.82	15.71	 0.13	27.52	 1.25	       	     	     	     	0	  -1.027	  1.713	Gaia DR2 6760178777590981632
   31360	284.8785	-30.3877	 0.018	 0.052	-2.561	 0.076	-1.434	 0.063	14.84	 1.80	12.60	11.77	11.64	 0.14	27.81	 0.65	       	     	     	     	0	  -0.950	  1.243	Gaia DR2 6760760835867717888
   31361	284.8786	-31.3316	 0.041	 0.055	-3.068	 0.081	-1.567	 0.072	15.15	 2.04	12.58	11.70	11.49	 0.14	26.35	 1.05	 144.55	 0.01	-0.43	 0.01	1	  -1.104	  2.174	Gaia DR2 6760102846863260288
   31362	284.8787	-31.8551	-0.037	 0.044	-2.676	 0.078	-1.585	 0.068	15.13	 1.84	12.51	11.65	11.46	 0.12	26.96	 1.57	 134.12	 0.01	-0.39	 0.01	1	  -1.190	  2.690	Gaia DR2 6760047871275893632
   31363	284.8789	-31.0413	-0.366	 0.195	-2.600	 0.363	-1.000	 0.359	17.98	 1.24	16.44	15.65	15.48	 0.14	25.62	 0.79	       	     	     	     	0	  -1.057	  1.888	Gaia DR2 6760163384424993280
   31364	284.8794	-29.4390	-0.002	 0.050	-2.951	 0.118	-1.601	 0.104	15.70	 1.74	13.51	12.76	12.62	 0.14	25.67	 0.93	       	     	     	     	0	  -0.796	  0.307	Gaia DR2 6760883431417859712
   31365	284.8801	-28.9274	 0.091	 0.239	-2.945	 0.245	-1.322	 0.208	17.40	 1.34	15.65	14.86	14.78	 0.19	27.38	 2.02	       	     	     	     	0	  -0.713	 -0.198	Gaia DR2 6761747643242561536
   31366	284.8802	-29.7997	 0.052	 0.063	-2.956	 0.107	-1.471	 0.088	15.44	 1.94	13.09	12.18	11.98	 0.17	26.66	 1.17	       	     	     	     	0	  -0.855	  0.662	Gaia DR2 6760857008778451712
   31367	284.8803	-30.5165	-0.050	 0.110	-2.365	 0.164	-1.665	 0.142	17.12	 1.49	15.29	14.64	14.49	 0.14	27.64	 2.11	       	     	     	     	0	  -0.972	  1.370	Gaia DR2 6760750527946478720
   31368	284.8804	-30.1811	 0.071	 0.056	-2.462	 0.105	-1.175	 0.092	15.66	 1.71	13.52	12.78	12.61	 0.15	27.25	 0.83	       	     	     	     	0	  -0.918	  1.039	Gaia DR2 6760776877549804032
   31369	284.8819	-30.1512	-0.246	 0.112	-2.685	 0.185	-1.490	 0.167	17.14	 1.32	15.37	14.77	14.63	 0.15	27.25	 1.97	       	     	     	     	0	  -0.914	  1.009	Gaia DR2 6760777088024073728
   31370	284.8819	-29.1824	 0.013	 0.056	-2.490	 0.107	-1.281	 0.104	15.98	 1.76	13.80	13.03	12.82	 0.15	26.02	 1.45	       	     	     	     	0	  -0.756	  0.053	Gaia DR2 6761734998858651008
   31371	284.8824	-30.4888	-0.008	 0.188	-2.286	 0.270	-1.177	 0.242	17.97	 1.31	16.30	15.67	15.54	 0.14	27.64	 2.11	       	     	     	     	0	  -0.970	  1.342	Gaia DR2 6760751451350327552
   31372	284.8829	-30.5537	-0.002	 0.058	-2.543	 0.091	-1.326	 0.082	15.88	 1.67	13.82	13.05	12.82	 0.14	27.64	 2.11	       	     	     	     	0	  -0.981	  1.406	Gaia DR2 6760749909471176704
   31373	284.8831	-31.7457	-0.052	 0.068	-2.506	 0.104	-1.359	 0.085	14.73	 2.50	11.88	10.96	10.72	 0.12	27.83	 0.28	 172.40	     	     	     	4	  -1.176	  2.582	Gaia DR2 6760057835620725888
   31374	284.8835	-31.9457	-0.052	 0.081	-2.706	 0.147	-1.367	 0.142	16.66	 1.58	14.71	13.97	13.90	 0.12	27.90	 1.78	       	     	     	     	0	  -1.209	  2.779	Gaia DR2 6760046222028776192
   31375	284.8836	-30.1965	 0.086	 0.057	-2.794	 0.095	-1.228	 0.087	15.63	 1.75	13.47	12.65	12.50	 0.15	27.25	 0.83	       	     	     	     	0	  -0.923	  1.053	Gaia DR2 6760776671391345920
   31376	284.8837	-31.3433	-0.195	 0.201	-2.806	 0.280	-1.275	 0.260	18.00	 1.35	16.16	15.53	15.43	 0.14	26.35	 1.05	       	     	     	     	0	  -1.110	  2.185	Gaia DR2 6760102773845593216
   31377	284.8842	-31.2891	 0.084	 0.066	-2.622	 0.096	-1.269	 0.087	15.96	 1.66	13.90	13.10	13.04	 0.13	27.01	 2.28	       	     	     	     	0	  -1.102	  2.131	Gaia DR2 6760104633585387008
   31378	284.8843	-30.8907	 0.008	 0.054	-2.841	 0.109	-1.446	 0.096	15.17	 2.32	12.49	11.58	11.32	 0.13	27.52	 1.25	 143.14	 0.01	-0.37	 0.01	1	  -1.037	  1.738	Gaia DR2 6760178541384388352
   31379	284.8844	-31.1431	 0.022	 0.051	-2.939	 0.086	-1.221	 0.079	15.65	 1.86	13.41	12.62	12.39	 0.13	26.35	 1.04	 135.09	 0.03	-0.49	 0.02	1	  -1.078	  1.987	Gaia DR2 6760159299930696576
   31380	284.8844	-32.3508	 0.097	 0.093	-2.825	 0.161	-1.374	 0.144	16.53	 1.51	14.57	13.84	13.71	 0.13	25.86	 0.82	 134.80	     	     	     	4	  -1.276	  3.179	Gaia DR2 6756929175267283840
   31381	284.8845	-29.8652	 0.072	 0.058	-2.699	 0.094	-1.469	 0.083	15.93	 1.81	13.76	12.86	12.75	 0.17	28.58	 1.51	       	     	     	     	0	  -0.870	  0.726	Gaia DR2 6760855389552770688
   31382	284.8848	-30.3969	 0.044	 0.137	-2.786	 0.186	-1.437	 0.161	17.28	 1.53	15.33	14.53	14.43	 0.14	27.81	 0.65	       	     	     	     	0	  -0.957	  1.251	Gaia DR2 6760760835867709824
   31383	284.8851	-29.8390	-0.065	 0.070	-2.727	 0.112	-1.450	 0.101	16.34	 1.62	14.34	13.58	13.39	 0.17	26.66	 1.17	       	     	     	     	0	  -0.866	  0.700	Gaia DR2 6760856046705746944
   31384	284.8859	-26.0973	 0.048	 0.070	-2.913	 0.125	-1.421	 0.117	16.18	 1.68	14.02	13.26	13.07	 0.28	27.59	 3.07	       	     	     	     	0	  -0.256	 -2.991	Gaia DR2 4073676222851451520
   31385	284.8863	-32.9396	-0.109	 0.122	-2.554	 0.133	-1.258	 0.096	15.19	 1.83	12.96	12.10	11.94	 0.15	25.53	 0.78	 162.33	 0.84	     	     	6	  -1.374	  3.759	Gaia DR2 6756837228617250048
