#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/281/19&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22810019
#Name: J/ApJS/281/19
#Title: Stellar counterrotation in galaxies using MaNGA (Gasymov+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/281/19	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/281/19	    IVOID of underlying data collection
#INFO	creator=Gasymov D.	    First author or institution
#INFO	cites=bibcode:2025ApJS..281...19G	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/281/19	    Dataset landing page
#INFO	publication_date=2026-08-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_281_19_table2:
#Name: J/ApJS/281/19/table2
#Title: reliable galaxies with stellar counterrotation
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MANGAID	(A8)	"MaNGA-ID" object identifier	[ucd=meta.id;meta.main]
#Column	f_MANGAID	(a5)	Flag on MANGAID (G1)	[ucd=meta.code]
#Column	RAJ2000	(F9.5)	[28/332.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-1.2/55.8] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TType	(a5)	Morphology from MVM-VAC (Vazquez-Mata+ 2022MNRAS.512.2222V)	[ucd=src.morph]
#Column	logM	(F6.3)	[9.5/11.2] Log of stellar mass (G2)	[ucd=phys.mass]
#Column	z	(F8.5)	[0.017/0.075] Spectroscopic redshift	[ucd=src.redshift]
#Column	Features	(a25)	Kinematic classification (G3)	[ucd=src.morph.param]
#Column	CRConfig	(A7)	Location of CR disk (inner, outer, undef or unclear)	[ucd=meta.note]
#Column	Env	(a11)	Environmental properties (G4)	[ucd=meta.note]
#Column	Morph	(a11)	Morphological features (G5)	[ucd=src.morph]
#Column	Refs	(a7)	Reference codes (G6)	[ucd=meta.ref;pos.frame]
#Column	DR15	(I3)	Display data from ManGA DR15 (Wake+ 2017, J/AJ/154/86)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	MANGAID	f_MANGAID	RAJ2000	DEJ2000	TType	logM	z	Features	CRConfig	Env	Morph	Refs	DR15	Simbad	NED
     190	1-180080 	323.75161	-00.51143	Edc     	10.600	 0.03016	Gas-mis                	V, G       	T, Sh      	  1	Simbad	NED
     191	1-180163 	322.45193	-00.31354	S0      	10.535	 0.02992	Gas-mis                	V          	T, Sh      	  1	Simbad	NED
     192	1-180208 	322.30215	-00.62176	S0      	10.588	 0.03017	Gas-mis                	V, G       	E, T       	  1	Simbad	NED
     193	1-189283 	178.77926	+55.24274	S0      	 9.862	 0.01971	Gas-mis                	Cl, G      	           	  0	Simbad	NED
     194	1-195282 	196.86300	+54.03770	S0      	10.539	 0.02965	Gas-mis                	Cl, G      	           	  0	Simbad	NED
     195	1-195623 	199.12426	+52.93362	S0a     	11.025	 0.03269	Gas-mis                	Cl, P, G   	LSB        	  0	Simbad	NED
     196	1-195763 	196.84092	+53.58684	E       	10.835	 0.02919	Gas-mis                	Cl, G      	T, Sh      	  0	Simbad	NED
     197	1-196372 	204.12095	+52.42028	SBa     	10.668	 0.02930	Gas-mis                	F, G       	B, Sh      	  0	Simbad	NED
     198	1-198052 	221.35418	+49.12788	S0a     	 9.894	 0.03726	Gas-mis                	Sh, P, G   	           	  0	Simbad	NED
     199	1-198125 	223.39126	+48.69879	SAB0    	10.438	 0.03643	Gas-mis                	F, G, O    	Sh         	  1	Simbad	NED
     200	1-198182 	224.74963	+48.40985	S0      	11.034	 0.03585	Gas-mis                	Cl, G, O   	T, Sh      	  1	Simbad	NED
     201	1-198212 	227.37652	+46.49267	E       	11.116	 0.03784	Gas-mis                	V, G, O    	T, Sh      	  1	Simbad	NED
     202	1-198238 	226.43612	+46.78860	S0a     	 9.954	 0.03824	Gas-mis                	V, G, O    	           	  1	Simbad	NED
     203	1-199415 	234.46287	+43.50128	SABab   	 9.194	 0.01706	Gas-mis                	V, G, O    	           	  1	Simbad	NED
     204	1-200602 	243.96949	+36.99745	E       	10.825	 0.03085	Gas-mis                	F          	T, Sh      	  0	Simbad	NED
     205	1-210774 	246.98017	+39.25881	Edc     	10.916	 0.02900	Gas-mis                	Cl, P, G, O	C          	  1	Simbad	NED
     206	1-211165 	248.62864	+37.69543	S0      	11.149	 0.09905	Gas-mis                	Cl, G      	T, Sh      	  0	Simbad	NED
     207	1-211277 	247.63604	+39.38417	Sa      	10.603	 0.03046	Gas-mis                	Cl, G      	           	  0	Simbad	NED
     208	1-213422 	129.24075	+03.70745	Sa      	10.302	 0.02930	Gas-mis                	Sh, G      	E          	  0	Simbad	NED
     209	1-213820 	129.91336	+03.82855	SABa    	10.021	 0.02666	Gas-mis                	F, P, G    	           	  0	Simbad	NED
     210	1-214335 	133.92494	+04.99479	Edc     	10.686	 0.02814	Gas-mis                	F, G       	           	  0	Simbad	NED
     211	1-217500 	146.27343	+45.58703	Sb      	 9.540	 0.01617	Gas-mis                	Sh, G, O   	E          	  1	Simbad	NED
     212	1-217662 	117.02221	+22.90078	SB0a    	10.607	 0.02854	Gas-mis                	F, G       	B, C       	  0	Simbad	NED
     213	1-218808 	127.42233	+30.68798	Edc     	11.216	 0.04761	Gas-mis                	Cl, G      	T, Sh      	  0	Simbad	NED
     214	1-22298  	253.42738	+62.41999	SAB0    	10.828	 0.06148	Gas-mis                	F, G       	T          	  1	Simbad	NED
     215	1-229879 	121.03707	+24.55861	Sa      	10.308	 0.04382	Gas-mis                	F, G       	LSB        	  0	Simbad	NED
     216	1-230100 	122.73561	+25.68470	SB0     	10.530	 0.02541	Gas-mis                	F, G, O    	B          	  1	Simbad	NED
     217	1-230867 	130.00984	+29.81744	Sa      	11.338	 0.06483	Gas-mis                	Cl, G      	T, Sh      	  0	Simbad	NED
     218	1-234004 	198.74316	+48.19461	SB0     	10.462	 0.04887	Gas-mis                	Sh, G, O   	B          	  1	Simbad	NED
     219	1-234172 	196.51652	+50.24972	Edc     	11.118	 0.04658	Gas-mis                	Cl, G      	Sh         	  0	Simbad	NED
     220	1-234980 	210.05496	+46.43220	E       	10.706	 0.05316	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     221	1-236175 	227.38699	+42.48992	E       	10.783	 0.05857	Gas-mis                	Sh, G, O   	           	  1	Simbad	NED
     222	1-24018  	257.58224	+56.75725	S0      	10.697	 0.03283	Gas-mis                	V, G       	Sh         	  1	Simbad	NED
     223	1-24104  	257.95748	+57.58953	Edc     	11.013	 0.02999	Gas-mis                	Cl, G      	T          	  1	Simbad	NED
     224	1-24295  	262.67636	+56.63938	S0      	10.771	 0.02938	Gas-mis                	F, G       	           	  1	Simbad	NED
     225	1-24476  	264.68032	+57.23920	Sa      	10.672	 0.02951	Gas-mis                	F, G       	T, Sh      	  1	Simbad	NED
     226	1-247300 	230.99606	+48.79285	Sa      	11.180	 0.07378	Gas-mis                	Cl, G      	T, Sh      	  0	Simbad	NED
     227	1-247628 	235.01875	+46.10594	S0      	10.793	 0.03655	Gas-mis                	Cl, G, O   	           	  1	Simbad	NED
     228	1-259091 	190.58241	+45.43785	SAB0a   	10.502	 0.04679	Gas-mis                	F, P, G, O 	           	  1	Simbad	NED
     229	1-261386 	214.24946	+39.66666	Sa      	 9.716	 0.02521	Gas-mis                	F, G       	           	  0	Simbad	NED
     230	1-263219 	230.48309	+33.51506	S0      	10.852	 0.06162	Gas-mis                	Cl, G, O   	E          	  1	Simbad	NED
     231	1-26462  	332.86431	-00.05059	S0      	11.124	 0.05234	Gas-mis                	V, G       	T, Sh      	  0	Simbad	NED
     232	1-265671 	241.25274	+27.25823	E       	10.248	 0.04566	Gas-mis                	F, G       	           	  0	Simbad	NED
     233	1-272299 	243.55192	+31.49044	S0      	10.320	 0.03051	Gas-mis                	F, P, G    	           	  0	Simbad	NED
     234	1-273282 	253.65074	+24.06362	Edc     	10.949	 0.03542	Gas-mis                	Cl, G      	T, Sh      	  0	Simbad	NED
     235	1-27571  	340.11703	-00.24939	S0a     	11.260	 0.05781	Gas-mis                	V          	T          	  0	Simbad	NED
     236	1-279073 	170.58816	+46.43050	SB0a    	10.735	 0.03226	Gas-mis                	F, G, O    	B, T, Sh   	  1	Simbad	NED
     237	1-281439 	182.35627	+46.54935	E       	10.971	 0.06914	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     238	1-281927 	183.05822	+43.35628	SB0a    	10.304	 0.02360	Gas-mis                	F, G       	B          	  0	Simbad	NED
     239	1-284349 	196.36892	+45.58187	S0      	10.533	 0.05143	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     240	1-286746 	210.50039	+45.56190	E       	11.250	 0.06543	Gas-mis                	F, P, G    	T, Sh      	  0	Simbad	NED
     241	1-28715  	346.95391	+00.94055	S0a     	11.300	 0.04185	Gas-mis                	V, G       	T, Sh      	  0	Simbad	NED
     242	1-294189 	252.72549	+20.52293	S0      	10.740	 0.05505	Gas-mis                	F, G       	           	  0	Simbad	NED
     243	1-295474 	247.66278	+25.60943	S0      	10.970	 0.04245	Gas-mis                	Cl, P, G, O	           	  1	Simbad	NED
     244	1-295721 	245.80746	+26.47929	E       	11.128	 0.06446	Gas-mis                	F, G, O    	T, Sh      	  1	Simbad	NED
     245	1-295996 	244.37986	+24.28993	SABa    	10.840	 0.06673	Gas-mis                	Cl, G, O   	           	  1	Simbad	NED
     246	1-296316 	244.81239	+25.14476	Edc     	10.991	 0.06831	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     247	1-296801 	243.07339	+28.42955	E       	11.277	 0.05313	Gas-mis                	F, G       	T          	  0	Simbad	NED
     248	1-296812 	243.19096	+28.10836	E       	10.418	 0.03027	Gas-mis                	F, G       	T          	  0	Simbad	NED
     249	1-29721  	355.94635	+00.70585	Edc     	11.126	 0.09255	Gas-mis                	V, G       	T, Sh      	  0	Simbad	NED
     250	1-297924 	116.76927	+18.59062	SABa    	10.518	 0.05087	Gas-mis                	Cl, G, O   	E          	  1	Simbad	NED
     251	1-298319 	123.32063	+22.64831	Sa      	10.096	 0.02222	Gas-mis                	V, P, G    	T, Sh      	  0	Simbad	NED
     252	1-298835 	126.08119	+25.67447	Sa      	 9.873	 0.02816	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     253	1-299496 	131.20472	+28.31488	Sa      	 9.390	 0.02051	Gas-mis                	F, G       	           	  0	Simbad	NED
     254	1-300663 	139.39862	+33.65383	S0      	 9.570	 0.02281	Gas-mis                	Cl, G      	           	  0	Simbad	NED
     255	1-301609 	146.66061	+35.99518	Edc     	10.108	 0.02205	Gas-mis                	F, G       	           	  0	Simbad	NED
     256	1-31432  	006.40711	+00.03672	Edc     	11.054	 0.04244	Gas-mis                	V, P, G    	           	  0	Simbad	NED
     257	1-315134 	228.02323	+30.83983	Sa      	11.504	 0.08963	Gas-mis                	V, G, O    	T, Sh      	  1	Simbad	NED
     258	1-320340 	211.58012	+48.55762	Edc     	10.893	 0.06345	Gas-mis                	Cl, G      	T          	  0	Simbad	NED
     259	1-320543 	213.01016	+50.13710	SB0     	10.537	 0.04876	Gas-mis                	F, G       	B          	  0	Simbad	NED
     260	1-321127 	216.72929	+48.09989	SABa    	10.198	 0.02556	Gas-mis                	Sh, G      	Sh         	  0	Simbad	NED
     261	1-321221 	219.72669	+46.66561	E       	10.959	 0.03585	Gas-mis                	Cl, P, G, O	T, Sh, C   	  1	Simbad	NED
     262	1-323420 	244.61201	+33.71459	E       	10.534	 0.04825	Gas-mis                	F, G       	T          	  0	Simbad	NED
     263	1-351790 	121.14792	+50.70856	S0      	 9.985	 0.02271	Gas-mis                	Cl, P, G, O	           	  1	Simbad	NED
     264	1-35876  	032.06483	+01.19544	S       	11.099	 0.04162	Gas-mis                	V          	T, Sh      	  0	Simbad	NED
     265	1-35937  	034.39918	-00.49358	S0      	11.030	 0.04061	Gas-mis                	V, G       	           	  0	Simbad	NED
     266	1-363769 	225.95106	+08.42978	E       	10.113	 0.02782	Gas-mis                	F, G       	           	  0	Simbad	NED
     267	1-37036  	041.69990	+00.42157	Edc     	10.804	 0.02827	Gas-mis                	V, G       	T, Sh      	  1	Simbad	NED
     268	1-374549 	231.15162	+28.77502	E       	11.118	 0.08677	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     269	1-375532 	234.16229	+25.90682	E       	11.427	 0.09464	Gas-mis                	Cl, G      	T, Sh      	  0	Simbad	NED
     270	1-37754  	047.32075	-00.90665	E       	10.918	 0.03928	Gas-mis                	V, G       	           	  1	Simbad	NED
     271	1-379124 	120.54736	+51.73487	S0      	10.682	 0.05454	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     272	1-38041  	049.45745	-00.55466	Sab     	10.109	 0.02102	Gas-mis                	V, G       	           	  1	Simbad	NED
     273	1-382284 	118.18450	+16.70949	Sa      	10.970	 0.07154	Gas-mis                	Cl, G      	T          	  0	Simbad	NED
     274	1-386903 	137.89855	+30.07753	SBb     	10.684	 0.02597	Gas-mis                	F, G       	B, E       	  0	Simbad	NED
     275	1-386962 	138.41447	+29.99294	Edc     	11.180	 0.02250	Gas-mis                	Cl, G      	T, Sh, C   	  0	Simbad	NED
     276	1-39480  	010.58965	+14.25436	S0a     	10.728	 0.05530	Gas-mis                	V, G       	T          	  0	Simbad	NED
     277	1-39922  	016.57402	+14.06499	S0      	10.030	 0.03847	Gas-mis                	V, G       	           	  0	Simbad	NED
     278	1-402487 	203.27503	+37.96673	Edc     	10.674	 0.05332	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     279	1-402576 	203.52572	+39.68838	S0a     	10.372	 0.04574	Gas-mis                	Sh, G, O   	           	  1	Simbad	NED
     280	1-409482 	195.68597	+32.08501	S0      	10.094	 0.02438	Gas-mis                	F, G       	E          	  0	Simbad	NED
     281	1-412272 	121.03179	+16.81891	E       	10.351	 0.04478	Gas-mis                	F, G       	           	  0	Simbad	NED
     282	1-42250  	027.84277	+13.06033	Sa      	11.182	 0.06415	Gas-mis                	V, G       	T, Sh      	  1	Simbad	NED
     283	1-42862  	029.30405	+14.73546	E       	10.500	 0.02603	Gas-mis                	V, P, G    	           	  0	Simbad	NED
     284	1-43718  	116.78260	+43.31407	Edc     	11.148	 0.04165	Gas-mis                	Cl, G, O   	T          	  1	Simbad	NED
     285	1-43741  	117.30367	+44.06504	Edc     	10.436	 0.03044	Gas-mis                	Cl, G, O   	           	  1	Simbad	NED
     286	1-43773  	117.41248	+42.96707	Edc     	10.738	 0.03071	Gas-mis                	Cl, P, G, O	           	  1	Simbad	NED
     287	1-43933  	116.78572	+40.39294	E       	11.030	 0.07645	Gas-mis                	Sh, G, O   	T          	  1	Simbad	NED
     288	1-44163  	118.64898	+44.15182	E       	10.788	 0.03133	Gas-mis                	Cl, G, O   	           	  1	Simbad	NED
     289	1-44726  	120.71502	+46.15702	Edc     	10.870	 0.06114	Gas-mis                	F, G, O    	T          	  1	Simbad	NED
     290	1-456285 	194.97639	+26.81996	SABa    	 9.820	 0.02673	Gas-mis                	Cl, G      	           	  0	Simbad	NED
     291	1-457771 	201.19393	+26.73842	E       	10.448	 0.02336	Gas-mis                	F, G       	T, Sh      	  0	Simbad	NED
     292	1-458692 	119.06828	+15.24007	SBab    	10.364	 0.02917	Gas-mis                	Cl, G      	B, LSB, Sh 	  0	Simbad	NED
     293	1-462984 	134.94686	+20.59527	S0a     	 9.677	 0.02514	Gas-mis                	Sh, P, G   	           	  0	Simbad	NED
     294	1-474828 	149.77255	+18.65435	E       	10.200	 0.02524	Gas-mis                	F, G       	C          	  0	Simbad	NED
     295	1-487267 	166.32911	+21.62013	SABab   	 9.395	 0.02146	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     296	1-50622  	043.52199	-07.34506	Edc     	10.778	 0.03065	Gas-mis                	V, G       	           	  0	Simbad	NED
     297	1-516559 	180.11575	+23.62537	Edc     	10.681	 0.05277	Gas-mis                	F, G       	           	  0	Simbad	NED
     298	1-53060  	132.38784	+01.72802	Edc     	11.159	 0.06882	Gas-mis                	F, G       	T, Sh      	  0	Simbad	NED
     299	1-54435  	142.56724	+01.46326	SABab   	11.121	 0.08259	Gas-mis                	F, G       	Sh         	  0	Simbad	NED
     300	1-54497  	141.59684	+01.58176	E       	10.668	 0.05637	Gas-mis                	F, G       	T, C       	  0	Simbad	NED
     301	1-546250 	241.79113	+18.64126	S0      	11.077	 0.03878	Gas-mis                	Cl, P, G   	C          	  0	Simbad	NED
     302	1-547039 	258.00415	+34.96115	Edc     	11.364	 0.08634	Gas-mis                	F, G, O    	T, Sh      	  1	Simbad	NED
     303	1-54784  	143.37240	+00.65912	Edc     	11.114	 0.05101	Gas-mis                	Cl, G      	T, Sh      	  0	Simbad	NED
     304	1-550578 	324.83364	+10.54076	Edc     	11.343	 0.07660	Gas-mis                	V, G       	           	  1	Simbad	NED
     305	1-556749 	120.01689	+23.43785	Edc     	10.650	 0.02920	Gas-mis                	Cl, P, G   	T, C       	  0	Simbad	NED
     306	1-558242 	137.06962	+42.16413	E       	10.165	 0.02466	Gas-mis                	F          	           	  1	Simbad	NED
     307	1-560759 	239.91314	+31.77482	E       	11.189	 0.05527	Gas-mis                	Cl, G      	T, C       	  0	Simbad	NED
     308	1-563951 	019.37211	+14.70252	E       	10.832	 0.03784	Gas-mis                	V, G       	T, C       	  0	Simbad	NED
     309	1-575668 	189.39799	+44.80102	E       	11.340	 0.06018	Gas-mis                	F          	T, Sh      	  1	Simbad	NED
     310	1-576094 	180.22775	+51.97745	E       	10.959	 0.06679	Gas-mis                	F, G       	           	  0	Simbad	NED
     311	1-584723 	120.40503	+15.70975	Sa      	10.922	 0.01522	Gas-mis                	F, G       	T, Sh      	  0	Simbad	NED
     312	1-585149 	128.94966	+28.75313	SBa     	10.431	 0.02556	Gas-mis                	Sh, G      	B          	  0	Simbad	NED
     313	1-591420 	196.86822	+26.72550	E       	10.747	 0.03751	Gas-mis                	F, P, G    	C          	  0	Simbad	NED
     314	1-593533 	223.55209	+04.75016	S0      	11.324	 0.02769	Gas-mis                	Cl, G      	T          	  0	Simbad	NED
     315	1-595166 	260.65963	+30.87005	S0      	11.270	 0.04498	Gas-mis                	F, G       	T, C       	  0	Simbad	NED
     316	1-604907 	119.92066	+50.83998	Edc     	10.476	 0.05435	Gas-mis                	Cl, G, O   	           	  1	Simbad	NED
     317	1-606806 	150.29838	+00.22566	SABa    	10.953	 0.03263	Gas-mis                	Cl, G      	T, Sh      	  0	Simbad	NED
     318	1-612698 	166.54252	+03.32071	S0a     	10.836	 0.03115	Gas-mis                	F, P, G    	T, C       	  0	Simbad	NED
     319	1-617445 	177.77868	+55.07872	S-merger	10.964	 0.01947	Gas-mis                	Cl, P, G   	T, Sh      	  0	Simbad	NED
     320	1-631803 	226.16598	+53.82310	S0      	11.133	 0.03790	Gas-mis                	F, G       	           	  0	Simbad	NED
     321	1-641156 	201.21545	-01.03507	SABa    	11.264	 0.10672	Gas-mis                	F, G       	T, Sh      	  0	Simbad	NED
     322	1-72211  	121.10565	+39.93061	S0a     	10.243	 0.04036	Gas-mis                	Cl, P, G, O	           	  1	Simbad	NED
     323	1-72595  	124.08278	+43.44763	S0a     	10.433	 0.02419	Gas-mis                	F, P, G    	T, Sh      	  0	Simbad	NED
     324	1-76813  	134.52207	+03.75648	SBa     	 9.915	 0.02687	Gas-mis                	Sh, G      	B          	  0	Simbad	NED
     325	1-78200  	149.24444	+03.77796	SBa     	10.989	 0.03451	Gas-mis                	Cl, G      	B, T       	  0	Simbad	NED
     326	1-79976  	159.34712	+05.43852	S0      	10.253	 0.02930	Gas-mis                	F, G       	           	  0	Simbad	NED
     327	1-92     	146.23187	+00.06821	SB0a    	10.606	 0.02160	Gas-mis                	Sh, G      	B          	  0	Simbad	NED
     328	1-95223  	253.12124	+40.31195	SAB0a   	10.485	 0.02920	Gas-mis                	F, G       	           	  0	Simbad	NED
     329	1-96324  	309.25427	-05.99706	S0      	11.224	 0.03590	Gas-mis                	V, G       	T, Sh      	  0	Simbad	NED
     330	1-605311 	128.34193	+25.10491	Edc     	11.411	 0.08659	Gas-mis                	F, G       	           	  1	Simbad	NED
     331	1-94228  	248.01826	+47.76475	Sa      	10.602	 0.04944	Gas-mis                	Cl, P, G, O	           	  1	Simbad	NED
     332	1-523211 	205.69041	+24.59004	S0      	10.239	 0.02665	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     333	1-195176 	192.97650	+54.96112	S0      	11.065	 0.08330	Gas-mis                	Cl, G      	T, Sh      	  0	Simbad	NED
     334	1-114465 	324.89157	+10.48348	S0      	10.967	 0.07885	Gas-mis, 2sigma?       	V, G       	T, Sh      	  1	Simbad	NED
     335	1-201217 	116.21391	+26.57904	Edc     	 9.961	 0.02383	Gas-mis?               	V, O       	           	  1	Simbad	NED
     336	1-113520 	317.50219	+11.51064	S0      	 9.760	 0.01676	gas-polar              	V, G       	P          	  1	Simbad	NED
     337	1-114245 	322.90646	+11.83166	Edc     	10.970	 0.02882	gas-polar              	V, G       	T          	  0	Simbad	NED
     338	1-114252 	322.93338	+11.38119	E       	10.513	 0.04758	gas-polar              	V, G       	T          	  0	Simbad	NED
     339	1-114818 	330.33721	+12.19668	SBa     	10.541	 0.02910	gas-polar              	V, G       	B          	  0	Simbad	NED
     340	1-114928 	331.08093	+12.96837	SAB0    	10.631	 0.02734	gas-polar              	V, G       	P          	  1	Simbad	NED
     341	1-117966 	350.86672	+14.09175	Sa      	10.241	 0.04142	gas-polar              	V, G       	E          	  0	Simbad	NED
     342	1-135055 	247.64128	+40.53939	Edc     	11.020	 0.03006	gas-polar              	Cl, P, G, O	           	  1	Simbad	NED
     343	1-137714 	136.03919	+42.30342	Sb      	10.031	 0.02659	gas-polar              	Cl, G, O   	E          	  1	Simbad	NED
     344	1-137845 	139.30885	+44.48915	Edc     	10.990	 0.03203	gas-polar              	Cl, G, O   	           	  2	Simbad	NED
     345	1-144473 	206.62341	+03.87830	Sc      	 9.461	 0.01782	gas-polar              	Sh, G      	E          	  0	Simbad	NED
     346	1-145922 	119.31439	+27.49601	E       	10.750	 0.02661	gas-polar              	Cl, P, G, O	P          	  1	Simbad	NED
     347	1-149683 	172.71087	+52.20769	S0      	10.804	 0.03384	gas-polar              	F, G, O    	E          	  1	Simbad	NED
     348	1-151330 	184.83868	+52.69387	S0      	 9.923	 0.03093	gas-polar              	F, G       	           	  0	Simbad	NED
     349	1-152018 	194.11459	+52.27946	S0      	 9.790	 0.03819	gas-polar              	Sh, P, G   	C          	  0	Simbad	NED
     350	1-163594 	115.49432	+23.17638	S0      	11.031	 0.04314	gas-polar              	F, G, O    	           	  1	Simbad	NED
     351	1-164007 	119.79267	+26.08666	SBa     	10.125	 0.02027	gas-polar              	Sh, G, O   	B          	  1	Simbad	NED
     352	1-167334 	151.89483	+46.09397	S0      	10.462	 0.02429	gas-polar              	F, G, O    	           	  1	Simbad	NED
     353	1-175599 	182.32914	+50.93708	Edc     	11.154	 0.08354	gas-polar              	Cl, G      	C          	  0	Simbad	NED
     354	1-176525 	255.41789	+34.52035	Sa      	10.403	 0.02947	gas-polar              	F, G       	E          	  0	Simbad	NED
     355	1-176908 	256.10272	+33.37588	S0a     	10.558	 0.02964	gas-polar              	F, G, O    	Sh         	  1	Simbad	NED
     356	1-178838 	312.02362	+00.06883	Sa      	10.219	 0.02469	gas-polar              	V, G       	E, T, P    	  1	Simbad	NED
     357	1-179248 	315.01672	+00.19839	Edc     	10.616	 0.05127	gas-polar              	V, G       	           	  1	Simbad	NED
     358	1-195208 	196.80801	+53.52333	S0      	 9.927	 0.02931	gas-polar              	Cl, G      	           	  0	Simbad	NED
     359	1-195268 	196.24130	+53.78086	S0a     	10.513	 0.02875	gas-polar              	Cl, G      	E          	  0	Simbad	NED
     360	1-195690 	198.17083	+53.71474	SBa     	10.388	 0.02394	gas-polar              	F, P, G    	B, C       	  0	Simbad	NED
     361	1-198180 	224.61581	+48.49237	E       	11.094	 0.03759	gas-polar              	Cl, G, O   	T, C       	  1	Simbad	NED
     362	1-2072   	155.26837	+00.16157	Sb      	11.255	 0.11341	gas-polar              	Cl, G      	T, C       	  0	Simbad	NED
     363	1-207984 	220.16044	+53.47806	S0      	 9.870	 0.03765	gas-polar              	F, P, G, O 	           	  1	Simbad	NED
     364	1-209772 	239.97494	+44.70898	Edc     	10.939	 0.04173	gas-polar              	Cl, G, O   	           	  2	Simbad	NED
     365	1-217324 	140.21847	+42.70880	S0      	10.311	 0.02463	gas-polar              	F, P, G, O 	           	  1	Simbad	NED
     366	1-217999 	120.81886	+24.67678	S0      	10.925	 0.04292	gas-polar              	F, G       	C          	  0	Simbad	NED
     367	1-218764 	127.79091	+29.79467	Edc     	10.962	 0.06825	gas-polar              	F, G       	T          	  0	Simbad	NED
     368	1-22821  	256.56604	+60.70518	SABab   	 9.397	 0.01195	gas-polar              	V, G       	           	  0	Simbad	NED
     369	1-23958  	258.85198	+57.32249	Edc     	11.018	 0.02951	gas-polar              	Cl, P, G   	C          	  0	Simbad	NED
     370	1-24425  	263.52526	+56.79962	S0a     	10.525	 0.02926	gas-polar              	F, P, G    	E, P       	  1	Simbad	NED
     371	1-245451 	212.27864	+53.46352	Edc     	11.057	 0.07806	gas-polar              	F, G, O    	           	  1	Simbad	NED
     372	1-246517 	225.94177	+49.52587	Sa      	 9.465	 0.01923	gas-polar              	Sh, G, O   	E, P       	  1	Simbad	NED
     373	1-246542 	225.80421	+49.85115	Sa      	10.566	 0.02809	gas-polar              	Sh, G, O   	E          	  1	Simbad	NED
     374	1-2469   	158.87094	-00.39978	S0      	11.136	 0.08450	gas-polar              	Cl, G      	           	  0	Simbad	NED
     375	1-247449 	232.88517	+45.65760	E       	10.538	 0.02945	gas-polar              	F, G, O    	           	  1	Simbad	NED
     376	1-249735 	251.05952	+31.74970	S0a     	 9.715	 0.03923	gas-polar              	F, G       	           	  0	Simbad	NED
     377	1-252632 	225.67889	+37.94934	E       	10.707	 0.02879	gas-polar              	F, G       	           	  0	Simbad	NED
     378	1-256446 	166.50987	+43.17348	E       	10.829	 0.05843	gas-polar              	F, G, O    	           	  1	Simbad	NED
     379	1-25680  	261.96887	+60.09727	E       	10.767	 0.02782	gas-polar              	Cl, P, G   	           	  1	Simbad	NED
     380	1-258685 	184.19392	+44.67105	E       	11.338	 0.08614	gas-polar              	Cl, G, O   	           	  1	Simbad	NED
     381	1-260744 	208.06361	+38.93508	S0      	10.875	 0.06156	gas-polar              	F, G, O    	           	  1	Simbad	NED
     382	1-260809 	208.06376	+40.14913	S0      	11.307	 0.05691	gas-polar              	V, G, O    	           	  1	Simbad	NED
     383	1-262876 	230.17106	+33.36536	S0      	11.115	 0.08184	gas-polar              	Cl, G, O   	           	  1	Simbad	NED
