#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:26:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:26:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of data available for this galaxy (apparent magnitudes + velocities + kinematics + distances, in tables 3--6)	[ucd=meta.number]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	a26	(F6.2)	[0.1/645.65]? Major angular diameter (1)	[ucd=phys.angSize]
#Column	b/a	(F5.2)	[0/1]? Apparent axial ratio (1)	[ucd=phys.angSize;arith.ratio]
#Column	AB	(F5.2)	[0.01/7.88]? Galactic extinction in B band (2)	[ucd=phys.absorption.gal]
#Column	l_FUV	(A1)	[>] Lower limit flag on FUV	[ucd=meta.code.error]
#Column	FUV	(F5.2)	[8.21/24.56]? GALEX/FUV band magnitude (3)	[ucd=phot.mag;em.UV]
#Column	Bmag	(F5.2)	[-4.6/21.4]? Apparent integral B band magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	l_Hamag	(A1)	[>] Lower limit flag on Hamag	[ucd=meta.code.error]
#Column	Hamag	(F5.2)	[3.79/27.87]? Integral H{alpha} line emission magnitude (5)	[ucd=phot.flux;em.line.Halpha]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	f_Kmag	(A1)	[*] Estimated Kmag (7)	[ucd=meta.code]
#Column	l_HImag	(A1)	[>] Lower limit flag on HImag	[ucd=meta.code.error]
#Column	HImag	(F6.2)	[-3.35/21.5]? HI 21cm line magnitude (8)	[ucd=phot.mag;em.radio.750-1500MHz]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	Mcl	(a5)	Dwarf galaxy morphology (BCD, HIcld, Im, Ir, S0em, Sm, Sph, Tr, dE, dEem, or dS0em) (11)	[ucd=src.morph.type]
#Column	Tdw	(A1)	Dwarf galaxy surface brightness morphology (H=high, N=normal, L=low, X=extremely low) (11)	[ucd=meta.code;src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
#Column	A26	(F5.2)	? Major linear diameter (13)	[ucd=phys.size.diameter]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	ABi	(F5.2)	[0/1.25]? Internal B band extinction (15)	[ucd=phys.absorption;em.opt.B]
#Column	BMag	(F5.1)	[-21.8/-0.6]? Absolute B band magnitude (16)	[ucd=phys.magAbs;em.opt.B]
#Column	<Bmu>	(F4.1)	? Average B band surface brightness (17)	[ucd=phot.mag.sb;em.opt.B]
#Column	KLum	(F5.2)	[3.19/11.3]? log(luminosity) in Ks band (18)	[ucd=phys.luminosity;em.IR.K]
#Column	M26	(F5.2)	? log(mass) within Holmberg radius (19)	[ucd=phys.mass]
#Column	l_MHI	(A1)	[<] Upper limit flag on MHI	[ucd=meta.code.error]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti1	(F4.1)	[-3/6.5]? Tidal index {Theta}_1_ (22)	[ucd=src.class.struct]
#Column	MD	(a15)	Main disturber name (23)	[ucd=meta.id.assoc]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
#Column	Tij	(F5.2)	[-2.7/2.4]? Ks-density index {Theta}_j_ (25)	[ucd=src.class.struct]
#Column	K+04	(I3)	Cross-match with the Catalog of neighboring galaxies of Karachentsev et al. (2004, cat. J/AJ/127/2031) within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a29)	Simbad column added by the CDS	[ucd=meta.id]
recno	Name	Nd	RAJ2000	DEJ2000	a26	b/a	AB	l_FUV	FUV	Bmag	l_Hamag	Hamag	Kmag	f_Kmag	l_HImag	HImag	W50	TT	Mcl	Tdw	HRV	Dist	f_Dist	A26	i	vAmp	ABi	BMag	<Bmu>	KLum	M26	l_MHI	MHI	Vlg	Ti1	MD	Ti5	Tij	K+04	SimbadName	NEDname
     431	CGCG 095-078      	  4	10 58 02.2	+19 30 19	  0.84	 0.48	 0.11	 	     	15.60	 	     	13.15	*	 	 17.60	 30	 9	BCD  	N	 650	 7.37	h   	 1.79	75	  9	 0.00	-13.9	23.7	 7.79	 7.23	 	 7.03	 538	-0.9	NGC3344        	-0.5	 0.77	  0	LEDA 32971                   	LEDA 32971
     432	LSBC D640-14      	  3	10 58 10.5	+11 59 57	  0.48	 0.66	 0.07	 	22.93	18.50	 	     	14.34	*	 	      	   	-2	Sph  	L	    	10.40	mem 	 1.45	59	   	 0.00	-11.7	25.5	 7.61	     	 	     	    	 0.8	NGC3368        	 1.1	 2.32	  1	ESDO 640-14                  	ESDO 640-14
     433	AGC205278         	  6	10 58 52.1	+14 07 46	  0.54	 0.68	 0.08	 	20.51	17.30	 	     	14.88	*	 	 18.54	 36	10	Ir   	N	 686	10.40	mem 	 1.63	54	 16	 0.00	-12.9	24.5	 7.40	 7.68	 	 6.95	 548	 0.6	NGC3412        	 1.0	 2.32	  0	AGC205278                    	AGC205278
     434	NGC3489           	  8	11 00 18.6	+13 54 04	  3.80	 0.57	 0.07	 	16.74	11.12	 	18.66	 7.37	 	 	 17.84	113	 1	     	 	 695	12.08	SBF 	13.26	60	 56	 0.10	-19.5	22.5	10.53	 9.69	 	 7.36	 556	-0.2	NGC3384        	 0.2	 1.58	  1	NGC3489                      	NGC3489
     435	LeG33             	  3	11 00 45.2	+14 10 20	  0.35	 0.55	 0.08	 	23.80	18.60	 	     	16.18	*	 	      	   	10	Tr   	L	    	10.40	mem 	 1.04	67	   	 0.00	-11.6	24.8	 6.88	     	 	     	    	 1.1	LSBC D640-08   	 1.3	 2.40	  1	[KK2004] LeG 33              	[KK2004] LeG 33
     436	LSBC D640-08      	  3	11 00 52.1	+13 52 51	  0.81	 0.58	 0.07	 	23.64	16.96	 	     	12.80	*	 	      	   	-3	Sph  	N	    	10.40	mem 	 2.46	75	   	 0.00	-13.2	25.1	 8.23	     	 	     	    	 0.4	NGC3412        	 0.9	 2.40	  1	ESDO 640-08                  	ESDO 640-08
     437	CGCG 066-109      	  7	11 04 26.5	+11 45 18	  1.05	 0.29	 0.06	 	17.73	16.20	 	20.03	13.80	*	 	 16.80	 44	10	Ir   	N	 777	10.40	mem 	 3.05	90	 18	 0.00	-14.0	24.8	 7.83	 8.04	 	 7.65	 629	 0.4	NGC3627        	 0.9	 2.28	  1	LEDA 33447                   	LEDA 33447
     438	KKSG20            	  6	11 04 40.6	+00 03 30	  0.52	 0.80	 0.16	 	22.11	17.51	 	     	15.01	*	 	 20.52	 25	10	Ir   	N	 835	10.70	mem 	 1.68	41	  5	 0.00	-12.8	24.6	 7.37	 6.69	 	 6.18	 636	 3.9	NGC3521        	 3.9	 1.85	  0	[KKS2000] 20                 	[KKS2000] 20
     439	MRK0036           	  7	11 04 58.5	+29 08 22	  0.68	 0.64	 0.13	 	15.89	15.61	 	16.83	14.00	 	 	 16.93	 41	 9	BCD  	H	 646	 8.02	h   	 1.59	58	 19	 0.00	-14.0	23.3	 7.52	 7.82	 	 7.37	 585	-1.4	NGC3344        	-0.8	-0.49	  0	MRK0036                      	MRK0036
     440	UGC06145          	  7	11 05 35.0	-01 51 49	  1.38	 0.56	 0.24	 	18.44	16.45	>	21.76	13.88	*	 	 16.04	 41	10	Ir   	L	 753	10.70	mem 	 4.42	66	 17	 0.00	-13.9	25.6	 7.83	 8.20	 	 7.97	 546	 1.5	NGC3521        	 1.5	 1.84	  1	UGC06145                     	UGC06145
     441	NGC3521sat        	  3	11 05 40.7	+00 07 15	  2.51	 0.77	 0.22	>	23.00	16.20	 	     	11.90	*	 	      	   	-1	Sph  	X	    	10.70	mem 	 8.13	45	   	 0.00	-14.2	26.7	 8.62	     	 	     	    	 4.7	NGC3521        	 4.7	 1.84	  0	                             	
     442	NGC3521           	  8	11 05 48.6	-00 02 09	 10.96	 0.46	 0.25	 	13.53	 9.83	 	13.19	 5.78	 	 	 11.84	441	 4	     	 	 797	10.70	TF  	34.92	66	228	 0.66	-21.2	22.8	11.09	11.32	 	 9.65	 598	 2.2	NGC3521sat     	 2.2	-0.36	  0	NGC3521                      	NGC3521
     443	KKSG22            	  4	11 06 07.7	-01 26 55	  0.50	 0.80	 0.20	>	23.00	18.20	 	     	15.67	*	>	 18.20	   	10	Ir   	L	    	10.70	mem 	 1.61	41	   	 0.00	-12.2	25.2	 7.11	     	<	 7.11	    	 1.9	NGC3521        	 1.9	 1.84	  0	[KKS2000] 22                 	[KKS2000] 22
     444	NGC3556           	  8	11 11 31.0	+55 40 26	  5.01	 0.25	 0.07	 	13.49	10.69	 	14.38	 7.04	 	 	 12.27	308	 6	     	 	 696	 9.90	TF  	13.86	80	144	 0.87	-20.2	21.8	10.52	10.52	 	 9.42	 777	-1.3	UGC06446       	-0.8	-0.27	  0	NGC3556                      	NGC3556
     445	DDO092            	  7	11 13 26.1	+53 35 42	  1.38	 0.78	 0.05	 	16.05	15.60	 	     	13.20	*	 	 15.01	 45	 9	Im   	N	 928	 9.90	mem 	 3.98	44	 26	 0.00	-14.4	24.9	 8.02	 8.50	 	 8.32	 999	 0.9	NGC3556        	 0.9	 1.28	  0	DDO092                       	DDO092
     446	LeoII             	  5	11 13 29.2	+22 09 17	 12.02	 0.87	 0.07	 	22.28	12.61	 	     	 8.45	*	>	 17.38	   	-3	Sph  	L	  86	 0.21	TRGB	 0.75	36	   	 0.00	 -9.1	26.6	 6.58	     	<	 4.02	  -8	 1.6	Milky Way      	 1.7	 1.74	  1	Leo II dSph                  	Leo II dSph
     447	NGC3593           	  8	11 14 35.9	+12 49 07	  5.89	 0.43	 0.08	 	17.01	11.85	 	15.63	 7.42	 	 	 15.17	254	 1	     	 	 631	10.80	TF  	18.20	73	120	 0.45	-18.9	23.8	10.43	10.48	 	 8.33	 492	 0.8	NGC3627        	 0.9	 2.00	  1	NGC3593                      	NGC3593
     448	AGC202256         	  6	11 14 45.0	+12 38 51	  0.40	 0.61	 0.08	 	19.15	16.70	 	     	14.28	*	 	 17.92	 42	10	Ir   	N	 630	11.00	TF  	 1.27	61	 19	 0.00	-13.6	23.2	 7.69	 7.72	 	 7.25	 490	 1.5	NGC3593        	 1.6	 1.86	  0	AGC202256                    	AGC202256
     449	IC2684            	  6	11 17 01.0	+13 05 59	  0.81	 0.75	 0.12	 	19.32	16.15	 	     	13.69	*	 	 18.00	 25	10	Tr   	N	 588	10.30	mem 	 2.47	47	  5	 0.00	-14.0	24.2	 7.87	 6.78	 	 7.16	 451	 2.6	NGC3627        	 2.6	 2.07	  0	IC2684                       	IC2684
     450	NGC3621           	  8	11 18 16.1	-32 48 42	 12.30	 0.44	 0.35	 	12.43	10.18	 	12.73	 6.60	 	 	 10.88	271	 7	     	 	 730	 6.70	Cep 	25.02	65	136	 0.49	-19.8	23.5	10.35	10.73	 	 9.63	 440	-1.7	NGC4594        	-1.1	-1.57	  1	NGC3621                      	NGC3621
     451	AGC215354         	  5	11 19 15.9	+14 17 25	  0.50	 0.60	 0.10	 	20.87	17.40	 	     	14.96	*	>	 17.40	   	 9	BCD  	N	 790	10.42	mem 	 1.52	62	   	 0.00	-12.8	24.4	 7.37	     	<	 7.41	 659	 1.7	NGC3627        	 1.8	 2.07	  0	                             	
     452	NGC3627           	  8	11 20 15.0	+12 59 29	 10.23	 0.46	 0.14	 	12.94	 9.65	 	13.36	 5.88	 	 	 13.36	369	 4	     	 	 716	10.28	Cep 	30.58	66	189	 0.59	-21.1	22.6	11.01	11.10	 	 9.01	 579	 1.1	NGC3628        	 1.3	 1.99	  1	NGC3627                      	NGC3627
     453	AGC213436         	  4	11 22 24.0	+12 58 46	  0.52	 0.98	 0.11	 	22.17	16.70	 	     	12.50	*	 	      	   	-1	dE   	N	 626	10.30	mem 	 1.61	13	   	 0.00	-13.5	23.9	 8.34	     	 	     	 491	 3.1	NGC3627        	 3.1	 2.07	  0	SDSS J112224.02+125846.4     	SDSS J112224.02+125846.4
     454	KKH67             	  3	11 23 03.5	+21 19 37	  0.71	 0.81	 0.10	>	23.00	18.40	 	     	14.21	*	 	      	   	-2	Sph  	X	    	10.00	txt 	 2.10	42	   	 0.00	-11.7	26.2	 7.63	     	 	     	    	-0.5	NGC3628        	 0.1	 0.36	  0	[KKH2001] 67                 	[KKH2001] 67
     455	IC2787            	  6	11 23 19.1	+13 37 47	  1.07	 0.93	 0.12	 	     	15.70	>	25.36	13.23	*	 	 17.73	 49	 9	BCD  	N	 708	10.30	mem 	 3.29	24	 50	 0.01	-14.5	24.4	 8.05	 8.98	 	 7.27	 576	 2.3	NGC3627        	 2.3	 2.07	  0	IC2787                       	IC2787
     456	IC2791            	  6	11 23 37.6	+12 53 45	  0.58	 0.68	 0.11	 	20.02	16.90	 	     	14.45	*	 	 19.15	 22	 9	Im   	N	 666	10.30	mem 	 1.74	54	  3	 0.00	-13.3	24.2	 7.56	 6.29	 	 6.70	 530	 2.5	NGC3627        	 2.5	 2.06	  0	AGC 213440                   	AGC 213440
     457	UGC06456          	  8	11 28 00.6	+78 59 29	  1.48	 0.53	 0.16	 	15.31	14.27	 	16.70	12.48	 	 	 14.60	 37	10	Ir   	N	 -94	 4.35	TRGB	 1.89	69	 15	 0.00	-14.1	23.6	 7.60	 7.68	 	 7.77	  99	-0.1	MESSIER081     	 0.1	 0.76	  1	UGC06456                     	UGC06456
     458	KDG078            	  6	11 29 54.0	+52 24 14	  0.74	 0.71	 0.07	>	23.00	16.70	 	     	14.29	*	 	 18.74	 26	10	Tr   	N	 575	 9.00	txt 	 1.94	51	  7	 0.00	-13.1	24.6	 7.51	 6.99	 	 6.74	 644	-0.7	NGC4258        	-0.3	-1.70	  0	KDG078                       	KDG078
     459	LeoV              	  5	11 31 09.6	+02 13 12	  4.10	 0.45	 0.12	>	23.00	17.60	 	     	13.39	*	>	 19.88	   	-3	Sph  	X	 173	 0.18	CMD 	 0.21	90	   	 0.00	 -3.8	29.2	 4.46	     	<	 2.88	  -7	 1.8	Milky Way      	 1.9	 1.74	  0	LEO V                        	LEO V
     460	HIPASS J1131-31   	  5	11 31 35.2	-31 40 20	  1.00	 0.60	 0.30	 	     	17.00	 	     	14.38	*	 	 16.65	 30	10	Ir   	L	 715	 6.70	mem 	 2.04	62	 10	 0.00	-12.4	25.4	 7.22	 7.36	 	 7.33	 432	 0.7	NGC3621        	 0.7	 1.10	  0	                             	
     461	LeoIV             	  6	11 32 57.0	-00 32 00	  7.30	 0.78	 0.11	 	22.81	16.90	>	22.75	12.70	*	>	 19.88	   	-3	Sph  	X	 132	 0.16	HB  	 0.34	48	   	 0.00	 -4.2	29.8	 4.63	     	<	 2.78	 -58	 2.0	Milky Way      	 2.0	 1.74	  0	LEO IV                       	LEO IV
     462	HIPASS J1133-32   	  5	11 33 11.0	-32 57 43	  0.52	 0.50	 0.26	 	     	16.27	 	     	13.68	*	 	 17.45	 59	10	Ir   	N	 709	 6.70	mem 	 1.05	72	 26	 0.00	-13.1	23.3	 7.50	 7.93	 	 7.00	 424	 0.7	NGC3621        	 0.7	 1.10	  0	HIPASS J1132-32              	HIPASS J1132-32
     463	UGC06541          	  8	11 33 29.1	+49 14 17	  1.74	 0.57	 0.08	 	15.50	14.44	 	16.93	11.85	 	 	 16.35	 26	10	Ir   	N	 249	 3.89	TRGB	 1.96	65	  5	 0.00	-13.6	24.2	 7.75	 6.69	 	 6.97	 303	-0.6	MESSIER081     	-0.2	 0.44	  1	UGC06541                     	UGC06541
     464	NGC3738           	  8	11 35 48.6	+54 31 22	  3.39	 0.73	 0.05	 	13.87	11.87	 	15.88	 9.61	 	 	 14.29	 78	 9	BCD  	N	 225	 4.90	TRGB	 4.82	49	 45	 0.02	-16.7	23.1	 8.85	 9.06	 	 8.00	 306	-0.8	MESSIER081     	-0.4	-0.84	  1	NGC3738                      	NGC3738
     465	NGC3741           	  8	11 36 06.4	+45 17 07	  1.48	 0.55	 0.10	 	15.33	14.38	 	17.39	12.26	 	 	 13.55	 83	 9	BCD  	N	 229	 3.03	TRGB	 1.30	67	 40	 0.00	-13.1	23.8	 7.38	 8.37	 	 7.88	 263	-0.7	MESSIER081     	-0.4	-0.12	  1	NGC3741                      	NGC3741
     466	ESO320-014        	  7	11 37 53.4	-39 13 14	  1.38	 0.64	 0.62	 	18.79	15.85	 	     	12.90	 	 	 16.43	 40	10	Ir   	N	 654	 6.08	TRGB	 2.74	58	 18	 0.00	-13.7	24.8	 7.74	 8.03	 	 7.33	 362	-0.7	NGC3621        	-0.5	-1.75	  1	ESO320-014                   	ESO320-014
     467	UGC06757          	  3	11 46 59.1	+61 20 06	  1.10	 0.55	 0.14	 	18.10	16.30	 	     	13.82	*	 	      	   	10	Ir   	N	  82	 2.73	h   	 0.88	67	   	 0.00	-11.0	25.0	 6.66	     	 	     	 199	-0.3	MESSIER081     	 0.0	-0.99	  0	UGC06757                     	UGC06757
     468	KK109             	  7	11 47 11.2	+43 40 19	  0.45	 0.67	 0.08	 	20.68	18.10	 	25.61	15.68	*	 	 17.76	 18	10	Ir   	L	 211	 4.51	TRGB	 0.59	55	  3	 0.00	-10.3	24.9	 6.35	 5.81	 	 6.54	 240	-0.3	NGC4736        	 0.0	 1.45	  1	[KK98a] 109                  	[KK98a] 109
     469	DDO097            	  7	11 48 57.2	+23 50 16	  1.58	 0.91	 0.12	 	17.10	15.14	 	19.41	12.65	*	 	 15.46	 86	10	Ir   	N	 522	13.74	BS  	 6.48	27	 82	 0.03	-15.7	24.7	 8.53	 9.70	 	 8.42	 450	-1.3	NGC4251        	-0.7	     	  0	DDO097                       	DDO097
     470	KKH73             	  6	11 50 06.4	+55 47 00	  0.69	 0.94	 0.04	>	23.00	17.30	 	     	14.91	*	 	 18.15	 20	10	Tr   	L	 594	 9.00	txt 	 1.82	22	  7	 0.00	-12.5	25.1	 7.26	 6.97	 	 6.98	 685	-0.5	NGC3556        	-0.1	 0.35	  0	[KKH2001] 73                 	[KKH2001] 73
     471	DDO099            	  8	11 50 53.0	+38 52 50	  4.27	 0.37	 0.11	 	14.99	13.70	 	17.58	11.86	 	 	 13.58	 34	10	Ir   	N	 251	 2.64	TRGB	 3.23	90	 11	 0.00	-13.5	25.3	 7.42	 7.69	 	 7.74	 257	-0.8	NGC4214        	-0.4	-0.14	  1	DDO099                       	DDO099
     472	ESO379-007        	  7	11 54 43.0	-33 33 29	  0.93	 0.73	 0.32	 	     	16.60	 	21.70	13.60	 	 	 15.65	 28	10	Ir   	L	 644	 5.22	TRGB	 1.50	49	 10	 0.00	-12.3	24.9	 7.32	 7.23	 	 7.51	 367	-1.0	NGC5236        	-0.5	-1.69	  1	ESO379-007                   	ESO379-007
     473	UGC06881          	  6	11 54 44.7	+20 03 20	  1.62	 0.39	 0.15	 	17.66	15.90	 	     	13.41	*	 	 16.23	 90	10	Ir   	N	 601	16.40	TF  	 7.70	90	 39	 0.00	-15.3	25.4	 8.38	 9.14	 	 8.27	 513	-0.3	NGC4032        	-0.1	 0.32	  0	UGC06881                     	UGC06881
     474	MCG +05-28-046    	  3	11 55 23.5	+28 20 24	  1.20	 0.44	 0.12	 	18.08	16.35	 	     	13.89	*	 	      	   	 9	Im   	N	 590	 7.45	h   	 2.58	81	   	 0.00	-13.1	25.2	 7.50	     	 	     	 544	-0.9	NGC4631        	-0.5	 0.17	  0	MCG +05-28-046               	MCG +05-28-046
     475	KDG082            	  7	11 55 39.4	+31 31 10	  1.91	 0.64	 0.09	 	17.77	14.84	 	19.41	12.09	*	 	 16.73	100	 8	     	 	 590	16.60	TF  	 9.22	51	 56	 0.08	-16.4	24.7	 8.92	 9.53	 	 8.08	 560	-1.1	NGC4565        	-0.6	-1.06	  0	KDG082                       	KDG082
     476	NGC3990           	  4	11 57 35.6	+55 27 31	  1.69	 0.57	 0.06	 	     	13.43	 	     	 9.55	 	 	      	   	-1	     	 	 696	10.30	SBF 	 5.02	65	   	 0.00	-16.7	23.1	 9.52	     	 	     	 788	-0.7	NGC3556        	-0.4	-0.14	  0	NGC3990                      	NGC3990
     477	LV J1157+5638     	  3	11 57 54.2	+56 38 17	  0.48	 0.81	 0.08	 	18.49	17.10	 	     	14.68	*	 	      	   	10	Ir   	N	 416	 7.03	h   	 0.99	40	   	 0.00	-12.2	24.1	 7.14	     	 	     	 514	-0.6	NGC4258        	-0.3	-1.87	  0	[KMK2013] LV J1157+5638      	[KMK2013] LV J1157+5638
     478	LV J1158+1535     	  4	11 58 40.4	+15 35 34	  0.32	 0.83	 0.24	 	20.69	18.20	 	     	15.63	*	>	 17.40	   	10	Ir   	N	 565	 6.27	h   	 0.61	38	   	 0.00	-11.0	24.2	 6.66	     	<	 6.97	 458	-1.6	NGC4826        	-1.0	     	  0	[KMK2013] LV J1158+1535      	[KMK2013] LV J1158+1535
     479	BTS76             	  4	11 58 44.1	+27 35 06	  0.60	 0.60	 0.10	 	20.56	16.50	 	21.79	14.06	*	 	      	   	10	Ir   	N	 455	 5.57	h   	 0.98	62	   	 0.00	-12.3	23.9	 7.18	     	 	     	 407	-1.1	NGC4736        	-0.6	-1.86	  1	BTS76                        	BTS76
     480	ESO572-034        	  6	11 58 58.1	-19 01 48	  1.32	 0.51	 0.17	 	     	14.27	 	     	11.50	 	 	 15.18	 67	 9	BCD  	H	1114	 8.50	TF  	 3.29	71	 31	 0.00	-15.6	23.4	 8.58	 8.56	 	 8.12	 871	-0.6	NGC4594        	-0.5	     	  0	ESO572-034                   	ESO572-034
     481	KUG 1157+315      	  7	12 00 16.2	+31 13 30	  0.83	 0.48	 0.08	 	16.67	15.05	 	     	12.88	 	 	 16.47	117	 8	     	 	 617	23.20	TF  	 5.55	62	 57	 0.13	-17.0	23.0	 8.90	 9.33	 	 8.48	 588	-2.1	NGC4321        	-1.6	     	  0	KUG 1157+315                 	KUG 1157+315
     482	LV J1203+4739     	  3	12 03 00.0	+47 39 15	  0.94	 0.46	 0.08	 	18.58	17.20	 	     	14.78	*	 	      	   	10	Ir   	N	 492	 7.49	h   	 2.02	78	   	 0.00	-12.3	25.6	 7.15	     	 	     	 547	 0.9	NGC4258        	 0.9	 1.72	  0	[KMK2013] LV J1203+4739      	[KMK2013] LV J1203+4739
     483	LV J1203+3257     	  3	12 03 10.9	+32 57 22	  0.97	 0.38	 0.09	 	20.98	16.70	 	     	14.02	*	 	      	   	 8	     	 	 570	 7.55	h   	 2.09	69	   	 0.00	-12.8	25.1	 7.46	     	 	     	 551	-0.6	NGC4631        	-0.2	 0.17	  0	[KMK2013] LV J1203+3257      	[KMK2013] LV J1203+3257
     484	NGC4068           	  7	12 04 02.4	+52 35 19	  2.95	 0.53	 0.09	 	14.46	13.19	 	16.61	10.76	*	 	 13.85	 54	 9	Im   	N	 210	 4.31	TRGB	 3.67	69	 24	 0.00	-15.1	24.1	 8.28	 8.41	 	 8.06	 290	-0.5	NGC4736        	-0.1	 0.50	  1	NGC4068                      	NGC4068
     485	NGC4080           	  8	12 04 51.8	+26 59 33	  1.58	 0.44	 0.11	 	16.29	13.70	 	17.94	10.79	 	 	 16.11	147	 8	     	 	 565	15.00	TF  	 6.85	65	 71	 0.23	-17.5	23.0	 9.36	 9.60	 	 8.24	 517	-0.5	NGC4251        	-0.1	 0.60	  0	NGC4080                      	NGC4080
     486	ESO379-024        	  4	12 04 56.7	-35 44 35	  0.74	 0.75	 0.33	 	     	16.58	 	     	13.93	*	 	 16.07	 39	10	Ir   	N	 632	 4.88	h   	 1.12	47	 20	 0.00	-12.2	24.4	 7.13	 7.71	 	 7.28	 356	-0.7	NGC5128        	-0.3	-1.13	  0	ESO379-024                   	ESO379-024
     487	IC2992            	  8	12 05 15.9	+30 51 20	  0.83	 0.83	 0.09	 	16.71	15.02	 	18.81	12.44	 	 	 17.03	 46	 9	BCD  	N	 599	12.70	TF  	 3.11	38	 30	 0.00	-15.6	23.2	 8.55	 8.52	 	 7.73	 570	 0.1	NGC4274        	 0.3	 1.48	  0	IC2992                       	IC2992
     488	KUG 1202+286      	  4	12 05 23.3	+28 21 56	  0.89	 0.57	 0.10	 	17.28	15.20	 	     	13.16	 	 	      	   	 8	     	 	 529	 6.69	h   	 1.73	56	   	 0.00	-14.0	23.5	 7.70	     	 	     	 488	 0.1	LV J1205+2813  	 0.2	-0.99	  0	KUG 1202+286                 	KUG 1202+286
     489	LV J1205+2813     	  3	12 05 34.2	+28 13 56	  0.69	 0.79	 0.09	 	18.66	16.70	 	     	14.02	*	 	      	   	 8	     	 	 534	 6.74	h   	 1.37	38	   	 0.00	-12.5	24.5	 7.37	     	 	     	 492	 0.5	KUG 1202+286   	 0.5	-0.87	  0	[KMK2013] LV J1205+2813      	[KMK2013] LV J1205+2813
     490	MAPS1206+31       	  3	12 06 34.5	+31 20 33	  0.71	 0.93	 0.09	 	18.90	15.80	 	     	13.12	*	 	      	   	 8	     	 	 568	 7.43	h   	 1.56	22	   	 0.00	-13.6	23.6	 7.81	     	 	     	 542	-0.4	LV J1207+3133  	 0.0	 1.31	  0	RASSCALS NRGb181.010         	RASSCALS NRGb181.010
