#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/511/139&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75110139
#Name: J/MNRAS/511/139
#Title: CRDs galaxies candidates in SDSS-IV MaNGA (Bevacqua+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/mnras/511/139	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/511/139	    IVOID of underlying data collection
#INFO	creator=Bevacqua D.	    First author or institution
#INFO	cites=bibcode:2022MNRAS.511..139B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/511/139	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75110139	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-07-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_511_139_table1:
#Name: J/MNRAS/511/139/table1
#Title: Properties of Counter-Rotating stellar Disks galaxy candidates
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MaNGAId	(A8)	MaNGA-ID associated with a unique MaNGA galaxy (MaNGA-ID)	[ucd=meta.id;meta.main]
#Column	DR15	(A4)	Link to see the MaNGA DR15 catalog	[ucd=meta.ref.url]
#Column	n_MaNGAId	(I1)	[1/2]? Note on MaNGAId objects (1)	[ucd=meta.note]
#Column	Mtype	(A2)	Galaxy Hubble morphology (Morphology) (2)	[ucd=src.morph.type]
#Column	logM*	(F5.2)	Stellar mass taken from Graham et al. 2019arXiv191005139G (log10M*)	[ucd=phys.mass]
#Column	Pth50	(F5.2)	Elliptical Petrosian 50 per cent light radius in SDSS r-band (Re)	[ucd=phys]
#Column	DPA	(F5.1)	? Difference of the kinematic position angles between the stellar and the gas velocity fields ({Delta}PA) (3)	[ucd=pos.posAng]
#Column	n_DPA	(A5)	Note on DPA (star/gas_alignment) (4)	[ucd=meta.note]
#Column	Pop	(A5)	[young old nan] Correspond to the corotation of the gaseous disk with the younger or older disk (star/gas_vs.pop)	[ucd=src.class]
#Column	logAge	(F5.2)	Luminosity weighted mean age within 1 R_e_ as in the equation 8 of the section 4.1 Stellar population maps (log10<Age>)	[ucd=phys.luminosity;stat.mean]
#Column	[M/H]	(F5.2)	Luminosity weighted mean metallicity within 1 R_e_ as in the equation 9 of the section 4.1 Stellar population maps (<[M/H]>)	[ucd=phys.luminosity;stat.mean]
#Column	GradAge	(F5.2)	Gradient of Age (GradAge) (5)	[ucd=time.age]
#Column	Grad[M/H]	(F5.2)	Gradient of metallicity (Grad[M/H]) (5)	[ucd=arith.grad;phys.abund]
#Column	Modality	(A5)	Modality of the weights maps from regularized fits (Modality) (6)	[ucd=src.class]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from MaNGA catalog DR15 Cat. J/AJ/154/86 (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from MaNGA catalog DR15 Cat. J/AJ/154/86 (declination part)	[ucd=pos.eq.dec;meta.main]
recno	MaNGAId	DR15	n_MaNGAId	Mtype	logM*	Pth50	DPA	n_DPA	Pop	logAge	[M/H]	GradAge	Grad[M/H]	Modality	Simbad	_RA	_DE
    2257	1-136248 	DR15	Y	S0  	F	2S  	 0.173	 0.593	10.84	 2.10	253.79391	+36.90631
    2258	1-546873 	DR15	Y	E   	F	R   	 0.461	 0.196	10.83	 2.05	255.84848	+37.63247
    2259	1-136305 	DR15	Y	S0  	F	R   	 0.526	 0.688	 9.88	 1.85	255.91554	+36.38493
    2260	1-136268 	DR15	Y	S0  	F	R   	 0.872	 0.571	10.54	 1.97	254.44756	+37.68771
    2261	1-136292 	DR15	N	E   	S	F   	 0.116	 0.236	12.10	 2.37	255.35005	+37.38280
    2262	1-634274 	DR15	Y	E   	S	R   	 0.071	 0.109	11.99	 2.41	253.57262	+37.62238
    2263	1-95658  	DR15	Y	E   	F	R   	 0.338	 0.192	11.56	 2.36	253.56098	+37.62617
    2264	1-95657  	DR15	Y	S0  	F	R   	 0.287	 0.301	11.38	 2.12	253.63277	+37.63139
    2265	1-546912 	DR15	Y	E   	S	R   	 0.098	 0.207	11.71	 2.37	256.15292	+37.00759
    2266	1-136286 	DR15	Y	I   	F	R   	 0.707	 0.610	10.53	 1.95	255.70905	+36.70675
    2267	1-23687  	DR15	Y	S   	F	R   	 0.847	 0.171	10.01	 1.71	262.25738	+60.08940
    2268	1-23746  	DR15	Y	S   	F	R   	 0.552	 0.075	10.77	 1.69	260.71889	+60.12959
    2269	1-634763 	DR15	Y	S0  	F	R   	 0.853	 0.750	11.20	 2.20	261.55724	+62.14946
    2270	1-25683  	DR15	N	M/CP	F	R   	 0.739	 0.181	 9.67	 1.56	261.97903	+59.72120
    2271	1-23731  	DR15	Y	E   	F	R   	 0.569	 0.310	10.52	 2.13	260.74670	+60.55929
    2272	1-23745  	DR15	Y	S   	F	R   	 0.680	 0.436	10.96	 2.02	260.70562	+60.44486
    2273	1-25682  	DR15	N	S   	F	R   	 0.902	 0.738	10.44	 1.91	261.96013	+60.08034
    2274	1-25680  	DR15	Y	E   	F	R   	 0.247	 0.144	11.12	 2.30	261.96887	+60.09727
    2275	1-25676  	DR15	Y	S0  	F	R   	 0.470	 0.291	11.20	 2.17	261.84125	+59.64380
    2276	1-23729  	DR15	Y	S0  	F	R   	 0.718	 0.325	10.25	 2.03	261.48249	+60.33944
    2277	1-25659  	DR15	Y	S0  	F	R   	 0.555	 0.249	11.00	 2.08	261.46394	+60.19412
    2278	1-23712  	DR15	Y	S0  	F	R   	 0.619	 0.467	10.65	 2.00	261.11995	+60.00148
    2279	1-25725  	DR15	Y	E   	F	R   	 0.431	 0.123	10.57	 2.17	262.99672	+59.97164
    2280	1-23665  	DR15	Y	E   	F	R   	 0.436	 0.099	10.83	 2.14	263.06043	+59.87086
    2281	1-23811  	DR15	Y	S0  	F	R   	 0.779	 0.452	10.43	 1.86	259.99265	+60.89190
    2282	1-23786  	DR15	Y	S   	F	R   	 0.828	 0.401	10.48	 1.85	259.79587	+62.14856
    2283	1-23818  	DR15	N	S0  	F	R   	 0.262	 0.673	 9.02	 1.85	260.47114	+60.96547
    2284	1-25632  	DR15	Y	S0  	F	R   	 0.631	 0.290	10.74	 1.97	260.67414	+59.85187
    2285	1-23784  	DR15	Y	S0  	F	R   	 0.895	 0.686	10.75	 2.02	259.79543	+61.54227
    2286	1-96075  	DR15	Y	S   	F	R   	 0.817	 0.247	11.71	 2.08	253.94638	+39.31054
    2287	1-96077  	DR15	Y	S0  	F	R   	 0.801	 0.744	10.20	 1.79	254.01468	+39.64550
    2288	1-96154  	DR15	Y	S0  	F	R   	 0.727	 0.008	 9.92	 1.72	254.39730	+39.28609
    2289	1-96151  	DR15	Y	S0  	F	R   	 0.817	 0.728	11.22	 2.15	254.56457	+39.39146
    2290	1-95842  	DR15	N	M/CP	F	M/CP	 0.476	 0.548	10.87	 2.22	255.10156	+38.35171
    2291	1-594755 	DR15	Y	E   	S	KDC 	 0.071	 0.210	12.06	 2.57	253.46758	+39.76016
    2292	1-94958  	DR15	Y	E   	F	R   	 0.316	 0.189	10.18	 1.86	253.47058	+39.82965
    2293	1-95825  	DR15	Y	S0  	F	R   	 0.788	 0.408	10.92	 2.24	254.09663	+38.36347
    2294	1-94977  	DR15	Y	E   	F	R   	 0.489	 0.410	10.99	 2.11	252.29199	+38.93896
    2295	1-94934  	DR15	Y	E   	F	R   	 0.250	 0.223	11.36	 2.36	253.50826	+39.47642
    2296	1-95982  	DR15	Y	S0  	F	R   	 0.745	 0.561	11.32	 2.27	254.82901	+38.86630
    2297	1-564483 	DR15	Y	E   	S	KDC 	 0.055	 0.134	11.43	 2.29	252.92715	+39.23583
    2298	1-94971  	DR15	N	M/CP	S	KDC 	 0.066	 0.329	11.69	 2.42	252.43035	+38.87272
    2299	1-95843  	DR15	Y	S   	F	R   	 0.738	 0.208	11.29	 2.04	255.00695	+38.81601
    2300	1-95770  	DR15	Y	S   	F	R   	 0.595	 0.488	10.80	 1.91	253.28895	+38.84455
    2301	1-560933 	DR15	Y	S   	F	R   	 0.761	 0.607	10.82	 2.13	254.02131	+34.04985
    2302	1-177270 	DR15	N	I   	F	M/CP	 0.127	 0.118	10.63	 1.75	256.81775	+34.82260
    2303	1-176538 	DR15	N	M/CP	S	M/CP	 0.082	 0.341	11.58	 2.37	255.44265	+35.04482
    2304	1-176803 	DR15	N	M/CP	S	F   	      	 0.250	12.45	     	255.67705	+34.05999
    2305	1-176422 	DR15	Y	E   	F	R   	 0.107	 0.030	11.22	 2.27	254.05437	+33.59058
    2306	1-136111 	DR15	Y	E   	S	R   	 0.099	 0.155	11.82	 2.38	254.19492	+35.04811
    2307	1-177221 	DR15	Y	S0  	F	R   	 0.773	 0.547	11.30	 2.21	255.81215	+35.81966
    2308	1-177127 	DR15	Y	E   	F	R   	 0.502	 0.174	 9.99	 1.71	255.29041	+33.60835
    2309	1-176829 	DR15	Y	E   	S	NR  	 0.049	 0.043	11.15	 2.34	255.30706	+33.51318
    2310	1-177105 	DR15	Y	E   	F	R   	 0.594	 0.252	11.32	 2.25	255.80321	+33.54431
    2311	1-176879 	DR15	Y	S   	F	R   	 0.835	 0.335	11.33	 2.01	255.76633	+33.54317
    2312	1-177135 	DR15	Y	E   	S	NR  	 0.056	 0.084	12.30	 2.52	255.63810	+33.51664
    2313	1-176882 	DR15	N	E   	F	F   	 0.403	 0.216	11.69	 2.63	255.74875	+33.55451
    2314	1-176444 	DR15	N	E   	S	M/CP	 0.211	 0.096	11.01	 2.35	253.73056	+34.71954
    2315	1-176448 	DR15	Y	S0  	F	R   	 0.643	 0.401	10.53	 1.97	253.67735	+34.72863
    2316	1-136125 	DR15	Y	S   	F	R   	 0.873	 0.526	10.96	 2.04	254.04414	+34.83652
    2317	1-177145 	DR15	Y	E   	F	R   	 0.267	 0.045	11.90	 2.35	254.77189	+34.33648
    2318	1-176402 	DR15	Y	S0  	F	R   	 0.873	 0.300	11.14	 2.14	254.22569	+33.90858
    2319	1-634328 	DR15	N	M/CP	S	M/CP	 0.463	 0.425	11.76	 2.35	254.30980	+34.02404
    2320	1-179900 	DR15	Y	S0  	F	R   	 0.685	 0.487	11.22	 2.03	319.38957	-00.13474
    2321	1-596218 	DR15	Y	S   	F	R   	 0.706	 0.727	10.44	 1.89	320.15944	+01.04728
    2322	1-289865 	DR15	Y	E   	S	CR  	 0.062	 0.298	11.71	 2.37	322.04858	+00.29988
    2323	1-550913 	DR15	N	M/CP	S	M/CP	 0.607	 0.456	12.22	 2.74	321.44316	+00.93108
    2324	1-179929 	DR15	Y	E   	F	R   	 0.528	 0.150	10.63	 2.18	319.59456	+00.29159
    2325	1-179795 	DR15	Y	S   	F	R   	 0.893	 0.323	10.56	 1.77	319.66215	+00.29508
    2326	1-180047 	DR15	Y	I   	F	R   	 0.172	 0.250	 9.64	 1.96	321.07220	+01.02836
    2327	1-179561 	DR15	Y	E   	F	2S  	 0.155	 0.418	10.48	 1.96	319.75116	-00.96399
    2328	1-550901 	DR15	Y	S   	F	R   	 0.562	 0.465	11.29	 1.98	321.00791	-00.36632
    2329	1-635590 	DR15	Y	E   	S	R   	 0.108	 0.306	11.64	 2.46	321.05441	+01.11838
    2330	1-180028 	DR15	Y	E   	F	R   	 0.629	 0.542	10.45	 1.96	320.82641	+01.25498
    2331	1-180012 	DR15	Y	E   	F	R   	 0.552	 0.276	11.07	 2.24	320.74455	+01.02670
    2332	1-179844 	DR15	Y	S0  	F	R   	 0.583	 0.179	11.39	 2.04	321.32602	+00.18475
    2333	1-179981 	DR15	Y	S0  	F	R   	 0.705	 0.435	10.18	 1.88	320.16623	+01.11735
    2334	1-179947 	DR15	Y	S0  	F	R   	 0.567	 0.318	11.46	 2.29	319.90187	+00.70425
    2335	1-179556 	DR15	Y	S0  	F	R   	 0.874	 0.682	11.03	 2.10	319.91975	+00.12094
    2336	1-180039 	DR15	Y	S   	F	R   	 0.848	 0.584	10.96	 2.00	321.47404	+00.41606
    2337	1-180298 	DR15	N	M/CP	F	M/CP	 0.608	 0.576	11.78	 2.81	322.25315	+00.18261
    2338	1-180153 	DR15	Y	E   	S	CR  	 0.052	 0.105	12.30	 2.49	322.61231	-00.00676
    2339	1-635647 	DR15	Y	S   	F	R   	 0.880	 0.461	11.56	 2.20	323.17401	-00.12784
    2340	1-635629 	DR15	Y	S0  	F	R   	 0.701	 0.692	10.38	 1.95	322.60787	-00.47452
    2341	1-180522 	DR15	Y	S0  	F	R   	 0.817	 0.849	10.02	 1.86	322.61347	-00.44502
    2342	1-180286 	DR15	Y	S0  	F	R   	 0.200	 0.231	 9.56	 1.82	322.04089	+01.14109
    2343	1-180163 	DR15	Y	E   	F	R   	 0.358	 0.204	10.83	 2.17	322.45192	-00.31355
    2344	1-289846 	DR15	Y	S   	F	R   	 0.779	 0.202	11.12	 2.16	322.30605	-00.29476
    2345	1-180193 	DR15	Y	S0  	F	R   	 0.639	 0.497	10.46	 1.96	322.24202	-00.34243
    2346	1-180168 	DR15	Y	S0  	F	R   	 0.679	 0.586	10.89	 2.26	322.30575	-00.52391
    2347	1-289841 	DR15	Y	E   	F	R   	 0.535	 0.352	11.40	 2.26	322.46744	-00.63128
    2348	1-180208 	DR15	Y	S0  	F	R   	 0.704	 0.328	10.94	 2.27	322.30215	-00.62176
    2349	1-180299 	DR15	Y	E   	S	CR  	 0.067	 0.233	11.98	 2.46	322.11524	+00.18205
    2350	1-180308 	DR15	Y	S   	F	R   	 0.682	 0.153	12.03	 2.25	322.51023	+00.46420
    2351	1-289868 	DR15	Y	S   	F	R   	 0.504	 0.358	10.08	 1.88	322.44928	+00.39625
    2352	1-289864 	DR15	Y	E   	F	R   	 0.177	 0.432	11.72	 2.46	322.21234	+01.25827
    2353	1-180334 	DR15	Y	S   	F	R   	 0.901	 0.313	11.08	 2.13	322.98053	+00.21377
    2354	1-180514 	DR15	N	M/CP	F	R   	 0.808	 0.385	11.43	 2.27	322.90884	-00.60820
    2355	1-180135 	DR15	Y	S   	F	R   	 0.548	 0.171	10.83	 1.89	322.74944	-00.00059
    2356	1-113700 	DR15	N	M/CP	F	F   	 0.127	 0.146	10.28	 1.88	319.45182	+11.66060
    2357	1-113587 	DR15	Y	S   	F	R   	 0.726	 0.348	11.37	 2.11	319.27336	+11.12013
    2358	1-113476 	DR15	Y	E   	S	NR  	 0.053	 0.348	11.64	 2.33	317.56882	+10.40881
    2359	1-113698 	DR15	N	S0  	F	2S  	 0.138	 0.489	 9.38	 1.78	319.19404	+11.54001
    2360	1-113208 	DR15	Y	E   	F	R   	 0.420	 0.120	11.47	 2.24	317.50448	+09.86822
    2361	1-113675 	DR15	Y	E   	F	R   	 0.385	 0.108	11.80	 2.33	318.77564	+10.09846
    2362	1-113663 	DR15	N	S0  	F	R   	 0.736	 0.368	10.01	 2.02	318.80456	+09.91312
    2363	1-113672 	DR15	Y	E   	F	R   	 0.374	 0.033	11.47	 1.99	318.86229	+09.75782
    2364	1-635506 	DR15	Y	E   	F	R   	 0.417	 0.238	10.51	 1.96	319.10319	+10.27339
    2365	1-113647 	DR15	Y	E   	F	R   	 0.402	 0.155	11.45	 2.36	319.81483	+10.07063
    2366	1-635474 	DR15	N	S   	F	F   	 0.726	 0.103	10.07	 3.00	317.87543	+11.31201
    2367	1-113539 	DR15	N	S   	F	R   	 0.713	 0.763	 9.94	 1.82	317.97959	+11.37945
    2368	1-596095 	DR15	N	S0  	F	R   	      	 0.468	 9.89	     	318.08656	+11.22024
    2369	1-113520 	DR15	Y	E   	S	2S  	 0.072	 0.291	10.03	 1.96	317.50220	+11.51065
    2370	1-113654 	DR15	Y	S0  	F	R   	 0.778	 0.640	10.60	 1.99	319.27146	+09.97230
    2371	1-635285 	DR15	Y	S0  	F	R   	 0.839	 0.808	11.08	 2.07	310.21708	+00.65280
    2372	1-178686 	DR15	N	S   	F	F   	 0.523	 0.241	11.10	 2.24	309.98326	+00.97615
    2373	1-190560 	DR15	N	S0  	F	M/CP	 0.189	 0.020	 9.71	 1.69	311.45597	+00.67476
    2374	1-178794 	DR15	Y	S0  	F	R   	 0.667	 0.236	11.05	 2.24	310.88283	+00.96338
    2375	1-178838 	DR15	N	U   	F	R   	 0.664	 0.006	10.49	 2.02	312.02361	+00.06884
    2376	1-178782 	DR15	Y	S0  	F	R   	 0.323	 0.233	10.69	 1.87	310.45001	-00.46832
    2377	1-178790 	DR15	Y	S0  	F	R   	 0.642	 0.412	10.27	 1.87	310.37277	+00.13225
    2378	1-205522 	DR15	Y	E   	F	R   	 0.490	 0.113	11.77	 2.39	310.75705	+01.13351
    2379	1-205502 	DR15	N	S   	F	R   	      	 0.339	10.98	     	311.86459	-00.31035
    2380	1-178601 	DR15	N	S0  	F	R   	      	 0.561	11.61	     	310.57921	-00.92518
    2381	1-178695 	DR15	Y	E   	F	R   	 0.234	 0.154	11.34	 2.31	310.44722	+01.21310
    2382	1-190574 	DR15	N	S0  	F	R   	      	 0.527	11.61	     	311.78097	+00.30046
    2383	1-178828 	DR15	Y	E   	F	R   	 0.511	 0.248	11.52	 2.29	311.82945	+00.32079
    2384	1-178823 	DR15	Y	S0  	F	R   	 0.625	 0.362	 9.72	 1.64	311.76380	+00.43678
    2385	1-178824 	DR15	Y	E   	F	R   	 0.558	 0.544	 9.96	 1.61	311.65878	+00.33936
    2386	1-178812 	DR15	Y	I   	F	F   	 0.401	 0.384	10.17	 1.20	311.40173	+00.51049
    2387	1-178698 	DR15	Y	S0  	F	R   	 0.873	 0.158	 9.12	 1.50	311.34736	+00.49253
    2388	1-23372  	DR15	Y	E   	S	NR  	 0.073	 0.286	11.92	 2.41	259.16392	+59.25371
    2389	1-25656  	DR15	Y	S   	F	R   	 0.800	 0.792	11.00	 2.09	260.58172	+59.07653
    2390	1-25746  	DR15	N	S   	F	R   	 0.673	 0.417	10.86	 1.98	264.23953	+59.20029
    2391	1-25729  	DR15	N	S0  	F	R   	 0.766	 0.701	 9.68	 1.85	262.88715	+59.51842
    2392	1-25663  	DR15	Y	S0  	F	NR  	 0.414	 0.076	 9.74	 1.25	261.47457	+59.52563
    2393	1-23679  	DR15	Y	E   	F	R   	 0.665	 0.377	10.31	 1.87	263.71818	+60.24388
    2394	1-595225 	DR15	N	M/CP	S	F   	 0.394	 0.231	11.31	 2.56	261.85290	+58.51691
    2395	1-25566  	DR15	Y	E   	F	R   	 0.677	 0.308	10.78	 2.06	261.98027	+58.39890
    2396	1-25593  	DR15	Y	S   	F	R   	 0.554	 0.320	10.57	 1.81	164.97808	+43.14770
    2397	1-25722  	DR15	Y	S0  	F	R   	 0.847	 0.619	10.37	 1.89	262.39599	+58.76132
    2398	1-634806 	DR15	Y	E   	S	NR  	 0.058	 0.097	11.07	 2.29	263.69082	+58.93756
    2399	1-25718  	DR15	Y	S0  	F	R   	 0.558	 0.063	 9.99	 1.66	262.53523	+59.53184
    2400	1-25740  	DR15	Y	S   	F	R   	 0.856	 0.569	10.92	 1.98	263.89258	+59.88992
    2401	1-24161  	DR15	Y	S   	F	R   	 0.863	 0.452	11.37	 2.20	259.68223	+58.13512
    2402	1-23890  	DR15	Y	E   	F	R   	 0.551	 0.196	10.73	 2.08	260.38650	+56.98885
    2403	1-23991  	DR15	Y	S0  	F	NR  	 0.252	 0.121	 9.54	 1.72	257.95120	+56.86714
    2404	1-24104  	DR15	Y	E   	S	R   	 0.062	 0.074	11.48	 2.27	257.95748	+57.58954
    2405	1-24003  	DR15	Y	E   	F	R   	 0.677	 0.572	11.06	 2.11	257.95754	+57.11093
    2406	1-24209  	DR15	Y	S0  	F	R   	 0.884	 0.536	10.33	 1.82	260.58426	+57.61215
    2407	1-24179  	DR15	Y	S   	F	R   	 0.732	 0.505	10.81	 2.04	259.83323	+57.90028
    2408	1-634795 	DR15	Y	S   	F	R   	 0.827	 0.653	11.04	 2.01	263.20536	+56.90127
    2409	1-24482  	DR15	Y	S   	F	R   	 0.850	 0.442	11.18	 2.11	265.10877	+56.70125
    2410	1-24423  	DR15	N	U   	F	M/CP	 0.776	 0.477	 9.23	 3.15	263.75522	+57.05243
    2411	1-24251  	DR15	Y	S0  	F	R   	 0.765	 0.578	11.77	 2.41	263.92090	+55.47128
    2412	1-24380  	DR15	Y	E   	F	R   	 0.476	 0.207	10.14	 1.90	262.26550	+57.76928
    2413	1-24246  	DR15	N	M/CP	F	R   	      	 0.286	11.63	     	264.84079	+56.56707
    2414	1-24371  	DR15	Y	S0  	F	R   	 0.766	 0.489	10.94	 2.06	261.72122	+56.84880
    2415	1-24375  	DR15	Y	E   	F	R   	 0.882	 0.019	10.38	 1.74	261.70614	+56.81078
    2416	1-24440  	DR15	N	S0  	F	R   	      	 0.621	10.62	     	264.66254	+56.82424
    2417	1-634789 	DR15	Y	E   	S	CR  	 0.072	 0.144	11.46	 2.37	263.09891	+55.41468
    2418	1-24279  	DR15	Y	E   	F	R   	 0.312	 0.309	11.57	 2.29	263.17311	+56.11703
    2419	1-24293  	DR15	Y	E   	F	R   	 0.645	 0.482	11.33	 2.25	262.68691	+56.35198
    2420	1-24416  	DR15	Y	S0  	F	R   	 0.570	 0.503	10.99	 2.17	263.03316	+56.87875
    2421	1-24425  	DR15	Y	E   	F	KDC 	 0.260	 0.247	10.84	 2.23	263.52527	+56.79961
    2422	1-634800 	DR15	Y	S0  	F	R   	 0.800	 0.456	11.08	 2.15	263.43932	+56.70854
    2423	1-29748  	DR15	Y	E   	F	R   	 0.537	 0.209	10.54	 2.04	355.98316	+00.21805
    2424	1-29749  	DR15	Y	S   	F	R   	 0.857	 0.108	 9.65	 1.52	356.09247	+00.09637
    2425	1-29843  	DR15	Y	S0  	F	R   	 0.884	 0.731	10.40	 1.85	356.27029	-00.27089
    2426	1-29874  	DR15	Y	S0  	F	R   	 0.862	 0.741	10.10	 1.90	357.22313	+00.64219
    2427	1-637825 	DR15	Y	S   	F	R   	 0.857	 0.440	11.04	 1.98	356.80571	-00.48017
    2428	1-29799  	DR15	Y	S0  	F	R   	 0.360	 0.488	10.57	 2.05	357.65175	-01.12809
    2429	1-29809  	DR15	Y	S0  	F	R   	 0.597	 0.249	 9.68	 1.51	358.46882	-00.09873
    2430	1-29512  	DR15	Y	S   	F	R   	 0.598	 0.468	11.74	 2.11	356.75183	-00.44739
    2431	1-29726  	DR15	Y	E   	F	R   	 0.491	 0.309	11.99	 2.45	355.89492	+00.56783
    2432	1-29878  	DR15	Y	S0  	F	R   	 0.541	 0.210	10.44	 1.87	357.12766	+00.36051
    2433	1-204551 	DR15	Y	S0  	F	R   	 0.615	 0.596	10.01	 1.83	357.54331	-01.01686
    2434	1-29792  	DR15	Y	E   	S	NR  	 0.081	 0.060	 9.99	 1.72	116.76927	+18.59063
    2435	1-29917  	DR15	Y	I   	F	R   	 0.529	 0.401	 9.70	 1.70	358.06604	+00.10296
    2436	1-29728  	DR15	Y	S0  	F	R   	 0.777	 0.613	10.26	 1.82	355.82511	+00.44247
    2437	1-638033 	DR15	Y	E   	F	R   	 0.449	 0.268	10.99	 2.38	358.55032	+00.37703
    2438	1-29851  	DR15	Y	E   	S	CR  	 0.080	 0.308	11.61	 2.30	356.53702	+01.03033
    2439	1-29811  	DR15	Y	S   	F	R   	 0.787	 0.008	10.57	 1.80	118.07434	+19.59508
    2440	1-378901 	DR15	Y	S   	F	R   	 0.743	 0.707	11.65	 2.36	116.94308	+51.64602
    2441	1-378903 	DR15	N	I   	F	CR  	 0.475	 0.580	 9.45	 1.73	117.02295	+51.94450
    2442	1-379216 	DR15	Y	E   	S	R   	 0.068	 0.137	11.54	 2.22	119.38075	+52.68285
    2443	1-379241 	DR15	Y	S0  	F	R   	 0.788	 0.383	10.30	 1.79	119.34470	+52.71272
    2444	1-378863 	DR15	Y	S0  	F	R   	 0.409	 0.631	 9.62	 1.86	118.41049	+50.77351
    2445	1-379255 	DR15	Y	E   	S	NR  	 0.025	 0.148	 9.68	 1.99	118.26656	+52.74320
    2446	1-379008 	DR15	Y	S0  	F	R   	 0.594	 0.266	10.04	 1.91	118.76128	+52.22744
    2447	1-379045 	DR15	Y	S0  	F	R   	 0.846	 0.728	10.40	 1.99	118.87245	+52.01050
    2448	1-379261 	DR15	N	M/CP	F	NR  	 0.156	 0.402	 9.73	 1.70	118.80522	+52.84709
    2449	1-378910 	DR15	N	M/CP	S	M/CP	 0.179	 0.455	11.88	 2.53	117.33781	+52.35114
    2450	1-379209 	DR15	Y	S0  	F	R   	 0.755	 0.483	10.19	 1.78	119.62355	+52.41698
    2451	1-378957 	DR15	Y	E   	S	NR  	 0.062	 0.171	11.76	 2.35	117.51109	+51.65984
    2452	1-378966 	DR15	Y	S   	F	R   	 0.807	 0.304	11.69	 2.21	118.17682	+52.02563
    2453	1-379277 	DR15	Y	S0  	F	R   	 0.405	 0.077	10.01	 1.70	118.14554	+52.84685
    2454	1-379243 	DR15	Y	S0  	F	R   	 0.688	 0.601	10.03	 1.80	119.23741	+52.66692
    2455	1-378881 	DR15	Y	S0  	F	R   	 0.566	 0.515	10.70	 2.16	117.46844	+50.77123
    2456	1-379202 	DR15	Y	S0  	F	R   	 0.794	 0.366	10.41	 1.76	119.79886	+52.68696
    2457	1-379454 	DR15	Y	S   	F	R   	 0.928	 0.649	10.96	 2.00	121.70082	+53.19961
    2458	1-379605 	DR15	Y	S   	F	R   	 0.777	 0.198	10.46	 1.90	121.12815	+54.11174
    2459	1-379708 	DR15	N	S0  	F	R   	 0.456	 0.514	11.40	 2.10	121.05483	+55.39766
    2460	1-567968 	DR15	Y	S0  	F	R   	 0.873	 0.574	10.61	 2.16	121.58566	+55.46234
    2461	1-379741 	DR15	Y	S0  	F	R   	 0.875	 0.681	11.27	 2.23	121.66473	+55.14710
    2462	1-379660 	DR15	Y	S0  	F	R   	 0.611	 0.172	11.15	 2.15	119.97372	+55.37482
    2463	1-379387 	DR15	Y	S0  	F	R   	 0.477	 0.121	10.31	 1.86	120.15138	+53.45910
    2464	1-379375 	DR15	Y	E   	F	R   	 0.413	 0.147	 9.71	 1.55	119.89843	+53.10021
    2465	1-379430 	DR15	Y	S   	F	R   	 0.691	 0.140	 9.89	 1.76	120.99390	+53.53830
    2466	1-379536 	DR15	Y	S0  	F	R   	 0.737	 0.718	10.73	 1.95	122.82642	+54.74791
    2467	1-379545 	DR15	Y	S0  	F	R   	 0.613	 0.202	11.70	 2.39	122.24509	+53.50988
    2468	1-379291 	DR15	Y	S   	F	R   	 0.623	 0.074	11.40	 1.89	118.72692	+53.84628
    2469	1-567961 	DR15	Y	S   	F	R   	 0.847	 0.325	11.10	 2.02	119.84641	+53.63541
    2470	1-379410 	DR15	Y	S0  	F	R   	 0.794	 0.520	10.36	 1.92	120.23007	+53.67056
    2471	1-379777 	DR15	Y	S0  	F	R   	 0.547	 0.565	 9.93	 1.81	122.76317	+54.92910
    2472	1-43528  	DR15	Y	S   	F	R   	 0.768	 0.299	11.21	 2.16	116.18214	+38.63501
