#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/408/873&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34080873
#Name: J/A+A/408/873
#Title: Gas and stellar kinematics in spirals (Corsini+, 2003)
#INFO	ivoid=ivo://cds.vizier/j/a+a/408/873	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/408/873	    IVOID of underlying data collection
#INFO	creator=Corsini E.M.	    First author or institution
#INFO	cites=bibcode:2003A&A...408..873C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/408/873	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34080873	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_408_873_table3:
#Name: J/A+A/408/873/table3
#Title: Ionized-gas kinematics for the sample galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	PA	(I3)	Position angle of the slit (G1)	[ucd=pos.posAng]
#Column	r	(F5.1)	Distance from galaxy center	[ucd=pos.angDistance]
#Column	vg(r)	(I4)	Line-of-sight gas mean velocity	[ucd=phys.veloc;stat.mean]
#Column	e_vg(r)	(I2)	Error of v_g(r)_	[ucd=stat.error]
#Column	sigmag	(I3)	Line-of-sight gas velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmag	(I3)	Error of sigma_g(r)_	[ucd=stat.error]
#Column	Simbad	(A6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	Name	PA	r	vg(r)	e_vg(r)	sigmag	e_sigmag	Simbad	NED
     660	NGC7213	124	-34.9	  16	14	 48	 34	Simbad	NED
     661	NGC7213	124	-32.4	  34	 7	 51	 15	Simbad	NED
     662	NGC7213	124	-31.6	  19	 9	 47	 21	Simbad	NED
     663	NGC7213	124	-30.8	  22	 5	 51	 11	Simbad	NED
     664	NGC7213	124	-30.0	  13	 5	 35	 13	Simbad	NED
     665	NGC7213	124	-29.2	   9	 4	 38	 10	Simbad	NED
     666	NGC7213	124	-28.3	   2	 4	 39	  9	Simbad	NED
     667	NGC7213	124	-27.5	  -6	 3	 36	  8	Simbad	NED
     668	NGC7213	124	-26.7	 -13	 3	 37	  8	Simbad	NED
     669	NGC7213	124	-25.9	 -22	 3	 37	  8	Simbad	NED
     670	NGC7213	124	-25.1	 -30	 4	 36	  8	Simbad	NED
     671	NGC7213	124	-24.2	 -35	 4	 37	  9	Simbad	NED
     672	NGC7213	124	-23.4	 -42	 4	 41	 10	Simbad	NED
     673	NGC7213	124	-22.6	 -53	 5	 40	 13	Simbad	NED
     674	NGC7213	124	-21.8	 -87	21	 77	 40	Simbad	NED
     675	NGC7213	124	-21.0	 -56	 8	 46	 18	Simbad	NED
     676	NGC7213	124	-19.3	 -86	 9	 75	 20	Simbad	NED
     677	NGC7213	124	-18.5	 -89	10	 72	 20	Simbad	NED
     678	NGC7213	124	-17.7	 -89	 9	 67	 18	Simbad	NED
     679	NGC7213	124	-16.9	 -91	 6	 62	 14	Simbad	NED
     680	NGC7213	124	-16.0	 -81	 6	 58	 13	Simbad	NED
     681	NGC7213	124	-15.2	 -86	 6	 72	 12	Simbad	NED
     682	NGC7213	124	-14.4	 -96	 6	 82	 13	Simbad	NED
     683	NGC7213	124	-13.6	 -81	 6	 64	 11	Simbad	NED
     684	NGC7213	124	-12.8	 -66	 5	 55	 11	Simbad	NED
     685	NGC7213	124	-11.9	 -62	 5	 61	 10	Simbad	NED
     686	NGC7213	124	-11.1	 -61	 5	 58	 10	Simbad	NED
     687	NGC7213	124	-10.3	 -67	 5	 66	 10	Simbad	NED
     688	NGC7213	124	 -9.5	 -75	 5	 58	 10	Simbad	NED
     689	NGC7213	124	 -8.7	 -77	 4	 62	  8	Simbad	NED
     690	NGC7213	124	 -7.8	 -85	 5	 73	  8	Simbad	NED
     691	NGC7213	124	 -7.0	-101	 4	 77	  7	Simbad	NED
     692	NGC7213	124	 -6.2	-118	 4	 87	  6	Simbad	NED
     693	NGC7213	124	 -5.4	-115	 3	102	  5	Simbad	NED
     694	NGC7213	124	 -4.6	-104	 3	100	  5	Simbad	NED
     695	NGC7213	124	 -3.7	 -87	 3	125	  4	Simbad	NED
     696	NGC7213	124	 -2.9	 -54	 3	136	  4	Simbad	NED
     697	NGC7213	124	 -2.1	 -29	 3	143	  4	Simbad	NED
     698	NGC7213	124	 -1.3	 -11	 3	146	  4	Simbad	NED
     699	NGC7213	124	 -0.5	  -1	 3	146	  4	Simbad	NED
     700	NGC7213	124	  0.4	   4	 3	146	  4	Simbad	NED
     701	NGC7213	124	  1.2	   6	 3	145	  4	Simbad	NED
     702	NGC7213	124	  2.0	  15	 3	139	  4	Simbad	NED
     703	NGC7213	124	  2.8	  42	 3	111	  4	Simbad	NED
     704	NGC7213	124	  3.6	  68	 3	116	  4	Simbad	NED
     705	NGC7213	124	  4.5	  84	 3	109	  5	Simbad	NED
     706	NGC7213	124	  5.3	  93	 3	 94	  5	Simbad	NED
     707	NGC7213	124	  6.1	  97	 4	 84	  6	Simbad	NED
     708	NGC7213	124	  6.9	 112	 4	 79	  8	Simbad	NED
     709	NGC7213	124	  7.7	 104	 6	107	  9	Simbad	NED
     710	NGC7213	124	  8.6	  85	 6	 92	 10	Simbad	NED
     711	NGC7213	124	  9.4	  74	 6	101	  9	Simbad	NED
     712	NGC7213	124	 10.2	  78	 5	 91	  9	Simbad	NED
     713	NGC7213	124	 11.0	  75	 5	 74	  9	Simbad	NED
     714	NGC7213	124	 11.8	  75	 5	 67	 10	Simbad	NED
     715	NGC7213	124	 12.7	  67	 6	 69	 11	Simbad	NED
     716	NGC7213	124	 13.5	  69	 6	 65	 11	Simbad	NED
     717	NGC7213	124	 14.3	  68	 5	 50	 11	Simbad	NED
     718	NGC7213	124	 15.1	  64	 6	 67	 12	Simbad	NED
     719	NGC7213	124	 15.9	  59	 7	 79	 12	Simbad	NED
     720	NGC7213	124	 16.8	  35	 7	 73	 14	Simbad	NED
     721	NGC7213	124	 17.6	  33	 7	 69	 14	Simbad	NED
     722	NGC7213	124	 18.4	  58	 6	 58	 14	Simbad	NED
     723	NGC7213	124	 19.2	  60	 6	 62	 13	Simbad	NED
     724	NGC7213	124	 20.0	  57	 6	 64	 12	Simbad	NED
     725	NGC7213	124	 20.9	  63	 4	 55	 10	Simbad	NED
     726	NGC7213	124	 21.7	  65	 4	 47	  8	Simbad	NED
     727	NGC7213	124	 22.5	  61	 3	 46	  7	Simbad	NED
     728	NGC7213	124	 23.3	  55	 3	 43	  6	Simbad	NED
     729	NGC7213	124	 24.1	  49	 3	 43	  6	Simbad	NED
     730	NGC7213	124	 25.0	  42	 3	 42	  6	Simbad	NED
     731	NGC7213	124	 25.8	  35	 3	 42	  6	Simbad	NED
     732	NGC7213	124	 26.6	  30	 3	 42	  6	Simbad	NED
     733	NGC7213	124	 27.4	  27	 3	 43	  6	Simbad	NED
     734	NGC7213	124	 28.2	  23	 3	 47	  7	Simbad	NED
     735	NGC7213	124	 29.1	  14	 4	 45	  8	Simbad	NED
     736	NGC7213	124	 29.9	   6	 5	 48	 10	Simbad	NED
     737	NGC7213	124	 30.7	   3	 7	 51	 14	Simbad	NED
     738	NGC7213	124	 31.5	   9	 9	 58	 19	Simbad	NED
     739	NGC7213	124	 32.3	   6	15	 63	 30	Simbad	NED
     740	NGC7213	124	 34.0	  -5	10	 74	 23	Simbad	NED
     741	NGC7213	124	 36.7	 -18	20	 57	 43	Simbad	NED
     742	NGC7213	124	 42.2	 -44	38	 21	158	Simbad	NED
     743	NGC7213	124	 46.3	 -69	48	 77	 90	Simbad	NED
     744	NGC7213	 34	-38.2	 -96	13	 41	 33	Simbad	NED
     745	NGC7213	 34	-35.8	-118	10	 43	 24	Simbad	NED
     746	NGC7213	 34	-33.3	-116	 8	 44	 21	Simbad	NED
     747	NGC7213	 34	-30.9	-136	10	 41	 26	Simbad	NED
     748	NGC7213	 34	-28.4	-125	27	 55	 59	Simbad	NED
     749	NGC7213	 34	-25.9	-119	24	 27	 83	Simbad	NED
     750	NGC7213	 34	-23.5	-120	17	 97	 31	Simbad	NED
     751	NGC7213	 34	-21.0	-126	12	 71	 24	Simbad	NED
     752	NGC7213	 34	-19.4	-121	 7	 60	 15	Simbad	NED
     753	NGC7213	 34	-18.6	-122	 5	 53	 13	Simbad	NED
     754	NGC7213	 34	-17.7	-118	 4	 53	  9	Simbad	NED
     755	NGC7213	 34	-16.1	-115	 5	 53	 12	Simbad	NED
     756	NGC7213	 34	-13.6	-103	 7	 57	 18	Simbad	NED
     757	NGC7213	 34	-12.0	 -75	 8	 79	 14	Simbad	NED
     758	NGC7213	 34	-11.2	 -65	 5	 85	 10	Simbad	NED
     759	NGC7213	 34	-10.4	 -89	 6	 81	 11	Simbad	NED
     760	NGC7213	 34	 -9.5	 -71	 5	 71	 10	Simbad	NED
     761	NGC7213	 34	 -8.7	 -62	 5	 66	 10	Simbad	NED
     762	NGC7213	 34	 -7.9	 -53	 4	 77	  9	Simbad	NED
     763	NGC7213	 34	 -7.1	 -43	 4	 75	  8	Simbad	NED
     764	NGC7213	 34	 -6.3	 -16	 4	 77	  7	Simbad	NED
     765	NGC7213	 34	 -5.4	 -10	 4	 83	  6	Simbad	NED
     766	NGC7213	 34	 -4.6	   2	 3	 88	  5	Simbad	NED
     767	NGC7213	 34	 -3.8	  -5	 3	 84	  4	Simbad	NED
     768	NGC7213	 34	 -3.0	   0	 2	102	  3	Simbad	NED
     769	NGC7213	 34	 -2.2	 -11	 2	123	  3	Simbad	NED
     770	NGC7213	 34	 -1.3	 -10	 2	143	  3	Simbad	NED
     771	NGC7213	 34	 -0.5	  -5	 2	151	  3	Simbad	NED
     772	NGC7213	 34	  0.3	   2	 2	151	  3	Simbad	NED
     773	NGC7213	 34	  1.1	  11	 2	150	  3	Simbad	NED
     774	NGC7213	 34	  1.9	  17	 2	129	  3	Simbad	NED
     775	NGC7213	 34	  2.8	  18	 2	122	  3	Simbad	NED
     776	NGC7213	 34	  3.6	  13	 2	113	  3	Simbad	NED
     777	NGC7213	 34	  4.4	   8	 3	 85	  4	Simbad	NED
     778	NGC7213	 34	  5.2	   9	 3	 78	  5	Simbad	NED
     779	NGC7213	 34	  6.0	  28	 3	 80	  6	Simbad	NED
     780	NGC7213	 34	  6.9	  48	 4	 87	  8	Simbad	NED
     781	NGC7213	 34	  7.7	  60	 6	 99	 10	Simbad	NED
     782	NGC7213	 34	  8.5	  86	 6	 72	 11	Simbad	NED
     783	NGC7213	 34	  9.3	 103	 7	 76	 12	Simbad	NED
     784	NGC7213	 34	 10.1	 100	 7	 96	 12	Simbad	NED
     785	NGC7213	 34	 11.0	 105	 8	 90	 13	Simbad	NED
     786	NGC7213	 34	 11.8	 109	 9	 90	 16	Simbad	NED
     787	NGC7213	 34	 12.6	 129	 9	 87	 16	Simbad	NED
     788	NGC7213	 34	 13.4	 112	 9	 75	 17	Simbad	NED
     789	NGC7213	 34	 14.2	 129	 9	 65	 17	Simbad	NED
     790	NGC7213	 34	 15.1	  98	10	 45	 23	Simbad	NED
     791	NGC7213	 34	 15.9	 101	10	 30	 32	Simbad	NED
     792	NGC7213	 34	 16.7	  98	12	 57	 26	Simbad	NED
     793	NGC7213	 34	 17.5	 118	14	 56	 30	Simbad	NED
     794	NGC7213	 34	 18.3	 137	17	 70	 33	Simbad	NED
     795	NGC7213	 34	 19.2	 144	16	 82	 30	Simbad	NED
     796	NGC7213	 34	 20.8	 118	14	 53	 30	Simbad	NED
     797	NGC7213	 34	 23.3	 104	 7	 48	 15	Simbad	NED
     798	NGC7213	 34	 24.9	 117	 7	 47	 19	Simbad	NED
     799	NGC7213	 34	 26.5	 123	 7	 36	 20	Simbad	NED
     800	NGC7213	 34	 29.0	 141	10	 46	 25	Simbad	NED
     801	NGC7213	 34	 31.5	 149	 8	 39	 24	Simbad	NED
     802	NGC7213	 34	 33.9	 121	 9	 30	 32	Simbad	NED
     803	NGC7213	 34	 37.2	 128	20	 54	 46	Simbad	NED
     804	NGC7213	 34	 39.7	 100	16	 66	 32	Simbad	NED
     805	NGC7213	 34	 41.3	  96	 9	 43	 22	Simbad	NED
     806	NGC7213	 34	 43.8	  99	 4	 45	 10	Simbad	NED
     807	NGC7213	 34	 44.6	  98	 5	 44	 11	Simbad	NED
     808	NGC7213	 34	 45.4	  93	 7	 41	 18	Simbad	NED
     809	NGC7213	 34	 46.2	  82	11	 77	 25	Simbad	NED
     810	NGC7213	 34	 47.9	  87	14	 27	 46	Simbad	NED
     811	NGC7377	101	-25.9	 -44	27	 89	 61	Simbad	NED
     812	NGC7377	101	-16.0	 -83	25	 32	 54	Simbad	NED
     813	NGC7377	101	-14.4	 -97	21	 54	 48	Simbad	NED
     814	NGC7377	101	-13.6	 -81	16	 34	 48	Simbad	NED
     815	NGC7377	101	-12.8	 -77	16	 69	 32	Simbad	NED
     816	NGC7377	101	-11.9	 -70	15	 74	 28	Simbad	NED
     817	NGC7377	101	 -9.5	 -84	16	 88	 30	Simbad	NED
     818	NGC7377	101	 -8.7	 -78	16	 71	 32	Simbad	NED
     819	NGC7377	101	 -7.8	 -64	14	 85	 27	Simbad	NED
     820	NGC7377	101	 -7.0	 -31	12	 77	 23	Simbad	NED
     821	NGC7377	101	 -6.2	 -40	 9	 63	 18	Simbad	NED
     822	NGC7377	101	 -5.4	 -52	 8	 51	 18	Simbad	NED
     823	NGC7377	101	 -4.6	 -53	 8	 98	 13	Simbad	NED
     824	NGC7377	101	 -3.7	 -44	 7	 80	 12	Simbad	NED
     825	NGC7377	101	 -2.9	 -46	 6	 67	 11	Simbad	NED
     826	NGC7377	101	 -2.1	 -44	 6	 94	 10	Simbad	NED
     827	NGC7377	101	 -1.3	 -43	 6	109	  8	Simbad	NED
     828	NGC7377	101	 -0.5	 -11	 5	115	  7	Simbad	NED
     829	NGC7377	101	  0.4	  -1	 5	113	  7	Simbad	NED
     830	NGC7377	101	  1.2	  -2	 5	120	  7	Simbad	NED
     831	NGC7377	101	  2.0	  26	 5	 96	  7	Simbad	NED
     832	NGC7377	101	  2.8	  40	 5	 90	  8	Simbad	NED
     833	NGC7377	101	  3.6	  39	 6	 79	 10	Simbad	NED
     834	NGC7377	101	  4.5	  44	 6	 85	 10	Simbad	NED
     835	NGC7377	101	  5.3	  57	 7	 51	 15	Simbad	NED
     836	NGC7377	101	  6.1	  54	11	 70	 21	Simbad	NED
     837	NGC7377	101	  6.9	  49	11	 78	 20	Simbad	NED
     838	NGC7377	101	  7.7	  23	15	114	 27	Simbad	NED
     839	NGC7377	101	  9.4	  38	15	 50	 34	Simbad	NED
     840	NGC7377	101	 11.0	  55	 6	 45	 16	Simbad	NED
     841	NGC7377	101	 11.8	  62	 5	 43	 12	Simbad	NED
     842	NGC7377	101	 12.7	  62	 5	 34	 13	Simbad	NED
     843	NGC7377	101	 13.5	  66	 5	 53	 12	Simbad	NED
     844	NGC7377	101	 14.3	  65	 5	 46	 12	Simbad	NED
     845	NGC7377	101	 15.1	  67	 6	 52	 14	Simbad	NED
     846	NGC7377	101	 15.9	  68	 7	 56	 17	Simbad	NED
     847	NGC7377	101	 16.8	  73	 9	 55	 19	Simbad	NED
     848	NGC7377	101	 17.6	  74	 9	 59	 20	Simbad	NED
     849	NGC7377	101	 18.4	  66	 8	 84	 21	Simbad	NED
     850	NGC7377	101	 19.2	  71	 9	 57	 27	Simbad	NED
     851	NGC7377	101	 20.0	  68	 8	 60	 26	Simbad	NED
     852	NGC7377	101	 20.9	  68	 8	 37	 22	Simbad	NED
     853	NGC7377	101	 21.7	  56	 9	 26	 41	Simbad	NED
     854	NGC7377	101	 25.8	  36	14	 12	103	Simbad	NED
     855	NGC7377	 11	-18.0	 -37	33	 43	 82	Simbad	NED
     856	NGC7377	 11	-16.3	 -40	24	 17	128	Simbad	NED
     857	NGC7377	 11	-15.5	 -35	19	 16	107	Simbad	NED
     858	NGC7377	 11	-14.7	 -35	13	 37	 45	Simbad	NED
     859	NGC7377	 11	-13.9	 -39	15	 19	 62	Simbad	NED
     860	NGC7377	 11	-12.6	 -54	11	 34	 46	Simbad	NED
     861	NGC7377	 11	-11.4	-111	18	 86	 34	Simbad	NED
     862	NGC7377	 11	-10.6	-121	15	 93	 27	Simbad	NED
     863	NGC7377	 11	 -9.8	-117	 9	 54	 24	Simbad	NED
     864	NGC7377	 11	 -8.9	-111	15	 68	 30	Simbad	NED
     865	NGC7377	 11	 -8.1	-135	15	 31	 34	Simbad	NED
     866	NGC7377	 11	 -7.3	-162	10	 41	 14	Simbad	NED
     867	NGC7377	 11	 -6.5	-162	10	 33	 21	Simbad	NED
     868	NGC7377	 11	 -5.7	-160	 9	 23	 31	Simbad	NED
     869	NGC7377	 11	 -4.8	-136	 7	 37	 22	Simbad	NED
     870	NGC7377	 11	 -4.0	-132	 7	 91	 16	Simbad	NED
     871	NGC7377	 11	 -3.2	-112	 7	 97	 12	Simbad	NED
     872	NGC7377	 11	 -2.4	-100	 6	 88	 11	Simbad	NED
     873	NGC7377	 11	 -1.6	 -75	 5	138	  8	Simbad	NED
     874	NGC7377	 11	 -0.7	 -41	 5	117	  7	Simbad	NED
     875	NGC7377	 11	  0.1	   3	 4	118	  7	Simbad	NED
     876	NGC7377	 11	  0.9	  45	 4	112	  6	Simbad	NED
     877	NGC7377	 11	  1.7	  89	 4	 97	  7	Simbad	NED
     878	NGC7377	 11	  2.5	 118	 5	 95	  8	Simbad	NED
     879	NGC7377	 11	  3.4	 125	 5	 71	  9	Simbad	NED
     880	NGC7377	 11	  4.2	 140	 5	 80	 10	Simbad	NED
     881	NGC7377	 11	  5.0	 150	 5	 42	 13	Simbad	NED
     882	NGC7377	 11	  5.8	 137	 5	 41	 13	Simbad	NED
     883	NGC7377	 11	  6.6	 144	 5	 57	 14	Simbad	NED
     884	NGC7377	 11	  7.5	 160	 7	 53	 15	Simbad	NED
     885	NGC7377	 11	  8.3	 162	12	 27	 41	Simbad	NED
     886	NGC7377	 11	  9.1	 104	11	 66	 27	Simbad	NED
     887	NGC7377	 11	  9.9	 111	21	 52	 48	Simbad	NED
     888	NGC7377	 11	 12.4	  82	17	 51	 42	Simbad	NED
     889	NGC7377	 11	 14.8	  64	10	 23	 42	Simbad	NED
     890	NGC7377	 11	 15.7	  54	10	 49	 35	Simbad	NED
     891	NGC7377	 11	 16.5	  54	10	 16	 57	Simbad	NED
     892	NGC7377	 11	 18.5	  64	19	 62	 41	Simbad	NED

#Table	J_A_A_408_873_table4:
#Name: J/A+A/408/873/table4
#Title: Stellar kinematics for the sample galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	PA	(I3)	Position angle of the slit (G1)	[ucd=pos.posAng]
#Column	r	(F5.1)	Distance from galaxy center	[ucd=pos.angDistance]
#Column	v*(r)	(I4)	Line-of-sight star mean velocity	[ucd=phys.veloc;stat.mean]
#Column	e_v*(r)	(I2)	Error of v_*(r)	[ucd=stat.error]
#Column	sigma*	(I3)	Line-of-sight star velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma*	(I2)	Error of sigma_*(r)	[ucd=stat.error]
recno	Name	PA	r	v*(r)	e_v*(r)	sigma*	e_sigma*
 	 	deg	arcsec	km/s	km/s	km/s	km/s
--------	-------	---	-----	----	--	---	--
       1	NGC1638	 70	-12.4	-107	22	 70	46
       2	NGC1638	 70	-23.8	-144	22	 87	24
       3	NGC1638	 70	-11.1	 -81	 9	143	13
       4	NGC1638	 70	 -4.3	 -58	 7	163	10
       5	NGC1638	 70	 -2.1	 -50	 6	157	 8
       6	NGC1638	 70	 -0.9	 -28	 6	160	 9
       7	NGC1638	 70	 -0.1	  -1	 5	164	 6
       8	NGC1638	 70	  0.7	  10	 5	160	 7
       9	NGC1638	 70	  1.9	  25	 4	152	 6
      10	NGC1638	 70	  3.8	  38	 5	145	 6
      11	NGC1638	 70	  8.4	  51	 7	139	 9
      12	NGC1638	 70	 18.2	  88	19	104	19
      13	NGC1638	160	-13.8	  20	12	 97	12
      14	NGC1638	160	 -5.7	   0	 8	126	 6
      15	NGC1638	160	 -2.4	  -3	 7	152	 5
      16	NGC1638	160	 -1.2	 -13	 7	149	 6
      17	NGC1638	160	 -0.4	   0	 6	154	 4
      18	NGC1638	160	  0.4	  -8	 6	157	 4
      19	NGC1638	160	  1.2	   5	 5	148	 4
      20	NGC1638	160	  2.4	   4	 7	148	 5
      21	NGC1638	160	  5.7	   9	 8	128	 7
      22	NGC1638	160	 13.8	  30	16	118	12
      23	NGC3885	123	-46.5	-161	 6	 99	 7
      24	NGC3885	123	-27.6	-150	 3	 90	 3
      25	NGC3885	123	-20.2	-158	 2	 85	 2
      26	NGC3885	123	-14.7	-146	 2	 88	 2
      27	NGC3885	123	-10.7	-116	 1	110	 2
      28	NGC3885	123	 -7.8	-118	 1	108	 2
      29	NGC3885	123	 -5.8	-132	 1	121	 2
      30	NGC3885	123	 -4.6	-134	 1	111	 1
      31	NGC3885	123	 -3.8	-123	 0	126	 2
      32	NGC3885	123	 -3.0	-100	 1	123	 1
      33	NGC3885	123	 -2.1	 -78	 2	125	 3
      34	NGC3885	123	 -1.3	 -38	 1	126	 1
      35	NGC3885	123	 -0.5	  -5	 0	127	 1
      36	NGC3885	123	  0.3	  29	 0	126	 1
      37	NGC3885	123	  1.1	  51	 0	130	 1
      38	NGC3885	123	  2.0	  81	 1	118	 1
      39	NGC3885	123	  2.8	  81	 0	125	 1
      40	NGC3885	123	  3.6	  91	 1	129	 1
      41	NGC3885	123	  4.8	 104	 1	116	 1
      42	NGC3885	123	  6.4	  92	 0	110	 1
      43	NGC3885	123	  8.4	  82	 1	114	 2
      44	NGC3885	123	 11.7	  97	 1	100	 2
      45	NGC3885	123	 16.5	 116	 2	 86	 2
      46	NGC3885	123	 23.3	 145	 3	 83	 3
      47	NGC3885	123	 39.0	 145	 2	 97	 5
      48	NGC3885	123	 64.5	 168	12	116	14
      49	NGC3885	 33	-15.7	  24	17	130	16
      50	NGC3885	 33	 -9.8	   5	 8	104	 8
      51	NGC3885	 33	 -6.4	  26	 6	100	 7
      52	NGC3885	 33	 -4.4	  16	 7	119	 7
      53	NGC3885	 33	 -3.2	  10	 9	137	 8
      54	NGC3885	 33	 -2.4	   4	 5	113	 6
      55	NGC3885	 33	 -1.5	  -2	 4	120	 5
      56	NGC3885	 33	 -0.7	   4	 3	113	 4
      57	NGC3885	 33	  0.1	  11	 3	113	 4
      58	NGC3885	 33	  0.9	   8	 4	110	 5
      59	NGC3885	 33	  1.7	  -8	 5	117	 5
      60	NGC3885	 33	  2.6	 -27	 6	110	 6
      61	NGC3885	 33	  3.7	 -47	 6	123	 7
      62	NGC3885	 33	  5.4	 -24	 8	112	 8
      63	NGC3885	 33	  7.4	 -26	 7	100	 7
      64	NGC3885	 33	 10.8	 -21	 8	100	 8
      65	NGC3885	 33	 16.2	  -8	17	118	15
      66	NGC4224	 57	-30.5	-143	14	 89	16
      67	NGC4224	 57	-16.5	-108	 9	123	 9
      68	NGC4224	 57	 -9.2	 -85	 7	136	 7
      69	NGC4224	 57	 -5.2	 -94	 7	137	 7
      70	NGC4224	 57	 -2.8	 -80	 7	134	 7
      71	NGC4224	 57	 -1.6	 -56	 7	143	 7
      72	NGC4224	 57	 -0.8	 -34	 6	148	 6
      73	NGC4224	 57	  0.0	   0	 4	153	 4
      74	NGC4224	 57	  0.8	  29	 4	145	 5
      75	NGC4224	 57	  1.6	  55	 5	143	 6
      76	NGC4224	 57	  2.5	  77	 5	146	 6
      77	NGC4224	 57	  3.6	  92	 5	137	 6
      78	NGC4224	 57	  5.9	  97	 7	134	 7
      79	NGC4224	 57	 11.2	 101	 7	138	 7
      80	NGC4224	 57	 20.5	 121	10	124	 9
      81	NGC4224	147	-16.9	  16	19	141	16
      82	NGC4224	147	 -7.2	  -8	11	139	10
      83	NGC4224	147	 -2.8	  13	 8	152	 8
      84	NGC4224	147	 -1.6	  18	 7	148	 7
      85	NGC4224	147	 -0.8	  17	 5	152	 6
      86	NGC4224	147	  0.0	  20	 4	150	 5
      87	NGC4224	147	  0.8	  20	 4	142	 5
      88	NGC4224	147	  1.6	  16	 5	139	 6
      89	NGC4224	147	  2.5	  18	 6	137	 6
      90	NGC4224	147	  3.6	   4	 6	151	 7
      91	NGC4224	147	  5.6	  21	 8	163	 8
      92	NGC4224	147	  9.4	   6	 9	138	 9
      93	NGC4224	147	 17.4	  10	17	113	14
      94	NGC4235	 48	-35.4	-175	22	129	28
      95	NGC4235	 48	-23.0	-187	13	130	17
      96	NGC4235	 48	-14.9	-141	12	153	15
      97	NGC4235	 48	 -9.7	-116	10	144	13
      98	NGC4235	 48	 -6.0	 -93	 8	140	12
      99	NGC4235	 48	 -3.2	 -87	 7	148	10
     100	NGC4235	 48	 -1.2	 -49	 6	152	11
     101	NGC4235	 48	  0.0	   0	 6	156	10
     102	NGC4235	 48	  0.8	  34	 5	146	 8
     103	NGC4235	 48	  1.6	  59	 6	144	10
     104	NGC4235	 48	  2.8	  79	 7	134	10
     105	NGC4235	 48	  4.8	  91	 9	136	12
     106	NGC4235	 48	  7.7	 102	 9	144	13
     107	NGC4235	 48	 12.0	 116	11	139	15
     108	NGC4235	 48	 19.8	 148	13	120	16
     109	NGC4235	 48	 32.4	 141	17	 96	21
     110	NGC4235	138	-15.2	  -3	35	130	33
     111	NGC4235	138	 -9.4	 -12	12	136	16
     112	NGC4235	138	 -6.0	   0	14	167	16
     113	NGC4235	138	 -4.1	   5	12	176	15
     114	NGC4235	138	 -2.4	  -9	 8	160	11
     115	NGC4235	138	 -1.2	  -5	 8	156	12
     116	NGC4235	138	 -0.4	   2	 6	153	 9
     117	NGC4235	138	  0.4	   4	 6	156	 8
     118	NGC4235	138	  1.2	 -14	 6	147	 8
     119	NGC4235	138	  2.1	  -8	 7	141	10
     120	NGC4235	138	  3.2	  -1	 8	158	10
     121	NGC4235	138	  5.2	   4	10	163	14
     122	NGC4235	138	  8.4	   2	14	157	16
     123	NGC4235	138	 13.9	  23	28	140	22
     124	NGC4586	115	-64.9	-124	26	 90	26
     125	NGC4586	115	-50.0	-119	17	100	18
     126	NGC4586	115	-33.4	 -71	17	114	18
     127	NGC4586	115	-21.3	 -59	14	103	14
     128	NGC4586	115	-14.5	 -42	11	112	11
     129	NGC4586	115	-10.4	 -45	 8	102	 8
     130	NGC4586	115	 -7.6	 -37	 7	109	 7
     131	NGC4586	115	 -5.6	 -29	 6	 90	 6
     132	NGC4586	115	 -4.0	 -35	 4	 91	 5
     133	NGC4586	115	 -2.8	 -45	 5	 94	 5
     134	NGC4586	115	 -1.9	 -33	 4	 88	 5
     135	NGC4586	115	 -1.1	 -19	 4	 90	 4
