#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:10 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/other/NatAs/7.463&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1061000701
#Name: J/other/NatAs/7.463
#Title: Galaxies stellar and gas kinematic angles (Raimundo+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/other/natas/7.463	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/other/natas/7.463	    IVOID of underlying data collection
#INFO	creator=Raimundo S.I.	    First author or institution
#INFO	cites=bibcode:2023NatAs...7..463R	    Article or Data origin sources
#INFO	journal=NatA	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/NatAs/7.463	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/dt/hkegd	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-03-04	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_NatAs_7_463_tabled1:
#Name: J/other/NatAs/7.463/tabled1
#Title: Summary of the main results for the of 1310 galaxies with measured stellar and gas kinematic angles
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Seq	(I4)	[0/1309] Sequential number	[ucd=meta.record]
#Column	CatId	(I10)	Catalogue ID from the SAMI survey DR3	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	zsp	(F7.4)	Spectroscopic redshift	[ucd=src.redshift]
#Column	PAs	(F5.1)	Principal stellar kinematic axis (PAstellar)	[ucd=pos.posAng]
#Column	e_PAs	(F4.1)	3{sigma} uncertainty in PAstellar	[ucd=stat.error]
#Column	PAg	(F5.1)	Principal gas kinematic axis (PAgas)	[ucd=pos.posAng]
#Column	e_PAg	(F4.1)	3{sigma} uncertainty in PAgas	[ucd=stat.error]
#Column	DPA	(F5.1)	Difference in stellar-gas kinematic angles ({DELTA}PA=|PAstellar-PAgas|)	[ucd=pos.posAng]
#Column	e_DPA	(F4.1)	3{sigma} uncertainty in PA	[ucd=stat.error]
#Column	Flag	(A1)	[als] Flag for excitation mechanism (1)	[ucd=meta.code.error]
#Column	FAGN	(A2)	Flag for AGN detection (2)	[ucd=meta.code]
#Column	Type	(F4.1)	Morphological type as in the SAMI survey classification	[ucd=src.morph.type]
#Column	logMstar	(F10.7)	? Stellar mass	[ucd=phys.mass]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
recno	Seq	CatId	RAJ2000	DEJ2000	zsp	PAs	e_PAs	PAg	e_PAg	DPA	e_DPA	Flag	FAGN	Type	logMstar	SimbadName
     291	 290	    279148	135.7461	+00.8310	 0.0274	174.0	 8.0	188.0	 0.5	 14.1	 8.5	s	  	 2.5	 9.3800000	GAMA 279148
     292	 291	    279818	139.4388	+01.0554	 0.0273	 19.1	17.1	 19.1	 0.5	  0.0	17.6	s	  	 3.0	 9.5400000	GAMA 279818
     293	 292	    279840	139.6587	+01.0569	 0.0867	233.3	 2.5	233.3	 0.5	  0.0	 3.0	s	  	 1.0	10.4400000	GAMA 279840
     294	 293	    279905	139.9799	+00.9451	 0.0177	352.0	 1.0	125.7	 2.0	133.7	 3.0	a	  	 0.5	10.4300000	GAMA 279905
     295	 294	    279917	139.9953	+00.9608	 0.0179	323.8	 7.5	315.8	 0.5	  8.1	 8.0	s	  	 3.0	 9.3200000	GAMA 279917
     296	 295	     28738	213.1505	+01.0579	 0.0463	232.3	 3.0	233.3	 0.5	  1.0	 3.5	s	  	 3.0	10.0500000	GAMA 28738
     297	 296	    287692	174.5065	+01.7025	 0.0738	 17.1	 7.5	 40.2	 0.5	 23.1	 8.0	l	  	 0.5	11.3600000	GAMA 287692
     298	 297	    287824	175.2650	+01.7255	 0.0407	 25.1	 1.0	 26.1	 0.5	  1.0	 1.5	s	  	 2.5	10.5900000	GAMA 287824
     299	 298	    287827	175.2073	+01.7588	 0.0199	 85.5	 7.5	 88.5	 0.5	  3.0	 8.0	a	  	 1.5	 9.8300000	GAMA 287827
     300	 299	    288364	178.1810	+01.7408	 0.0204	125.7	 5.5	111.6	 0.5	 14.1	 6.0	s	  	 3.0	10.0700000	GAMA 288364
     301	 300	     28860	216.8736	+01.0558	 0.0258	245.4	 3.5	260.4	 0.5	 15.1	 4.0	s	  	 3.0	 9.4600000	GAMA 28860
     302	 301	    288679	179.7174	+01.7283	 0.0785	220.2	 4.0	232.3	 2.5	 12.1	 6.5	 	  	 1.0	10.9200000	GAMA 288679
     303	 302	    288851	180.3618	+01.7404	 0.0780	345.9	 1.5	344.9	 0.5	  1.0	 2.0	s	  	 2.0	11.1900000	GAMA 288851
     304	 303	    288904	180.6416	+01.8610	 0.0204	328.8	 3.0	342.9	 2.0	 14.1	 5.0	s	  	 2.5	 9.7900000	GAMA 288904
     305	 304	    289089	181.0250	+01.8470	 0.0164	  5.0	 0.5	 31.2	15.1	 26.1	15.6	l	  	 1.0	10.5900000	GAMA 289089
     306	 305	    289096	181.1586	+01.7877	 0.0235	194.1	 1.0	198.1	 0.5	  4.0	 1.5	l	  	 0.5	11.2200000	GAMA 289096
     307	 306	    289107	181.0406	+01.8260	 0.0172	 40.2	 4.5	 42.2	 0.5	  2.0	 5.0	s	  	 3.0	 9.6800000	GAMA 289107
     308	 307	    289113	181.0792	+01.8484	 0.0239	340.9	 1.5	339.9	 0.5	  1.0	 2.0	l	  	 1.0	10.5200000	GAMA 289113
     309	 308	    289429	182.3047	+01.8366	 0.0194	 15.1	 5.0	 19.1	 0.5	  4.0	 5.5	s	  	 3.0	 9.0400000	GAMA 289429
     310	 309	    289957	184.1449	+01.7322	 0.0772	332.9	 7.5	349.9	 1.0	 17.1	 8.6	s	  	 1.5	10.3200000	GAMA 289957
     311	 310	    290328	185.6658	+01.7289	 0.0912	 25.1	 1.5	 25.1	 0.5	  0.0	 2.0	 	  	 2.0	10.9000000	GAMA 290328
     312	 311	    296638	212.6745	+01.4805	 0.0258	139.8	 1.5	138.8	 0.5	  1.0	 2.0	s	  	 2.0	10.4000000	GAMA 296638
     313	 312	    296639	212.6774	+01.4081	 0.0464	232.3	 3.5	232.3	 0.5	  0.0	 4.0	s	  	 2.5	10.2200000	GAMA 296639
     314	 313	    296725	213.0289	+01.5178	 0.0257	231.3	 5.0	 52.3	 0.5	179.0	 5.5	s	  	 2.5	 9.5000000	GAMA 296725
     315	 314	    296829	213.6546	+01.4656	 0.0538	310.7	 5.5	327.8	 0.5	 17.1	 6.0	s	  	 1.5	10.1500000	GAMA 296829
     316	 315	    296927	214.0178	+01.4582	 0.0540	330.8	 2.0	204.1	 8.0	126.7	10.1	l	  	 1.0	10.9300000	GAMA 296927
     317	 316	    296934	214.0442	+01.5414	 0.0530	 42.2	13.1	 84.5	 0.5	 42.2	13.6	s	  	 2.5	10.2100000	GAMA 296934
     318	 317	    297633	216.5645	+01.4915	 0.0550	178.0	 1.5	172.0	 0.5	  6.0	 2.0	s	  	 2.5	10.4300000	GAMA 297633
     319	 318	    297667	216.7625	+01.3627	 0.0558	194.1	 2.0	206.2	 0.5	 12.1	 2.5	s	  	 2.5	10.2200000	GAMA 297667
     320	 319	    298042	218.0660	+01.4570	 0.0275	293.6	 4.0	316.8	 0.5	 23.1	 4.5	s	  	 3.0	 9.0700000	GAMA 298042
     321	 320	    298114	218.4009	+01.3059	 0.0557	  5.0	 3.0	  5.0	 0.5	  0.0	 3.5	s	  	 2.5	10.2500000	GAMA 298114
     322	 321	    298572	220.5010	+01.2898	 0.0497	 15.1	 1.5	 17.1	 0.5	  2.0	 2.0	s	  	 2.5	10.2400000	GAMA 298572
     323	 322	    298590	220.6776	+01.3198	 0.0337	244.4	 2.5	136.8	 4.5	107.6	 7.0	a	bl	 0.0	10.5500000	GAMA 298590
     324	 323	    298612	220.8389	+01.3409	 0.0332	221.2	 3.5	234.3	 0.5	 13.1	 4.0	s	  	 3.0	 9.5300000	GAMA 298612
     325	 324	    298666	221.0361	+01.1953	 0.0279	359.0	 2.5	  2.0	 0.5	  3.0	 3.0	s	  	 2.5	10.2000000	GAMA 298666
     326	 325	    298738	221.5934	+01.2284	 0.0496	175.0	 2.5	192.1	 0.5	 17.1	 3.0	s	  	 3.0	10.0600000	GAMA 298738
     327	 326	    298862	222.1482	+01.3542	 0.0491	  8.0	 4.0	  4.0	 0.5	  4.0	 4.5	s	  	 2.5	10.0200000	GAMA 298862
     328	 327	    298980	222.7181	+01.1657	 0.0271	338.9	 5.5	333.9	 0.5	  5.0	 6.0	s	  	-9.0	 9.9500000	GAMA 298980
     329	 328	    300613	130.1872	+01.0992	 0.0293	246.4	 7.5	226.3	 0.5	 20.1	 8.0	s	  	 3.0	 9.2500000	GAMA 300613
     330	 329	    300691	130.4123	+01.1166	 0.0456	 25.1	23.6	286.6	10.1	 98.5	33.7	a	  	 0.0	10.3500000	GAMA 300691
     331	 330	    300787	130.9350	+01.0792	 0.0438	120.7	 2.5	307.7	 0.5	173.0	 3.0	s	  	 1.0	10.3200000	GAMA 300787
     332	 331	    300821	131.0373	+01.2143	 0.0131	300.7	 7.5	298.7	 0.5	  2.0	 8.0	s	  	 3.0	 8.8200000	GAMA 300821
     333	 332	    300887	131.2148	+01.1556	 0.0135	 15.1	 5.5	335.9	 0.5	 39.2	 6.0	s	  	 3.0	 9.1100000	GAMA 300887
     334	 333	    301191	132.6886	+01.3160	 0.0421	 62.4	 2.0	 67.4	 2.0	  5.0	 4.0	l	  	 1.5	10.7000000	GAMA 301191
     335	 334	    301201	132.7204	+01.2501	 0.0348	155.9	 2.5	159.9	 0.5	  4.0	 3.0	l	  	 1.5	10.0600000	GAMA 301201
     336	 335	    301346	133.5246	+01.1919	 0.0441	249.4	 3.5	251.4	 0.5	  2.0	 4.0	s	  	 2.5	10.1600000	GAMA 301346
     337	 336	    301381	133.6175	+01.2020	 0.0586	220.2	 7.0	212.2	 0.5	  8.0	 7.5	l	  	 2.5	10.5800000	GAMA 301381
     338	 337	    301382	133.6164	+01.1970	 0.0584	126.7	 7.0	124.7	 0.5	  2.0	 7.5	s	  	 3.0	10.2800000	GAMA 301382
     339	 338	    301799	135.2914	+01.3787	 0.0514	133.7	 4.0	154.9	 0.5	 21.1	 4.5	s	  	-9.0	 9.8800000	GAMA 301799
     340	 339	    301885	135.5395	+01.2261	 0.0571	352.0	 0.5	343.9	 0.5	  8.1	 1.0	s	  	 3.0	10.6000000	GAMA 301885
     341	 340	    302684	138.8110	+01.5107	 0.0547	206.2	13.1	 23.1	 0.5	177.0	13.6	s	  	 1.0	10.3600000	GAMA 302684
     342	 341	    302810	139.4312	+01.4924	 0.0536	254.4	 4.5	253.4	 0.5	  1.0	 5.0	s	  	 2.5	10.5000000	GAMA 302810
     343	 342	    302846	139.6414	+01.3438	 0.0273	  8.0	 2.5	  6.0	 0.5	  2.0	 3.0	s	  	 3.0	 9.8500000	GAMA 302846
     344	 343	    303099	140.8279	+01.5831	 0.0261	272.5	 1.0	273.5	 0.5	  1.0	 1.5	l	  	 2.0	10.3500000	GAMA 303099
     345	 344	     30346	174.6386	-01.1845	 0.0208	 33.2	 1.0	 34.2	 0.5	  1.0	 1.5	s	  	 2.0	10.4500000	GAMA 30346
     346	 345	     30469	175.4288	-01.2067	 0.0764	 71.4	 1.5	201.1	 2.5	129.7	 4.0	l	  	 0.5	11.1600000	GAMA 30469
     347	 346	     30786	176.7463	-01.0941	 0.0477	197.1	 3.5	192.1	 0.5	  5.0	 4.0	s	  	 2.0	10.3500000	GAMA 30786
     348	 347	     30847	177.1550	-01.2128	 0.1067	290.6	 2.5	232.3	 3.5	 58.3	 6.0	 	  	 0.5	11.4400000	GAMA 30847
     349	 348	     30890	177.2580	-01.1026	 0.0199	114.6	 3.0	110.6	 0.5	  4.0	 3.5	s	  	 3.0	 9.7900000	GAMA 30890
     350	 349	     30916	177.3481	-01.0838	 0.0205	260.4	 0.5	278.6	 0.5	 18.1	 1.0	l	  	 2.5	10.8000000	GAMA 30916
     351	 350	     31079	178.3622	-01.1357	 0.0808	259.4	 1.5	263.5	 0.5	  4.0	 2.0	l	  	 2.0	10.8100000	GAMA 31079
     352	 351	     31129	178.5474	-01.1311	 0.0111	128.7	12.1	122.7	 0.5	  6.0	12.6	s	  	 3.0	 8.9000000	GAMA 31129
     353	 352	     31448	179.7267	-01.2367	 0.0818	345.9	 1.5	  7.0	 4.0	 21.1	 5.5	 	  	 1.0	10.7500000	GAMA 31448
     354	 353	     31452	179.8635	-01.1551	 0.0202	109.6	 3.5	 91.5	 0.5	 18.1	 4.0	s	  	 3.0	 9.5100000	GAMA 31452
     355	 354	     31620	180.4819	-01.0693	 0.0205	 43.2	 0.5	 42.2	 0.5	  1.0	 1.0	s	  	 2.0	10.4600000	GAMA 31620
     356	 355	     31740	181.3128	-01.2196	 0.0964	175.0	 9.6	181.0	 0.5	  6.0	10.1	s	  	 3.0	          	GAMA 31740
     357	 356	    318936	212.9411	+01.9473	 0.0178	 20.1	 9.6	 31.2	 0.5	 11.1	10.1	s	  	 3.0	 8.9000000	GAMA 318936
     358	 357	    319018	213.3043	+01.7828	 0.0491	330.8	 5.0	315.8	 0.5	 15.1	 5.5	s	  	 3.0	10.0500000	GAMA 319018
     359	 358	    319020	213.3351	+01.9125	 0.0257	239.3	 8.0	238.3	 0.5	  1.0	 8.5	s	  	 3.0	 9.2400000	GAMA 319020
     360	 359	    319049	213.4166	+01.7830	 0.0536	271.5	 2.5	276.5	 0.5	  5.0	 3.0	s	  	 2.5	10.0400000	GAMA 319049
     361	 360	    319057	213.4455	+01.9335	 0.0548	 71.4	 4.5	 72.4	 0.5	  1.0	 5.0	s	  	 3.0	10.1400000	GAMA 319057
     362	 361	    319064	213.4796	+01.8182	 0.0557	212.2	 2.0	220.2	 0.5	  8.0	 2.5	s	  	 2.5	10.4800000	GAMA 319064
     363	 362	     31912	182.4046	-01.1006	 0.1002	235.3	 2.5	235.3	 5.5	  0.0	 8.0	 	  	 1.5	10.9500000	GAMA 31912
     364	 363	    319196	213.7553	+01.9212	 0.0531	341.9	 2.5	355.0	 7.0	 13.1	 9.6	l	  	 0.5	10.1700000	GAMA 319196
     365	 364	    319197	213.7551	+01.7758	 0.0552	246.4	 2.5	246.4	 0.5	  0.0	 3.0	 	  	 1.5	10.3800000	GAMA 319197
     366	 365	    319231	213.9615	+01.8826	 0.0258	168.9	 0.5	188.0	 3.0	 19.1	 3.5	l	  	 0.0	10.0500000	GAMA 319231
     367	 366	    319299	214.0493	+01.8680	 0.0821	110.6	 1.5	115.6	 1.5	  5.0	 3.0	 	  	 1.5	11.1800000	GAMA 319299
     368	 367	    319381	214.3917	+01.8125	 0.0248	118.7	 2.5	118.7	 0.5	  0.0	 3.0	s	  	 3.0	10.2600000	GAMA 319381
     369	 368	    319385	214.2911	+01.9059	 0.0559	275.5	 6.5	286.6	 1.5	 11.1	 8.1	s	  	 1.5	10.1300000	GAMA 319385
     370	 369	    319393	214.3245	+01.9200	 0.0553	218.2	 2.0	234.3	 0.5	 16.1	 2.5	 	  	 3.0	10.0600000	GAMA 319393
     371	 370	     31939	182.5086	-01.2227	 0.0596	 46.3	 3.0	 35.2	 0.5	 11.1	 3.5	s	  	 2.5	10.5300000	GAMA 31939
     372	 371	    319400	214.3916	+01.9369	 0.0499	349.9	 1.0	350.9	 0.5	  1.0	 1.5	l	  	 2.0	10.3700000	GAMA 319400
     373	 372	    319453	214.4999	+01.9063	 0.0531	120.7	 1.5	115.6	 0.5	  5.0	 2.0	s	  	 2.0	10.4000000	GAMA 319453
     374	 373	    320068	216.8719	+01.8517	 0.0295	107.6	11.1	122.7	 0.5	 15.1	11.6	s	  	 3.0	 9.1700000	GAMA 320068
     375	 374	    320254	217.5349	+01.6896	 0.0340	227.3	28.2	220.2	 0.5	  7.0	28.7	s	  	 3.0	 9.2900000	GAMA 320254
     376	 375	    320281	217.6364	+01.8533	 0.0342	 93.5	 4.0	 87.5	 0.5	  6.0	 4.5	s	  	 3.0	 9.8400000	GAMA 320281
     377	 376	    321035	220.7403	+01.7546	 0.0341	199.1	 2.5	219.2	 3.0	 20.1	 5.5	a	  	 1.0	 9.8300000	GAMA 321035
     378	 377	    321059	220.9849	+01.6042	 0.0058	232.3	 0.5	 70.4	 2.5	161.9	 3.0	l	  	 1.0	 9.6700000	GAMA 321059
     379	 378	    322910	129.3953	+01.5739	 0.0309	108.6	21.6	100.6	 2.5	  8.0	24.1	s	  	 3.0	 9.7400000	GAMA 322910
     380	 379	    323329	131.4065	+01.6066	 0.0493	338.9	 1.0	338.9	 0.5	  0.0	 1.5	l	  	 2.0	10.3400000	GAMA 323329
     381	 380	    323504	131.9508	+01.5345	 0.0630	 80.5	 0.5	 79.4	 0.5	  1.0	 1.0	s	  	 2.0	10.9400000	GAMA 323504
     382	 381	    323507	132.0355	+01.5660	 0.0399	245.4	10.1	220.2	 0.5	 25.1	10.6	s	  	 3.0	 9.4400000	GAMA 323507
     383	 382	    323541	132.1358	+01.5330	 0.0676	192.1	 3.5	199.1	 7.0	  7.0	10.6	 	  	 1.0	10.4800000	GAMA 323541
     384	 383	    323558	132.2631	+01.5384	 0.0426	182.0	 0.5	176.0	 5.5	  6.0	 6.0	l	  	 1.5	10.9000000	GAMA 323558
     385	 384	    323593	132.3878	+01.7280	 0.0689	288.6	 2.5	200.1	 0.5	 88.5	 3.0	l	r 	 0.5	11.1300000	GAMA 323593
     386	 385	     32362	184.5356	-01.0641	 0.0190	140.8	 1.0	136.8	 0.5	  4.0	 1.5	s	  	 2.0	10.4100000	GAMA 32362
     387	 386	    323854	133.4053	+01.7177	 0.0583	 59.3	 3.0	 51.3	 0.5	  8.1	 3.5	s	bl	 1.5	10.7100000	GAMA 323854
     388	 387	    323855	133.4197	+01.5635	 0.0410	 84.5	 2.0	 78.4	 0.5	  6.0	 2.5	s	  	 2.5	10.4700000	GAMA 323855
     389	 388	    324323	135.5004	+01.7860	 0.0531	276.5	 6.0	284.6	 0.5	  8.0	 6.5	s	  	 3.0	 9.7400000	GAMA 324323
     390	 389	    324351	135.7165	+01.7110	 0.0573	296.6	 3.0	111.6	 1.0	175.0	 4.0	l	  	 1.5	10.4500000	GAMA 324351
     391	 390	    324963	138.0306	+01.9120	 0.0589	 91.5	 0.5	 78.4	 0.5	 13.1	 1.0	s	  	 2.0	10.3400000	GAMA 324963
     392	 391	    325007	138.3155	+01.8672	 0.0554	221.2	 1.0	218.2	 0.5	  3.0	 1.5	l	  	 2.0	10.9700000	GAMA 325007
     393	 392	    325321	139.8112	+01.7803	 0.0876	184.0	 1.5	182.0	 0.5	  2.0	 2.0	l	  	 1.0	10.9600000	GAMA 325321
     394	 393	    325378	140.0268	+01.9688	 0.0850	305.7	 5.0	311.7	 0.5	  6.0	 5.5	s	  	 2.0	11.0100000	GAMA 325378
     395	 394	    325533	140.9283	+02.0034	 0.0527	 75.4	 1.5	 76.4	 0.5	  1.0	 2.0	s	  	 2.5	10.1000000	GAMA 325533
     396	 395	    325536	140.9840	+01.8344	 0.0507	 77.4	 2.0	 74.4	 0.5	  3.0	 2.5	s	  	 2.5	10.3400000	GAMA 325536
     397	 396	    345682	130.6771	+01.9520	 0.0255	141.8	21.6	 94.5	 0.5	 47.3	22.1	s	  	 3.0	 9.2700000	GAMA 345682
     398	 397	    345754	131.1186	+02.0640	 0.0255	278.6	 2.5	278.6	 0.5	  0.0	 3.0	s	  	 1.5	10.2500000	GAMA 345754
     399	 398	    345820	131.2456	+02.0517	 0.0509	193.1	 4.5	186.0	 9.1	  7.0	13.6	l	  	 1.5	10.2600000	GAMA 345820
     400	 399	    346623	134.5689	+02.0219	 0.0709	235.3	 2.0	228.3	 6.5	  7.0	 8.6	 	  	 0.5	10.5400000	GAMA 346623
     401	 400	    346752	135.0103	+02.0458	 0.0565	105.6	 5.0	105.6	 0.5	  0.0	 5.5	s	  	 2.0	10.1200000	GAMA 346752
     402	 401	    346793	135.0478	+02.0778	 0.0563	247.4	 1.5	245.4	 0.5	  2.0	 2.0	s	  	 3.0	10.3000000	GAMA 346793
     403	 402	    346839	135.2307	+02.2282	 0.0586	 20.1	 1.5	283.6	 8.0	 96.5	 9.6	 	  	 1.0	10.3900000	GAMA 346839
     404	 403	    346842	135.2435	+02.1945	 0.0577	 53.3	 5.5	 47.3	 0.5	  6.0	 6.0	s	  	 3.0	10.0400000	GAMA 346842
     405	 404	    346861	135.2964	+02.0782	 0.0554	 40.2	 3.0	 18.1	 0.5	 22.1	 3.5	s	  	 3.0	 9.8200000	GAMA 346861
     406	 405	    346892	135.3983	+02.1683	 0.0585	 37.2	 3.5	 32.2	 0.5	  5.0	 4.0	s	  	 2.0	10.2800000	GAMA 346892
     407	 406	    347263	136.9918	+02.2705	 0.0260	  4.0	 4.0	352.0	 0.5	 12.1	 4.5	s	  	 3.0	 9.4800000	GAMA 347263
     408	 407	    347470	137.8647	+02.2372	 0.0556	214.2	 3.0	223.2	 0.5	  9.1	 3.5	s	  	 2.0	10.3600000	GAMA 347470
     409	 408	    347471	137.8833	+02.2398	 0.0550	 11.1	 2.5	 79.4	 8.6	 68.4	11.1	l	  	 0.5	10.8700000	GAMA 347471
     410	 409	    348048	140.0905	+02.3074	 0.0859	220.2	 3.0	225.2	 0.5	  5.0	 3.5	s	  	 2.0	10.4200000	GAMA 348048
     411	 410	    348115	140.2860	+02.3339	 0.0891	 70.4	 1.5	 73.4	 5.5	  3.0	 7.0	 	  	 1.0	11.1200000	GAMA 348115
     412	 411	    348116	140.2934	+02.2012	 0.0504	338.9	 1.5	337.9	 0.5	  1.0	 2.0	s	  	 2.0	10.6100000	GAMA 348116
     413	 412	    348118	140.3378	+02.2265	 0.0887	 18.1	 0.5	 22.1	 0.5	  4.0	 1.0	 	  	 2.0	11.2000000	GAMA 348118
     414	 413	   3628218	135.2555	-00.9286	 0.0891	288.6	 3.5	286.6	 0.5	  2.0	 4.0	s	  	 0.5	10.9600000	GAMA 3628218
     415	 414	   3630097	136.6648	-00.8653	 0.0301	268.5	 1.0	263.5	 0.5	  5.0	 1.5	s	  	 2.0	10.1800000	GAMA 3630097
     416	 415	   3630239	136.8291	-00.8693	 0.0584	  4.0	18.1	 41.2	 0.5	 37.2	18.6	s	  	 3.0	10.0200000	GAMA 3630239
     417	 416	   3631902	137.8935	-00.8651	 0.0547	164.9	 0.5	177.0	 0.5	 12.1	 1.0	a	bl	 2.0	10.3600000	GAMA 3631902
     418	 417	   3632384	138.1885	-00.9893	 0.0271	 95.5	 9.6	 69.4	 0.5	 26.1	10.1	s	  	 3.0	 9.0500000	GAMA 3632384
     419	 418	   3634556	139.4468	-00.9859	 0.0698	 51.3	 3.0	201.1	 1.0	149.8	 4.0	l	  	 0.0	11.0000000	GAMA 3634556
     420	 419	    365334	139.7092	+02.6377	 0.0566	286.6	 2.0	288.6	 0.5	  2.0	 2.5	l	  	 2.0	10.4000000	GAMA 365334
     421	 420	     36880	211.8419	-01.0964	 0.0551	158.9	 1.0	158.9	 0.5	  0.0	 1.5	 	  	 1.0	10.8000000	GAMA 36880
     422	 421	     37064	216.3727	-01.0662	 0.0552	303.7	 1.5	304.7	 0.5	  1.0	 2.0	s	  	 2.0	10.6500000	GAMA 37064
     423	 422	    370997	129.7405	+00.9597	 0.0854	337.9	 0.5	352.0	 0.5	 14.1	 1.0	 	  	 0.5	10.9000000	GAMA 370997
     424	 423	    371170	130.4986	+00.9278	 0.0398	 82.5	 3.0	 54.3	 5.5	 28.2	 8.6	l	  	 2.0	10.7100000	GAMA 371170
     425	 424	    371171	130.4909	+00.9299	 0.0399	 36.2	 4.5	 13.1	 3.0	 23.1	 7.6	l	  	 0.0	10.1500000	GAMA 371171
     426	 425	    371227	130.5755	+00.8940	 0.0959	336.9	 7.5	343.9	 0.5	  7.0	 8.0	s	  	-9.0	          	GAMA 371227
     427	 426	    371633	132.1676	+01.0388	 0.0288	247.4	 4.0	276.5	 4.5	 29.2	 8.6	l	  	 2.0	10.9200000	GAMA 371633
     428	 427	    371714	132.4731	+00.9194	 0.0582	284.6	 3.0	278.6	 1.5	  6.0	 4.5	 	  	 1.5	10.6800000	GAMA 371714
     429	 428	    371789	132.8036	+01.0619	 0.0267	173.0	 3.5	187.0	 0.5	 14.1	 4.0	s	  	 2.0	 9.9100000	GAMA 371789
     430	 429	    371889	133.2983	+00.9263	 0.0590	252.4	 2.0	248.4	 2.0	  4.0	 4.0	 	  	 1.5	10.9600000	GAMA 371889
     431	 430	    371943	133.6513	+00.9329	 0.1071	239.3	 3.0	237.3	 1.5	  2.0	 4.5	 	  	 1.5	11.0700000	GAMA 371943
     432	 431	    372074	134.1279	+01.0259	 0.0574	131.7	16.1	144.8	 0.5	 13.1	16.6	s	  	 3.0	 9.5500000	GAMA 372074
     433	 432	    372105	134.3645	+01.1456	 0.0699	165.9	 2.5	163.9	 0.5	  2.0	 3.0	 	  	 1.5	10.3900000	GAMA 372105
     434	 433	    372320	135.2127	+01.1611	 0.0194	165.9	17.1	184.0	 0.5	 18.1	17.6	s	  	 3.0	 9.0500000	GAMA 372320
     435	 434	    372374	135.4779	+01.1720	 0.0194	251.4	12.6	247.4	 0.5	  4.0	13.1	s	  	 3.0	 9.2800000	GAMA 372374
     436	 435	    372408	135.7051	+01.0206	 0.0535	 38.2	 1.0	227.3	 2.5	170.9	 3.5	l	  	 1.0	10.7600000	GAMA 372408
     437	 436	    372541	136.2350	+01.1632	 0.0272	 83.5	12.6	110.6	 0.5	 27.1	13.1	s	  	 3.0	 8.8600000	GAMA 372541
     438	 437	    372568	136.4317	+01.1319	 0.0507	333.9	 0.5	326.8	 0.5	  7.0	 1.0	 	  	 2.5	10.1000000	GAMA 372568
     439	 438	    373105	139.3574	+01.2883	 0.0556	352.0	 1.0	345.9	 1.5	  6.0	 2.5	l	  	 1.5	10.7900000	GAMA 373105
     440	 439	    373173	139.7673	+01.1794	 0.0892	 52.3	 0.5	 50.3	12.6	  2.0	13.1	 	  	 1.0	10.9700000	GAMA 373173
     441	 440	    373202	139.9256	+01.3258	 0.0165	100.6	 3.0	104.6	 0.5	  4.0	 3.5	s	  	 3.0	 9.2600000	GAMA 373202
     442	 441	    373284	140.3492	+01.1761	 0.0585	218.2	 5.5	221.2	 0.5	  3.0	 6.0	s	  	 2.0	10.0400000	GAMA 373284
     443	 442	    375376	129.0032	+00.8836	 0.1067	210.2	 4.0	216.2	 0.5	  6.0	 4.5	s	  	 3.0	11.6100000	GAMA 375376
     444	 443	    375531	129.7109	+01.4050	 0.0290	 21.1	23.6	 42.2	 0.5	 21.1	24.1	s	  	 3.0	 9.4500000	GAMA 375531
     445	 444	    375560	129.8742	+01.2334	 0.0498	268.5	 0.5	258.4	 2.0	 10.1	 2.5	 	  	 0.5	11.1100000	GAMA 375560
     446	 445	    375615	130.0420	+01.2463	 0.0779	205.1	 2.0	209.2	 0.5	  4.0	 2.5	s	  	 0.5	10.7000000	GAMA 375615
