#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:49 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/469/2539&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74692539
#Name: J/MNRAS/469/2539
#Title: New classification of CALIFA galaxies (Kalinova+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/mnras/469/2539	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/469/2539	    IVOID of underlying data collection
#INFO	creator=Kalinova V.	    First author or institution
#INFO	cites=bibcode:2017MNRAS.469.2539K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/469/2539	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74692539	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_MNRAS_469_2539_tableb:
#Name: J/MNRAS/469/2539/tableb
#Title: Properties of the 238 (E1-Sdm) CALIFA galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a13)	Galaxy identifier	[ucd=meta.id;meta.main]
#Column	Type	(A3)	Hubble type based on by-eye morphological classification from Walcher et al. (2014, Cat. J/A+A/589/A1)	[ucd=meta.note;src.morph.type]
#Column	Dist	(I3)	Hubble flow (Galactocentric) distances (1)	[ucd=pos.distance]
#Column	PA	(I3)	Average photometric position angle (2)	[ucd=pos.posAng;stat.mean]
#Column	eps	(F5.2)	Average photometric ellipticity (2)	[ucd=src.ellipticity]
#Column	Incl	(I2)	Inclination (3)	[ucd=src.orbital.inclination]
#Column	Re	(I2)	Effective (half-light) radius measured via growth curve analysis (Walcher et al., 2014, Cat. J/A+A/589/A1)	[ucd=phys.angSize]
#Column	Rmax	(I2)	Radial extent of the stellar kinematic data (Falcon-Barroso et al., 2017, Cat. J/A+A/597/A48)	[ucd=phys.angSize]
#Column	Rmax/Re	(F4.1)	Radial extent of the stellar kinematic data in terms of effective radius	[ucd=spect.dopplerVeloc]
#Column	Vsys	(I4)	Systemic velocity of the galaxies (4)	[ucd=phys.veloc]
#Column	(M/L)dyn	(F6.3)	Median of the posterior distributions of the dynamical mass-to-light ratios, from JAM-MCMC model	[ucd=phys.composition.massLightRatio]
#Column	E_(M/L)dyn	(F6.3)	Error on (M/L)dyn, upper value (5)	[ucd=stat.error;stat.max]
#Column	e_(M/L)dyn	(F6.3)	Error on (M/L)dyn, lower value (6)	[ucd=stat.error]
#Column	betaz	(F6.3)	Median of the posterior distributions of the azimuthal velocity anisotropies, from JAM-MCMC model.	[ucd=stat.fit.param]
#Column	E_betaz	(F6.3)	Error on betaz, upper value (5)	[ucd=stat.error;stat.max]
#Column	e_betaz	(F6.3)	Error on betaz, lower value (6)	[ucd=stat.error]
#Column	CVC	(A1)	Circular velocity curve class (10)	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Galaxy	Type	Dist	PA	eps	Incl	Re	Rmax	Rmax/Re	Vsys	(M/L)dyn	E_(M/L)dyn	e_(M/L)dyn	betaz	E_betaz	e_betaz	CVC	Simbad	_RA	_DE
       7	 0.076	 84.404509	 35.910691000	  7.35399180	 2.431243800	-0.70464477
       8	 0.081	 87.523333	 34.710926000	  6.18400080	 0.957823350	-1.61662770
       9	 0.087	 90.542206	 33.230662000	  4.88448730	-0.530346530	-2.40961680
      10	 0.093	 93.437834	 31.481733000	  3.47356450	-1.983418800	-3.03577760
      11	 0.100	 96.186956	 29.480676000	  1.97344660	-3.350305100	-3.45634870
      12	 0.107	 98.767639	 27.248632000	  0.41017445	-4.581553600	-3.64569690
      13	 0.115	101.160790	 24.811730000	 -1.18653350	-5.631740200	-3.59364750
      14	 0.123	103.351570	 22.201673000	 -2.78348510	-6.461324400	-3.30591670
      15	 0.132	105.330250	 19.455889000	 -4.34465760	-7.038322100	-2.80308290
      16	 0.142	107.092230	 16.616691000	 -5.83257000	-7.340155400	-2.11874580
      17	 0.152	108.637170	 13.729172000	 -7.21030170	-7.355630300	-1.29730890
      18	 0.163	109.967510	 10.838253000	 -8.44363800	-7.086441900	-0.39138065
      19	 0.174	111.086820	  7.985552200	 -9.50282330	-6.547525300	 0.54139922
      20	 0.187	111.998500	  5.206861500	-10.36366000	-5.765921200	 1.44208760
      21	 0.200	112.705070	  2.530723800	-11.00810500	-4.778425800	 2.25438760
      22	 0.215	113.208180	 -0.021777731	-11.42461100	-3.628653000	 2.92828430
      23	 0.230	113.509010	 -2.436314400	-11.60839200	-2.364180500	 3.42296640
      24	 0.247	113.608830	 -4.704201900	-11.56153500	-1.034194500	 3.70895230
      25	 0.265	113.509530	 -6.821395200	-11.29288600	 0.312220260	 3.76955800
      26	 0.284	113.213810	 -8.787823900	-10.81748700	 1.627416000	 3.60185360
      27	 0.304	112.725300	-10.607081000	-10.15546200	 2.866494200	 3.21711570
      28	 0.326	112.048450	-12.286190000	 -9.33034860	 3.988954400	 2.64053400
      29	 0.349	111.188320	-13.835095000	 -8.36702890	 4.960518800	 1.90990850
      30	 0.374	110.150190	-15.265495000	 -7.28962410	 5.754680000	 1.07312980
      31	 0.401	108.939190	-16.588888000	 -6.11974810	 6.353254100	 0.18453767
      32	 0.430	107.560400	-17.814046000	 -4.87537130	 6.745637500	-0.69945797
      33	 0.461	106.019470	-18.944648000	 -3.57029780	 6.927023400	-1.52489580
      34	 0.494	104.323890	-19.977969000	 -2.21419630	 6.896449600	-2.24424460
      35	 0.530	102.484340	-20.905308000	 -0.81308321	 6.655592800	-2.81935310
      36	 0.568	100.515310	-21.714176000	  0.62961878	 6.208824700	-3.22311870
      37	 0.608	 98.434589	-22.391575000	  2.11140590	 5.564390400	-3.43988770
      38	 0.652	 96.261432	-22.927287000	  3.62846190	 4.735968100	-3.46482180
      39	 0.699	 94.014357	-23.316129000	  5.17332350	 3.743796400	-3.30261040
      40	 0.749	 91.709379	-23.558792000	  6.73300280	 2.614731400	-2.96587730
      41	 0.803	 89.359544	-23.661338000	  8.28809700	 1.381137500	-2.47364420
      42	 0.861	 86.975896	-23.633893000	  9.81306580	 0.078952947	-1.84992100
      43	 0.923	 84.569475	-23.489183000	 11.27751200	-1.254440900	-1.12240720
      44	 0.989	 82.153758	-23.241346000	 12.64815400	-2.582009100	-0.32111982
      45	 1.060	 79.746783	-22.905296000	 13.89113100	-3.868263900	 0.52307182
      46	 1.136	 77.372457	-22.496554000	 14.97443900	-5.079929400	 1.37996020
      47	 1.218	 75.060533	-22.031309000	 15.87027700	-6.186309400	 2.22128810
      48	 1.306	 72.845036	-21.526336000	 16.55723100	-7.159541700	 3.02165250
      49	 1.399	 70.761173	-20.998587000	 17.02209100	-7.974969000	 3.75896790
      50	 1.500	 68.841272	-20.464343000	 17.26118400	-8.611775100	 4.41464190

#Table	J_MNRAS_469_2539_tabled:
#Name: J/MNRAS/469/2539/tabled
#Title: The five main projections PCi of the 238 CVCs
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a13)	Galaxy name	[ucd=meta.id;meta.main]
#Column	PC1	(F11.8)	Main projections PC1	[ucd=stat.fit.param]
#Column	PC2	(F11.8)	Main projections PC2	[ucd=stat.fit.param]
#Column	PC3	(F11.8)	Main projections PC3	[ucd=stat.fit.param]
#Column	PC4	(F11.8)	Main projections PC4	[ucd=stat.fit.param]
#Column	PC5	(F11.8)	Main projections PC5	[ucd=stat.fit.param]
recno	Galaxy	PC1	PC2	PC3	PC4	PC5
 	 	 	 	 	 	
--------	-------------	-----------	-----------	-----------	-----------	-----------
       1	IC 0480      	-1.20926000	-2.32760000	 0.79536000	-1.35533000	-1.45758000
       2	IC 0540      	-1.02770000	-1.65598000	-1.38210000	-1.15281000	-0.44928400
       3	IC 0674      	 0.40929300	-2.77205000	-0.48278500	-0.74737400	-0.62818200
       4	IC 0944      	 0.72318900	-2.14871000	-1.08310000	-2.88036000	 0.10311300
       5	IC 1079      	 0.84150900	 0.19544500	-0.61231900	-0.39809300	-1.05088000
       6	IC 1151      	-1.09668000	-1.18971000	-1.06528000	-1.23835000	-1.00047000
       7	IC 1256      	-0.78002400	-2.31828000	 1.02410000	-2.00657000	-1.61986000
       8	IC 1528      	-1.06868000	-1.71063000	-0.83205600	-1.55337000	-0.65668400
       9	IC 1652      	-0.39907500	-0.58713600	-0.81974300	 0.08879540	-0.51959400
      10	IC 1755      	 0.31974100	-2.12241000	-1.78489000	-1.30644000	-0.33049600
      11	IC 2101      	-1.10349000	-2.14584000	-0.35640400	-0.66867700	-1.34662000
      12	IC 2247      	-0.32657900	-0.56916300	-0.99849100	-1.35980000	-0.65643000
      13	IC 2487      	-0.74370000	-1.56494000	 0.78671600	-0.64228300	-1.65642000
      14	IC 4566      	 0.14306600	-1.65649000	-1.52814000	-1.70792000	-0.97500600
      15	IC 5309      	-0.86125200	-1.47140000	-1.22377000	-0.53536600	-2.40962000
      16	IC 5376      	-0.00336622	-1.90825000	-2.07920000	-0.54693900	-1.85613000
      17	MCG-01-54-016	-1.26462000	-1.16168000	-0.96679100	 0.08839450	-1.88919000
      18	MCG-02-02-030	-0.74409000	-1.35248000	-0.44920300	-1.70031000	-0.12810800
      19	MCG-02-02-040	-1.12141000	-1.81402000	 0.50684600	-1.54051000	-1.59858000
      20	MCG-02-03-015	 0.28422700	-0.81043200	-2.37091000	-2.84387000	-1.05553000
      21	MCG-02-51-004	-0.22226200	-1.64179000	 0.01072710	-4.22379000	 1.09131000
      22	NGC 0001     	 0.05901330	-1.66300000	-1.97393000	-1.40448000	-1.40828000
      23	NGC 0023     	 0.44344600	-1.15225000	-3.70625000	-2.50189000	 1.17438000
      24	NGC 0155     	 0.80629800	-1.76249000	-1.64517000	-1.54686000	-1.36864000
      25	NGC 0160     	 0.99705500	-0.64756000	-1.72468000	-1.26951000	-2.04502000
      26	NGC 0171     	-0.60016800	-0.21368200	-1.90794000	-1.14194000	 0.09279980
      27	NGC 0177     	-0.24267700	-2.18961000	-2.42122000	 0.32072800	-1.67213000
      28	NGC 0192     	 0.16664200	-0.13258700	-1.08111000	-3.16354000	-1.02631000
      29	NGC 0214     	-0.22670300	-1.54425000	-0.08341380	-1.19997000	-1.84650000
      30	NGC 0216     	-1.38734000	-1.25915000	-1.52472000	-0.72742300	-1.86062000
      31	NGC 0217     	 0.27447600	-1.81879000	-1.11533000	-1.80500000	-0.43518300
      32	NGC 0237     	-0.84227000	-1.88684000	-0.20554700	-1.45908000	-1.28688000
      33	NGC 0257     	-0.10197600	-1.19330000	-0.70506300	-2.51945000	-0.67665500
      34	NGC 0429     	-0.14913600	-3.44591000	-0.39374500	 1.22482000	-2.22765000
      35	NGC 0444     	-1.14733000	-1.08421000	-1.11320000	-1.31008000	-0.48244200
      36	NGC 0499     	 2.25356000	-1.22882000	-0.39255600	-1.36232000	-1.31672000
      37	NGC 0504     	 0.39150100	-3.77708000	-0.29332200	 0.77227800	-1.78642000
      38	NGC 0517     	 0.69631700	-2.71926000	-1.73005000	-1.03803000	-0.50969000
      39	NGC 0528     	 0.42184200	-3.37503000	-0.02956730	-0.86541500	-0.82010500
      40	NGC 0529     	 1.59280000	-2.69623000	-0.63918200	-2.30655000	-0.82676300
      41	NGC 0551     	-0.65008700	-1.50068000	-0.02543030	-2.48497000	-1.04241000
      42	NGC 0681     	-0.21142200	-0.78539800	 0.04521830	-0.88170100	-0.39493900
      43	NGC 0741     	 3.31104000	-0.04601140	 1.97253000	-0.16211100	 0.03139210
      44	NGC 0755     	-1.33352000	-1.65394000	-0.66188400	-1.17364000	-1.20990000
      45	NGC 0768     	-0.31966200	-2.77593000	-0.33832700	-1.08984000	 0.16792500
      46	NGC 0774     	-0.03714160	-3.26697000	-0.10304200	-0.42994800	-0.59934900
      47	NGC 0776     	-0.48831200	-0.01808400	-1.80124000	-1.94228000	-2.27739000
      48	NGC 0781     	-0.62548500	-1.97724000	-1.47397000	-0.65045900	-1.15739000
      49	NGC 0810     	 2.12353000	-4.44166000	-0.30524000	-1.29280000	 0.25549800
      50	NGC 0932     	 0.40397700	-0.72580100	-1.63330000	-1.51453000	-2.38971000
      51	NGC 1056     	-0.59719100	-1.61349000	-1.48216000	 0.93502400	-1.71221000
      52	NGC 1060     	 3.14852000	-1.20864000	-0.33093000	-1.89527000	-1.45218000
      53	NGC 1167     	 1.48641000	-1.59929000	 0.17310700	-1.84505000	-1.09924000
      54	NGC 1349     	 1.03684000	-1.20366000	-0.46176500	-2.77004000	-0.90564300
      55	NGC 1542     	-0.65718000	-2.18568000	-0.85759500	-1.31328000	 0.05142570
      56	NGC 1645     	 0.92474800	-2.59453000	-2.65253000	-0.79775400	 0.23638200
      57	NGC 1677     	-1.22476000	-1.33862000	-1.18840000	-1.34635000	-1.34623000
      58	NGC 2253     	 0.39190900	-1.69758000	-3.62714000	-0.68686700	-0.72243700
      59	NGC 2347     	 0.33865700	-2.02770000	 0.20493800	 0.37393900	-1.96271000
      60	NGC 2410     	 0.01567300	-1.83271000	-1.69969000	-1.35327000	-1.68101000
      61	NGC 2449     	-0.11525600	-1.48962000	-0.97093300	-1.87502000	-0.68997300
      62	NGC 2476     	 0.53662700	-2.68001000	-1.84769000	-0.36034400	-1.18392000
      63	NGC 2481     	-0.02994440	-2.54517000	-1.26070000	-0.63067400	-0.64946200
      64	NGC 2486     	 0.55553800	 1.29881000	-0.79079400	 1.03536000	 2.47560000
      65	NGC 2553     	 0.53920900	-2.96772000	-1.27083000	-0.08516550	-1.39875000
      66	NGC 2554     	 1.30283000	-0.96267800	-1.24524000	-3.05613000	-2.01115000
      67	NGC 2592     	 0.47325000	-3.18959000	-1.15446000	-0.23393600	-0.46890100
      68	NGC 2604     	-1.26277000	-0.82964500	-1.26636000	-1.42856000	-0.98405800
      69	NGC 2639     	 0.70113100	-3.06440000	 0.65683000	-1.61775000	-0.78759000
      70	NGC 2730     	-1.11375000	-1.53485000	-0.57161800	-2.22060000	-0.29445600
      71	NGC 2880     	 0.13345700	-1.30168000	-1.88764000	-1.27788000	-1.83529000
      72	NGC 2906     	-0.27755800	-0.75482500	-0.10979700	-1.86315000	-0.29849800
      73	NGC 2916     	-0.12347700	-1.11497000	 0.22243100	-2.99827000	-0.37083300
      74	NGC 2918     	 1.14822000	-4.45705000	 0.63205600	-0.36557500	-0.78833100
      75	NGC 3057     	-1.47475000	-0.88222000	-1.62413000	-1.05265000	-1.33162000
      76	NGC 3106     	 0.82674400	 0.12618200	-1.47280000	-0.77683300	-2.55434000
      77	NGC 3160     	 0.01325100	-1.90649000	-0.22516800	-1.72557000	-0.71345600
      78	NGC 3300     	-0.06986780	-2.06551000	-1.73950000	-1.19746000	-0.22985200
      79	NGC 3381     	-1.38387000	-0.54502800	-1.58721000	-0.35448800	-1.11364000
      80	NGC 3615     	 2.23241000	-1.07155000	-1.68654000	-2.25966000	-2.55642000
      81	NGC 3811     	-0.08076570	 0.62840900	-0.12898400	-1.84056000	-2.31545000
      82	NGC 3815     	-0.58917700	-1.82769000	-0.33038000	-1.99619000	-1.65024000
      83	NGC 3994     	 0.16950400	-2.80224000	-0.56651000	-2.01865000	 1.21709000
      84	NGC 4003     	 0.17914100	-0.77038100	-0.59803000	 0.53172000	 0.84987200
      85	NGC 4047     	-0.16651400	-2.55476000	 1.13155000	-0.47537500	-2.25634000
      86	NGC 4149     	-0.55653000	-1.64648000	-1.06817000	-1.91999000	-0.49263000
      87	NGC 4185     	-0.50652200	-1.28953000	 0.42282800	-2.26548000	-1.29101000
      88	NGC 4210     	-0.69687700	-0.89978900	-0.19917000	-3.12556000	-0.60709700
      89	NGC 4470     	-1.52534000	-1.14175000	-0.87882700	-0.83344400	-1.07501000
      90	NGC 4644     	-0.59815500	-2.08020000	-0.89470900	-1.59717000	-0.15530600
      91	NGC 4711     	-1.01796000	-1.50683000	-0.20853700	-2.09663000	-1.06802000
      92	NGC 4816     	 1.70659000	 1.23950000	 1.04209000	-0.04355260	 0.42554300
      93	NGC 4956     	 0.12540900	-2.92302000	-0.83499600	-0.82284400	-0.11417700
      94	NGC 4961     	-0.90901700	-1.93505000	-0.53980600	-0.56634800	-2.99850000
      95	NGC 5000     	-1.04415000	-1.28577000	-1.39800000	-1.16529000	-1.13803000
      96	NGC 5029     	 2.06655000	-1.41662000	 0.19312500	-1.91201000	-2.84009000
      97	NGC 5056     	-0.48565000	-1.52834000	-0.32725500	-2.10920000	-2.05446000
      98	NGC 5218     	-0.67576800	-3.15847000	 1.10512000	-0.31451900	-2.44868000
      99	NGC 5378     	-0.02235680	-0.17787000	-1.38833000	-1.21900000	-1.85529000
     100	NGC 5480     	-0.88701800	-0.47791100	-0.57237900	-1.34536000	-1.12380000
     101	NGC 5485     	 0.88599500	-0.86380300	 0.00398722	 0.66034800	-1.04989000
     102	NGC 5520     	-0.41553800	-1.58961000	-1.25350000	 1.08169000	-1.62206000
     103	NGC 5614     	 0.62690900	-2.15989000	-1.37688000	-1.95352000	-0.75941600
     104	NGC 5630     	-1.22364000	-1.30351000	-0.80567500	-1.03281000	-1.16507000
     105	NGC 5633     	-1.00172000	-2.15113000	 0.69271900	-2.12723000	-0.48887400
     106	NGC 5657     	-0.49230100	-2.42364000	-1.23416000	-0.12499500	-1.24796000
     107	NGC 5682     	-1.01703000	-1.64883000	-1.74058000	-0.59331100	-0.87058400
     108	NGC 5720     	 0.57289200	 0.60245900	 0.91843100	-0.63880200	 2.77394000
     109	NGC 5732     	-0.89830500	-1.78692000	-0.79812000	-1.45943000	-1.18247000
     110	NGC 5784     	 1.44617000	-1.98282000	-2.07935000	-2.70938000	-0.75151600
     111	NGC 5876     	 0.82715900	-3.63918000	-1.33785000	 0.62252600	-1.45295000
     112	NGC 5888     	 0.34520200	-1.96351000	-0.01164830	-2.96030000	 0.53092400
     113	NGC 5908     	 0.58089700	-1.70357000	 1.86103000	-0.45036400	-1.59016000
     114	NGC 5971     	-0.23426900	-1.60258000	-1.80396000	-1.33797000	-1.32671000
     115	NGC 5980     	-0.37945600	-2.42495000	-0.06624200	-1.72009000	-0.24628300
     116	NGC 5987     	 0.82505800	 0.20240900	-0.01971130	-0.43150000	-1.11461000
     117	NGC 6020     	 1.10619000	-0.86338100	-1.32647000	-1.47519000	-2.44128000
     118	NGC 6021     	 0.75056000	-3.57711000	-0.73584700	-0.29458200	-0.52638100
     119	NGC 6032     	-1.12095000	-0.87035100	-1.09760000	-1.59065000	-1.18814000
     120	NGC 6060     	 0.06527680	-0.45421500	-0.62023000	-3.71057000	-0.04192810
     121	NGC 6063     	-1.08955000	-1.39203000	-0.01507010	-1.73812000	-0.67609000
     122	NGC 6081     	 0.74409500	-2.13503000	-1.59998000	-0.95448900	-1.89919000
     123	NGC 6125     	 2.51513000	 0.88934200	-0.30856100	-1.95412000	-2.97736000
     124	NGC 6132     	-0.79889600	-1.56309000	 0.83014600	-0.40842200	-1.58356000
     125	NGC 6146     	 2.47239000	-2.32306000	-1.56287000	-2.38165000	-1.90229000
     126	NGC 6150     	 1.29296000	-3.50879000	 0.22311600	-1.72499000	-0.44416400
     127	NGC 6168     	-1.37067000	-1.72106000	-0.61876200	-0.91796200	-1.35513000
     128	NGC 6173     	 2.48950000	 0.95147400	 0.34988500	-0.38986000	-0.57886400
     129	NGC 6186     	-0.70412000	-0.52313700	-1.20044000	-0.04388590	 0.47021000
     130	NGC 6278     	 0.59130000	-3.06759000	-1.21877000	-0.67521700	-0.23378800
     131	NGC 6301     	-0.43751500	-2.14835000	 1.90313000	-2.93975000	-0.33646200
     132	NGC 6310     	-0.44576400	-1.19929000	-0.58109800	-2.46027000	-0.40488500
     133	NGC 6314     	 0.37728700	-2.12739000	-2.17955000	-0.87107700	-1.38105000
     134	NGC 6478     	 0.32225900	-0.70553100	 0.97157400	-4.24043000	-1.54252000
     135	NGC 6497     	 1.12690000	 1.56045000	 1.65680000	 3.56648000	 3.21273000
     136	NGC 6515     	 0.99112300	-1.30430000	-1.24659000	-1.94864000	-2.06186000
     137	NGC 6762     	-0.88130600	-2.50781000	-0.09723950	-0.40116400	-1.40666000
     138	NGC 6941     	 0.17748900	-0.71848500	-1.39284000	-1.99780000	-0.00824516
     139	NGC 6945     	 0.25542400	-1.61691000	-1.66164000	-1.68237000	-1.11491000
     140	NGC 6978     	 0.02271490	-1.89752000	-0.39743700	-1.88286000	-0.49786500
     141	NGC 7025     	 1.39389000	-3.44742000	-0.76384600	-0.86445000	-0.58990500
     142	NGC 7047     	-0.48258000	-1.66649000	 0.32046700	-3.86304000	 0.44764800
     143	NGC 7194     	 2.10062000	-2.30269000	-1.84827000	-2.45428000	-1.22815000
     144	NGC 7311     	 0.51881900	-2.80461000	-1.20811000	-0.92871600	-0.71649400
     145	NGC 7321     	 0.12649000	-1.53494000	 0.49085300	-1.31074000	 1.86042000
     146	NGC 7364     	 0.55707200	-2.31453000	-0.74140300	-2.14695000	-2.00103000
     147	NGC 7466     	-0.11041900	-1.54346000	-1.55770000	-2.56754000	-0.39455900
     148	NGC 7489     	-0.77774800	-1.51366000	 0.58425500	-1.49091000	-2.23480000
     149	NGC 7549     	-0.01309200	-2.17648000	-0.98477700	-1.81800000	-0.69238600
     150	NGC 7550     	 2.18375000	-1.66480000	 1.29361000	-1.71546000	-3.90838000
     151	NGC 7562     	 1.60219000	-2.20663000	-0.78244500	-2.15979000	-1.66792000
     152	NGC 7563     	 0.78577500	-3.98466000	 0.28790800	 0.10219400	-2.17110000
     153	NGC 7591     	-0.26419700	-2.43200000	-1.26894000	-0.01980760	-1.88376000
     154	NGC 7608     	-1.25382000	-0.97481300	-0.65511400	-1.49076000	-1.43330000
     155	NGC 7611     	 1.38192000	-2.60431000	-2.99434000	-1.35975000	 0.98065200
     156	NGC 7619     	 2.67635000	 0.96161000	-0.54164500	-0.39427300	-0.36704600
     157	NGC 7623     	 0.50649200	-3.29185000	-0.99188200	-0.06263660	-1.09721000
     158	NGC 7625     	-0.75326600	-1.65591000	-1.07167000	 0.32661300	-1.41829000
     159	NGC 7631     	-0.61377100	-1.72690000	-0.74123700	-1.89120000	-1.29132000
     160	NGC 7653     	-0.30478600	-1.92099000	-1.19279000	-1.42580000	-0.70950700
     161	NGC 7671     	 1.28804000	-2.50376000	-1.92126000	-2.40655000	 0.84305900
     162	NGC 7683     	 0.79917100	-2.59421000	-1.01781000	-1.41289000	-1.15274000
     163	NGC 7711     	 0.92502600	-1.60574000	-1.65224000	-1.84335000	-1.23785000
     164	NGC 7716     	-0.30836400	-0.22656900	-2.29270000	-1.94909000	-1.69735000
     165	NGC 7722     	 1.06193000	-0.97974900	-1.10416000	-1.88796000	-1.93734000
     166	NGC 7738     	 0.03363310	-0.93729700	-1.37609000	-2.24552000	-2.13936000
     167	NGC 7787     	-0.30582600	-1.43139000	-1.94940000	-1.84802000	-0.78872600
     168	NGC 7819     	-0.58144000	-0.26994100	-2.16629000	-1.80617000	-0.45012700
     169	NGC 7824     	 1.44191000	-2.97776000	-2.54450000	-1.40940000	 0.94752300
     170	UGC 00005    	-0.56286400	-2.44482000	 0.88200200	-2.67218000	 0.09058130
     171	UGC 00029    	 1.38817000	-0.63247800	-0.58156100	-1.58943000	-1.60693000
     172	UGC 00036    	 0.50090500	-2.48737000	 0.30933500	-1.82194000	-1.52610000
     173	UGC 00148    	-1.06812000	-1.63918000	 0.28309500	-1.64380000	-0.53377300
     174	UGC 00312    	-0.60669600	-1.87013000	-0.92335600	 0.20359000	-0.30322600
     175	UGC 00809    	-1.30326000	-2.15657000	 0.74909600	-1.68255000	-0.98862800
     176	UGC 00987    	-0.17234900	-2.13615000	-1.10264000	-1.58724000	-0.49309800
     177	UGC 01057    	-0.83311200	-1.47802000	-0.24579000	-2.42167000	-1.58075000
     178	UGC 01271    	 0.47736100	-1.48872000	-0.72687100	-0.21371900	-2.42679000
     179	UGC 02222    	 0.34730900	-2.50120000	-1.49554000	-1.26473000	 0.28640100
     180	UGC 02229    	 0.89706300	-1.80358000	-0.99432500	-1.68955000	-3.05358000
     181	UGC 02403    	-0.64557300	-1.11054000	-0.25598000	-1.98030000	-0.73047800
     182	UGC 03253    	-0.21394700	-1.31896000	-1.37795000	-1.93616000	-0.05373220
     183	UGC 03539    	-0.89508000	-1.80346000	-1.14041000	-0.86721100	-1.33255000
     184	UGC 03995    	 0.47432700	-0.07022060	-0.40124100	-1.71494000	-0.64878300
     185	UGC 04029    	-0.63435100	-1.19482000	-0.41867600	-0.56149500	-0.39121200
     186	UGC 04132    	-0.29885200	-2.41825000	 1.06062000	-3.52727000	 0.24790200
     187	UGC 04145    	-0.88732000	-3.18494000	 2.47724000	-1.82675000	-1.16889000
     188	UGC 04197    	-0.36715200	-1.11075000	-0.20997000	-2.05196000	-1.89764000
     189	UGC 04280    	-0.68356400	-1.62057000	-0.91026600	-1.71303000	-1.13216000
     190	UGC 04308    	-0.96220300	-0.98877800	-0.86422500	-2.10756000	-0.88724900
     191	UGC 05108    	 0.74867900	-0.61985900	 2.47141000	 0.94672500	-1.62914000
     192	UGC 05113    	 0.46630500	-2.22344000	-1.84701000	-1.91937000	-0.17371300
     193	UGC 05598    	-1.03932000	-1.49279000	-1.03799000	-2.03769000	-0.15771900
     194	UGC 05771    	 1.76954000	-1.34517000	-0.85030200	-2.17789000	-2.30426000
     195	UGC 05990    	-1.44234000	-1.54689000	-1.00317000	-0.39856600	-2.17121000
     196	UGC06036     	 0.73656900	-2.58025000	-1.63428000	-0.71529300	-0.74499000
     197	UGC 06312    	 0.54332600	-1.69868000	-1.90135000	-1.93157000	-1.23111000
     198	UGC 07012    	-1.00155000	-1.63583000	-1.13029000	-1.21017000	-1.17140000
     199	UGC 07145    	-0.80151100	-1.86991000	-0.29347300	-1.97158000	-0.95303300
     200	UGC 08107    	 0.45613100	-3.70777000	 0.79866700	-1.80536000	 1.23986000
     201	UGC 08231    	-0.90255300	-2.17499000	-0.22713300	-0.91416700	-1.36939000
     202	UGC 08234    	 0.69723600	-3.53237000	-0.90658100	-0.39687300	 0.10184400
     203	UGC 08733    	-1.19376000	-1.08321000	-0.96835200	-1.39974000	-1.24759000
     204	UGC 08778    	-0.97285400	-1.63970000	-0.98692600	-1.82459000	-0.19874300
     205	UGC 08781    	 0.12901100	-2.03356000	-1.45934000	-1.80920000	-0.53345000
     206	UGC 09476    	-1.00204000	-1.04906000	-0.55763100	-2.02659000	-1.29871000
     207	UGC 09537    	 0.59489300	-0.83711000	-0.83345300	-1.22542000	-4.13690000
     208	UGC 09542    	-0.91729700	-1.56885000	-0.11902500	-1.19161000	-1.37776000
     209	UGC 09665    	-1.13236000	-1.43426000	-1.02951000	-1.87287000	-0.52973700
     210	UGC 09873    	-0.79843300	-0.20517200	-0.87993000	-1.47617000	-0.47468200
