#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T06:08:59 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T06:08:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F661%2FA7%2Ftable2&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610007
#Name: J/A+A/661/A7
#Title: X-ray properties of eFEDS clusters and groups (Bahar+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	creator=Bahar Y.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...7B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A7	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610007	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A7_table2:
#Name: J/A+A/661/A7/table2
#Title: X-ray observable measurements of eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A15)	Cluster ID (HHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	ID-SRC	(I5)	Unique source ID	[ucd=meta.id]
#Column	RAJ2000	(F8.4)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	ExtLike	(F5.1)	Extent likelihood	[ucd=stat.likelihood]
#Column	DetLike	(F6.1)	Detection likelihood	[ucd=stat.likelihood]
#Column	z	(F6.3)	Redshift	[ucd=src.redshift]
#Column	R500	(F6.3)	R500	[ucd=phys.angSize;src]
#Column	T500	(F6.3)	Temperature within R500	[ucd=phys.temperature]
#Column	e_T500	(F6.3)	Minus side error bar on T500	[ucd=stat.error]
#Column	E_T500	(F6.3)	Plus side error bar on T500	[ucd=stat.error;stat.max]
#Column	l_Lx500	(A1)	Limit flag on Lx500	[ucd=meta.code.error]
#Column	Lx500	(F7.3)	Soft band lumin within R500 (in 10^42^erg/s)	[ucd=phys.luminosity;em.X-ray]
#Column	e_Lx500	(F7.3)	? Minus side error bar on Lx500	[ucd=stat.error]
#Column	E_Lx500	(F8.3)	? Minus side error bar on Lx500	[ucd=stat.error;stat.max]
#Column	l_Lbol500	(A1)	Limit flag on Lbol500	[ucd=meta.code.error]
#Column	Lbol500	(F8.3)	Bolometric lumin within R500	[ucd=phys.luminosity]
#Column	e_Lbol500	(F8.3)	? Minus side error bar on Lbol500	[ucd=stat.error]
#Column	E_Lbol500	(F8.3)	? Plus side error bar on Lbol500	[ucd=stat.error;stat.max]
#Column	l_Mgas500	(A1)	Limit flag on Mgas500	[ucd=meta.code.error]
#Column	Mgas500	(F7.4)	Gas mass within R500	[ucd=phys.mass]
#Column	e_Mgas500	(F8.4)	? Minus side error bar on Mgas500	[ucd=stat.error]
#Column	E_Mgas500	(F8.4)	? Plus side error bar on Mgas500	[ucd=stat.error;stat.max]
#Column	l_Yx500	(A1)	Limit flag on Yx500	[ucd=meta.code.error]
#Column	Yx500	(F9.4)	Yx (gas mass times mean X-ray spectral temperature) within R500	[ucd=arith.factor;pos.distance]
#Column	e_Yx500	(F9.4)	? Minus side error bar on Yx500	[ucd=stat.error]
#Column	E_Yx500	(F9.4)	? Plus side error bar on Yx500	[ucd=stat.error;stat.max]
#Column	Tcex500	(F6.3)	Temperature within 0.15*R500-R500	[ucd=phys.temperature]
#Column	e_Tcex500	(F6.3)	Minus side error bar on Tcex500	[ucd=stat.error]
#Column	E_Tcex500	(F6.3)	Plus side error bar on Tcex500	[ucd=stat.error;stat.max]
#Column	l_Lxcex500	(A1)	Limit flag on Lxcex500	[ucd=meta.code.error]
#Column	Lxcex500	(F7.3)	Soft band lumin within 0.15*R500-R500	[ucd=phys.luminosity;em.X-ray]
#Column	e_Lxcex500	(F7.3)	? Minus side error bar on Lxcex500	[ucd=stat.error]
#Column	E_Lxcex500	(F8.3)	? Plus side error bar on Lxcex500	[ucd=stat.error;stat.max]
#Column	l_Lbolcex500	(A1)	Limit flag on Lbolcex500	[ucd=meta.code.error]
#Column	Lbolcex500	(F11.3)	Bolometric lumin within 0.15*R500-R500	[ucd=phys.luminosity]
#Column	e_Lbolcex500	(F7.2)	? Minus side error bar on Lbolcex500	[ucd=stat.error]
#Column	E_Lbolcex500	(F8.3)	? Plus side error bar on Lbolcex500	[ucd=stat.error;stat.max]
#Column	Texp	(I4)	Vignetted exposure at cluster center	[ucd=time.expo]
recno	ID	ID-SRC	RAJ2000	DEJ2000	ExtLike	DetLike	z	R500	T500	e_T500	E_T500	l_Lx500	Lx500	e_Lx500	E_Lx500	l_Lbol500	Lbol500	e_Lbol500	E_Lbol500	l_Mgas500	Mgas500	e_Mgas500	E_Mgas500	l_Yx500	Yx500	e_Yx500	E_Yx500	Tcex500	e_Tcex500	E_Tcex500	l_Lxcex500	Lxcex500	e_Lxcex500	E_Lxcex500	l_Lbolcex500	Lbolcex500	e_Lbolcex500	E_Lbolcex500	Texp
     108	084146.3-021339	18047	130.4432	-02.2278	 11.8	  12.9	 0.428	 1.719	 1.340	 0.180	 0.290	 	 13.500	  3.700	   4.500	 	  29.000	   8.100	  10.000	 	 4.9000	  1.1000	  1.3000	 	   6.6000	   1.9000	   2.8000	 1.320	 0.160	 0.310	 	 11.700	  3.900	   4.400	 	     24.900	   8.40	   9.500	1961
     109	084146.5+045612	 2796	130.4438	+04.9369	 12.1	  85.0	 0.636	 1.746	 4.900	 2.000	 9.200	 	 41.000	 14.000	  35.000	 	 156.000	  63.000	 151.000	<	18.0000	        	        	<	 200.0000	         	         	 3.000	 1.000	 3.800	<	 66.000	       	        	<	    220.000	       	        	 941
     110	084148.1+004911	 3008	130.4507	+00.8198	 16.8	  80.9	 0.078	 4.330	 0.880	 0.110	 0.120	 	  0.670	  0.110	   0.170	 	   1.250	   0.230	   0.330	 	 0.1330	  0.0590	  0.1930	 	   0.1250	   0.0610	   0.1710	 3.200	 1.200	 3.500	<	  0.470	       	        	<	      1.600	       	        	1144
     111	084151.3-003358	 3706	130.4640	-00.5661	  6.0	  12.9	 0.250	 2.632	 4.500	 2.000	12.100	 	 12.500	  2.900	   2.700	 	  42.000	  12.000	  37.000	 	 6.1000	  1.1000	  1.2000	 	  27.0000	  13.0000	  79.0000	 5.400	 2.800	 9.200	 	 11.000	  2.800	   2.500	 	     39.000	  12.00	  28.000	1062
     112	084151.7+004351	 6543	130.4656	+00.7311	 12.5	  25.5	 0.237	 2.312	15.600	 6.100	11.500	 	  1.920	  0.880	   1.320	<	  34.000	        	        	<	 2.2000	        	        	<	  36.0000	         	         	 5.200	 2.600	 9.300	<	  3.000	       	        	<	     11.000	       	        	1133
     113	084151.9-010156	 6071	130.4665	-01.0323	  9.1	  36.8	 0.270	 2.240	 9.300	 5.300	13.900	 	  4.900	  1.200	   1.300	 	  23.100	   8.900	  17.700	 	 2.0300	  0.4800	  0.4400	<	  80.0000	         	         	14.000	 7.600	12.400	 	  3.200	  1.080	   0.900	 	     17.900	   7.20	  11.500	1603
     114	084201.3+040534	 6988	130.5056	+04.0928	  6.6	  36.5	 0.758	 1.432	 6.100	 3.100	10.700	 	 39.000	 11.000	  13.000	 	 153.000	  49.000	  99.000	 	 6.8000	  3.2000	  2.5000	<	 180.0000	         	         	 4.400	 2.300	 5.600	<	 46.000	       	        	<	    160.000	       	        	1208
     115	084201.8+005941	 3334	130.5076	+00.9950	  7.5	   9.9	 0.087	 1.940	 5.600	 3.200	12.900	<	  0.450	       	        	<	   1.700	        	        	<	 0.2300	        	        	<	   2.4000	         	         	 6.400	 3.700	10.200	<	  0.380	       	        	<	      1.500	       	        	1137
     116	084210.5+020558	 7967	130.5439	+02.0997	  6.8	  28.0	 0.421	 1.748	 3.400	 1.400	 7.400	<	 12.000	       	        	<	  43.000	        	        	<	 5.9000	        	        	<	  27.0000	         	         	 3.400	 1.700	 3.500	<	  9.800	       	        	<	     29.000	       	        	1199
     117	084220.9+013844	 3295	130.5875	+01.6457	 27.7	  64.5	 0.421	 0.498	 7.900	 5.100	 8.400	 	 13.500	  2.900	   3.900	 	  57.000	  20.000	  36.000	 	 0.7300	  0.1700	  0.3000	<	  22.0000	         	         	 5.800	 3.200	 8.900	 	 12.800	  2.600	   3.600	 	     48.000	  15.00	  32.000	1157
     118	084223.1+003340	 4993	130.5963	+00.5613	 11.0	  55.3	 1.077	 1.317	 3.200	 1.100	 2.800	 	247.000	 97.000	 138.000	 	 720.000	 280.000	 410.000	<	33.0000	        	        	<	 150.0000	         	         	 2.600	 0.650	 2.490	<	350.000	       	        	<	    950.000	       	        	1092
     119	084240.7-011643	 2859	130.6698	-01.2787	 18.5	  16.5	 0.210	 0.876	 0.392	 0.067	 0.117	 	  1.290	  0.360	   0.530	 	   3.100	   1.000	   1.600	 	 0.1480	  0.0620	  0.0860	 	   0.0600	   0.0260	   0.0410	 0.371	 0.064	 0.079	 	  0.380	  0.190	   0.420	<	      3.400	       	        	2096
     120	084246.9-000917	 4861	130.6956	-00.1548	 31.3	  45.7	 0.420	 2.485	 6.800	 4.100	11.400	 	 43.800	  6.400	   6.100	 	 167.000	  48.000	 137.000	 	17.4000	  2.2000	  2.3000	<	 570.0000	         	         	 6.700	 3.300	11.300	 	 37.600	  6.100	   5.400	 	    148.000	  41.00	 106.000	1074
     121	084253.7+002006	 6903	130.7238	+00.3350	  6.6	  29.7	 0.345	 1.970	 3.000	 1.300	 9.900	 	  6.900	  1.800	   3.400	 	  21.200	   6.500	  20.500	<	 6.3000	        	        	<	  53.0000	         	         	 2.600	 1.100	 5.500	 	  3.400	  1.700	   4.600	<	     38.000	       	        	1064
     122	084255.6+042332	 2475	130.7317	+04.3924	 32.3	 129.4	 0.484	 2.202	 2.340	 0.470	 1.220	 	 67.100	  7.400	   7.600	 	 172.000	  19.000	  24.000	 	17.3000	  2.0000	  2.2000	 	  41.4000	   9.3000	  19.7000	 2.370	 0.450	 1.370	 	 46.300	  6.500	   7.100	 	    120.000	  18.00	  23.000	1327
     123	084258.3-004037	 4269	130.7432	-00.6772	  7.7	  55.4	 0.407	 1.986	 2.240	 0.660	 1.620	 	 16.500	  6.300	   6.300	 	  43.000	  17.000	  20.000	 	 4.4000	  1.1000	  1.3000	 	  10.3000	   3.8000	   8.9000	 2.800	 1.000	 6.950	 	 15.300	  7.100	   6.300	 	     45.000	  21.00	  30.000	1132
     124	084301.4+025741	11065	130.7560	+02.9615	  7.8	  31.3	 0.539	 1.613	 2.080	 0.680	 2.510	 	 18.600	  6.600	   5.700	 	  47.000	  16.000	  16.000	<	 7.9000	        	        	<	  28.0000	         	         	 2.370	 0.880	 2.410	<	 20.000	       	        	<	     55.000	       	        	1199
     125	084307.1+002839	 3336	130.7797	+00.4777	 28.1	  87.0	 0.264	 2.866	 8.900	 4.400	12.200	 	 20.900	  3.100	   3.400	 	  98.000	  30.000	  67.000	 	 8.0000	  1.3000	  1.4000	<	 290.0000	         	         	 9.300	 4.500	11.300	 	 15.300	  3.700	   3.000	 	     72.000	  23.00	  44.000	1057
     126	084324.2-001438	 9590	130.8511	-00.2441	 16.3	  31.7	 0.330	 2.191	 4.100	 1.700	 9.800	 	 14.800	  4.200	   3.000	 	  47.000	  14.000	  36.000	 	 6.4000	  1.4000	  1.4000	 	  26.0000	  11.0000	  64.0000	 3.200	 1.100	 2.600	 	 13.400	  3.400	   2.500	 	     38.000	  10.00	  13.000	1135
     127	084346.2+010833	12839	130.9425	+01.1425	 11.2	  21.1	 0.342	 2.095	 3.800	 1.500	 5.600	 	 12.600	  3.300	   5.000	 	  40.000	  13.000	  21.000	 	 5.8000	  1.2000	  1.5000	 	  21.9000	   9.0000	  31.7000	 3.400	 1.500	 6.000	 	 11.000	  2.800	   5.100	 	     35.000	  12.00	  23.000	1062
     128	084349.1+040404	19985	130.9547	+04.0678	 12.0	  18.2	 0.213	 2.716	 3.000	 1.000	 3.000	<	 31.000	       	        	<	 110.000	        	        	<	 9.5000	        	        	<	  59.0000	         	         	 3.300	 1.400	 4.300	<	 26.000	       	        	<	    110.000	       	        	1215
     129	084353.9+031402	19202	130.9747	+03.2341	  7.7	  11.1	 0.374	 1.919	 2.620	 0.960	 4.850	 	  6.900	  2.600	   3.600	 	  19.800	   8.400	  11.800	 	 3.3000	  1.4000	  1.3000	<	  38.0000	         	         	 2.480	 0.840	 3.280	<	 11.000	       	        	<	     34.000	       	        	1176
     130	084412.6-020514	 3396	131.0526	-02.0874	  6.8	  80.1	 0.382	 2.894	 5.000	 2.300	 9.600	<	180.000	       	        	<	 710.000	        	        	<	25.0000	        	        	<	 200.0000	         	         	 9.100	 5.500	 8.800	<	 63.000	       	        	<	    320.000	       	        	 187
     131	084417.9+010415	 1812	131.0748	+01.0711	 26.0	  94.6	 0.340	 2.586	 3.500	 1.000	 2.700	 	 45.200	  4.200	   3.700	 	 131.000	  17.000	  37.000	 	12.9000	  1.7000	  1.6000	 	  44.0000	  14.0000	  36.0000	 4.600	 2.000	 5.700	 	 32.100	  4.300	   4.900	 	    105.000	  23.00	  55.000	1085
     132	084430.8+021736	 3541	131.1285	+02.2935	 27.5	  79.3	 0.050	 5.678	 0.852	 0.069	 0.084	 	  0.320	  0.041	   0.046	 	   0.590	   0.078	   0.122	 	 0.0900	  0.0280	  0.0260	 	   0.0760	   0.0240	   0.0270	 5.000	 2.000	 7.800	 	  0.074	  0.029	   0.030	 	      0.250	   0.10	   0.190	1085
     133	084434.3+031026	 4876	131.1430	+03.1739	  9.9	  48.9	 0.724	 1.560	 2.050	 0.440	 0.870	 	 91.000	 36.000	  56.000	 	 222.000	  86.000	 128.000	<	22.0000	        	        	<	  56.0000	         	         	 2.270	 0.630	 1.650	 	 55.000	 26.000	  28.000	 	    145.000	  70.00	  73.000	1136
     134	084438.5+041946	11610	131.1606	+04.3295	 18.7	  28.2	 0.577	 1.726	 4.200	 1.800	 9.400	 	 34.900	  7.200	   8.200	 	 115.000	  29.000	  71.000	 	10.5000	  2.0000	  2.1000	 	  43.0000	  19.0000	  95.0000	 4.900	 2.500	17.000	 	 27.600	  6.700	   8.200	 	    100.000	  32.00	  94.000	1315
     135	084439.0+043302	 5668	131.1625	+04.5507	 11.9	  47.6	 0.517	 1.839	 2.900	 1.100	 4.000	 	 27.300	  5.800	   7.000	 	  79.000	  19.000	  31.000	 	 6.6000	  1.5000	  2.2000	 	  20.3000	   8.9000	  27.4000	 3.900	 2.100	 9.200	 	 17.300	  5.700	   7.200	 	     56.000	  21.00	  37.000	1209
     136	084441.3+021701	 1778	131.1723	+02.2839	 22.1	 146.1	 0.651	 1.913	 6.200	 2.500	 9.200	 	141.000	 20.000	  20.000	 	 540.000	 110.000	 310.000	 	26.3000	  3.6000	  3.9000	 	 159.0000	  67.0000	 256.0000	 7.700	 3.400	13.200	 	103.000	 18.000	  17.000	 	    450.000	 110.00	 300.000	1064
     137	084454.0+010021	 4436	131.2253	+01.0059	 17.1	  59.7	 0.295	 2.314	 2.700	 0.830	 2.220	 	 17.700	  3.100	   2.800	 	  47.900	   9.400	  12.300	 	 6.4000	  1.1000	  1.2000	 	  17.5000	   5.8000	  14.5000	 4.200	 1.900	 4.200	 	 13.700	  2.800	   2.900	 	     43.000	  11.00	  19.000	1160
     138	084459.2-011902	 4768	131.2471	-01.3174	 48.2	  93.5	 0.447	 2.517	 5.700	 2.600	 8.800	 	 53.600	  8.400	   9.000	 	 198.000	  50.000	 119.000	 	20.1000	  2.8000	  3.2000	 	 112.0000	  51.0000	 185.0000	 7.000	 3.800	10.200	 	 45.400	  8.100	   8.700	 	    180.000	  52.00	 124.000	1566
     139	084501.0+012728	 1607	131.2542	+01.4578	 29.0	  78.1	 0.420	 2.350	 3.080	 0.980	 3.110	 	 58.200	  9.200	   8.000	 	 165.000	  29.000	  51.000	 	16.1000	  2.2000	  2.2000	 	  50.0000	  16.0000	  50.0000	 4.300	 2.000	 8.000	 	 43.600	  8.600	   8.000	 	    140.000	  35.00	  84.000	1127
     140	084528.6+032739	  144	131.3695	+03.4609	316.7	1183.0	 0.334	 3.872	 6.700	 1.700	 2.200	 	219.000	  9.000	  11.000	 	 860.000	 120.000	 150.000	 	49.9000	  3.6000	  3.7000	 	 335.0000	  87.0000	 120.0000	 6.700	 2.100	 4.500	 	149.000	  9.000	   9.000	 	    585.000	  94.00	 192.000	1093
     141	084531.6+022831	 1039	131.3818	+02.4753	 98.9	 275.7	 0.076	 6.064	 1.460	 0.090	 0.090	 	  3.850	  0.180	   0.280	 	   8.510	   0.450	   0.610	 	 1.6500	  0.1400	  0.2100	 	   2.4300	   0.2700	   0.3500	 1.420	 0.110	 0.150	 	  2.170	  0.220	   0.270	 	      4.740	   0.50	   0.610	1077
     142	084544.3-002914	 2214	131.4349	-00.4874	 33.5	 103.1	 0.156	 3.745	 2.330	 0.530	 0.870	 	 13.000	  1.400	   1.000	 	  32.400	   3.700	   4.400	 	 4.7800	  0.4900	  0.5000	 	  11.1000	   2.6000	   4.8000	 3.120	 0.780	 2.930	 	  9.000	  1.500	   1.200	 	     25.500	   4.70	   9.200	1021
     143	084545.2+005535	 3660	131.4384	+00.9265	 10.7	  26.4	 0.293	 2.122	 6.500	 4.000	12.900	<	  8.700	       	        	<	  44.000	        	        	<	 4.6000	        	        	<	  44.0000	         	         	 9.000	 5.200	15.200	<	  6.400	       	        	<	     33.000	       	        	1182
     144	084552.4+011714	 5804	131.4684	+01.2872	 12.8	  47.6	 0.668	 1.596	 3.010	 0.970	 3.130	 	 44.000	 18.000	  25.000	 	 130.000	  53.000	  78.000	<	18.0000	        	        	<	  92.0000	         	         	 4.500	 2.000	 5.200	<	 68.000	       	        	<	    250.000	       	        	1185
     145	084557.6+041103	25781	131.4901	+04.1843	 13.2	  13.0	 0.284	 2.432	 7.000	 4.400	10.500	 	  4.700	  2.300	   2.200	<	  51.000	        	        	 	 2.9000	  1.4000	  1.7000	<	  87.0000	         	         	 6.900	 4.100	10.200	<	  8.400	       	        	<	     45.000	       	        	1211
     146	084558.1+012443	 9771	131.4924	+01.4120	 11.2	  34.3	 0.350	 2.135	 3.300	 1.100	 8.700	 	 18.100	  3.800	   5.800	 	  58.000	  17.000	  39.000	 	 5.8000	  2.0000	  1.6000	 	  19.8000	   9.2000	  45.9000	 3.300	 1.200	 3.900	 	 12.200	  4.500	   3.700	 	     36.000	  14.00	  16.000	1179
     147	084559.7+031321	 5281	131.4988	+03.2227	 11.4	  32.0	 0.391	 2.014	 4.400	 2.600	 9.200	 	 23.400	  5.300	   6.000	 	  78.000	  25.000	  58.000	 	 7.8000	  1.9000	  1.7000	<	 180.0000	         	         	 5.400	 3.500	13.900	 	 18.000	  5.800	   5.500	 	     63.000	  24.00	  61.000	1063
     148	084607.6+000651	29318	131.5318	+00.1143	  6.1	  11.0	 0.229	 2.561	 0.470	 0.200	10.730	 	  5.900	  1.700	   2.400	 	  20.300	   8.700	  19.000	 	 3.6000	  1.0000	  1.4000	 	   1.6500	   0.5600	  32.4500	 0.420	 0.160	 8.420	 	  5.000	  1.800	   2.300	 	     17.200	   7.50	  19.300	1060
     149	084630.7+024702	13490	131.6281	+02.7839	  8.4	  15.6	 0.206	 2.353	 1.600	 0.230	 0.400	 	  4.900	  1.100	   1.200	 	  11.000	   2.400	   2.800	 	 2.2600	  0.4600	  0.5500	 	   3.6600	   0.9500	   1.4000	 1.600	 0.260	 0.470	 	  3.980	  0.950	   1.250	 	      9.100	   2.30	   3.000	1123
     150	084637.1-002256	 2987	131.6546	-00.3824	 32.9	  63.6	 0.256	 3.499	 4.500	 1.500	 8.500	 	 14.000	  3.700	   4.900	 	  48.000	  16.000	  36.000	<	11.0000	        	        	<	 130.0000	         	         	 4.500	 1.700	 6.700	<	 15.000	       	        	<	     55.000	       	        	 901
     151	084640.3-010423	 9948	131.6681	-01.0733	  8.8	  19.7	 0.244	 2.261	 0.910	 0.710	10.990	 	  6.600	  2.100	   5.900	 	  19.800	   8.600	  82.200	 	 2.5500	  0.8900	  2.4100	<	  74.0000	         	         	 0.380	 0.300	 0.360	 	  5.400	  2.300	  39.000	<	  52000.000	       	        	 933
     152	084645.6+014947	 6215	131.6902	+01.8298	 12.4	  39.2	 0.051	 5.077	 2.510	 0.810	 1.860	 	  0.920	  0.120	   0.140	 	   2.410	   0.420	   0.660	 	 0.5150	  0.0870	  0.1010	 	   1.3200	   0.4700	   1.0200	 2.320	 0.660	 1.250	 	  0.760	  0.130	   0.140	 	      1.960	   0.39	   0.520	1173
     153	084647.4+044607	 6656	131.6975	+04.7688	 19.6	  48.8	 0.245	 3.468	 3.700	 1.200	 3.000	 	 20.100	  2.800	   4.200	 	  61.000	  13.000	  25.000	 	 9.7000	  1.6000	  2.0000	 	  36.0000	  13.0000	  33.0000	 3.500	 1.200	 3.000	 	 14.500	  3.100	   4.100	 	     44.000	  12.00	  18.000	 531
     154	084649.0+004946	11018	131.7045	+00.8295	  8.4	  18.8	 0.416	 1.781	 1.900	 0.430	 1.470	<	 25.000	       	        	<	  63.000	        	        	<	 6.7000	        	        	<	  20.0000	         	         	 2.160	 0.620	 2.560	<	 16.000	       	        	<	     43.000	       	        	1073
     155	084655.7-003705	 3712	131.7322	-00.6181	 21.6	  70.1	 0.365	 2.348	 2.490	 0.710	 1.790	 	 37.700	  8.000	  10.800	 	  99.000	  22.000	  37.000	 	 9.6000	  2.7000	  3.2000	 	  24.2000	   9.3000	  19.1000	 2.800	 1.200	 8.300	 	 23.100	  7.200	  10.100	 	     70.000	  26.00	  47.000	 863
     156	084657.6-011314	 9845	131.7403	-01.2206	  6.6	  21.4	 0.804	 1.370	 5.500	 3.000	12.600	 	 45.000	 20.000	  20.000	 	 167.000	  79.000	 127.000	 	10.1000	  4.1000	  3.5000	<	 290.0000	         	         	 7.100	 4.200	15.200	<	 73.000	       	        	<	    430.000	       	        	1085
     157	084717.7+033421	10507	131.8241	+03.5725	  6.4	  21.6	 0.716	 1.451	12.000	 7.300	10.700	<	 24.000	       	        	<	 150.000	        	        	<	 8.4000	        	        	<	 140.0000	         	         	13.000	 7.800	12.600	<	 18.000	       	        	<	    110.000	       	        	1124
     158	084729.7+013053	 5053	131.8740	+01.5149	 26.4	  55.7	 0.351	 2.524	 4.500	 2.000	 8.300	 	 27.200	  4.600	   4.400	 	  88.000	  20.000	  55.000	 	10.3000	  1.7000	  1.6000	 	  44.0000	  19.0000	  85.0000	 6.100	 3.600	 7.600	 	 19.700	  4.000	   4.400	 	     72.000	  22.00	  44.000	1080
     159	084751.7+025522	 4736	131.9656	+02.9230	 17.1	  58.7	 0.269	 2.426	 0.937	 0.071	 0.113	 	  9.600	  2.000	   2.000	 	  18.100	   3.800	   3.700	 	 2.4400	  0.6500	  0.5700	 	   2.2800	   0.6300	   0.6700	 0.980	 0.130	 0.140	 	  4.900	  1.600	   1.900	 	      9.200	   3.00	   3.700	1178
     160	084759.1+014903	 4709	131.9966	+01.8178	 17.8	  54.6	 0.576	 1.853	 2.670	 0.740	 1.800	 	 37.000	 16.000	  28.000	 	 101.000	  44.000	  74.000	<	16.0000	        	        	<	  58.0000	         	         	 2.400	 0.670	 2.840	<	 44.000	       	        	<	    120.000	       	        	1043
     161	084823.2+041205	 2437	132.0971	+04.2015	 23.8	 118.2	 0.872	 1.608	 3.800	 1.200	 4.200	 	196.000	 39.000	  40.000	 	 620.000	 120.000	 180.000	 	21.8000	  6.0000	  5.5000	 	  84.0000	  31.0000	  84.0000	 2.850	 0.660	 2.230	 	119.000	 39.000	  39.000	 	    340.000	 120.00	 110.000	1204
     162	084833.2-012216	 1073	132.1385	-01.3712	 91.2	 253.7	 0.629	 2.291	17.000	 8.300	10.400	 	187.000	 16.000	  19.000	 	1260.000	 390.000	 450.000	 	41.6000	  4.5000	  5.2000	<	1600.0000	         	         	14.300	 5.600	11.500	 	142.000	 17.000	  18.000	 	    870.000	 220.00	 370.000	1191
     163	084852.9+035939	10165	132.2205	+03.9944	 10.9	  21.9	 0.688	 1.611	 7.700	 5.200	12.800	 	 37.500	 10.000	  12.400	 	 155.000	  54.000	 108.000	 	 9.8000	  3.5000	  2.6000	<	 300.0000	         	         	 7.200	 4.600	12.500	 	 27.000	 11.000	  11.000	 	    109.000	  49.00	  86.000	1242
     164	084905.3+021435	 7831	132.2723	+02.2433	  8.4	  43.0	 0.395	 2.036	 1.550	 0.330	 1.300	 	 24.000	  6.300	  11.100	 	  58.000	  17.000	  34.000	 	 7.5000	  2.8000	  2.1000	 	  11.9000	   5.0000	  11.7000	 1.410	 0.270	 1.030	 	 18.200	  9.000	   7.600	 	     41.000	  19.00	  19.000	 961
     165	084910.6+024117	 9790	132.2943	+02.6882	  9.8	  17.5	 0.830	 1.535	18.000	10.000	10.000	<	 96.000	       	        	<	 700.000	        	        	<	20.0000	        	        	<	 420.0000	         	         	14.300	 9.900	13.800	<	 67.000	       	        	<	    410.000	       	        	1016
     166	084925.4+013840	14327	132.3562	+01.6447	 15.0	  12.6	 0.506	 0.434	 7.400	 5.000	12.300	 	 10.200	  2.800	   4.700	 	  44.000	  18.000	  38.000	 	 0.6100	  0.1600	  0.3200	<	  24.0000	         	         	 9.700	 7.300	14.100	 	  9.600	  2.600	   5.500	 	     50.000	  22.00	  44.000	 861
     167	084934.9+014437	32680	132.3958	+01.7438	 13.9	  15.8	 0.325	 2.849	 6.400	 3.500	10.600	 	 18.100	  5.400	   7.200	 	  72.000	  28.000	  58.000	 	 9.3000	  3.9000	  3.7000	<	 280.0000	         	         	 6.700	 3.600	11.000	 	 13.500	  6.200	   8.000	<	    150.000	       	        	 857
     168	084939.6-005126	 2261	132.4151	-00.8573	 29.0	 108.8	 0.613	 2.004	 8.300	 3.800	10.000	 	121.000	 17.000	  19.000	 	 540.000	 140.000	 300.000	 	25.8000	  3.4000	  4.1000	 	 210.0000	 100.0000	 280.0000	 7.200	 3.500	10.100	 	 93.000	 16.000	  20.000	 	    380.000	 100.00	 230.000	 868
     169	084957.4+004524	 8524	132.4894	+00.7567	 11.0	  37.4	 1.066	 1.360	14.000	 7.200	10.800	<	360.000	       	        	<	2300.000	        	        	<	33.0000	        	        	<	 760.0000	         	         	11.000	 6.200	12.900	<	260.000	       	        	<	   1500.000	       	        	 857
     170	085018.3+020018	 5464	132.5764	+02.0053	  8.2	  48.4	 0.421	 2.084	 4.300	 2.100	10.000	 	 33.000	 16.000	  10.000	 	 108.000	  49.000	  87.000	<	15.0000	        	        	<	 160.0000	         	         	 7.700	 5.000	14.100	<	 39.000	       	        	<	    220.000	       	        	 856
     171	085020.4+032819	 6529	132.5851	+03.4722	 26.4	  47.3	 0.294	 2.822	 4.400	 1.700	 7.700	 	 19.000	  3.300	   2.600	 	  60.000	  13.000	  38.000	 	 7.2000	  1.8000	  1.7000	 	  30.0000	  12.0000	  56.0000	 4.200	 1.500	 5.200	 	 13.400	  2.900	   3.000	 	     43.000	  11.00	  21.000	 965
