#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T06:09:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T06:09:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F661%2FA7%2Ftable1&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610007
#Name: J/A+A/661/A7
#Title: X-ray properties of eFEDS clusters and groups (Bahar+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	creator=Bahar Y.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...7B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A7	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610007	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A7_table1:
#Name: J/A+A/661/A7/table1
#Title: Electron density model parameters of eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A15)	Cluster ID	[ucd=meta.id;meta.main]
#Column	ID-SRC	(I5)	Unique source ID	[ucd=meta.id]
#Column	n0	(F6.3)	n0 parameter of Vikhlinin06 model (1)	[ucd=phys.density]
#Column	e_n0	(F6.3)	Minus side error bar on n0	[ucd=stat.error]
#Column	E_n0	(F7.3)	Plus side error bar on n0	[ucd=stat.error;stat.max]
#Column	rs	(F5.1)	rs parameter of Vikhlinin06 model (1)	[ucd=phys.size.radius]
#Column	e_rs	(F5.1)	Minus side error bar on rs	[ucd=stat.error]
#Column	E_rs	(F5.1)	Plus side error bar on rs	[ucd=stat.error;stat.max]
#Column	epsilon	(F5.2)	epsilon parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_epsilon	(F5.2)	Minus side error bar on epsilon	[ucd=stat.error]
#Column	E_epsilon	(F5.2)	Plus side error bar on epsilon	[ucd=stat.error;stat.max]
#Column	beta	(F6.3)	beta parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_beta	(F6.3)	Minus side error bar on beta	[ucd=stat.error]
#Column	E_beta	(F6.3)	Plus side error bar on beta	[ucd=stat.error;stat.max]
#Column	alpha	(F5.2)	alpha parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_alpha	(F5.2)	Minus side error bar on alpha	[ucd=stat.error;pos.eq.ra]
#Column	E_alpha	(F5.2)	Plus side error bar on alpha	[ucd=stat.error;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	ID	ID-SRC	n0	e_n0	E_n0	rs	e_rs	E_rs	epsilon	e_epsilon	E_epsilon	beta	e_beta	E_beta	alpha	e_alpha	E_alpha	Simbad
     241	090004.3+033324	 7945	 4.300	 3.600	 17.900	 91.0	 32.0	 51.0	 2.60	 1.70	 1.80	 1.620	 0.710	 0.620	 1.12	 0.73	 0.69	Simbad
     242	090010.4+023631	10878	 0.830	 0.640	  3.310	162.0	 68.0	 77.0	 2.60	 1.90	 1.60	 1.460	 0.710	 0.680	 1.11	 0.63	 0.52	Simbad
     243	090020.8-002602	 1315	 0.880	 0.720	 25.630	 81.0	 59.0	101.0	 2.30	 1.70	 1.90	 1.540	 0.800	 0.670	 1.40	 1.00	 1.40	Simbad
     244	090033.7+033932	 2407	 0.820	 0.550	  4.610	180.0	110.0	130.0	 2.40	 1.60	 1.80	 1.430	 0.740	 0.730	 1.12	 0.68	 0.89	Simbad
     245	090034.1-010649	 1652	 0.850	 0.660	  2.430	179.0	 61.0	 84.0	 2.40	 1.60	 1.70	 1.690	 0.760	 0.560	 1.08	 0.59	 0.46	Simbad
     246	090044.6-011104	 8508	 0.320	 0.250	  8.250	 58.0	 31.0	 61.0	 2.70	 1.80	 1.60	 1.610	 0.780	 0.640	 2.27	 0.97	 0.71	Simbad
     247	090051.6-003457	 9834	 0.700	 0.540	  3.190	133.0	 61.0	 65.0	 2.90	 1.90	 1.50	 1.540	 0.710	 0.670	 1.05	 0.67	 0.72	Simbad
     248	090053.0-002837	 9310	 1.300	 1.200	  5.500	114.0	 41.0	 67.0	 2.40	 1.60	 1.70	 1.550	 0.770	 0.660	 1.19	 0.80	 0.64	Simbad
     249	090059.3+035925	  983	 1.900	 1.600	 12.900	120.0	 49.0	 69.0	 2.30	 1.70	 1.80	 1.500	 0.730	 0.690	 1.92	 0.52	 0.35	Simbad
     250	090104.4+011643	 3171	 3.900	 3.000	  8.800	142.0	 47.0	 67.0	 2.80	 1.80	 1.50	 1.630	 0.740	 0.590	 0.96	 0.58	 0.50	Simbad
     251	090105.2-012525	11836	 1.110	 0.780	  2.150	169.0	 59.0	 62.0	 2.70	 1.90	 1.50	 1.480	 0.700	 0.640	 0.82	 0.57	 0.53	Simbad
     252	090115.3+005040	 8881	 2.400	 2.000	  4.500	144.0	 47.0	 81.0	 2.50	 1.70	 1.70	 1.550	 0.800	 0.640	 0.77	 0.53	 0.67	Simbad
     253	090119.0+030204	 7017	 3.400	 2.900	 18.100	 79.0	 41.0	 53.0	 1.60	 1.00	 2.10	 0.720	 0.280	 0.990	 1.36	 0.82	 0.76	Simbad
     254	090121.9-003709	 1600	 1.400	 1.200	 11.300	117.0	 51.0	 74.0	 2.30	 1.80	 2.00	 1.680	 0.960	 0.630	 1.48	 1.04	 0.60	Simbad
     255	090129.1-013853	 1104	39.000	14.000	 32.000	 60.0	 12.0	 13.0	 0.56	 0.36	 0.37	 0.527	 0.092	 0.074	 0.49	 0.35	 0.49	Simbad
     256	090131.1+030056	  152	15.300	 6.700	 21.800	 93.0	 18.0	 14.0	 1.50	 0.83	 0.88	 0.520	 0.120	 0.130	 1.27	 0.60	 0.31	Simbad
     257	090133.2+021651	 4181	 0.440	 0.280	  1.430	214.0	 76.0	 77.0	 2.60	 1.70	 1.60	 1.640	 0.720	 0.580	 1.26	 0.61	 0.37	Simbad
     258	090133.5-010540	10870	 0.740	 0.640	  6.230	101.0	 44.0	 61.0	 2.60	 1.70	 1.50	 1.530	 0.780	 0.670	 1.59	 0.86	 0.53	Simbad
     259	090137.7+030253	15914	 0.560	 0.390	  1.570	124.0	 63.0	 79.0	 2.60	 1.40	 1.40	 1.590	 0.580	 0.550	 1.01	 0.59	 0.60	Simbad
     260	090140.9-012132	 2412	 0.750	 0.530	  1.380	241.0	 68.0	 91.0	 3.10	 2.10	 1.40	 1.660	 0.650	 0.570	 0.81	 0.51	 0.45	Simbad
     261	090144.7+040827	 3199	 1.500	 1.100	 11.100	130.0	 56.0	 60.0	 2.50	 1.80	 1.70	 1.430	 0.760	 0.760	 1.88	 0.61	 0.32	Simbad
     262	090146.2-013756	 4232	 5.800	 5.100	 35.600	 88.0	 32.0	 45.0	 2.40	 1.50	 1.70	 1.650	 0.770	 0.620	 1.56	 0.88	 0.61	Simbad
     263	090153.9-012209	 2048	 3.000	 1.800	  6.600	123.0	 40.0	 39.0	 2.50	 1.40	 1.80	 1.200	 0.520	 0.780	 1.02	 0.52	 0.46	Simbad
     264	090200.5+022339	 3800	 0.700	 0.470	  2.860	218.0	 86.0	 88.0	 2.40	 1.60	 1.80	 1.430	 0.700	 0.740	 1.43	 0.60	 0.30	Simbad
     265	090210.6+032513	  431	 0.890	 0.680	 11.040	 43.0	 19.0	 58.0	 2.80	 1.80	 1.60	 1.530	 0.690	 0.660	 3.28	 1.90	 0.73	Simbad
     266	090223.3+015205	 6840	 2.700	 2.400	165.100	 37.0	 18.0	 33.0	 2.60	 1.80	 1.70	 1.720	 0.850	 0.550	 2.55	 1.34	 0.73	Simbad
     267	090224.4-005150	 9893	 2.200	 1.900	 10.400	 94.0	 37.0	 68.0	 2.60	 1.80	 1.70	 1.580	 0.780	 0.640	 1.28	 0.82	 0.59	Simbad
     268	090248.5+044005	 4121	 2.900	 2.400	 14.000	104.0	 39.0	 64.0	 2.80	 1.80	 1.60	 1.560	 0.670	 0.650	 1.30	 0.76	 0.58	Simbad
     269	090255.2+030220	 5489	 0.730	 0.540	  3.020	220.0	100.0	110.0	 2.30	 1.60	 1.80	 1.220	 0.680	 0.900	 1.19	 0.67	 0.40	Simbad
     270	090255.5+044036	 4348	 1.600	 1.200	 17.200	125.0	 65.0	 65.0	 0.97	 0.72	 1.33	 1.160	 0.610	 0.900	 1.65	 0.87	 0.41	Simbad
     271	090256.2+014625	 5655	 0.300	 0.180	  0.970	215.0	 70.0	 73.0	 2.10	 1.40	 1.80	 1.580	 0.700	 0.620	 1.58	 0.49	 0.27	Simbad
     272	090257.4+004819	 1712	 1.800	 1.600	 30.400	 73.0	 35.0	 59.0	 2.70	 1.80	 1.50	 1.530	 0.740	 0.670	 1.98	 1.09	 0.49	Simbad
     273	090323.7+030738	 2083	 4.100	 3.500	 30.100	103.0	 61.0	 84.0	 1.50	 1.10	 2.30	 0.740	 0.300	 1.070	 1.45	 0.67	 0.44	Simbad
     274	090327.2+032545	 4771	 0.710	 0.560	 15.930	120.0	 55.0	 66.0	 2.20	 1.50	 1.90	 1.540	 0.720	 0.680	 1.80	 1.12	 0.37	Simbad
     275	090328.7-013622	 4487	 1.700	 1.400	  5.900	166.0	 62.0	 73.0	 2.10	 1.50	 1.80	 1.670	 0.760	 0.560	 1.18	 0.80	 0.55	Simbad
     276	090333.8+043950	 9404	 2.300	 1.800	  5.800	136.0	 45.0	 61.0	 2.50	 1.70	 1.70	 1.560	 0.760	 0.680	 0.88	 0.54	 0.56	Simbad
     277	090335.0+022006	 8941	 1.700	 1.500	 13.500	 75.0	 34.0	 52.0	 2.70	 1.80	 1.70	 1.660	 0.730	 0.590	 1.46	 0.89	 0.73	Simbad
     278	090336.7+033124	12221	 1.500	 1.200	  7.300	122.0	 46.0	 55.0	 3.00	 2.10	 1.30	 1.690	 0.850	 0.560	 1.37	 0.83	 0.59	Simbad
     279	090408.6+012555	 5774	 0.490	 0.280	  1.660	200.0	110.0	130.0	 2.50	 1.70	 1.70	 1.470	 0.730	 0.700	 0.77	 0.50	 0.69	Simbad
     280	090409.7+003831	 9877	 1.300	 1.100	  4.500	143.0	 54.0	 76.0	 2.60	 1.80	 1.70	 1.530	 0.730	 0.660	 1.02	 0.69	 0.59	Simbad
     281	090417.0+040439	13330	 0.570	 0.390	  1.740	227.0	 75.0	 98.0	 2.30	 1.60	 1.80	 1.610	 0.740	 0.630	 1.14	 0.60	 0.39	Simbad
     282	090418.6+020642	 3590	16.000	14.000	 40.000	 84.0	 30.0	 49.0	 2.60	 1.70	 1.50	 1.610	 0.760	 0.630	 1.02	 0.66	 0.62	Simbad
     283	090419.1-010436	12660	 0.820	 0.650	  3.050	144.0	 53.0	 68.0	 2.80	 1.90	 1.50	 1.680	 0.730	 0.560	 1.18	 0.70	 0.52	Simbad
     284	090430.7+042648	 1075	 0.920	 0.660	  8.690	107.0	 48.0	 47.0	 2.20	 1.50	 1.80	 0.970	 0.440	 0.920	 2.39	 0.38	 0.22	Simbad
     285	090452.4+033326	 2931	 0.340	 0.170	  1.510	228.0	104.0	 81.0	 1.90	 1.40	 2.00	 0.980	 0.520	 0.900	 1.85	 0.33	 0.22	Simbad
     286	090540.0+043440	  354	 3.700	 2.000	  8.200	194.0	 75.0	 68.0	 2.80	 1.70	 1.60	 1.290	 0.590	 0.840	 1.52	 0.33	 0.20	Simbad
     287	090540.7+013219	 3585	 7.500	 5.700	 14.600	117.0	 32.0	 41.0	 2.70	 1.70	 1.60	 1.700	 0.740	 0.570	 0.89	 0.61	 0.62	Simbad
     288	090553.5+002244	 5170	 0.500	 0.340	  2.410	124.0	 49.0	 51.0	 2.50	 1.70	 1.70	 1.550	 0.740	 0.640	 2.05	 0.46	 0.30	Simbad
     289	090600.3-002521	 9359	 2.100	 1.800	  8.500	110.0	 39.0	 55.0	 2.40	 1.70	 1.70	 1.510	 0.760	 0.660	 1.26	 0.75	 0.59	Simbad
     290	090601.0+000055	 3259	 0.149	 0.051	  0.346	230.0	 97.0	 69.0	 0.99	 0.75	 1.59	 0.590	 0.200	 0.470	 1.97	 0.19	 0.18	Simbad
     291	090609.4+042924	11420	 0.670	 0.500	  3.540	142.0	 54.0	 67.0	 2.60	 1.70	 1.60	 1.460	 0.670	 0.700	 1.42	 0.72	 0.45	Simbad
     292	090614.6-010819	 5854	 1.700	 1.500	 45.600	 82.0	 45.0	 85.0	 2.70	 1.80	 1.60	 1.390	 0.750	 0.740	 2.01	 1.09	 0.80	Simbad
     293	090627.5+035846	10162	 0.183	 0.083	  0.319	340.0	160.0	210.0	 2.60	 1.80	 1.60	 1.370	 0.710	 0.790	 0.63	 0.39	 0.59	Simbad
     294	090628.9-012938	 2424	 1.300	 1.000	  4.500	158.0	 52.0	 69.0	 2.90	 1.80	 1.50	 1.700	 0.750	 0.550	 1.44	 0.59	 0.36	Simbad
     295	090634.9+045033	 8384	 5.200	 4.200	 26.000	106.0	 37.0	 45.0	 3.00	 2.00	 1.40	 1.540	 0.740	 0.660	 1.56	 0.89	 0.50	Simbad
     296	090636.9+010852	 7086	 2.100	 1.800	 12.500	134.0	 55.0	 78.0	 2.60	 1.70	 1.70	 1.580	 0.770	 0.630	 1.38	 0.79	 0.44	Simbad
     297	090644.8+011124	 5858	 1.000	 0.830	 11.060	 87.0	 38.0	 40.0	 3.00	 1.80	 1.40	 1.370	 0.660	 0.720	 2.12	 0.85	 0.44	Simbad
     298	090656.3+044717	12153	 0.330	 0.160	  0.470	460.0	120.0	100.0	 2.30	 1.60	 1.80	 1.570	 0.640	 0.560	 0.98	 0.39	 0.27	Simbad
     299	090700.7+011032	 9463	22.000	20.000	124.000	 51.0	 30.0	 33.0	 1.60	 1.10	 1.50	 1.890	 0.730	 0.460	 1.27	 0.85	 1.11	Simbad
     300	090703.9+010756	13484	 1.400	 1.100	 10.800	 42.0	 28.0	 37.0	 1.60	 1.10	 1.40	 2.040	 0.670	 0.330	 2.00	 1.10	 1.20	Simbad
     301	090718.6+035258	 6439	 8.600	 7.100	 15.200	105.0	 30.0	 47.0	 2.70	 1.80	 1.60	 1.700	 0.720	 0.540	 0.81	 0.55	 0.65	Simbad
     302	090723.8-011210	 2680	 0.210	 0.120	  0.470	245.0	 85.0	 78.0	 2.40	 1.60	 1.70	 1.370	 0.680	 0.750	 1.78	 0.27	 0.17	Simbad
     303	090734.3-012744	13028	 2.100	 1.800	 39.100	 54.0	 40.0	 68.0	 2.60	 1.80	 1.60	 1.620	 0.800	 0.590	 1.48	 0.99	 1.36	Simbad
     304	090739.7-010633	10976	 0.510	 0.420	  4.340	126.0	 48.0	 65.0	 2.40	 1.70	 1.80	 1.740	 0.830	 0.540	 1.58	 0.96	 0.50	Simbad
     305	090750.1+025006	 4691	 0.600	 0.420	 13.470	164.0	 86.0	 75.0	 2.70	 1.80	 1.70	 1.630	 0.960	 0.650	 1.72	 1.01	 0.32	Simbad
     306	090751.9+024647	13368	 1.050	 0.820	  4.440	157.0	 58.0	 77.0	 2.70	 1.80	 1.70	 1.780	 0.820	 0.520	 1.08	 0.74	 0.53	Simbad
     307	090752.9+013407	 2074	 0.360	 0.250	  1.740	211.0	 78.0	 86.0	 2.40	 1.50	 1.90	 1.460	 0.870	 0.750	 1.67	 1.22	 0.59	Simbad
     308	090754.5+005738	 5219	 1.140	 0.850	  7.310	156.0	 61.0	 74.0	 2.30	 1.60	 1.80	 1.510	 0.790	 0.670	 1.56	 0.71	 0.36	Simbad
     309	090757.5+025427	 9569	 6.800	 6.100	 31.200	 92.0	 41.0	 61.0	 2.70	 2.00	 1.60	 1.460	 0.880	 0.810	 1.17	 0.86	 0.77	Simbad
     310	090803.8+020045	 2234	 0.530	 0.370	  2.920	148.0	 61.0	 57.0	 2.40	 1.60	 1.70	 1.530	 0.780	 0.640	 2.13	 0.36	 0.22	Simbad
     311	090805.9+011952	 7084	 4.400	 3.800	 25.100	 91.0	 33.0	 50.0	 2.70	 1.80	 1.50	 1.640	 0.740	 0.600	 1.33	 0.83	 0.63	Simbad
     312	090806.4+032613	12592	 2.700	 2.200	 10.300	 96.0	 40.0	 64.0	 2.50	 1.70	 1.80	 1.700	 0.730	 0.570	 1.17	 0.70	 0.64	Simbad
     313	090806.9+042351	 6554	 0.200	 0.099	  0.465	315.0	106.0	 97.0	 2.40	 1.70	 1.70	 1.360	 0.670	 0.780	 1.38	 0.37	 0.24	Simbad
     314	090811.6-014811	 3984	 0.670	 0.470	 11.220	154.0	 68.0	 73.0	 3.40	 2.10	 1.10	 1.520	 0.730	 0.780	 1.81	 0.92	 0.33	Simbad
     315	090816.3+033416	11470	 0.330	 0.200	  1.470	178.0	 70.0	 70.0	 2.40	 1.70	 2.00	 1.260	 0.670	 0.900	 1.60	 0.56	 0.39	Simbad
     316	090817.2-013034	15548	 0.390	 0.290	  1.910	174.0	 74.0	 85.0	 2.70	 1.80	 1.50	 1.530	 0.790	 0.680	 1.17	 0.72	 0.47	Simbad
     317	090821.6-014115	16287	 0.490	 0.390	  2.530	148.0	 60.0	 87.0	 2.20	 1.60	 2.10	 1.530	 0.820	 0.730	 1.35	 0.85	 0.48	Simbad
     318	090821.9+025141	 8248	 2.000	 1.600	 10.400	130.0	 60.0	 86.0	 2.80	 2.00	 1.60	 1.500	 0.810	 0.720	 1.18	 0.76	 0.64	Simbad
     319	090838.0+015226	 1479	 0.290	 0.170	  0.570	222.0	 83.0	 86.0	 1.80	 1.20	 2.10	 0.860	 0.380	 0.860	 1.98	 0.20	 0.15	Simbad
     320	090843.9-013034	 4974	 0.400	 0.300	  4.050	149.0	 67.0	 81.0	 1.70	 1.30	 2.10	 1.350	 0.610	 0.730	 1.32	 0.96	 0.57	Simbad
     321	090849.7+042241	 2460	35.000	25.000	 41.000	 91.0	 22.0	 25.0	 2.90	 1.80	 1.50	 1.800	 0.680	 0.500	 0.65	 0.43	 0.57	Simbad
     322	090913.8-001214	  885	 0.820	 0.460	  1.270	232.0	 71.0	 67.0	 2.90	 1.90	 1.50	 1.670	 0.750	 0.580	 1.68	 0.23	 0.19	Simbad
     323	090915.3-010104	 2004	 0.570	 0.330	  1.550	204.0	 70.0	 66.0	 2.30	 1.60	 1.80	 1.410	 0.700	 0.710	 1.96	 0.26	 0.19	Simbad
     324	090916.0-015540	 5772	 1.500	 1.100	  3.300	161.0	 48.0	 67.0	 2.80	 1.80	 1.50	 1.750	 0.800	 0.520	 0.96	 0.62	 0.53	Simbad
     325	090930.6+034055	  638	 0.490	 0.280	  1.720	108.0	 42.0	 42.0	 2.30	 1.60	 1.80	 1.120	 0.550	 0.810	 2.79	 0.25	 0.26	Simbad
     326	090932.5-005020	 3523	 2.900	 2.300	 26.300	113.0	 51.0	 54.0	 2.50	 1.70	 1.60	 1.510	 0.730	 0.670	 1.93	 0.64	 0.34	Simbad
     327	090938.1+040816	13180	 0.830	 0.660	  3.600	147.0	 60.0	 78.0	 2.70	 1.80	 1.60	 1.480	 0.720	 0.690	 1.30	 0.68	 0.46	Simbad
     328	091011.7+013914	13622	 0.420	 0.280	  1.690	205.0	 81.0	 86.0	 2.40	 1.60	 1.70	 1.450	 0.730	 0.700	 1.30	 0.63	 0.34	Simbad
     329	091032.4+035301	 8750	 4.500	 3.900	  9.500	103.0	 30.0	 34.0	 2.60	 1.80	 1.70	 1.500	 0.850	 0.700	 0.74	 0.53	 1.05	Simbad
     330	091033.8+005100	  510	 0.220	 0.110	  0.620	171.0	 58.0	 44.0	 2.30	 1.50	 1.70	 1.210	 0.660	 0.810	 2.43	 0.19	 0.17	Simbad
     331	091057.2+041730	  206	 2.700	 2.400	 21.600	105.0	 46.0	 85.0	 2.60	 1.70	 1.60	 1.540	 0.800	 0.680	 1.39	 0.86	 0.52	Simbad
     332	091104.1+052237	11694	 1.110	 0.890	  6.370	132.0	 56.0	 78.0	 2.30	 1.60	 1.70	 1.360	 0.740	 0.770	 1.32	 0.79	 0.47	Simbad
     333	091108.0-015422	 5376	23.000	21.000	168.000	 43.0	 20.0	 28.0	 2.50	 1.70	 1.60	 1.490	 0.720	 0.690	 1.59	 1.04	 0.99	Simbad
     334	091111.0+040015	 6021	 1.700	 1.400	  5.700	120.0	 41.0	 62.0	 2.20	 1.50	 2.10	 1.680	 0.790	 0.630	 1.12	 0.78	 0.64	Simbad
     335	091117.1+030441	15328	 0.199	 0.088	  0.276	370.0	110.0	110.0	 2.50	 1.70	 1.70	 1.290	 0.680	 0.800	 1.05	 0.40	 0.29	Simbad
     336	091135.9+034626	 3774	 8.200	 6.900	 31.700	114.0	 42.0	 52.0	 2.40	 1.50	 1.60	 1.620	 0.570	 0.540	 1.23	 0.66	 0.60	Simbad
     337	091139.3-014144	 5511	 4.600	 4.000	 20.700	 96.0	 32.0	 51.0	 2.80	 1.80	 1.50	 1.710	 0.770	 0.570	 1.31	 0.73	 0.62	Simbad
     338	091159.7+031036	 9374	 0.270	 0.160	  2.480	215.0	114.0	 86.0	 2.90	 1.70	 1.50	 1.360	 0.690	 0.710	 1.49	 0.76	 0.35	Simbad
     339	091213.4-021621	 7699	 3.400	 3.000	 34.000	 81.0	 59.0	 74.0	 2.90	 1.70	 1.40	 1.490	 0.730	 0.650	 1.50	 0.97	 1.05	Simbad
     340	091214.1+022443	18040	 0.340	 0.220	  1.390	151.0	 89.0	 91.0	 2.50	 1.70	 1.80	 1.590	 0.790	 0.620	 1.01	 0.67	 0.94	Simbad
     341	091215.3-021743	  626	 3.400	 1.800	  5.400	280.0	 83.0	 67.0	 2.50	 1.70	 1.70	 1.670	 0.670	 0.570	 1.30	 0.29	 0.20	Simbad
     342	091248.2+002446	11837	 0.300	 0.180	  0.930	227.0	 84.0	109.0	 2.40	 1.60	 1.70	 1.360	 0.720	 0.810	 0.99	 0.59	 0.44	Simbad
     343	091254.4+032028	 1415	13.700	 9.800	 40.800	 93.0	 26.0	 31.0	 2.70	 1.70	 1.60	 1.640	 0.690	 0.550	 1.22	 0.67	 0.48	Simbad
     344	091300.9-013152	 7531	 2.700	 2.400	 22.100	 95.0	 41.0	 67.0	 2.70	 1.70	 1.60	 1.560	 0.800	 0.650	 1.45	 0.90	 0.56	Simbad
     345	091302.1+035000	 1277	 1.800	 1.400	  4.800	178.0	 61.0	 83.0	 2.80	 1.90	 1.40	 1.760	 0.750	 0.510	 1.05	 0.69	 0.52	Simbad
     346	091305.9+035021	 3797	 1.800	 1.400	  4.800	178.0	 61.0	 83.0	 2.80	 1.90	 1.40	 1.760	 0.750	 0.510	 1.05	 0.69	 0.52	Simbad
     347	091315.0+034850	  593	 0.420	 0.240	  0.760	216.0	 70.0	 72.0	 2.00	 1.40	 2.00	 0.970	 0.400	 0.730	 2.13	 0.16	 0.14	Simbad
     348	091320.3+032834	 2977	 1.030	 0.840	 14.980	 96.0	 46.0	 55.0	 2.30	 1.60	 1.80	 1.510	 0.740	 0.660	 2.13	 0.64	 0.33	Simbad
     349	091322.9+040617	 9801	 0.201	 0.098	  0.225	430.0	110.0	110.0	 2.60	 1.50	 1.40	 1.760	 0.680	 0.510	 0.71	 0.45	 0.41	Simbad
     350	091331.0+024513	 3488	44.000	38.000	 89.000	 40.0	 13.0	 20.0	 2.90	 1.90	 1.50	 1.730	 0.720	 0.540	 0.83	 0.60	 0.90	Simbad
     351	091336.6+031723	 5541	 1.500	 1.000	  2.500	144.0	 45.0	 59.0	 0.97	 0.69	 1.21	 0.650	 0.220	 0.340	 1.04	 0.67	 0.49	Simbad
     352	091351.1-004507	 1319	 1.600	 1.100	  4.100	182.0	 71.0	 76.0	 2.40	 1.60	 1.60	 1.450	 0.680	 0.750	 1.47	 0.43	 0.31	Simbad
     353	091354.7+025323	16902	 0.810	 0.630	  3.170	137.0	 54.0	 75.0	 2.40	 1.70	 1.90	 1.480	 0.730	 0.670	 1.15	 0.69	 0.53	Simbad
     354	091358.1+025707	  940	 1.800	 1.600	  8.300	109.0	 47.0	 66.0	 2.80	 1.80	 1.60	 1.350	 0.670	 0.750	 1.10	 0.77	 0.94	Simbad
     355	091402.7-010208	 5561	 0.570	 0.400	  3.990	138.0	 62.0	 62.0	 2.50	 1.70	 1.70	 1.410	 0.770	 0.750	 1.80	 0.62	 0.33	Simbad
     356	091403.3+013846	 1465	 0.150	 0.049	  0.155	284.0	 74.0	 68.0	 1.80	 1.30	 1.90	 0.730	 0.270	 0.530	 2.00	 0.14	 0.11	Simbad
     357	091412.6+001856	 1844	 0.550	 0.300	  1.130	215.0	 49.0	 56.0	 2.00	 1.40	 1.60	 0.890	 0.370	 0.630	 1.60	 0.47	 0.28	Simbad
     358	091414.9+022709	 1424	 1.700	 1.500	 22.300	 79.0	 35.0	 48.0	 1.47	 0.93	 1.49	 1.550	 0.880	 0.680	 1.90	 0.92	 0.56	Simbad
     359	091417.7+031159	  396	 0.108	 0.039	  0.225	103.0	 32.0	 40.0	 2.20	 1.50	 2.00	 1.280	 0.730	 0.840	 3.02	 0.25	 0.28	Simbad
     360	091423.9+022833	 7735	 0.470	 0.310	  1.330	226.0	 78.0	 88.0	 2.00	 1.50	 1.90	 1.070	 0.440	 0.480	 1.14	 0.67	 0.40	Simbad
     361	091431.6+010910	 4637	 1.900	 1.700	 57.200	 70.0	 38.0	 55.0	 2.50	 1.70	 1.80	 1.470	 0.670	 0.700	 2.08	 1.03	 0.51	Simbad
     362	091433.8+022718	 3159	 0.195	 0.089	  0.800	222.0	 66.0	 77.0	 3.10	 1.60	 1.40	 1.560	 0.710	 0.600	 1.84	 0.41	 0.25	Simbad
     363	091439.5-014416	 6130	 0.166	 0.073	  0.440	242.0	 87.0	 90.0	 2.10	 1.60	 1.90	 1.180	 0.650	 0.860	 1.64	 0.37	 0.26	Simbad
     364	091445.7+032755	 8636	 0.640	 0.460	  2.560	196.0	 67.0	 82.0	 2.40	 1.70	 1.70	 1.610	 0.800	 0.630	 1.24	 0.69	 0.42	Simbad
     365	091445.8+042621	13299	71.000	30.000	 46.000	 70.0	 15.0	 15.0	 3.64	 1.92	 1.00	 0.690	 0.220	 0.320	 0.53	 0.28	 0.27	Simbad
     366	091446.1+001047	 1917	 0.310	 0.160	  0.780	200.0	 67.0	 61.0	 2.50	 1.70	 1.70	 1.390	 0.640	 0.740	 2.10	 0.22	 0.17	Simbad
     367	091450.6-022606	 2154	 0.470	 0.330	  3.360	150.0	 68.0	 66.0	 2.60	 1.70	 1.70	 1.390	 0.720	 0.750	 2.04	 0.40	 0.23	Simbad
     368	091453.6+041613	  372	 4.900	 3.000	 17.000	106.0	 33.0	 38.0	 0.92	 0.60	 0.95	 0.560	 0.150	 0.160	 1.93	 1.05	 0.42	Simbad
     369	091509.5+051521	 6244	 1.400	 1.000	  3.700	250.0	110.0	140.0	 2.00	 1.40	 1.80	 1.180	 0.620	 0.900	 1.10	 0.58	 0.37	Simbad
     370	091512.2+043506	 4253	 6.700	 6.200	 40.700	 65.0	 24.0	 42.0	 2.80	 1.70	 1.50	 1.610	 0.720	 0.620	 1.40	 0.86	 0.77	Simbad
