#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:30:55 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:30:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJS%2F172%2F599%2Ftable1&-out=AGC,OName,RAJ2000,DEJ2000,TT,r23.5,r.83,Isb,ell,e_ell,Imag,e_Imag,TF&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21720599
#Name: J/ApJS/172/599
#Title: SFI++ II. A new I-band Tully-Fisher catalog (Springob+, 2007)
#INFO	ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2007ApJS..172..599S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/172/599	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21720599	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_172_599_table1:
#Name: J/ApJS/172/599/table1
#Title: Additional photometric parameters
#Column	AGC	(I6)	Entry number in the UGC or AGC (G1)	[ucd=meta.id;meta.main]
#Column	OName	(A8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TT	(I2)	Morphological type code T	[ucd=meta.code;src.morph]
#Column	r23.5	(F5.1)	Isophotal radius at a surface magnitude of 23.5 mag/arcsec2	[ucd=phys.angSize]
#Column	r.83	(F5.1)	Optical radius containing 83% of the light	[ucd=phys.angSize;src]
#Column	Isb	(F6.2)	Surface magnitude at outermost I isophote	[ucd=phot.mag.sb;em.opt.I]
#Column	ell	(F6.3)	Disk ellipticity	[ucd=src.ellipticity]
#Column	e_ell	(F6.3)	Error on the Ellip	[ucd=stat.error]
#Column	Imag	(F6.2)	Observed I-band magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Imag	(F5.2)	Error on Imag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	TF	(A1)	[*] Code indicating inclusion in TF sample	[ucd=meta.note]
AGC	OName	RAJ2000	DEJ2000	TT	r23.5	r.83	Isb	ell	e_ell	Imag	e_Imag	TF
  7223	N4192a  	12 13 26.3	+14 46 18	 3	 26.7	 65.2	 23.93	 0.172	 0.092	 13.89	 0.24	
  7231	N4192   	12 13 48.3	+14 53 57	 3	304.8	180.8	 22.65	 0.757	 0.021	  8.88	 0.04	*
 28415	267 G 29	12 13 52.6	-47 16 22	 5	 42.9	 32.0	 24.18	 0.406	 0.140	 12.10	 0.03	
  7234	N4193   	12 13 53.6	+13 10 21	 5	 75.1	 52.3	 23.88	 0.550	 0.010	 11.30	 0.03	
  7240	N4192b  	12 14 06.5	+14 43 31	 1	 32.3	 24.2	 24.37	 0.185	 0.065	 12.56	 0.03	
  7249	069-095 	12 14 37.7	+12 48 46	 5	 43.8	 45.4	 23.84	 0.730	 0.048	 14.13	 0.13	
 28420	380 G  1	12 14 44.5	-35 30 34	 1	 96.0	 78.9	 23.20	 0.567	 0.136	 10.95	 0.04	*
 28422	380 G  2	12 14 54.7	-35 35 58	 5	 38.1	 33.6	 24.38	 0.600	 0.060	 13.78	 0.04	*
  7255	I3061   	12 15 04.5	+14 01 42	 5	 71.8	 49.8	 23.56	 0.804	 0.016	 12.54	 0.02	
 28425	441 G 22	12 15 08.1	-30 45 57	 5	 68.3	 43.6	 22.32	 0.684	 0.015	 11.92	 0.04	
520024	013-112 	12 15 11.9	-03 26 34	 6	 40.0	 32.2	 24.05	 0.762	 0.021	 13.90	 0.04	
 28426	505 G 28	12 15 12.8	-27 39 40	 3	 23.0	 17.8	 23.73	 0.461	 0.048	 13.91	 0.03	
  7260	N4206   	12 15 16.8	+13 01 25	 5	149.0	111.7	 23.56	 0.815	 0.005	 11.22	 0.03	
 28431	321 G 16	12 15 26.9	-38 08 34	 3	 70.3	 59.5	 24.27	 0.699	 0.014	 12.44	 0.03	
 28433	380 G  6	12 15 34.3	-35 37 47	 3	125.3	 87.0	 23.91	 0.535	 0.012	 10.18	 0.04	
  7275	N4212   	12 15 39.3	+13 54 04	 5	 99.4	 64.4	 23.66	 0.408	 0.080	 10.02	 0.02	
 28437	321 G 17	12 15 48.6	-42 44 27	 3	 39.8	 45.3	 23.54	 0.730	 0.026	 13.97	 0.06	
221736	f97     	12 15 49.2	+13 11 48	 3	 12.3	  9.8	 24.43	 0.615	 0.013	 15.85	 0.03	
  7282	N4217   	12 15 50.7	+47 05 30	 3	213.8	134.9	 22.44	 0.716	 0.025	  9.82	 0.03	
  7284	N4216   	12 15 54.3	+13 08 59	 3	287.8	174.6	 22.49	 0.797	 0.018	  8.64	 0.02	*
 28439	441 G 24	12 15 56.0	-29 03 22	 3	 35.4	 28.1	 24.64	 0.701	 0.027	 13.86	 0.04	
221829	a96     	12 16 03.2	+14 00 46	 4	 13.7	 11.4	 23.72	 0.755	 0.008	 16.44	 0.04	
221828	FGC1395 	12 16 11.7	+13 59 34	 6	 26.4	 18.7	 23.16	 0.806	 0.020	 15.23	 0.03	
  7291	N4222   	12 16 22.7	+13 18 27	 6	 96.8	 74.8	 23.73	 0.817	 0.028	 12.07	 0.03	
  7297	N4226   	12 16 26.3	+47 01 32	 3	 37.6	 23.4	 24.06	 0.510	 0.024	 12.34	 0.03	
 28442	N4219   	12 16 27.8	-43 19 27	 3	115.4	 77.3	 24.85	 0.635	 0.016	 10.41	 0.04	
  7301	243-058 	12 16 42.4	+46 04 43	 5	 58.0	 60.9	 24.21	 0.820	 0.003	 13.89	 0.10	
  7313	I3099   	12 17 09.2	+12 27 12	 6	 58.0	 45.9	 23.77	 0.795	 0.013	 13.28	 0.03	
  7315	N4237   	12 17 11.4	+15 19 25	 5	 72.4	 45.5	 24.44	 0.356	 0.035	 10.59	 0.03	
  7319	N4241   	12 17 25.7	+06 41 23	 1	 98.1	 72.3	 23.64	 0.466	 0.032	 10.83	 0.03	
  7323	N4242   	12 17 30.0	+45 37 08	 6	151.0	157.3	 24.70	 0.284	 0.011	 10.16	 0.05	
  7327	098-133 	12 17 37.7	+16 43 37	 5	 34.6	 28.2	 24.05	 0.754	 0.013	 14.07	 0.04	
 28451	573 G  6	12 17 44.6	-22 10 26	 5	 21.9	 27.0	 24.64	 0.450	 0.044	 14.66	 0.06	
  7330	I3107   	12 17 46.9	+10 50 39	 4	 38.1	 25.1	 23.33	 0.527	 0.032	 12.77	 0.04	
  7334	N4246   	12 17 58.2	+07 11 08	 5	 71.5	 59.3	 24.00	 0.495	 0.019	 11.79	 0.04	
  7333	I3115   	12 17 59.8	+06 39 14	 4	 55.1	 53.4	 24.17	 0.323	 0.184	 12.35	 0.07	
 28452	267 G 38	12 18 00.3	-43 32 20	 3	 39.2	 27.4	 25.09	 0.593	 0.041	 12.48	 0.04	
 28455	573 G  8	12 18 08.3	-18 28 32	 3	 24.7	 16.3	 24.05	 0.513	 0.013	 13.56	 0.04	
  7337	013-121 	12 18 08.6	-01 03 52	 4	 35.0	 25.2	 24.06	 0.453	 0.024	 12.91	 0.02	
  7341	I3122   	12 18 21.4	+25 13 00	 3	 41.5	 33.1	 23.73	 0.477	 0.034	 12.81	 0.05	
  7345	N4254   	12 18 49.5	+14 24 59	 5	167.9	119.6	 24.09	 0.230	 0.052	  8.82	 0.02	
  7358	243-068 	12 19 12.3	+49 21 16	 5	 52.4	 39.6	 24.15	 0.681	 0.019	 12.69	 0.04	
221991	f97     	12 19 44.1	+29 34 49	 3	 13.4	 10.3	 24.45	 0.289	 0.060	 14.84	 0.03	
  7371	N4268   	12 19 47.1	+05 17 01	-2	 51.5	 31.1	 24.21	 0.517	 0.060	 11.52	 0.03	
  7377	N4274   	12 19 50.5	+29 36 51	 1	222.9	125.0	 23.29	 0.596	 0.049	  9.03	 0.02	*
 28467	380 G 14	12 19 50.6	-36 27 31	 3	 52.5	 36.9	 23.88	 0.570	 0.013	 12.21	 0.03	
  7380	N4273   	12 19 56.2	+05 20 38	 5	 66.3	 44.2	 24.50	 0.328	 0.031	 10.91	 0.04	
220387	N4277   	12 20 03.7	+05 20 28	 1	 43.3	 36.3	 24.63	 0.232	 0.032	 12.29	 0.04	*
 28471	506 G  2	12 20 10.3	-26 04 02	 4	 66.9	 47.7	 24.76	 0.822	 0.028	 12.53	 0.04	
  7393	N4284   	12 20 12.6	+58 05 33	 4	 55.7	 46.7	 23.60	 0.563	 0.043	 12.36	 0.06	
  7387	042-033 	12 20 17.4	+04 12 04	 5	 64.2	 50.2	 23.56	 0.848	 0.015	 13.14	 0.03	
  7394	014-011 	12 20 27.7	+01 28 09	 5	 55.5	 48.9	 23.76	 0.818	 0.011	 13.59	 0.06	
 28474	573 G 12	12 20 37.6	-18 39 55	 5	 45.9	 32.8	 24.55	 0.643	 0.030	 12.55	 0.02	
  7399	N4288   	12 20 38.2	+46 17 30	 5	 49.4	 40.6	 24.06	 0.264	 0.105	 12.29	 0.05	
520042	M-132004	12 20 47.5	-06 58 17	 5	 44.5	 32.7	 23.90	 0.775	 0.016	 13.27	 0.03	
  7403	N4289   	12 21 02.2	+03 43 19	 4	 70.3	 54.6	 24.91	 0.735	 0.009	 12.29	 0.04	
 28479	573 G 14	12 21 16.0	-21 59 43	 5	 21.5	 17.2	 24.85	 0.379	 0.049	 14.15	 0.03	
  7418	N4302   	12 21 42.3	+14 35 52	 5	194.9	153.1	 24.23	 0.797	 0.069	 10.16	 0.03	*
 28485	506 G  4	12 21 49.3	-24 10 08	 4	 71.1	 47.7	 23.83	 0.495	 0.009	 11.24	 0.03	
 28491	380 G 19	12 22 02.0	-35 47 30	 5	107.6	 68.0	 23.86	 0.800	 0.020	 11.01	 0.02	
  7431	N4307   	12 22 05.5	+09 02 35	 4	106.6	 75.0	 23.63	 0.744	 0.054	 10.78	 0.03	
520045	I 784   	12 22 28.6	-04 39 05	 4	 62.8	 41.3	 23.64	 0.679	 0.020	 12.14	 0.03	
  7447	N4316   	12 22 42.2	+09 19 56	 4	 77.9	 51.2	 24.07	 0.726	 0.044	 11.60	 0.02	
  7450	N4321   	12 22 54.9	+15 49 19	 5	246.7	170.1	 24.22	 0.256	 0.109	  8.31	 0.02	
 28498	506 G  5	12 22 55.4	-23 20 48	 3	 25.9	 18.3	 24.10	 0.403	 0.021	 13.43	 0.04	
  7451	N4324   	12 23 05.8	+05 14 59	 1	 73.0	 46.2	 24.53	 0.519	 0.033	 11.21	 0.03	
  7459	I3247   	12 23 14.0	+28 53 35	 5	 61.5	 54.5	 23.60	 0.857	 0.015	 13.64	 0.05	
 28500	380 G 23	12 23 19.5	-37 22 55	 5	 48.3	 45.2	 25.14	 0.742	 0.075	 13.33	 0.05	
  7465	N4343   	12 23 38.7	+06 57 15	 3	 69.6	 44.9	 23.37	 0.524	 0.100	 11.08	 0.03	*
  7464	042-069 	12 23 41.5	+02 57 41	 5	 41.4	 25.9	 24.81	 0.731	 0.013	 12.96	 0.03	
  7469	I3259   	12 23 48.5	+07 11 10	 5	 59.2	 53.3	 24.24	 0.524	 0.015	 12.47	 0.06	
520051	N4348   	12 23 54.0	-03 26 34	 5	 83.5	 54.8	 24.17	 0.726	 0.045	 11.22	 0.05	
 28507	322 G  3	12 23 57.2	-40 16 19	 3	 30.0	 23.3	 24.67	 0.534	 0.026	 13.70	 0.04	
  7478	N4357   	12 23 58.8	+48 46 45	 3	 88.3	 64.8	 24.01	 0.582	 0.044	 11.34	 0.02	
  7474	I3267   	12 24 05.5	+07 02 26	 5	 43.6	 39.0	 24.31	 0.096	 0.069	 12.39	 0.06	*
  7487	014-027 	12 24 27.3	+00 09 09	 3	 28.5	 21.0	 23.45	 0.312	 0.092	 13.15	 0.04	
  7510	I3311   	12 25 33.1	+12 15 35	 5	 57.4	 44.1	 23.42	 0.787	 0.022	 13.24	 0.04	*
221659	        	12 25 41.7	+07 10 01	 3	 14.4	  9.8	 25.34	 0.441	 0.045	 14.65	 0.02	
  7513	I3322a  	12 25 42.9	+07 12 58	 5	108.6	 79.9	 23.41	 0.836	 0.012	 11.81	 0.02	
  7516	042-096 	12 25 46.6	+04 30 33	 5	 34.0	 29.4	 23.84	 0.496	 0.036	 13.55	 0.05	
  7520	N4388   	12 25 46.9	+12 39 43	 2	186.5	127.1	 23.37	 0.737	 0.013	  9.93	 0.04	*
  7518	I3322   	12 25 54.1	+07 33 15	 5	 74.8	 63.0	 23.95	 0.750	 0.038	 12.42	 0.05	
  7522	042-099 	12 25 58.1	+03 25 47	 5	 84.2	 68.9	 24.54	 0.813	 0.059	 12.34	 0.04	
 28531	268 G  6	12 25 58.7	-44 40 53	 5	 27.9	 21.2	 24.02	 0.782	 0.016	 14.42	 0.03	
  7539	N4414   	12 26 27.0	+31 13 21	 5	136.8	 82.4	 24.36	 0.361	 0.082	  9.00	 0.02	
  7538	N4413   	12 26 32.2	+12 36 37	 4	 78.9	 59.9	 23.27	 0.356	 0.040	 11.16	 0.05	*
221928	f97     	12 26 51.8	+31 05 39	 3	 24.4	 18.5	 24.16	 0.344	 0.069	 13.67	 0.03	
 28539	380 G 29	12 26 54.1	-36 25 28	 5	 41.5	 46.3	 24.43	 0.584	 0.042	 13.56	 0.05	
  7549	N4420   	12 26 58.3	+02 29 35	 5	 59.0	 38.0	 24.25	 0.472	 0.066	 11.41	 0.03	
222003	f97     	12 27 06.6	+06 25 32	 3	 19.5	 13.3	 24.14	 0.680	 0.016	 14.62	 0.03	
  7558	I 792   	12 27 08.8	+16 19 30	 5	 42.1	 34.8	 24.20	 0.641	 0.018	 13.20	 0.04	
 28547	573 G 24	12 27 21.1	-17 54 35	 3	 23.4	 17.5	 24.68	 0.330	 0.047	 13.52	 0.04	
  7565	I3371   	12 27 22.2	+10 51 59	 5	 40.5	 34.0	 24.58	 0.804	 0.013	 14.07	 0.03	
  7566	N4430   	12 27 26.3	+06 15 47	 5	 79.5	 61.0	 23.73	 0.204	 0.109	 11.03	 0.03	
  7568	N4429   	12 27 26.6	+11 06 27	 0	207.6	134.2	 23.48	 0.560	 0.037	  8.74	 0.01	*
  7570	N4432   	12 27 32.9	+06 13 00	 5	 24.9	 25.1	 23.94	 0.216	 0.064	 13.80	 0.06	
520063	N4433   	12 27 38.7	-08 16 48	 3	 60.1	 34.6	 24.39	 0.611	 0.031	 11.58	 0.02	
 28556	506 G 10	12 27 51.4	-25 50 40	 5	 29.2	 26.3	 24.90	 0.814	 0.015	 15.00	 0.05	
 28555	N4456   	12 27 52.1	-30 05 52	 3	 37.1	 25.6	 23.95	 0.462	 0.068	 12.49	 0.02	
221561	VCC1069 	12 28 06.4	+12 53 53	-6	 24.4	 28.4	 24.28	 0.636	 0.023	 14.85	 0.09	*
  7590	070-108 	12 28 18.8	+08 43 45	 4	 34.4	 25.5	 22.91	 0.501	 0.036	 13.17	 0.04	
 28558	322 G 17	12 28 24.9	-38 29 11	 5	 33.2	 37.8	 24.35	 0.560	 0.033	 14.02	 0.06	
  7594	N4450   	12 28 29.5	+17 05 05	 2	185.4	126.0	 23.01	 0.345	 0.022	  8.83	 0.02	*
 28563	574 G  1	12 28 32.9	-22 14 21	 3	 30.9	 33.8	 23.53	 0.502	 0.018	 13.91	 0.05	
 28564	574 G  2	12 28 35.9	-22 29 52	 3	 29.1	 21.7	 25.16	 0.409	 0.081	 13.31	 0.04	
  7602	I3392   	12 28 43.2	+14 59 57	 5	 83.8	 55.6	 23.91	 0.574	 0.016	 11.19	 0.03	
  7603	N4455   	12 28 44.0	+22 49 17	 5	 80.8	 65.5	 23.97	 0.680	 0.005	 12.03	 0.05	
  7607	042-122 	12 28 52.2	+04 17 35	 5	 50.5	 40.1	 24.42	 0.868	 0.003	 13.95	 0.04	
220646	042-125 	12 28 59.9	+07 51 04	 3	 32.4	 23.3	 23.61	 0.477	 0.016	 13.27	 0.02	*
  7617	244-023 	12 29 06.3	+44 39 18	 5	 51.4	 37.0	 23.35	 0.789	 0.015	 13.35	 0.04	
 28566	322 G 19	12 29 07.6	-40 40 21	 5	 43.1	 29.1	 22.98	 0.777	 0.021	 13.49	 0.04	
 28570	268 G 11	12 29 28.3	-46 44 04	 5	 36.1	 26.0	 24.46	 0.537	 0.036	 13.08	 0.03	
  7626	N4466   	12 29 30.6	+07 41 46	 5	 49.1	 37.0	 24.22	 0.688	 0.019	 12.83	 0.02	
  7627	N4470   	12 29 37.7	+07 49 23	 5	 48.9	 31.3	 24.09	 0.320	 0.028	 11.67	 0.02	
  7632	N4475   	12 29 47.6	+27 14 35	 3	 48.2	 40.8	 23.57	 0.418	 0.039	 12.59	 0.04	
  7644	042-138 	12 30 20.8	+03 44 22	 5	 61.1	 47.0	 23.56	 0.785	 0.014	 12.95	 0.04	
  7647	N4480   	12 30 26.8	+04 14 46	 3	 61.3	 42.8	 23.08	 0.457	 0.024	 11.48	 0.02	
  7669	N4498   	12 31 39.5	+16 51 07	 5	 91.1	 70.7	 23.66	 0.531	 0.024	 11.24	 0.03	
 28590	268 G 14	12 31 54.9	-46 08 03	 5	 34.6	 26.0	 24.83	 0.408	 0.084	 12.97	 0.04	
  7675	N4501   	12 31 59.3	+14 25 12	 4	242.1	141.1	 22.92	 0.517	 0.023	  8.29	 0.02	
  7677	N4502   	12 32 03.2	+16 41 13	 6	 35.5	 28.6	 24.08	 0.456	 0.017	 13.13	 0.03	
520071	N4504   	12 32 17.1	-07 33 52	 6	119.2	101.7	 24.08	 0.425	 0.050	 10.56	 0.04	
 28597	506 G 16	12 32 17.5	-22 58 49	 3	 27.1	 21.3	 24.11	 0.443	 0.056	 13.69	 0.05	
  7689	M+726020	12 32 28.9	+39 35 23	 5	 50.8	 41.6	 23.91	 0.830	 0.013	 13.44	 0.03	
  7687	I3474   	12 32 36.5	+02 39 37	 6	 70.6	 63.0	 24.96	 0.844	 0.018	 13.46	 0.05	
  7695	I3476   	12 32 41.9	+14 03 01	 5	 59.8	 73.0	 23.30	 0.359	 0.033	 12.11	 0.07	
220756	042-147 	12 32 49.9	+03 17 57	 4	 29.1	 29.9	 24.15	 0.317	 0.052	 13.70	 0.05	
221950	f97     	12 32 59.7	+03 23 37	 3	 13.7	  9.7	 23.92	 0.616	 0.017	 15.21	 0.02	
 28604	442 G  2	12 33 21.8	-28 43 38	 5	 30.2	 29.7	 23.76	 0.851	 0.012	 15.41	 0.10	
  7711	N4522   	12 33 39.4	+09 10 24	 5	117.6	 92.9	 23.86	 0.758	 0.018	 11.33	 0.03	
 28608	268 G 18	12 33 46.5	-46 25 13	 5	 31.4	 31.8	 24.10	 0.773	 0.053	 14.68	 0.05	
 28610	380 G 43	12 33 48.9	-37 45 14	 3	 27.5	 21.5	 24.80	 0.307	 0.044	 13.35	 0.03	
  7714	N4525   	12 33 51.2	+30 16 38	 5	 74.7	 65.2	 23.98	 0.478	 0.024	 11.72	 0.05	
520076	N4524   	12 33 54.3	-12 01 38	 4	 36.0	 26.1	 24.51	 0.379	 0.020	 12.71	 0.04	
 28612	268 G 19	12 33 55.4	-45 50 31	 3	 27.4	 22.6	 25.20	 0.676	 0.023	 14.27	 0.04	
  7723	N4534   	12 34 05.5	+35 31 05	 6	 63.4	 61.0	 24.45	 0.261	 0.024	 11.79	 0.05	
  7724	I3516   	12 34 17.2	+27 27 07	 4	 25.4	 16.4	 23.56	 0.740	 0.021	 14.50	 0.03	
  7726	N4532   	12 34 19.5	+06 28 02	 6	 87.0	 58.0	 23.67	 0.611	 0.049	 11.05	 0.02	
  7725	N4533   	12 34 22.2	+02 19 31	 3	 67.4	 54.8	 24.11	 0.754	 0.007	 12.67	 0.04	*
  7732	N4536   	12 34 27.1	+02 11 15	 5	238.4	187.7	 23.47	 0.611	 0.034	  9.36	 0.03	*
  7733	I3517   	12 34 30.8	+09 09 17	 7	 35.4	 38.8	 24.01	 0.480	 0.078	 13.76	 0.12	
  7747	N4545   	12 34 34.2	+63 31 30	 5	 62.4	 47.4	 23.79	 0.402	 0.026	 11.75	 0.05	
  7739	042-163 	12 34 45.0	+06 18 06	 6	 39.0	 78.4	 23.93	 0.273	 0.071	 13.29	 0.22	*
  7749	N4541   	12 35 10.6	-00 13 17	 3	 47.3	 28.0	 24.04	 0.529	 0.050	 12.16	 0.03	
  7758	N4562   	12 35 34.5	+25 50 58	 5	 70.7	 67.1	 23.84	 0.679	 0.027	 12.58	 0.06	
  7756	N4544   	12 35 36.7	+03 02 04	 5	 60.8	 43.2	 24.65	 0.609	 0.034	 12.01	 0.03	
  7766	N4559   	12 35 57.7	+27 57 34	 5	262.2	203.3	 23.56	 0.632	 0.019	  9.15	 0.03	
  7774	216-014 	12 36 23.0	+40 00 17	 5	 69.6	 58.6	 23.89	 0.830	 0.008	 13.25	 0.04	
 28645	574 G 13	12 36 38.3	-19 40 23	 3	 26.6	 18.5	 24.39	 0.773	 0.025	 14.35	 0.02	
  7791	I3598   	12 37 21.1	+28 12 28	 2	 46.2	 31.8	 24.45	 0.657	 0.009	 12.66	 0.03	
 28652	322 G 33	12 37 25.5	-40 10 34	 5	 31.6	 58.2	 24.83	 0.839	 0.038	 15.39	 0.07	*
  7792	N4576   	12 37 33.4	+04 22 04	 3	 44.1	 38.7	 23.21	 0.435	 0.027	 12.58	 0.03	
 28657	N4574   	12 37 43.2	-35 30 59	 4	 57.1	 48.0	 23.53	 0.387	 0.028	 12.01	 0.03	
  7794	N4580   	12 37 48.5	+05 22 05	 4	 78.7	 54.4	 23.62	 0.272	 0.008	 10.70	 0.03	
 28661	N4575   	12 37 50.7	-40 32 10	 5	 63.6	 43.2	 24.01	 0.368	 0.058	 11.35	 0.05	
221635	042-185a	12 38 11.9	+07 48 44	 1	 23.3	 15.7	 23.57	 0.562	 0.056	 13.94	 0.02	*
220864	N4585   	12 38 11.9	+28 56 17	 2	 25.7	 18.6	 24.10	 0.417	 0.037	 13.29	 0.03	
220861	042-185b	12 38 15.8	+07 49 14	 1	 23.7	 19.6	 23.95	 0.395	 0.059	 13.86	 0.02	*
  7802	042-186 	12 38 20.9	+07 53 27	 5	 62.6	 50.4	 23.60	 0.841	 0.011	 13.36	 0.02	
  7806	014-086 	12 38 35.9	+01 24 06	 5	 45.7	 38.3	 23.94	 0.796	 0.005	 13.81	 0.04	
  7808	I3608   	12 38 37.3	+10 28 33	 4	 44.8	 35.4	 24.75	 0.661	 0.024	 13.19	 0.03	
 28673	322 G 42	12 38 40.5	-42 12 52	 4	 58.8	 52.5	 24.67	 0.673	 0.021	 12.74	 0.04	
  7810	N4588   	12 38 45.4	+06 46 04	 5	 36.7	 31.5	 23.77	 0.643	 0.026	 13.75	 0.05	
  7819	N4592   	12 39 18.7	-00 31 55	 6	119.6	 94.1	 23.88	 0.684	 0.015	 11.06	 0.03	
 28685	268 G 29	12 39 36.9	-42 53 33	 5	 33.1	 25.6	 24.44	 0.706	 0.037	 13.67	 0.04	
 28686	322 G 44	12 39 37.2	-40 44 21	 5	 53.5	 40.1	 24.64	 0.585	 0.034	 12.18	 0.04	
  7826	N4595   	12 39 52.0	+15 17 51	 5	 58.4	 42.2	 24.30	 0.323	 0.028	 11.50	 0.03	
  7831	N4605   	12 40 00.3	+61 36 32	 5	168.1	109.6	 23.84	 0.569	 0.063	  9.30	 0.02	*
 28691	322 G 45	12 40 01.7	-42 02 27	 3	 51.8	 35.9	 23.89	 0.584	 0.031	 12.16	 0.03	
520104	M-132035	12 40 15.9	-09 17 54	 4	 35.1	 26.6	 24.61	 0.361	 0.057	 12.59	 0.03	
 28696	322 G 48	12 40 29.4	-41 04 20	 5	 40.7	 30.9	 24.47	 0.730	 0.018	 13.48	 0.03	
 28697	381 G  5	12 40 33.2	-36 58 09	 5	 26.3	 21.1	 23.00	 0.303	 0.042	 13.58	 0.06	
520107	N4602   	12 40 36.9	-05 07 54	 5	102.0	 67.4	 24.56	 0.642	 0.017	 10.75	 0.03	
 28708	N4603   	12 40 55.6	-40 58 33	 5	110.5	 83.0	 23.80	 0.363	 0.015	 10.33	 0.03	
  7836	159-052 	12 40 56.2	+29 27 54	 5	 42.1	 29.7	 24.80	 0.703	 0.008	 13.23	 0.02	
  7848	315-052 	12 40 57.3	+63 31 09	 5	 56.0	 50.7	 24.53	 0.575	 0.014	 12.74	 0.05	
  7845	159-055 	12 41 16.3	+27 51 10	 4	 35.6	 28.2	 24.04	 0.747	 0.006	 14.00	 0.04	
520117	M-232023	12 41 24.0	-12 36 51	 4	 44.7	 32.5	 24.53	 0.529	 0.005	 12.56	 0.04	
  7849	N4611   	12 41 25.5	+13 43 44	 4	 36.4	 24.1	 22.82	 0.729	 0.001	 13.37	 0.03	
 28716	268 G 32	12 41 34.5	-42 54 56	 5	 28.1	 24.8	 24.91	 0.320	 0.153	 13.71	 0.04	
 28721	322 G 55	12 42 07.8	-40 49 14	 3	 51.3	 39.3	 24.23	 0.348	 0.025	 12.05	 0.03	
 28722	507 G  2	12 42 11.3	-25 25 44	 5	 24.2	 18.1	 23.73	 0.668	 0.076	 14.58	 0.05	
 28726	268 G 33	12 42 29.6	-47 33 25	 3	 58.8	 40.6	 24.27	 0.758	 0.014	 12.67	 0.03	
  7870	N4632   	12 42 32.1	-00 04 00	 5	 94.9	 68.2	 24.23	 0.588	 0.068	 10.86	 0.03	
  7874	N4633   	12 42 37.0	+14 21 20	 6	 75.6	 62.6	 23.66	 0.566	 0.031	 12.17	 0.06	*
  7873	015-001 	12 42 40.7	+01 20 43	 5	 42.2	 39.6	 24.16	 0.392	 0.027	 12.95	 0.06	
  7877	        	12 42 47.2	+27 16 17	 3	 26.4	 20.1	 24.53	 0.665	 0.030	 14.25	 0.03	
  7884	N4639   	12 42 52.4	+13 15 24	 3	 90.5	 54.5	 24.02	 0.356	 0.040	 10.44	 0.02	*
  7883	015-002 	12 42 57.2	-01 13 46	 5	 78.7	 66.0	 24.26	 0.741	 0.009	 12.34	 0.05	
520620	015-003 	12 43 02.9	-01 16 58	 5	 24.3	 19.4	 23.96	 0.268	 0.028	 13.82	 0.05	
  7893	N4642   	12 43 17.6	-00 38 41	 3	 62.6	 40.8	 23.05	 0.725	 0.028	 12.30	 0.02	
520619	        	12 43 18.4	-01 28 02	 3	 21.2	 23.6	 23.46	 0.581	 0.027	 14.99	 0.11	*
  7897	159-062 	12 43 28.7	+29 27 59	 3	 28.6	 19.1	 23.74	 0.631	 0.004	 13.65	 0.03	
  7901	N4651   	12 43 42.6	+16 23 35	 5	123.8	 81.3	 24.08	 0.325	 0.019	  9.70	 0.03	
  7899	I3704   	12 43 45.6	+10 46 11	 5	 38.9	 24.8	 23.85	 0.695	 0.028	 13.10	 0.03	
 28750	574 G 25	12 43 47.2	-20 09 18	 3	 32.7	 25.4	 24.75	 0.612	 0.008	 13.64	 0.03	
  7900	N4653   	12 43 50.8	-00 33 41	 5	 74.8	 67.9	 24.19	 0.220	 0.068	 11.33	 0.04	*
 28751	268 G 35	12 43 58.2	-45 35 41	 5	 29.9	 22.0	 24.58	 0.323	 0.015	 12.94	 0.04	
