#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-04T12:31:21 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:31:21	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/413/813/atlas3d&-out.max=99999&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74130813
#Name: J/MNRAS/413/813
#Title: ATLAS3D project. I. (Cappellari+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/413/813	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/413/813	    IVOID of underlying data collection
#INFO	creator=Cappellari M.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.413..813C	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/413/813	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74130813	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_413_813_atlas3d:
#Name: J/MNRAS/413/813/atlas3d
#Title: The Atlas^3D^ sample (E and S0) and spiral galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	T	(A1)	Simbad column added by the CDS	[ucd=meta.code;src.morph]
#Column	Gal	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SBF	(I1)	[0/2] 1 if the galaxy is in Tonry et al. (2001ApJ...546..681T) and 2 if it is in Mei et al. (2007ApJ...655..144M) or both	[ucd=meta.id]
#Column	NED-D	(I2)	Number of redshift-independent distance determinations listed in the NED-D catalogue, excluding the ones based on kinematical scaling relations	[ucd=meta.number]
#Column	Virgo	(I1)	[0/1] 1 if the galaxies is contained within a sphere of radius R=3.5Mpc from the centre of the cluster (1)	[ucd=meta.code]
#Column	Vhel	(I4)	Heliocentric velocity (2)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F4.1)	Distance (3)	[ucd=pos.distance;pos.heliocentric]
#Column	KMAG	(F6.2)	Total absolute K magnitude (4)	[ucd=phys.magAbs;em.IR.K]
#Column	AB	(F5.2)	B-band foreground galactic extinction from Schlegel et al. (1998ApJ...500..525S)	[ucd=phys.absorption]
#Column	T-type	(F4.1)	Morphological T type from HyperLeda (5)	[ucd=src.morph.type]
#Column	log(Re)	(F5.2)	Projected half-light effective radius (6)	[ucd=phys.angSize]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref]
recno	T	Gal	RAJ2000	DEJ2000	SBF	NED-D	Virgo	Vhel	Dist	KMAG	AB	T-type	log(Re)	SimbadName	NED	LEDA
     314	S	NGC0718   	028.305481	+04.195917	0	 0	0	1733	24.6	-23.23	 0.16	 1.0	 1.37	NGC0718  	NED	LEDA
     315	S	NGC0772   	029.831591	+19.007540	0	 0	0	2472	35.7	-25.59	 0.31	 3.0	 1.90	NGC0772  	NED	LEDA
     316	S	NGC0779   	029.927605	-05.964152	0	 2	0	1362	23.0	-23.75	 0.12	 3.0	 1.47	NGC0779  	NED	LEDA
     317	S	NGC0803   	030.936255	+16.030960	0	 0	0	2101	30.4	-22.61	 0.22	 5.3	 1.44	NGC0803  	NED	LEDA
     318	S	NGC0864   	033.865170	+06.002620	0	 0	0	1562	22.4	-23.24	 0.21	 5.1	 1.92	NGC0864  	NED	LEDA
     319	S	NGC0891   	035.639167	+42.349167	1	 6	0	 528	 8.1	-23.64	 0.28	 3.0	 2.01	NGC0891  	NED	LEDA
     320	S	NGC0895   	035.401958	-05.521394	0	 1	0	2288	36.6	-23.42	 0.11	 6.0	 1.66	NGC0895  	NED	LEDA
     321	S	NGC0918   	036.461667	+18.496111	0	 0	0	1507	22.5	-22.83	 1.53	 5.2	 1.67	NGC0918  	NED	LEDA
     322	S	NGC0925   	036.820469	+33.578880	0	21	0	 553	 9.1	-21.95	 0.33	 7.0	 2.15	NGC0925  	NED	LEDA
     323	S	NGC0955   	037.637962	-01.108482	0	 0	0	1487	20.8	-22.85	 0.16	 2.0	 1.18	NGC0955  	NED	LEDA
     324	S	NGC0972   	038.555771	+29.311243	0	 0	0	1543	23.7	-24.05	 0.46	 2.0	 1.44	NGC0972  	NED	LEDA
     325	S	NGC1012   	039.812347	+30.151669	0	 0	0	 987	16.3	-21.77	 0.63	 0.0	 1.47	NGC1012  	NED	LEDA
     326	S	NGC1015   	039.548187	-01.318618	0	 0	0	2629	36.3	-23.47	 0.14	 1.0	 1.35	NGC1015  	NED	LEDA
     327	S	NGC1032   	039.848667	+01.093801	0	 0	0	2694	37.4	-24.50	 0.16	 0.4	 1.37	NGC1032  	NED	LEDA
     328	S	NGC1055   	040.438469	+00.443180	0	 2	0	 994	22.1	-24.58	 0.14	 3.1	 1.83	NGC1055  	NED	LEDA
     329	S	NGC1056   	040.701195	+28.574266	0	 0	0	1545	23.7	-22.80	 0.65	 1.0	 1.13	NGC1056  	NED	LEDA
     330	S	NGC1068   	040.669880	-00.013290	0	 2	0	1137	19.0	-25.62	 0.14	 3.0	 1.52	NGC1068  	NED	LEDA
     331	S	NGC1073   	040.919159	+01.375870	0	 0	0	1208	17.2	-22.22	 0.17	 5.3	 1.94	NGC1073  	NED	LEDA
     332	S	NGC1087   	041.604889	-00.498703	0	 0	0	1517	21.2	-22.96	 0.15	 5.2	 1.64	NGC1087  	NED	LEDA
     333	S	NGC1090   	041.641315	-00.247042	0	 0	0	2760	38.2	-23.72	 0.14	 3.7	 1.60	NGC1090  	NED	LEDA
     334	S	NGC1134   	043.422256	+13.014126	0	 1	0	3640	39.3	-24.22	 0.70	 3.0	 1.35	NGC1134  	NED	LEDA
     335	S	NGC1253   	048.537689	-02.822950	0	 1	0	1713	16.0	-21.79	 0.39	 5.9	 1.71	NGC1253  	NED	LEDA
     336	S	NGC1320   	051.202942	-03.042299	0	 0	0	2663	36.6	-23.47	 0.20	 1.1	 1.15	NGC1320  	NED	LEDA
     337	S	NGC1321   	051.202389	-03.015633	0	 0	0	2848	39.1	-22.95	 0.21	 0.7	 0.94	NGC1321  	NED	LEDA
     338	S	NGC1637   	070.367622	-02.858040	0	 8	0	 717	 9.9	-22.01	 0.17	 5.0	 1.82	NGC1637  	NED	LEDA
     339	S	NGC1681   	072.958572	-05.803210	0	 0	0	2751	37.5	-22.49	 0.21	 3.0	 1.32	NGC1681  	NED	LEDA
     340	S	NGC1924   	082.008209	-05.310648	0	 1	0	2558	31.6	-23.20	 0.46	 4.0	 1.35	NGC1924  	NED	LEDA
     341	S	NGC2273   	102.536095	+60.845695	0	 1	0	1840	31.6	-24.04	 0.30	 1.0	 1.42	NGC2273  	NED	LEDA
     342	S	NGC2273A  	100.029358	+60.080662	0	 0	0	2100	33.2	-22.24	 0.35	 5.9	 1.57	UGC 3504 	NED	LEDA
     343	S	NGC2344   	108.119598	+47.166794	0	 0	0	 974	17.2	-21.95	 0.45	 4.4	 1.51	NGC2344  	NED	LEDA
     344	S	NGC2357   	109.420753	+23.356743	0	 0	0	2275	33.4	-23.01	 0.29	 5.8	 1.35	NGC2357  	NED	LEDA
     345	S	NGC2365   	110.593948	+22.083260	0	 1	0	2278	40.9	-24.07	 0.25	 1.0	 1.45	NGC2365  	NED	LEDA
     346	S	NGC2460   	119.217789	+60.349377	0	 1	0	1442	40.2	-24.51	 0.31	 1.9	 1.28	NGC2460  	NED	LEDA
     347	S	NGC2543   	123.241478	+36.254509	0	 0	0	2471	37.1	-23.44	 0.30	 3.0	 1.39	NGC2543  	NED	LEDA
     348	S	NGC2644   	130.382904	+04.980223	0	 0	0	1939	28.0	-21.89	 0.16	 4.6	 1.25	NGC2644  	NED	LEDA
     349	S	NGC2648   	130.665939	+14.285502	0	 0	0	2060	30.3	-23.76	 0.12	 1.1	 1.23	NGC2648  	NED	LEDA
     350	S	NGC2654   	132.299469	+60.221119	0	 0	0	1347	23.4	-23.40	 0.28	 2.0	 1.42	NGC2654  	NED	LEDA
     351	S	NGC2681   	133.386414	+51.313709	1	 1	0	 692	16.7	-23.68	 0.10	 0.4	 1.55	NGC2681  	NED	LEDA
     352	S	NGC2683   	133.172272	+33.421799	1	 3	0	 411	 7.5	-23.06	 0.14	 3.0	 1.75	NGC2683  	NED	LEDA
     353	S	NGC2690   	133.158508	-02.603258	0	 0	0	1607	23.1	-22.19	 0.10	 2.0	 1.20	NGC2690  	NED	LEDA
     354	S	NGC2697   	133.747467	-02.987630	0	 0	0	1824	26.0	-22.19	 0.08	-1.0	 1.22	NGC2697  	NED	LEDA
     355	S	NGC2701   	134.773834	+53.771755	0	 0	0	2326	36.3	-23.13	 0.08	 5.3	 1.50	NGC2701  	NED	LEDA
     356	S	NGC2710   	134.951416	+55.706440	0	 0	0	2526	39.1	-22.52	 0.10	 3.0	 1.31	NGC2710  	NED	LEDA
     357	S	NGC2712   	134.876907	+44.914001	0	 0	0	1815	29.0	-23.22	 0.09	 3.1	 1.48	NGC2712  	NED	LEDA
     358	S	NGC2722   	134.692398	-03.710102	0	 0	0	2760	38.6	-22.52	 0.07	 4.2	 1.22	NGC2722  	NED	LEDA
     359	S	NGC2726   	136.236908	+59.932968	0	 0	0	1518	25.7	-22.28	 0.16	 1.0	 1.25	NGC2726  	NED	LEDA
     360	S	NGC2731   	135.534973	+08.301766	0	 0	0	2583	37.0	-22.38	 0.29	 5.5	 1.16	NGC2731  	NED	LEDA
     361	S	NGC2735   	135.660980	+25.934587	0	 0	0	2450	36.5	-23.01	 0.17	 3.0	 0.99	NGC2735  	NED	LEDA
     362	S	NGC2742   	136.889694	+60.479290	0	 0	0	1289	22.6	-22.98	 0.17	 5.3	 1.65	NGC2742  	NED	LEDA
     363	S	NGC2750   	136.449554	+25.437365	0	 0	0	2674	39.4	-23.32	 0.15	 5.3	 1.57	NGC2750  	NED	LEDA
     364	S	NGC2753   	136.784286	+25.342352	0	 0	0	2783	40.9	-21.90	 0.15	 0.0	 1.13	NGC2753  	NED	LEDA
     365	S	NGC2770   	137.390091	+33.123413	0	 0	0	1947	30.2	-22.84	 0.10	 5.3	 1.57	NGC2770  	NED	LEDA
     366	S	NGC2775   	137.583801	+07.037924	0	 0	0	1354	20.5	-24.53	 0.19	 1.7	 1.64	NGC2775  	NED	LEDA
     367	S	NGC2776   	138.060547	+44.954895	0	 0	0	2626	40.0	-23.88	 0.06	 5.2	 1.53	NGC2776  	NED	LEDA
     368	S	NGC2780   	138.184860	+34.925514	0	 0	0	1979	30.8	-21.59	 0.10	 2.0	 1.27	NGC2780  	NED	LEDA
     369	S	NGC2782   	138.521332	+40.113800	0	 0	0	2543	38.6	-24.07	 0.07	 1.1	 1.39	NGC2782  	NED	LEDA
     370	S	NGC2785   	138.813858	+40.917648	0	 0	0	2622	39.7	-23.58	 0.08	 9.9	 1.07	NGC2785  	NED	LEDA
     371	S	NGC2798   	139.345642	+41.999710	0	 0	0	1726	27.8	-23.20	 0.09	 1.1	 1.13	NGC2798  	NED	LEDA
     372	S	NGC2841   	140.511063	+50.976479	0	 6	0	 638	14.5	-24.75	 0.07	 3.0	 1.90	NGC2841  	NED	LEDA
     373	S	NGC2844   	140.450104	+40.151218	0	 0	0	1486	24.6	-22.06	 0.08	 0.6	 1.08	NGC2844  	NED	LEDA
     374	S	NGC2856   	141.066696	+49.249100	0	 0	0	2638	40.4	-23.33	 0.08	 4.1	 1.15	NGC2856  	NED	LEDA
     375	S	NGC2882   	141.650513	+07.954550	0	 0	0	2153	31.5	-22.62	 0.22	 3.0	 1.36	NGC2882  	NED	LEDA
     376	S	NGC2893   	142.570618	+29.539986	0	 0	0	1699	26.9	-21.85	 0.10	 0.4	 0.97	NGC2893  	NED	LEDA
     377	S	NGC2894   	142.376038	+07.718817	0	 0	0	2146	31.4	-23.39	 0.27	 1.0	 1.15	NGC2894  	NED	LEDA
     378	S	NGC2903   	143.042130	+21.500830	0	 5	0	 556	 8.9	-23.72	 0.13	 4.0	 1.93	NGC2903  	NED	LEDA
     379	S	NGC2906   	143.026031	+08.441907	0	 0	0	2140	31.4	-23.39	 0.20	 5.9	 1.36	NGC2906  	NED	LEDA
     380	S	NGC2916   	143.739868	+21.705259	0	 1	0	3730	40.6	-23.93	 0.12	 3.1	 1.44	NGC2916  	NED	LEDA
     381	S	NGC2964   	145.726044	+31.847214	0	 0	0	1328	22.2	-23.38	 0.08	 4.0	 1.50	NGC2964  	NED	LEDA
     382	S	NGC2966   	145.547852	+04.673152	0	 0	0	2044	30.0	-22.72	 0.20	 4.2	 1.38	NGC2966  	NED	LEDA
     383	S	NGC2967   	145.513885	+00.336484	0	 0	0	1894	27.7	-23.37	 0.43	 5.2	 1.56	NGC2967  	NED	LEDA
     384	S	NGC2968   	145.800049	+31.928837	0	 0	0	1566	25.4	-23.60	 0.08	 1.9	 1.35	NGC2968  	NED	LEDA
     385	S	NGC3003   	147.150208	+33.421490	0	 0	0	1478	24.4	-22.46	 0.06	 4.3	 1.65	NGC3003  	NED	LEDA
     386	S	NGC3021   	147.737976	+33.553467	0	 2	0	1541	31.5	-23.32	 0.06	 4.0	 1.31	NGC3021  	NED	LEDA
     387	S	NGC3023   	147.469315	+00.617879	0	 0	0	1879	27.6	-21.76	 0.27	 5.5	 1.50	NGC3023  	NED	LEDA
     388	S	NGC3041   	148.279770	+16.677694	0	 0	0	1408	22.5	-23.04	 0.15	 5.4	 1.83	NGC3041  	NED	LEDA
     389	S	NGC3044   	148.420349	+01.579650	0	 0	0	1289	19.5	-22.48	 0.11	 5.7	 1.58	NGC3044  	NED	LEDA
     390	S	NGC3049   	148.706879	+09.271640	0	 0	0	1455	22.7	-21.83	 0.17	 2.5	 1.52	NGC3049  	NED	LEDA
     391	S	NGC3055   	148.825195	+04.270082	0	 0	0	1805	27.0	-22.68	 0.22	 5.3	 1.47	NGC3055  	NED	LEDA
     392	S	NGC3067   	149.587738	+32.369991	0	 0	0	1476	24.4	-23.04	 0.06	 2.1	 1.39	NGC3067  	NED	LEDA
     393	S	NGC3079   	150.491348	+55.680000	0	 0	0	1116	20.3	-24.28	 0.05	 6.7	 1.62	NGC3079  	NED	LEDA
     394	S	NGC3094   	150.357986	+15.769937	0	 0	0	2404	35.6	-23.15	 0.12	 1.0	 1.08	NGC3094  	NED	LEDA
     395	S	NGC3107   	151.093643	+13.621320	0	 0	0	2815	40.9	-22.74	 0.17	 4.0	 1.20	NGC3107  	NED	LEDA
     396	S	NGC3162   	153.381546	+22.737574	0	 0	0	1300	21.7	-22.22	 0.10	 4.6	 1.55	NGC3162  	NED	LEDA
     397	S	NGC3166   	153.440308	+03.424670	0	 0	0	1345	20.9	-24.40	 0.14	 0.3	 1.44	NGC3166  	NED	LEDA
     398	S	NGC3169   	153.562912	+03.466120	0	 0	0	1238	19.1	-24.13	 0.13	 1.2	 1.61	NGC3169  	NED	LEDA
     399	S	NGC3177   	154.142334	+21.122868	0	 0	0	1302	21.7	-22.46	 0.10	 3.0	 1.08	NGC3177  	NED	LEDA
     400	S	NGC3184   	154.570770	+41.424381	0	 2	0	 592	11.3	-23.05	 0.07	 6.0	 2.09	NGC3184  	NED	LEDA
     401	S	NGC3185   	154.410767	+21.688284	0	 0	0	1217	20.4	-22.41	 0.12	 1.1	 1.50	NGC3185  	NED	LEDA
     402	S	NGC3190   	154.523514	+21.831940	0	 4	0	1271	24.6	-24.51	 0.11	 0.9	 1.34	NGC3190  	NED	LEDA
     403	S	NGC3198   	154.979126	+45.549690	0	19	0	 663	14.5	-23.03	 0.05	 5.2	 1.89	NGC3198  	NED	LEDA
     404	S	NGC3227   	155.877533	+19.864950	0	 2	0	1157	22.4	-24.12	 0.10	 1.5	 1.80	NGC3227  	NED	LEDA
     405	S	NGC3246   	156.674026	+03.862108	0	 0	0	2154	31.8	-21.80	 0.16	 7.9	 1.45	NGC3246  	NED	LEDA
     406	S	NGC3254   	157.333008	+29.491440	0	 1	0	1355	37.8	-24.09	 0.09	 4.0	 1.62	NGC3254  	NED	LEDA
     407	S	NGC3277   	158.231079	+28.511728	0	 0	0	1408	23.9	-22.98	 0.12	 1.9	 1.33	NGC3277  	NED	LEDA
     408	S	NGC3279   	158.678299	+11.197244	0	 0	0	1394	22.9	-22.39	 0.16	 6.5	 1.23	NGC3279  	NED	LEDA
     409	S	NGC3287   	158.697113	+21.648331	0	 0	0	1306	22.2	-21.96	 0.10	 7.6	 1.50	NGC3287  	NED	LEDA
     410	S	NGC3294   	159.067780	+37.324589	0	 1	0	1586	29.5	-23.97	 0.08	 5.1	 1.61	NGC3294  	NED	LEDA
     411	S	NGC3310   	159.691071	+53.503304	0	 2	0	 993	20.2	-22.92	 0.10	 4.0	 1.20	NGC3310  	NED	LEDA
     412	S	NGC3320   	159.902176	+47.397964	0	 0	0	2331	36.5	-22.72	 0.09	 5.8	 1.31	NGC3320  	NED	LEDA
     413	S	NGC3338   	160.531448	+13.746930	0	 0	0	1302	21.9	-23.58	 0.14	 5.1	 1.81	NGC3338  	NED	LEDA
     414	S	NGC3344   	160.879791	+24.922220	0	 0	0	 586	 6.8	-21.72	 0.14	 4.0	 1.96	NGC3344  	NED	LEDA
     415	S	NGC3346   	160.912033	+14.871983	0	 0	0	1260	21.3	-22.07	 0.12	 6.0	 1.67	NGC3346  	NED	LEDA
     416	S	NGC3351   	160.990555	+11.703610	0	26	0	 778	 9.8	-23.31	 0.12	 3.1	 1.86	NGC3351  	NED	LEDA
     417	S	NGC3359   	161.653519	+63.223640	0	 1	0	1014	13.0	-21.95	 0.04	 5.2	 1.88	NGC3359  	NED	LEDA
     418	S	NGC3368   	161.690598	+11.819940	1	27	0	 897	10.1	-23.71	 0.11	 2.1	 1.80	NGC3368  	NED	LEDA
     419	S	NGC3370   	161.766830	+17.273697	0	13	0	1279	27.7	-22.80	 0.13	 5.1	 1.38	NGC3370  	NED	LEDA
     420	S	NGC3380   	162.050644	+28.601772	0	 0	0	1606	26.7	-22.22	 0.11	 1.0	 1.30	NGC3380  	NED	LEDA
     421	S	NGC3381   	162.103439	+34.711250	0	 0	0	1629	27.1	-21.86	 0.09	 2.9	 1.40	NGC3381  	NED	LEDA
     422	S	NGC3395   	162.458817	+32.982838	0	 0	0	1625	27.1	-22.22	 0.11	 5.9	 1.39	NGC3395  	NED	LEDA
     423	S	NGC3396   	162.479691	+32.990608	0	 0	0	1625	27.1	-22.40	 0.11	 9.4	 1.55	NGC3396  	NED	LEDA
     424	S	NGC3423   	162.809753	+05.840101	0	 0	0	1011	13.9	-22.18	 0.13	 6.0	 1.80	NGC3423  	NED	LEDA
     425	S	NGC3424   	162.943008	+32.900677	0	 0	0	1494	25.4	-22.99	 0.10	 3.0	 1.31	NGC3424  	NED	LEDA
     426	S	NGC3430   	163.047562	+32.950424	0	 0	0	1586	26.6	-23.24	 0.10	 5.1	 1.58	NGC3430  	NED	LEDA
     427	S	NGC3433   	163.015945	+10.148239	0	 0	0	2720	39.8	-23.33	 0.13	 5.3	 1.67	NGC3433  	NED	LEDA
     428	S	NGC3437   	163.148941	+22.934116	0	 1	0	1283	31.9	-23.65	 0.08	 5.3	 1.32	NGC3437  	NED	LEDA
     429	S	NGC3445   	163.647781	+56.990685	0	 0	0	2069	33.4	-22.01	 0.03	 8.9	 1.49	NGC3445  	NED	LEDA
     430	S	NGC3448   	163.663498	+54.305229	0	 0	0	1350	23.8	-22.42	 0.05	 0.2	 1.44	NGC3448  	NED	LEDA
     431	S	NGC3471   	164.787567	+61.530453	0	 0	0	2109	34.1	-23.08	 0.05	 1.0	 1.26	NGC3471  	NED	LEDA
     432	S	NGC3485   	165.009964	+14.841549	0	 0	0	1436	24.6	-22.50	 0.09	 3.1	 1.59	NGC3485  	NED	LEDA
     433	S	NGC3486   	165.099777	+28.974819	0	 0	0	 681	 8.6	-21.69	 0.09	 5.2	 1.76	NGC3486  	NED	LEDA
     434	S	NGC3495   	165.317368	+03.628037	0	 0	0	1130	17.2	-22.26	 0.20	 6.3	 1.64	NGC3495  	NED	LEDA
     435	S	NGC3501   	165.697113	+17.989532	0	 0	0	1130	19.4	-22.04	 0.10	 5.9	 1.22	NGC3501  	NED	LEDA
     436	S	NGC3504   	165.796631	+27.972435	0	 0	0	1534	26.1	-23.82	 0.11	 2.1	 1.39	NGC3504  	NED	LEDA
     437	S	NGC3507   	165.855820	+18.135344	0	 0	0	 979	14.3	-22.41	 0.11	 3.1	 1.75	NGC3507  	NED	LEDA
     438	S	NGC3512   	166.012451	+28.036831	0	 0	0	1376	24.2	-22.27	 0.12	 5.1	 1.42	NGC3512  	NED	LEDA
     439	S	NGC3521   	166.452469	-00.035900	0	 0	0	 801	 7.9	-23.72	 0.25	 4.0	 1.78	NGC3521  	NED	LEDA
     440	S	NGC3524   	166.633789	+11.385305	0	 0	0	1365	23.7	-22.27	 0.07	 0.1	 1.14	NGC3524  	NED	LEDA
     441	S	NGC3547   	167.483124	+10.720738	0	 0	0	1579	26.3	-21.66	 0.10	 3.2	 1.33	NGC3547  	NED	LEDA
     442	S	NGC3556   	167.879028	+55.674122	0	 2	0	 699	11.9	-23.34	 0.07	 6.0	 1.94	NGC3556  	NED	LEDA
     443	S	NGC3583   	168.545746	+48.318378	0	 1	0	2136	31.6	-24.13	 0.06	 3.1	 1.45	NGC3583  	NED	LEDA
     444	S	NGC3596   	168.775925	+14.787126	0	 0	0	1193	21.3	-22.96	 0.10	 5.2	 1.70	NGC3596  	NED	LEDA
     445	S	NGC3611   	169.375656	+04.555429	0	 1	0	1585	39.3	-23.49	 0.21	 1.0	 1.24	NGC3611  	NED	LEDA
     446	S	NGC3614   	169.589142	+45.748291	0	 0	0	2333	36.7	-23.19	 0.06	 5.2	 1.69	NGC3614  	NED	LEDA
     447	S	NGC3623   	169.733154	+13.092210	0	 0	0	 807	 7.4	-23.28	 0.11	 1.0	 1.90	NGC3623  	NED	LEDA
     448	S	NGC3625   	170.130234	+57.781326	0	 0	0	1940	31.8	-21.57	 0.06	 3.0	 1.24	NGC3625  	NED	LEDA
     449	S	NGC3627   	170.062607	+12.991290	0	30	0	 727	10.3	-24.18	 0.14	 3.1	 1.90	NGC3627  	NED	LEDA
     450	S	NGC3628   	170.070908	+13.589490	0	 0	0	 843	 8.0	-23.44	 0.12	 3.1	 1.92	NGC3628  	NED	LEDA
     451	S	NGC3629   	170.132568	+26.963408	0	 0	0	1508	26.1	-21.60	 0.08	 5.9	 1.54	NGC3629  	NED	LEDA
     452	S	NGC3631   	170.262268	+53.169430	0	 1	0	1156	24.3	-23.95	 0.07	 5.2	 1.96	NGC3631  	NED	LEDA
     453	S	NGC3633   	170.109222	+03.585485	0	 0	0	2600	38.0	-23.05	 0.27	 1.0	 1.05	NGC3633  	NED	LEDA
     454	S	NGC3642   	170.575058	+59.074242	0	 0	0	1588	27.2	-23.20	 0.05	 4.0	 1.63	NGC3642  	NED	LEDA
     455	S	NGC3652   	170.662735	+37.765038	0	 0	0	1997	32.1	-22.08	 0.09	 5.8	 1.31	NGC3652  	NED	LEDA
     456	S	NGC3655   	170.727524	+16.590174	0	 1	0	1473	24.0	-23.08	 0.11	 5.0	 1.29	NGC3655  	NED	LEDA
     457	S	NGC3659   	170.939575	+17.818575	0	 0	0	1285	24.0	-21.62	 0.08	 7.8	 1.30	NGC3659  	NED	LEDA
     458	S	NGC3666   	171.108673	+11.342012	0	 0	0	1060	15.6	-21.75	 0.14	 5.2	 1.36	NGC3666  	NED	LEDA
     459	S	NGC3669   	171.361725	+57.721165	0	 0	0	1940	31.8	-21.94	 0.07	 6.8	 1.38	NGC3669  	NED	LEDA
     460	S	NGC3675   	171.535767	+43.585918	0	 2	0	 770	20.9	-24.75	 0.09	 3.0	 1.76	NGC3675  	NED	LEDA
     461	S	NGC3679   	171.535828	-05.585975	0	 0	0	2765	39.5	-21.89	 0.18	 3.7	 1.11	NGC3679  	NED	LEDA
     462	S	NGC3681   	171.624176	+16.863222	0	 0	0	1239	23.4	-22.86	 0.11	 4.0	 1.43	NGC3681  	NED	LEDA
     463	S	NGC3683   	171.882874	+56.876709	0	 1	0	1716	33.3	-23.95	 0.07	 5.0	 1.15	NGC3683  	NED	LEDA
     464	S	NGC3683A  	172.298859	+57.132183	0	 0	0	2427	38.3	-23.30	 0.06	 5.1	 1.51	NGC3683A 	NED	LEDA
     465	S	NGC3684   	171.796555	+17.030310	0	 0	0	1163	21.6	-22.40	 0.11	 4.0	 1.47	NGC3684  	NED	LEDA
     466	S	NGC3686   	171.933090	+17.224058	0	 0	0	1156	21.4	-23.18	 0.10	 4.1	 1.66	NGC3686  	NED	LEDA
     467	S	NGC3687   	172.002365	+29.511044	0	 0	0	2507	38.4	-23.25	 0.10	 3.8	 1.38	NGC3687  	NED	LEDA
     468	S	NGC3689   	172.045853	+25.661039	0	 0	0	2739	41.2	-23.89	 0.09	 5.3	 1.37	NGC3689  	NED	LEDA
     469	S	NGC3701   	172.370422	+24.093496	0	 0	0	2796	41.9	-22.63	 0.07	 4.0	 1.37	NGC3701  	NED	LEDA
     470	S	NGC3705   	172.531067	+09.276630	0	 2	0	1018	23.6	-23.96	 0.20	 2.4	 1.57	NGC3705  	NED	LEDA
     471	S	NGC3718   	173.145584	+53.067829	0	 0	0	 993	18.8	-23.61	 0.06	 1.0	 1.74	NGC3718  	NED	LEDA
     472	S	NGC3726   	173.338226	+47.029091	0	 7	0	 866	14.7	-23.07	 0.07	 5.1	 1.96	NGC3726  	NED	LEDA
     473	S	NGC3729   	173.455505	+53.125496	0	 5	0	1060	20.9	-22.88	 0.05	 1.2	 1.66	NGC3729  	NED	LEDA
     474	S	NGC3755   	174.139008	+36.410301	0	 0	0	1570	27.0	-21.57	 0.11	 5.2	 1.41	NGC3755  	NED	LEDA
     475	S	NGC3756   	174.199890	+54.293682	0	 0	0	1318	23.6	-23.09	 0.05	 4.0	 1.69	NGC3756  	NED	LEDA
     476	S	NGC3769   	174.433777	+47.893093	0	 4	0	 737	17.2	-21.99	 0.10	 3.4	 1.46	NGC3769  	NED	LEDA
     477	S	NGC3780   	174.843216	+56.270725	0	 0	0	2399	38.0	-23.86	 0.06	 5.2	 1.63	NGC3780  	NED	LEDA
     478	S	NGC3786   	174.926971	+31.909365	0	 0	0	2678	40.8	-23.72	 0.10	 1.1	 1.31	NGC3786  	NED	LEDA
     479	S	NGC3788   	174.935822	+31.931305	0	 0	0	2699	41.1	-23.73	 0.10	 2.2	 1.21	NGC3788  	NED	LEDA
     480	S	NGC3810   	175.244736	+11.471132	0	 0	1	 992	16.5	-23.15	 0.19	 5.2	 1.59	NGC3810  	NED	LEDA
     481	S	NGC3813   	175.327728	+36.546700	0	 0	0	1465	25.7	-23.20	 0.08	 3.3	 1.43	NGC3813  	NED	LEDA
     482	S	NGC3835   	176.020309	+60.119682	0	 0	0	2466	39.0	-23.41	 0.08	 2.0	 1.26	NGC3835  	NED	LEDA
