#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:22:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:22:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VIII%2F77%2Ftable3&-out=UGC%2FAGC,OName,Sabs,e_Sabs,SNR,HRV,Tel&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8077
#Name: VIII/77
#Title: HI spectral properties of galaxies (Springob+, 2005)
#INFO	ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2005ApJS..160..149S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/77	    Dataset landing page
#INFO	publication_date=2006-06-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VIII_77_table3:
#Name: VIII/77/table3
#Title: Properties of detected galaxies derived from spectra in digital archive
#Column	UGC/AGC	(I6)	Entry number in the UGC (Cat. <VII/26>) or AGC	[ucd=meta.id;meta.main]
#Column	OName	(a8)	Other name	[ucd=meta.id]
#Column	Sabs	(F6.2)	Self-absorption corrected line flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sabs	(F6.2)	Uncertainty in Sabs	[ucd=stat.error]
#Column	SNR	(F5.1)	Ratio of peak flux to rms noise	[ucd=instr.det.noise;stat.max]
#Column	HRV	(I6)	Heliocentric velocity of the profile midpoint	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Tel	(a5)	Code indicating the telescope used (G1)	[ucd=meta.id;instr.tel]
UGC/AGC	OName	Sabs	e_Sabs	SNR	HRV	Tel
  5850	N3351   	 53.77	  2.79	 32.0	   779	GB140
201587	124-062 	  1.17	  0.16	  6.8	  5901	AOlf
500190	N3361   	 13.13	  0.70	 10.8	  1914	GB140
  5855	125-001 	  5.02	  0.58	 11.7	  6253	AOlf
  5858	095-010 	  4.18	  0.44	 34.4	  6481	AOlf
  5857	N3362   	  5.72	  0.62	 13.9	  8318	AOlf
  5841	351-036 	  4.41	  0.62	 11.0	  1888	GB300
  5864	066-007 	  2.51	  0.28	 11.3	 10004	AOlf
 27513	569 G  3	  8.95	  0.99	 21.8	  3735	Nanc
200566	066-009 	  1.15	  0.12	 10.0	 10062	AOlf
200569	066-010 	  1.42	  0.16	  8.9	 10450	AOlf
  5878	N3365   	 56.21	  4.05	 17.6	   986	GB140
  5880	N3367   	 20.80	  2.67	 44.8	  3039	AOlf
  5873	N3359   	213.96	 10.13	 57.7	  1014	GB140
  5882	N3368   	103.37	  4.45	 36.1	   888	GB140
  5887	N3370   	 35.50	  4.97	 51.0	  1281	AOlf
  5897	066-015 	 17.38	  2.40	 35.3	  2716	AOlf
  5888	267-014 	  7.41	  0.82	 15.8	  1239	GB300
  5901	N3374   	  4.42	  0.47	  9.7	  7492	GB300
200583	095-023 	  1.19	  0.15	  7.1	  6569	AOlf
200584	066-019 	  1.65	  0.19	 10.0	  9417	AOlf
  5906	N3380   	  2.85	  0.32	 14.6	  1604	AOlf
200585	066-020 	  1.83	  0.23	  5.9	  5493	AOlf
  5909	N3381   	 16.39	  2.08	 31.1	  1630	AOlf
  5910	212-059 	  4.87	  0.58	 12.1	  7638	GB300
  5914	N3389   	 27.43	  3.82	 35.7	  1305	AOlf
 27540	569 G  9	  7.72	  0.66	  5.6	  3815	GB140
  5890	N3364   	  8.04	  0.94	  8.7	  2728	GB300
200600	066-024 	  1.50	  0.18	  9.7	  1946	AOlf
  5931	N3395   	 25.24	  2.80	 29.4	  1617	AOlf
  5935	N3396   	 27.56	  4.43	 40.4	  1660	AOlf
200616	066-032 	  1.08	  0.13	  6.3	 10112	AOlf
  5943	010-032 	  3.87	  0.43	 10.6	  4546	AOlf
500203	N3409   	  3.46	  0.41	  6.8	  6153	Nanc
200627	066-036 	  1.81	  0.19	 15.9	  8070	AOlf
  5937	N3394   	  8.39	  0.93	 12.3	  3389	GB300
200632	I 648   	  2.48	  0.26	 13.6	 10698	AOlf
  5951	FGC1888 	  5.49	  0.73	 10.5	  7133	AOlf
  5958	155-028 	  2.80	  0.38	  8.9	  1182	AOlf
  5965	066-042 	 15.13	  2.06	 33.4	  3075	AOlf
 27566	569 G 14	 38.58	  4.90	 15.1	  2054	Nanc
  5968	N3428   	  5.37	  0.59	 19.9	  8022	AOlf
  5974	038-032 	 21.49	  2.56	 70.4	  1039	AOlf
  5969	N3415   	  2.08	  0.27	  7.1	  3318	GB300
200639	066-047 	  1.51	  0.16	 13.3	  6654	AOlf
  5976	267-022 	  6.91	  0.69	 26.3	  1210	GB300
  5985	I 653   	  4.18	  0.60	  4.7	  5561	AOlf
  5982	N3430   	 98.47	  3.87	 18.4	  1585	GB140
  5994	066-053 	  6.99	  1.02	 13.4	  6387	AOlf
  5995	N3437   	 25.48	  3.52	 19.7	  1277	AOlf
 27577	569 G 15	  3.30	  0.51	  4.4	  3816	GB140
 27580	N3449   	 25.46	  2.02	  5.8	  3276	GB140
  6004	N3444   	  6.50	  0.89	 15.4	  9397	AOlf
  6000	N3443   	 22.93	  2.98	 57.9	  1132	AOlf
  6001	N3442   	  2.98	  0.30	 18.8	  1734	AOlf
500213	M-128004	  7.89	  0.96	  6.5	  2462	Nanc
 27584	437 G 69	  1.92	  0.22	 10.3	  3426	Nanc
  6012	M+526026	  3.30	  0.42	 11.9	  6342	AOlf
  6009	N3440   	 25.68	  2.76	 14.5	  1907	GB300
  5997	N3403   	 56.93	  2.57	 21.1	  1261	GB140
500216	N3456   	 19.29	  0.73	 13.3	  4205	GB140
  6023	N3451   	  8.85	  1.02	 16.9	  1332	AOlf
  6026	N3454   	  7.20	  0.97	 17.9	  1101	AOlf
200662	066-060 	  3.31	  0.37	  9.8	  9482	AOlf
  6028	N3455   	 23.54	  3.25	 50.3	  1105	AOlf
200663	066-061 	  2.19	  0.24	  9.2	  9436	AOlf
  6021	N3445   	 23.27	  2.30	 43.9	  2007	GB300
 27596	N3464   	 19.32	  1.10	  9.7	  3737	GB140
  6025	N3435   	 11.19	  1.17	 14.4	  5159	GB300
200665	095-066 	  1.98	  0.21	 11.5	  9965	AOlf
200670	066-062 	  3.06	  0.33	  9.2	  8115	AOlf
200673	095-067 	  2.11	  0.25	  7.2	 16629	AOlf
200680	2MASS   	  0.63	  0.08	  4.6	  9680	AOlf
200688	038-054 	  0.59	  0.14	  3.3	  1041	AOlf
 27604	437 G 72	  3.89	  0.46	  9.7	  3335	Nanc
  6042	N3466   	  2.75	  0.29	  9.5	  9831	AOlf
200696	066-066 	  2.20	  0.23	 11.3	  9480	AOlf
200728	066-072 	  1.20	  0.13	 13.0	 10447	AOlf
500227	M-128011	  5.18	  0.66	  5.4	  6678	Nanc
  6054	095-082 	  6.50	  0.85	 59.2	  4162	AOlf
201865	        	  2.08	  0.27	  6.6	  6678	AOlf
  6058	N3475   	  5.76	  0.67	  7.9	  6426	AOlf
201702	125-019 	  3.06	  0.35	  8.1	  6107	AOlf
200756	066-077 	  2.01	  0.26	  7.3	 10284	AOlf
500230	N3479   	  3.66	  0.42	  7.0	  4534	Nanc
  6064	N3471   	  4.53	  0.47	 14.4	  2145	GB300
  6069	N3478   	  7.15	  0.83	  9.2	  6675	GB300
  6056	N3465   	  3.52	  0.43	  9.8	  7171	GB300
200784	A1142-53	  0.76	  0.10	  6.3	 10368	AOlf
  6078	066-082 	  1.99	  0.22	 11.2	  6276	AOlf
200802	A1142-24	  1.36	  0.15	  7.9	 10027	AOlf
200803	066-081 	  1.06	  0.12	 10.0	 11017	AOlf
  6083	095-087 	  5.98	  0.78	 17.0	   948	AOlf
200805	A1142-3 	  2.03	  0.24	 10.9	  9293	AOlf
  6079	N3486   	137.90	  5.59	 55.4	   678	GB140
  6086	066-086 	  3.52	  0.42	 15.0	  9308	AOlf
  6091	066-090 	  4.90	  0.53	 15.0	 10715	AOlf
  6080	291-020 	  5.55	  0.70	 10.2	  2178	GB300
200817	A1142-56	  1.28	  0.14	 13.4	  8177	AOlf
  6098	N3495   	 41.65	  2.88	 13.3	  1128	GB140
  6096	N3488   	  8.95	  0.98	 11.8	  2995	GB300
200832	066-099a	  4.07	  0.42	 13.4	 10740	AOlf
  6102	155-045 	  7.04	  0.69	 21.4	   699	AOff
  6104	095-093 	  9.17	  1.04	 24.7	  2949	AOlf
201745	125-021 	  1.39	  0.17	  7.0	  6285	AOlf
200844	066-102 	  3.17	  0.31	 23.3	 14110	AOlf
200845	066-101 	  2.67	  0.29	 11.6	 10416	AOlf
 27657	569 G 32	  3.46	  0.39	 10.9	  3826	Nanc
  6106	241-062 	  3.18	  0.41	  8.3	  6659	GB300
200855	A1142-26	  1.86	  0.20	 11.3	 11329	AOlf
200858	A1142-7 	  0.53	  0.07	  5.9	 10683	AOlf
  6116	N3501   	 28.69	  4.94	 75.8	  1130	AOlf
  6113	        	  4.84	  0.18	 17.9	   949	GB140
 27669	502 G 12	 13.03	  0.75	  7.5	  3619	GB140
  6105	N3523   	  5.23	  0.65	  7.2	  7122	GB300
510003	M-328033	  5.36	  0.61	  8.1	  8073	Nanc
  6126	N3510   	 60.69	  3.94	 23.8	   704	GB140
  6128	N3512   	  8.04	  0.87	 31.0	  1373	AOlf
  6127	241-067 	  5.35	  0.59	 10.8	  7198	GB300
210023	066-109 	  2.39	  0.28	 16.1	   778	AOlf
  6139	N3515   	  8.26	  0.81	 44.4	  8717	AOlf
210027	UA225   	  1.11	  0.13	 14.0	   646	AOlf
  6150	N3521   	338.09	 27.51	 47.8	   799	GB140
 27689	570 G  2	  9.99	  0.57	  8.8	  3538	GB140
510008	M-128024	  6.54	  0.71	  7.5	  7208	Nanc
  6152	155-061 	  3.39	  0.38	 12.6	  8928	AOlf
212545	        	  0.31	  0.06	  3.7	  6591	AOlf
210048	066-111 	  1.30	  0.15	  7.7	  9364	AOlf
  6161	213-029 	 29.17	  1.02	 23.0	   756	GB140
  6160	155-063 	  2.94	  0.50	  4.6	  9315	AOlf
  6162	267-041 	 18.87	  0.99	  9.4	  2209	GB140
  6167	N3526   	 12.75	  1.57	 37.6	  1419	AOlf
 27711	502 G 18	  1.59	  0.30	  4.4	  1390	GB140
210059	066-116 	  2.39	  0.28	  8.3	 13570	AOlf
210063	067-003 	  0.92	  0.11	  7.3	  9068	AOlf
210064	067-004 	  0.59	  0.08	  5.1	 12794	AOlf
  6182	267-043 	 13.13	  1.43	 16.3	  1222	GB300
210066	        	  1.23	  0.15	  8.2	 10234	AOlf
210068	067-007 	  0.75	  0.11	  5.2	 11190	AOlf
210072	067-009 	  2.12	  0.26	  6.2	 12249	AOlf
210073	067-008 	  2.03	  0.25	  5.5	 12076	AOlf
  6187	241-085 	  4.13	  0.49	  9.7	  6182	GB300
211086	K1105+11	  1.50	  0.20	  7.1	 11070	AOlf
210080	N3539   	  3.50	  0.38	 11.1	  9707	AOlf
210082	067-014 	  3.04	  0.31	 21.9	  1555	AOlf
210084	067-013 	  1.49	  0.19	  7.4	  7862	AOlf
210092	067-016 	  0.78	  0.10	  6.9	 11326	AOlf
210096	067-015 	  1.19	  0.15	  6.7	  8886	AOlf
  6199	314-010 	  9.84	  1.04	 15.3	  4778	GB300
 27732	I2627   	 23.28	  0.65	 53.7	  2090	GB140
  6209	N3547   	 12.34	  1.48	 25.1	  1584	AOlf
  6205	241-088 	  7.32	  0.77	 14.2	  1409	GB300
  6216	039-042 	  5.40	  0.67	 12.9	  5796	AOlf
  6217	N3559   	  5.94	  0.61	 20.0	  3250	AOlf
510016	M-229008	 10.48	  1.06	 15.5	  3930	Nanc
  6215	N3549   	 25.91	  1.52	 11.8	  2855	GB140
  6225	N3556   	198.48	 14.50	 46.0	   696	GB140
  6229	M114010 	  2.83	  0.36	 12.1	  4720	GB300
  6228	219-038 	  8.27	  0.87	 18.3	  3054	GB300
210148	067-029 	  0.87	  0.12	  7.1	 13857	AOlf
210150	067-031 	  1.02	  0.13	  5.5	 10326	AOlf
210154	K1109+08	  3.28	  0.46	 11.1	  3309	AOlf
211087	K1109+32	  3.14	  0.40	  7.8	 11163	AOlf
  6246	126-006 	  7.89	  1.00	 13.8	  6337	AOlf
  6249	291-040 	 13.84	  1.37	 46.0	  1059	GB300
211088	K1110+07	  1.47	  0.19	  7.8	  7911	AOlf
211089	K1110+09	  1.68	  0.23	  6.6	  8785	AOlf
  6257	N3577   	  3.71	  0.47	  9.3	  5334	GB300
  6262	I 677   	  7.99	  0.89	 18.6	  3250	AOlf
211090	K1111+28	  2.08	  0.30	  4.6	  8700	AOlf
  6267	N3592   	  4.97	  0.63	 20.8	  1303	AOlf
  6266	M+723035	  2.91	  0.36	  8.9	  2199	GB300
  6272	N3593   	 18.74	  3.66	 67.6	   622	AOlf
210180	I2648   	  1.15	  0.13	  8.1	 13967	AOlf
 27792	438 G 15	 15.40	  1.17	  6.0	  3367	GB140
  6277	N3596   	 33.80	  0.84	 23.7	  1193	GB140
  6275	N3589   	  5.98	  0.68	 11.0	  1969	GB300
210191	I2661   	  2.27	  0.28	  7.2	  7385	AOlf
  6290	I2674   	  4.88	  0.54	 11.6	  5881	AOlf
  6294	        	  1.91	  0.26	 10.0	  8158	AOlf
 27812	377 G 34	 21.07	  2.11	  5.3	  2620	GB140
  6301	126-017 	  7.70	  1.00	  9.3	  9737	AOlf
  6306	        	  4.92	  0.53	 32.7	  1755	AOlf
  6305	N3611   	 16.84	  2.47	 17.0	  1565	AOlf
  6309	268-016 	  3.68	  0.45	  8.0	  2878	GB300
210228	I2698   	  0.80	  0.10	  8.6	  5993	AOlf
  6311	011-046 	  4.91	  0.58	  7.8	  7399	GB300
  6318	N3614   	 37.36	  1.80	 13.2	  2329	GB140
  6325	126-024 	  8.11	  0.93	 21.6	  7547	AOlf
  6328	N3623   	 33.55	  2.65	 10.8	   803	GB140
210251	I2718   	  1.54	  0.18	  9.1	 10104	AOlf
  6330	N3619   	  7.03	  0.73	 11.9	  1544	GB300
  6335	291-055 	 10.98	  1.13	 27.5	  2926	GB300
  6340	011-059 	  7.39	  0.89	 12.1	  7386	AOlf
  6338	185-038 	  3.09	  0.36	 11.9	  7557	AOlf
  6343	N3626   	 10.25	  1.43	 19.6	  1494	AOlf
  6339	N3622   	 13.00	  1.32	 19.9	  1311	GB300
  6346	N3627   	 60.88	  3.64	 15.8	   722	GB140
  6350	N3628   	344.38	 34.80	 50.7	   846	GB140
  6344	Maily62 	  9.39	  1.03	 11.8	  1947	GB300
211137	K1117+06	  2.14	  0.27	 13.7	  6192	AOlf
  6348	N3625   	 16.54	  1.80	 12.4	  1944	GB300
  6352	N3629   	 28.88	  3.38	 72.3	  1507	AOlf
  6355	156-065 	 12.38	  1.67	 22.8	  2182	AOlf
  6357	        	  1.92	  0.26	  7.0	 10555	AOlf
  6376	N3646   	 41.79	  1.83	 10.1	  4246	GB140
  6379	        	  4.30	  0.44	 12.6	  2586	AOlf
210267	067-061 	  1.50	  0.17	  6.8	 15401	AOlf
  6384	M+625053	  4.69	  0.67	  8.9	  2032	AOlf
  6383	213-042 	  5.29	  0.60	  9.8	  3162	GB300
  6378	334-028 	 14.62	  1.64	 17.4	  1307	GB300
  6385	N3642   	 86.87	  9.48	148.4	  1585	GB300
210277	I2762   	  2.69	  0.30	 11.3	  4183	AOlf
  6387	I2763   	  3.54	  0.57	 15.1	  1573	AOlf
  6392	N3652   	 17.09	  1.80	 17.6	  1992	Effs
210288	I2776   	  4.84	  0.51	 36.5	  4151	AOlf
  6390	314-022 	 15.90	  1.92	  9.6	  1009	GB300
  6396	N3655   	 16.77	  1.80	 24.3	  1500	AOlf
  6401	I2787   	  1.09	  0.12	 14.2	   883	AOlf
510052	N3660   	 28.94	  3.09	 12.4	  3677	Nanc
  6403	N3656   	  5.27	  0.81	  4.7	  2870	GB300
  6408	N3662   	  4.37	  0.53	  6.7	  5634	AOlf
  6405	N3659   	 27.32	  3.13	 78.7	  1299	AOlf
510055	N3663   	  9.05	  1.00	  9.0	  5014	Nanc
  6406	N3657   	 32.19	  3.14	 40.8	  1204	GB300
211051	        	  0.44	  0.08	  4.0	  9764	AOlf
  6414	        	  4.52	  0.65	 12.0	  7677	AOlf
  6415	156-071 	  5.59	  0.73	 16.8	  9969	AOlf
210304	011-090 	  2.69	  0.31	  9.3	  7914	AOlf
  6416	        	  5.32	  0.70	 10.2	  1933	GB300
  6420	N3666   	 58.81	  3.38	 41.8	  1060	GB140
510058	M-229027	 12.57	  1.30	 11.3	  5386	Nanc
  6428	        	  4.00	  0.53	  8.6	  2017	GB300
510059	N3672   	 67.01	  2.89	 16.5	  1871	GB140
 27880	N3673   	 19.58	  1.13	 10.8	  1940	GB140
  6430	N3668   	  3.79	  0.48	  6.8	  3428	GB300
  6436	I2810   	  2.37	  0.27	  8.5	 10252	AOlf
  6437	096-042 	  6.16	  0.66	 31.0	  5332	AOlf
  6439	N3675   	 66.47	  3.10	 21.3	   770	GB140
210325	156-074 	  1.18	  0.13	  9.5	  9965	AOlf
  6442	039-181 	  6.14	  0.89	 10.3	  6308	AOlf
  6441	N3677   	  2.87	  0.39	  5.4	  7539	GB300
210329	I2819   	  1.91	  0.37	  4.0	 12294	AOlf
  6449	I2822   	 10.62	  1.18	 39.0	  3205	AOlf
  6446	268-036 	 36.49	  1.35	 23.3	   646	GB140
210339	I2826   	  2.26	  0.22	 71.8	  6032	AOlf
  6458	N3683   	  9.28	  1.01	 11.5	  1708	GB300
 27904	439 G 10	  3.18	  0.44	  5.0	  7185	Nanc
  6459	N3682   	  2.60	  0.36	  7.4	  1507	GB300
510066	M-129023	  6.13	  0.70	  9.9	   970	Nanc
210350	I2843   	  4.07	  0.40	 34.2	  6126	AOlf
210353	I2846   	  0.52	  0.08	  4.6	 12289	AOlf
210352	156-079 	  1.54	  0.17	 15.5	  9660	AOlf
  6467	N3689   	  5.39	  0.60	 10.5	  2737	AOlf
  6470	I2853   	  5.74	  0.60	 12.1	  6304	AOlf
  6474	N3692   	 16.13	  1.21	  9.9	  1717	GB140
210355	156-081 	  0.94	  0.11	 10.2	 10044	AOlf
  6475	I2857   	 12.55	  1.72	 20.3	  6313	AOlf
  6472	N3690   	  9.99	  1.21	 10.9	  3119	GB300
211061	A1267-  	  1.61	  0.22	  8.4	 10223	AOlf
210368	I2867   	  3.66	  0.37	 13.7	  6296	AOlf
  6483	096-054 	 15.51	  2.21	 21.7	  3894	AOlf
  6485	I 699   	  3.14	  0.41	  5.2	  6220	AOlf
  6484	N3683A  	 19.32	  1.96	 16.4	  2430	GB300
  6493	N3701   	 26.05	  3.01	 41.0	  2805	AOlf
210377	156-086 	  0.76	  0.09	  8.6	  9880	AOlf
  6498	N3705   	 62.35	  2.80	 25.3	  1018	GB140
  6497	M+724015	  9.58	  1.23	  9.0	  6325	GB300
210391	I2887   	  3.04	  0.38	  9.5	  6138	AOlf
  6501	M1017008	  2.44	  0.35	  7.2	  3199	GB300
  6507	185-077 	  8.78	  1.08	 28.8	  6307	AOlf
  6508	156-091 	  1.71	  0.21	  6.2	  9880	AOlf
  6509	M+427054	 13.21	  1.87	 30.2	  2915	AOlf
  6510	011-114 	 16.40	  1.63	 23.5	  4748	GB300
510082	N3715   	  4.88	  0.42	  7.0	  2119	GB140
  6519	012-006 	  3.50	  0.45	  9.0	  5801	AOlf
  6520	314-030 	 10.17	  1.08	 13.5	  3644	GB300
210432	097-005 	  3.59	  0.37	 11.7	  6129	AOlf
510089	M-230003	  2.94	  0.38	  5.9	  6413	Nanc
  6534	314-032 	 18.00	  1.22	  9.9	  1273	GB140
  6537	N3726   	100.00	  3.80	 29.6	   864	GB140
  6539	185-083 	  5.59	  0.68	 14.6	  6267	AOlf
211092	K1130+10	  1.33	  0.18	  8.5	  6311	AOlf
510090	FGC1272 	  6.67	  0.72	 12.9	  3660	Nanc
  6542	N3725   	  4.43	  0.53	 10.9	  3321	GB300
  6544	126-093 	  2.97	  0.32	 13.8	  7150	AOlf
210454	I2930   	  0.88	  0.12	  6.8	  9166	AOlf
  6547	N3729   	 57.15	  2.16	 16.4	   991	GB140
  6551	M+626002	  5.37	  0.67	 13.6	  6438	AOlf
510097	M-130002	  6.00	  0.70	  7.9	  5016	Nanc
  6552	334-040 	  7.20	  0.78	 13.5	  2808	GB300
  6556	097-015 	  4.51	  0.58	 13.8	  5440	AOlf
  6554	N3733   	 65.34	  2.93	 24.0	  1184	GB140
  6559	097-016 	  9.25	  1.36	 22.4	  5121	AOlf
211072	UA240   	  3.06	  0.20	  6.7	  2325	GB140
  6564	N3739   	  6.58	  0.76	 13.4	  9604	AOlf
  6566	M1017020	 10.74	  1.27	  8.7	  1240	GB300
  6567	N3735   	 34.68	  2.53	 10.1	  2696	GB140
 27974	571 G  7	  4.50	  0.61	  5.5	  3579	GB140
  6572	N3741   	 46.96	  4.52	103.8	   230	GB300
210497	I2941   	  2.64	  0.28	 12.4	  6222	AOlf
  6575	292-009 	 17.82	  1.91	 23.0	  1217	GB300
210507	157-001 	  5.33	  0.53	 74.6	  9925	AOlf
  6577	N3755   	 42.45	  2.27	 11.1	  1571	GB140
  6578	012-040 	  7.23	  0.74	 10.9	  1105	AOlf
  6579	N3756   	 29.60	  1.38	 16.9	  1289	GB140
510106	M-230010	  6.16	  0.76	  7.5	  5034	Nanc
210514	097-027 	  4.70	  0.50	 10.6	  6411	AOlf
  6583	097-026 	  6.24	  0.63	 12.5	  6192	AOlf
210517	068-010 	  1.97	  0.21	  9.7	 10343	AOlf
  6582	268-065 	  1.31	  0.28	  5.0	  5763	GB300
  6586	097-028 	 14.03	  1.69	 25.3	  3959	AOlf
210519	N3765   	  2.40	  0.25	  8.9	 10204	AOlf
  6588	097-029 	  4.53	  0.57	 11.7	  4038	AOlf
210529	097-033 	  1.67	  0.19	 13.3	  7737	AOlf
210530	068-012 	  1.80	  0.22	  6.6	 14912	AOlf
  6594	097-032 	 19.14	  2.90	 36.5	  1040	AOlf
  6595	N3769   	 59.70	  6.06	 59.1	   721	GB300
  6596	268-066 	  6.77	  0.73	 13.8	  2277	GB300
210538	        	  1.00	  0.13	  7.7	  6196	AOlf
  6603	186-014 	 12.00	  1.59	 24.4	  1627	AOlf
510118	M-230011	  7.74	  0.91	  6.9	  5127	Nanc
  6607	127-014 	  7.55	  0.81	 27.0	  3359	AOlf
  6608	012-046 	  4.67	  0.53	 10.0	  6237	AOlf
  6610	186-017 	 15.74	  2.14	 27.3	  1853	AOlf
210550	068-015 	  1.61	  0.19	  8.0	 12763	AOlf
 28007	571 G 12	  2.59	  0.33	  6.0	  6625	Nanc
210559	        	  3.34	  0.38	 22.2	  6825	AOlf
210565	127-016 	  1.16	  0.17	  4.7	  7769	AOlf
  6616	292-015 	 16.51	  0.65	 15.2	  1147	GB140
  6615	N3780   	 19.66	  1.96	 23.2	  2387	GB300
210570	097-041 	  1.37	  0.14	 14.2	  6778	AOlf
  6619	292-016 	 12.20	  1.46	  8.1	  3480	GB300
  6621	N3786   	 12.47	  1.50	 14.8	  2735	AOlf
  6623	N3788   	 15.92	  1.84	 18.4	  2685	AOlf
210578	127-020 	  1.10	  0.15	  6.2	  3721	AOlf
211143	        	  1.88	  0.22	 16.6	  6622	AOlf
210582	068-020 	  4.50	  0.59	 13.5	 10269	AOlf
  6629	N3795   	  9.58	  1.17	  8.3	  1213	GB300
  6643	N3808   	  3.74	  0.41	 17.0	  7076	AOlf
211146	        	  1.72	  0.20	 12.0	  6628	AOlf
210593	186-023 	  5.30	  0.38	  5.8	  1542	GB140
  6640	N3804   	 21.28	  0.90	 12.5	  1383	GB140
  6644	N3810   	 52.80	  1.61	 31.2	   993	GB140
 28033	571 G 15	  8.13	  0.96	  5.3	  7088	GB140
  6650	N3811   	 17.75	  1.00	  8.0	  3086	GB140
  6651	N3813   	 25.97	  3.06	 18.7	  1468	AOlf
  6661	N3822   	  3.83	  0.42	 10.5	  6264	AOlf
210621	097-064 	  0.82	  0.10	  9.4	  5976	AOlf
210622	097-062 	  1.33	  0.15	 12.6	  7815	AOlf
  6669	        	  6.12	  0.62	 18.4	  1021	AOff
210629	097-068 	  5.22	  0.53	 24.9	  5974	AOlf
  6667	268-071 	 10.29	  0.98	  7.2	   976	GB140
210633	I 722   	  2.83	  0.31	 13.5	  6535	AOlf
210634	097-072 	  0.75	  0.08	 10.8	  6332	AOlf
  6675	N3901   	  8.07	  0.91	 10.3	  1709	GB300
  6681	127-035 	  3.24	  0.38	  8.3	  6819	AOlf
510136	M-230021	  5.19	  0.64	  6.5	  4787	Nanc
210646	097-079 	  0.78	  0.09	  6.4	  7044	AOlf
210649	068-041 	  0.40	  0.06	  4.9	 19862	AOlf
211093	K1140+11	  3.93	  0.46	 17.8	  6104	AOlf
210652	068-042 	  3.79	  0.44	 16.4	  6096	AOlf
  6692	N3833   	 13.35	  1.46	 26.4	  6060	AOlf
210658	        	  4.39	  0.52	 28.2	  3229	AOlf
  6695	I 724   	  6.05	  0.79	 11.4	  5966	AOlf
  6697	097-087 	  4.93	  0.61	 22.1	  6725	AOlf
  6702	N3840   	  3.27	  0.34	 18.7	  7368	AOlf
  6703	N3835   	  7.23	  0.81	 11.6	  2453	GB300
210690	097-102a	  0.74	  0.10	  6.4	  6364	AOlf
  6715	I 727   	  6.75	  0.89	 10.9	  6128	AOlf
210714	068-052 	  3.56	  0.46	  7.8	  6188	AOlf
  6719	097-121 	  1.27	  0.15	 10.3	  6571	AOlf
  6721	N3859   	  1.37	  0.17	  8.6	  5468	AOlf
210727	097-125 	  1.57	  0.17	  9.9	  8271	AOlf
210735	040-039 	  3.62	  0.44	 13.8	  5901	AOlf
  6724	N3861   	 10.13	  1.27	 16.6	  5085	AOlf
  6722	N3863   	 19.83	  2.82	 39.7	  4491	AOlf
210738	127-046 	  1.15	  0.15	  8.8	  7831	AOlf
210746	097-132 	  0.73	  0.11	  6.5	  3333	AOlf
210753	068-058 	  2.22	  0.23	 18.4	  9298	AOlf
  6734	068-057 	  5.96	  0.75	 11.7	  6269	AOlf
210752	I2957   	  2.38	  0.24	 11.2	  1816	AOlf
 28071	440 G  4	 25.56	  1.29	 14.9	  1844	GB140
  6736	040-041 	 11.16	  1.33	 12.9	  5993	AOlf
  6742	N3870   	  6.38	  0.65	 17.4	   754	GB300
211216	K1143+13	  2.00	  0.27	  6.8	  3290	AOlf
  6745	N3877   	 27.29	  2.06	 11.3	   895	GB140
211094	K1143+34	  2.54	  0.36	  4.2	  9347	AOlf
  6746	N3884   	  2.80	  0.35	  8.2	  6946	AOlf
 28077	504 G 14	  1.51	  0.40	  3.9	  1643	GB140
210771	186-045 	  1.12	  0.15	  4.5	  1412	AOlf
  6751	127-053 	  8.31	  0.92	 39.3	  6397	AOlf
  6753	097-146 	  2.71	  0.30	 13.7	  3152	AOlf
510148	M-130034	  8.52	  0.93	 16.4	  5279	GB300
210779	068-064 	  2.04	  0.22	 10.5	  3165	AOlf
510149	N3887   	 48.81	  1.37	 28.1	  1208	GB140
  6762	292-029 	  1.44	  0.26	  5.7	  3570	GB300
210789	097-151 	  0.79	  0.11	  9.1	  5855	AOlf
210791	097-152 	  1.53	  0.19	 10.6	  6166	AOlf
