#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F534%2FA109%2Fmcxc&-out.max=unlimited&-out.all=	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35340109
#Name: J/A+A/534/A109
#Title: MCXC Meta-Catalogue X-ray galaxy Clusters (Piffaretti+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	creator=Piffaretti R.	    First author or institution
#INFO	cites=bibcode:2011A&A...534A.109P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/534/A109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35340109	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_534_A109_mcxc:
#Name: J/A+A/534/A109/mcxc
#Title: MCXC catalogue (table2 of the paper)
#Column	MCXC	(A12)	MCXC name (JHHMM.m+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	L500	(F9.6)	X-ray luminosity in 10^44^erg/s (1)	[ucd=phys.luminosity;em.X-ray]
#Column	M500	(F7.4)	Total mass (1)	[ucd=phys.mass]
#Column	R500	(F7.4)	Characteristic radius (1)	[ucd=phys.size.radius]
#Column	Notes	(a42)	Notes (losStr = line of sight structure)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
MCXC	OName	RAJ2000	DEJ2000	z	L500	M500	R500	Notes	Simbad
J1257.2-3022	RXCJ1257.2-3022   	12 57 16.9	-30 22 37	 0.0554	 1.323277	 2.3354	 0.9201	B,GR5                                     	Simbad
J1257.3+6930	RXC J1257.3+6930  	12 57 20.1	+69 30 23	 0.2270	 2.162318	 2.7816	 0.9200	                                          	Simbad
J1258.6-0145	RXCJ1258.6-0145   	12 58 41.1	-01 45 25	 0.0845	 3.470646	 4.1213	 1.1015	                                          	Simbad
J1258.8-2640	RXCJ1258.8-2640   	12 58 49.8	-26 40 03	 0.0767	 0.729269	 1.6005	 0.8057	                                          	Simbad
J1259.3-0411	RXCJ1259.3-0411   	12 59 21.5	-04 11 41	 0.0845	 3.853573	 4.3928	 1.1252	                                          	Simbad
J1259.7+2756	RXC J1259.7+2756  	12 59 43.1	+27 56 19	 0.0231	 3.455556	 4.2846	 1.1378	L                                         	Simbad
J1259.7-3237	RX J1259.7-3236   	12 59 45.5	-32 37 00	 0.0760	 0.093313	 0.4571	 0.5307	                                          	Simbad
J1259.8+3120	BVH2007 164       	12 59 50.9	+31 20 48	 0.0523	 0.055210	 0.3373	 0.4832	                                          	Simbad
J1301.6-0650	RXCJ1301.6-0650   	13 01 36.3	-06 50 00	 0.0898	 0.731062	 1.5884	 0.8002	                                          	Simbad
J1301.7+1059	BVH2007 165       	13 01 43.4	+10 59 35	 0.2310	 0.610851	 1.2830	 0.7098	                                          	Simbad
J1302.8-0230	RXCJ1302.8-0230   	13 02 50.7	-02 30 22	 0.0847	 0.739347	 1.6050	 0.8043	                                          	Simbad
J1303.0+5756	RXC J1303.0+5756  	13 03 02.7	+57 56 31	 0.1961	 1.490356	 2.2697	 0.8692	                                          	Simbad
J1303.7-2415	RXCJ1303.7-2415   	13 03 44.0	-24 15 03	 0.1288	 3.566213	 4.0606	 1.0801	                                          	Simbad
J1303.7+1916	RXC J1303.7+1916  	13 03 45.6	+19 16 17	 0.0643	 0.937582	 1.8814	 0.8537	                                          	Simbad
J1304.2-3030	RXCJ1304.2-3030   	13 04 16.7	-30 30 55	 0.0117	 0.027264	 0.2254	 0.4278	L                                         	Simbad
J1304.4+3335	RXC J1304.4+3335  	13 04 27.5	+33 35 31	 0.1882	 2.635054	 3.2319	 0.9806	                                          	Simbad
J1305.9-3739	RXCJ1305.9-3739   	13 05 54.5	-37 39 41	 0.0497	 0.455873	 1.2242	 0.7432	DB,two maxima/NE-SW                       	Simbad
J1305.9+3054	RXC J1305.9+3054  	13 05 54.7	+30 54 23	 0.1832	 3.187649	 3.6434	 1.0224	                                          	Simbad
J1306.0+2630	ZwCl5699          	13 06 01.7	+26 30 18	 0.3063	 7.589307	 5.6206	 1.1297	                                          	Simbad
J1306.9+4633	RXC J1306.9+4633  	13 06 54.7	+46 33 22	 0.2259	 5.132532	 4.7160	 1.0974	                                          	Simbad
J1307.8+2925	MS1305.4+2941     	13 07 48.8	+29 25 47	 0.2410	 0.814660	 1.5174	 0.7479	                                          	Simbad
J1308.5+5342	BVH2007 166       	13 08 32.9	+53 42 15	 0.3300	 0.810685	 1.4101	 0.7062	                                          	Simbad
J1309.2-0136	RXCJ1309.2-0136   	13 09 17.0	-01 36 45	 0.0880	 0.944863	 1.8597	 0.8439	                                          	Simbad
J1309.9+3222	RX J1309.9+3222   	13 09 55.6	+32 22 31	 0.2900	 0.335970	 0.8509	 0.6058	                                          	Simbad
J1334.5+3756	RX J1334.5+3756   	13 34 34.4	+37 56 58	 0.3080	 0.070778	 0.3245	 0.4363	                                          	Simbad
J1311.0-0310	MACSJ1311.0-0310  	13 11 01.9	-03 10 36	 0.4940	 7.240105	 4.1524	 0.9500	                                          	Simbad
J1311.1+3913	RXC J1311.1+3913  	13 11 09.9	+39 13 03	 0.0720	 0.573064	 1.3862	 0.7692	                                          	Simbad
J1311.2+3228	BVH2007 167       	13 11 12.7	+32 28 58	 0.2450	 1.137481	 1.8542	 0.7984	                                          	Simbad
J1311.5-0120	RXCJ1311.4-0120   	13 11 30.0	-01 20 07	 0.1832	12.524024	 8.3920	 1.3502	                                          	Simbad
J1311.5-0551	RX J1311.5-0551   	13 11 30.2	-05 51 26	 0.4610	 1.395636	 1.7633	 0.7234	                                          	Simbad
J1311.5+2200	ZwCl5768          	13 11 32.2	+22 00 32	 0.2660	 5.929316	 4.9919	 1.1022	                                          	Simbad
J1311.7+2201	RXC J1311.7+2201  	13 11 43.2	+22 01 36	 0.1716	 1.003046	 1.8158	 0.8139	                                          	Simbad
J1311.8+3227	RX J1311.8+3227   	13 11 49.9	+32 27 41	 0.4300	 1.730126	 2.0627	 0.7715	                                          	Simbad
J1312.3+3900	BVH2007 168       	13 12 19.4	+39 00 58	 0.4040	 1.875511	 2.2138	 0.7979	                                          	Simbad
J1313.1+4616	RXC J1313.1+4616  	13 13 06.4	+46 16 52	 0.1830	 2.613452	 3.2283	 0.9821	                                          	Simbad
J1313.6-3250	BVH2007 169       	13 13 39.1	-32 50 41	 0.0518	 0.024584	 0.2060	 0.4101	                                          	Simbad
J1314.2-0659	RXCJ1314.2-0659   	13 14 13.5	-06 59 36	 0.1892	 3.386654	 3.7635	 1.0313	                                          	Simbad
J1314.2+4123	RXC J1314.2+4123  	13 14 14.7	+41 23 34	 0.2011	 1.597932	 2.3593	 0.8790	                                          	Simbad
J1314.4+6434	RXC J1314.4+6434  	13 14 24.5	+64 34 40	 0.2200	 4.155888	 4.1653	 1.0552	                                          	Simbad
J1314.4-2515	RXCJ1314.4-2515   	13 14 28.0	-25 15 41	 0.2439	 9.892675	 6.9392	 1.2401	                                          	Simbad
J1315.1+5149	RXC J1315.1+5149  	13 15 06.6	+51 49 29	 0.2836	 5.423392	 4.6626	 1.0705	                                          	Simbad
J1315.3-1623	RXCJ1315.3-1623   	13 15 24.0	-16 23 23	 0.0087	 0.105210	 0.5144	 0.5638	L                                         	Simbad
J1316.0+2855	WARP J1316.0+2856S	13 16 04.0	+28 55 20	 0.2530	 0.241908	 0.7170	 0.5800	See WARPSII paper sect. 3.2.              	Simbad
J1317.1-3821	RXCJ1317.1-3821   	13 17 09.6	-38 21 42	 0.2553	 7.145512	 5.6404	 1.1526	                                          	Simbad
J1319.7-2127	MS1317.0-2111     	13 19 44.7	-21 27 23	 0.1640	 0.806904	 1.5992	 0.7822	                                          	Simbad
J1320.0+7003	RXC J1320.0+7003  	13 20 04.4	+70 03 42	 0.3275	 6.148737	 4.8603	 1.0677	                                          	Simbad
J1320.2+3308	RXC J1320.2+3308  	13 20 15.4	+33 08 30	 0.0362	 0.109082	 0.5165	 0.5598	                                          	Simbad
J1320.7-4102	RXCJ1320.7-4102   	13 20 42.7	-41 02 23	 0.0495	 0.275212	 0.9000	 0.6708	                                          	Simbad
J1320.7-4855	RXC J1320.7-4855  	13 20 47.0	-48 55 49	 0.2270	 3.590285	 3.7894	 1.0199	                                          	Simbad
J1320.9+3354	RXC J1320.9+3354  	13 20 57.0	+33 54 15	 0.1820	 1.669915	 2.4586	 0.8971	                                          	Simbad
J1322.8+3138	RXC J1322.8+3138  	13 22 52.3	+31 38 45	 0.3083	 4.461179	 4.0587	 1.0128	                                          	Simbad
J1323.5+1117	A1728             	13 23 30.2	+11 17 46	 0.0911	 0.793447	 1.6682	 0.8131	                                          	Simbad
J1324.1+1358	RXC J1324.1+1358  	13 24 11.9	+13 58 45	 0.0230	 0.039969	 0.2825	 0.4596	                                          	Simbad
J1324.7-5736	RXC J1324.7-5736  	13 24 43.2	-57 36 52	 0.0190	 0.741785	 1.6812	 0.8340	                                          	Simbad
J1325.0-3813	RX J1325.0-3814   	13 25 01.7	-38 13 35	 0.2960	 0.463299	 1.0301	 0.6442	                                          	Simbad
J1325.1-2014	RXCJ1325.1-2014   	13 25 06.8	-20 14 11	 0.1926	 3.746717	 3.9924	 1.0506	                                          	Simbad
J1325.2+6550	RX J1325.2+6550   	13 25 14.9	+65 50 29	 0.1800	 0.137534	 0.5373	 0.5408	WARPS2                                    	Simbad
J1325.5-3825	RX J1325.5-3826   	13 25 34.9	-38 25 50	 0.4450	 1.554645	 1.9085	 0.7474	                                          	Simbad
J1325.8+5919	RXC J1325.8+5919  	13 25 49.7	+59 19 21	 0.1515	 1.797908	 2.6306	 0.9274	                                          	Simbad
J1326.2+1230	RXC J1326.2+1230  	13 26 17.2	+12 30 03	 0.2040	 7.539523	 6.0627	 1.2027	                                          	Simbad
J1326.2+0013	RXCJ1326.2+0013   	13 26 17.8	+00 13 32	 0.0826	 0.911157	 1.8258	 0.8402	X                                         	Simbad
J1326.9-2710	RXCJ1326.9-2710   	13 26 54.0	-27 11 00	 0.0458	 1.667482	 2.7065	 0.9694	L                                         	Simbad
J1327.9-3130	RXCJ1327.9-3130   	13 27 57.5	-31 30 09	 0.0480	 3.138519	 3.9741	 1.1010	P,GR6,losStr                              	Simbad
J1329.4+1143	BVH2007 170       	13 29 27.8	+11 43 23	 0.0228	 0.017446	 0.1704	 0.3884	                                          	Simbad
J1329.5+1147	RXC J1329.5+1147  	13 29 32.1	+11 47 21	 0.0220	 0.065077	 0.3805	 0.5078	                                          	Simbad
J1329.6+2946	BVH2007 NS 8      	13 29 39.4	+29 46 05	 0.0473	 0.018067	 0.1713	 0.3861	                                          	Simbad
J1329.7-3136	RXCJ1329.7-3136   	13 29 42.9	-31 36 09	 0.0488	 0.796247	 1.7210	 0.8328	PB,GR6,losStr                             	Simbad
J1329.8-3310	BVH2007 171       	13 29 49.4	-33 10 23	 0.0511	 0.016981	 0.1645	 0.3805	                                          	Simbad
J1329.9+5834	WARP J1329.9+5834 	13 29 58.2	+58 34 09	 0.3020	 0.365238	 0.8868	 0.6114	                                          	Simbad
J1330.8-0152	RXCJ1330.8-0152   	13 30 49.9	-01 52 22	 0.0852	 2.127767	 3.0567	 0.9968	DL,large elongation towards NE,losStr     	Simbad
J1330.9+5814	WARP J1330.9+5814 	13 30 59.1	+58 14 56	 0.3100	 0.646700	 1.2484	 0.6832	                                          	Simbad
J1331.5+1108	WARP J1331.5+1108 	13 31 30.2	+11 08 04	 0.0850	 0.025591	 0.2064	 0.4059	                                          	Simbad
J1331.5+6238	BVH2007 172       	13 31 31.0	+62 38 24	 0.2190	 0.431904	 1.0481	 0.6664	                                          	Simbad
J1331.5-3148	RXCJ1331.5-3148   	13 31 32.4	-31 48 55	 0.0448	 0.241244	 0.8332	 0.6548	PB,GR6                                    	Simbad
J1332.3-3308	RXCJ1332.3-3308   	13 32 22.6	-33 08 22	 0.0487	 0.766811	 1.6821	 0.8265	                                          	Simbad
J1332.5+5024	A1758b            	13 32 30.2	+50 24 32	 0.2800	 4.177079	 3.9877	 1.0175	                                          	Simbad
J1332.6+5419	RXC J1332.6+5419  	13 32 40.1	+54 19 14	 0.1017	 0.670640	 1.4944	 0.7811	                                          	Simbad
J1332.7+5032	RXC J1332.7+5032  	13 32 43.1	+50 32 59	 0.2799	10.988898	 7.1929	 1.2386	o                                         	Simbad
J1332.9-2519	RXCJ1332.9-2519   	13 32 55.8	-25 19 26	 0.1199	 1.139833	 2.0385	 0.8610	X                                         	Simbad
J1333.6-3139	RXCJ1333.6-3139   	13 33 36.3	-31 39 40	 0.0490	 1.345772	 2.3698	 0.9265	P,GR6,losStr                              	Simbad
J1333.6-2317	RXCJ1333.6-2317   	13 33 42.0	-23 17 02	 0.1264	 2.405416	 3.1994	 0.9984	                                          	Simbad
J1334.1+2013	RXC J1334.1+2013  	13 34 07.0	+20 13 51	 0.1710	 1.889759	 2.6730	 0.9261	                                          	Simbad
J1334.3+5031	BVH2007 173       	13 34 20.4	+50 31 05	 0.6200	 3.405522	 2.6559	 0.7786	                                          	Simbad
J1334.3+3441	RXC J1334.3+3441  	13 34 23.8	+34 41 28	 0.0240	 0.033179	 0.2520	 0.4423	                                          	Simbad
J1335.0+3749	RX J1335.0+3750   	13 35 03.7	+37 50 00	 0.3820	 0.210370	 0.5938	 0.5189	RDCS                                      	Simbad
J1335.3+4059	RXC J1335.3+4059  	13 35 18.2	+40 59 49	 0.2279	 8.101197	 6.2197	 1.2026	                                          	Simbad
J1336.1+5912	RXC J1336.1+5912  	13 36 06.1	+59 12 28	 0.0701	 1.370998	 2.3626	 0.9193	                                          	Simbad
J1336.6-3357	RXCJ1336.6-3357   	13 36 38.8	-33 57 30	 0.0123	 0.010740	 0.1276	 0.3539	                                          	Simbad
J1336.7+3837	RX J1336.7+3837   	13 36 42.1	+38 37 32	 0.1800	 0.082806	 0.3943	 0.4878	                                          	Simbad
J1337.1+2649	WARP J1337.1+2649 	13 37 10.9	+26 49 32	 0.4100	 0.777014	 1.2872	 0.6644	                                          	Simbad
J1337.4-4120	RXCJ1337.4-4120   	13 37 28.2	-41 20 01	 0.0519	 0.321234	 0.9874	 0.6913	                                          	Simbad
J1337.8+2638	RX J1337.8+2638   	13 37 50.4	+26 38 49	 0.3420	 0.519477	 1.0646	 0.6401	WARPS2                                    	Simbad
J1337.8+3854	RX J1337.8+3854   	13 37 53.3	+38 54 09	 0.2520	 0.393893	 0.9659	 0.6408	                                          	Simbad
J1338.0-2944	BVH2007 174       	13 38 05.8	-29 44 22	 0.1890	 0.581972	 1.2861	 0.7211	                                          	Simbad
J1338.4+2644	WARP J1338.4+2644 	13 38 24.7	+26 44 40	 0.0290	 0.001953	 0.0446	 0.2481	                                          	Simbad
J1338.8+3851	BVH2007 175       	13 38 50.2	+38 51 18	 0.2460	 1.455985	 2.1537	 0.8390	see 400SD paper Sec. 4.1                  	Simbad
J1339.0+2745	WARP J1339.0+2745 	13 39 04.2	+27 45 24	 0.1300	 0.088286	 0.4254	 0.5089	Sy2, See WARPSII paper sect. 3.2.         	Simbad
J1339.5+1830	RXC J1339.5+1830  	13 39 34.8	+18 30 44	 0.1140	 0.461912	 1.1802	 0.7190	                                          	Simbad
J1340.5+4017	BVH2007 176       	13 40 33.6	+40 17 46	 0.1710	 0.189478	 0.6576	 0.5803	                                          	Simbad
J1340.9+3958	BVH2007 177       	13 40 54.0	+39 58 28	 0.1690	 0.390780	 1.0240	 0.6730	                                          	Simbad
J1341.8+2622	RXC J1341.8+2622  	13 41 53.8	+26 22 19	 0.0724	 1.486290	 2.4779	 0.9333	                                          	Simbad
J1342.0+0213	RXCJ1342.0+0213   	13 42 05.5	+02 13 39	 0.0765	 0.786086	 1.6756	 0.8181	                                          	Simbad
J1342.8+4028	RX J1342.8+4028   	13 42 49.1	+40 28 11	 0.6990	 1.949147	 1.7670	 0.6586	WARPS2                                    	Simbad
J1343.4+4053	RX J1343.4+4053   	13 43 25.0	+40 53 14	 0.1400	 0.097808	 0.4495	 0.5166	                                          	Simbad
J1343.4+5546	BVH2007 179       	13 43 27.8	+55 46 55	 0.0673	 0.033106	 0.2444	 0.4320	a part of A1783                           	Simbad
J1343.7+5538	RX J1343.7+5538   	13 43 45.3	+55 38 21	 0.0766	 0.189253	 0.7032	 0.6125	                                          	Simbad
J1344.3+3906	RXC J1344.3+3906  	13 44 18.3	+39 06 43	 0.2997	 1.963241	 2.4774	 0.8619	                                          	Simbad
J1346.2-1632	RXCJ1346.2-1632   	13 46 13.6	-16 32 42	 0.0557	 0.252995	 0.8514	 0.6572	                                          	Simbad
J1346.8-3752	RXCJ1346.8-3752   	13 46 52.5	-37 52 28	 0.0377	 0.179580	 0.6992	 0.6190	                                          	Simbad
J1347.2-3025	RXCJ1347.2-3025   	13 47 12.3	-30 25 10	 0.0145	 0.014948	 0.1559	 0.3780	PX,GR7                                    	Simbad
J1347.4-3250	RXCJ1347.4-3250   	13 47 28.4	-32 50 59	 0.0391	 3.819920	 4.5067	 1.1514	L                                         	Simbad
J1347.5-1144	RXCJ1347.5-1144   	13 47 30.0	-11 44 56	 0.4516	37.304424	13.1779	 1.4195	losStr                                    	Simbad
J1348.8+2635	RXC J1348.8+2635  	13 48 53.0	+26 35 44	 0.0622	 5.478067	 5.5280	 1.2236	                                          	Simbad
J1348.9-2526	RXCJ1348.9-2526   	13 48 55.8	-25 26 31	 0.1269	 1.452597	 2.3515	 0.9008	                                          	Simbad
J1349.0+4918	BVH2007 180       	13 49 00.2	+49 18 33	 0.1670	 0.592506	 1.3218	 0.7333	a part of A1804                           	Simbad
J1349.3-3018	RXCJ1349.3-3018   	13 49 19.3	-30 18 34	 0.0160	 0.044510	 0.3030	 0.4715	PX,GR7                                    	Simbad
J1349.3+2806	RXC J1349.3+2806  	13 49 21.6	+28 06 13	 0.0748	 1.273561	 2.2515	 0.9033	                                          	Simbad
J1350.7-3343	RXCJ1350.7-3343   	13 50 43.9	-33 43 17	 0.1142	 1.283421	 2.2004	 0.8849	                                          	Simbad
J1350.8+6007	WARP J1350.8+6007 	13 50 50.3	+60 07 32	 0.7960	 4.315041	 2.6419	 0.7246	                                          	Simbad
J1351.7+4622	RXC J1351.7+4622  	13 51 45.6	+46 22 00	 0.0625	 0.291879	 0.9247	 0.6741	                                          	Simbad
J1352.2-0945	RXCJ1352.2-0945   	13 52 14.0	-09 45 33	 0.2021	 3.015672	 3.4724	 0.9995	                                          	Simbad
J1353.0+0509	RXC J1353.0+0509  	13 53 01.0	+05 09 18	 0.0788	 1.044658	 1.9898	 0.8657	                                          	Simbad
J1353.4-2753	RXCJ1353.4-2753   	13 53 29.3	-27 53 19	 0.0468	 0.261925	 0.8749	 0.6651	B                                         	Simbad
J1354.0+1455	RXC J1354.0+1455  	13 54 02.3	+14 55 23	 0.1251	 1.305702	 2.2064	 0.8824	                                          	Simbad
J1354.2-0221	BVH2007 181       	13 54 16.8	-02 21 46	 0.5460	 2.071784	 2.0887	 0.7402	                                          	Simbad
J1354.6+7715	RXC J1354.6+7715  	13 54 37.8	+77 15 35	 0.3967	 8.733438	 5.6900	 1.0960	                                          	Simbad
J1354.8+6917	RX J1354.8+6917   	13 54 49.1	+69 17 20	 0.2070	 0.121863	 0.4890	 0.5191	                                          	Simbad
J1357.3+6232	BVH2007 182       	13 57 19.4	+62 32 42	 0.5250	 2.520954	 2.3964	 0.7813	                                          	Simbad
J1358.0+2038	RXC J1358.0+2038  	13 58 02.0	+20 38 11	 0.0620	 0.117945	 0.5323	 0.5609	                                          	Simbad
J1358.9-4750	RXC J1358.9-4750  	13 58 56.9	-47 50 19	 0.0740	 2.448410	 3.3558	 1.0321	                                          	Simbad
J1359.2+2758	RXC J1359.2+2758  	13 59 17.5	+27 58 22	 0.0612	 1.016556	 1.9807	 0.8693	                                          	Simbad
J1359.5+6219	BVH2007 NS 9      	13 59 34.1	+62 19 01	 0.3320	 2.294230	 2.6547	 0.8713	                                          	Simbad
J1359.8+6231	RXC J1359.8+6231  	13 59 53.1	+62 31 16	 0.3259	 5.624789	 4.6093	 1.0497	                                          	Simbad
J1400.2+7207	RXC J1400.2+7207  	14 00 14.4	+72 07 32	 0.2143	 2.062938	 2.7294	 0.9184	                                          	Simbad
J1401.0+0252	RXC J1401.0+0252  	14 01 02.3	+02 52 48	 0.2528	19.721872	10.4956	 1.4189	                                          	Simbad
J1401.6-1107	RXCJ1401.6-1107   	14 01 36.7	-11 07 28	 0.0698	 0.637642	 1.4817	 0.7870	losStr                                    	Simbad
J1403.5-3359	RXCJ1403.5-3359   	14 03 35.9	-33 59 16	 0.0132	 0.035984	 0.2666	 0.4523	                                          	Simbad
J1404.4+0423	MS1401.9+0437     	14 04 27.9	+04 23 03	 0.2300	 0.506584	 1.1455	 0.6837	                                          	Simbad
J1406.2+2830	RX J1406.2+2830   	14 06 16.3	+28 30 52	 0.5460	 1.288913	 1.5639	 0.6721	RDCS/WARPS1                               	Simbad
J1406.9+2834	BVH2007 183       	14 06 55.0	+28 34 16	 0.1180	 0.136141	 0.5587	 0.5596	                                          	Simbad
J1407.4-2700	RXCJ1407.4-2700   	14 07 28.1	-27 00 55	 0.0230	 0.360859	 1.0806	 0.7189	                                          	Simbad
J1407.8-5100	RXC J1407.8-5100  	14 07 52.5	-51 00 33	 0.0966	 3.918665	 4.4006	 1.1214	                                          	Simbad
J1408.1-0904	RXCJ1408.1-0904   	14 08 07.0	-09 04 16	 0.0354	 0.142062	 0.6071	 0.5909	                                          	Simbad
J1410.2+5942	BVH2007 184       	14 10 13.4	+59 42 38	 0.3160	 1.420518	 2.0075	 0.7986	                                          	Simbad
J1410.2+5938	BVH2007 185       	14 10 15.8	+59 38 27	 0.3190	 0.890648	 1.5066	 0.7249	                                          	Simbad
J1410.4-4246	RXC J1410.4-4246  	14 10 28.5	-42 46 37	 0.0490	 0.470315	 1.2483	 0.7482	                                          	Simbad
J1411.4+5212	RXC J1411.4+5212  	14 11 24.4	+52 12 38	 0.4599	 6.550027	 4.5306	 0.9912	                                          	Simbad
J1412.5-0309	MS1409.9-0255     	14 12 35.5	-03 09 10	 0.2210	 0.593267	 1.2700	 0.7099	                                          	Simbad
J1413.7+4339	RXC J1413.7+4339  	14 13 43.5	+43 39 48	 0.0890	 1.023860	 1.9516	 0.8573	                                          	Simbad
J1414.2+7115	A1895             	14 14 12.2	+71 15 36	 0.2250	 3.412967	 3.6798	 1.0107	                                          	Simbad
J1415.1+3612	WARP J1415.1+3612 	14 15 11.1	+36 12 03	 0.7000	 2.945800	 2.2711	 0.7158	FIRST                                     	Simbad
J1415.2-0030	RXCJ1415.2-0030   	14 15 14.2	-00 30 04	 0.1403	 1.912070	 2.7537	 0.9452	X                                         	Simbad
J1415.3+2308	WARP J1415.3+2308 	14 15 18.4	+23 08 57	 0.0640	 0.008793	 0.1092	 0.3305	                                          	Simbad
J1415.8+0015	RXC J1415.8+0015  	14 15 51.6	+00 15 32	 0.1259	 0.468866	 1.1809	 0.7163	                                          	Simbad
J1416.4+2315	BVH2007 186       	14 16 26.9	+23 15 31	 0.1380	 0.926105	 1.7728	 0.8168	                                          	Simbad
J1416.4+4446	BVH2007 187       	14 16 28.1	+44 46 38	 0.4000	 2.804131	 2.8385	 0.8681	                                          	Simbad
J1416.5+3045	RXC J1416.5+3045  	14 16 32.5	+30 45 44	 0.1860	 0.916337	 1.7001	 0.7922	                                          	Simbad
J1416.8-1158	RXCJ1416.8-1158   	14 16 51.5	-11 58 34	 0.0982	 1.001648	 1.9133	 0.8491	X                                         	Simbad
J1418.5+2510	BVH2007 188       	14 18 31.2	+25 10 47	 0.2900	 2.578398	 2.9480	 0.9166	                                          	Simbad
J1418.9+4903	RXC J1418.9+4903  	14 18 59.4	+49 03 01	 0.2806	 4.215661	 4.0082	 1.0190	                                          	Simbad
J1419.3+0638	RX J1419.3+0638   	14 19 23.5	+06 38 42	 0.5740	 2.166663	 2.0962	 0.7329	WARPS2                                    	Simbad
J1419.8+0634	WARP J1419.9+0634W	14 19 52.6	+06 34 20	 0.5641	 1.256418	 1.5163	 0.6604	                                          	Simbad
J1421.5+4933	RXC J1421.5+4933  	14 21 35.5	+49 33 07	 0.0716	 0.790784	 1.6874	 0.8214	                                          	Simbad
J1421.6+3717	RXC J1421.6+3717  	14 21 41.4	+37 17 45	 0.1813	 3.409117	 3.8011	 1.0376	                                          	Simbad
J1421.9-2009	RXCJ1421.9-2009   	14 21 57.3	-20 09 36	 0.1208	 1.060659	 1.9497	 0.8480	                                          	Simbad
J1423.1+2615	RXC J1423.1+2615  	14 23 10.1	+26 15 20	 0.0375	 0.064889	 0.3759	 0.5033	                                          	Simbad
J1423.1+2942	MS1421.0+2955     	14 23 10.7	+29 42 10	 0.2610	 0.799622	 1.4771	 0.7359	                                          	Simbad
J1423.7-5412	RXC J1423.7-5412  	14 23 43.3	-54 12 12	 0.3000	13.687554	 8.0935	 1.2787	                                          	Simbad
J1423.7+2404	MACSJ1423.8+2404  	14 23 47.8	+24 04 41	 0.5430	13.056778	 4.9804	 0.9900	                                          	Simbad
J1423.8+4015	RXC J1423.8+4015  	14 23 52.4	+40 15 43	 0.0822	 0.402944	 1.1105	 0.7120	                                          	Simbad
J1425.0+3758	BVH2007 NS 10     	14 25 04.6	+37 58 16	 0.1630	 0.213935	 0.7123	 0.5976	                                          	Simbad
J1425.3+6311	RXC J1425.3+6311  	14 25 22.7	+63 11 14	 0.1394	 2.606019	 3.3281	 1.0071	                                          	Simbad
J1426.0+3749	RXC J1426.0+3749  	14 26 01.6	+37 49 38	 0.1712	 9.182178	 7.0075	 1.2768	                                          	Simbad
J1427.6-2521	MACSJ1427.6-2521  	14 27 39.5	-25 21 03	 0.3180	 4.100000	 3.3000	 0.9400	                                          	Simbad
J1427.9+2630	BVH2007 189       	14 27 58.1	+26 30 23	 0.0324	 0.005390	 0.0827	 0.3044	                                          	Simbad
J1428.4+5652	RXC J1428.4+5652  	14 28 28.1	+56 52 58	 0.1051	 0.921395	 1.8095	 0.8315	                                          	Simbad
J1428.9+0145	MS1426.4+0158     	14 28 59.2	+01 45 16	 0.3200	 1.512360	 2.0790	 0.8068	                                          	Simbad
J1429.0+4241	WARP J1429.0+4241 	14 29 05.8	+42 41 12	 0.9200	 3.360775	 2.0435	 0.6334	                                          	Simbad
J1431.1+2538	RXC J1431.1+2538  	14 31 07.1	+25 38 20	 0.0908	 1.191519	 2.1380	 0.8833	                                          	Simbad
J1432.4+3137	A1930             	14 32 28.8	+31 37 59	 0.1313	 2.085625	 2.9225	 0.9671	                                          	Simbad
